SOSR_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SOSR101,191,2852,65,39493,1064,172,126,420,187,685,72,400,177,2047,18542,23878,444,100,198,172,77,173,38,150,95,2202,1844,5499,101918,15191,2512,42126,4765,40686,1928,23244,3343,108580,21917,366202
SOSR102,32,421,12,3996,185,33,17,135,24,183,23,108,32,937,4637,6313,74,25,32,56,15,38,12,37,38,986,696,2012,17378,3622,582,11663,1138,8665,619,6874,1055,42500,5973,100069
SOSR111,0,37,0,381,30,7,4,14,9,18,4,15,9,87,588,776,16,9,4,12,0,3,0,10,4,130,92,279,2469,471,78,1773,172,1193,77,849,138,4549,737,12514
SOSR112,10,233,5,1705,99,23,12,74,15,92,19,50,21,402,2203,3009,46,11,23,25,9,29,3,20,18,469,281,929,8416,1976,284,6092,526,3982,297,3459,465,18457,2747,46702
SOSR113,7,128,8,851,49,8,3,28,13,55,3,40,18,368,1355,1938,20,12,21,22,5,15,0,30,8,493,240,868,4175,1220,203,3402,295,2362,226,2270,358,15508,1850,31863
SOSR114,13,108,7,713,41,15,6,52,6,66,5,52,10,331,1254,1839,22,9,14,25,3,15,0,19,14,365,237,726,3946,1102,179,3029,321,2015,189,1946,303,12403,1694,27126
SOSR115,15,129,4,1045,72,24,6,49,20,90,13,66,24,419,1895,2678,51,10,24,29,4,28,9,26,10,552,374,1116,5817,1669,308,4713,432,3232,303,2930,492,18611,2604,41098
SOSR121,4,33,0,320,19,7,6,21,0,25,3,13,10,114,500,721,12,0,3,11,3,4,3,13,6,131,81,270,1525,532,82,1322,124,948,71,883,151,4899,676,11212
SOSR122,3,17,0,184,7,4,0,6,0,21,0,13,6,67,336,471,18,3,4,3,0,3,0,7,5,77,46,163,886,330,70,739,89,559,55,520,91,2728,440,6501
SOSR131,24,331,12,3526,174,57,18,144,41,192,23,117,44,489,3371,4675,204,53,73,102,28,63,16,50,36,585,387,1607,12992,4010,745,9703,926,6082,627,4990,911,20970,4284,66237
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR201,173,2223,65,27548,1033,187,108,535,179,738,75,456,163,2373,17848,23688,528,110,237,288,97,235,35,192,151,3208,2222,7298,94382,15391,2609,47550,4928,40132,2129,25193,3682,115461,21973,373438
SOSR203,3,58,0,594,33,5,3,22,15,30,3,16,9,144,659,942,17,4,5,18,3,11,0,14,5,172,103,350,2913,678,102,2169,199,1365,117,1141,138,5493,844,15148
SOSR211,11,76,3,683,58,14,13,44,8,58,8,32,11,215,1116,1576,29,8,17,27,3,11,4,14,13,309,160,602,4950,1055,206,3805,363,2537,192,1914,291,9151,1412,25880
SOSR212,5,53,3,499,44,3,7,26,3,39,4,20,11,150,692,993,20,10,8,19,3,7,0,14,10,193,154,435,3294,627,115,2415,216,1541,112,1108,217,5922,975,16539
SOSR213,12,111,0,813,65,10,5,44,9,64,4,51,11,252,1137,1651,37,6,17,29,6,18,3,16,10,345,238,723,4497,1071,207,3568,330,2168,219,1941,329,10500,1590,26412
SOSR214,3,59,0,334,21,11,3,20,3,53,4,21,7,207,647,996,23,8,6,20,5,19,0,15,4,218,149,468,2069,692,133,1895,184,1196,124,1221,182,7063,948,15703
SOSR215,11,90,4,592,49,23,3,33,9,58,9,47,18,248,1030,1519,35,15,19,34,0,20,3,18,10,321,204,687,3700,1161,239,3018,326,1996,212,1910,347,9932,1444,24289
SOSR221,6,25,0,151,12,0,0,8,3,10,3,13,3,71,374,494,18,3,4,4,0,3,0,10,6,114,67,230,955,339,63,933,100,631,68,621,99,3076,500,7385
SOSR222,0,13,0,95,7,3,0,0,4,18,0,10,3,46,196,292,10,0,3,9,3,3,0,3,3,58,35,126,666,217,50,559,61,412,32,381,64,1722,270,4433
SOSR231,15,252,19,2333,132,45,19,104,18,153,10,84,33,364,2472,3439,150,38,71,91,19,57,13,42,28,457,298,1277,9582,3241,731,8072,805,4705,519,3855,761,14997,3207,50481
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR301,74,873,30,12380,558,72,43,273,86,352,42,184,74,1024,9924,12632,233,34,91,117,26,85,11,54,47,1070,795,2565,50282,7642,1302,26532,2808,21003,1169,12077,1946,55824,11494,192084
SOSR302,19,384,6,2663,123,33,22,84,30,89,18,73,13,358,2783,3617,71,19,41,36,17,23,11,24,15,407,311,968,11881,2873,374,8035,734,5264,375,3999,478,18364,3343,55712
SOSR303,29,381,11,3037,153,28,5,99,21,118,13,71,27,479,4477,5512,91,22,33,48,13,36,4,27,23,491,356,1145,14404,2965,450,9550,952,6455,502,4778,761,24336,5159,70331
SOSR311,7,80,3,895,60,3,12,39,4,47,8,26,8,220,1691,2118,35,6,14,21,5,14,0,10,7,300,196,609,4523,774,166,3085,296,2437,170,1687,265,10831,2057,26294
SOSR312,3,13,0,287,11,3,0,9,0,15,0,3,0,43,337,426,3,3,0,4,0,8,0,7,3,66,37,131,1036,171,32,692,77,728,33,368,67,2185,408,5794
SOSR313,9,53,0,679,41,4,8,25,7,38,3,12,13,153,986,1282,18,7,6,13,3,10,0,8,3,188,138,392,3280,593,134,2191,236,1617,107,1065,197,7228,1224,17873
SOSR314,5,55,3,680,33,7,7,32,4,44,3,30,11,119,898,1187,30,10,12,20,6,18,3,6,4,137,109,353,3338,613,135,2212,247,1634,123,1006,219,5676,1123,16328
SOSR315,7,75,7,742,66,11,9,38,16,77,4,26,10,252,1456,1955,34,6,25,19,3,18,4,10,7,280,184,592,4825,966,236,3171,365,2418,199,1746,348,10714,1857,26860
SOSR321,4,32,3,290,18,10,3,3,3,28,0,19,8,120,696,915,13,3,12,9,4,14,0,8,6,114,86,280,1847,508,89,1378,152,1101,90,828,149,4669,879,11690
SOSR322,3,11,0,128,12,0,0,9,3,20,4,15,3,50,357,471,11,0,8,5,0,8,0,3,0,60,60,168,863,189,66,631,54,523,40,393,84,2363,454,5652
SOSR331,21,194,9,2180,147,39,17,97,29,160,10,89,25,392,3093,4102,199,40,74,90,28,78,7,34,37,476,353,1407,10965,2525,594,7215,818,5342,426,3583,751,16769,3852,52841
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR401,43,583,9,4915,228,52,21,150,40,186,23,112,31,858,5652,7346,83,28,48,67,14,34,12,31,13,802,535,1665,22271,4871,717,15359,1525,11267,771,8721,1120,42978,6743,116353
SOSR412,0,20,0,162,10,0,0,9,3,20,0,11,4,77,372,507,5,4,8,3,4,3,0,10,5,82,48,173,1311,275,49,1182,105,723,49,535,93,3022,471,7808
SOSR413,4,44,3,353,16,5,5,19,3,22,3,20,8,96,620,825,10,0,7,10,3,6,0,7,4,144,67,257,1691,540,71,1468,127,952,85,918,144,5406,769,12174
SOSR414,3,14,0,56,4,5,0,3,0,8,0,3,0,48,141,220,5,0,0,0,0,0,0,0,0,39,22,64,421,153,23,355,27,203,24,263,25,1707,198,3407
SOSR415,4,50,0,334,27,9,6,18,3,28,0,25,9,152,650,917,10,3,9,24,0,6,3,8,4,130,82,281,2015,600,115,1766,165,1069,129,972,148,5768,846,13601
