SOSR_CODE_2016,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
SOSR714,0,0,12,4,3,29,0,28,0,77,6,5,38,21,3,8,12,24,0,125,28,63,117,62,13,7,22,43,9,369,37,31,60,39,19,10,17,21,9,253,40,36,43,41,23,7,30,23,3,260,28,26,37,17,18,6,26,26,7,188,11,5,17,8,6,3,9,11,5,72,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,162,178,324,199,79,75,118,171,36,1352,0,0,3,16,12,24,0,4,0,56,4,24,6,36,23,8,0,5,3,116,34,128,15,66,74,19,3,16,10,368,22,78,7,55,51,19,0,19,3,254,41,63,8,44,61,9,0,22,5,254,26,39,10,33,36,12,3,17,4,178,4,12,0,6,9,5,5,3,3,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,343,58,259,258,101,8,86,27,1266
SOSR715,0,5,14,18,0,20,3,20,6,92,5,33,37,32,3,7,11,30,17,190,30,124,125,77,27,16,50,76,31,572,54,113,107,91,24,18,62,62,32,556,67,101,111,65,35,11,50,60,22,518,74,74,64,41,14,18,32,38,18,369,19,10,16,7,7,0,10,7,0,84,5,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,258,470,477,330,116,90,212,309,125,2384,0,8,0,15,20,15,0,7,8,85,13,24,0,49,56,17,0,7,10,175,46,162,14,140,98,40,8,37,34,578,53,157,14,116,100,54,8,39,22,546,55,177,14,114,89,29,7,39,28,549,42,128,16,59,59,13,0,27,8,352,7,20,0,10,9,3,0,7,0,53,0,0,0,0,3,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,212,674,64,499,427,175,16,156,122,2350
SOSR721,0,4,9,7,3,8,4,16,12,64,7,26,45,49,7,4,16,28,19,208,59,109,123,95,24,23,47,82,43,596,59,96,136,62,17,5,60,61,20,532,64,60,102,64,19,10,57,49,23,449,52,71,42,29,21,4,54,39,14,335,19,12,9,10,0,3,11,9,0,77,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,269,376,474,323,101,57,244,287,130,2256,0,3,0,22,10,16,0,3,14,68,5,29,12,59,21,25,4,16,14,177,43,152,26,135,97,53,9,49,20,581,37,112,24,102,87,36,6,33,25,456,61,121,18,104,73,32,11,27,13,460,31,84,5,50,54,13,4,17,3,266,0,8,0,13,8,4,0,6,0,44,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,177,512,89,481,340,178,40,163,85,2061
SOSR722,3,3,7,5,0,7,3,16,4,49,8,22,23,16,3,3,7,34,14,124,26,41,36,43,13,13,29,67,14,280,27,49,30,50,19,12,27,52,17,281,56,54,46,41,18,3,41,54,13,326,62,38,33,27,11,7,15,32,12,237,19,17,12,0,10,0,3,6,3,73,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,192,211,195,184,69,46,134,262,79,1381,0,4,0,13,3,11,0,4,0,34,4,16,8,38,9,5,0,12,4,95,18,74,16,93,43,27,7,12,10,309,29,77,11,85,46,16,4,21,8,295,40,75,15,87,35,18,3,23,5,308,38,77,0,39,37,10,8,13,6,234,10,16,0,6,11,0,0,4,3,51,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,135,345,63,364,190,90,22,90,35,1323
SOSR731,6,10,112,19,6,57,18,133,15,383,22,56,251,40,18,22,47,197,18,686,160,157,549,108,44,30,162,245,39,1501,307,159,534,119,51,27,194,190,45,1621,373,165,494,116,78,53,290,211,57,1834,244,120,277,81,69,38,201,147,34,1206,81,34,51,13,18,4,58,40,13,323,12,9,9,0,0,0,5,6,0,43,0,0,0,0,0,0,0,0,0,3,1207,720,2274,503,290,237,974,1173,222,7587,4,14,26,63,50,95,5,47,7,307,14,53,40,111,110,57,10,79,18,485,138,259,69,196,321,76,28,86,26,1203,211,316,67,200,374,86,22,87,27,1400,251,324,85,211,430,90,31,121,22,1571,140,210,41,110,234,67,8,93,8,924,29,46,12,24,69,24,3,27,5,226,7,7,0,3,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,3,787,1237,341,927,1596,494,105,547,117,6148
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,10,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,3,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,10,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4
SOSR799,0,0,8,0,0,3,0,0,0,11,0,0,11,6,0,0,0,17,0,39,7,15,17,11,0,6,8,21,0,84,3,17,12,4,0,3,9,7,4,62,3,12,18,0,3,3,16,14,0,70,0,0,7,3,3,0,12,7,0,44,0,0,3,0,0,0,6,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,37,88,28,10,15,51,62,7,320,0,0,3,3,0,0,0,0,0,8,4,3,3,10,3,3,0,8,0,34,3,35,7,24,0,3,0,12,0,80,7,10,0,3,6,0,0,4,0,39,7,12,4,10,5,3,3,9,0,39,4,9,7,3,10,5,0,6,3,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,68,23,54,26,17,11,39,5,252
SOSR802,295,168,676,962,175,1303,189,1143,78,4987,938,1505,2213,1838,981,1300,390,1108,203,10469,3516,8836,5047,2068,2763,1134,870,1699,708,26641,5221,8471,3470,1515,2542,756,808,1214,751,24743,5325,6255,2738,1169,2289,628,980,941,611,20949,2821,3902,1591,625,1434,419,816,749,332,12693,568,1159,386,186,373,170,245,216,97,3412,71,137,37,19,37,24,20,23,24,389,8,12,5,0,0,3,0,3,9,44,18764,30441,16173,8385,10597,5737,4316,7087,2816,104319,160,217,198,1814,448,2360,21,425,64,5717,565,1902,515,2714,2346,1824,40,335,168,10397,2972,10408,936,2947,5886,1380,64,646,594,25840,4263,8577,725,2157,5418,880,53,581,598,23249,3912,6417,611,2060,5637,848,86,623,514,20713,1738,3755,320,1250,3470,671,68,488,255,12011,229,771,71,240,685,187,18,111,65,2384,18,61,3,19,58,19,0,9,12,205,5,8,0,0,7,0,0,0,10,31,13873,32110,3371,13201,23957,8173,356,3217,2294,100550
SOSR822,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,3,3,3,5,0,3,0,0,0,11,10,7,6,4,0,0,0,0,0,20,0,0,5,0,0,0,0,0,0,15,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,13,5,5,8,6,8,0,63,0,0,0,4,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,6,0,3,0,0,4,0,0,0,0,14,0,4,0,0,7,3,0,0,0,16,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,3,12,19,6,0,3,0,66
SOSR831,0,0,3,0,0,0,0,3,0,13,0,4,4,3,0,0,0,3,0,18,3,8,16,6,3,0,0,6,0,41,14,9,8,5,3,3,0,3,3,63,22,4,16,4,3,0,0,7,0,56,12,3,3,3,0,0,7,6,0,32,5,3,0,3,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,59,40,58,16,11,7,10,22,4,231,0,0,0,4,0,4,0,0,0,10,0,0,3,3,0,0,0,0,0,11,3,11,3,8,15,0,0,0,0,40,14,22,3,5,17,0,0,0,0,54,5,12,3,5,4,0,0,0,0,38,8,8,0,0,4,0,0,0,3,21,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,50,9,31,49,15,0,0,5,193
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,0,0,0,0,0,0,0,0,0,3,3,3,4,3,0,3,0,5,0,18,3,10,3,3,0,0,7,4,0,31,0,6,3,4,4,0,0,5,0,20,0,0,6,0,0,0,0,4,3,15,0,3,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,22,13,9,5,10,4,14,9,102,0,0,0,0,0,0,0,0,0,4,0,6,0,8,4,0,0,3,0,19,3,9,0,3,3,4,0,0,0,27,0,5,3,7,3,0,0,0,0,22,3,3,0,3,0,0,0,0,0,13,3,6,0,0,4,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,3,27,20,6,0,3,0,101
SOSR915,0,0,0,0,0,0,0,0,0,4,0,0,3,6,0,0,6,12,0,27,3,8,21,17,7,0,13,12,3,89,27,9,28,9,3,0,8,6,3,95,18,3,33,16,8,0,9,17,3,115,8,7,28,8,3,0,20,18,0,99,8,3,16,0,4,0,24,4,3,63,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,65,30,135,58,27,0,94,73,20,502,0,0,0,0,0,0,0,0,0,6,0,5,0,3,11,0,0,3,0,21,9,12,0,12,12,0,0,12,0,65,10,10,4,10,20,4,6,0,4,64,7,15,3,19,18,3,0,12,0,82,11,6,0,5,13,3,0,24,0,63,0,0,0,0,0,0,0,8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,52,12,53,76,13,12,55,3,321
SOSR921,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,5,0,5,0,0,4,3,0,0,3,0,0,20,10,3,17,0,0,6,3,11,0,50,11,3,24,4,0,0,7,6,0,50,13,3,10,3,0,0,0,9,0,43,7,5,3,3,0,0,3,6,0,22,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,42,22,55,17,4,8,16,39,5,200,0,0,0,3,0,7,0,0,0,11,0,0,3,6,0,0,0,0,0,11,3,0,3,10,4,5,0,3,0,30,11,7,0,9,9,3,0,11,0,48,11,0,4,5,4,4,0,9,0,52,9,11,0,0,10,11,0,4,0,53,0,3,0,3,0,8,0,4,3,25,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,41,23,18,36,29,42,0,42,6,236
SOSR922,0,0,0,0,0,0,0,3,0,10,6,3,3,3,0,0,3,5,0,26,14,4,3,9,0,0,3,8,0,44,9,6,3,3,3,0,5,5,0,42,8,8,13,3,3,0,3,3,0,38,11,0,12,0,0,0,3,7,0,33,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,21,34,25,14,0,20,33,6,196,0,0,0,3,0,0,0,0,0,7,3,0,0,5,0,0,0,0,0,4,3,8,0,6,8,0,0,3,0,31,0,6,4,3,3,0,0,3,0,27,3,3,0,3,4,3,0,0,0,22,0,3,0,6,0,0,0,3,0,16,3,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,28,4,34,24,10,0,12,3,124
SOSR931,0,0,0,3,0,3,0,3,0,10,0,0,4,5,0,0,0,5,0,8,3,4,14,0,0,0,3,4,0,27,9,5,20,3,0,3,3,3,4,50,14,4,29,0,5,0,9,3,0,68,21,5,26,0,3,7,7,7,3,75,6,7,5,0,0,3,5,0,0,22,0,0,5,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,52,25,99,11,8,21,21,24,14,276,0,0,0,5,0,4,0,0,0,11,0,0,0,4,0,0,0,0,0,5,4,3,3,8,10,4,0,3,0,32,5,14,3,12,18,4,0,3,0,65,17,6,7,13,20,3,0,5,0,76,5,14,3,8,12,11,0,6,0,63,8,6,0,5,5,8,0,0,0,35,4,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,42,37,16,66,67,34,0,24,3,300
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,8
