SOSR_CODE_2016,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
SOSR613,5,7,103,19,16,99,6,143,6,415,42,28,216,36,32,76,52,124,11,607,110,180,346,67,60,69,151,175,21,1184,153,161,274,88,65,69,173,166,16,1167,192,171,303,108,101,66,270,200,26,1433,145,161,238,77,74,59,198,166,24,1130,37,37,29,7,17,21,36,29,9,222,8,4,0,0,3,0,4,3,4,29,3,0,0,0,0,0,0,0,0,7,710,748,1514,401,361,456,890,1002,119,6189,3,4,14,82,32,264,5,64,3,481,16,73,41,150,83,119,0,70,5,556,68,277,74,216,189,159,12,81,18,1097,100,262,63,225,223,143,14,134,14,1187,108,285,63,314,333,175,20,196,22,1524,77,217,51,221,249,92,16,170,15,1102,11,23,5,31,31,15,0,26,7,155,4,6,0,0,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,386,1147,313,1235,1141,977,71,751,91,6122
SOSR614,3,0,24,4,0,24,5,31,3,106,7,5,86,11,3,14,16,38,5,188,36,24,144,11,15,20,85,80,14,431,42,22,90,32,12,20,70,57,10,359,43,35,103,28,14,18,98,67,9,415,33,37,88,28,21,18,74,57,12,367,9,13,15,11,3,3,16,9,4,84,3,4,4,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,180,138,548,129,64,120,363,346,58,1960,0,3,11,13,14,59,0,21,0,120,9,14,13,54,30,37,0,6,3,175,28,62,26,91,52,58,9,33,5,362,39,55,10,92,70,58,3,41,4,361,37,63,15,140,101,51,4,74,5,486,25,51,10,88,59,40,3,57,4,350,3,9,0,10,13,5,0,8,4,54,0,0,0,3,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,138,252,89,483,340,316,27,244,27,1914
SOSR615,19,10,135,38,11,161,20,179,9,591,63,38,402,45,30,85,133,254,22,1066,256,225,783,117,112,128,330,393,44,2387,365,271,625,122,141,121,366,343,51,2411,422,305,626,157,155,148,502,366,76,2750,361,235,506,140,138,134,471,302,56,2352,100,72,79,26,35,40,85,71,15,519,18,7,10,0,4,3,12,8,3,66,0,0,0,0,0,0,3,0,0,6,1614,1172,3163,646,618,822,1925,1909,277,12144,5,3,40,170,34,318,3,91,11,678,34,86,85,264,168,209,3,86,18,944,136,470,135,407,428,271,18,187,34,2088,203,463,117,457,506,277,26,259,34,2342,251,458,134,571,619,335,40,403,31,2846,187,356,106,396,498,220,33,311,24,2133,48,61,18,59,97,45,7,59,10,406,9,3,0,3,4,3,0,5,5,31,0,0,0,0,0,0,0,0,4,11,876,1902,629,2331,2359,1684,135,1402,158,11476
SOSR621,6,0,53,13,3,43,9,58,4,183,19,12,80,19,3,27,37,80,10,298,91,92,250,28,19,26,87,114,13,734,159,109,207,43,30,35,97,111,20,810,169,121,217,55,40,23,153,148,24,946,135,132,181,40,45,37,132,110,15,824,58,34,24,7,6,15,36,32,0,207,10,3,7,0,3,3,3,3,0,35,0,3,0,0,0,0,0,0,0,8,652,515,1019,208,148,204,551,649,85,4041,3,7,9,46,6,102,0,27,3,198,7,32,16,64,44,49,3,33,3,257,50,150,35,113,116,75,3,67,13,623,91,197,52,131,130,87,3,92,12,796,100,192,38,160,177,101,7,112,9,897,90,160,28,135,165,68,9,121,12,783,14,29,5,16,45,18,3,16,5,158,0,0,0,0,0,4,0,0,6,10,0,0,0,0,0,0,0,0,3,5,360,760,180,662,694,502,33,469,65,3729
SOSR622,3,3,24,7,4,24,4,36,3,107,14,4,50,12,3,11,17,37,8,159,39,30,115,11,14,18,71,58,12,366,64,61,111,19,17,16,76,62,8,430,89,69,155,29,33,28,100,87,16,596,86,80,135,18,25,30,104,99,9,589,44,18,18,9,6,4,28,14,3,156,9,3,3,0,3,4,0,3,0,29,0,0,3,0,0,0,0,0,0,7,343,271,610,105,100,133,402,400,57,2428,0,0,4,30,6,41,0,19,0,107,5,14,12,45,29,29,0,17,7,155,24,65,26,59,69,36,3,34,4,318,29,95,22,91,86,44,8,38,7,432,45,92,30,126,134,57,9,96,11,597,52,96,22,70,101,44,4,72,5,474,18,22,3,9,27,8,3,14,0,101,0,3,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,170,385,132,429,452,258,29,296,36,2192
SOSR631,49,14,310,67,19,239,58,357,27,1134,132,49,568,95,38,108,180,399,19,1596,541,272,1017,129,116,112,396,552,52,3188,1027,573,1103,218,148,163,588,624,88,4530,1388,731,1293,298,259,211,978,793,139,6099,1368,715,1033,214,240,224,749,631,117,5302,688,241,187,51,73,51,140,158,38,1634,186,22,14,7,3,8,14,23,25,294,26,4,0,3,4,0,3,0,3,44,5397,2623,5525,1088,900,1128,3112,3536,518,23827,23,14,66,272,66,540,10,187,22,1200,45,105,129,311,182,284,10,178,24,1270,289,643,224,519,570,281,21,292,37,2861,520,976,263,696,873,387,47,419,55,4246,754,1191,304,937,1262,509,74,634,84,5752,672,1008,198,654,945,324,56,459,56,4370,283,167,32,82,167,50,10,90,22,906,65,3,3,9,10,7,3,13,10,127,3,0,0,0,5,0,0,4,3,18,2655,4113,1217,3480,4084,2375,233,2277,315,20753
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,3,0,12,0,0,3,0,0,0,0,0,0,3,0,3,3,0,0,0,0,3,0,14,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,12,4,0,0,3,13,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,9
SOSR699,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,6,0,15,4,13,12,3,0,0,3,13,0,56,0,0,3,0,3,0,9,7,0,26,3,3,7,3,0,0,6,4,0,28,0,3,8,3,0,0,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,25,33,15,5,3,22,37,3,152,0,0,0,0,3,3,0,0,0,9,0,0,0,0,0,0,0,3,0,3,0,3,0,12,4,0,0,6,0,26,4,11,0,0,6,5,0,0,0,27,4,3,0,4,9,0,0,3,0,21,0,7,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,0,20,17,9,0,10,0,98
SOSR703,18,34,262,197,58,366,65,336,24,1364,167,200,942,714,180,279,282,441,96,3310,880,1548,3156,1216,540,377,820,1078,218,9829,1183,1346,2123,781,514,295,630,682,164,7720,1205,1063,1539,519,446,240,659,500,158,6320,816,772,855,243,345,143,530,336,92,4141,177,240,154,62,91,56,122,84,27,1007,20,17,13,0,11,15,3,4,9,95,0,0,3,0,0,0,0,3,0,10,4468,5230,9052,3730,2176,1766,3122,3459,793,33793,24,30,64,311,184,596,8,93,31,1334,137,367,173,652,682,448,47,176,57,2725,758,2489,409,1339,1811,652,82,439,121,8091,781,1921,227,895,1538,436,64,415,114,6394,804,1409,201,668,1407,398,68,437,86,5469,453,909,127,391,902,230,48,276,59,3396,88,166,29,59,213,60,7,51,20,695,3,11,3,9,7,4,3,3,0,44,0,0,0,0,0,0,0,0,3,9,3048,7304,1218,4313,6746,2830,325,1880,486,28155
SOSR712,3,7,50,54,3,94,8,79,9,312,18,40,149,53,24,41,23,73,14,445,159,286,353,268,72,67,90,124,41,1455,183,243,245,247,85,41,84,92,37,1251,219,264,216,184,82,43,104,96,41,1261,180,226,175,111,78,34,113,82,27,1029,43,56,33,25,14,10,24,30,7,242,3,3,3,0,0,0,3,6,0,19,0,0,0,0,0,0,0,0,0,0,810,1129,1221,940,361,334,453,594,175,6010,3,9,13,55,43,130,3,25,6,285,19,65,22,90,116,62,4,30,13,427,115,502,57,303,304,100,8,75,27,1493,129,493,45,219,255,63,10,59,27,1297,189,429,49,191,315,77,11,88,20,1370,131,285,17,164,238,58,4,57,13,954,25,43,11,26,47,18,9,8,6,196,3,6,0,4,4,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,617,1829,217,1055,1326,508,38,354,106,6038
