SOSR_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOSR301,..,16111,13410,3419,3141,3025,1699,593,132,41525,..,3336,8762,8355,10501,16001,18390,14564,8352,88260,3211,5017,3933,1899,1746,2077,1511,875,444,20716,186817,134231,151614,139683,128831,102956,73081,37453,15077,969758,..,6461,109367,162312,151883,123675,87476,36152,7605,684940,..,23784,61783,34396,23737,12150,4711,976,152,161701,..,3474,12909,22599,24612,12465,5634,3786,2461,87943,377641,..,..,..,..,..,..,..,..,377641,..,97797,..,..,..,..,..,..,..,97797,..,61354,30483,10672,6460,3075,535,15,0,112590,..,15068,9566,3400,4365,6425,5660,3893,2193,50566,..,13005,11243,3585,2600,1622,688,204,56,32996,..,32689,32244,9164,7409,6430,3607,1261,284,93086,..,6830,19856,20012,23445,28416,28401,20133,11130,158217,6414,9491,8536,4728,3807,3561,2592,1364,606,41089,384061,269950,295980,270871,248310,197818,139310,67783,24489,1898577
SOSR302,..,3592,3326,965,1091,1251,771,297,64,11359,..,913,1907,1877,2910,5025,6026,4519,2498,25671,662,1152,968,495,534,684,571,286,129,5479,44837,31810,35071,35676,34702,29795,23998,12129,4780,252793,..,1224,22681,38895,38180,32832,28314,12536,2640,177310,..,6064,16477,9644,7074,4187,2063,518,85,46093,..,677,3170,6596,7192,3461,1593,1090,762,24551,90648,..,..,..,..,..,..,..,..,90648,..,22774,..,..,..,..,..,..,..,22774,..,16164,6937,2661,1772,1016,207,5,0,28769,..,2745,1890,732,972,1557,1537,1132,690,11260,..,2820,2457,994,774,503,257,94,31,7943,..,6845,7582,2584,2438,2539,1713,679,148,24518,..,1793,4396,4878,6363,8446,9366,6434,3418,45092,1327,2220,2068,1222,1144,1133,958,467,189,10738,91979,63338,67655,68206,65904,55669,46020,22961,7959,489694
SOSR303,..,3861,2846,897,1263,1245,710,264,83,11171,..,1351,2714,2579,4331,7003,7553,6287,3538,35360,1068,1694,1225,616,881,991,850,434,168,7930,57645,37378,39868,41326,42470,36934,28545,15503,5955,305622,..,1868,27063,43156,44797,41084,33896,15817,3228,210910,..,8554,17842,11109,8873,5376,2369,524,84,54731,..,1237,4794,8525,8528,3797,1616,1153,756,30404,116119,..,..,..,..,..,..,..,..,116119,..,25478,..,..,..,..,..,..,..,25478,..,17991,6564,2629,1870,996,176,10,0,30242,..,3468,1930,822,1123,1665,1528,1025,614,12169,..,2793,2160,916,781,506,209,76,28,7464,..,7567,6699,2387,2711,2610,1519,548,155,24191,..,2713,6137,6325,9164,12205,11998,8757,4741,62037,2174,3253,2625,1552,1672,1762,1451,684,231,15392,118288,74916,75804,77421,79514,70003,54759,28594,9837,589135
SOSR311,..,907,675,231,372,401,267,110,29,2990,..,561,933,743,1515,2489,3001,2841,1505,13579,404,576,443,236,344,418,377,227,89,3106,21093,13181,13949,13473,14684,13673,11441,7082,2493,111072,..,762,9921,13752,15476,15580,13594,6929,1339,77356,..,3502,5908,3277,2836,1760,863,275,47,18467,..,718,2227,3156,2860,1247,609,614,316,11760,42365,..,..,..,..,..,..,..,..,42365,..,8253,..,..,..,..,..,..,..,8253,..,7030,2420,1143,925,463,65,3,0,12058,..,1191,580,308,496,697,604,469,240,4578,..,952,594,293,258,161,65,23,8,2348,..,1822,1678,710,864,813,588,261,53,6783,..,1048,2226,2030,3289,4590,4859,4087,2017,24146,851,1253,1055,620,690,738,664,353,123,6348,43213,26528,26608,25286,27711,26046,21906,13012,4139,214455
SOSR312,..,189,144,56,99,79,53,21,5,647,..,173,224,189,345,541,574,513,264,2825,136,160,122,60,82,81,66,37,15,766,5323,3074,3523,3293,3344,2878,2178,1258,452,25336,..,203,2587,3522,3560,3433,2587,1218,234,17344,..,1008,1615,866,762,401,177,49,3,4887,..,206,556,738,633,254,141,106,65,2705,10518,..,..,..,..,..,..,..,..,10518,..,1781,..,..,..,..,..,..,..,1781,..,1576,492,279,173,85,11,0,0,2619,..,268,127,63,110,157,121,96,51,991,..,191,113,61,61,30,15,0,0,476,..,454,338,155,222,195,119,54,9,1551,..,367,625,595,907,1105,985,731,353,5682,266,374,280,161,182,168,139,61,25,1656,10786,6428,6740,6443,6619,5833,4285,2323,740,50207
SOSR313,..,535,409,137,272,248,211,94,11,1915,..,359,579,492,1031,1638,2117,1844,967,9017,333,408,269,170,230,310,242,183,58,2206,15047,8579,9359,9102,9619,9095,7887,4594,1610,74885,..,589,6975,9512,9989,10305,9365,4668,923,52328,..,2486,4188,2408,1828,1220,641,150,20,12939,..,503,1471,2044,1922,801,390,332,188,7642,30204,..,..,..,..,..,..,..,..,30204,..,5151,..,..,..,..,..,..,..,5151,..,4510,1456,679,492,276,47,0,0,7453,..,785,323,186,292,452,392,238,131,2805,..,609,375,181,184,87,47,21,5,1521,..,1078,946,401,588,534,432,180,26,4178,..,719,1418,1313,2266,3055,3374,2591,1304,16045,635,840,647,399,472,559,438,271,85,4349,30837,17267,17800,17126,18033,17296,15118,8446,2682,144614
SOSR314,..,607,587,177,236,238,166,45,6,2065,..,319,523,426,848,1327,1597,1421,733,7191,292,358,255,124,178,236,189,112,46,1777,15410,8099,9518,9614,9446,8248,6469,3624,1223,71652,..,483,7268,10851,10664,9934,7997,3742,644,51593,..,2084,4100,2585,2060,1154,522,146,16,12664,..,344,1235,1871,1713,692,339,320,173,6692,31070,..,..,..,..,..,..,..,..,31070,..,5268,..,..,..,..,..,..,..,5268,..,4432,1395,601,479,247,41,6,0,7191,..,708,346,168,299,447,381,280,141,2770,..,611,512,182,171,108,55,25,4,1671,..,1183,1340,441,520,536,363,111,14,4513,..,668,1296,1223,1947,2683,2815,2074,1019,13722,587,709,591,335,381,408,318,170,66,3567,31653,16495,18081,18253,18233,16202,12826,6879,2082,140712
SOSR315,..,525,561,252,456,503,345,104,18,2760,..,369,622,580,1346,2233,2640,2039,963,10780,442,586,406,244,315,500,402,192,60,3138,23703,12335,13603,14012,14868,14388,11849,5446,1763,111966,..,750,9901,14643,15883,16502,14666,6038,1003,79386,..,3254,6123,4334,3716,2307,1065,235,21,21046,..,736,2077,3036,2548,1218,668,449,260,10982,47809,..,..,..,..,..,..,..,..,47809,..,7702,..,..,..,..,..,..,..,7702,..,7307,2476,1185,827,360,71,3,0,12227,..,1428,716,401,617,885,702,443,243,5428,..,866,552,311,289,186,104,41,10,2365,..,1088,1291,636,963,1087,754,255,34,6097,..,761,1622,1844,3274,4697,4853,3197,1361,21608,910,1163,932,664,710,878,745,347,80,6426,48716,25045,25688,27041,28822,28127,23619,11006,3017,221072
SOSR321,..,160,110,87,190,239,135,45,9,980,..,130,201,222,535,998,1037,774,283,4188,186,247,126,105,144,205,192,64,18,1292,8881,4624,4568,5533,6505,6584,5086,2109,576,44461,..,225,3094,5536,6996,7686,6541,2302,359,32739,..,1087,2250,1872,1834,1208,597,102,13,8968,..,270,731,1047,970,460,284,190,115,4078,17835,..,..,..,..,..,..,..,..,17835,..,3022,..,..,..,..,..,..,..,3022,..,2872,955,472,382,140,28,3,0,4855,..,541,271,189,281,339,309,207,90,2228,..,298,172,98,128,115,61,17,4,885,..,278,257,216,398,493,297,101,21,2058,..,275,539,699,1402,2179,2165,1297,448,9012,393,479,332,285,303,403,377,134,46,2756,18226,9344,8600,10410,12702,13015,10670,4355,1101,88437
SOSR322,..,101,62,35,102,100,67,14,3,484,..,62,118,123,265,490,556,383,133,2136,99,107,70,48,59,108,110,41,6,660,3696,1889,2016,2258,2827,3203,2558,1043,258,19755,..,90,1115,2102,2876,3704,3239,1151,174,14441,..,450,1023,877,783,630,289,67,3,4125,..,141,387,455,430,210,135,113,39,1914,7487,..,..,..,..,..,..,..,..,7487,..,1057,..,..,..,..,..,..,..,1057,..,1228,463,211,184,73,11,0,0,2166,..,298,125,90,135,168,140,70,46,1074,..,97,65,52,48,29,24,7,0,327,..,172,143,107,207,223,162,60,13,1085,..,133,309,378,753,1145,1285,726,216,4943,192,222,157,121,160,218,193,86,23,1365,7680,3887,3779,4388,5577,6401,5469,2279,516,39984
SOSR331,..,512,430,311,675,802,488,111,26,3362,..,337,518,666,1654,2784,2740,1704,623,11019,582,877,579,333,573,848,613,211,64,4677,36101,19018,17344,24298,31069,29033,19991,7168,1876,185900,..,935,14106,29332,39775,40101,29861,9947,1409,165473,..,3028,7017,6767,7403,5073,2107,380,40,31814,..,515,1756,3023,3363,1693,1048,818,416,12637,73537,..,..,..,..,..,..,..,..,73537,..,15662,..,..,..,..,..,..,..,15662,..,13406,4953,2311,1624,666,107,7,0,23067,..,1339,562,388,643,1196,1394,975,630,7135,..,1482,890,542,658,545,362,127,30,4644,..,1029,1041,839,1488,1770,1191,332,61,7742,..,840,1698,2335,5021,7310,6743,3514,1124,28584,1216,1837,1414,1042,1321,1707,1312,391,104,10350,74760,40072,33445,46581,61293,60056,44128,16492,3817,380645
SOSR379,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,9,0,0,3,0,0,0,4,0,0,9
SOSR399,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,197,296,383,206,262,480,297,51,0,2180,197,296,383,206,262,480,297,51,0,2180,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,402,654,939,620,610,860,634,126,5,4858,402,654,939,620,610,860,634,126,5,4858
SOSR401,..,6940,5697,1464,1546,1638,920,326,87,18615,..,2125,5862,5254,7821,13061,14699,12851,8286,69949,1453,2387,2025,994,996,1160,1081,652,362,11117,94005,69957,78816,72096,74354,68091,52058,30482,13327,553199,..,3212,57294,82835,82534,77116,61505,30381,7288,402170,..,9356,28867,16824,13900,8662,3445,821,151,82023,..,1646,7115,12777,15657,8724,3374,2654,1701,53651,190148,..,..,..,..,..,..,..,..,190148,..,59023,..,..,..,..,..,..,..,59023,..,33165,20395,6333,4420,2075,335,13,0,66733,..,7590,4682,1637,2066,3137,2313,1640,1046,24118,..,4973,3974,1298,942,572,234,59,11,12071,..,14403,14116,4151,3975,3468,1923,660,180,42881,..,4300,13399,13618,18671,23618,22573,17545,11030,124745,3023,4626,4668,2626,2319,2086,1797,989,506,22643,193167,142293,154516,142096,144487,129463,97499,54764,21915,1080202
SOSR412,..,185,140,43,94,72,42,24,4,618,..,211,359,278,590,850,1021,971,487,4768,180,227,152,88,112,125,105,65,26,1075,6704,4332,4353,4183,4878,4283,3325,2153,747,34957,..,193,2967,4329,5203,5033,3900,2083,447,24163,..,1056,1876,1162,1009,543,200,32,9,5887,..,238,772,971,1061,438,151,146,78,3859,13250,..,..,..,..,..,..,..,..,13250,..,3109,..,..,..,..,..,..,..,3109,..,2425,846,298,229,99,17,0,0,3914,..,293,126,67,96,143,108,77,49,973,..,179,113,53,63,36,5,4,0,460,..,400,343,140,205,184,91,40,6,1419,..,432,925,865,1476,1707,1555,1385,655,9007,355,421,371,211,224,210,176,101,37,2095,13608,8746,8352,8099,9566,8386,6224,3864,1288,68132
SOSR413,..,282,232,81,115,136,95,36,12,987,..,208,395,337,703,1288,1594,1357,844,6727,207,273,170,118,134,175,207,99,30,1418,8793,5456,5278,5794,6495,6449,6012,3283,1291,48859,..,252,3643,5932,6872,7324,7382,3553,725,35689,..,1166,2385,1595,1497,908,414,121,28,8112,..,218,745,1260,1317,640,306,180,119,4776,17525,..,..,..,..,..,..,..,..,17525,..,4270,..,..,..,..,..,..,..,4270,..,2881,1127,474,298,140,29,0,0,4954,..,448,221,113,142,208,189,119,66,1514,..,308,238,95,73,49,15,3,3,786,..,592,568,221,231,281,180,77,17,2172,..,431,955,956,1630,2377,2451,1876,1141,11817,410,523,383,273,285,322,355,176,51,2774,17938,11094,10278,10909,12346,12248,11316,6113,2148,94378
SOSR414,..,56,44,18,34,37,22,15,0,232,..,36,66,95,158,303,431,422,239,1754,30,56,25,16,28,53,60,28,4,295,1836,1030,1123,1181,1335,1591,1732,1050,374,11251,..,52,936,1248,1353,1806,2194,1163,261,9014,..,229,518,300,298,234,132,45,8,1763,..,22,127,250,295,132,43,44,24,940,3616,..,..,..,..,..,..,..,..,3616,..,789,..,..,..,..,..,..,..,789,..,533,198,88,56,43,5,0,0,923,..,76,36,20,20,37,39,29,18,273,..,70,38,20,19,12,5,3,0,171,..,144,139,94,97,85,48,26,4,631,..,82,199,233,356,571,672,580,329,3033,78,105,67,44,58,82,108,41,13,594,3692,2113,2248,2304,2553,2997,3244,1933,661,21744
SOSR415,..,203,166,60,121,137,95,31,8,821,..,239,422,324,703,1218,1512,1572,1002,6991,149,225,143,97,116,208,201,101,43,1275,9007,5171,5385,5863,6819,6763,6088,3629,1477,50207,..,269,4120,6350,7453,8186,7758,3807,810,38753,..,1189,2491,1713,1568,1035,485,149,28,8659,..,161,690,1249,1275,548,206,202,132,4460,18245,..,..,..,..,..,..,..,..,18245,..,4106,..,..,..,..,..,..,..,4106,..,2977,1007,335,340,164,35,0,0,4865,..,426,193,73,170,197,161,126,80,1431,..,226,148,82,74,54,22,6,4,606,..,474,456,203,305,283,196,67,25,2004,..,485,1053,992,1767,2514,2560,2246,1328,12952,321,440,335,238,232,353,365,168,53,2500,18563,10759,10479,11236,13185,13338,11794,6771,2457,98589
SOSR421,..,41,37,12,41,66,30,12,0,239,..,48,93,88,182,363,472,402,251,1895,38,68,54,25,35,62,71,29,15,397,2659,1433,1488,1711,2099,2218,1862,970,386,14827,..,58,1173,1902,2434,2816,2371,1088,208,12056,..,293,684,503,539,383,191,46,7,2642,..,42,174,309,334,140,64,54,31,1150,5345,..,..,..,..,..,..,..,..,5345,..,1201,..,..,..,..,..,..,..,1201,..,801,315,96,81,43,14,0,0,1351,..,104,52,21,40,57,45,26,24,372,..,73,51,15,20,12,9,0,0,181,..,102,103,54,97,121,58,19,3,555,..,108,303,292,518,836,854,615,346,3867,79,151,107,72,81,128,131,49,24,822,5427,2941,2959,3261,4141,4534,3738,1902,646,29544
SOSR422,..,13,23,16,27,31,18,5,0,132,..,37,58,42,143,237,253,196,110,1071,37,53,26,18,43,55,51,21,8,303,1562,909,950,1006,1326,1457,1141,556,193,9098,..,123,691,1021,1383,1723,1522,693,136,7284,..,177,478,337,334,270,112,17,4,1722,..,25,127,214,216,98,44,37,17,773,3199,..,..,..,..,..,..,..,..,3199,..,631,..,..,..,..,..,..,..,631,..,544,200,80,69,31,0,0,0,921,..,141,73,55,60,53,49,22,14,475,..,49,15,12,18,16,11,0,0,124,..,33,43,35,59,61,54,16,4,305,..,81,168,182,440,595,576,351,167,2557,73,89,64,70,90,118,94,47,8,654,3268,1890,1855,2009,2653,2964,2459,1183,353,18646
SOSR431,..,118,97,63,181,199,122,32,4,814,..,113,197,210,563,988,976,664,289,4005,186,315,191,112,169,280,193,73,25,1541,11672,6350,5322,7675,10495,10291,6793,2410,674,61682,..,274,4460,9800,13994,14794,10566,3359,521,57770,..,778,2172,2184,2635,1926,726,106,14,10551,..,99,418,761,1103,545,245,203,143,3521,23815,..,..,..,..,..,..,..,..,23815,..,6131,..,..,..,..,..,..,..,6131,..,4465,1763,585,425,198,31,0,0,7466,..,396,181,96,181,266,258,169,122,1670,..,286,168,98,118,96,45,18,4,825,..,283,267,193,375,444,252,81,16,1910,..,337,740,942,2053,2884,2453,1267,469,11144,393,625,440,327,423,595,420,136,45,3403,24207,13666,10602,14996,21301,21752,14992,5345,1338,128199
SOSR479,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,60,76,104,59,70,61,34,7,3,485,60,76,104,59,70,61,34,7,3,485,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,120,206,309,199,168,154,94,21,3,1277,120,206,309,199,168,154,94,21,3,1277
SOSR501,..,7831,9334,2297,2044,2087,1213,460,138,25409,..,2840,8814,7296,9191,15627,17593,15407,8574,85340,2158,3340,2982,1445,1324,1687,1481,876,445,15736,165780,110463,137906,124295,117343,97457,68674,38369,14668,874964,..,5516,103961,151651,143983,118901,85637,39480,8301,657431,..,17144,56574,28812,21497,11911,4778,1138,191,142041,..,2402,9917,17670,21352,11531,4592,3041,1886,72391,335911,..,..,..,..,..,..,..,..,335911,..,93603,..,..,..,..,..,..,..,93603,..,55708,28637,8311,4994,2422,421,15,3,100514,..,13483,9191,2650,3129,4729,3852,2717,1616,41370,..,7699,9124,2635,1694,962,335,112,39,22602,..,17265,24295,7071,5397,4570,2599,970,271,62448,..,6154,20779,18623,21888,28121,27491,21088,11372,155513,4350,6420,6685,3581,2927,2895,2419,1381,610,31267,340260,225392,269174,240994,226873,186044,132121,69947,24281,1715089
SOSR511,..,203,195,46,75,91,45,17,3,682,..,91,251,199,366,703,711,623,347,3302,132,148,130,62,107,119,91,45,19,852,6897,3812,4427,4488,4558,3959,2768,1470,566,32940,..,226,3285,5153,5300,4744,3536,1522,349,24115,..,911,1953,1116,960,568,197,46,3,5752,..,162,564,933,808,342,144,84,49,3098,13792,..,..,..,..,..,..,..,..,13792,..,2772,..,..,..,..,..,..,..,2772,..,2195,697,226,166,59,13,0,0,3349,..,335,138,39,103,130,88,71,49,962,..,271,173,61,46,21,11,0,0,585,..,403,503,143,168,182,94,30,8,1535,..,214,678,629,866,1241,1092,836,438,6003,275,307,292,165,181,199,147,78,29,1680,14072,7794,8290,8473,8612,7483,5320,2666,928,63641
SOSR512,..,347,261,103,164,147,83,24,6,1136,..,185,437,363,721,1136,1174,1188,566,5761,207,265,222,118,173,214,176,94,41,1503,11023,6165,6846,7060,7303,6249,4467,2708,952,52776,..,285,4992,7510,7904,7160,5387,2622,609,36468,..,1664,3318,2140,1702,1035,386,121,15,10379,..,241,809,1382,1351,554,237,174,111,4852,21976,..,..,..,..,..,..,..,..,21976,..,4035,..,..,..,..,..,..,..,4035,..,3687,1048,409,278,144,26,3,0,5599,..,626,341,149,196,255,235,146,86,2040,..,403,246,118,93,55,21,9,0,952,..,752,724,300,382,319,179,57,13,2723,..,437,1154,1015,1707,2168,1975,1629,794,10882,420,517,480,300,328,374,313,144,58,2920,22397,12643,13115,13321,13940,12063,8758,4901,1682,102826
SOSR513,..,152,254,80,74,47,16,8,4,636,..,146,311,194,255,350,265,171,74,1766,87,111,107,70,82,100,47,11,5,633,5459,2503,4402,3623,2875,1982,895,401,121,22259,..,147,3174,4078,3231,2238,961,321,51,14205,..,826,2459,1410,969,493,120,21,0,6289,..,117,399,470,438,181,91,41,12,1748,11061,..,..,..,..,..,..,..,..,11061,..,1399,..,..,..,..,..,..,..,1399,..,1205,376,137,58,23,3,0,0,1799,..,357,167,81,107,113,65,50,12,956,..,170,229,84,69,61,8,4,4,630,..,322,564,224,229,122,49,16,4,1532,..,293,746,594,734,834,509,285,108,4100,208,221,265,195,193,201,98,28,9,1429,11265,5053,8382,7274,6031,4269,1903,771,208,45155
SOSR514,..,90,116,30,33,36,12,4,0,331,..,51,112,107,186,344,376,242,129,1551,59,67,71,30,31,53,43,33,12,407,3510,1623,2326,2348,1989,1825,1395,613,219,15839,..,97,1558,2558,2165,2060,1688,661,120,10900,..,347,1162,757,536,295,122,22,5,3250,..,81,261,454,434,176,78,41,26,1546,7187,..,..,..,..,..,..,..,..,7187,..,1096,..,..,..,..,..,..,..,1096,..,951,304,131,58,40,5,0,0,1490,..,137,81,33,46,59,49,46,28,481,..,120,109,40,21,22,14,3,0,327,..,196,314,87,79,80,43,12,0,818,..,112,282,299,458,634,616,351,164,2925,126,138,164,86,81,99,79,44,14,833,7318,3276,4230,4446,3873,3468,2691,1186,360,30853
SOSR515,..,194,201,70,96,91,61,30,12,750,..,159,325,272,507,854,845,758,352,4070,201,192,210,105,142,177,122,48,22,1213,8138,3931,5052,5063,4915,4462,3299,1820,595,37275,..,201,3393,5296,5097,4931,4035,1857,339,25143,..,1240,2620,1747,1472,855,316,96,14,8358,..,191,641,889,897,388,168,137,69,3378,16363,..,..,..,..,..,..,..,..,16363,..,2338,..,..,..,..,..,..,..,2338,..,2081,641,279,199,89,17,0,0,3313,..,523,204,138,189,206,155,96,61,1571,..,256,216,87,56,48,19,12,7,700,..,508,513,206,240,228,121,59,25,1902,..,354,836,779,1339,1865,1590,1138,492,8391,424,373,436,281,299,315,229,83,35,2469,16791,8068,9497,9690,9788,8931,6655,3483,1032,73936
SOSR521,..,64,93,44,73,64,31,12,0,378,..,78,138,144,297,436,438,396,152,2076,97,103,73,41,67,96,77,33,10,597,3962,1982,2404,2376,2822,2642,1887,963,280,19324,..,138,1568,2316,2811,2931,2354,994,172,13293,..,454,1166,871,857,595,208,46,8,4208,..,110,354,415,452,249,126,81,37,1827,7958,..,..,..,..,..,..,..,..,7958,..,1127,..,..,..,..,..,..,..,1127,..,1235,481,221,141,49,7,0,0,2126,..,343,162,93,132,148,116,55,38,1088,..,120,84,50,32,33,18,3,4,344,..,140,191,116,169,157,89,20,4,885,..,160,360,420,750,1016,911,635,229,4480,182,210,169,120,144,170,146,65,20,1224,8144,4039,4539,4619,5480,5350,3980,1898,509,38561
SOSR522,..,18,28,11,27,27,21,4,0,134,..,52,84,62,134,241,179,162,47,960,67,58,61,30,31,55,34,16,4,349,1928,969,1183,1016,1221,1248,795,427,103,8894,..,132,703,892,1071,1235,987,435,82,5546,..,199,609,411,399,263,101,21,0,2005,..,67,176,212,219,122,46,37,20,905,3756,..,..,..,..,..,..,..,..,3756,..,439,..,..,..,..,..,..,..,439,..,551,207,93,58,23,3,0,0,939,..,251,119,81,97,94,75,42,15,765,..,43,29,21,17,9,3,0,0,117,..,35,60,24,54,59,53,9,0,303,..,95,191,168,371,537,416,266,83,2136,121,111,135,78,77,107,66,33,3,726,3881,1914,2238,1984,2369,2451,1752,837,202,17632
