SOSR_CODE_2016,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOSR101,52090,106089,266000,232239,206760,130237,28275,2557,389,1024629,67457,39144,75487,70546,63703,93493,126119,85336,45587,666871,5318,9394,24088,17140,14144,12206,9997,7781,6791,106861,124874,154626,365579,319928,284607,235941,164386,95672,52767,1798364,15580,95093,384389,343494,297003,176735,30511,2010,294,1345105,60843,88909,117571,116199,102281,81081,33615,4837,521,605856,3255,4682,17865,12870,7744,7780,2707,364,60,57316,2419,5574,11340,8063,7078,4331,1318,356,141,40619,82091,194256,531171,480629,414102,269934,68146,7558,1020,2048906,4030,10140,19051,13971,12786,8573,684,83,27,69348,15181,13197,11293,8492,7154,6285,1280,158,28,63074,19214,23338,30347,22462,19942,14856,1968,235,57,132418,101299,217591,561519,503087,434045,284793,70117,7790,1077,2181320,143924,75497,110382,95884,94725,148427,227884,152813,71831,1121367,11295,19312,49328,35900,29539,24566,19312,13733,10067,213060,256521,312400,721227,634879,558311,457780,317307,174334,82975,3515745
SOSR102,16928,23633,45308,47652,50258,34313,5641,470,68,224266,11372,6240,12546,12438,13327,26944,43921,29923,14588,171288,1083,1514,2840,2576,2901,3092,3314,3416,3374,24104,29387,31383,60694,62664,66486,64346,52877,33803,18027,419667,5414,21656,59226,60480,64296,40102,4870,313,35,256381,18733,19094,24799,28789,28391,23765,7373,829,83,151858,963,1367,4379,2962,2643,2873,647,77,16,15928,615,1037,1534,1329,1311,906,321,133,42,7228,25731,43146,89936,93558,96640,67648,13204,1357,175,431399,2127,3264,3664,3019,3202,2254,128,13,7,17689,4616,2568,2130,1784,1546,1490,289,39,4,14471,6748,5830,5792,4804,4749,3741,424,56,12,32156,32471,48977,95734,98364,101393,71389,13629,1414,190,463553,25454,12113,18442,18272,21961,45712,80999,53692,23490,300138,2256,3045,5962,5458,6172,6286,6374,5834,4862,46245,60181,64140,120129,122090,129517,123390,101006,60940,28538,809935
SOSR111,2301,3180,6452,6100,6255,4125,709,50,12,29185,1440,827,1881,1672,1594,3135,4864,3090,1479,19986,159,244,491,400,391,407,381,394,215,3080,3902,4254,8825,8168,8236,7675,5951,3537,1705,52252,803,3158,8471,7888,7960,5041,633,28,3,33980,2554,2144,3466,3613,3313,2835,896,100,5,18923,112,151,591,352,319,384,95,8,4,2020,90,124,191,179,173,94,34,15,14,915,3556,5577,12721,12038,11762,8351,1658,142,27,55831,335,517,574,462,475,279,16,0,0,2662,528,289,300,264,201,199,34,3,3,1816,864,801,874,720,681,480,51,3,3,4478,4418,6382,13596,12762,12443,8831,1710,147,26,60315,3143,1346,2517,2420,2605,5102,8893,5439,2259,33724,357,496,981,866,858,839,702,639,338,6081,7913,8223,17097,16041,15905,14772,11310,6229,2622,100115
SOSR112,7648,9889,20136,20183,22105,16835,3348,326,46,100511,5910,3428,6451,5401,5667,11441,20134,14424,7223,80083,799,1052,1755,1433,1697,1794,1829,1768,1352,13482,14349,14364,28340,27017,29475,30073,25319,16518,8620,194076,2725,10076,25792,25242,27458,19248,2942,234,39,113743,8440,6817,11120,11636,11859,11221,4231,604,51,65973,490,629,1750,1083,1038,1307,398,37,4,6750,388,453,694,592,610,414,182,79,17,3430,12036,17974,39349,38555,40961,32191,7758,954,116,189897,1011,1534,1746,1447,1364,990,66,14,6,8177,1597,949,922,804,697,705,150,18,3,5837,2608,2479,2669,2249,2059,1694,220,25,3,14014,14640,20456,42019,40809,43022,33889,7976,979,118,203913,12599,6203,9988,8931,9882,19515,36381,25238,11081,139816,1589,2104,3584,3010,3409,3639,3512,2940,2012,25794,28829,28762,55597,52744,56316,57040,47872,29158,13209,369524
SOSR113,4024,4946,10260,10946,12551,9668,1798,164,45,54410,3209,1811,4053,3640,4094,8833,15177,10496,5196,56515,375,490,965,894,1047,1294,1459,1385,1192,9105,7610,7253,15284,15479,17687,19800,18432,12055,6431,120026,1534,5173,13038,13065,15043,10597,1501,128,30,60117,4520,3414,6113,6897,7444,7044,2325,279,31,38072,277,358,936,641,712,909,249,36,12,4124,201,270,373,381,391,312,129,53,30,2144,6529,9218,20457,20985,23594,18857,4209,503,106,104451,717,980,1246,1022,1069,753,38,11,5,5836,846,453,608,480,471,480,90,9,0,3442,1564,1428,1858,1495,1544,1232,129,18,10,9280,8094,10650,22312,22485,25133,20087,4339,522,111,113734,7053,2990,5965,5829,7162,15272,28376,19107,8209,99960,806,1003,2026,1849,2219,2575,2752,2391,1773,17393,15950,14638,30304,30165,34512,37936,35465,22019,10099,231091
SOSR114,3445,4092,8672,9903,11089,8568,1701,168,46,47688,2874,1271,3126,2768,3053,6807,12504,8762,4213,45377,429,447,914,857,1062,1193,1293,1306,983,8479,6753,5808,12706,13529,15202,16562,15500,10240,5243,101541,1443,4552,10759,11863,13158,9474,1564,152,27,52997,3833,2700,5144,6070,6499,6257,2170,289,27,32995,237,269,835,595,637,815,239,36,8,3655,179,238,343,403,366,312,120,71,31,2053,5691,7755,17084,18929,20660,16859,4089,539,95,91699,474,666,788,749,727,596,32,15,8,4053,595,321,423,424,370,387,76,11,0,2618,1070,991,1204,1178,1096,987,107,30,4,6668,6760,8746,18290,20102,21756,17851,4194,566,99,98370,6084,2008,4305,4166,5304,11709,23284,15912,6627,79404,895,907,1847,1849,2146,2344,2522,2285,1452,16254,13744,11658,24441,26122,29205,31907,29996,18767,8178,194026
SOSR115,4852,5864,12766,14705,17067,13415,2649,283,78,71682,4362,1813,4470,4062,4643,10750,18861,12117,5919,67004,639,541,1240,1283,1565,1727,1896,1622,1228,11739,9856,8219,18481,20054,23281,25886,23402,14020,7225,150430,2260,6693,16270,17905,20467,14899,2479,242,55,81270,5244,3916,7378,9003,10113,9908,3411,422,62,49451,298,368,1240,890,1020,1367,368,52,14,5614,316,358,561,513,536,482,177,96,36,3066,8121,11336,25440,28314,32130,26652,6430,815,166,139406,742,870,1206,1075,1108,893,55,19,4,5968,797,444,567,522,508,616,98,15,6,3578,1535,1315,1773,1601,1615,1508,147,31,12,9545,9656,12651,27210,29913,33751,28164,6584,844,179,148947,9138,3010,6233,6294,7903,18743,35896,22406,9395,119007,1292,1171,2526,2562,3195,3616,3794,2902,1875,22938,20085,16834,35972,38766,44847,50519,46275,26147,11444,290897
SOSR121,1408,1410,2990,4151,5034,3933,719,81,18,19729,1267,501,1101,1075,1361,3037,4824,2468,976,16606,142,148,307,335,395,485,401,289,127,2627,2816,2055,4399,5554,6787,7450,5947,2833,1114,38963,579,1603,3660,4961,6197,4406,694,56,10,22164,1562,1023,1855,2599,2989,2942,920,141,12,14044,105,98,299,225,307,359,127,15,0,1524,73,84,122,122,174,133,49,28,9,794,2317,2804,5932,7896,9662,7841,1788,245,40,38532,182,249,265,271,294,288,15,3,0,1562,248,111,139,156,158,202,39,6,0,1063,428,361,397,423,459,488,61,8,0,2629,2749,3167,6335,8322,10119,8335,1851,247,41,41161,2645,826,1509,1610,2313,5401,9369,4847,1677,30207,324,280,601,668,787,976,851,564,215,5263,5717,4275,8442,10602,13224,14709,12074,5664,1934,76622
SOSR122,726,745,1559,2213,2819,2213,468,52,6,10793,702,275,652,640,823,1891,2701,1348,503,9537,98,64,193,219,274,321,286,199,97,1754,1523,1082,2407,3082,3916,4430,3456,1595,604,22088,323,847,1975,2650,3365,2504,430,44,16,12142,818,525,938,1385,1731,1702,617,76,10,7804,57,46,154,149,169,247,69,10,0,913,53,43,69,93,104,86,29,18,3,507,1251,1459,3137,4274,5374,4542,1147,157,21,21364,112,122,186,165,202,201,3,0,0,1000,125,64,75,80,93,108,21,0,0,571,237,180,260,246,297,313,25,3,0,1567,1492,1645,3390,4526,5671,4858,1170,156,21,22932,1482,448,915,997,1494,3434,5439,2812,868,17886,221,149,408,452,546,685,627,377,155,3622,3192,2238,4713,5975,7709,8979,7240,3341,1046,44437
SOSR131,7986,8335,16074,24047,32288,25291,7333,1353,193,122906,7734,2250,5123,5835,7388,14796,20509,9032,3092,75753,1298,947,1939,2609,3499,3684,2912,1401,669,18962,17018,11532,23136,32498,43171,43769,30752,11785,3961,217622,4608,10768,21813,30652,42839,32338,9390,1917,272,154594,8861,5562,8878,14484,18620,18521,8184,1718,275,85105,594,504,1693,1425,1869,2362,931,204,47,9613,572,530,758,987,1208,998,618,345,66,6089,14631,17362,33132,47544,64534,54217,19128,4188,665,255400,733,1006,1150,1193,1533,1276,86,8,6,6992,1285,476,557,618,764,949,176,23,7,4853,2009,1487,1714,1812,2293,2229,264,27,10,11846,16640,18841,34842,49355,66829,56446,19387,4212,676,267240,16414,4114,7949,8944,12450,26670,41478,18948,5540,142489,2692,2175,4070,5284,7304,7829,6317,3019,1157,39843,35753,25135,46857,63585,86576,90948,67180,26179,7371,449576
