SOSR_CODE_2016,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
SOSR179,0,3,9,11,20,10,6,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,4,0,0,0,0,9,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,3,6,6,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOSR199,63,284,637,441,319,228,61,3,5,2042,3,21,30,4,3,4,0,0,0,64,0,0,3,3,0,0,0,0,0,7,0,4,20,6,3,3,0,0,0,41,0,0,3,0,0,0,0,0,0,3,0,4,13,0,10,0,0,0,0,27,0,3,3,3,3,3,0,0,0,23,3,27,42,9,15,13,0,0,0,108,17,65,81,14,10,17,3,0,0,196,0,3,5,6,0,0,0,0,0,23,0,3,13,4,3,0,0,0,0,27,0,3,17,12,15,3,0,0,0,44,0,3,11,3,4,4,3,0,0,20,0,16,38,13,8,11,4,0,0,84,3,9,24,20,10,4,0,0,0,72,5,11,20,10,16,12,0,0,0,74,3,20,29,20,25,20,4,0,0,124,3,13,61,26,42,38,5,0,0,186,5,11,17,8,9,0,0,0,0,49,0,16,13,9,0,3,0,0,0,42
SOSR201,37856,96395,270451,244656,211767,140286,37966,4617,699,1044686,81,298,778,782,866,516,175,38,9,3531,3,26,266,379,234,108,14,3,0,1035,1896,2749,9341,11183,11869,6903,1206,99,7,45256,31,334,2168,1883,1188,498,68,3,0,6173,219,1295,5040,5161,4793,2449,551,45,7,19566,431,1942,6557,6923,6483,3330,624,42,9,26348,13552,21833,25104,18026,18487,11247,2346,184,12,110789,15653,14906,15253,7895,7039,3877,679,70,10,65380,228,1563,5644,5824,5795,3225,500,31,7,22807,618,1600,5373,4433,3048,1404,239,7,5,16736,200,2655,14267,12757,8875,4043,729,52,24,43599,336,1816,5192,3844,3233,1804,564,69,20,16871,575,6350,26507,21202,15255,7902,2142,172,21,80130,406,3041,9904,8024,7865,4957,1145,103,12,35458,272,2042,11437,13152,12594,7656,1424,118,16,48716,2252,7467,27874,27468,29240,20461,3727,239,46,118773,1683,13476,48580,42070,42596,30911,6437,383,50,186197,1893,3136,4940,3692,2961,1591,491,46,17,18765,1012,3679,9090,7154,6847,3838,909,64,5,32605
SOSR203,1745,3895,8433,7629,7230,5459,1287,169,26,35868,7,11,32,32,38,27,13,4,0,163,0,3,7,7,0,7,0,0,0,18,103,131,217,217,250,197,31,0,0,1151,3,41,88,69,41,16,0,0,0,268,9,41,128,162,154,85,22,3,0,595,16,60,101,111,96,68,9,0,0,462,675,932,1068,817,846,593,84,3,3,5010,931,756,496,334,302,210,39,3,0,3070,8,40,95,94,132,85,12,4,0,475,34,51,87,67,46,43,11,0,0,342,4,77,365,320,265,99,13,3,3,1149,5,64,135,95,74,61,15,5,0,455,20,137,435,446,349,221,49,3,0,1663,13,85,214,267,319,208,48,3,0,1157,12,106,459,533,529,361,71,0,0,2076,69,296,1063,1135,1203,884,123,5,0,4773,88,746,2002,1820,2170,1679,284,12,0,8799,67,89,103,92,87,50,26,0,0,503,49,174,291,236,220,151,37,7,0,1167
SOSR211,3339,6638,14482,13036,12190,9355,2212,252,30,61541,14,29,60,83,78,60,24,6,0,360,0,11,21,29,39,18,3,0,0,124,208,285,530,529,571,388,55,3,0,2572,0,16,86,89,78,50,3,0,0,314,22,98,261,312,279,174,18,0,0,1165,32,58,160,154,167,103,19,3,0,683,1173,1408,1565,1258,1420,963,168,10,6,7967,1556,1116,875,602,546,360,60,3,3,5122,21,104,285,255,319,248,42,4,3,1277,41,90,206,153,110,62,13,0,0,677,12,146,534,494,396,227,28,3,0,1837,25,94,178,133,159,101,15,0,0,711,52,226,692,608,493,287,68,3,0,2439,37,154,400,407,462,377,54,6,0,1900,29,187,787,940,926,676,111,8,3,3677,120,509,1736,1842,1883,1360,189,3,3,7648,193,1290,3513,3131,3443,2882,390,21,10,14874,108,168,197,162,158,107,30,0,0,936,108,300,514,344,359,255,55,0,0,1943
SOSR212,2277,3697,8433,7823,8084,6165,1566,162,39,38243,16,48,133,113,110,86,42,7,3,557,0,0,5,8,9,3,3,0,0,35,90,99,291,285,353,222,24,3,0,1377,8,24,79,90,96,49,0,0,0,353,17,39,158,144,174,99,13,3,0,658,18,61,130,110,127,78,15,0,0,530,893,744,937,844,1043,706,109,6,0,5289,949,542,487,385,398,272,72,3,0,3111,13,77,173,183,268,154,35,0,0,904,31,62,84,70,75,41,5,0,0,370,8,84,218,258,220,111,12,3,0,923,15,40,108,139,118,51,23,0,0,493,36,159,400,344,347,185,51,11,0,1527,19,103,283,273,362,239,60,5,0,1357,22,142,502,662,643,448,84,7,0,2512,86,287,927,1110,1228,895,113,6,0,4639,111,747,2017,1858,2130,1839,259,12,3,8971,62,73,89,92,67,45,14,4,0,449,58,164,310,271,268,173,33,3,4,1283
SOSR213,3237,4858,11275,11551,11711,9576,2361,347,42,54954,25,76,149,140,133,116,56,12,3,706,0,0,17,11,17,8,3,0,0,57,176,196,394,423,461,334,44,8,0,2042,3,21,79,78,80,28,0,0,0,288,23,58,206,253,274,166,29,4,0,1010,38,69,134,165,179,117,13,3,0,719,1089,875,1274,1293,1431,1029,144,19,3,7150,1345,786,757,640,680,459,91,7,6,4761,19,71,131,209,266,194,29,3,0,928,35,59,120,122,106,45,10,0,0,502,16,98,370,356,311,166,24,0,0,1340,21,87,179,171,160,96,30,6,0,747,50,154,522,606,514,351,76,9,0,2283,29,99,282,441,488,305,88,16,0,1748,29,150,696,906,987,643,105,3,3,3521,112,327,1462,1668,1898,1381,205,17,3,7065,151,879,2616,2633,3271,2862,426,19,4,12867,96,91,138,154,118,99,29,4,0,724,94,257,487,391,404,261,81,6,0,1984
SOSR214,1659,2430,5042,5456,6286,5406,1435,226,43,27979,14,26,59,88,109,65,42,17,0,423,0,0,13,9,12,7,0,0,0,39,139,144,258,328,384,245,47,0,0,1541,0,6,27,28,25,15,0,0,0,104,8,29,110,121,137,81,17,8,0,508,14,16,67,79,82,70,8,0,0,334,518,377,533,599,793,540,131,11,0,3509,576,351,405,376,457,324,63,7,3,2557,13,34,79,99,139,116,22,0,0,501,10,16,38,58,44,47,15,0,0,232,3,39,131,165,155,86,9,4,0,595,14,23,62,82,76,60,11,6,0,335,21,66,209,287,261,190,59,0,0,1099,16,44,140,189,233,197,51,11,3,874,6,68,280,406,483,334,72,6,0,1668,33,122,580,801,941,690,118,3,0,3299,77,365,1062,1212,1738,1529,270,14,6,6282,31,53,78,91,104,69,20,0,0,450,46,105,214,173,191,154,33,3,3,930
SOSR215,2347,3788,8552,9499,10287,8967,2618,380,88,46524,34,93,171,198,172,174,93,31,0,964,0,6,15,12,16,14,0,0,0,61,164,155,348,428,510,370,73,3,0,2047,5,9,51,74,70,36,0,0,0,251,16,52,204,263,220,138,41,3,0,928,11,45,124,141,187,82,17,0,0,606,839,616,890,995,1238,954,174,7,6,5716,804,582,663,655,718,515,118,9,3,4074,10,43,169,190,261,213,47,4,4,942,15,35,57,71,87,65,23,3,0,354,11,67,236,267,246,139,27,0,0,991,18,60,138,132,145,79,26,3,0,612,23,101,422,469,450,297,103,3,3,1879,16,87,236,320,422,298,87,7,5,1472,19,104,477,614,720,539,87,9,3,2573,49,278,1087,1343,1449,1210,201,10,0,5644,113,621,1755,1875,2633,2397,396,21,7,9820,41,63,109,176,168,103,43,0,0,705,67,208,342,323,293,213,66,3,0,1509
SOSR221,617,881,2066,2507,3061,2752,757,114,24,12780,9,35,59,57,70,72,38,8,0,343,0,3,5,7,3,0,0,0,0,16,42,41,79,99,134,96,14,0,0,516,0,7,14,20,10,8,0,0,0,56,3,11,41,73,76,42,11,4,0,244,0,7,13,30,61,35,11,0,0,153,229,156,193,258,364,260,48,3,0,1510,227,125,129,173,198,160,36,3,0,1053,3,8,36,51,84,64,23,0,0,269,3,5,20,23,22,17,7,0,0,88,3,16,46,69,68,32,7,0,0,237,8,10,23,35,33,25,14,0,0,142,6,22,82,121,110,95,30,4,0,471,7,14,71,68,103,78,14,3,0,368,3,26,126,191,240,152,30,3,0,771,11,73,271,360,450,359,49,8,0,1584,27,138,384,526,775,741,131,3,7,2740,12,22,39,45,54,43,9,0,0,225,14,46,84,93,74,52,23,0,0,384
SOSR222,427,587,1344,1594,2005,1942,533,74,14,8518,16,19,36,61,60,46,19,6,3,271,0,0,5,0,3,3,0,0,0,12,19,32,48,70,82,61,6,0,0,324,0,6,7,7,6,7,0,0,0,37,0,8,30,48,49,27,4,3,0,171,8,4,20,21,27,23,3,0,0,105,113,62,136,166,224,171,25,3,0,901,126,100,146,129,145,128,36,4,0,805,4,9,25,41,64,53,16,0,0,212,3,6,13,16,15,3,0,0,0,65,0,8,18,29,36,20,0,0,0,127,3,12,18,22,25,18,9,0,0,109,6,8,53,72,78,70,13,0,0,309,4,19,51,55,88,62,18,3,0,295,3,17,74,93,118,113,16,3,0,439,17,55,141,216,306,242,28,3,3,1013,21,76,233,315,489,472,55,0,0,1667,10,11,24,34,30,26,5,3,0,142,8,24,45,47,45,19,3,0,0,199
SOSR231,5774,7645,13626,18833,26225,24072,9145,2068,375,107756,256,409,1120,1727,2531,2901,2046,580,66,11647,3,6,35,55,50,39,7,0,0,198,347,285,461,825,1164,845,183,11,3,4138,4,20,109,146,159,97,14,0,0,554,44,106,357,629,757,470,91,11,3,2473,63,123,230,340,461,275,68,11,0,1566,1671,1057,1121,1416,2204,1530,311,25,7,9342,1803,898,596,772,1062,794,199,14,4,6146,37,100,253,408,639,430,118,9,6,1997,52,55,97,149,163,130,25,0,0,673,25,112,357,394,554,267,63,5,3,1782,36,110,227,228,270,199,59,3,3,1136,90,288,743,1168,1340,853,240,20,3,4738,65,152,337,577,844,695,159,14,7,2839,50,212,712,1231,1615,1015,170,4,4,5012,213,474,1421,2321,3369,2663,416,23,10,10897,234,1055,2507,3478,5532,4857,743,37,13,18450,170,201,232,308,333,246,85,7,0,1580,158,301,457,539,715,486,132,15,4,2804
SOSR279,0,0,4,3,8,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,42,145,420,264,195,140,24,3,0,1242,0,6,3,0,0,0,0,0,0,18,0,0,4,0,0,0,0,0,0,6,0,3,10,7,8,0,0,0,0,24,0,0,0,0,0,0,0,0,0,4,0,0,8,3,0,3,0,0,0,20,0,0,4,3,3,3,0,0,0,12,8,11,15,14,6,4,0,0,0,62,11,50,46,8,11,4,0,0,0,130,0,9,3,6,3,0,0,0,0,23,0,0,3,0,4,0,0,0,0,9,0,0,11,3,3,0,0,0,0,22,0,0,5,0,4,0,0,0,0,13,0,4,30,13,0,9,0,0,0,59,0,6,16,4,0,6,3,0,0,37,3,3,10,9,6,4,0,0,0,36,0,10,26,19,10,13,0,0,0,70,0,12,49,22,29,18,3,0,0,139,0,0,17,4,0,4,3,0,0,28,0,3,19,5,7,5,0,0,0,38
SOSR301,25120,52818,125163,117283,104130,67662,16402,1762,201,510546,95,279,565,493,477,296,78,25,0,2302,12,117,1039,934,500,206,18,0,3,2837,763,1288,3634,4155,4583,2524,449,28,4,17427,32,119,729,914,657,328,29,4,0,2807,251,860,2690,2815,2534,1433,266,20,0,10865,253,776,2268,2359,2409,1228,244,16,0,9555,8342,10205,10899,8057,8217,5371,1114,62,4,52272,11068,7758,7436,3695,3131,1780,339,24,9,35240,209,1004,3319,3420,3435,1940,358,23,3,13708,374,778,1540,1230,1001,563,91,4,0,5582,171,1236,5534,5148,3645,1815,251,22,8,17819,329,1180,2631,2127,2116,1306,401,52,12,10148,691,3982,10548,9209,6607,3390,808,63,3,35308,402,1783,4884,4268,3888,2493,551,43,5,18317,250,1654,7879,9612,8515,4597,576,22,3,33109,1382,4058,12767,16187,17319,10862,1841,113,11,64540,2040,9271,24777,22703,23252,16170,2871,120,0,101207,803,1111,1723,1434,1161,709,236,28,3,7206,954,2250,4796,3793,3503,1997,481,29,5,17807
SOSR302,6776,12002,28665,29336,27181,18791,6047,707,58,129564,16,22,73,94,92,54,31,6,0,384,0,0,67,59,43,34,5,3,0,213,232,250,610,824,926,607,169,12,0,3632,3,8,61,75,66,48,3,0,0,260,63,226,823,1038,932,575,147,7,4,3819,62,168,496,582,534,259,94,4,0,2200,2373,2700,3229,2689,3012,2065,521,28,4,16628,3113,2437,3088,1983,1726,1044,245,16,4,13655,39,146,508,548,676,390,116,15,0,2435,116,222,401,364,374,187,38,6,0,1712,54,272,913,902,837,503,113,15,0,3612,84,332,782,821,896,708,261,28,3,3923,140,663,1817,1995,1561,953,318,19,3,7479,110,469,1380,1380,1463,1047,256,18,0,6125,33,202,955,1397,1285,742,129,3,0,4749,251,829,2879,4012,3822,2472,419,24,0,14720,430,1870,5443,5381,6021,4540,933,45,3,24672,342,591,785,707,652,405,85,4,0,3587,206,515,1345,1172,967,608,152,9,0,4977
SOSR303,9006,14671,31999,32178,32198,22971,6031,617,64,149729,45,108,208,195,200,181,62,12,0,1019,3,32,136,141,121,64,11,0,0,509,279,260,636,717,794,530,104,12,0,3325,4,35,169,225,182,88,7,0,0,715,74,199,755,902,940,569,124,10,0,3580,80,159,391,489,531,322,64,6,0,2037,3173,2786,3119,2955,3479,2421,593,34,11,18568,3878,2522,2877,2208,1983,1289,240,21,6,15031,76,202,621,656,822,551,134,14,0,3081,107,184,289,245,226,124,22,3,0,1190,66,354,1043,965,919,465,74,3,0,3888,126,321,641,687,799,575,169,24,0,3351,180,684,1727,1974,1586,972,283,23,0,7423,129,439,1136,1296,1516,1055,196,9,0,5780,115,667,2194,2487,2416,1333,174,18,0,9405,347,1040,3633,5200,5907,3693,589,45,5,20455,600,2787,7407,7658,8581,6433,1043,53,5,34571,270,300,501,501,414,239,74,14,0,2307,335,684,1370,1254,1209,694,194,12,0,5752
SOSR311,3120,4722,11042,10197,10809,8050,1672,199,23,49845,20,80,164,76,97,86,46,10,3,579,4,66,217,177,141,43,10,0,0,652,91,114,280,280,296,186,17,4,0,1266,5,24,138,92,71,36,3,0,0,368,21,64,200,217,287,179,29,3,0,1004,36,62,157,138,177,88,12,0,0,671,1204,879,1177,1199,1298,865,145,6,0,6773,1279,694,800,676,643,396,65,4,0,4561,10,61,217,209,268,166,44,3,0,978,40,75,81,49,55,23,7,0,0,323,22,88,280,230,228,126,15,0,0,984,57,114,175,188,204,145,30,3,0,915,71,203,544,418,396,227,56,3,0,1912,39,113,311,358,442,261,56,4,0,1593,26,140,617,588,631,398,51,3,0,2454,105,338,1142,1760,1873,1150,166,14,0,6547,236,954,2472,2388,2962,2306,318,13,0,11657,65,49,91,92,76,51,24,8,0,460,136,203,431,360,362,252,62,10,0,1820
SOSR312,714,1165,2674,2606,2604,1773,324,42,6,11901,0,4,3,8,3,0,4,0,0,25,3,9,30,31,7,4,0,0,0,82,30,33,129,113,87,37,7,0,0,431,3,9,22,29,20,17,3,0,0,114,8,14,77,70,61,33,14,0,0,282,9,19,31,39,29,13,0,0,0,148,287,212,296,234,276,132,29,0,0,1467,215,171,189,136,126,58,9,3,0,912,11,23,93,86,117,58,6,0,0,383,6,16,31,13,15,15,3,0,0,97,0,13,43,51,41,20,3,0,0,170,4,28,43,34,36,32,8,0,0,187,16,45,102,92,99,51,7,0,0,401,12,23,87,97,106,78,21,3,0,423,0,25,120,157,152,82,15,0,0,554,21,104,302,375,392,242,37,4,0,1473,54,175,390,392,524,393,45,0,0,1971,19,6,29,19,22,8,3,0,0,108,23,56,114,94,89,49,13,3,0,443
SOSR313,2027,3279,7448,7053,7124,5371,1373,178,32,33882,19,45,95,94,88,79,41,13,0,473,13,69,264,180,124,47,3,0,0,706,90,79,179,208,222,157,27,0,0,972,3,6,60,51,42,16,4,0,0,174,15,48,155,154,188,104,23,5,0,696,29,55,102,104,110,67,12,0,0,476,777,531,845,827,871,592,105,13,0,4555,780,451,528,450,422,252,47,3,0,2930,15,45,114,155,193,141,38,0,0,695,19,45,54,37,40,28,7,0,0,239,18,53,153,121,139,58,11,0,0,561,32,68,114,116,129,101,26,11,3,590,47,113,303,288,231,202,61,4,0,1246,40,70,216,245,299,190,41,9,0,1110,33,120,397,435,461,303,35,0,0,1784,70,293,892,1247,1333,755,103,0,0,4694,159,535,1408,1413,1812,1443,223,14,3,7018,29,30,54,62,58,52,10,0,0,298,99,171,305,277,229,149,29,3,0,1264
SOSR314,2201,3152,7712,7805,7647,5578,1480,195,30,35798,41,234,460,183,178,144,62,23,0,1318,19,59,220,160,108,30,0,0,0,600,72,83,219,236,235,162,32,0,0,1041,0,19,50,55,65,19,3,0,0,215,13,51,172,192,188,137,27,3,0,780,17,42,121,118,106,69,16,0,0,490,679,476,685,767,900,563,118,14,0,4196,823,433,549,469,464,301,72,3,0,3120,22,51,178,202,210,136,37,3,0,841,17,26,42,45,49,24,8,0,0,215,10,69,184,185,162,80,3,0,0,691,22,54,120,132,124,97,28,3,0,585,56,102,368,371,293,159,43,5,3,1398,33,103,289,298,351,220,46,4,0,1341,21,84,405,486,448,248,24,3,0,1718,55,276,981,1303,1274,710,98,9,0,4703,154,417,1191,1370,1580,1227,200,5,0,6157,40,30,78,64,80,38,6,0,0,342,84,140,260,306,266,155,38,5,0,1251
SOSR315,2877,4365,10387,11303,11483,8955,2158,281,34,51830,47,151,307,207,236,185,76,21,0,1237,16,89,370,257,212,74,11,0,0,1024,134,138,340,377,399,246,47,3,0,1680,6,12,46,58,42,23,3,0,0,193,32,82,240,265,271,194,36,3,0,1119,25,58,145,175,186,109,8,3,0,719,994,650,1025,1159,1228,810,179,17,0,6071,969,626,958,689,776,549,109,11,3,4693,20,93,206,270,315,251,70,5,0,1224,21,29,38,49,50,41,13,3,0,252,24,68,224,219,220,111,12,5,0,883,32,78,156,189,193,151,44,12,0,853,47,147,425,471,440,262,58,4,0,1851,58,138,365,408,468,371,92,13,0,1918,38,120,531,746,729,402,51,0,0,2622,107,387,1288,1729,1700,1127,176,8,3,6516,205,684,1687,1948,2616,2102,333,13,0,9586,53,63,107,137,111,71,12,3,0,555,126,218,427,383,367,241,63,3,0,1820
SOSR321,1116,1452,3293,4117,4910,4083,1057,132,22,20184,23,55,94,91,128,137,49,12,3,595,5,22,66,46,42,27,3,0,0,217,28,43,82,116,151,103,21,0,4,544,0,3,16,18,31,18,0,0,0,93,14,25,79,107,134,82,11,0,0,466,5,18,41,56,77,50,11,0,0,259,370,227,329,409,547,361,85,3,0,2334,371,166,261,254,337,232,49,4,0,1682,10,16,69,105,154,100,27,0,0,489,10,6,19,29,30,19,7,0,0,108,3,21,74,94,77,35,7,0,0,322,10,28,51,58,65,67,16,0,0,297,18,58,126,197,164,127,26,0,0,715,16,30,87,185,202,137,34,0,0,695,28,67,250,326,369,204,29,5,0,1265,42,146,487,706,756,570,75,11,0,2799,84,207,516,792,1069,988,153,3,0,3822,23,16,28,41,56,52,8,3,0,226,49,72,119,161,169,106,29,0,0,708
SOSR322,414,642,1389,1734,2127,1989,544,86,9,8923,15,32,72,75,83,84,45,9,0,411,0,3,13,18,24,6,0,0,0,67,12,19,35,38,67,45,13,0,0,221,0,3,7,14,4,10,0,0,0,38,3,7,43,46,68,23,7,0,0,197,7,7,20,9,27,28,5,0,0,98,121,79,124,175,214,191,34,3,0,940,127,72,115,124,147,135,29,0,0,751,7,8,45,57,69,56,12,5,0,249,0,4,12,13,11,9,3,0,0,51,0,13,21,31,29,22,0,0,0,121,3,8,19,13,23,25,11,0,0,93,8,21,61,64,64,48,15,0,0,283,5,24,40,70,68,65,19,3,0,292,12,31,117,142,181,108,9,0,0,592,14,75,193,286,322,232,36,5,0,1160,24,68,192,238,428,395,64,4,0,1404,6,5,19,20,26,24,11,0,0,109,20,35,53,66,55,56,9,0,0,289
SOSR331,5791,7242,14859,20260,26321,21935,7588,1756,248,106008,333,577,1403,1926,2557,2550,1720,454,55,11572,9,61,241,223,246,104,12,0,0,897,199,222,447,661,954,613,127,13,0,3240,4,14,79,126,131,80,13,0,0,455,82,128,502,758,832,471,103,10,0,2888,59,100,222,372,442,258,55,6,0,1509,1707,978,1179,1679,2228,1478,265,19,3,9531,1662,757,841,899,1075,748,183,14,0,6179,49,111,319,497,724,485,128,19,0,2331,45,63,70,122,122,82,30,0,0,533,42,120,345,393,473,232,31,4,0,1633,64,111,221,293,394,295,97,11,0,1485,173,363,838,1148,1190,704,165,17,0,4597,76,180,390,687,937,681,157,15,5,3131,63,191,648,1104,1296,774,108,8,0,4191,193,463,1561,3069,3888,2681,400,25,0,12276,399,911,1943,2980,4644,3664,617,29,3,15196,112,116,171,236,284,151,52,4,0,1126,223,324,516,707,747,444,110,6,0,3078
