SOSR_CODE_2016,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedonian_SEO,FOL_Macedonian_SOLSE_VWorW,FOL_Macedonian_SOLSE_NWorNAA,FOL_Macedonian_SOLSE_Tot,FOL_Macedonian_NS,FOL_Macedonian_Tot,FOL_Maltese_SEO,FOL_Maltese_SOLSE_VWorW,FOL_Maltese_SOLSE_NWorNAA,FOL_Maltese_SOLSE_Tot,FOL_Maltese_NS,FOL_Maltese_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_SOLSE_VWorW,FOL_Persian_ED_SOLSE_NWorNAA,FOL_Persian_ED_SOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_SOLSE_VWorW,FOL_Polish_SOLSE_NWorNAA,FOL_Polish_SOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Russian_SEO,FOL_Russian_SOLSE_VWorW,FOL_Russian_SOLSE_NWorNAA,FOL_Russian_SOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_SOLSE_VWorW,FOL_Samoan_SOLSE_NWorNAA,FOL_Samoan_SOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_SOLSE_VWorW,FOL_Serbian_SOLSE_NWorNAA,FOL_Serbian_SOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipino_SEO,FOL_SAL_Filipino_SOLSE_VWorW,FOL_SAL_Filipin_SOLSE_NWorNAA,FOL_SAL_Filipino_SOLSE_Tot,FOL_SAL_Filipino_NS,FOL_SAL_Filipino_Tot,FOL_SAL_Indonesian_SEO,FOL_SAL_Indonesia_SOLSE_VWorW,FOL_SAL_Indones_SOLSE_NWorNAA,FOL_SAL_Indonesian_SOLSE_Tot,FOL_SAL_Indonesian_NS,FOL_SAL_Indonesian_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_SOLSE_VWorW,FOL_SAL_Tagalog_SOLSE_NWorNAA,FOL_SAL_Tagalog_SOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_SOLSE_VWorW,FOL_SAL_Oth_SOLSE_NWorNAA,FOL_SAL_Oth_SOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_SOLSE_VWorW,FOL_SAL_Tot_SOLSE_NWorNAA,FOL_SAL_Tot_SOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_SOLSE_VWorW,FOL_Spanish_SOLSE_NWorNAA,FOL_Spanish_SOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_SOLSE_VWorW,FOL_Tamil_SOLSE_NWorNAA,FOL_Tamil_SOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_SOLSE_VWorW,FOL_Thai_SOLSE_NWorNAA,FOL_Thai_SOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_SOLSE_VWorW,FOL_Turkish_SOLSE_NWorNAA,FOL_Turkish_SOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_SOLSE_VWorW,FOL_Vietnamese_SOLSE_NWorNAA,FOL_Vietnamese_SOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_SOLSE_VWorW,FOL_Oth_SOLSE_NWorNAA,FOL_Oth_SOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_SOLSE_VWorW,FOL_Tot_SOLSE_NWorNAA,FOL_Tot_SOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LSatH_NS_SEO,F_LSatH_NS_SOLSE_VWorW,F_LSatH_NS_SOLSE_NWorNAA,F_LSatH_NS_SOLSE_Tot,F_LSatH_NS_NS,F_LSatH_NS_Tot,F_Tot_SEO,F_Tot_SOLSE_VWorW,F_Tot_SOLSE_NWorNAA,F_Tot_SOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_SOLSE_VWorW,PSEO_SOLSE_NWorNAA,PSEO_SOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_SOLSE_VWorW,POL_Afrikaans_SOLSE_NWorNAA,POL_Afrikaans_SOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_SOLSE_VWorW,POL_Arabic_SOLSE_NWorNAA,POL_Arabic_SOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_SOLSE_VWorW,POL_AIndLng_SOLSE_NWorNAA,POL_AIndLng_SOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Cantones_SEO,POL_CL_Cantones_SOLSE_VWorW,POL_CL_Cantones_SOLSE_NWorNAA,POL_CL_Cantones_SOLSE_Tot,POL_CL_Cantones_NS,POL_CL_Cantones_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_SOLSE_VWorW,POL_CL_Mandarin_SOLSE_NWorNAA,POL_CL_Mandarin_SOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot,POL_CL_Oth_SEO,POL_CL_Oth_SOLSE_VWorW,POL_CL_Oth_SOLSE_NWorNAA,POL_CL_Oth_SOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_SOLSE_VWorW,POL_CL_Tot_SOLSE_NWorNAA,POL_CL_Tot_SOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_SOLSE_VWorW,POL_Croatian_SOLSE_NWorNAA,POL_Croatian_SOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_Dutch_SEO,POL_Dutch_SOLSE_VWorW,POL_Dutch_SOLSE_NWorNAA,POL_Dutch_SOLSE_Tot,POL_Dutch_NS,POL_Dutch_Tot,POL_French_SEO,POL_French_SOLSE_VWorW,POL_French_SOLSE_NWorNAA,POL_French_SOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_SOLSE_VWorW,POL_German_SOLSE_NWorNAA,POL_German_SOLSE_Tot,POL_German_NS,POL_German_Tot
SOSR101,255,29817,..,7690,1746,9438,107,9542,..,4298,421,4724,65,4784,..,7803,1806,9608,92,9700,..,5612,741,6350,53,6403,..,7947,1589,9532,60,9596,..,7236,597,7826,173,8002,..,7558,1698,9256,86,9348,..,11569,336,11911,95,11998,..,13174,1672,14845,110,14955,..,21983,694,22678,222,22900,..,2481,149,2630,21,2647,..,49203,2855,52058,448,52505,..,24753,3823,28582,293,28873,..,11882,1314,13201,92,13291,..,9794,3328,13126,122,13251,..,7609,2095,9708,102,9811,..,32743,19499,52241,290,52537,..,81339,20688,102026,1985,104015,..,693058,173599,866653,8095,874752,..,5309,1323,6633,115907,122539,1193204,698368,174921,873288,124004,2190497,2378833,..,..,..,..,2378833,..,4687,71,4766,22,4786,..,159402,30483,189884,1780,191662,..,384,16,400,26,433,..,99554,36861,136410,673,137085,..,160944,64535,225481,1222,226707,..,12002,4858,16859,93,16952,..,272499,106248,378752,1993,380738,..,15149,2376,17523,151,17673,..,4964,127,5090,56,5147,..,18143,743,18883,170,19056,..,13863,412,14273,157,14433
SOSR102,16,845,..,3269,1034,4305,48,4352,..,483,28,513,8,521,..,348,59,406,7,405,..,736,85,820,11,833,..,493,76,563,8,571,..,260,15,278,0,277,..,986,251,1242,15,1258,..,789,32,826,15,838,..,457,48,503,3,508,..,1452,55,1501,15,1523,..,316,20,331,3,335,..,3009,148,3160,46,3201,..,2221,316,2536,25,2564,..,296,24,317,0,321,..,967,212,1181,7,1186,..,568,128,693,5,698,..,913,370,1284,8,1293,..,5945,1329,7270,170,7442,..,39121,7674,46797,623,47419,..,1317,172,1494,25031,26522,432068,40437,7850,48289,25655,506012,845859,..,..,..,..,845859,..,830,11,839,13,849,..,3591,942,4529,43,4569,..,195,6,196,3,205,..,1917,707,2625,23,2643,..,5659,1650,7310,52,7361,..,544,216,758,0,760,..,8118,2573,10690,73,10768,..,1483,225,1714,30,1746,..,1134,18,1156,20,1171,..,1569,82,1650,15,1661,..,2802,100,2898,43,2940
SOSR111,3,36,..,10,0,10,0,10,..,7,0,6,0,6,..,12,3,15,0,15,..,63,13,73,0,75,..,37,5,42,0,42,..,27,3,28,0,28,..,27,4,34,0,32,..,120,0,120,0,120,..,26,3,25,0,25,..,183,3,183,6,194,..,25,6,27,0,27,..,352,10,355,6,362,..,88,9,100,0,100,..,32,3,36,0,36,..,74,16,89,3,91,..,3,3,3,0,3,..,40,18,59,3,59,..,556,121,681,13,695,..,2822,639,3457,50,3508,..,141,13,151,3496,3648,57676,2963,649,3615,3541,64825,112131,..,..,..,..,112131,..,183,4,191,0,190,..,152,25,175,3,176,..,53,3,60,0,61,..,160,72,234,6,239,..,249,184,433,4,431,..,7,9,9,0,9,..,408,269,674,7,685,..,53,4,61,0,61,..,98,0,94,0,100,..,109,3,114,0,114,..,236,11,247,5,258
SOSR112,7,269,..,27,4,31,0,31,..,54,0,54,0,54,..,105,33,143,0,145,..,143,15,160,3,164,..,163,17,185,0,186,..,40,0,42,0,42,..,73,9,85,0,83,..,387,10,399,0,401,..,148,7,158,0,158,..,614,21,637,7,644,..,123,3,121,0,121,..,1269,47,1313,9,1328,..,466,38,505,8,512,..,114,10,124,0,126,..,312,83,391,3,396,..,39,3,45,0,45,..,252,81,336,7,338,..,2484,665,3153,76,3223,..,11537,1999,13532,215,13745,..,658,44,699,14578,15276,207308,12188,2045,14234,14790,236331,397101,..,..,..,..,397101,..,418,5,422,3,426,..,1043,173,1219,10,1225,..,294,12,305,3,309,..,634,289,926,13,933,..,1237,522,1755,19,1782,..,121,43,167,4,172,..,1998,858,2850,36,2882,..,165,27,194,3,195,..,448,14,463,3,465,..,717,35,752,14,767,..,1042,31,1076,17,1093
SOSR113,0,80,..,27,3,33,0,33,..,57,0,57,0,57,..,14,6,22,0,22,..,67,7,70,0,75,..,62,9,66,0,72,..,140,14,154,4,155,..,42,6,45,0,45,..,231,4,237,3,242,..,50,3,52,0,52,..,350,14,364,0,364,..,81,6,81,0,85,..,710,31,738,8,743,..,221,28,243,3,248,..,30,4,32,0,39,..,209,34,246,7,246,..,37,37,73,0,73,..,74,37,113,3,115,..,1065,197,1264,34,1301,..,5974,1104,7082,123,7199,..,385,20,409,9946,10353,126723,6366,1130,7492,10065,144280,246405,..,..,..,..,246405,..,320,3,324,0,319,..,228,34,263,5,266,..,142,9,151,10,165,..,311,109,423,6,431,..,409,268,678,8,685,..,30,16,40,0,47,..,743,394,1138,17,1157,..,231,30,261,3,261,..,241,4,245,4,253,..,246,20,267,0,267,..,539,19,554,9,564
SOSR114,0,50,..,20,3,26,0,26,..,43,0,43,0,38,..,19,3,18,0,18,..,63,0,65,0,65,..,39,3,36,0,36,..,16,0,20,0,20,..,29,6,34,3,36,..,152,4,162,3,162,..,58,10,70,0,66,..,262,3,264,4,270,..,33,0,41,0,40,..,509,21,530,17,543,..,181,11,194,0,197,..,32,8,37,0,37,..,143,37,179,0,187,..,18,3,17,0,17,..,91,28,119,0,124,..,648,104,748,25,775,..,4048,536,4590,86,4673,..,352,21,372,8987,9364,108901,4402,564,4960,9072,122935,210348,..,..,..,..,210348,..,264,8,271,0,272,..,214,25,243,9,249,..,157,4,160,7,160,..,222,117,333,8,343,..,370,225,600,13,612,..,16,20,31,0,31,..,604,357,961,20,983,..,78,5,86,3,88,..,243,3,245,7,249,..,335,19,353,3,359,..,525,16,541,9,550
SOSR115,0,68,..,57,9,70,0,70,..,129,3,132,3,133,..,23,3,19,0,19,..,91,10,102,0,101,..,73,3,69,0,69,..,17,0,17,0,17,..,74,6,83,0,83,..,163,0,166,3,169,..,65,3,66,0,66,..,268,4,273,10,282,..,66,3,69,0,74,..,565,13,582,12,591,..,336,26,360,0,366,..,33,3,37,0,37,..,178,34,213,3,217,..,20,0,20,0,20,..,93,30,121,3,126,..,1060,148,1214,46,1257,..,6201,824,7027,156,7186,..,504,29,532,12823,13353,161840,6709,857,7558,12976,182376,315579,..,..,..,..,315579,..,279,5,287,6,290,..,351,34,385,15,400,..,160,14,172,9,186,..,365,160,519,10,527,..,475,318,796,14,806,..,45,20,60,0,64,..,882,490,1371,23,1401,..,301,28,329,5,329,..,384,7,389,5,393,..,453,16,476,6,481,..,910,35,942,13,961
SOSR121,0,17,..,11,0,10,0,10,..,18,0,18,0,18,..,7,0,10,0,10,..,33,0,31,0,31,..,16,0,19,0,19,..,5,0,5,0,5,..,15,0,15,0,15,..,37,0,41,0,41,..,15,0,20,0,20,..,61,0,61,0,61,..,6,0,6,0,6,..,126,4,125,0,125,..,91,4,99,0,99,..,7,0,7,0,7,..,34,13,47,0,47,..,4,0,4,0,4,..,27,0,27,0,28,..,223,37,259,12,268,..,1394,144,1542,26,1563,..,123,10,131,3049,3179,42965,1511,157,1667,3072,47711,85291,..,..,..,..,85291,..,48,0,48,0,48,..,96,5,100,0,100,..,103,8,108,8,117,..,36,30,71,0,73,..,102,51,154,4,160,..,4,0,5,0,5,..,145,90,231,4,236,..,29,0,29,0,31,..,109,0,110,3,109,..,132,5,136,0,136,..,223,6,234,3,232
SOSR122,0,7,..,6,0,6,0,8,..,18,0,18,0,16,..,0,0,0,0,0,..,12,0,12,0,12,..,13,0,11,0,11,..,10,0,10,0,10,..,10,0,7,0,7,..,23,0,23,0,23,..,15,0,15,0,15,..,33,0,30,0,36,..,3,0,3,0,3,..,79,0,76,0,77,..,43,0,38,0,38,..,3,0,3,0,3,..,20,5,22,0,25,..,0,0,0,0,0,..,13,0,13,0,13,..,112,24,134,5,142,..,769,81,850,22,867,..,76,0,76,1997,2076,23823,845,81,929,2017,26762,48086,..,..,..,..,48086,..,38,3,43,0,43,..,55,0,57,0,62,..,31,4,33,0,33,..,40,18,57,0,57,..,58,16,74,3,80,..,5,0,5,0,5,..,102,41,139,3,144,..,42,0,40,0,40,..,61,0,59,0,63,..,62,4,62,0,65,..,161,9,165,0,169
SOSR131,0,92,..,73,11,83,0,83,..,697,45,740,9,749,..,40,5,46,0,46,..,150,12,162,0,162,..,138,22,154,0,154,..,35,4,41,0,37,..,186,24,204,7,211,..,146,3,150,3,156,..,70,7,77,3,78,..,274,11,293,4,290,..,55,0,53,0,53,..,551,28,577,4,581,..,473,35,512,5,514,..,33,0,32,0,33,..,220,45,260,7,268,..,64,3,69,0,72,..,137,32,167,10,174,..,1263,190,1458,43,1497,..,10382,1343,11726,176,11901,..,661,43,707,21871,22583,232822,11044,1387,12432,22047,267300,479498,..,..,..,..,479498,..,498,5,507,0,503,..,1749,180,1933,15,1946,..,211,13,225,19,240,..,522,385,909,13,919,..,712,278,992,12,1002,..,74,30,102,0,102,..,1304,689,2001,27,2024,..,639,60,698,8,712,..,683,15,698,11,708,..,722,26,747,7,756,..,1729,28,1759,22,1783
