SOSR_CODE_2016,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_0_4,M_Hong_Kong_5_14,M_Hong_Kong_15_24,M_Hong_Kong_25_44,M_Hong_Kong_45_54,M_Hong_Kong_55_64,M_Hong_Kong_65_74,M_Hong_Kong_75_84,M_Hong_Kong_85ov,M_Hong_Kong_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot
SOSR303,0,20,45,37,10,10,0,0,0,116,18745,37292,34501,59279,28956,26476,19618,9539,3275,237677,3,9,3,91,27,0,0,0,0,131,0,0,0,12,6,6,8,12,0,42,0,11,9,12,9,0,0,0,0,42,16,75,85,311,139,111,100,37,12,883,3,3,7,30,20,7,17,4,0,90,14,72,150,403,145,84,51,26,13,962,0,0,0,6,26,28,41,55,7,165,5,25,15,34,17,12,25,22,5,151,62,797,863,2204,2806,2211,2819,1486,483,13721,0,28,50,154,89,69,33,20,3,443,4,12,43,147,70,46,49,17,6,397,4,43,92,222,232,207,456,267,71,1603,0,9,3,18,20,23,35,41,10,153,3,23,52,95,36,39,23,6,0,282,41,211,379,1691,230,112,74,56,22,2820,7,43,46,90,22,33,29,27,8,304,5,18,17,90,23,11,15,0,0,190,16,57,12,101,15,7,7,0,0,217
SOSR311,0,7,10,31,8,0,0,0,0,65,6940,14115,12619,21653,11388,11001,8456,4708,1555,92431,0,15,4,36,21,4,0,0,0,80,0,0,0,0,0,0,0,3,0,9,0,3,0,4,0,0,0,0,0,3,3,9,10,37,16,27,30,12,0,149,0,0,0,7,3,0,3,0,0,11,3,16,25,97,49,15,7,3,0,213,0,0,0,5,0,9,5,12,0,43,0,3,0,8,5,4,8,5,0,37,9,109,132,379,544,585,883,579,145,3379,4,8,13,70,28,21,4,9,0,159,0,3,9,16,16,12,15,7,5,87,0,3,14,42,43,60,118,109,26,414,0,0,0,3,3,3,4,7,0,21,0,0,21,29,6,12,0,0,0,76,11,61,38,451,82,20,18,9,7,699,0,4,12,22,7,4,10,3,9,71,0,5,0,28,3,3,7,3,0,42,0,0,0,5,4,0,0,0,0,14
SOSR312,0,0,0,0,0,0,0,0,0,0,1759,3328,3111,5516,2769,2568,1781,892,285,22006,0,6,4,17,0,0,0,0,0,26,0,0,0,3,0,0,0,0,0,4,0,0,0,4,6,0,3,0,0,16,0,0,0,11,3,10,0,3,0,23,0,0,0,0,3,0,0,0,0,6,0,6,0,22,7,7,0,0,0,53,0,0,0,0,0,0,3,6,0,12,3,9,0,8,3,0,0,0,0,23,3,13,12,91,137,174,152,68,32,673,0,3,6,21,11,0,4,0,0,46,0,0,0,6,7,3,3,0,0,18,0,0,3,4,8,14,32,29,4,92,0,0,0,3,3,4,3,5,0,15,0,0,0,0,3,0,3,0,0,10,8,30,14,165,26,11,3,3,0,252,0,3,5,9,6,0,0,0,0,19,0,4,0,21,4,0,0,0,0,24,0,3,0,4,7,0,0,0,0,13
SOSR313,0,0,0,3,0,0,0,0,0,3,5057,10140,8207,14456,7049,7114,5828,3015,987,61846,0,0,0,12,0,0,0,0,0,14,0,0,0,0,0,0,4,3,0,6,0,0,0,3,0,0,0,0,0,3,3,12,5,38,19,14,14,8,0,101,0,5,0,3,0,3,3,0,0,15,0,9,3,31,15,7,10,8,3,76,0,0,0,0,3,0,10,14,3,30,0,0,0,10,0,0,3,0,0,16,7,90,94,288,419,400,619,359,102,2381,0,10,15,48,21,17,8,0,0,125,0,4,7,14,7,9,13,7,0,57,0,5,12,39,38,47,88,51,9,286,0,0,3,0,0,7,5,12,0,28,0,0,4,13,7,4,0,3,0,33,3,28,18,223,22,10,20,6,3,337,0,3,5,9,4,3,8,9,0,40,0,0,0,7,3,0,0,0,0,18,0,0,0,3,0,0,0,0,0,5
SOSR314,0,0,13,20,0,0,0,0,0,34,5172,10379,7778,14441,7260,6636,5049,2514,804,60036,0,5,3,32,0,0,0,0,0,42,0,0,0,3,0,0,3,3,0,5,0,0,0,6,0,0,0,0,0,13,9,10,11,40,20,18,9,8,0,112,0,0,0,4,0,3,0,0,0,7,0,7,18,59,13,5,3,0,3,121,0,0,0,0,4,7,5,12,4,35,0,4,0,9,0,3,3,0,0,20,8,105,136,375,459,403,541,287,73,2386,0,7,0,10,16,12,9,3,0,54,0,3,26,37,12,4,16,3,0,97,0,0,18,28,33,39,104,53,12,296,0,0,0,0,0,4,6,8,0,24,0,0,11,24,3,3,5,0,0,49,11,32,47,367,33,19,18,8,3,547,0,7,11,22,3,6,7,7,4,62,0,0,0,13,4,3,3,0,0,25,0,0,0,8,10,0,0,0,0,22
SOSR315,0,0,0,9,0,0,0,0,0,12,7984,16388,12360,23153,12097,11805,9285,4225,1144,98430,0,0,0,25,4,0,0,0,0,30,0,0,0,5,3,4,0,0,0,15,0,3,0,3,3,0,0,0,0,13,3,12,4,54,25,29,21,9,0,161,0,0,0,15,3,3,5,0,0,24,0,9,9,49,16,11,8,10,3,107,0,0,0,0,0,10,11,20,3,49,0,0,0,4,0,3,9,5,0,24,7,114,140,478,776,755,1081,572,126,4048,0,4,10,37,18,13,14,6,0,102,0,3,15,39,21,20,19,3,3,121,0,6,17,54,63,77,151,118,18,496,0,0,3,0,0,0,6,7,3,24,0,3,9,12,5,6,5,0,0,41,5,24,26,230,25,23,18,10,4,367,0,6,3,22,3,6,11,6,3,69,0,0,0,7,3,3,4,0,0,14,0,0,0,5,4,0,0,0,0,7
SOSR321,0,0,0,0,0,0,0,0,0,0,2849,6356,4685,8634,5452,5521,4339,1673,461,39974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,10,0,0,5,19,12,5,12,4,0,58,0,0,0,0,4,0,0,0,0,4,0,0,3,10,0,0,3,3,0,27,0,0,0,0,5,3,3,7,0,21,0,0,0,0,0,0,3,0,0,4,0,46,74,149,304,372,533,227,38,1753,0,0,0,18,12,6,0,0,0,42,0,0,6,14,6,3,9,3,0,46,0,3,10,23,18,51,71,56,9,237,0,0,0,0,0,0,10,0,0,10,0,0,0,3,0,6,0,3,0,14,0,0,0,43,13,15,7,5,0,83,0,3,0,3,3,5,10,3,3,29,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
SOSR322,0,0,0,0,0,0,0,0,0,0,1311,2655,2045,3698,2489,2805,2380,949,214,18555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,3,0,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,3,13,57,104,142,194,92,18,625,0,0,0,0,6,6,0,0,0,13,0,0,3,4,5,0,0,0,0,8,0,0,0,10,6,21,35,24,3,100,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,21,0,0,0,3,0,33,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
SOSR331,0,0,0,8,0,3,0,0,0,12,10533,27461,21250,37541,26685,26845,19312,6991,1485,178106,0,0,0,8,0,0,0,0,0,11,0,0,0,0,3,3,0,3,0,11,0,5,8,43,23,17,3,0,0,90,6,16,9,65,66,64,51,19,3,301,0,0,0,17,0,7,4,0,0,32,0,14,27,40,13,22,15,14,6,147,0,0,3,0,13,28,30,35,5,114,0,0,0,3,0,10,9,8,0,34,10,240,287,722,1417,1593,1849,770,150,7036,0,7,7,37,24,25,11,7,0,123,0,8,15,46,43,31,36,11,4,195,0,6,17,83,151,164,330,197,20,976,0,3,4,0,6,6,13,7,0,44,0,6,24,15,16,12,3,4,0,80,5,13,28,140,49,40,44,17,3,332,3,5,6,18,11,17,32,18,4,113,0,3,0,9,9,6,4,0,0,33,0,0,0,6,6,0,0,3,0,9
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,3,8,7,6,8,4,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
