SOSR_CODE_2016,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_0_4,M_Hong_Kong_5_14,M_Hong_Kong_15_24,M_Hong_Kong_25_44,M_Hong_Kong_45_54,M_Hong_Kong_55_64,M_Hong_Kong_65_74,M_Hong_Kong_75_84,M_Hong_Kong_85ov,M_Hong_Kong_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot
SOSR399,0,0,0,0,0,0,0,0,0,0,136,190,384,1276,620,736,690,141,12,4186,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,0,3,0,0,0,29,0,0,0,3,4,0,0,0,0,7,0,4,16,16,3,0,0,0,0,39,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,4,67,82,54,67,112,12,3,411,0,0,0,3,3,4,0,0,0,12,0,0,11,31,3,0,0,0,0,44,0,0,8,13,4,4,13,7,0,51,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,9,0,0,8,18,3,3,0,0,0,33,0,0,3,3,3,0,0,0,0,13,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5
SOSR401,27,272,1018,1517,389,193,49,8,7,3472,32423,56210,56995,102687,49066,41358,28014,12616,5355,384718,28,133,61,624,77,22,6,3,0,954,0,3,57,330,182,204,76,55,4,910,14,51,81,484,348,220,137,42,11,1382,22,45,75,323,137,138,72,20,11,849,3,13,16,128,45,53,51,20,0,330,120,411,3540,4648,803,580,386,169,54,10711,0,0,26,201,162,234,250,271,67,1209,14,81,49,216,46,99,133,75,18,727,127,1376,1724,4372,7536,7359,6113,3976,1570,34141,0,22,42,191,96,72,36,17,3,474,3,28,46,152,111,65,58,30,7,495,6,54,86,321,370,476,1258,496,306,3364,0,27,44,153,268,671,1014,1169,367,3722,15,44,712,573,104,161,91,41,3,1736,308,1329,1422,8599,1119,436,334,162,82,13793,35,91,110,382,50,56,53,34,12,824,39,263,318,1146,285,156,83,42,10,2349,10,82,126,334,145,76,25,10,0,799
SOSR412,0,0,0,3,0,0,0,0,0,3,2173,4458,4205,7241,3725,3093,2174,1099,365,28521,0,3,0,8,0,0,0,0,0,12,0,0,0,3,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4,0,3,5,7,8,7,3,0,3,32,0,0,0,0,9,0,0,0,0,8,0,0,7,16,8,3,0,0,0,34,0,0,0,0,6,4,11,16,3,43,0,0,0,5,0,0,0,0,0,12,5,33,50,141,511,610,421,373,125,2260,0,0,0,12,0,0,0,0,0,17,0,0,0,0,4,5,4,0,0,12,0,0,3,3,21,28,62,38,19,184,0,0,0,3,5,12,15,20,8,56,0,0,0,9,0,0,0,0,0,11,3,16,3,71,18,10,3,4,0,126,0,3,4,9,0,0,3,0,0,17,0,0,0,6,3,0,0,0,0,13,0,0,0,3,0,0,0,0,0,3
SOSR413,0,0,6,21,3,0,0,0,0,34,2830,5959,5401,9519,5103,4964,4238,2122,721,40865,0,11,0,17,4,0,0,0,0,33,0,0,0,3,0,0,0,0,0,7,0,0,0,5,3,0,0,0,0,14,0,10,4,19,11,6,10,0,0,55,0,0,0,0,0,0,0,0,0,3,4,17,38,125,30,8,4,0,0,228,0,0,0,3,9,4,14,23,3,60,0,0,0,3,0,0,5,3,0,13,8,75,88,226,470,526,652,441,134,2621,0,0,0,7,3,4,0,0,0,15,0,4,0,7,6,8,3,8,0,32,0,0,10,18,25,50,109,46,30,281,0,0,0,0,0,5,9,4,0,29,0,4,12,14,0,3,0,4,0,39,6,19,12,142,14,10,15,10,5,222,0,0,0,3,4,0,0,4,0,8,0,4,0,5,8,4,3,0,0,21,0,0,0,6,0,0,0,0,0,7
SOSR414,0,3,26,100,41,21,3,0,0,186,550,1221,996,1922,1014,1144,1218,656,261,8997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,4,13,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,34,112,137,228,187,50,764,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,4,0,0,0,0,5,17,23,12,9,67,0,0,0,0,0,0,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,14,5,0,3,7,0,26,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
SOSR415,0,8,22,71,46,7,0,0,0,152,3001,6288,5325,9402,5323,5554,4722,2463,952,43022,0,0,0,11,0,0,0,0,0,8,0,0,0,0,0,3,3,4,0,8,0,0,0,3,3,3,0,0,0,7,0,5,3,17,14,0,7,3,0,38,0,0,0,0,6,0,0,0,0,6,0,3,3,25,10,6,6,0,0,49,0,0,0,0,8,5,18,11,3,50,0,0,0,0,0,0,0,3,0,8,3,76,76,251,559,644,604,408,119,2731,0,3,0,9,4,4,3,4,0,22,0,0,3,6,3,11,0,0,0,28,0,0,3,20,22,38,121,48,26,278,0,0,0,13,6,22,48,44,15,152,0,0,0,10,0,0,0,0,0,17,3,14,7,131,21,14,10,5,3,213,0,0,4,9,3,3,3,4,0,18,0,3,0,10,7,0,0,0,0,20,0,0,0,0,3,0,0,0,0,3
SOSR421,0,0,0,5,0,0,0,0,0,5,866,1834,1470,2770,1756,1985,1590,777,275,13331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,4,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,15,0,0,0,0,3,3,5,7,0,15,0,0,0,0,0,3,0,0,0,6,0,16,25,63,175,212,233,121,27,871,0,0,0,0,0,0,0,0,0,6,0,0,0,4,4,0,3,0,0,10,0,0,0,8,9,18,34,13,9,78,0,0,0,0,0,0,0,3,0,10,0,0,3,0,0,0,0,0,0,3,0,0,0,15,3,3,5,3,0,31,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
SOSR422,0,0,0,0,0,0,0,0,0,0,521,1190,986,1873,1182,1315,1053,490,149,8749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,12,0,0,0,0,0,0,0,0,0,0,0,6,5,21,92,124,143,68,9,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,4,12,20,7,4,54,0,0,0,0,0,0,3,0,0,6,0,0,3,0,0,0,0,0,0,3,0,0,5,14,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
SOSR431,0,0,0,9,0,0,0,0,0,14,3510,8867,7294,12597,9817,9904,6659,2099,486,61228,0,0,0,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,23,14,15,7,0,0,66,0,3,3,15,12,11,8,0,0,58,0,0,0,0,0,0,0,0,0,3,0,4,7,12,4,8,4,0,0,36,0,0,0,0,3,13,25,12,0,56,0,0,0,0,0,0,5,0,0,7,5,61,86,236,755,918,830,374,72,3338,0,0,3,4,8,5,0,0,0,18,0,0,3,11,9,8,8,0,0,34,0,0,10,25,26,94,137,60,12,371,0,0,0,0,15,40,66,53,20,207,0,5,4,3,0,4,0,3,0,14,0,8,18,58,22,33,20,4,3,154,0,6,0,5,5,0,3,3,0,23,0,0,3,8,0,3,3,0,0,14,0,0,0,0,0,0,0,0,0,6
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,0,0,0,0,0,0,0,0,0,5,43,43,152,418,196,148,102,27,4,1137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26,13,25,13,3,4,91,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,7,0,0,0,3,0,3,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,10,7,0,0,0,0,0,21,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,18,126,822,1666,323,138,38,11,3,3140,56138,91690,81348,140901,58149,48748,31452,14901,5262,528592,24,105,104,790,138,70,28,6,0,1257,0,5,90,522,233,240,116,40,9,1255,10,17,38,182,100,80,38,7,11,480,35,191,183,754,351,313,136,57,20,2037,9,32,42,273,123,135,76,22,6,719,133,733,2591,5366,1459,811,439,195,94,11819,5,12,63,373,257,393,484,416,96,2094,16,152,62,298,111,156,164,79,22,1068,446,4426,5838,17143,18027,13521,11986,6643,2041,80071,3,20,30,184,95,62,30,9,0,442,22,97,123,832,231,126,97,38,9,1579,15,109,202,912,572,440,1060,399,91,3807,3,25,16,75,84,159,278,306,90,1041,22,140,499,1286,287,296,148,82,14,2784,440,1608,2858,13391,2449,1521,1413,640,233,24546,75,366,768,1833,456,292,253,115,27,4188,26,204,281,1582,430,242,134,53,18,2968,36,154,219,763,384,154,46,18,4,1775
SOSR511,0,0,0,0,0,0,0,0,0,3,2315,4216,3464,6458,3055,2757,1824,863,268,25223,0,3,0,14,3,0,0,0,0,27,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,10,14,4,0,0,3,35,0,0,0,0,3,0,0,0,0,12,0,8,4,50,8,5,0,0,0,85,0,0,0,0,3,0,3,5,3,14,0,0,0,8,0,0,0,0,0,10,5,100,111,324,463,371,394,206,64,2037,0,0,0,10,0,0,0,0,0,12,0,0,0,7,4,3,0,0,0,21,0,0,6,11,14,17,56,13,0,111,0,0,0,0,3,0,5,0,0,13,0,0,3,10,3,0,0,0,0,14,9,17,15,168,23,14,14,6,3,264,3,4,8,12,3,3,3,0,0,30,0,3,0,17,5,0,0,0,0,31,0,0,0,11,7,3,0,0,0,18
SOSR512,0,5,12,28,5,0,0,0,0,52,3571,6932,5850,10363,5148,4667,3224,1608,598,41951,0,0,0,10,3,0,0,0,0,13,0,0,0,4,0,0,0,0,0,12,0,0,0,3,0,0,0,0,0,3,0,5,8,26,21,7,4,3,6,85,0,0,0,5,3,0,0,0,0,12,3,7,49,80,18,8,0,0,0,163,0,0,0,4,0,14,8,10,0,36,0,4,0,12,0,4,3,3,0,22,11,89,85,379,615,544,667,388,150,2925,0,12,6,39,7,10,4,0,0,79,0,3,3,12,4,12,4,3,0,43,0,4,4,39,33,26,79,24,14,217,0,0,0,3,3,7,3,3,0,23,0,0,8,10,0,0,0,0,0,22,3,26,23,262,38,22,18,22,5,420,5,11,10,22,3,0,0,10,0,70,0,0,3,26,3,0,0,0,0,33,0,0,0,3,0,3,0,0,0,9
SOSR513,0,0,0,4,0,0,0,0,0,4,2086,3359,2262,6084,2390,1759,807,279,75,19102,0,9,0,7,6,3,0,0,0,29,0,0,0,8,0,0,0,0,0,15,0,0,0,3,0,0,0,0,0,4,0,0,3,19,6,3,0,0,0,41,0,0,0,3,0,0,0,0,0,5,0,0,0,29,4,5,0,0,0,46,0,0,0,0,3,4,5,4,0,17,0,0,0,7,0,6,0,0,0,10,5,28,35,301,211,154,91,46,10,873,0,4,3,13,3,3,0,0,0,30,0,4,3,45,7,7,0,0,0,63,0,0,5,28,10,13,17,11,3,85,0,0,0,0,0,4,0,0,0,11,0,3,3,15,3,7,0,0,0,29,4,21,12,148,40,12,12,0,0,245,4,8,3,21,12,0,0,0,0,50,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3
SOSR514,0,0,0,0,0,0,0,0,0,3,1306,2168,1399,3014,1324,1255,890,364,120,11840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,16,6,5,5,0,0,32,0,0,0,3,0,0,0,0,0,3,0,0,3,12,0,0,0,0,0,17,0,0,0,4,0,0,0,10,0,15,0,0,0,7,0,0,0,0,0,12,12,117,109,407,314,214,246,110,28,1551,0,0,0,0,0,0,0,0,0,3,0,3,13,24,4,3,6,0,0,48,0,0,3,24,8,7,40,11,4,100,0,0,0,0,0,0,3,0,0,5,0,0,0,12,0,0,0,0,0,13,3,3,7,35,8,9,13,3,0,80,3,3,3,11,0,3,0,0,0,19,0,0,0,3,0,0,0,0,0,6,0,4,0,8,0,0,0,0,0,10
SOSR515,0,4,27,65,23,4,0,0,0,132,2900,5310,3753,7571,3872,3565,2456,1152,344,30928,0,3,3,11,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,9,6,3,0,44,0,0,0,5,0,4,0,0,0,8,0,3,88,24,14,3,3,0,0,137,0,0,0,0,3,8,9,3,0,22,0,0,0,11,0,0,0,0,0,16,3,49,50,302,410,422,478,279,63,2065,0,0,0,4,3,0,5,0,0,15,0,4,8,27,11,3,8,0,0,60,0,4,4,29,22,22,58,16,0,150,0,0,0,0,0,0,3,5,0,8,0,0,3,10,3,3,0,0,0,21,8,12,3,107,15,10,8,9,0,166,3,10,4,5,9,5,0,0,0,36,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3
SOSR521,0,0,0,0,0,0,0,0,0,0,1322,2714,1972,3750,2067,2147,1498,649,190,16310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,5,0,6,0,0,34,0,0,0,0,0,3,0,0,0,4,0,0,5,10,5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,22,33,148,324,252,321,160,40,1310,0,3,0,0,0,5,0,0,0,5,0,0,0,3,0,6,3,0,0,13,0,0,0,9,7,12,41,15,0,80,0,0,0,0,0,0,3,0,0,4,0,0,0,9,0,0,0,0,0,6,0,7,3,46,5,3,8,3,0,78,0,7,0,7,3,0,3,0,0,23,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
SOSR522,0,0,0,0,0,0,0,0,0,0,693,1249,967,1917,987,1051,748,282,84,7975,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,14,16,80,111,99,138,71,17,563,0,0,0,7,4,0,0,0,0,13,0,0,0,13,0,0,0,0,0,16,0,0,0,3,6,3,8,9,4,24,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,0,0,3,0,26,0,0,0,3,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR531,0,0,14,37,13,0,0,0,0,65,3858,9113,7757,16896,10057,9060,5641,1855,375,64618,0,0,0,36,3,0,0,0,0,39,0,0,0,5,8,3,0,0,0,18,0,0,0,30,18,11,0,0,0,57,0,3,3,45,19,31,12,3,0,115,0,0,0,14,6,0,0,0,0,23,0,3,20,118,38,6,3,0,0,195,0,0,0,10,6,19,24,17,4,77,0,0,0,9,3,3,13,3,0,33,6,115,242,834,1454,1258,1166,469,87,5630,0,0,0,16,8,12,0,0,0,42,0,5,10,37,17,10,14,3,0,97,0,6,14,71,63,73,128,31,4,388,0,0,0,0,0,5,6,12,0,29,0,3,9,17,4,5,0,0,0,39,0,0,3,182,64,35,32,15,0,320,0,4,10,38,13,4,10,0,3,86,0,0,6,69,11,5,0,0,0,87,0,0,5,12,4,0,0,0,0,23
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,6,117,38,14,3,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,5,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR599,0,0,0,0,0,0,0,0,0,0,62,93,192,827,403,312,211,27,3,2138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,3,0,0,10,6,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,3,17,58,36,48,41,4,3,211,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,19,0,0,0,10,0,0,7,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,8,0,0,0,16,3,0,0,0,0,25,3,0,0,5,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR603,0,3,29,24,7,4,0,0,0,72,4915,9751,9587,17117,8635,8298,5671,2813,1055,67842,0,0,6,32,0,0,0,0,0,41,0,0,4,10,7,12,5,3,0,39,0,0,0,4,3,0,0,0,0,9,4,10,12,71,29,28,18,4,0,176,0,3,0,22,11,12,4,3,0,60,4,25,322,573,36,32,27,11,7,1045,0,0,0,3,4,13,23,31,3,79,0,4,3,8,5,0,5,0,0,30,11,69,86,367,582,607,730,457,161,3075,0,4,3,14,12,14,3,0,0,48,3,6,3,39,18,9,10,3,0,84,8,5,13,56,44,53,124,55,44,396,0,0,7,14,17,34,49,53,15,184,0,10,26,61,12,19,16,4,0,143,11,28,77,389,58,24,23,18,7,639,0,7,9,21,4,0,14,4,3,65,5,30,38,66,5,10,7,0,0,157,0,8,0,19,0,3,0,0,0,35
SOSR611,0,3,17,38,16,4,0,0,0,76,2017,3946,4572,7054,3712,3347,2528,1255,445,28883,0,0,3,16,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,5,0,32,3,10,0,0,0,51,0,0,0,0,0,0,3,0,0,7,3,12,65,89,11,14,3,3,0,199,0,0,0,0,0,3,3,6,0,16,3,10,3,3,0,0,0,0,0,19,0,26,42,113,191,202,298,159,50,1089,0,0,0,8,3,0,0,0,0,14,0,0,0,6,3,0,4,0,0,19,0,3,3,14,14,19,37,24,9,122,0,0,0,0,0,3,3,7,0,16,0,3,18,13,4,4,0,3,0,45,3,12,27,134,29,16,6,3,0,228,3,0,0,11,8,3,3,0,3,30,17,50,16,17,7,0,0,0,0,116,0,0,0,0,0,0,0,0,0,8
SOSR612,0,0,0,0,0,0,0,0,0,0,605,1337,1245,2117,1176,1143,920,483,172,9192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,3,0,4,3,0,0,0,0,15,0,0,0,0,0,0,4,3,0,6,0,0,0,0,0,0,0,0,0,4,0,3,3,24,42,68,108,58,28,334,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,4,18,6,3,0,0,0,36,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR613,0,0,0,0,0,0,0,0,0,0,841,1802,1878,2819,1673,1660,1223,716,226,12832,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,10,4,0,0,0,0,20,0,0,0,0,0,0,0,9,0,13,0,0,0,0,0,3,0,0,0,4,0,12,4,19,60,76,126,97,22,420,0,0,0,3,5,0,0,0,0,8,0,0,0,0,0,0,4,0,0,3,0,0,0,3,3,4,15,7,6,43,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,9,3,3,0,25,5,3,3,3,0,49,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4
SOSR614,0,0,0,0,0,0,0,0,0,0,315,630,541,962,540,596,493,277,78,4427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,24,34,52,48,11,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,13,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
SOSR615,0,0,0,0,0,0,0,0,0,0,1700,3591,2926,5267,3145,3292,2700,1283,385,24294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,5,9,0,0,20,0,0,0,3,3,0,0,0,0,7,3,3,0,13,0,0,0,0,0,24,0,0,0,0,0,0,3,3,0,12,0,0,0,0,0,0,0,0,0,8,4,12,4,80,152,243,388,243,63,1183,0,3,0,5,0,0,0,0,0,12,0,0,0,3,3,3,0,4,0,17,0,0,0,9,7,12,37,23,6,97,0,0,0,0,0,3,3,0,0,15,0,0,5,5,3,4,3,0,0,15,0,0,0,22,3,5,9,3,0,40,0,0,3,3,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,3,3,0,0,4,0,0,0,0,0,5
