SOSR_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
SOSR622,6010,5901,11910,265,253,519,711,630,1340,354,306,659,249,220,476,458,506,964,592,645,1237,807,882,1696,1083,1013,2093,947,874,1819,425,406,829,117,167,286,5524,5470,10999,480,433,915,266,266,531,17,18,35,9,9,13,290,291,578,4803,4731,9536,645,614,1261,5494,5352,10847,78,110,186,5422,5280,10700,37,38,74,640,563,1198,235,204,447,31,52,81,74,176,248,1357,1636,2991,419,493,908,1834,1649,3483,559,478,1038,291,222,516,8,4,15,5297,5221,10514,540,548,1085
SOSR631,50967,47741,98715,2518,2381,4898,6605,6106,12713,3108,2826,5929,2266,1868,4134,4095,4305,8396,5693,5965,11659,8089,8066,16160,9090,8438,17527,6675,5483,12150,2371,1856,4225,466,456,926,47213,44671,91884,3755,3076,6826,2272,2111,4383,130,106,243,67,76,148,2470,2298,4771,41233,38406,79644,5425,5380,10798,46412,43386,89793,1100,1274,2372,45830,42873,88700,394,372,766,5961,5488,11444,2123,2048,4173,414,435,847,718,1608,2331,12682,15404,28093,3536,3863,7398,15264,12219,27482,4144,3006,7146,2128,1194,3321,134,69,201,45664,43389,89053,3810,3323,7131
SOSR679,49,21,68,0,0,0,0,0,0,0,0,0,6,4,8,15,3,23,5,0,5,10,3,15,8,4,12,4,3,7,0,0,0,0,0,0,46,18,65,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,28,16,49,15,3,18,37,18,60,9,0,10,34,19,51,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,18,11,25,8,4,10,16,4,22,0,0,0,0,0,0,0,0,0,0,0,0,471,218,691
SOSR699,524,393,912,27,20,40,16,22,36,34,33,62,56,29,90,120,69,183,93,54,147,77,59,135,52,56,113,48,38,84,8,5,12,0,0,3,0,0,0,524,393,912,34,22,54,4,0,4,3,0,3,34,22,55,376,286,659,72,66,139,378,300,680,31,31,67,363,301,666,3,9,11,12,18,33,10,21,28,4,6,9,15,15,28,141,149,296,32,24,62,121,85,209,37,23,51,19,13,34,0,0,3,0,0,0,0,0,0
SOSR703,62041,56416,118456,4550,4413,8966,7512,7184,14697,3362,3058,6422,4680,3926,8610,12865,11727,24590,9999,8939,18940,8332,7340,15672,6128,5533,11658,3296,2864,6161,1071,1098,2169,245,323,572,58372,53650,112017,3667,2764,6436,4850,4529,9380,239,213,454,414,409,821,5505,5151,10658,38102,34198,72303,16359,16348,32703,40690,37194,77878,13138,13537,26681,45817,42577,88392,807,810,1612,6613,6336,12950,2097,2061,4161,819,1067,1880,2221,3891,6112,24518,25083,49601,5885,4653,10541,8102,6382,14488,1856,1617,3469,1449,1461,2910,280,326,603,50817,50047,100872,16966,10198,27164
SOSR712,11619,12110,23726,908,847,1760,1669,1592,3261,762,606,1364,663,665,1331,1948,2250,4198,1655,1832,3489,1701,1847,3548,1393,1468,2864,642,645,1288,216,255,468,51,106,156,10720,11288,22006,895,828,1722,1947,2243,4189,26,12,39,35,32,69,2013,2290,4306,7438,7764,15205,2778,2916,5691,7991,8186,16178,2185,2460,4651,8670,9032,17703,148,171,321,1428,1376,2802,467,379,847,82,114,195,391,798,1188,3941,4868,8817,1199,1063,2265,1584,1405,2984,460,415,874,448,432,883,100,93,188,9661,10158,19817,3028,3188,6218
SOSR714,3222,3081,6303,303,237,536,449,405,851,220,183,398,205,223,428,565,593,1159,381,435,815,429,449,879,361,330,697,227,154,372,75,56,136,18,15,38,2976,2879,5856,244,203,446,737,787,1520,12,13,25,27,25,51,776,829,1603,2133,2023,4157,427,461,888,2084,1952,4036,469,507,974,2398,2297,4692,51,43,95,346,310,661,111,93,200,15,23,43,75,143,217,802,918,1721,279,260,539,495,416,912,131,145,276,124,98,224,26,20,43,2405,2380,4777,1389,1258,2645
SOSR715,9074,8741,17812,827,741,1574,1785,1506,3291,753,712,1460,716,718,1434,1541,1633,3173,1319,1299,2624,1103,1121,2224,697,714,1413,268,206,477,58,72,128,0,16,14,8558,8196,16745,522,546,1069,6199,6069,12269,21,15,37,136,126,266,6361,6214,12572,7865,7599,15466,534,582,1112,2429,2236,4665,5635,5696,11336,8077,7903,15979,182,172,355,1477,1314,2795,303,286,593,28,37,65,146,228,374,1571,1841,3407,827,869,1696,1395,1369,2768,595,550,1146,833,780,1612,183,146,327,8049,7845,15895,1263,1020,2282
SOSR721,7067,7084,14150,628,634,1259,1290,1223,2513,601,514,1121,588,591,1184,1285,1353,2632,993,1022,2014,838,927,1765,572,538,1109,213,209,426,52,59,109,9,19,27,6666,6642,13311,404,443,842,4445,4734,9174,22,21,47,79,100,175,4547,4857,9399,6061,6105,12167,460,484,948,2344,2084,4429,4016,4319,8334,6281,6298,12585,118,149,271,1055,1023,2084,202,186,393,27,43,64,110,229,342,1454,1676,3131,572,627,1204,981,938,1920,491,456,946,634,599,1229,105,107,216,6283,6383,12671,1958,1624,3580
SOSR722,5946,6170,12119,557,535,1094,1121,1045,2163,485,462,944,501,551,1057,911,998,1906,713,797,1512,741,782,1524,539,606,1146,275,280,556,89,91,181,18,19,38,5483,5688,11175,468,479,949,4431,4813,9244,18,17,34,61,70,126,4508,4902,9408,5322,5574,10901,210,215,424,1664,1579,3249,3710,4045,7749,5444,5692,11133,123,134,254,966,909,1877,164,159,326,10,17,31,59,153,213,736,846,1584,425,549,973,924,919,1835,502,551,1055,811,843,1652,198,197,397,5313,5559,10875,1064,1064,2129
SOSR731,18212,15494,33706,1181,1178,2364,2591,2357,4949,1276,1055,2328,1392,1032,2417,2640,2248,4891,2556,2273,4827,2826,2410,5235,2185,1779,3962,1215,889,2104,306,242,541,45,45,88,17163,14652,31824,1045,838,1889,4902,4440,9338,57,45,98,87,84,178,5041,4570,9609,13998,11940,25939,1619,1551,3169,11263,9549,20811,3642,3697,7344,14694,13016,27711,233,223,449,2133,1948,4079,564,479,1038,99,124,225,222,525,754,3672,4321,7996,1788,1428,3217,3450,2295,5743,1026,668,1698,1067,903,1970,195,225,416,14098,13146,27243,8422,5282,13703
SOSR779,61,14,70,0,0,0,0,3,3,0,0,0,4,0,3,23,3,30,16,0,19,11,0,9,3,0,3,0,0,0,0,3,3,0,0,0,61,14,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,16,47,3,53,16,10,27,37,3,37,11,7,21,0,0,0,0,3,3,0,0,0,0,0,0,3,0,3,42,3,42,0,3,6,5,3,8,8,0,8,0,0,0,0,0,0,0,0,0,185,68,252
SOSR799,1332,1157,2489,45,34,81,48,76,123,16,17,32,98,85,183,219,239,457,215,180,396,257,203,461,229,212,438,174,105,278,20,10,38,0,0,0,0,0,0,1332,1157,2489,381,297,683,5,4,11,4,3,7,394,305,696,750,630,1379,191,209,402,720,642,1364,234,218,455,945,813,1750,0,0,4,33,44,84,14,9,18,18,3,21,20,16,33,304,348,654,97,78,170,262,175,434,81,60,144,80,44,124,15,7,19,0,0,0,0,0,0
SOSR802,194879,200914,395790,13843,12868,26710,24524,22975,47504,12311,12080,24393,15795,15502,31297,32310,33573,65889,28789,29342,58129,24876,25880,50749,19803,21502,41302,13888,15462,29352,6417,7902,14316,2319,3836,6151,184922,191251,376175,9956,9662,19619,3063,3034,6093,88,92,183,91,93,184,3246,3218,6464,133359,135475,268841,50494,54421,104916,142380,145337,287716,41419,45117,86537,164959,169682,334641,2416,2302,4720,23068,21737,44797,9871,9931,19799,7897,8259,16152,9974,12700,22673,109589,113669,223252,7817,7670,15482,19147,22138,41287,5125,5707,10835,3418,4332,7744,613,776,1395,176224,182908,359139,18620,16899,35519
SOSR822,135,140,271,0,5,8,26,21,51,5,18,18,10,5,12,5,9,13,13,19,30,23,26,44,16,25,39,16,12,29,14,6,19,3,0,4,129,129,259,6,12,17,3,0,7,0,0,0,0,0,0,3,0,7,107,115,226,16,21,40,124,131,258,3,8,10,122,131,257,0,0,0,26,21,51,3,14,15,0,0,8,4,8,12,65,71,137,4,8,12,26,27,48,0,3,5,3,3,4,0,0,0,127,131,256,4,3,9
SOSR831,422,368,793,45,23,66,57,50,108,28,31,58,25,20,41,50,61,111,65,65,133,64,55,118,50,39,91,18,21,42,6,6,11,0,3,3,386,350,736,34,18,57,5,0,12,0,0,0,0,0,0,5,0,12,338,290,626,43,44,86,353,312,665,25,17,41,366,320,683,11,3,14,51,44,101,20,26,45,7,11,19,8,18,28,175,182,357,21,16,40,61,55,117,12,7,24,7,0,8,0,0,0,343,296,643,107,81,191
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,12
SOSR899,312,228,538,5,6,12,10,12,22,16,20,35,36,42,79,63,44,108,67,40,107,43,26,68,38,34,78,15,9,24,5,4,8,0,3,3,0,0,0,312,228,538,13,12,29,0,0,0,0,0,0,15,12,33,209,144,351,58,65,130,190,160,355,42,41,82,208,166,372,3,0,5,10,12,20,3,13,16,17,11,29,20,21,42,120,138,257,11,10,20,63,23,86,17,10,23,8,5,12,3,0,3,0,0,0,0,0,0
SOSR915,888,710,1599,64,41,105,97,112,208,37,34,65,41,36,76,114,103,221,112,106,218,145,126,272,147,113,261,106,38,139,24,9,30,0,3,3,808,661,1467,81,54,136,0,3,3,3,0,8,0,0,0,3,7,9,391,304,697,319,292,615,293,215,503,445,396,837,573,438,1011,20,13,30,82,95,174,24,16,43,4,5,4,19,25,42,274,247,521,54,41,92,125,92,212,18,13,35,89,47,136,15,22,32,560,501,1059,400,255,655
SOSR921,359,404,761,12,16,27,53,41,92,15,19,37,7,11,15,21,37,57,50,53,102,56,66,120,54,75,130,53,59,110,22,20,48,11,11,20,344,374,724,14,26,36,3,3,6,0,0,0,0,0,0,3,7,5,214,204,424,110,150,262,173,173,342,163,201,361,295,302,591,0,3,8,52,34,85,7,15,22,0,0,0,0,8,6,115,157,275,27,32,57,91,101,192,27,17,44,4,7,9,0,3,0,331,354,680,101,144,246
SOSR922,381,350,734,27,39,69,43,40,80,23,20,45,32,14,47,59,56,109,45,49,99,56,46,100,44,48,99,33,25,61,10,18,27,0,0,0,359,333,694,24,18,38,22,27,49,5,3,8,0,0,0,26,30,59,293,297,590,49,23,73,154,126,278,189,204,388,343,326,672,0,6,5,39,35,74,5,13,20,3,0,9,13,11,19,130,128,252,19,18,31,44,29,74,13,6,16,13,11,23,51,53,101,303,314,624,234,116,348
SOSR931,810,624,1429,34,30,61,80,79,157,30,28,66,54,9,60,132,47,185,131,80,213,115,98,215,112,101,214,64,88,150,37,46,82,14,13,29,777,587,1365,29,37,66,77,77,154,0,0,0,0,0,0,77,76,153,399,397,793,343,169,507,259,307,560,255,264,524,479,508,992,17,11,24,73,63,136,22,21,46,3,3,7,6,10,15,171,233,405,34,40,71,133,133,271,39,31,64,14,12,22,3,0,3,523,567,1090,349,123,469
SOSR979,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,0,4,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,17,3,19
SOSR999,21,28,55,0,0,3,0,3,3,0,3,3,6,4,10,0,0,0,4,5,5,3,4,9,3,4,11,6,6,13,0,0,0,0,0,0,0,0,0,21,28,55,3,0,3,0,0,0,0,0,0,3,0,3,14,15,24,9,17,22,20,21,40,5,10,10,16,19,39,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,7,16,25,0,3,3,6,10,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
