SOSR_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
SOSR499,1734,1129,2863,50,43,91,56,68,129,95,80,173,161,99,266,349,209,556,280,140,421,282,192,474,239,164,403,168,97,271,43,21,59,13,7,22,0,0,0,1734,1129,2863,136,114,246,4,0,4,4,0,4,141,114,249,1137,748,1886,366,235,605,1167,769,1933,196,150,347,1152,788,1941,3,4,11,42,55,90,39,42,85,20,22,42,47,49,97,462,378,845,220,130,352,291,184,475,120,61,178,96,49,143,20,10,30,0,0,0,0,0,0
SOSR501,927190,947382,1874578,62987,59884,122879,120253,114052,234304,58919,56441,115359,65921,63114,129031,148852,149926,298774,130795,132670,263462,122291,125204,247498,98533,105395,203928,70572,75422,145991,35729,43707,79433,12346,21571,33920,873711,911490,1785210,53475,35887,89371,13905,14304,28209,370,316,689,300,320,625,14578,14941,29517,528592,538537,1067126,336597,349118,685713,679918,691461,1371373,186987,199913,386895,722039,743490,1465527,12556,12182,24741,111225,105418,216640,44245,44504,88751,24159,24964,49123,29485,43752,73239,408966,438018,846982,71876,70145,142019,142846,142666,285512,31881,30892,62771,21386,25036,46417,4619,5549,10166,841275,875285,1716558,62446,64070,126522
SOSR511,34939,36151,71090,2546,2367,4909,5101,4922,10019,2397,2243,4639,1981,1886,3867,4484,4793,9274,4671,4817,9491,4762,4955,9712,4089,4414,8508,3003,3167,6174,1428,1748,3177,474,846,1316,32124,34210,66338,2812,1942,4756,917,996,1917,17,23,41,24,24,49,959,1042,2001,25223,25975,51196,7084,7633,14714,29438,30863,60300,2706,3014,5719,28982,30386,59365,477,440,921,4654,4522,9178,1554,1542,3097,224,349,571,514,1300,1809,10009,12176,22181,3470,3575,7040,8238,7977,16218,1719,1544,3262,978,1020,1994,88,89,173,30638,32846,63486,2812,2608,5415
SOSR512,57714,58836,116554,3954,3812,7771,8253,7971,16220,3860,3689,7552,3385,3119,6503,7443,7547,14989,7391,7704,15092,7820,8011,15833,6884,7107,13991,5088,5196,10289,2648,3204,5848,987,1473,2458,53014,55236,108250,4702,3600,8300,3307,3391,6700,41,39,78,59,50,114,3411,3478,6890,41951,42573,84525,10775,11536,22313,48199,49717,97917,4357,4802,9163,47373,49075,96444,718,709,1429,7441,7186,14626,2350,2389,4736,369,525,891,938,2075,3013,16406,19890,36303,5684,5864,11549,12852,12063,24911,2955,2526,5477,2022,1744,3765,192,159,352,49909,52539,102444,7047,6003,13044
SOSR513,27934,26123,54065,2411,2294,4711,4166,3895,8067,1538,1375,2907,1502,1565,3066,5081,5218,10295,4585,4199,8781,3951,3425,7377,2858,2383,5240,1278,1097,2375,449,486,933,126,194,319,25785,24604,50390,2152,1526,3671,3224,3401,6628,139,109,245,165,205,364,3521,3713,7236,19102,17766,36865,5008,4925,9936,21589,20154,41742,2695,2829,5527,21515,20124,41638,393,380,775,3496,3274,6765,884,829,1714,108,197,301,505,1101,1601,8434,9546,17977,2675,2307,4988,5169,3825,8993,994,750,1750,536,472,1010,77,82,163,23041,22607,45653,10525,6898,17425
SOSR514,17317,17712,35029,1456,1302,2757,2641,2456,5105,964,945,1909,862,863,1726,2261,2569,4828,2506,2583,5086,2206,2208,4418,1935,2070,4007,1545,1601,3145,710,751,1460,227,366,589,15795,16703,32497,1523,1007,2533,583,584,1164,18,15,29,10,9,17,605,610,1216,11840,11908,23745,3760,4142,7900,14717,15102,29823,1043,1179,2222,14093,14426,28519,290,265,553,2322,2165,4489,610,608,1219,109,139,244,262,637,899,5185,6287,11475,1686,1694,3380,3516,3325,6837,779,641,1427,441,389,828,42,38,78,14976,15776,30751,1693,1697,3389
SOSR515,43402,42809,86204,3251,2969,6216,6245,5962,12207,2512,2306,4814,2347,2212,4562,5550,5819,11374,5605,5705,11307,5899,5656,11555,5413,5208,10612,4003,3866,7870,1990,2194,4189,578,923,1497,39681,39944,79619,3724,2864,6587,3857,4107,7970,79,95,171,72,71,149,4015,4279,8291,30928,30363,61290,7282,7616,14896,35280,34974,70251,3393,3534,6924,35312,35084,70395,622,529,1149,5346,5096,10446,1445,1419,2863,272,282,556,535,1258,1798,11191,13284,24469,4021,4148,8164,9810,8572,18385,2240,1829,4067,1612,1311,2923,272,237,511,36674,37332,74009,10614,8116,18730
SOSR521,22394,21912,44304,1458,1352,2811,3116,2978,6100,1281,1179,2457,1104,1053,2159,2512,2720,5231,2673,2674,5345,3188,3180,6371,3202,3039,6244,2430,2180,4605,1101,1137,2242,317,427,742,20475,20448,40918,1920,1467,3391,2829,3059,5886,13,18,28,46,42,88,2886,3119,6003,16310,15855,32165,3580,3735,7317,18450,17986,36438,1715,1892,3610,18675,18344,37020,236,259,495,2671,2553,5229,687,645,1333,89,142,226,213,563,774,5260,6381,11636,2043,2114,4154,5587,4874,10463,1383,1109,2496,1012,816,1822,78,77,154,19221,19297,38519,4312,3207,7527
SOSR522,10665,10364,21030,778,746,1529,1399,1415,2816,605,516,1123,527,597,1122,1374,1442,2819,1240,1203,2444,1419,1386,2809,1504,1445,2949,1180,960,2141,509,512,1024,128,136,268,9631,9582,19217,1028,784,1812,2527,2761,5286,9,7,22,31,40,72,2569,2801,5371,7975,7858,15837,1364,1389,2756,7656,7386,15035,1661,1816,3475,8845,8728,17572,138,114,249,1154,1193,2350,272,272,548,33,54,87,75,221,300,2390,2779,5166,896,1002,1900,2457,2152,4607,669,513,1178,570,467,1041,84,81,163,8717,8877,17599,3552,2421,5968
SOSR531,92918,72257,165175,4221,3769,7989,10271,9613,19881,4957,4125,9078,4662,3124,7782,12506,7644,20155,13329,9668,22994,15848,12472,28322,13957,11581,25541,9278,7171,16447,3230,2457,5691,659,633,1288,86082,67751,153835,6836,4505,11344,4969,3641,8608,66,42,112,96,45,140,5128,3731,8862,64618,51782,116393,17154,13342,30491,73210,60822,134030,6192,4963,11161,73076,61249,134327,827,712,1535,9120,8517,17634,3047,2812,5858,503,668,1168,1001,1938,2941,28267,27058,55327,8389,6761,15145,20631,14151,34786,4256,2636,6894,2698,1587,4284,308,197,504,65795,62486,128285,51283,16333,67619
SOSR579,408,26,434,0,0,0,0,0,0,0,0,0,17,3,20,124,6,127,120,3,127,94,8,105,43,7,43,8,0,8,3,0,3,3,0,3,397,27,418,8,5,15,3,0,3,0,0,0,0,0,0,10,0,10,177,16,193,164,9,168,288,14,309,51,3,53,250,20,272,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,199,14,215,45,0,44,84,5,84,13,0,13,8,0,8,0,0,0,0,0,0,3004,668,3668
SOSR599,3532,2415,5950,81,79,161,120,120,237,84,65,151,254,242,503,773,534,1306,606,305,910,638,325,957,540,442,977,375,254,633,58,37,98,12,11,23,0,0,0,3532,2415,5950,324,237,563,6,6,11,7,3,12,341,247,587,2138,1378,3512,851,634,1484,2258,1559,3819,305,281,585,2133,1447,3584,9,9,17,93,88,186,26,23,53,28,37,67,71,72,145,1035,875,1909,312,183,488,715,434,1144,179,85,262,100,46,142,25,12,33,0,0,0,0,0,0
SOSR603,85960,92047,178009,5313,4974,10290,10830,10219,21057,5540,5343,10883,6000,5926,11926,11661,12079,23740,10524,11514,22036,11089,11935,23022,10747,12000,22751,8176,9417,17594,4416,5643,10056,1652,2999,4651,80865,86957,167818,5093,5095,10187,2982,3070,6056,163,164,331,143,147,289,3298,3376,6678,67842,72495,140333,12623,13723,26346,73024,78481,151512,7449,8369,15815,74928,81057,155990,796,826,1623,10025,9441,19471,4183,4093,8273,2311,2411,4722,3137,4554,7688,33546,37210,70759,5595,6231,11828,17105,18747,35855,4547,4891,9443,2757,3352,6106,345,399,748,78030,83793,161820,7314,7266,14581
SOSR611,36174,39157,75329,2222,2181,4404,4508,4413,8923,2610,2449,5056,2951,2764,5720,4667,4749,9414,4251,4737,8993,4705,5165,9872,4248,4874,9120,3504,4002,7504,1803,2464,4264,698,1359,2061,33889,36977,70868,2281,2177,4463,1141,1197,2338,51,54,99,33,48,75,1218,1293,2518,28883,31383,60264,4667,4818,9480,31136,33896,65030,2631,2636,5269,31575,34360,65931,379,360,735,4140,4035,8175,1873,1765,3636,1018,1010,2025,1214,1750,2967,11429,13098,24529,2501,2838,5345,8964,9316,18280,2266,2390,4655,1472,1711,3175,221,292,517,32501,35116,67619,3412,3630,7041
SOSR612,10829,12217,23046,640,685,1324,1403,1427,2834,725,740,1466,613,646,1263,1247,1316,2571,1174,1366,2546,1409,1611,3022,1439,1581,3018,1256,1502,2755,681,886,1572,241,443,680,10060,11474,21529,770,747,1513,639,733,1375,35,45,78,35,22,57,706,805,1511,9192,10324,19510,896,1048,1947,9867,11111,20979,297,406,700,9865,11158,21022,103,106,205,1291,1300,2593,487,514,1001,82,127,201,187,383,570,2375,2946,5318,792,933,1719,3341,3580,6928,889,1066,1960,555,598,1159,23,37,63,9871,11087,20959,713,766,1482
SOSR613,15036,16388,31416,886,895,1773,1923,1816,3737,1097,1015,2114,933,899,1832,1603,1774,3370,1615,1783,3406,1983,2224,4213,1986,2220,4211,1684,1941,3620,1009,1259,2273,311,562,872,13938,15425,29357,1102,961,2064,1029,1102,2128,45,49,95,36,62,93,1105,1211,2317,12832,13957,26796,1191,1330,2523,13861,15068,28926,347,445,788,13806,15038,28850,131,116,246,1749,1669,3417,733,729,1459,132,191,328,267,548,812,3155,3879,7036,1161,1341,2505,4545,4850,9396,1377,1431,2807,876,904,1776,46,42,87,13687,15004,28693,996,1054,2053
SOSR614,5247,5753,11004,330,307,637,672,642,1311,333,315,651,259,266,527,572,637,1208,526,580,1105,641,776,1412,726,798,1522,668,744,1412,419,504,915,105,185,294,4905,5442,10347,345,310,654,288,356,643,23,12,33,16,22,35,328,388,713,4427,4792,9216,396,470,865,4856,5266,10119,73,104,176,4778,5229,10005,55,46,101,604,577,1182,213,212,418,24,41,70,62,140,199,935,1229,2164,391,452,841,1607,1737,3343,515,544,1060,359,315,672,33,20,54,4771,5266,10040,362,379,740
SOSR615,29257,31191,60455,1809,1718,3527,3856,3620,7474,1648,1627,3275,1553,1522,3074,2992,3305,6297,3107,3431,6540,3803,4126,7936,4160,4499,8658,3791,4019,7815,1954,2280,4234,595,1039,1632,27241,29299,56540,2016,1897,3917,1440,1579,3019,90,61,152,54,73,129,1583,1717,3301,24294,25836,50133,2732,3016,5744,26766,28467,55235,616,735,1350,26450,28297,54744,269,240,510,3474,3278,6753,1065,1147,2215,217,286,504,418,939,1357,6189,8068,14254,2089,2521,4607,8951,8828,17779,2505,2487,4994,1503,1391,2895,80,54,130,26493,28266,54759,1957,2173,4128
SOSR621,9434,9672,19103,538,514,1050,1155,1155,2303,517,477,988,403,418,820,914,960,1869,1012,1150,2163,1284,1298,2577,1528,1594,3124,1334,1284,2619,604,624,1227,156,210,363,8749,8998,17748,680,673,1353,485,549,1038,30,26,50,21,14,42,531,594,1128,7613,7739,15356,1021,1088,2109,8520,8718,17240,263,286,546,8479,8704,17190,80,86,165,1019,1022,2047,328,335,666,57,78,132,146,289,441,2386,2912,5299,676,750,1423,2699,2455,5155,760,689,1441,423,374,800,28,24,46,8532,8715,17250,829,741,1567
