SOSR_CODE_2016,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
SOSR231,65,525,0,588,11594,2005,14188,312,344,4,666,8650,1056,10371,5351,536,113,5999,9401,2516,17911,12682,472,355,13510,7471,2908,23893,9504,1142,226,10873,19046,3353,33275,1804,3125,61,4991,27327,3387,35706,290,2901,18,3212,21070,3122,27407,47,502,4,554,8262,1596,10409,39,34,0,78,1970,456,2499,30101,9583,788,40467,114790,20394,175653,86,882,7,975,10187,1697,12860,691,670,31,1389,6686,727,8809,7924,934,403,9256,6701,1377,17334,14971,832,827,16631,5685,1781,24097,8440,2801,356,11589,18949,2615,33153,789,7127,62,7978,22614,2789,33382,196,4432,21,4655,15805,2486,22945,30,513,5,549,6583,1339,8465,56,33,11,98,2191,474,2766,33190,18215,1719,53121,95400,15287,163808,155,1404,7,1565,21780,3697,27043,1006,1008,39,2053,15340,1787,19177,13277,1465,515,15258,16101,3890,35251,27653,1307,1177,30147,13159,4693,47992,17939,3941,584,22465,37995,5964,66424,2591,10256,128,12972,49947,6176,69088,485,7336,40,7862,36878,5610,50347,81,1009,10,1099,14842,2933,18869,94,69,11,172
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,0,0,0,10,0,11,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,18,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,3,0,0,3,0,0,0,0,10,0,11,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,8,0,8,121,41,180,16,11,0,27,301,122,447,108,29,0,138,603,306,1052,138,11,0,155,313,344,813,56,17,0,78,312,241,628,13,25,0,38,287,132,460,3,19,0,19,206,53,283,0,0,0,0,56,20,72,0,0,0,0,9,0,9,334,130,3,467,2212,1259,3942,13,9,0,18,120,37,178,32,17,0,47,297,107,453,120,41,4,161,439,189,795,116,18,9,150,184,151,479,32,16,4,51,211,88,347,0,38,0,39,241,76,352,0,27,0,27,143,29,204,0,3,0,3,34,8,49,0,0,0,0,18,13,28,309,163,11,491,1687,705,2883,13,14,0,28,246,86,357,48,30,0,72,599,224,898,229,69,4,298,1046,502,1848,257,37,9,304,500,492,1295,87,33,4,126,522,328,975,10,63,0,74,528,212,816,4,47,0,51,349,88,482,0,3,0,3,92,28,121,0,0,0,0
SOSR301,311,3287,48,3646,59001,4796,67439,2962,2607,116,5686,68327,5887,79899,37969,4291,1021,43279,102931,12302,158507,70856,3033,1928,75820,57203,9765,142787,39335,4214,1064,44613,77001,8867,130481,6257,9649,175,16080,80777,6999,103861,1057,10931,77,12065,55087,5729,72883,153,2257,12,2419,27800,3993,34214,31,129,3,163,9859,2234,12259,158933,40384,4443,203765,537986,60569,802321,722,5404,79,6210,54925,4317,65453,6547,4991,413,11961,62584,5308,79853,57563,7412,2862,67835,84767,10898,163506,85176,5356,4438,94964,45341,8098,148405,36831,10635,1726,49190,80252,7650,137093,2915,23293,280,26487,77687,6711,110881,696,17475,118,18284,54930,6123,79338,164,2754,15,2935,33948,5521,42405,48,175,3,222,17688,4857,22766,190665,77498,9932,278098,512121,59476,849694,1038,8696,123,9857,113921,9110,132888,9516,7602,534,17646,130911,11190,159749,95527,11700,3880,111117,187701,23201,322012,156032,8387,6363,170783,102548,17861,291188,76166,14847,2788,93806,157249,16516,267570,9175,32935,456,42568,158462,13708,214742,1750,28399,196,30350,110019,11851,152218,317,5012,28,5356,61751,9518,76617,85,300,4,388
SOSR302,54,704,3,767,14479,1559,16809,595,585,23,1208,15120,1606,17943,8977,998,200,10180,22919,3334,36432,17861,773,464,19097,14032,2868,36000,10238,1053,241,11538,20259,2827,34625,1756,2266,40,4067,22432,2547,29043,365,2663,21,3053,19339,2347,24738,63,500,6,568,10194,1630,12394,10,22,0,33,3266,988,4290,39935,9570,1002,50513,142051,19703,212260,137,1306,17,1463,13579,1415,16459,1422,1053,76,2552,14415,1612,18581,14036,1742,648,16426,18917,3230,38580,22461,1317,1088,24866,10950,2696,38508,9983,2528,398,12912,21950,2747,37614,764,6135,76,6973,23183,2616,32771,196,4585,29,4809,19276,2507,26593,42,621,3,677,11064,2226,13970,15,36,0,59,5328,1823,7214,49064,19336,2336,70734,138672,20882,230293,189,2014,21,2230,28060,2971,33265,2023,1640,101,3764,29540,3223,36525,23015,2736,851,26610,41836,6567,75009,40321,2098,1545,43961,24982,5560,74505,20223,3579,641,24445,42214,5580,72240,2521,8398,117,11036,45614,5165,61812,562,7257,48,7860,38617,4848,51332,104,1128,10,1245,21255,3857,26359,30,58,0,89
SOSR303,135,1009,19,1156,18420,2008,21583,993,735,31,1756,17831,2280,21871,11193,1303,352,12841,24716,4087,41645,20149,998,591,21734,15576,3559,40866,11986,1434,347,13770,24686,3641,42096,2085,3128,60,5278,28963,3132,37366,330,3107,20,3463,23483,2760,29703,37,625,3,670,12464,1885,15016,11,40,0,48,4132,913,5092,46921,12377,1415,60715,170265,24266,255245,243,1707,22,1971,17130,1793,20893,2213,1427,117,3755,15884,1785,21423,17480,2124,997,20598,19861,3356,43817,25742,1599,1450,28792,12803,3057,44650,11564,3580,549,15691,27200,3247,46130,819,7709,83,8610,29090,2993,40685,178,5169,32,5378,23562,2910,31857,49,762,5,819,14378,2564,17764,25,58,3,82,6868,1867,8821,58311,24127,3254,85690,166770,23571,276031,376,2711,40,3126,35549,3801,42475,3208,2162,143,5512,33712,4069,43296,28671,3428,1343,33442,44580,7442,85464,45892,2591,2043,50526,28373,6611,85515,23548,5013,898,29459,51885,6887,88232,2907,10835,142,13885,58050,6120,78051,509,8282,49,8841,47045,5671,61558,86,1385,11,1485,26845,4449,32774,33,98,3,133
SOSR311,65,392,0,459,6553,665,7674,528,308,20,855,5641,628,7126,4715,515,145,5372,7908,1438,14719,6477,328,240,7049,5329,1335,13707,3557,605,114,4269,9405,1567,15234,624,1278,21,1921,11070,1421,14415,87,931,7,1023,9609,1232,11866,29,192,0,215,5631,928,6773,10,11,0,21,1743,434,2193,16079,4555,549,21181,62881,9641,93700,154,689,16,856,5956,639,7453,1215,536,57,1810,4739,563,7108,7152,723,409,8277,5833,1006,15119,8210,528,455,9186,4317,977,14483,3403,1607,197,5209,9603,1151,15961,243,2887,35,3167,10758,1110,15037,70,1436,14,1524,9892,1299,12712,16,257,0,275,6591,1221,8093,6,26,0,30,2948,702,3680,20466,8682,1181,30332,60649,8672,99652,217,1077,15,1309,12509,1303,15120,1741,843,80,2669,10382,1185,14232,11866,1230,556,13655,13740,2443,29837,14686,856,691,16237,9644,2310,28189,6956,2208,306,9478,19007,2711,31198,865,4164,60,5086,21830,2533,29454,155,2364,17,2541,19507,2528,24573,44,446,0,494,12223,2153,14865,12,37,0,51
SOSR312,12,75,0,88,1528,179,1794,164,72,11,248,1441,155,1835,1217,110,41,1379,1955,295,3626,1714,88,37,1839,1414,331,3585,837,144,19,998,2402,323,3723,135,289,5,430,2647,297,3374,21,183,0,205,1938,237,2385,0,30,0,30,1042,174,1241,0,0,0,0,325,59,385,4105,991,119,5217,14685,2047,21954,47,181,3,225,1259,149,1639,345,122,20,483,1096,138,1721,1922,187,111,2213,1341,304,3859,1981,125,126,2229,1063,259,3547,757,377,31,1170,2192,248,3606,55,568,14,634,2273,262,3171,13,267,0,280,1919,263,2459,7,41,0,40,1204,243,1486,0,4,0,3,568,109,677,5125,1863,300,7284,12916,1974,22180,60,253,3,316,2790,329,3434,500,195,33,729,2537,288,3554,3141,298,157,3592,3296,594,7487,3704,206,165,4070,2473,585,7133,1593,525,48,2172,4592,576,7334,189,861,18,1068,4919,562,6544,36,446,4,483,3856,498,4843,7,68,0,76,2247,417,2734,3,4,0,3
SOSR313,47,275,0,324,4106,537,4963,414,207,15,636,3590,432,4665,3461,291,100,3851,4804,963,9618,4555,266,126,4947,3334,913,9191,2330,376,57,2766,5918,931,9613,416,793,16,1219,7277,834,9322,61,637,7,706,6646,773,8130,15,140,0,152,3604,591,4351,5,12,0,14,1117,302,1444,11306,2989,323,14618,40397,6279,61287,106,472,3,582,3679,480,4739,938,333,50,1317,2933,383,4634,5065,518,304,5887,3541,804,10234,5700,376,304,6387,2731,678,9792,2244,1041,106,3394,6316,784,10492,193,1815,23,2027,7238,786,10050,30,1047,9,1082,6780,842,8707,24,208,3,231,4194,784,5209,3,15,0,22,1864,553,2436,14308,5821,797,20920,39277,6089,66289,158,744,5,905,7782,1021,9705,1355,535,63,1954,6525,819,9296,8528,811,399,9741,8343,1765,19844,10256,643,432,11333,6062,1589,18984,4574,1416,164,6158,12231,1717,20108,601,2605,37,3242,14507,1618,19369,94,1679,17,1788,13433,1610,16829,42,341,3,383,7794,1373,9558,9,27,0,38
SOSR314,30,232,3,264,4153,617,5035,323,158,4,484,3547,455,4483,3212,276,95,3583,5314,1144,10051,5067,256,154,5479,3436,981,9901,2505,393,71,2970,6128,976,10070,386,749,12,1151,7038,902,9098,79,602,3,686,5766,857,7308,12,136,3,155,3044,581,3780,4,5,0,15,977,204,1189,11624,2810,348,14781,39404,6719,60910,87,426,6,521,3606,555,4676,712,321,30,1063,2961,417,4444,4942,471,280,5688,3988,997,10676,6073,376,359,6808,2825,879,10511,2302,973,114,3386,6175,861,10424,172,1757,10,1939,6485,869,9293,43,923,11,968,5447,848,7267,17,166,0,184,3363,711,4257,7,16,0,21,1610,321,1953,14351,5433,803,20587,36461,6447,63505,119,653,5,780,7759,1167,9711,1038,480,36,1547,6506,871,8927,8150,749,371,9270,9307,2140,20721,11142,635,516,12288,6260,1858,20412,4802,1373,182,6353,12306,1833,20493,565,2509,26,3097,13521,1769,18387,124,1523,15,1657,11219,1705,14577,29,305,4,339,6404,1299,8041,12,19,0,36
SOSR315,59,397,9,468,6125,931,7523,626,319,20,959,5031,926,6919,4890,505,170,5569,7111,2107,14780,7175,474,254,7903,5611,1879,15391,3582,702,140,4424,10036,1723,16190,617,1198,34,1848,12423,1660,15934,126,924,10,1063,10878,1532,13476,27,168,4,196,5288,946,6433,6,6,0,15,1385,383,1782,17107,4693,647,22447,63890,12087,98419,171,679,17,864,5393,847,7102,1364,553,82,2005,4040,667,6704,7441,695,505,8645,5251,1377,15268,8662,696,562,9916,4209,1141,15258,3276,1638,188,5104,9930,1353,16393,316,2704,32,3055,11665,1378,16098,81,1461,10,1545,10368,1423,13333,22,196,3,226,5051,1065,6346,4,22,0,26,2326,564,2912,21335,8649,1404,31384,58234,9812,99429,231,1074,25,1334,11520,1776,14625,1990,867,101,2962,9067,1593,13623,12333,1200,683,14213,12360,3489,30056,15833,1165,817,17820,9818,3018,30656,6858,2341,331,9531,19970,3076,32585,933,3903,67,4896,24095,3042,32033,206,2383,21,2613,21240,2958,26810,50,370,7,425,10339,2007,12776,10,28,0,36
SOSR321,28,144,5,177,2397,402,2978,236,92,7,341,1710,343,2392,1661,185,49,1890,2254,627,4771,2633,159,97,2887,2161,710,5762,1622,306,46,1977,4416,744,7137,296,594,8,900,5748,705,7352,60,417,3,486,5079,747,6312,15,73,0,87,2084,366,2535,3,0,0,4,530,123,654,6548,1974,218,8740,26382,4765,39891,75,232,8,311,2117,374,2805,506,205,28,731,1393,225,2349,2524,245,143,2922,1686,403,5008,3339,257,189,3789,1763,447,5998,1450,710,77,2236,4350,542,7131,145,1231,14,1391,5311,599,7294,28,617,4,653,4402,623,5674,4,86,0,95,1860,407,2362,4,6,0,11,656,131,800,8083,3591,461,12139,23529,3752,39421,101,373,9,491,4510,779,5785,741,292,32,1072,3108,569,4742,4191,428,191,4810,3939,1027,9781,5967,415,281,6669,3927,1156,11752,3070,1017,126,4216,8764,1288,14264,437,1829,17,2292,11058,1302,14652,94,1039,8,1137,9480,1370,11988,17,158,0,180,3944,771,4895,8,10,0,18
SOSR322,10,72,0,81,929,226,1236,110,44,3,156,785,119,1063,683,77,24,786,1036,229,2048,1104,76,34,1211,976,231,2419,576,157,19,747,2079,344,3172,123,268,3,390,2896,358,3653,36,184,4,221,2679,432,3326,3,33,0,30,1114,213,1366,0,0,0,0,235,59,296,2646,896,83,3627,12737,2209,18573,38,94,0,140,798,182,1117,248,90,16,352,572,129,1049,1091,126,76,1293,731,194,2217,1300,132,77,1505,750,186,2440,520,331,35,886,1973,290,3147,81,559,4,645,2619,293,3559,20,286,4,308,2216,334,2855,11,49,0,54,908,194,1161,0,0,0,4,266,62,329,3301,1667,210,5185,10837,1859,17874,48,166,3,220,1723,411,2354,363,129,15,505,1358,251,2112,1773,207,98,2074,1763,425,4269,2404,205,111,2717,1726,418,4859,1095,485,50,1629,4055,632,6318,201,828,9,1033,5519,647,7203,53,470,3,529,4895,761,6183,15,76,0,93,2023,408,2524,0,0,0,3
SOSR331,73,537,7,617,11352,1975,13950,516,374,18,905,8239,1384,10530,6436,539,156,7138,10111,3111,20361,13178,598,338,14110,9183,3276,26572,8795,1237,220,10253,21076,3888,35217,1615,2844,51,4510,27468,3736,35710,295,2202,12,2511,21568,3260,27336,48,396,0,448,8354,1574,10373,16,26,0,41,1729,405,2170,30984,8748,808,40539,119081,22602,182219,151,1012,17,1178,9790,1587,12551,1143,659,52,1854,6410,860,9128,9716,873,517,11112,6679,1763,19550,15963,901,771,17637,6868,2353,26852,7623,3198,355,11174,20270,3026,34470,627,6076,56,6756,22804,2954,32520,144,3258,8,3417,16465,2521,22396,41,440,3,479,6221,1204,7908,21,32,0,54,1663,425,2140,35435,16451,1774,53661,97159,16689,167514,224,1551,21,1797,21142,3557,26495,1661,1029,65,2760,14648,2248,19656,16159,1417,676,18251,16790,4870,39910,29148,1492,1111,31752,16047,5624,53426,16422,4436,575,21432,41341,6912,69689,2249,8921,106,11268,50269,6693,68226,443,5461,21,5923,38030,5778,49736,88,838,9,926,14575,2777,18283,35,59,0,97
SOSR379,3,0,0,3,0,0,3,0,0,0,0,3,0,3,0,0,0,0,4,0,4,6,3,0,4,0,0,7,0,0,0,0,7,0,10,0,0,0,0,5,0,7,0,3,0,3,12,0,13,0,0,0,0,4,0,7,0,0,0,0,0,0,0,9,9,0,16,44,11,65,0,0,0,0,4,0,5,3,0,0,3,0,0,4,0,0,0,3,3,0,6,0,0,0,0,3,3,3,3,0,0,0,6,0,7,0,3,0,6,9,4,19,0,0,0,0,13,5,16,0,0,0,0,7,0,7,0,0,0,0,0,3,0,5,4,0,17,50,12,81,0,0,0,0,4,0,11,3,0,0,3,3,3,11,3,0,0,0,5,0,11,3,3,0,9,6,4,14,3,3,0,8,17,0,24,0,5,0,5,22,4,30,0,3,0,3,22,8,33,0,0,0,0,13,0,16,0,0,0,0
SOSR399,3,9,0,12,149,47,212,25,19,0,44,400,121,559,128,36,3,165,781,344,1288,166,26,6,200,439,329,964,83,17,0,99,592,279,975,16,53,0,68,817,262,1147,7,43,0,49,876,194,1120,0,6,0,6,178,42,225,0,0,0,0,11,3,19,425,210,12,646,4243,1622,6509,3,8,0,18,148,35,203,28,19,3,43,406,120,576,111,33,0,148,632,221,1005,138,21,6,160,222,134,514,44,24,0,72,474,149,688,8,103,0,117,919,196,1224,0,42,0,47,638,118,798,0,4,0,4,108,40,153,0,0,0,0,11,5,18,335,265,9,604,3561,1014,5179,5,19,0,25,300,83,408,49,36,3,90,808,234,1133,241,73,3,313,1414,565,2293,301,44,7,359,662,457,1485,124,44,0,168,1067,426,1663,24,165,0,186,1737,457,2373,6,84,0,91,1510,313,1916,0,9,0,9,284,81,381,0,0,0,0
SOSR401,161,1460,13,1638,31932,2353,35928,1141,1293,60,2497,36854,2373,41723,18752,2315,458,21524,55256,5114,81894,37560,1577,993,40139,30711,4435,75281,21593,2230,525,24348,46832,4507,75689,3727,6251,92,10069,52645,3902,66615,601,8707,39,9345,37452,3533,50334,131,1993,15,2137,22452,2864,27452,34,123,4,157,9715,1516,11384,83699,25952,2204,111858,323842,30600,466302,334,2613,38,2983,29569,2079,34631,2712,2461,136,5315,33127,2093,40535,29930,3985,1374,35290,44061,4430,83779,44499,2611,2309,49417,22882,3536,75838,19897,5787,869,26550,48073,3758,78384,1809,15837,170,17815,51207,3856,72874,467,13705,69,14246,38619,4082,56946,136,2291,14,2446,28354,3930,34727,55,153,5,218,17248,2856,20318,99831,49449,4989,154268,313140,30618,498030,499,4076,48,4620,61500,4432,70554,3854,3756,196,7810,69977,4467,82252,48678,6300,1838,56816,99318,9548,165670,82061,4190,3304,89556,53595,7974,151122,41492,8017,1394,50899,94907,8264,154069,5540,22089,264,27886,103849,7753,139495,1073,22412,110,23588,76070,7614,107279,265,4285,32,4584,50799,6796,62177,84,281,10,376
SOSR412,17,118,0,134,2090,226,2457,179,103,5,287,1818,142,2247,1580,158,47,1790,2276,291,4354,2143,122,81,2347,1636,260,4241,1219,247,43,1510,3256,337,5101,174,475,7,649,3565,331,4554,28,378,3,407,2580,309,3299,4,84,0,81,1618,258,1957,3,5,0,10,575,118,704,5342,1687,184,7219,19414,2275,28909,35,222,4,266,1892,175,2332,364,209,21,591,1523,134,2251,2315,277,146,2738,1642,255,4635,2603,195,153,2949,1244,224,4419,1079,600,40,1721,3230,324,5266,89,1098,9,1190,3171,306,4668,16,582,0,601,2770,379,3753,12,95,0,103,2005,382,2490,3,12,0,16,920,161,1094,6517,3281,374,10177,18395,2333,30909,56,341,4,400,3986,399,4783,542,308,29,880,3344,279,4500,3900,436,192,4527,3917,548,8983,4743,314,239,5297,2878,484,8666,2296,848,82,3227,6488,659,10367,258,1570,9,1844,6737,640,9222,49,963,7,1011,5353,686,7052,10,175,0,183,3623,637,4449,8,18,0,21
SOSR413,20,144,3,169,2735,273,3175,167,109,12,283,2347,338,2974,1735,184,65,1988,3121,732,5837,2894,151,112,3157,2105,647,5910,1792,259,61,2117,3913,567,6597,291,673,10,974,5028,509,6503,57,769,5,836,4726,480,6041,14,131,0,148,2700,393,3235,9,8,0,14,940,165,1113,6977,2431,268,9680,27614,4098,41390,32,312,3,350,2365,285,3001,404,259,26,682,1973,187,2842,2515,301,190,3008,2312,362,5679,3625,274,255,4156,1658,365,6179,1633,701,113,2448,4126,424,6992,129,1493,18,1641,4963,497,7102,31,1160,4,1193,4993,565,6752,6,158,0,165,3057,500,3725,4,10,0,9,1592,274,1875,8393,4662,604,13659,27040,3452,44145,52,459,7,515,5098,558,6175,570,369,31,970,4318,528,5815,4254,485,253,4995,5429,1093,11523,6519,428,373,7315,3766,1005,12088,3425,965,177,4562,8039,994,13597,419,2165,28,2612,9994,1007,13606,90,1932,7,2024,9720,1044,12793,21,287,0,311,5761,885,6959,8,12,0,26
SOSR414,6,25,0,31,517,59,605,28,22,0,48,454,26,534,408,43,13,460,688,73,1224,569,43,26,642,504,76,1217,338,69,9,417,841,71,1336,59,152,0,215,1231,96,1543,16,200,0,215,1404,137,1750,3,47,0,45,862,133,1042,0,3,0,4,295,88,387,1435,589,54,2075,6801,761,9641,7,57,0,63,473,63,607,62,37,3,103,355,30,486,581,47,56,684,458,73,1212,711,62,49,824,360,58,1234,322,144,11,475,866,81,1424,29,380,0,414,1220,111,1741,13,288,0,303,1508,160,1968,0,31,0,39,1009,158,1206,0,0,0,3,467,136,602,1731,1049,122,2899,6713,863,10485,13,80,0,95,988,125,1209,91,54,5,151,812,58,1017,990,87,67,1142,1151,152,2443,1287,100,76,1464,858,129,2455,665,209,21,897,1712,153,2754,85,538,3,625,2450,209,3284,26,488,0,512,2907,300,3720,8,76,0,87,1870,289,2246,7,5,0,11
SOSR415,21,141,0,160,2651,364,3182,178,129,4,311,2270,190,2771,1910,181,51,2142,3054,419,5611,3118,173,109,3398,2073,431,5904,1720,276,60,2050,4476,530,7059,294,688,3,989,5848,582,7420,57,679,5,734,5253,646,6628,8,114,0,121,3032,524,3674,18,6,0,22,1112,260,1403,7316,2384,231,9938,29767,3943,43645,41,272,5,318,2348,297,2961,378,220,18,613,1794,186,2595,2836,319,192,3346,2094,363,5802,3763,255,242,4255,1653,358,6265,1588,721,70,2382,4531,442,7353,120,1549,12,1685,5321,562,7564,34,1032,6,1078,5239,655,6968,9,145,0,160,3408,649,4213,7,16,3,24,1952,483,2460,8783,4531,546,13858,28347,3992,46197,65,406,5,477,5001,663,6144,560,350,17,924,4063,378,5360,4740,506,241,5489,5153,779,11414,6882,424,353,7655,3730,789,12170,3306,992,126,4434,9008,975,14414,417,2240,14,2676,11170,1142,14987,92,1709,9,1811,10491,1299,13602,22,260,0,285,6441,1170,7891,26,27,4,55
SOSR421,7,46,0,51,748,115,911,42,28,3,76,622,51,745,561,56,10,637,867,117,1618,899,46,45,988,587,123,1702,559,88,14,657,1436,158,2247,86,241,0,328,2059,197,2586,13,218,6,234,1753,201,2192,3,33,0,37,886,154,1079,0,0,0,0,312,72,383,2169,750,82,3006,9265,1191,13459,12,85,0,96,686,97,875,87,50,4,140,501,44,685,804,82,63,952,562,116,1621,1095,88,70,1252,470,110,1828,458,244,28,725,1401,132,2254,54,527,9,581,1715,182,2476,12,287,0,294,1666,177,2137,3,45,0,46,939,167,1156,8,3,0,12,553,150,716,2524,1398,170,4088,8493,1178,13767,16,132,0,143,1427,210,1783,129,77,8,216,1125,100,1438,1370,140,72,1584,1429,227,3238,1993,130,112,2238,1061,229,3530,1015,331,41,1382,2837,292,4507,136,767,10,912,3775,384,5062,25,496,6,532,3420,380,4329,9,76,0,82,1825,327,2242,5,3,0,15
