SOSR_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
SOSR514,12,3,125,115,34,270,17,166,14,761,46,69,307,178,106,156,51,194,21,1126,329,489,786,392,325,228,253,503,47,3353,402,648,746,426,405,252,360,371,42,3656,353,465,631,347,395,238,349,362,37,3182,252,296,319,251,312,206,274,263,34,2213,81,69,59,44,64,49,43,88,18,519,10,9,0,5,3,4,5,7,0,36,0,0,0,0,0,0,0,0,0,11,1486,2045,2975,1760,1637,1422,1363,1959,212,14850
SOSR515,21,29,319,277,96,605,65,405,11,1815,112,283,762,381,299,298,198,483,42,2857,571,1233,1757,777,758,455,824,1005,122,7508,852,1205,1605,873,880,452,970,950,124,7909,919,1039,1357,888,1000,512,1174,1110,151,8145,808,825,919,642,736,387,842,872,112,6142,267,193,170,133,198,99,189,226,45,1515,55,29,18,9,18,12,21,31,14,215,9,0,7,0,3,0,3,0,4,23,3611,4832,6906,3979,3991,2811,4286,5082,639,36136
SOSR521,15,17,147,109,55,204,17,193,19,764,54,111,308,172,131,98,88,214,29,1213,290,455,704,325,348,185,347,463,38,3154,439,460,689,396,394,187,475,414,68,3528,588,507,729,440,486,254,664,575,95,4333,477,397,489,374,406,201,520,465,67,3402,207,89,91,73,109,72,129,119,32,925,54,15,6,11,13,3,12,15,13,133,3,0,0,0,0,0,0,4,0,9,2124,2041,3160,1895,1947,1198,2258,2466,372,17460
SOSR522,8,10,43,55,27,51,10,73,12,271,30,69,101,99,50,39,40,84,6,526,160,249,313,187,152,84,149,180,35,1511,185,196,247,158,163,62,149,185,42,1375,271,229,261,203,167,96,246,232,36,1749,276,183,211,176,139,84,227,207,29,1535,91,44,54,34,41,27,85,66,10,456,19,4,5,0,9,0,4,13,7,74,3,0,0,0,0,0,0,0,3,8,1045,988,1235,919,746,443,908,1030,182,7494
SOSR531,100,68,687,507,161,909,96,848,59,3436,364,400,1324,590,426,459,395,1008,73,5026,1909,1796,3318,808,1138,419,1606,1914,174,13096,3489,2282,3155,1047,1654,596,1919,1711,246,16105,5049,2710,3447,1506,2271,910,2591,2067,334,20884,4666,2081,2081,1056,1783,753,1878,1627,270,16199,2467,514,441,188,402,207,378,533,133,5265,661,55,42,12,48,20,30,89,47,1003,84,4,3,3,3,0,4,19,12,135,18792,9915,14491,5729,7882,4282,8905,9821,1342,81157
SOSR579,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11,0,19,3,21,21,0,3,0,9,41,0,100,3,28,26,0,4,0,15,28,4,98,5,20,26,0,0,0,9,16,0,82,0,8,13,0,0,0,6,10,7,35,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,78,87,3,10,0,35,100,9,334
SOSR599,0,0,3,5,3,10,0,8,0,26,8,14,27,36,9,16,16,57,4,202,21,91,127,62,20,22,65,167,20,598,25,48,78,16,25,16,72,35,9,332,23,28,66,27,20,16,67,50,14,308,20,45,41,15,31,7,45,56,7,266,9,9,5,4,3,0,9,4,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,235,349,162,114,90,276,386,58,1773
SOSR603,55,67,362,780,205,1620,72,853,58,4065,295,804,1175,1599,817,1397,211,914,109,7310,1529,4574,2550,2274,2337,1412,609,1285,282,16854,2277,4780,2055,1898,2619,1044,576,1171,266,16685,2511,4410,1942,1934,3005,1087,847,1313,303,17352,1672,3317,1381,1402,2233,840,757,1213,191,13012,389,755,264,258,467,244,161,236,69,2848,53,82,29,19,44,26,16,28,31,327,3,13,3,0,3,4,4,3,14,50,8793,18803,9756,10163,11729,7678,3250,7017,1331,78514
SOSR611,26,32,197,342,98,764,68,408,28,1957,161,378,624,638,298,658,164,455,35,3412,621,1599,1068,811,718,627,338,648,90,6508,827,1614,777,745,892,534,414,610,114,6516,919,1569,782,911,1108,598,530,700,112,7228,650,1193,616,621,813,436,399,508,74,5315,137,249,102,103,169,92,98,125,29,1110,18,26,19,3,22,6,9,19,9,130,0,5,0,0,0,0,0,5,3,17,3361,6659,4182,4179,4116,3713,2013,3475,486,32194
SOSR612,8,5,60,69,24,262,14,129,5,578,35,55,154,127,57,142,44,150,11,778,154,288,330,209,190,165,140,255,21,1760,186,281,272,253,239,141,132,215,32,1744,221,277,258,304,280,189,199,321,38,2080,150,247,189,198,215,106,159,227,15,1508,30,68,47,30,43,20,44,43,10,338,6,6,5,0,3,3,0,7,8,40,0,0,0,0,0,0,0,0,0,5,796,1216,1310,1185,1058,1024,742,1342,142,8822
