SOSR_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
SOSR714,0,0,12,20,15,46,0,33,0,134,18,26,49,55,28,17,17,28,4,243,62,196,137,125,85,32,30,59,15,738,57,110,68,98,70,29,19,39,16,506,85,103,56,90,81,22,35,44,7,512,60,69,49,46,56,23,27,39,13,371,18,16,17,15,11,3,8,10,3,112,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,296,522,379,454,342,178,133,260,62,2620
SOSR715,3,17,19,33,15,37,3,27,17,175,21,56,42,80,62,26,18,37,32,369,78,292,142,218,122,58,54,110,65,1148,106,264,120,199,120,67,67,103,50,1104,118,273,131,180,122,37,55,103,50,1062,120,202,77,99,75,29,34,68,23,721,22,28,12,20,22,4,11,11,0,139,5,6,0,3,3,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0,468,1140,544,828,546,265,235,465,245,4731
SOSR721,3,8,13,34,11,22,4,20,20,138,15,54,58,105,29,33,26,45,30,388,97,254,155,233,115,70,57,133,59,1178,99,211,158,162,103,43,62,94,42,984,128,176,121,165,90,47,68,72,39,914,85,156,54,80,75,18,57,64,21,598,19,23,11,19,10,4,13,13,4,121,0,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,448,888,564,801,435,239,283,450,216,4320
SOSR722,3,6,12,19,6,16,3,21,9,89,13,36,23,53,13,13,13,47,14,216,43,115,58,139,59,40,36,87,27,591,52,122,43,131,68,25,28,72,23,570,96,121,66,131,52,24,44,74,21,626,102,119,39,66,50,18,23,45,14,472,27,35,18,9,19,0,3,12,3,119,0,0,0,3,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,7,328,559,257,551,254,134,150,351,113,2708
SOSR731,10,22,139,82,55,155,15,182,21,682,36,111,290,149,125,85,54,276,36,1169,299,417,618,309,366,105,192,327,66,2707,514,474,603,319,428,115,211,284,69,3019,621,488,580,327,510,144,323,327,83,3401,380,334,313,190,301,111,211,240,44,2134,109,82,60,35,88,28,61,65,22,555,15,13,9,4,4,0,5,4,3,67,0,3,0,0,0,0,0,0,0,4,1996,1952,2615,1426,1880,735,1084,1713,340,13740
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,8,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,3,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,13,0,28
SOSR799,0,0,6,3,0,0,0,0,0,18,0,4,12,18,0,4,3,23,0,75,7,43,23,32,0,10,9,32,3,169,9,30,12,12,8,5,9,16,4,97,7,18,26,9,9,6,20,23,0,111,8,8,17,7,12,3,13,14,3,89,0,0,5,0,0,0,6,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,108,104,84,34,32,63,104,15,574
SOSR802,459,382,872,2773,628,3662,207,1566,141,10698,1509,3402,2727,4550,3326,3118,428,1441,374,20867,6487,19243,5983,5019,8650,2514,940,2342,1305,52482,9483,17048,4194,3674,7954,1639,863,1793,1348,47990,9236,12676,3344,3237,7927,1477,1071,1560,1127,41658,4561,7653,1911,1879,4906,1086,878,1241,590,24706,798,1934,457,427,1058,362,269,325,161,5791,89,195,39,36,101,47,20,34,35,590,11,15,5,0,7,3,0,7,22,78,32635,62555,19538,21586,34551,13914,4673,10307,5112,204869
SOSR822,0,0,0,6,0,3,0,0,0,14,0,0,0,0,3,3,0,0,0,7,0,6,0,0,0,0,0,0,0,12,7,3,3,6,4,3,0,0,0,29,11,7,6,4,7,3,0,3,0,38,3,5,6,0,4,3,0,0,0,24,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,22,12,15,20,11,6,4,0,130
SOSR831,0,0,3,7,0,8,0,3,0,25,3,4,9,7,4,0,0,3,0,34,6,20,21,11,19,3,0,4,3,85,29,34,14,7,17,3,0,3,3,114,29,18,18,5,10,3,3,3,0,94,13,10,3,3,10,3,7,6,3,52,7,0,0,4,0,0,0,0,0,20,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,94,86,72,50,62,21,14,23,8,424
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,0,0,0,3,0,0,0,0,0,10,3,11,4,14,5,3,0,4,0,39,4,18,3,10,6,4,7,6,0,57,3,8,6,8,9,0,0,5,0,41,4,3,6,3,3,0,0,3,3,28,6,13,0,0,5,3,0,0,0,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,57,14,34,28,12,8,20,6,202
SOSR915,0,0,0,4,0,0,0,0,0,9,0,3,6,7,10,0,6,10,0,48,13,24,26,34,17,0,18,25,3,155,36,17,28,22,26,4,14,10,5,163,29,18,32,33,26,3,9,32,3,197,20,17,29,17,16,3,22,39,0,161,5,4,20,3,3,0,24,14,0,81,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,100,85,145,120,103,13,101,132,19,820
SOSR921,3,0,0,3,0,5,0,5,0,21,0,0,5,3,0,0,0,4,0,16,8,3,4,12,3,5,3,9,0,44,17,8,17,15,9,4,3,25,0,98,18,4,31,14,7,4,7,19,0,102,20,17,14,8,10,11,3,16,0,93,8,8,3,3,0,8,3,8,3,47,3,3,0,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,78,44,77,49,37,53,17,76,7,436
SOSR922,0,0,0,5,3,0,0,3,0,15,8,3,3,3,0,0,3,5,0,31,19,13,5,19,9,0,3,9,0,72,12,12,12,11,7,0,5,9,0,70,13,6,13,4,9,3,3,3,0,60,11,6,12,8,3,0,3,12,0,55,3,0,0,0,0,0,0,9,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,45,40,54,33,10,20,39,12,321
SOSR931,0,0,0,12,3,8,0,3,0,29,0,0,3,5,0,0,0,6,0,18,3,7,11,10,6,6,3,8,0,56,15,23,22,18,21,5,3,7,3,112,31,7,32,16,27,7,7,11,3,141,29,19,27,7,16,11,4,10,7,136,12,15,4,5,5,12,5,6,0,62,3,0,3,3,0,3,0,3,0,14,3,0,0,0,0,0,0,0,0,4,92,67,112,76,83,59,25,48,12,573
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,6
SOSR999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,3,0,0,11
