SOSR_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SOSR799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR802,8,51,0,0,0,51,68,32,154,6155,2683,424,9265,261,211,471,9734,4293,88,14108
SOSR822,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,6,0,0,6
SOSR831,0,0,0,0,0,0,0,0,0,10,0,0,12,0,0,0,11,6,0,18
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,0,0,0,0,0,0,0,0,0,16,8,3,25,0,0,0,29,10,0,35
SOSR921,0,0,0,0,0,0,0,0,0,18,7,0,31,0,0,0,31,7,0,32
SOSR922,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,6,8,0,15
SOSR931,0,0,0,0,0,0,3,7,13,22,11,0,29,0,0,0,34,24,7,65
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
