SOSR_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,0,0,10,4,0,3,9,5,6,11,3,0,36,14,22,25,62,50,74,108,42,10,412
SOSR199,0,0,0,5,6,4,0,0,0,16,3,6,8,46,11,15,3,3,0,89,0,0,3,6,0,4,4,0,0,18,0,0,3,17,3,14,11,7,0,50,0,0,3,7,3,0,0,0,0,13,3,7,4,34,6,15,14,0,0,77,0,0,0,3,3,3,3,0,0,9,0,0,0,9,0,0,0,0,0,9,0,0,12,55,3,0,0,0,0,74,0,0,8,27,4,0,0,0,0,39,0,0,0,3,3,3,0,0,0,5,0,0,0,10,6,3,0,0,0,18,5,5,27,25,7,11,6,0,0,82,0,0,16,27,9,10,3,0,0,76,0,0,5,4,3,0,5,0,0,19,0,0,0,3,0,7,0,0,0,9,14,15,54,172,68,43,25,8,0,398,36,56,328,934,338,284,200,60,15,2248,338,402,1876,4599,1798,1722,1196,282,78,12288
SOSR201,13,54,128,825,534,229,77,22,4,1884,409,2643,4912,18626,8005,5656,2413,592,227,43481,11,77,199,2966,1440,3059,2412,1419,1562,13141,60,451,635,3578,3146,3617,3791,2346,949,18562,312,1677,3234,5270,1869,1561,827,268,66,15075,152,1208,2734,8355,4543,3027,2038,844,302,23199,0,0,56,876,1277,1663,1359,1113,315,6660,431,2985,4877,23044,8654,6541,4307,1803,692,53328,103,228,1060,5341,663,726,328,52,22,8530,293,1375,2355,7396,1287,563,214,39,17,13538,17,113,365,3115,3259,4030,3525,1590,370,16383,63,212,589,4378,4458,2530,1579,700,165,14677,525,2150,2138,5982,2430,1532,1034,235,104,16124,399,1570,7228,29596,17230,14502,5093,2078,886,78584,19,103,137,846,657,564,500,308,149,3287,15,169,516,1954,605,375,152,39,8,3845,1975,8359,15630,59606,25005,19999,15938,10320,4726,161569,13696,21797,30430,82031,33315,28668,23475,16385,9225,259021,267976,492595,566068,1296847,545587,439174,317529,185177,85254,4196198
SOSR203,0,4,0,33,19,10,0,3,0,67,14,61,127,339,160,119,76,11,9,904,0,0,3,53,33,71,62,56,67,348,4,23,19,100,125,190,213,160,37,869,0,27,39,44,39,35,19,0,0,203,3,30,59,144,94,53,43,26,6,451,0,0,0,21,65,94,107,96,20,404,3,23,60,163,31,28,26,7,3,347,4,3,8,27,9,4,4,0,0,54,16,164,119,130,32,10,3,3,0,477,0,3,8,61,86,170,150,95,20,587,0,6,12,32,28,11,13,7,0,114,9,44,43,144,53,42,38,5,4,388,3,12,56,166,62,49,15,3,0,360,0,3,3,37,30,32,42,20,7,177,0,8,12,57,22,7,9,3,0,113,42,175,291,724,324,386,411,383,204,2942,478,869,1253,2570,1516,1379,1158,934,571,10729,9762,18114,21886,41236,19884,18465,14388,8763,4593,157104
SOSR211,0,5,5,51,29,11,5,0,0,112,23,188,231,787,296,181,74,16,0,1795,0,3,3,45,29,49,36,27,35,225,3,12,19,103,137,226,279,158,51,992,4,14,16,59,28,28,15,4,0,169,4,35,92,211,94,64,49,14,4,574,0,0,0,15,33,50,64,39,17,216,3,61,44,290,83,56,41,14,10,599,0,3,13,97,13,11,3,0,0,132,30,179,180,192,54,23,3,3,0,668,0,0,0,53,34,39,31,6,0,167,0,0,3,36,28,14,8,3,0,99,8,67,45,164,74,75,66,9,3,502,10,24,36,235,65,44,9,0,0,427,0,9,12,25,33,29,37,23,14,181,0,13,21,72,16,12,8,4,0,142,62,412,661,1519,626,496,418,275,101,4565,1168,1934,2349,5139,2591,2523,2222,1432,638,19997,19530,35934,37764,72616,33634,32117,24759,13422,5952,275731
SOSR212,0,0,4,19,25,6,0,0,0,55,10,75,112,392,167,130,59,20,4,968,0,0,3,21,8,30,16,16,18,122,0,15,16,72,101,159,195,120,29,708,0,3,18,21,11,11,6,3,0,79,0,51,71,137,103,38,28,18,0,450,0,0,0,3,15,20,27,10,13,81,16,43,23,188,84,25,28,10,6,434,4,3,75,314,10,4,3,0,0,407,11,21,24,115,35,14,6,0,0,232,0,0,0,8,20,19,15,17,0,85,0,12,21,124,151,73,44,20,4,453,3,25,31,81,30,46,16,9,0,243,5,5,22,122,48,46,16,0,0,262,0,0,3,16,19,11,17,18,9,95,0,7,7,39,23,4,3,0,0,79,32,249,325,890,407,293,200,166,69,2634,661,1192,1517,3353,1825,1806,1616,1207,678,13856,11137,21771,22045,43200,22142,20504,15863,9362,4248,170256
SOSR213,0,3,0,31,31,19,13,4,0,108,17,117,158,477,247,173,90,15,3,1309,0,4,3,48,11,58,38,29,44,241,0,19,22,124,155,283,390,248,93,1329,3,14,17,48,26,18,8,5,0,134,11,64,66,236,112,92,61,16,3,667,0,0,0,6,14,38,42,34,9,144,11,32,27,160,33,31,28,4,3,321,0,3,28,121,7,0,0,0,0,160,11,28,26,83,27,10,5,0,0,189,0,0,0,8,9,11,11,10,0,56,0,9,4,16,15,11,4,6,0,62,15,58,53,175,94,88,83,20,12,592,4,12,19,128,56,19,6,3,0,252,0,10,5,30,46,39,55,31,14,231,0,15,19,71,22,23,7,4,0,165,19,131,146,637,311,351,343,248,129,2310,867,1610,1853,4197,2526,2679,2586,1808,898,19025,16108,31887,28718,59519,31934,32056,27053,16238,7501,251012
SOSR214,0,5,10,25,14,12,8,0,0,74,8,54,49,218,93,63,20,8,0,515,0,0,5,13,7,13,18,19,19,88,0,16,7,57,76,158,207,115,32,667,0,5,10,30,12,15,4,0,0,75,0,22,40,83,62,41,34,15,0,298,0,0,0,0,8,19,19,24,7,80,0,10,4,69,12,11,11,10,3,142,0,0,27,118,0,0,0,0,0,148,4,14,28,68,18,13,5,0,0,142,0,0,0,8,17,10,7,4,0,45,0,0,3,11,7,0,0,3,0,33,3,14,18,77,43,32,56,9,0,265,0,6,16,59,27,4,3,0,3,124,0,0,3,6,11,19,34,22,10,108,0,3,0,11,12,11,3,4,0,42,13,53,60,263,165,156,200,166,52,1133,445,875,950,2322,1616,1836,1962,1360,755,12135,7760,16221,14813,28691,17803,18934,18475,11053,5132,138874
SOSR215,0,0,3,20,25,19,3,9,0,86,20,79,56,341,119,92,54,15,0,781,0,4,3,36,17,40,33,15,25,164,0,12,26,84,99,232,320,134,63,973,0,14,11,35,23,20,3,3,0,106,4,13,47,126,98,68,64,18,14,442,0,0,0,3,21,26,27,16,9,108,0,4,5,92,24,21,22,6,4,191,0,4,26,114,4,0,0,0,0,159,7,48,34,120,47,17,3,0,0,272,0,0,3,5,10,14,8,0,0,42,0,0,3,26,26,18,13,5,0,93,11,36,23,103,67,99,88,17,3,439,0,16,15,120,40,49,12,3,0,254,0,0,3,27,45,54,43,24,3,210,0,3,11,24,18,16,10,0,0,84,16,68,62,429,287,292,376,240,116,1899,669,1495,1510,3786,2610,3002,2693,1868,974,18616,12710,26735,22013,46726,27995,30257,27228,15760,7560,216976
SOSR221,0,0,0,8,10,6,0,0,0,22,5,18,8,59,35,28,13,0,0,157,0,0,0,7,0,15,15,7,0,45,0,0,0,30,37,87,116,48,14,329,0,3,3,3,6,3,0,0,0,21,0,4,3,28,15,20,18,5,0,103,0,0,0,0,9,9,15,6,0,42,0,0,0,10,7,16,8,0,0,38,0,0,0,8,0,0,0,0,0,14,3,4,13,27,8,10,3,0,0,65,0,0,0,5,3,3,0,0,0,14,0,0,0,3,8,5,7,3,0,22,5,19,7,32,28,28,37,4,0,160,0,3,0,13,0,0,0,0,0,20,0,3,0,12,6,14,16,12,0,61,0,0,4,0,3,3,4,0,0,13,5,16,8,98,81,95,82,63,22,481,188,418,354,1023,790,1013,971,471,281,5503,3187,7348,5629,12091,8472,9647,8504,4133,1603,60620
