SOSR_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOSR222,0,0,0,7,3,3,0,0,0,19,4,19,18,64,31,20,6,0,0,161,0,0,0,8,3,5,4,0,4,24,0,0,0,8,16,42,60,22,4,159,0,0,0,11,5,0,0,0,0,20,0,3,11,25,13,12,13,0,0,78,0,0,0,0,0,3,6,3,0,11,0,0,0,4,3,6,0,0,0,15,0,0,7,35,3,0,0,0,0,39,3,0,0,19,11,0,0,0,0,41,0,0,0,0,0,0,5,0,0,5,0,0,0,0,5,0,0,0,0,4,0,7,0,20,8,16,18,4,0,72,0,0,0,6,3,0,0,0,0,9,0,0,0,0,8,3,7,3,3,29,0,0,0,0,4,0,0,0,0,8,0,18,16,65,52,66,69,42,14,344,119,370,316,753,613,647,521,234,109,3678,2021,4781,3723,7802,5565,6392,4978,2095,847,38204
SOSR231,0,3,8,52,72,29,8,4,0,174,31,120,108,513,182,159,53,3,3,1174,0,4,3,67,25,82,77,28,20,303,0,11,25,142,251,386,430,172,46,1467,3,18,12,46,45,31,8,0,0,167,0,65,91,275,206,141,82,27,5,897,0,0,0,13,63,81,90,54,6,309,3,23,12,185,53,48,54,11,0,389,0,10,25,135,7,10,3,0,0,195,21,44,48,148,58,20,6,3,0,344,0,0,4,29,51,65,59,30,0,241,0,0,9,49,58,17,23,8,0,172,13,58,57,174,150,186,182,32,8,869,3,10,32,216,97,52,7,3,0,420,0,5,3,38,54,85,79,29,6,302,0,3,17,55,56,43,14,3,0,200,14,106,184,813,611,699,692,346,116,3579,1383,3407,3191,7261,6474,7005,5465,2285,664,37134,20650,53945,46225,83238,66424,69088,50347,18869,5266,414055
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,8,11,5,0,0,0,29
SOSR299,0,0,0,3,3,0,0,0,0,7,0,0,4,25,5,3,3,0,0,41,0,0,0,9,3,0,0,0,0,11,0,0,3,10,0,7,3,0,0,22,0,0,7,4,0,3,0,0,0,13,0,0,0,13,4,0,3,0,0,25,0,0,0,0,0,4,0,0,0,6,0,0,4,10,0,3,0,0,0,28,0,0,18,33,4,0,0,0,0,64,0,0,3,11,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,12,9,0,3,0,0,26,4,0,13,17,3,3,3,0,0,47,0,0,17,31,11,10,3,0,0,76,0,0,0,8,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,3,11,19,79,163,42,22,19,4,4,359,46,55,177,503,161,131,74,15,5,1162,379,367,1254,3135,975,816,482,121,38,7565
SOSR301,41,433,888,2594,1862,1205,483,293,72,7863,187,1368,2366,8100,3771,2633,1037,271,70,19803,4,29,66,948,346,629,387,221,231,2864,39,420,487,2053,2059,2093,1877,1163,428,10613,81,394,1060,1694,575,513,259,75,10,4655,143,1588,3306,7444,4151,2257,1268,455,159,20769,3,3,19,265,304,377,311,187,57,1531,53,537,641,2714,1159,948,574,245,99,6976,158,388,1662,6424,1044,1286,625,132,19,11738,88,619,890,2592,588,289,120,15,5,5208,0,5,34,156,149,137,95,50,6,630,6,36,75,384,203,78,36,12,6,836,189,1055,1156,2948,1215,920,637,154,60,8338,102,554,1315,6331,3521,2827,1150,459,193,16460,20,137,200,603,551,404,392,202,87,2586,4,138,566,1766,948,694,221,66,18,4421,873,4819,8396,26812,10178,7434,4860,2487,985,66834,6730,11407,15698,37430,15977,13327,10206,6791,4858,122431,135876,266722,292641,613202,267570,214742,152218,76617,35022,2054614
SOSR302,5,34,95,319,286,168,57,31,7,1007,50,204,429,1607,821,588,253,67,18,4038,0,21,23,254,99,211,171,110,77,956,4,131,140,512,531,565,720,403,156,3163,10,57,148,262,133,155,75,25,6,871,40,477,962,2227,1266,895,507,224,58,6650,0,0,11,66,109,147,128,100,26,595,7,49,50,220,87,94,84,35,8,624,20,52,209,758,162,140,101,22,9,1469,48,125,194,802,207,109,26,5,3,1519,3,0,11,46,66,43,38,17,4,227,3,4,13,100,126,52,59,19,6,377,70,260,316,745,351,341,247,67,27,2428,12,48,108,374,129,89,56,13,3,821,5,53,56,230,186,125,150,82,33,924,0,16,83,358,164,130,78,16,0,857,143,704,1598,5844,2029,1927,1577,1015,390,15232,2054,3797,5141,11800,5596,5101,4352,2679,1710,42233,32218,65786,69788,149515,72240,61812,51332,26359,11505,540559
SOSR303,33,400,659,1303,822,478,171,54,7,3934,60,465,607,2054,969,674,239,59,11,5138,0,8,9,186,46,109,75,46,41,523,10,96,129,511,550,593,721,397,146,3165,15,41,58,153,138,94,31,15,6,555,30,423,741,1580,976,576,346,181,48,4906,0,0,0,12,41,49,58,45,8,210,13,105,93,378,150,106,80,40,9,977,8,23,65,490,31,26,10,4,0,651,35,168,231,595,287,89,44,12,0,1473,0,0,0,9,12,6,7,3,3,41,0,9,0,41,32,12,9,4,0,111,45,273,303,855,408,364,292,122,22,2679,13,67,78,377,123,71,27,11,3,781,7,45,57,215,160,132,157,82,30,895,8,69,216,430,287,225,107,32,6,1382,207,1028,1504,4326,1976,1530,1329,755,302,12969,2258,4440,6288,13175,6909,6095,5066,3174,1762,49168,39715,85872,85771,170980,88232,78051,61558,32774,13909,656870
SOSR311,0,31,37,129,105,63,12,10,3,393,51,363,349,1132,462,298,128,28,8,2825,0,0,0,29,8,17,13,18,10,97,0,18,23,95,121,164,256,143,48,871,3,8,3,46,23,16,7,0,0,105,4,181,282,490,364,158,86,45,13,1622,0,0,0,0,11,11,24,10,0,66,12,56,25,241,68,25,20,10,7,468,3,9,57,175,0,3,3,0,0,246,7,39,39,151,76,26,3,0,0,337,0,0,0,0,3,0,3,0,0,5,0,4,0,22,19,9,7,0,0,58,7,45,52,140,76,56,66,26,4,476,4,74,69,244,80,25,10,0,0,501,0,10,12,32,36,30,52,36,11,215,0,46,62,139,110,90,18,9,4,476,29,164,191,775,378,287,365,230,86,2505,778,1526,1940,4591,2729,2588,2188,1381,623,18344,14631,31168,29359,58025,31198,29454,24573,14865,5876,239151
SOSR312,0,4,9,35,22,18,8,0,0,100,29,148,99,348,147,79,39,6,0,904,0,0,0,10,0,9,3,3,3,34,4,3,7,42,34,43,41,24,3,200,0,3,3,8,5,7,3,3,0,36,0,54,61,125,78,22,9,4,3,366,0,0,0,3,4,4,3,6,0,19,0,10,0,33,8,0,0,0,0,63,0,0,0,5,0,0,0,0,0,9,3,8,12,50,15,8,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,22,4,43,27,14,16,3,0,132,0,0,3,20,8,5,0,0,0,31,0,0,0,10,8,8,6,0,0,33,4,9,3,25,28,11,5,0,0,82,3,48,27,194,82,77,71,44,23,566,261,434,515,1162,584,555,451,302,96,4368,3927,7561,6993,14621,7334,6544,4843,2734,1063,55622
SOSR313,4,39,24,116,89,46,9,8,3,339,21,199,186,624,303,195,73,17,3,1633,0,0,3,25,5,18,17,13,8,90,0,10,11,67,85,89,179,101,35,581,0,8,4,26,12,11,10,5,0,71,3,114,152,368,217,135,65,32,9,1096,0,0,0,0,3,10,20,11,3,51,3,18,11,92,19,13,4,3,5,163,4,3,16,50,6,9,0,0,0,84,3,18,27,99,29,15,8,0,0,204,0,0,0,4,3,0,0,0,0,11,0,0,0,12,3,4,3,0,0,20,5,35,30,100,59,59,70,18,8,384,0,4,3,59,16,3,10,0,0,100,0,7,0,15,24,32,27,13,5,137,0,32,39,126,67,28,18,5,3,312,18,77,107,437,258,241,228,156,45,1572,703,1299,1363,3347,1836,1666,1413,961,615,13202,10971,22071,18999,38832,20108,19369,16829,9558,3875,160616
SOSR314,0,27,43,180,130,72,24,12,0,493,25,186,143,522,233,139,58,14,8,1330,0,0,4,27,13,20,15,7,5,90,0,21,29,96,94,127,114,62,14,556,0,13,10,29,17,10,4,0,3,84,7,127,158,393,226,127,61,29,3,1126,0,0,0,3,4,5,16,8,3,43,3,12,10,81,15,24,4,3,3,155,4,0,129,463,5,6,0,0,0,604,3,31,28,123,34,16,3,0,0,238,0,0,0,0,3,0,3,0,0,5,0,0,0,9,8,9,0,0,0,30,3,31,25,126,65,67,58,11,5,397,3,27,21,117,28,9,11,0,0,218,0,0,5,34,26,18,25,12,9,135,0,18,38,81,75,49,14,5,0,280,16,108,160,582,305,255,197,120,72,1825,793,1607,1557,4107,2035,1839,1538,945,350,14773,10925,23290,18639,41134,20493,18387,14577,8041,3140,158624
SOSR315,3,43,29,205,160,88,50,8,0,586,39,217,176,753,277,208,101,15,0,1776,0,0,0,30,13,18,15,13,7,99,0,21,33,103,132,222,267,118,41,938,0,0,4,20,27,28,9,3,0,81,0,83,107,329,195,123,100,39,12,987,0,0,0,9,13,23,11,20,0,72,3,6,6,42,19,26,25,7,4,134,6,12,46,236,5,4,0,0,0,310,9,27,45,133,67,18,4,0,0,303,0,0,0,0,3,0,0,0,0,9,0,0,0,0,3,3,0,0,0,4,8,56,33,137,76,120,111,39,6,586,10,23,38,137,21,20,3,0,0,249,0,4,12,44,42,48,43,32,7,237,0,13,30,113,71,45,22,13,0,312,17,119,158,688,387,409,405,214,75,2475,1119,2126,2270,5995,3260,3198,2644,1465,708,22781,16881,35429,28250,60708,32585,32033,26810,12776,4690,250156
SOSR321,0,11,10,59,72,73,25,0,0,259,9,31,37,164,81,74,45,3,0,446,0,0,3,13,6,12,18,7,3,54,0,5,6,41,46,82,94,56,4,339,3,0,0,5,15,12,5,0,0,37,0,22,36,94,85,48,45,12,0,337,0,0,0,0,8,10,8,3,0,28,0,3,0,12,0,3,7,0,0,23,3,10,3,29,0,0,3,0,0,43,3,9,13,51,23,6,0,0,0,110,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,12,3,21,27,46,41,52,41,16,11,252,0,3,6,11,3,5,0,0,0,33,0,3,3,15,20,26,18,13,3,86,0,0,16,27,46,23,18,3,3,131,6,37,56,196,171,196,175,85,25,948,344,822,791,1891,1334,1395,1237,539,184,8536,6017,13544,10524,21534,14264,14652,11988,4895,1457,98873
SOSR322,4,16,19,53,37,47,10,10,3,197,3,12,15,60,35,36,23,0,0,179,0,0,0,3,0,5,3,3,0,13,0,0,0,7,23,33,33,12,0,112,0,0,0,3,0,3,0,0,0,5,0,7,16,38,36,25,10,8,0,143,0,0,0,0,0,3,7,3,0,13,0,0,0,0,0,3,0,0,0,6,0,0,0,12,0,0,0,0,0,14,3,0,3,18,10,3,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,14,15,32,31,6,0,100,0,0,0,3,0,0,0,0,0,7,0,0,0,10,6,0,3,0,0,20,0,0,4,8,7,7,3,3,0,38,8,4,6,64,55,76,72,37,14,335,131,311,333,825,682,712,700,318,75,4076,2584,5646,4468,9126,6318,7203,6183,2524,626,44685
SOSR331,3,45,42,263,277,206,52,19,3,915,24,123,101,599,285,285,102,15,3,1534,0,0,3,50,23,51,35,14,10,188,4,28,28,147,253,292,370,115,22,1262,4,14,25,52,50,32,18,4,0,196,17,158,239,639,480,281,189,67,10,2077,0,0,0,5,13,42,44,34,4,149,4,12,8,49,20,31,26,4,0,157,3,20,37,175,19,25,22,4,0,299,12,42,34,202,108,42,9,3,0,446,0,0,0,5,3,3,3,4,0,20,0,0,0,5,15,12,7,0,0,40,8,91,83,219,227,268,235,62,22,1216,0,15,12,133,76,58,21,5,0,327,0,8,22,54,85,71,88,25,3,358,0,19,44,158,152,129,47,16,3,578,29,167,201,989,818,885,724,364,78,4261,1635,4062,3775,9527,7343,7162,5358,2179,537,41559,22385,58642,46157,93338,69689,68226,49736,18283,4307,430761
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,0,0,4,4,0,4,11,0,0,19,3,4,16,27,24,30,33,16,4,150
SOSR399,0,3,8,16,15,5,3,3,0,42,4,3,5,24,8,7,5,3,0,53,0,0,0,12,0,3,0,0,0,17,0,0,12,22,10,20,24,7,0,89,0,0,6,10,0,0,0,0,0,15,0,0,0,24,14,5,12,0,0,52,0,0,0,0,0,0,0,3,0,3,0,0,0,7,0,0,0,0,0,12,3,4,26,95,0,0,0,0,0,121,0,0,3,8,4,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,21,24,4,10,5,3,0,67,0,0,8,7,6,3,0,0,0,28,0,0,14,6,0,8,3,0,0,35,0,0,6,3,3,3,3,0,0,16,3,8,73,139,25,43,27,5,0,334,43,65,256,656,266,378,256,75,15,2011,339,489,1539,3776,1663,2373,1916,381,44,12510
SOSR401,0,30,37,259,202,95,31,22,4,677,112,804,1242,4118,1717,1151,494,154,38,9830,7,35,90,998,541,1168,752,488,491,4566,14,255,333,1087,1520,2021,1940,1241,489,8902,47,210,455,790,291,263,197,51,13,2323,32,451,832,1614,1002,537,359,136,49,4999,0,0,17,239,274,368,342,295,125,1663,59,395,325,1716,476,211,147,85,21,3433,27,57,224,746,103,56,36,4,0,1259,34,146,298,1355,275,131,36,14,0,2286,0,7,13,49,53,77,72,77,18,356,5,23,33,132,96,77,45,48,22,487,75,372,372,1050,512,429,340,95,33,3279,78,360,1151,4841,2857,2633,916,381,168,13376,6,96,125,357,385,426,355,276,111,2132,11,88,161,415,210,139,32,12,0,1068,530,2809,4528,12298,4692,3605,3056,2362,1371,35256,2969,5024,6740,16385,8545,8139,6924,4961,2987,62677,68946,132362,152811,316795,154069,139495,107279,62177,31706,1165632
SOSR412,0,0,3,11,11,3,0,0,0,31,5,74,61,195,80,66,33,9,0,531,0,3,8,21,14,12,17,14,10,92,0,0,4,48,168,221,215,156,54,865,0,0,0,9,7,0,0,0,0,19,3,62,61,123,69,16,15,3,0,345,0,0,0,3,6,13,5,12,4,40,0,4,3,21,13,0,3,0,0,53,0,0,0,9,0,3,0,0,0,9,5,70,47,22,11,6,0,0,0,163,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,4,10,15,38,25,19,6,3,4,130,0,0,3,20,11,6,0,0,0,42,0,6,3,9,38,34,20,21,9,138,0,8,18,31,17,16,0,0,0,91,24,73,40,164,96,119,107,106,40,766,207,461,483,1082,721,660,555,412,204,4782,4561,9743,9292,17647,10367,9222,7052,4449,1795,74124
SOSR413,0,0,0,17,21,6,0,0,0,50,7,92,123,300,133,80,33,6,0,788,0,0,0,21,8,10,13,5,8,73,0,12,13,41,74,117,147,82,34,517,3,3,5,17,6,6,10,0,0,54,3,47,59,119,91,46,37,15,5,425,0,0,0,3,3,10,15,14,0,39,0,11,0,46,12,8,9,0,0,91,0,0,47,157,0,3,0,0,0,205,3,9,11,45,20,5,6,0,0,95,0,0,0,0,0,0,4,4,0,5,0,0,0,13,5,12,8,0,0,37,6,26,33,62,41,55,34,15,3,268,5,21,21,104,24,9,3,0,0,197,0,5,4,15,24,34,43,25,6,151,0,3,10,28,24,21,8,3,0,100,5,50,75,297,134,125,162,102,52,1010,315,669,648,1560,970,1035,929,604,329,7059,5997,12986,11988,23608,13597,13606,12793,6959,2992,104523
SOSR414,0,0,0,4,4,0,0,4,0,13,8,36,14,98,19,7,4,3,0,188,0,0,0,6,0,6,4,0,3,23,0,0,5,7,20,32,54,28,10,145,0,0,0,0,0,3,0,0,0,6,0,3,3,12,8,7,8,4,5,45,0,0,0,0,0,0,0,3,0,10,0,0,0,3,0,0,3,0,0,7,0,0,9,16,0,0,0,0,0,24,0,0,3,25,3,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,11,10,13,14,3,0,52,0,3,0,22,10,0,0,0,0,35,0,0,0,3,0,10,16,8,4,45,0,0,3,5,3,0,0,0,0,7,0,10,13,44,22,43,29,26,9,199,49,107,105,327,186,223,273,163,78,1514,1163,2676,2233,4898,2754,3284,3720,2246,992,23967
SOSR415,0,3,0,19,15,11,0,3,0,54,11,90,46,257,76,51,19,5,0,557,0,0,0,15,7,14,12,10,10,58,0,19,10,70,89,146,143,96,34,614,0,0,0,6,4,6,6,0,0,25,0,17,37,97,74,52,23,10,3,316,0,0,0,0,10,13,11,21,5,55,0,17,13,93,10,0,7,0,0,134,0,0,8,43,0,0,0,0,0,61,5,19,17,43,24,5,0,0,0,101,0,0,0,0,0,3,4,0,0,3,0,0,0,3,11,6,3,0,0,18,7,17,18,50,36,45,32,11,3,210,3,11,17,50,32,10,9,0,0,128,0,0,0,20,22,23,37,21,4,135,0,14,4,31,17,15,0,5,0,88,3,64,40,180,107,115,153,115,51,826,280,562,689,1785,1188,1297,1238,829,534,8402,6218,13241,11508,23587,14414,14987,13602,7891,3858,109309
SOSR421,0,0,0,3,8,4,0,0,0,13,3,16,10,67,25,11,6,3,0,138,0,0,0,9,4,3,3,3,3,21,0,0,0,6,11,42,50,16,6,136,0,4,0,4,5,0,0,0,0,11,3,13,18,32,17,10,4,5,0,107,0,0,0,0,0,4,3,0,0,7,0,0,0,4,3,3,0,0,0,10,0,0,13,34,0,0,0,0,0,48,3,3,4,9,5,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,3,3,12,5,5,9,0,0,45,0,0,6,27,13,10,3,0,0,69,0,0,0,8,3,10,6,3,0,33,0,5,0,10,3,0,0,0,0,15,3,11,15,39,29,39,32,16,10,203,123,190,206,508,339,424,381,215,165,2550,1889,3853,3224,6770,4507,5062,4329,2242,1100,32967
SOSR422,0,0,0,4,3,6,0,0,0,8,0,3,5,15,7,10,0,0,0,38,0,0,0,0,3,3,4,0,0,12,0,0,0,6,21,33,30,19,3,108,0,0,0,0,3,4,0,0,0,3,0,3,3,8,9,8,7,3,0,41,0,0,0,0,8,0,11,3,0,17,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,12,0,4,0,6,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,5,8,5,0,0,33,0,0,0,0,3,0,0,0,0,3,0,0,0,3,4,11,5,4,0,28,0,0,0,3,3,4,0,0,0,9,0,0,0,12,21,37,45,23,5,159,45,112,109,305,270,301,305,118,65,1621,1070,2394,2064,4238,2952,3344,2850,1332,465,20698
SOSR431,0,0,0,21,26,12,3,3,0,69,4,52,23,162,56,49,26,0,0,373,0,0,0,26,12,23,25,9,6,98,0,23,17,60,124,203,180,72,12,700,3,6,0,11,10,8,4,0,0,48,3,33,35,88,67,55,26,9,0,317,0,0,0,0,10,14,16,9,0,51,0,0,0,33,9,3,6,0,0,48,0,3,9,35,3,4,0,0,0,59,0,11,18,57,18,8,0,0,0,113,0,0,0,0,0,3,0,0,0,6,0,0,3,8,6,10,0,3,0,39,0,22,31,65,69,67,57,17,3,330,0,10,12,177,117,110,27,11,5,472,0,0,7,20,39,43,42,20,4,176,0,4,12,29,18,24,3,3,0,99,3,32,62,226,204,239,203,89,35,1099,374,970,978,2279,1986,2153,1536,588,157,11025,7135,18551,15132,29051,23752,24519,16965,5909,1555,142568
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3
SOSR499,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,3,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,3,0,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,4,22,0,0,0,0,0,21,0,0,4,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,4,0,0,0,11,0,0,5,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,18,35,3,7,4,0,0,75,12,21,41,115,94,60,29,6,0,374,91,129,439,978,474,403,271,59,22,2863
SOSR501,13,171,164,572,338,145,17,16,3,1438,419,3463,3700,10376,3868,1732,640,138,27,24357,8,94,129,1564,545,1290,673,417,324,5040,107,1200,1477,5099,4265,4209,3355,1957,627,22298,158,1039,2106,4520,2205,2336,1263,557,132,14321,208,3149,5587,11826,6766,3811,1968,819,268,34404,0,0,28,385,314,458,358,269,97,1921,80,676,608,3256,1022,726,536,247,96,7237,43,52,373,2946,193,159,93,11,0,3879,171,841,1069,2852,861,489,156,32,11,6480,5,27,111,791,547,607,507,280,61,2939,12,42,111,553,223,93,57,30,10,1130,211,999,930,2410,1160,1047,671,183,72,7674,118,457,1417,6048,3026,2412,936,393,144,14941,25,277,379,1373,1154,876,795,412,174,5451,27,534,1377,3700,1860,1298,472,145,35,9460,861,4896,7959,27539,9391,6840,4550,2412,1026,65465,6466,10514,13691,38659,15921,13706,10708,7471,4593,121733,122879,234304,244385,562244,247498,203928,145991,79433,33920,1874578
