SOSR_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
SOSR302,95935,66479,71092,71429,69068,58473,48454,25177,10972,517084,48,110,83,61,60,57,70,54,29,571,694,571,900,857,838,1282,1586,738,212,7690,1050,328,751,930,785,1242,2497,2024,465,10082,1970,2626,2809,2019,1892,2025,1729,813,443,16335,285,98,171,187,187,264,356,228,60,1833,109,88,127,123,112,157,141,38,10,915,112,65,91,89,105,238,471,274,39,1489,25,17,42,17,22,20,14,0,0,157,38,22,46,27,46,121,117,75,24,510,0,0,0,0,0,0,0,0,0,4,4284,3816,4935,4265,3979,5353,6922,4205,1259,39015,4333,3930,5011,4323,4038,5409,6987,4259,1291,39583,100271,70406,76099,75751,73107,63879,55437,29437,12267,556669
SOSR303,122502,80213,79473,80871,82922,72714,57208,31156,13331,620381,138,129,116,83,82,85,83,78,26,822,396,441,640,561,762,1379,2064,894,155,7294,697,306,733,785,830,2193,4202,2498,505,12741,3264,5187,4552,3321,3638,4128,3430,1507,576,29595,117,87,144,142,232,494,933,455,58,2671,90,66,113,107,174,268,276,101,19,1211,42,19,56,61,118,391,718,332,48,1785,36,83,91,63,45,38,36,11,0,396,29,36,67,45,87,174,256,128,19,844,0,0,0,0,0,3,0,0,0,3,4664,6222,6395,5086,5879,9067,11914,5922,1384,56538,4807,6351,6508,5174,5964,9158,11997,6001,1408,57361,127309,86565,85984,86041,88879,81867,69202,37151,14739,677740
SOSR311,44679,27282,27101,26023,28669,26945,22710,14077,5591,223075,33,32,34,30,23,19,25,32,7,255,63,43,131,110,148,388,701,281,33,1902,60,38,82,90,135,440,973,421,69,2308,1050,1754,1609,1320,1549,1722,1322,610,240,11181,8,9,13,22,21,84,245,112,5,521,13,10,17,21,28,51,65,8,0,212,3,3,3,7,26,83,189,59,3,373,0,6,3,10,8,8,5,0,0,42,5,3,7,12,7,31,42,21,0,129,0,0,0,0,0,0,0,0,0,0,1209,1872,1859,1598,1924,2801,3551,1507,351,16672,1239,1910,1898,1625,1948,2826,3580,1540,364,16927,45915,29185,28997,27651,30614,29773,26288,15617,5951,239999
SOSR312,11116,6443,6908,6707,6839,6044,4474,2578,1018,52115,17,24,14,6,0,10,6,5,5,83,9,15,30,29,38,42,60,16,5,250,0,10,22,6,21,33,86,24,4,208,267,427,399,277,321,290,228,107,62,2390,0,0,3,3,3,17,24,0,3,55,0,3,4,7,10,4,7,3,0,36,0,0,5,3,12,13,26,6,0,66,4,0,4,3,0,0,4,0,0,15,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,287,452,477,328,403,401,436,160,74,3025,304,475,488,330,409,412,444,164,79,3107,11415,6921,7396,7035,7246,6453,4916,2746,1097,55225
SOSR313,32061,17628,18365,17715,18685,17773,15582,8999,3680,150492,47,44,34,24,26,37,32,29,11,287,63,44,73,67,109,271,450,149,27,1250,22,20,29,33,76,223,517,219,21,1166,759,1231,982,865,1012,1140,904,393,156,7443,9,4,24,7,21,32,137,41,12,287,14,5,10,15,19,37,50,10,0,157,8,10,3,10,17,43,88,30,0,199,12,13,9,7,10,8,7,3,0,62,0,0,3,4,9,18,25,10,5,74,0,0,0,0,0,0,0,0,0,0,884,1324,1138,1002,1262,1771,2171,859,219,10643,937,1373,1173,1024,1294,1815,2202,887,230,10928,32993,19001,19540,18744,19976,19584,17785,9881,3916,161416
SOSR314,33349,17353,19319,19321,19179,17093,13619,7659,3001,149902,51,34,25,25,41,25,26,21,10,248,80,84,175,137,206,439,679,201,30,2022,81,73,124,110,190,445,742,241,33,2039,681,1411,1893,1418,1613,1521,960,341,105,9940,10,15,39,35,33,89,200,52,3,469,8,11,33,26,38,84,64,16,4,286,11,0,16,11,23,93,126,26,10,314,4,14,10,0,16,14,0,0,0,60,3,4,7,8,18,15,43,7,0,111,0,0,0,0,0,0,0,0,0,0,868,1613,2300,1741,2141,2708,2811,880,179,15237,917,1649,2331,1762,2182,2727,2834,900,188,15492,34270,18998,21649,21087,21356,19823,16449,8556,3194,165391
SOSR315,50823,26334,28057,28825,30454,29513,24783,12059,4471,235320,156,105,97,89,65,58,41,39,14,664,288,154,330,382,426,814,1197,332,47,3961,404,161,426,486,485,1148,1789,720,92,5707,1164,1752,2521,2338,2641,2643,1831,589,182,15664,65,40,102,93,141,257,359,99,5,1173,37,31,69,63,90,123,90,18,6,518,16,7,40,41,50,156,170,37,4,522,15,7,15,20,19,20,8,0,0,108,21,7,29,21,49,69,79,18,7,295,0,0,0,0,0,0,0,0,0,6,2010,2161,3532,3441,3897,5224,5524,1817,344,27955,2167,2269,3631,3531,3960,5284,5566,1860,354,28622,52990,28597,31687,32354,34423,34794,30348,13918,4824,263939
SOSR321,18881,9684,9034,10940,13297,13460,11064,4624,1368,92350,74,55,32,37,35,36,19,22,3,306,51,33,55,57,107,362,733,218,28,1645,41,21,43,41,73,410,891,281,37,1835,569,685,776,629,871,1089,1065,292,59,6037,5,3,12,13,22,101,235,66,16,475,12,8,10,8,17,51,77,19,3,206,0,3,4,4,19,58,77,16,0,191,24,7,5,5,13,6,16,3,0,82,3,0,0,3,3,21,44,0,0,75,0,0,0,0,0,0,0,0,0,3,704,759,917,765,1120,2100,3137,903,150,10547,776,818,943,801,1155,2130,3160,922,149,10856,19658,10496,9983,11746,14459,15594,14223,5542,1519,103214
SOSR322,7877,4049,3952,4521,5808,6593,5664,2368,579,41409,32,22,23,17,23,20,18,13,8,170,43,39,93,62,85,264,463,124,23,1189,45,17,33,45,78,218,416,150,19,1018,314,374,518,402,505,742,671,173,31,3737,6,5,6,3,12,79,110,16,3,247,9,11,15,6,27,25,44,9,0,142,4,3,3,10,18,39,42,18,0,137,0,4,0,0,4,3,0,0,0,23,0,0,9,4,3,22,32,11,0,79,0,0,0,0,0,0,0,0,0,0,428,449,682,534,726,1392,1791,502,76,6570,457,474,701,549,749,1406,1807,514,80,6736,8335,4523,4660,5072,6555,7999,7466,2884,660,48147
SOSR331,78743,42454,36822,50236,65244,63145,46128,17321,4038,404124,144,115,123,96,100,127,107,53,26,888,208,267,555,410,554,1351,1970,555,63,5942,153,112,296,232,350,1114,1922,560,54,4796,1938,3524,5176,4481,4935,5259,3657,978,224,30175,31,52,73,74,142,354,556,127,6,1409,38,33,113,76,101,237,256,63,3,914,21,14,28,23,62,191,272,58,10,686,43,49,54,30,26,40,24,3,0,267,30,16,61,38,27,60,80,32,8,350,0,0,0,0,0,0,0,0,0,0,2465,4067,6350,5374,6199,8604,8740,2380,356,44529,2610,4179,6476,5472,6293,8733,8839,2429,386,45419,81354,46628,43298,55709,71534,71875,54964,19752,4425,449544
