SOSR_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
SOSR379,5,16,11,14,19,22,26,12,4,135,0,0,0,0,0,0,0,0,0,0,14,12,8,13,33,44,83,47,4,257,8,7,24,16,36,40,18,9,3,154,76,108,143,161,204,194,210,57,10,1170,6,8,0,6,12,18,13,6,0,68,7,5,4,10,7,24,27,12,0,92,8,4,8,7,10,9,0,3,0,55,3,9,17,9,0,3,0,0,0,40,0,0,0,6,0,0,10,0,0,11,0,0,0,0,0,0,0,0,0,0,120,151,209,217,298,333,355,140,18,1842,120,151,209,217,298,333,355,140,18,1842,128,164,213,237,318,356,379,154,20,1974
SOSR399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR401,196744,145931,156939,144949,147561,132441,100357,58879,30103,1113909,295,297,291,226,283,289,281,259,159,2390,90,181,386,379,420,426,299,97,28,2309,112,265,474,435,517,394,259,82,25,2575,82,140,246,227,312,310,159,40,11,1527,3612,5381,5526,3540,3403,3090,2612,1718,1219,30101,42,67,172,176,218,174,104,16,4,985,19,20,21,31,43,52,54,13,4,261,49,101,96,93,99,98,51,11,3,611,17,37,41,48,52,42,53,7,3,304,0,0,3,0,0,0,0,0,0,5,4018,6191,6974,4931,5074,4593,3593,1986,1298,38670,4311,6491,7266,5158,5356,4880,3876,2246,1463,41059,201058,152428,164204,150106,152921,137324,104229,61127,31567,1154966
SOSR412,13820,8672,8336,8208,9769,8559,6418,4144,1697,69628,26,24,23,17,16,26,27,16,10,172,5,6,13,13,14,25,12,4,3,103,7,39,29,30,46,59,53,7,3,271,7,3,7,5,19,21,20,0,0,86,331,490,492,285,334,334,195,112,82,2655,4,5,10,8,11,17,13,0,0,63,0,0,0,0,3,6,15,0,0,31,0,3,3,0,4,3,3,0,0,11,0,3,4,3,0,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,361,545,561,351,424,463,306,131,92,3232,382,575,583,373,436,488,336,140,98,3399,14204,9248,8916,8573,10203,9051,6754,4289,1796,73034
SOSR413,18337,11217,10728,11372,12706,12576,11501,6476,2824,97741,56,51,26,23,44,43,43,27,16,329,12,9,13,35,33,52,71,14,0,236,12,15,32,28,55,65,80,34,0,323,15,22,14,23,33,37,38,14,0,193,439,638,732,504,556,522,366,166,88,4011,11,12,28,22,28,45,54,10,3,214,0,3,3,3,4,6,13,3,0,30,0,7,0,3,7,14,6,0,0,42,3,0,4,6,0,0,4,0,0,15,0,0,0,0,0,0,0,0,0,0,493,698,831,614,718,741,627,241,100,5062,541,747,864,638,765,783,674,274,113,5391,18882,11965,11594,12014,13468,13358,12177,6749,2934,103132
SOSR414,3725,2082,2278,2332,2582,3025,3290,2078,955,22336,6,0,8,5,5,6,4,5,4,56,0,9,0,4,7,13,7,0,0,41,5,9,9,9,3,30,25,9,3,96,0,4,3,3,4,6,3,0,0,27,65,106,98,55,86,130,86,43,20,684,4,0,3,0,3,10,6,0,0,27,0,0,0,0,0,9,3,0,0,16,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,123,112,73,112,190,122,57,22,892,79,127,125,83,118,199,130,61,28,946,3805,2206,2406,2409,2705,3217,3423,2140,983,23288
SOSR415,18949,10810,10694,11559,13590,13693,12143,7363,3701,102505,35,35,20,26,30,46,47,25,15,278,12,13,20,25,39,101,117,15,0,345,30,40,80,54,87,157,193,25,3,673,9,16,22,22,57,81,75,19,0,302,333,667,602,541,638,773,614,232,125,4524,18,9,21,15,29,69,49,19,7,229,6,0,3,6,9,17,29,0,3,76,8,7,6,5,4,14,10,0,0,60,0,0,0,3,3,4,14,0,0,29,0,0,0,0,0,0,0,0,0,0,409,753,755,669,861,1225,1097,313,141,6228,446,787,776,696,890,1272,1149,336,155,6512,19401,11596,11471,12258,14480,14967,13287,7699,3859,109010
SOSR421,5614,2962,3035,3354,4238,4607,3817,2066,1024,30717,11,14,10,8,12,13,15,12,13,93,4,6,3,8,13,49,57,8,0,151,8,8,19,10,33,65,55,9,3,206,10,3,6,4,7,19,30,6,0,81,148,215,250,137,220,262,207,113,58,1602,0,0,5,8,9,16,33,0,0,76,0,0,8,0,0,4,10,0,0,28,3,3,0,3,0,3,3,0,0,18,0,0,0,0,0,4,3,0,0,11,0,0,0,0,0,0,0,0,0,0,177,234,285,176,277,418,405,136,65,2165,182,250,289,181,286,429,424,142,75,2260,5797,3212,3323,3535,4519,5038,4245,2213,1098,32973
SOSR422,3325,1893,1888,2034,2725,2996,2526,1217,425,19035,7,6,3,5,15,6,14,6,3,65,7,4,7,8,13,25,21,3,0,89,0,7,13,4,30,31,26,8,0,132,4,3,7,10,10,25,24,3,0,89,86,142,179,195,275,353,266,64,10,1564,0,0,3,5,7,24,6,0,0,45,0,0,0,0,0,12,10,5,0,27,0,4,5,9,12,7,0,0,0,31,0,0,3,0,0,7,0,0,0,11,0,0,0,0,0,0,0,0,0,0,98,165,217,233,345,476,353,90,14,1990,105,168,223,233,359,480,364,91,20,2050,3430,2061,2115,2273,3089,3474,2890,1307,448,21086
SOSR431,24928,14027,11355,15894,22344,22553,15416,5496,1436,133453,80,63,47,41,60,63,52,26,12,443,30,41,55,77,72,123,135,14,8,562,37,52,102,64,100,207,180,25,6,774,24,25,71,85,84,103,77,23,0,490,475,847,1026,852,970,1115,778,274,103,6437,10,11,47,41,58,85,57,15,3,319,3,3,15,12,21,19,23,3,0,99,10,7,16,7,13,18,5,0,0,82,4,5,5,7,7,12,21,0,0,56,0,0,0,0,0,0,0,0,0,0,596,996,1344,1136,1317,1684,1284,351,122,8829,676,1051,1390,1179,1381,1741,1344,379,126,9268,25606,15079,12745,17073,23725,24296,16758,5867,1564,142721
SOSR479,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,13,13,14,3,62,0,5,7,0,0,3,10,10,0,32,0,0,0,0,0,3,10,4,0,19,0,11,20,3,7,7,3,4,0,56,0,0,0,0,4,3,3,0,0,7,0,0,0,0,0,0,0,3,0,7,5,4,3,3,0,6,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,37,9,23,33,44,36,3,211,8,21,37,9,23,33,44,36,3,211,8,21,33,15,22,33,44,36,3,219
SOSR499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,350660,233674,279635,249773,234480,192211,137152,75403,32212,1785210,199,247,264,211,183,220,262,216,91,1889,135,187,490,547,574,619,405,134,34,3116,103,174,516,476,534,596,436,168,22,3034,77,151,310,293,446,480,305,71,9,2149,32,66,159,165,221,231,172,61,21,1122,5536,8182,8926,5609,5012,4643,3684,2449,1412,45445,16,24,23,40,79,122,124,43,3,475,20,32,61,50,65,62,31,8,0,323,7,23,36,36,52,33,36,7,9,231,11,3,11,8,16,27,8,3,0,93,5943,8842,10534,7211,7000,6806,5195,2930,1511,55983,6141,9096,10799,7422,7188,7031,5461,3149,1598,57877,356806,242770,290428,257189,241669,199243,142616,78549,33814,1843084
SOSR511,14544,7985,8551,8847,8979,7704,5555,2910,1259,66338,8,3,10,9,8,8,9,8,7,66,0,0,9,13,17,14,16,0,0,67,3,3,13,10,20,9,13,3,3,81,3,0,11,6,8,10,15,7,0,57,3,3,0,8,12,5,10,0,0,33,296,380,468,257,278,274,157,105,33,2243,0,0,0,0,0,3,3,0,0,11,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,302,386,502,289,328,312,219,113,40,2496,310,392,513,299,335,324,226,122,48,2562,14853,8375,9068,9144,9309,8029,5788,3035,1304,68897
SOSR512,23325,13104,13831,14075,14571,12577,9082,5375,2297,108250,27,32,17,14,14,24,32,21,10,191,23,25,24,38,49,129,115,12,3,409,14,21,34,35,77,123,164,10,0,473,10,24,27,24,38,80,89,15,4,302,8,12,20,12,30,59,82,17,0,228,532,757,937,697,806,855,549,226,127,5488,0,3,6,3,6,37,38,3,0,95,0,3,9,3,5,0,3,0,0,24,0,0,0,3,0,7,7,0,0,20,0,0,0,0,0,0,0,0,0,0,586,834,1054,809,1014,1283,1044,285,133,7049,618,867,1066,826,1032,1306,1083,304,144,7240,23946,13970,14904,14905,15602,13885,10166,5675,2443,115487
SOSR513,12382,5553,9591,8184,6780,4681,2078,852,294,50390,23,5,18,25,17,16,6,4,0,115,29,38,101,102,193,231,293,56,3,1048,114,61,170,188,261,437,529,111,4,1881,34,23,126,155,218,228,188,27,4,1012,9,10,47,44,100,171,208,46,4,631,364,503,1277,1086,1270,1419,1295,383,47,7645,3,0,17,20,26,50,76,10,0,204,4,4,8,11,16,20,9,0,0,70,4,0,4,9,13,31,19,0,0,81,0,0,0,0,0,0,0,0,0,0,564,650,1757,1621,2093,2585,2617,628,62,12574,586,656,1772,1647,2105,2594,2623,630,62,12683,12967,6207,11365,9837,8883,7283,4700,1481,361,63072
SOSR514,7640,3397,4402,4648,4085,3624,2816,1333,551,32497,13,3,0,3,0,3,9,6,9,46,3,3,7,5,6,24,14,6,0,69,0,13,7,6,9,18,23,3,0,75,0,3,13,9,13,25,19,0,0,77,0,0,0,0,7,5,13,0,0,20,136,219,258,180,142,176,138,61,22,1330,0,0,0,0,0,8,0,0,0,13,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,144,233,289,198,176,258,208,74,24,1597,152,238,286,196,178,264,215,77,33,1643,7787,3636,4692,4849,4263,3883,3032,1411,581,34144
SOSR515,17765,8643,10336,10434,10518,9548,7068,3906,1400,79619,33,25,43,25,29,39,27,12,7,236,45,9,82,77,110,314,329,60,3,1023,57,19,70,90,90,327,386,54,8,1109,11,5,78,71,100,240,254,33,6,804,14,6,34,35,60,130,207,31,0,530,567,769,1479,1171,1326,1531,1497,634,130,9113,11,3,15,15,20,77,38,3,0,179,7,8,17,7,8,14,4,0,0,74,0,0,3,4,3,21,16,3,0,55,0,0,0,0,0,0,3,0,0,3,716,833,1785,1475,1721,2653,2729,830,143,12884,749,862,1823,1499,1755,2691,2751,842,151,13118,18510,9508,12161,11936,12266,12239,9819,4749,1552,92743
SOSR521,8581,4201,4825,4953,5806,5659,4151,2057,690,40918,28,34,20,6,22,15,20,0,6,143,12,16,21,27,20,79,107,21,0,303,11,12,28,22,28,79,137,33,0,352,7,11,32,24,30,72,74,13,0,256,0,3,13,11,18,34,66,11,0,152,247,400,626,468,566,662,585,211,62,3830,0,3,3,0,4,20,15,0,0,50,0,0,8,10,3,3,3,0,0,30,0,0,3,0,0,0,8,0,0,15,0,0,0,0,0,0,0,0,0,0,281,439,727,563,677,953,996,289,62,4979,311,469,748,566,691,964,1009,290,71,5130,8890,4672,5573,5516,6496,6623,5160,2354,756,46041
SOSR522,4152,2025,2539,2224,2587,2647,1886,913,243,19217,23,18,15,10,16,11,13,6,4,114,8,16,25,20,20,64,80,32,0,266,41,12,32,44,37,100,103,8,0,393,5,13,24,21,32,55,61,3,0,218,8,4,10,17,21,54,49,4,6,181,243,267,480,430,456,583,467,152,20,3094,5,0,5,7,0,15,7,0,0,44,0,8,6,4,3,6,0,0,0,30,0,0,0,0,0,3,9,0,0,17,0,0,0,0,0,0,0,0,0,0,311,320,594,546,575,882,786,202,28,4241,334,338,610,555,587,892,799,210,29,4354,4490,2364,3148,2778,3176,3539,2685,1120,272,23566
SOSR531,27095,15440,18718,21626,26321,23239,14923,5264,1208,153835,49,100,128,75,61,51,46,13,4,535,70,138,496,405,425,509,504,72,5,2619,164,74,364,377,411,663,732,115,7,2899,50,138,684,696,778,637,423,49,0,3462,17,30,147,183,231,276,251,41,5,1176,873,2344,7408,6084,6097,4640,2419,608,116,30600,16,7,63,67,103,90,99,7,0,454,7,9,35,43,35,29,20,10,0,195,4,0,8,18,13,35,40,10,0,130,0,0,0,0,0,0,0,0,0,0,1207,2741,9202,7865,8089,6880,4484,914,143,41530,1257,2846,9333,7941,8156,6934,4527,924,143,42070,28353,18288,28046,29564,34471,30171,19453,6192,1355,195899
SOSR579,0,18,123,119,96,47,8,3,3,418,0,0,0,4,0,0,0,0,0,7,0,9,55,86,110,57,40,9,4,370,5,13,69,62,50,52,29,22,0,308,14,24,70,116,99,113,29,10,0,473,0,0,19,22,15,19,15,5,0,97,40,105,526,458,427,240,57,0,0,1864,0,3,3,17,24,18,3,0,0,70,0,15,10,12,5,11,5,0,0,53,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,60,173,755,774,737,512,176,48,7,3245,60,173,755,781,734,512,176,48,7,3245,60,193,876,903,837,560,185,49,5,3668
SOSR599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR603,30456,21407,22362,21027,21896,21081,15917,9269,4414,167818,38,62,44,32,49,42,57,46,28,406,49,37,125,114,110,129,90,24,5,681,42,92,204,165,201,125,76,26,3,931,38,55,102,74,129,149,55,13,3,611,10,13,34,33,27,31,41,0,0,184,5,5,27,22,43,22,31,3,0,157,688,1139,971,632,616,632,436,233,153,5488,0,5,4,0,3,3,3,0,0,27,0,15,16,19,20,15,11,0,0,99,0,0,0,0,0,0,0,0,0,0,828,1359,1479,1054,1152,1104,742,300,162,8177,872,1419,1524,1087,1199,1144,796,350,189,8582,31320,22826,23886,22107,23098,22230,16709,9621,4602,176398
SOSR611,12994,10114,8827,8558,9361,8447,6712,3934,1923,70868,21,22,18,16,14,26,21,14,19,175,5,20,33,32,53,45,14,5,0,198,12,44,74,56,70,75,33,4,0,373,37,46,37,25,46,40,18,5,0,258,7,6,9,6,17,14,11,9,0,77,3,11,22,12,19,19,12,5,0,108,266,646,378,250,310,301,218,113,88,2574,0,4,0,0,0,6,0,0,0,12,0,3,0,3,7,7,0,0,0,20,0,0,0,0,0,0,0,0,0,0,333,781,562,382,526,502,303,140,96,3617,351,804,576,398,543,527,321,157,107,3791,13341,10916,9409,8956,9897,8979,7033,4086,2031,74655
SOSR612,4029,2532,2392,2412,2861,2744,2450,1452,646,21529,0,3,8,7,4,14,9,4,6,57,0,6,13,3,8,8,4,0,0,46,7,6,22,10,22,22,5,0,0,91,4,6,11,7,3,6,5,3,0,48,0,3,0,3,0,0,3,0,0,11,3,4,0,4,3,0,0,0,0,19,91,118,125,63,79,85,44,18,9,633,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,105,142,165,97,120,120,58,24,9,852,106,152,177,98,122,133,67,31,16,907,4139,2685,2571,2516,2984,2882,2523,1484,656,22439
SOSR613,5356,3657,3123,3235,3964,3859,3228,2105,832,29357,18,10,9,6,13,9,10,9,5,81,4,10,3,13,9,7,3,3,0,51,4,15,18,11,24,11,18,3,0,105,3,5,11,4,9,5,3,0,0,42,0,0,0,0,0,3,0,0,0,4,0,3,0,0,6,11,0,0,0,20,116,228,171,130,139,130,78,49,22,1060,0,0,3,0,3,0,0,0,0,10,0,0,3,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,135,269,205,159,190,168,101,59,22,1303,151,283,218,163,206,173,104,64,29,1383,5504,3941,3336,3399,4166,4026,3333,2166,866,30743
SOSR614,1887,1081,1135,1056,1362,1431,1284,843,279,10347,6,8,3,4,8,9,6,8,8,53,0,0,0,0,9,6,0,0,0,18,0,3,6,0,10,3,4,0,0,28,0,0,0,0,5,4,4,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,50,72,58,27,43,22,24,12,5,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,74,64,35,56,36,31,14,5,377,59,84,66,38,59,47,44,26,13,432,1944,1164,1203,1089,1423,1478,1322,864,288,10778
SOSR615,10685,5898,5917,6214,7477,7948,6954,3908,1526,56540,27,23,21,15,16,26,23,27,6,188,9,4,10,9,12,15,21,7,0,94,8,7,24,10,19,34,20,8,0,144,22,15,23,12,24,39,20,4,4,170,0,3,0,3,5,13,3,0,0,30,0,4,12,3,11,16,4,3,0,60,209,329,229,168,195,193,155,114,60,1646,0,0,3,3,0,0,0,0,0,4,0,0,4,0,0,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,256,364,302,213,276,317,229,137,67,2163,282,389,327,228,291,349,251,164,73,2345,10971,6288,6240,6441,7769,8296,7209,4075,1599,58888
SOSR621,3256,1665,1742,2061,2425,2832,2303,1125,337,17748,10,11,7,5,8,5,3,3,5,61,9,0,13,3,15,12,14,7,0,71,9,5,13,9,14,12,21,0,0,84,13,8,22,13,9,13,7,0,0,82,3,0,5,3,3,11,3,0,0,33,3,0,11,3,7,7,4,0,0,30,69,109,124,79,89,120,58,32,16,699,0,0,0,0,0,0,4,0,0,4,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,102,132,184,112,133,176,112,39,15,1006,113,143,193,123,141,185,113,44,23,1069,3370,1810,1933,2181,2564,3015,2414,1170,356,18817
SOSR622,1796,1028,898,1179,1572,1898,1611,755,269,10999,9,6,0,6,3,9,3,3,3,47,4,4,4,6,3,9,14,0,0,39,8,7,4,0,3,3,8,3,0,38,5,0,3,3,5,10,9,3,0,38,0,0,3,0,5,3,6,0,0,17,4,0,0,3,3,7,0,0,0,23,38,66,53,30,65,80,44,7,13,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,53,70,70,47,90,121,83,12,13,555,67,75,70,55,95,126,91,18,13,602,1855,1102,965,1228,1668,2026,1699,777,285,11600
SOSR631,17086,9203,7782,11016,15167,15988,10883,3899,869,91884,23,35,28,16,37,66,39,25,5,286,11,15,45,46,71,75,55,19,3,328,38,32,68,45,34,73,62,7,3,364,20,33,57,43,70,66,54,8,0,358,3,7,4,7,9,18,13,0,0,60,6,12,23,3,12,26,17,8,0,99,342,509,453,304,334,412,291,94,42,2772,0,0,5,0,0,0,3,0,0,10,0,0,9,0,6,6,3,0,0,31,0,0,0,0,0,0,0,0,0,0,421,602,663,446,537,671,493,128,52,4021,445,644,696,469,578,736,533,152,58,4304,17530,9844,8477,11481,15741,16726,11418,4050,922,96190
SOSR679,0,10,23,7,12,9,7,0,0,65,0,0,0,0,0,0,0,0,0,3,3,4,22,3,12,19,14,4,0,77,5,13,24,30,32,36,20,0,0,158,0,0,10,0,8,4,3,0,0,28,0,3,3,3,5,3,0,0,0,18,0,0,3,3,3,3,0,0,0,11,24,17,31,53,56,68,52,6,0,314,0,0,3,0,0,0,4,0,0,8,0,0,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,38,42,106,99,109,131,90,15,0,624,38,42,106,96,112,131,90,15,0,626,38,45,130,107,118,144,97,15,0,691
SOSR699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR703,23021,13943,23117,17974,14751,10842,5754,2074,553,112017,33,31,46,27,23,20,13,3,0,197,60,127,398,307,369,525,527,170,25,2517,138,94,273,265,353,659,633,230,40,2679,80,138,509,461,545,501,338,93,15,2680,65,71,201,186,212,301,357,126,24,1543,50,93,296,317,378,402,327,125,8,1998,11,9,19,21,38,97,67,15,6,283,428,508,816,650,631,453,263,58,17,3825,5,27,51,61,63,62,25,14,0,297,0,0,0,0,0,0,0,3,0,3,828,1051,2570,2263,2587,3002,2535,838,144,15817,860,1081,2614,2289,2607,3021,2552,843,144,16017,23885,15029,25729,20258,17357,13862,8303,2916,696,128031
SOSR712,4844,2441,3828,3233,3288,2601,1176,450,152,22006,7,10,11,13,4,6,4,0,0,47,22,16,44,48,94,121,167,36,8,550,92,28,63,52,81,170,152,50,3,700,19,29,44,30,66,101,139,57,0,487,38,46,72,47,69,105,118,22,0,521,9,5,23,16,19,52,47,4,0,170,3,4,5,6,6,23,25,7,0,84,243,200,238,231,211,182,75,18,3,1395,0,10,14,8,9,10,22,6,0,75,0,0,0,0,0,0,0,0,0,0,426,331,512,430,560,770,743,201,17,3991,428,334,521,440,557,772,746,201,17,4034,5275,2778,4348,3676,3850,3375,1920,653,168,26039
