SOSR_CODE_2016,POL_Greek_SEO,POL_Greek_SOLSE_VWorW,POL_Greek_SOLSE_NWorNAA,POL_Greek_SOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_SOLSE_VWorW,POL_IAL_Bengali_SOLSE_NWorNAA,POL_IAL_Bengali_SOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_SOLSE_VWorW,POL_IAL_Hindi_SOLSE_NWorNAA,POL_IAL_Hindi_SOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_SOLSE_VWorW,POL_IAL_Punjabi_SOLSE_NWorNAA,POL_IAL_Punjabi_SOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhalese_SEO,POL_IAL_Sinhalese_SOLSE_VWorW,POL_IAL_Sinhale_SOLSE_NWorNAA,POL_IAL_Sinhalese_SOLSE_Tot,POL_IAL_Sinhalese_NS,POL_IAL_Sinhalese_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_SOLSE_VWorW,POL_IAL_Urdu_SOLSE_NWorNAA,POL_IAL_Urdu_SOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_SOLSE_VWorW,POL_IAL_Oth_SOLSE_NWorNAA,POL_IAL_Oth_SOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_SOLSE_VWorW,POL_IAL_Tot_SOLSE_NWorNAA,POL_IAL_Tot_SOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_SOLSE_VWorW,POL_Italian_SOLSE_NWorNAA,POL_Italian_SOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japanese_SEO,POL_Japanese_SOLSE_VWorW,POL_Japanese_SOLSE_NWorNAA,POL_Japanese_SOLSE_Tot,POL_Japanese_NS,POL_Japanese_Tot,POL_Korean_SEO,POL_Korean_SOLSE_VWorW,POL_Korean_SOLSE_NWorNAA,POL_Korean_SOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedonian_SEO,POL_Macedonian_SOLSE_VWorW,POL_Macedonian_SOLSE_NWorNAA,POL_Macedonian_SOLSE_Tot,POL_Macedonian_NS,POL_Macedonian_Tot,POL_Maltese_SEO,POL_Maltese_SOLSE_VWorW,POL_Maltese_SOLSE_NWorNAA,POL_Maltese_SOLSE_Tot,POL_Maltese_NS,POL_Maltese_Tot,POL_Persian_ED_SEO,POL_Persian_ED_SOLSE_VWorW,POL_Persian_ED_SOLSE_NWorNAA,POL_Persian_ED_SOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_SOLSE_VWorW,POL_Polish_SOLSE_NWorNAA,POL_Polish_SOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Russian_SEO,POL_Russian_SOLSE_VWorW,POL_Russian_SOLSE_NWorNAA,POL_Russian_SOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_SOLSE_VWorW,POL_Samoan_SOLSE_NWorNAA,POL_Samoan_SOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_SOLSE_VWorW,POL_Serbian_SOLSE_NWorNAA,POL_Serbian_SOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipino_SEO,POL_SAL_Filipino_SOLSE_VWorW,POL_SAL_Filipin_SOLSE_NWorNAA,POL_SAL_Filipino_SOLSE_Tot,POL_SAL_Filipino_NS,POL_SAL_Filipino_Tot,POL_SAL_Indonesian_SEO,POL_SAL_Indonesia_SOLSE_VWorW,POL_SAL_Indones_SOLSE_NWorNAA,POL_SAL_Indonesian_SOLSE_Tot,POL_SAL_Indonesian_NS,POL_SAL_Indonesian_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_SOLSE_VWorW,POL_SAL_Tagalog_SOLSE_NWorNAA,POL_SAL_Tagalog_SOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_SOLSE_VWorW,POL_SAL_Oth_SOLSE_NWorNAA,POL_SAL_Oth_SOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_SOLSE_VWorW,POL_SAL_Tot_SOLSE_NWorNAA,POL_SAL_Tot_SOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_SOLSE_VWorW,POL_Spanish_SOLSE_NWorNAA,POL_Spanish_SOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_SOLSE_VWorW,POL_Tamil_SOLSE_NWorNAA,POL_Tamil_SOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_SOLSE_VWorW,POL_Thai_SOLSE_NWorNAA,POL_Thai_SOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_SOLSE_VWorW,POL_Turkish_SOLSE_NWorNAA,POL_Turkish_SOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_SOLSE_VWorW,POL_Vietnamese_SOLSE_NWorNAA,POL_Vietnamese_SOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_SOLSE_VWorW,POL_Oth_SOLSE_NWorNAA,POL_Oth_SOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_SOLSE_VWorW,POL_Tot_SOLSE_NWorNAA,POL_Tot_SOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LSatH_NS_SEO,P_LSatH_NS_SOLSE_VWorW,P_LSatH_NS_SOLSE_NWorNAA,P_LSatH_NS_SOLSE_Tot,P_LSatH_NS_NS,P_LSatH_NS_Tot,P_Tot_SEO,P_Tot_SOLSE_VWorW,P_Tot_SOLSE_NWorNAA,P_Tot_SOLSE_Tot,P_Tot_NS,P_Tot_Tot
SOSR101,..,62288,11799,74086,706,74791,..,27474,2410,29884,193,30083,..,60102,2839,62944,528,63470,..,25185,2688,27877,216,28095,..,9480,360,9843,46,9887,..,25234,2280,27520,311,27825,..,55010,4252,59260,447,59707,..,202496,14838,217331,1747,219071,..,51013,7708,58719,660,59381,..,12279,2293,14572,111,14680,..,37483,18969,56456,498,56957,..,15572,3001,18569,222,18792,..,8200,715,8917,121,9042,..,16573,3754,20331,198,20529,..,10173,1243,11416,96,11512,..,14058,2606,16667,97,16761,..,13641,1287,14932,322,15248,..,14687,3154,17840,174,18011,..,20223,575,20801,153,20950,..,25236,2859,28093,204,28300,..,38245,1155,39406,375,39780,..,4389,278,4663,36,4699,..,88091,4869,92967,763,93730,..,47463,6611,54070,569,54641,..,25509,2556,28062,195,28260,..,15072,5665,20733,185,20917,..,15759,3650,19415,192,19604,..,65787,32293,98079,559,98637,..,164568,38928,203498,4125,207621,..,1369809,306416,1676222,15896,1692120,..,10505,2656,13161,237424,250585,2378833,1380311,309071,1689384,253320,4321535
SOSR102,..,3311,528,3835,63,3898,..,661,38,699,0,703,..,1508,73,1587,15,1602,..,1006,114,1121,14,1138,..,551,24,575,3,579,..,865,67,934,6,937,..,1106,71,1174,7,1185,..,5693,397,6091,49,6142,..,6133,939,7075,139,7212,..,1028,125,1159,5,1160,..,1107,471,1582,25,1605,..,6975,1703,8675,105,8780,..,899,53,952,16,968,..,773,110,882,10,885,..,1253,128,1382,17,1397,..,870,112,984,7,986,..,552,27,578,3,583,..,1981,448,2434,22,2460,..,1151,38,1191,18,1207,..,820,74,898,9,904,..,2037,66,2101,31,2135,..,526,36,557,4,566,..,4528,218,4747,64,4815,..,4239,559,4802,48,4851,..,650,36,686,8,695,..,1404,335,1737,14,1758,..,1194,251,1440,9,1451,..,1748,615,2365,9,2373,..,11656,2496,14151,334,14482,..,75728,13496,89223,1186,90409,..,2555,300,2856,48915,51777,845859,78280,13799,92082,50101,988046
SOSR111,..,188,20,202,3,204,..,128,18,144,0,144,..,218,16,233,0,232,..,343,49,388,7,391,..,75,9,80,0,80,..,91,13,105,0,105,..,416,271,686,4,696,..,1263,369,1634,12,1648,..,180,23,198,3,202,..,40,6,43,0,43,..,40,24,64,3,66,..,30,0,30,0,30,..,9,0,10,0,10,..,26,6,35,0,35,..,106,15,124,0,126,..,54,12,64,0,64,..,43,4,51,0,51,..,52,4,59,0,62,..,165,0,167,0,167,..,41,3,45,0,45,..,266,7,275,7,281,..,43,6,47,0,47,..,519,17,529,7,542,..,184,14,195,0,195,..,72,3,73,0,74,..,97,26,125,3,127,..,8,3,10,0,12,..,82,37,116,5,121,..,1086,236,1323,33,1356,..,5379,1130,6503,90,6592,..,277,26,303,6965,7262,112131,5649,1150,6801,7052,125992
SOSR112,..,607,41,654,12,662,..,361,33,398,4,402,..,680,42,715,4,724,..,696,115,814,11,828,..,314,23,335,4,337,..,275,40,311,5,315,..,1123,86,1208,9,1211,..,3449,330,3784,36,3817,..,1044,120,1158,36,1198,..,323,62,388,8,391,..,344,246,582,10,596,..,67,6,72,0,74,..,104,0,107,0,109,..,243,51,291,3,297,..,253,17,267,3,275,..,281,25,309,0,310,..,92,5,103,0,103,..,125,16,145,8,152,..,643,18,662,7,675,..,254,9,268,0,264,..,986,35,1013,11,1027,..,200,10,204,0,206,..,2083,66,2148,18,2170,..,887,72,959,16,974,..,259,35,297,3,295,..,464,119,579,4,582,..,88,11,94,0,94,..,482,133,610,5,617,..,4965,1351,6312,141,6451,..,22273,3861,26137,401,26535,..,1254,105,1358,31089,32454,397101,23535,3968,27495,31491,456094
SOSR113,..,296,38,330,6,332,..,106,11,119,0,119,..,210,18,234,0,231,..,723,193,920,8,927,..,87,10,94,0,95,..,140,17,158,3,156,..,295,72,362,3,369,..,1561,322,1890,21,1908,..,1716,308,2018,34,2054,..,133,21,156,4,158,..,106,60,163,0,163,..,66,6,69,0,69,..,102,3,108,0,110,..,50,13,60,0,60,..,112,13,120,0,125,..,100,11,108,0,108,..,283,36,314,12,325,..,76,17,91,0,94,..,354,8,361,6,367,..,81,4,86,0,88,..,510,15,526,5,535,..,120,13,133,3,134,..,1057,49,1110,15,1127,..,440,56,493,17,506,..,70,4,71,0,72,..,282,57,342,10,343,..,107,62,167,0,164,..,161,65,223,6,230,..,2121,431,2552,74,2628,..,11516,2078,13592,260,13846,..,731,47,781,19895,20672,246405,12245,2124,14371,20150,280928
SOSR114,..,231,9,240,6,247,..,67,0,68,0,69,..,141,5,146,0,151,..,238,44,290,0,287,..,64,4,66,0,66,..,62,6,66,0,66,..,161,13,173,4,175,..,737,71,809,6,815,..,654,75,727,11,736,..,179,28,209,0,209,..,67,32,97,0,95,..,43,4,45,0,45,..,80,0,80,3,79,..,36,11,41,0,41,..,104,4,113,0,113,..,59,3,67,0,62,..,42,3,44,0,44,..,54,8,65,3,74,..,244,8,257,4,257,..,99,7,109,3,109,..,409,12,414,11,423,..,56,0,56,3,62,..,802,30,836,23,855,..,329,34,363,3,365,..,69,9,76,0,76,..,214,49,259,6,264,..,37,3,43,0,38,..,153,41,189,4,193,..,1279,215,1496,50,1539,..,7603,1059,8661,163,8824,..,670,46,713,17718,18434,210348,8270,1100,9372,17880,237603
SOSR115,..,397,53,444,10,459,..,64,11,77,0,77,..,199,11,210,5,209,..,880,171,1046,13,1060,..,95,5,95,3,99,..,97,10,108,3,110,..,178,24,204,0,200,..,1512,219,1730,29,1757,..,819,69,890,28,920,..,217,27,241,7,250,..,84,69,155,0,155,..,116,13,133,0,135,..,285,4,286,6,292,..,46,4,45,0,45,..,182,13,190,0,196,..,105,8,116,0,116,..,45,3,43,0,43,..,149,15,160,0,167,..,252,3,257,3,262,..,100,4,106,0,106,..,401,8,407,12,418,..,101,3,109,0,113,..,862,27,884,11,899,..,616,56,671,3,677,..,72,18,85,0,85,..,246,53,301,6,305,..,46,3,47,0,53,..,172,52,227,3,229,..,2041,356,2396,81,2478,..,11724,1683,13411,278,13694,..,944,67,1016,26165,27186,315579,12670,1756,14425,26449,356452
SOSR121,..,97,8,107,0,109,..,11,0,11,0,11,..,33,0,33,0,32,..,52,12,62,0,62,..,10,0,10,0,10,..,16,0,16,0,16,..,27,0,26,0,26,..,146,9,156,0,161,..,262,19,281,3,286,..,39,0,46,0,46,..,24,0,23,0,23,..,19,0,22,0,22,..,36,0,36,0,42,..,13,0,14,0,14,..,54,3,56,0,57,..,39,0,41,0,41,..,10,0,12,0,12,..,24,4,29,0,29,..,49,3,52,0,54,..,24,0,23,0,23,..,73,0,73,0,73,..,14,0,14,0,14,..,162,4,167,0,166,..,159,15,177,5,177,..,15,3,11,0,11,..,49,11,66,0,66,..,16,0,16,0,16,..,53,5,58,0,55,..,427,81,505,18,528,..,2526,288,2821,48,2866,..,251,12,271,6111,6379,85291,2784,301,3085,6160,94540
SOSR122,..,67,3,72,0,68,..,8,0,8,0,8,..,18,0,23,0,23,..,20,4,21,0,21,..,7,0,7,0,7,..,7,0,7,7,11,..,15,0,17,0,17,..,80,3,84,7,83,..,134,12,142,3,145,..,39,4,50,3,51,..,11,0,15,0,15,..,12,0,12,0,13,..,38,0,38,0,44,..,3,0,5,0,5,..,25,0,25,0,25,..,19,0,21,0,21,..,13,0,9,0,9,..,16,3,17,0,17,..,30,0,30,0,33,..,26,0,26,0,26,..,37,0,39,0,37,..,3,0,3,0,3,..,100,0,102,0,106,..,69,5,81,0,81,..,16,0,17,0,17,..,28,9,35,0,34,..,3,0,8,0,8,..,17,7,20,0,20,..,222,38,263,13,276,..,1463,161,1618,38,1659,..,163,0,171,4106,4281,48086,1629,162,1792,4145,54021
SOSR131,..,776,87,868,16,878,..,46,5,51,3,55,..,288,11,305,7,307,..,498,82,584,12,596,..,61,0,62,0,64,..,127,5,136,0,136,..,97,7,105,0,105,..,1120,113,1233,21,1250,..,3131,322,3450,47,3500,..,280,26,308,3,320,..,139,64,205,0,205,..,154,15,171,3,175,..,1487,113,1606,17,1625,..,100,6,111,0,111,..,277,19,299,0,299,..,229,32,262,0,262,..,77,7,82,6,87,..,372,39,409,8,417,..,188,10,196,5,204,..,119,12,131,3,130,..,368,19,386,4,386,..,85,0,84,0,90,..,763,32,801,11,812,..,876,82,952,12,963,..,64,4,73,0,73,..,327,71,400,7,401,..,143,8,144,4,149,..,240,61,300,9,314,..,2558,393,2953,102,3056,..,20675,2513,23190,374,23564,..,1374,96,1469,47784,49252,479498,22054,2610,24660,48156,552316
