SOSR_CODE_2016,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_0_4,P_Hong_Kong_5_14,P_Hong_Kong_15_24,P_Hong_Kong_25_44,P_Hong_Kong_45_54,P_Hong_Kong_55_64,P_Hong_Kong_65_74,P_Hong_Kong_75_84,P_Hong_Kong_85ov,P_Hong_Kong_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_Nthern_Ireland_0_4,P_Nthern_Ireland_5_14,P_Nthern_Ireland_15_24,P_Nthern_Ireland_25_44,P_Nthern_Ireland_45_54,P_Nthern_Ireland_55_64,P_Nthern_Ireland_65_74,P_Nthern_Ireland_75_84,P_Nthern_Ireland_85ov,P_Nthern_Ireland_Tot,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot
SOSR622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,14,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,0,8,0,0,0,0,4,3,4,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,12,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,19,15,0,53,0,9,6,42,25,30,35,8,3,157,0,0,0,0,3,0,10,0,3,17,0,0,0,0,0,0,0,0,0,0
SOSR631,0,0,0,3,3,12,12,8,0,33,0,0,3,6,3,8,3,3,0,32,0,4,4,7,11,19,19,5,4,78,0,0,3,9,10,7,13,3,3,47,0,0,0,4,3,0,3,0,0,9,0,0,0,0,0,0,0,0,0,3,0,7,3,28,28,35,31,12,3,150,0,3,0,5,4,21,27,20,3,92,3,4,6,28,11,5,3,0,0,62,3,4,4,36,5,3,0,0,0,51,0,0,0,3,3,0,0,0,0,6,0,0,5,17,18,24,9,0,0,71,0,0,0,0,5,11,16,6,0,37,0,0,0,3,3,3,3,0,0,12,0,0,0,4,3,0,3,0,0,5,0,0,0,3,0,0,0,0,0,3,0,9,15,50,61,111,200,71,13,521,11,51,77,311,290,319,175,55,6,1289,0,0,3,4,9,13,24,12,3,68,0,0,3,3,3,3,0,0,0,14
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,7,4,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR703,16,101,117,311,144,211,203,107,20,1214,0,3,20,83,34,52,19,8,3,220,83,225,235,1680,215,133,55,20,10,2658,23,66,120,432,154,71,60,8,0,932,7,12,6,100,12,3,0,0,0,129,0,0,0,11,0,0,0,0,0,13,13,41,40,636,34,34,27,11,5,832,0,12,19,91,31,49,67,56,12,345,31,49,13,192,66,15,6,4,0,387,6,19,37,210,27,6,0,0,0,312,0,0,6,21,6,0,0,0,0,44,8,34,32,217,94,93,59,44,0,581,0,0,0,5,3,4,4,3,0,19,0,4,3,27,11,7,0,3,0,49,3,5,15,98,30,12,0,5,0,173,10,49,197,694,23,14,3,0,0,995,0,8,3,58,33,41,63,16,3,228,31,133,199,906,536,494,196,50,9,2557,3,3,5,54,19,12,17,4,5,115,11,29,34,187,27,17,3,0,0,308
SOSR712,0,0,0,3,0,0,0,3,0,11,0,0,3,27,3,5,0,0,0,46,8,77,26,437,66,38,5,4,0,657,0,0,3,10,6,6,0,0,0,23,0,0,0,6,7,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,39,9,4,16,3,0,75,0,0,0,20,3,12,19,10,7,70,0,0,4,24,7,3,0,0,0,38,0,0,6,34,0,0,0,0,0,40,0,0,0,0,4,0,0,0,0,4,0,0,3,17,5,4,0,0,0,33,0,0,0,0,0,3,0,0,0,9,0,0,0,0,3,3,0,0,0,7,0,0,0,17,0,0,0,0,0,17,0,3,0,40,5,0,0,0,0,48,0,0,0,16,12,22,10,7,8,66,25,107,108,292,146,136,34,11,0,863,0,5,0,0,7,0,3,0,0,17,0,3,3,25,3,0,0,0,0,33
SOSR714,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,6,8,3,62,10,3,0,0,0,91,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,0,0,0,0,11,0,0,0,6,0,0,7,0,0,14,0,0,0,0,0,0,3,3,0,7,0,0,0,0,3,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,3,22,0,0,0,0,0,35,0,0,0,3,0,0,7,0,0,14,3,3,7,30,22,29,10,3,0,114,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
SOSR715,0,0,0,8,0,3,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,5,44,6,0,0,0,0,58,0,0,3,14,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,6,3,0,0,0,0,8,0,0,0,9,0,0,0,0,0,11,0,0,0,0,0,0,9,0,0,11,0,0,0,3,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,11,0,0,0,5,0,0,0,0,0,12,8,16,23,83,43,54,16,0,0,244,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,5
SOSR721,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8,3,0,0,47,4,0,3,0,0,66,3,3,3,7,5,0,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,0,0,3,17,3,0,3,0,0,28,0,0,0,16,0,0,0,0,0,15,0,0,9,12,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0,0,28,0,0,0,6,3,3,3,0,0,10,0,13,17,74,37,42,8,0,0,185,0,0,0,0,3,0,0,0,0,8,0,0,0,0,3,0,0,0,0,3
SOSR722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,3,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,16,0,0,0,0,0,0,3,0,0,8,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,19,20,23,14,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
