SOSR_CODE_2016,Ireland_2011,Ireland_2012,Ireland_2013,Ireland_2014,Ireland_2015,Ireland_2016,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1946,Italy_1946_1955,Italy_1956_1965,Italy_1966_1975,Italy_1976_1985,Italy_1986_1995,Italy_1996_2005,Italy_2006_2010,Italy_2011,Italy_2012,Italy_2013,Italy_2014,Italy_2015,Italy_2016,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1946,Japan_1946_1955,Japan_1956_1965,Japan_1966_1975,Japan_1976_1985,Japan_1986_1995,Japan_1996_2005,Japan_2006_2010,Japan_2011,Japan_2012,Japan_2013,Japan_2014,Japan_2015,Japan_2016,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1946,Korea_Rep_Sth_1946_1955,Korea_Rep_Sth_1956_1965,Korea_Rep_Sth_1966_1975,Korea_Rep_Sth_1976_1985,Korea_Rep_Sth_1986_1995,Korea_Rep_Sth_1996_2005,Korea_Rep_Sth_2006_2010,Korea_Republic_South_2011,Korea_Republic_South_2012,Korea_Republic_South_2013,Korea_Republic_South_2014,Korea_Republic_South_2015,Korea_Republic_South_2016,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1946,Lebanon_1946_1955,Lebanon_1956_1965,Lebanon_1966_1975,Lebanon_1976_1985,Lebanon_1986_1995,Lebanon_1996_2005,Lebanon_2006_2010,Lebanon_2011,Lebanon_2012,Lebanon_2013,Lebanon_2014,Lebanon_2015,Lebanon_2016,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1946,Malaysia_1946_1955,Malaysia_1956_1965,Malaysia_1966_1975,Malaysia_1976_1985,Malaysia_1986_1995,Malaysia_1996_2005,Malaysia_2006_2010,Malaysia_2011,Malaysia_2012,Malaysia_2013,Malaysia_2014,Malaysia_2015,Malaysia_2016,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1946,Malta_1946_1955,Malta_1956_1965,Malta_1966_1975,Malta_1976_1985,Malta_1986_1995,Malta_1996_2005,Malta_2006_2010,Malta_2011,Malta_2012,Malta_2013,Malta_2014,Malta_2015,Malta_2016,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1946,Netherlands_1946_1955,Netherlands_1956_1965,Netherlands_1966_1975,Netherlands_1976_1985,Netherlands_1986_1995,Netherlands_1996_2005,Netherlands_2006_2010,Netherlands_2011,Netherlands_2012,Netherlands_2013,Netherlands_2014,Netherlands_2015,Netherlands_2016,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1946,New_Zealand_1946_1955,New_Zealand_1956_1965,New_Zealand_1966_1975,New_Zealand_1976_1985,New_Zealand_1986_1995,New_Zealand_1996_2005,New_Zealand_2006_2010,New_Zealand_2011,New_Zealand_2012,New_Zealand_2013,New_Zealand_2014,New_Zealand_2015,New_Zealand_2016,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Pakistan_Before_1946,Pakistan_1946_1955,Pakistan_1956_1965,Pakistan_1966_1975,Pakistan_1976_1985,Pakistan_1986_1995,Pakistan_1996_2005,Pakistan_2006_2010,Pakistan_2011,Pakistan_2012,Pakistan_2013,Pakistan_2014,Pakistan_2015,Pakistan_2016,Pakistan_Yr_arrival_NS,Pakistan_Tot,Philippines_Before_1946,Philippines_1946_1955,Philippines_1956_1965,Philippines_1966_1975,Philippines_1976_1985,Philippines_1986_1995,Philippines_1996_2005,Philippines_2006_2010,Philippines_2011,Philippines_2012,Philippines_2013,Philippines_2014,Philippines_2015,Philippines_2016,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1946,Poland_1946_1955,Poland_1956_1965,Poland_1966_1975,Poland_1976_1985,Poland_1986_1995,Poland_1996_2005,Poland_2006_2010,Poland_2011,Poland_2012,Poland_2013,Poland_2014,Poland_2015,Poland_2016,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1946,Singapore_1946_1955,Singapore_1956_1965,Singapore_1966_1975,Singapore_1976_1985,Singapore_1986_1995,Singapore_1996_2005,Singapore_2006_2010,Singapore_2011,Singapore_2012,Singapore_2013,Singapore_2014,Singapore_2015,Singapore_2016,Singapore_Yr_arrival_ns,Singapore_Tot
SOSR331,32,24,8,13,9,4,24,580,30,330,332,122,26,15,16,19,3,8,3,11,13,9,84,1023,0,8,5,4,4,42,61,40,3,15,4,11,16,31,52,299,0,0,0,0,7,3,54,35,8,8,11,9,30,18,46,224,0,0,4,12,5,0,5,0,0,0,0,0,0,3,5,36,3,3,64,79,78,44,40,29,3,3,0,5,7,7,28,396,3,131,80,42,13,15,3,4,0,5,0,0,0,0,8,303,3,418,363,173,201,72,125,108,11,10,15,5,10,6,37,1563,9,40,204,1153,2615,2080,1851,855,197,164,97,73,77,47,507,9956,0,0,0,3,3,11,3,8,0,0,0,3,7,0,0,42,0,3,3,19,207,260,193,309,54,80,82,111,72,51,90,1534,0,14,22,10,49,33,22,19,0,3,3,0,0,0,8,188,3,0,12,49,24,21,34,15,3,5,3,6,11,6,10,196
SOSR379,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR399,0,3,0,3,11,15,3,45,0,0,0,0,0,0,0,0,0,0,0,10,17,20,10,60,0,0,0,0,0,3,3,0,0,0,0,0,5,10,9,28,0,0,0,0,0,3,4,0,3,0,0,7,15,9,5,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,3,0,0,3,0,0,7,0,26,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,22,17,5,3,0,0,0,0,0,0,3,12,11,0,88,0,0,6,44,111,93,123,56,11,17,20,6,7,6,66,567,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,5,12,4,3,3,0,3,0,8,11,7,53,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,17,0,0,0,0,3,0,0,3,0,0,0,0,0,5,3,15
SOSR401,154,125,78,45,19,24,67,2628,146,3985,7633,2777,382,213,203,162,38,90,88,93,91,55,737,16675,0,24,12,22,32,146,348,269,62,51,46,61,84,99,85,1336,0,0,5,15,102,195,673,1261,250,232,176,153,180,133,105,3467,11,54,78,313,274,213,233,105,18,33,20,27,19,19,42,1461,10,9,121,451,717,1007,1070,1278,293,350,360,434,541,456,173,7282,6,410,429,177,71,39,9,11,0,3,0,0,0,0,50,1215,8,1096,1750,462,226,72,177,137,34,31,28,16,15,23,124,4203,40,79,256,893,1860,1743,1644,955,250,272,175,149,149,95,310,8866,0,3,12,11,15,40,324,643,239,330,500,397,469,184,79,3240,0,8,18,80,814,1800,1419,2580,472,524,521,511,574,264,252,9830,13,487,417,254,1308,1296,337,178,23,26,37,32,22,6,132,4566,3,8,56,186,230,249,434,376,68,79,115,140,169,142,62,2323
SOSR412,3,0,3,0,3,0,7,106,4,64,152,56,7,3,0,3,0,0,0,0,0,0,24,313,0,0,0,0,0,0,9,3,7,0,0,0,0,0,0,21,0,0,0,0,3,3,10,3,0,0,0,0,0,0,0,21,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,5,0,0,8,7,14,3,11,4,4,4,6,0,3,0,0,76,0,18,10,8,4,0,0,0,0,0,0,0,0,0,0,47,0,125,142,38,28,4,11,10,0,0,3,0,0,0,7,368,0,3,13,57,116,89,109,60,12,7,14,22,17,3,23,544,0,0,0,0,0,0,0,9,0,5,3,7,0,0,0,30,0,0,3,3,55,49,76,145,26,41,37,40,36,14,25,531,0,15,22,10,16,8,11,3,0,8,3,0,3,0,0,92,0,0,0,4,4,0,3,0,0,0,0,3,0,0,0,19
SOSR413,7,7,0,0,0,0,4,129,14,115,174,50,3,0,7,3,0,3,3,0,0,3,22,394,0,3,0,4,3,6,20,14,4,3,5,3,0,0,0,66,0,0,0,0,12,3,5,12,0,3,4,0,4,0,0,49,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,18,3,0,3,19,17,14,13,33,4,3,0,6,5,6,4,137,0,16,14,6,0,0,0,3,0,0,0,0,0,0,3,46,0,156,202,40,24,6,16,23,3,3,0,0,0,0,20,490,3,8,19,86,165,117,168,88,25,20,31,8,18,9,40,807,0,0,0,0,3,0,6,7,3,0,10,4,13,0,8,64,0,0,0,3,50,76,73,255,58,68,66,67,34,19,22,788,0,14,6,0,23,17,10,3,0,0,0,0,0,0,0,73,0,0,3,10,6,3,6,7,0,3,3,4,0,0,4,54
SOSR414,0,0,0,0,0,0,3,39,0,9,8,10,0,0,0,0,0,0,0,0,0,0,9,41,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,5,0,0,0,4,6,10,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,0,0,0,0,0,0,0,0,0,0,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,45,59,14,6,0,6,0,0,0,0,0,0,0,4,138,0,3,13,28,48,38,49,28,15,6,6,4,8,3,17,270,0,0,0,0,0,0,0,0,0,13,13,3,10,0,3,45,0,0,0,0,5,10,13,19,15,30,37,27,14,14,14,188,0,4,0,0,8,9,0,0,0,0,0,0,0,0,0,23,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,6
SOSR415,3,3,4,0,3,0,10,127,3,66,180,40,11,5,3,4,0,0,3,10,6,4,26,353,0,3,0,0,0,3,6,3,0,0,0,3,5,0,3,40,0,0,0,0,3,6,5,22,0,0,3,3,3,9,4,57,4,0,0,4,5,4,0,3,0,0,0,0,0,0,0,20,0,0,4,20,10,3,18,16,3,3,0,3,8,0,10,95,0,10,11,4,3,0,0,0,0,0,0,0,0,0,3,36,4,160,191,38,26,0,7,8,0,0,0,0,0,0,15,468,4,4,25,100,185,167,186,86,26,26,23,8,9,8,34,882,0,0,0,0,0,0,4,7,0,3,0,5,7,3,0,39,0,0,0,3,29,35,56,135,34,45,66,56,50,24,20,557,0,7,4,6,19,7,5,3,0,0,0,3,0,0,7,58,0,3,3,5,3,3,7,0,0,0,0,0,0,0,0,25
SOSR421,5,0,0,0,0,3,0,49,0,21,28,8,5,0,0,0,0,0,0,0,3,3,3,68,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,3,3,0,0,0,0,0,0,0,0,20,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,34,59,13,9,0,4,4,0,0,0,0,0,0,0,128,4,4,10,24,62,48,29,20,7,4,3,0,0,0,18,229,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,9,21,11,18,7,10,14,23,11,3,9,138,0,3,4,0,3,3,0,3,0,0,0,0,0,0,3,21,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,11
SOSR422,0,3,0,3,0,0,0,26,0,12,15,4,0,0,0,3,0,0,0,0,0,0,0,34,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,11,0,27,43,14,6,3,0,3,0,0,0,0,0,0,3,100,0,0,8,35,41,25,23,22,7,0,8,4,3,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,4,9,0,0,0,3,0,0,0,38,0,3,0,4,3,0,3,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOSR431,9,10,0,3,3,0,4,172,3,178,270,98,20,3,4,0,3,0,0,9,3,5,43,640,0,0,0,0,0,6,12,7,6,4,0,0,0,0,3,41,0,0,0,0,0,4,10,7,0,0,3,0,3,3,9,38,0,0,3,15,7,3,0,7,0,0,0,0,0,0,0,34,0,0,10,22,12,6,5,13,9,0,4,0,8,8,3,107,0,22,15,10,0,0,0,0,0,0,0,0,0,0,0,53,0,196,269,70,45,14,40,18,4,0,0,0,3,0,13,681,3,10,30,133,224,204,201,125,32,31,15,12,7,5,61,1086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,6,26,49,48,86,16,14,22,36,24,14,40,373,0,8,16,12,23,22,5,3,0,0,0,0,0,0,8,98,0,0,6,17,7,3,8,3,0,0,0,3,0,4,9,48
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,4,0,0,0,5,3,0,15,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,16,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,3,0,0,0,0,0,0,0,0,3,0,0,14,0,0,0,4,11,13,5,7,0,4,0,0,0,0,16,59,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,12,0,0,0,0,0,0,4,0,0,0,3,0,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,1785,1999,965,495,400,172,342,15845,146,4075,5212,2919,634,340,436,525,183,381,464,412,319,126,850,17033,0,24,31,51,118,497,1147,721,141,173,184,226,248,151,199,3926,0,0,0,22,249,355,1049,1761,430,438,479,427,467,261,332,6270,3,7,29,175,174,233,150,102,16,20,28,20,16,15,31,1015,59,72,415,1770,3387,6132,4428,4800,1001,1162,1143,1047,1124,733,775,28042,4,205,190,153,68,51,29,25,3,6,0,4,4,0,18,763,12,2598,908,675,689,341,539,433,93,117,109,95,65,32,193,6922,42,101,490,2860,7021,9606,10200,11624,4151,4473,2873,1767,1373,657,1903,59147,0,19,29,110,92,213,519,1146,383,545,575,617,448,304,133,5124,0,5,13,133,1024,2060,1918,7747,2217,2507,1959,1605,1644,952,579,24357,14,373,183,169,1615,1227,354,370,92,116,142,119,100,35,129,5040,44,77,229,1013,1575,2316,3593,2524,399,446,440,488,514,333,341,14321
SOSR511,22,37,44,11,3,5,8,331,12,159,111,27,5,3,6,5,0,0,4,9,0,0,19,361,0,0,0,0,0,5,11,12,0,4,4,3,0,3,10,56,0,0,0,0,6,0,14,34,3,5,7,5,33,28,48,190,0,0,0,8,5,12,3,3,0,0,0,0,0,0,3,35,0,0,11,22,17,24,23,21,3,8,6,10,4,0,3,151,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,10,0,114,41,31,35,17,21,9,3,0,3,0,0,0,11,288,0,10,19,106,302,383,433,532,138,174,101,67,78,15,97,2449,0,0,0,0,3,0,7,25,10,3,14,11,5,0,0,74,0,0,0,4,24,42,50,315,42,68,82,68,62,25,18,800,0,22,10,4,28,11,4,4,3,3,0,0,3,0,12,107,3,3,9,4,8,10,33,17,0,4,0,11,0,0,3,104
SOSR512,39,46,8,18,14,7,15,383,7,116,104,60,4,3,8,10,3,3,13,12,6,3,26,373,0,0,0,3,0,6,17,10,4,0,4,7,0,0,3,57,0,0,0,0,8,5,5,13,6,5,7,0,8,3,3,64,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,15,22,21,32,26,21,3,5,13,5,6,0,10,182,0,11,12,4,0,0,0,0,0,0,0,0,0,0,0,26,0,182,71,35,41,12,19,25,0,6,0,5,4,0,20,412,5,9,39,236,498,643,668,936,292,256,153,111,62,35,155,4099,0,0,0,0,0,3,9,13,7,19,11,8,3,3,0,86,0,0,0,3,79,133,128,657,123,176,137,94,118,64,52,1776,0,28,5,4,8,9,7,10,9,4,0,3,0,0,0,96,0,0,3,13,19,17,21,16,0,0,4,4,3,0,3,105
SOSR513,23,26,16,11,3,3,8,206,0,10,9,4,0,4,3,0,0,4,3,7,6,3,4,68,0,0,0,0,0,0,10,15,3,0,0,6,7,0,13,57,0,0,0,0,8,5,5,17,3,4,0,3,19,13,9,84,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,7,12,15,12,9,28,3,0,7,3,7,0,9,116,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,22,14,3,8,3,11,14,0,0,3,3,4,0,5,91,0,6,8,82,268,293,339,516,158,176,120,100,48,30,121,2261,0,0,0,0,0,3,9,26,0,5,7,0,7,5,0,63,0,0,0,0,30,50,56,343,102,126,112,119,105,54,30,1126,0,0,0,3,14,5,8,3,0,0,0,0,0,0,0,35,0,0,0,7,11,19,9,16,0,0,0,4,0,0,3,68
SOSR514,3,9,21,0,0,3,7,132,0,23,22,10,0,0,4,17,5,10,3,7,5,0,13,124,0,0,0,0,0,0,9,3,8,0,3,0,7,0,4,35,0,0,0,0,0,0,0,11,0,3,4,4,13,14,3,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,5,3,4,3,3,3,3,3,3,0,3,44,0,0,4,3,0,0,0,3,0,0,0,0,0,0,0,12,0,36,22,15,9,6,6,3,0,0,3,0,0,0,8,113,0,3,9,63,153,206,233,217,84,89,33,33,18,7,57,1202,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,6,0,0,0,0,19,21,18,89,14,19,25,17,9,7,13,252,0,24,3,0,11,6,0,3,0,0,3,0,0,0,3,56,0,0,3,3,6,9,10,3,0,0,0,0,0,0,5,40
SOSR515,19,29,10,4,0,7,14,262,6,109,107,50,13,0,3,6,0,6,6,5,13,9,23,362,0,0,0,0,0,3,6,4,0,0,3,0,9,3,14,45,0,0,0,0,5,0,3,15,3,0,4,0,3,8,20,64,0,0,3,4,3,4,0,0,0,0,0,0,0,0,0,8,0,0,12,20,31,30,22,28,0,0,3,4,0,9,6,162,0,4,6,3,3,0,0,0,0,0,0,0,0,0,0,17,0,114,48,30,16,12,19,20,0,3,6,0,5,0,13,293,0,7,18,186,417,487,493,493,132,166,86,51,55,33,132,2761,0,0,0,0,0,0,3,4,0,3,3,4,0,3,0,26,0,0,0,0,28,43,48,263,77,105,136,93,136,60,45,1027,0,11,4,6,14,5,7,12,0,0,0,0,0,0,0,64,4,3,4,16,11,6,6,3,3,0,0,3,4,3,11,76
SOSR521,9,13,4,3,0,0,6,115,3,53,31,7,0,0,4,0,0,0,3,3,0,0,9,122,0,0,0,0,0,0,3,7,0,0,0,0,4,0,0,21,0,0,0,0,0,0,0,3,0,3,0,4,3,0,0,20,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,10,10,4,11,8,0,0,0,0,0,3,0,56,0,3,4,3,0,0,0,0,0,0,0,0,0,0,0,10,0,66,29,30,22,13,8,13,0,0,0,0,0,0,3,181,0,0,13,87,241,253,235,187,40,49,33,25,41,13,70,1295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,12,21,24,118,58,81,79,39,67,24,22,549,0,4,0,3,9,4,3,0,0,0,0,0,0,0,0,32,0,0,4,4,4,0,11,8,0,0,0,3,0,0,0,36
SOSR522,4,16,3,4,0,0,0,67,0,5,8,3,0,0,0,0,0,0,0,0,0,0,3,31,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,16,7,11,4,3,3,0,0,0,0,4,4,0,78,0,3,10,36,104,103,91,75,27,30,26,12,10,5,28,562,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,13,3,10,34,4,9,10,3,7,6,3,109,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,3,3,3,3,0,0,0,0,0,0,0,15
SOSR531,63,72,16,13,4,0,35,638,13,218,234,108,13,10,14,18,3,7,7,7,9,9,34,701,0,0,0,0,0,6,18,12,0,3,0,0,4,0,14,73,0,0,0,0,5,11,34,21,0,0,3,0,3,3,11,94,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8,21,3,7,13,50,39,50,36,29,8,7,7,13,5,4,48,328,0,14,13,15,4,0,0,0,0,0,0,0,0,0,5,53,0,264,97,76,86,43,58,27,3,9,8,8,10,0,26,713,8,11,57,368,869,916,961,812,243,230,115,102,81,21,358,5145,0,3,4,3,6,3,3,9,3,4,3,0,0,0,11,47,0,0,0,5,41,66,84,198,58,89,66,77,58,34,38,811,0,7,9,7,48,29,5,13,0,0,0,0,0,0,9,131,3,8,14,28,17,35,47,24,4,3,11,6,0,0,15,202
SOSR579,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,12,3,3,0,0,0,0,0,6,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR599,3,3,0,0,3,9,0,49,0,0,4,0,0,0,0,0,3,0,0,3,10,4,8,33,0,0,0,0,0,0,0,3,0,0,0,0,0,3,6,18,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,3,0,3,3,4,4,8,33,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,7,0,3,0,3,0,0,0,0,0,9,4,0,34,0,0,0,22,32,36,33,43,13,17,8,6,3,4,42,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,3,0,5,0,0,3,0,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,12
SOSR603,17,8,8,5,3,3,11,283,6,89,214,73,11,12,12,3,0,4,5,4,0,4,33,470,0,3,5,5,15,32,60,54,14,10,7,10,17,11,16,246,0,0,0,3,18,50,68,99,6,18,7,21,24,17,21,357,0,3,3,11,16,6,4,0,0,0,3,0,0,0,0,49,0,8,29,41,48,62,115,84,19,50,49,48,90,102,24,770,0,13,11,7,3,4,0,0,0,0,0,0,0,0,0,32,0,244,159,39,55,22,34,15,3,7,0,4,3,0,15,595,13,23,71,189,320,287,267,135,29,33,28,30,18,18,64,1527,0,0,0,0,3,5,11,37,14,31,36,41,41,17,7,234,0,0,3,18,68,136,100,139,24,32,17,23,38,13,22,640,0,64,56,24,79,59,18,22,0,3,0,5,3,3,17,347,6,3,9,15,14,17,46,29,12,25,28,23,36,35,13,308
SOSR611,0,0,4,12,0,3,0,98,0,42,72,10,7,4,0,3,0,3,0,0,0,0,9,155,0,0,0,0,0,5,10,9,4,3,0,0,0,3,4,41,0,0,0,3,6,15,28,30,4,4,3,7,8,5,7,115,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,7,0,0,7,12,13,13,23,44,16,36,42,56,93,64,16,435,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,136,119,16,32,11,15,0,0,0,0,0,0,0,5,331,3,5,23,60,107,113,113,68,25,19,9,11,6,8,29,594,0,0,0,0,0,0,3,4,0,10,8,12,21,8,0,66,0,0,0,0,30,52,73,71,15,16,17,6,7,10,6,302,0,22,9,0,20,18,3,4,3,0,0,0,0,0,3,85,3,0,0,10,0,4,9,15,5,4,7,10,23,22,4,126
SOSR612,0,0,0,0,0,0,0,10,0,3,11,4,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,3,0,0,0,0,9,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,17,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,31,17,11,6,0,4,0,0,0,0,0,0,0,0,71,0,3,11,32,40,38,35,12,3,3,0,0,3,0,3,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,23,17,25,16,0,3,3,0,0,3,107,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,9
SOSR613,8,0,0,0,0,0,3,32,0,3,6,8,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,3,3,3,3,6,3,5,5,0,0,4,3,0,37,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,65,42,7,10,0,3,3,0,3,0,0,0,0,4,147,0,5,14,42,50,39,41,16,6,3,11,4,3,8,12,248,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,12,0,0,0,0,17,20,18,13,6,10,0,4,4,7,3,105,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,17,0,0,4,0,0,0,0,3,3,0,0,0,0,0,0,14
