SOSR_CODE_2016,Ireland_2011,Ireland_2012,Ireland_2013,Ireland_2014,Ireland_2015,Ireland_2016,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1946,Italy_1946_1955,Italy_1956_1965,Italy_1966_1975,Italy_1976_1985,Italy_1986_1995,Italy_1996_2005,Italy_2006_2010,Italy_2011,Italy_2012,Italy_2013,Italy_2014,Italy_2015,Italy_2016,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1946,Japan_1946_1955,Japan_1956_1965,Japan_1966_1975,Japan_1976_1985,Japan_1986_1995,Japan_1996_2005,Japan_2006_2010,Japan_2011,Japan_2012,Japan_2013,Japan_2014,Japan_2015,Japan_2016,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1946,Korea_Rep_Sth_1946_1955,Korea_Rep_Sth_1956_1965,Korea_Rep_Sth_1966_1975,Korea_Rep_Sth_1976_1985,Korea_Rep_Sth_1986_1995,Korea_Rep_Sth_1996_2005,Korea_Rep_Sth_2006_2010,Korea_Republic_South_2011,Korea_Republic_South_2012,Korea_Republic_South_2013,Korea_Republic_South_2014,Korea_Republic_South_2015,Korea_Republic_South_2016,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1946,Lebanon_1946_1955,Lebanon_1956_1965,Lebanon_1966_1975,Lebanon_1976_1985,Lebanon_1986_1995,Lebanon_1996_2005,Lebanon_2006_2010,Lebanon_2011,Lebanon_2012,Lebanon_2013,Lebanon_2014,Lebanon_2015,Lebanon_2016,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1946,Malaysia_1946_1955,Malaysia_1956_1965,Malaysia_1966_1975,Malaysia_1976_1985,Malaysia_1986_1995,Malaysia_1996_2005,Malaysia_2006_2010,Malaysia_2011,Malaysia_2012,Malaysia_2013,Malaysia_2014,Malaysia_2015,Malaysia_2016,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1946,Malta_1946_1955,Malta_1956_1965,Malta_1966_1975,Malta_1976_1985,Malta_1986_1995,Malta_1996_2005,Malta_2006_2010,Malta_2011,Malta_2012,Malta_2013,Malta_2014,Malta_2015,Malta_2016,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1946,Netherlands_1946_1955,Netherlands_1956_1965,Netherlands_1966_1975,Netherlands_1976_1985,Netherlands_1986_1995,Netherlands_1996_2005,Netherlands_2006_2010,Netherlands_2011,Netherlands_2012,Netherlands_2013,Netherlands_2014,Netherlands_2015,Netherlands_2016,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1946,New_Zealand_1946_1955,New_Zealand_1956_1965,New_Zealand_1966_1975,New_Zealand_1976_1985,New_Zealand_1986_1995,New_Zealand_1996_2005,New_Zealand_2006_2010,New_Zealand_2011,New_Zealand_2012,New_Zealand_2013,New_Zealand_2014,New_Zealand_2015,New_Zealand_2016,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Pakistan_Before_1946,Pakistan_1946_1955,Pakistan_1956_1965,Pakistan_1966_1975,Pakistan_1976_1985,Pakistan_1986_1995,Pakistan_1996_2005,Pakistan_2006_2010,Pakistan_2011,Pakistan_2012,Pakistan_2013,Pakistan_2014,Pakistan_2015,Pakistan_2016,Pakistan_Yr_arrival_NS,Pakistan_Tot,Philippines_Before_1946,Philippines_1946_1955,Philippines_1956_1965,Philippines_1966_1975,Philippines_1976_1985,Philippines_1986_1995,Philippines_1996_2005,Philippines_2006_2010,Philippines_2011,Philippines_2012,Philippines_2013,Philippines_2014,Philippines_2015,Philippines_2016,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1946,Poland_1946_1955,Poland_1956_1965,Poland_1966_1975,Poland_1976_1985,Poland_1986_1995,Poland_1996_2005,Poland_2006_2010,Poland_2011,Poland_2012,Poland_2013,Poland_2014,Poland_2015,Poland_2016,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1946,Singapore_1946_1955,Singapore_1956_1965,Singapore_1966_1975,Singapore_1976_1985,Singapore_1986_1995,Singapore_1996_2005,Singapore_2006_2010,Singapore_2011,Singapore_2012,Singapore_2013,Singapore_2014,Singapore_2015,Singapore_2016,Singapore_Yr_arrival_ns,Singapore_Tot
SOSR301,493,377,265,161,152,87,136,6458,82,1302,1836,952,196,157,249,230,69,127,148,190,171,101,282,6093,4,39,40,69,121,530,1349,823,186,198,203,239,358,310,400,4866,0,0,0,26,160,748,2470,3420,644,749,742,700,939,739,665,12007,0,16,48,213,167,162,135,81,24,7,22,16,14,14,29,951,16,11,329,868,1241,1646,1630,1656,318,354,429,576,673,464,292,10514,6,282,241,125,64,26,35,11,0,9,6,3,0,3,20,836,4,1470,1351,571,605,319,454,305,45,81,50,69,65,51,188,5622,88,207,755,3859,12457,16148,23953,18559,4530,4713,3632,2653,2324,1259,3406,98549,0,5,4,36,78,123,604,741,202,272,393,338,341,236,97,3463,3,3,33,211,1863,4224,3148,5065,947,894,855,806,804,412,532,19803,7,267,136,126,759,675,310,229,53,57,52,38,63,20,72,2864,9,12,85,393,373,542,1004,733,142,173,198,260,293,289,152,4655
SOSR302,77,65,46,48,33,17,48,1364,13,346,430,296,68,68,71,79,20,31,31,49,36,26,92,1664,0,14,16,46,114,827,1313,703,155,164,157,147,141,170,237,4200,0,0,0,6,79,328,788,835,129,144,158,175,205,169,134,3161,5,15,32,88,56,40,18,5,0,0,0,3,10,4,7,284,4,11,60,165,214,254,303,237,41,64,54,66,79,41,50,1648,0,194,168,69,20,11,3,4,3,0,0,0,0,0,12,493,0,513,408,187,171,98,169,81,15,11,4,13,21,7,65,1755,32,85,415,1674,5225,7177,10875,8586,2025,1788,1363,1122,884,584,1527,43372,0,4,5,8,10,30,96,69,28,31,29,33,25,32,16,404,0,3,21,81,464,955,808,654,138,178,141,148,195,125,127,4038,3,78,78,64,251,188,104,93,12,14,21,18,15,0,19,956,8,3,23,82,78,121,236,125,19,17,25,39,26,27,35,871
SOSR303,81,72,52,23,26,19,40,1399,33,345,408,201,50,37,78,93,25,47,61,51,50,13,95,1581,0,13,3,19,35,274,771,463,81,80,67,78,69,68,141,2172,0,0,0,4,17,66,239,483,119,123,140,122,166,128,117,1731,0,8,9,25,16,6,7,0,0,0,3,3,0,0,3,88,5,5,118,189,176,121,150,154,29,40,38,53,49,34,43,1217,3,107,68,37,20,16,8,7,0,3,0,3,3,3,10,282,0,511,499,205,212,108,218,142,21,38,19,25,18,18,51,2093,44,79,417,1635,3808,3982,4806,3193,777,731,544,383,350,212,754,21709,0,0,3,3,12,4,27,88,17,53,51,57,29,27,15,391,4,0,8,53,447,937,735,1391,263,267,262,260,246,117,150,5138,0,49,42,18,132,76,61,59,10,18,9,13,14,4,26,523,4,4,35,108,66,66,86,53,8,13,13,29,24,15,25,555
SOSR311,25,34,5,14,3,5,13,312,8,118,122,67,13,3,18,14,0,6,4,10,14,21,24,443,0,3,3,4,0,6,27,17,4,3,3,12,21,10,29,132,0,0,0,0,3,8,40,60,11,20,14,10,23,31,29,254,0,0,0,4,3,0,0,3,0,0,0,0,0,0,0,10,0,3,16,42,34,33,29,52,5,12,11,10,15,23,14,300,10,130,61,39,14,3,3,0,0,3,0,0,0,0,12,267,0,230,176,74,83,24,34,19,0,6,5,0,0,0,18,669,5,27,109,501,1074,996,1052,819,253,204,114,86,68,45,205,5548,0,0,0,0,0,0,29,35,11,20,24,12,10,5,6,154,0,0,5,14,228,311,268,764,186,258,231,222,171,76,81,2825,0,15,8,10,23,14,11,11,5,5,0,0,0,0,0,97,0,0,0,16,15,8,19,15,0,3,3,3,12,4,5,105
SOSR312,0,17,0,0,4,0,3,69,0,10,10,9,0,0,0,11,0,3,0,0,9,3,8,59,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,22,0,0,0,0,0,5,10,9,0,3,6,0,3,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,9,4,3,7,7,0,3,13,4,6,3,6,77,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,38,25,8,11,10,4,4,0,0,0,0,0,0,4,99,0,4,15,105,258,215,307,293,78,75,92,48,34,15,62,1611,0,0,0,0,0,0,0,8,0,3,0,3,9,0,0,28,0,0,0,3,65,77,70,241,69,67,74,82,76,45,30,904,0,3,3,3,6,3,0,3,0,0,0,0,0,0,4,34,0,0,0,6,3,3,3,3,0,3,3,3,0,0,0,36
SOSR313,19,25,9,14,0,0,12,277,4,38,63,27,7,0,3,3,0,9,0,0,0,0,8,169,0,0,3,0,6,10,22,18,4,3,4,10,6,8,3,95,0,0,0,0,0,9,13,18,3,6,10,8,20,10,17,112,0,4,0,6,0,0,0,3,0,0,0,0,0,0,0,17,0,3,8,33,28,13,25,18,0,7,0,0,0,5,6,145,0,26,17,3,3,0,0,0,0,0,0,0,0,0,3,57,0,167,148,42,44,16,16,9,0,0,3,4,0,0,11,465,12,23,72,330,804,792,912,756,267,255,160,82,76,54,184,4783,0,0,0,4,0,0,3,6,8,8,8,6,7,3,0,63,0,0,0,11,126,216,213,468,115,114,117,104,69,36,44,1633,0,10,10,3,26,14,5,9,0,0,3,3,3,0,3,90,0,0,3,16,6,11,11,6,3,3,0,3,3,0,3,71
SOSR314,15,25,7,3,12,9,5,284,35,258,303,82,17,8,10,12,0,0,14,5,22,15,52,830,0,0,0,3,9,12,46,25,3,9,0,18,45,31,41,244,0,0,0,0,3,7,32,50,21,11,11,28,81,50,91,377,0,0,0,5,0,3,3,4,0,0,0,0,0,0,0,13,0,0,11,24,27,19,13,26,5,16,10,9,13,3,11,181,4,19,11,12,3,0,4,0,0,0,0,0,0,0,4,58,5,133,89,48,37,22,39,18,4,0,0,4,6,0,16,422,9,20,65,338,838,856,973,649,228,146,139,104,62,38,167,4634,0,0,0,0,0,4,4,4,0,8,12,3,0,0,0,45,0,0,0,13,98,135,118,350,99,88,115,120,95,23,61,1330,0,9,3,4,29,12,11,8,3,0,0,0,9,0,3,90,0,0,3,17,0,5,13,18,4,3,9,3,0,5,6,84
SOSR315,20,26,12,7,12,4,15,391,39,249,220,66,12,11,14,17,3,8,3,11,19,6,55,730,0,6,3,3,5,14,46,33,18,5,9,12,38,14,23,223,0,0,0,5,0,11,28,41,8,18,21,21,88,51,62,359,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,13,3,0,41,41,41,28,27,9,3,0,0,5,6,3,20,236,0,53,31,11,3,5,0,0,0,0,0,0,0,0,4,115,0,243,230,76,78,42,69,26,3,0,5,0,3,0,15,788,9,32,126,627,1440,1354,1380,878,222,191,167,117,65,46,314,6967,0,0,4,0,0,0,7,13,9,4,0,0,11,0,0,47,0,0,5,15,142,215,178,401,132,148,134,119,127,70,90,1776,0,9,3,7,41,14,3,8,3,3,0,0,0,0,5,99,0,0,11,17,14,9,22,3,4,0,3,0,0,0,3,81
SOSR321,3,3,0,3,4,0,0,120,6,56,45,28,4,0,7,0,3,3,0,11,0,9,20,188,0,0,0,0,3,6,24,23,0,0,3,0,5,3,9,74,0,0,0,0,0,0,5,3,0,4,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,21,14,10,11,8,0,0,0,0,0,0,6,85,0,25,13,3,3,0,0,0,0,0,0,0,0,0,0,56,0,107,104,37,30,12,17,20,3,0,8,3,6,3,10,357,0,12,56,297,578,562,460,259,37,38,54,17,27,22,96,2519,0,0,0,0,0,4,0,3,3,3,0,0,4,0,0,24,0,0,0,3,65,92,74,86,19,21,16,22,29,4,12,446,0,4,6,0,20,9,3,9,3,0,0,0,0,0,4,54,0,0,3,14,3,6,8,0,0,0,3,0,0,0,0,37
SOSR322,0,6,0,0,0,0,3,62,5,50,50,17,0,3,7,0,0,0,0,0,4,4,3,148,0,0,0,0,0,0,9,7,0,5,0,0,4,0,6,37,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3,0,0,3,0,0,0,0,0,0,0,25,0,19,3,0,3,0,0,0,0,0,0,0,0,0,0,30,0,43,30,24,11,3,7,3,0,0,0,0,0,0,3,132,0,3,29,118,266,168,166,101,23,30,10,7,6,6,62,974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,25,31,27,34,7,10,8,14,10,3,15,179,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,13,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,5
