SOSR_CODE_2016,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
SOSR222,832,11,0,3,0,0,0,164,1012,554,67,35,8,0,0,0,84,751,406,145,144,47,10,0,0,96,847,260,166,269,125,40,11,6,77,948,167,130,344,197,80,24,11,106,1063,182,141,406,218,92,34,14,89,1172,190,131,413,293,118,30,14,121,1319,217,130,489,338,143,51,24,112,1507,194,140,534,395,156,68,28,131,1648,163,115,523,363,156,58,31,104,1514,118,97,432,344,158,61,26,136,1372,75,66,285,230,134,49,40,90,971,44,31,138,149,126,53,41,74,659,28,13,69,91,69,38,33,51,396,36,38,104,91,70,46,43,70,502,3479,1423,4190,2902,1353,519,314,1500,15679
SOSR231,10927,45,10,4,5,0,0,1864,12860,7091,549,213,61,11,0,4,887,8809,4370,1325,1041,378,94,21,10,679,7927,2481,1709,2577,1340,377,85,51,783,9407,1599,1283,3531,2217,808,185,95,794,10508,1744,1352,4657,3211,1196,315,161,969,13589,1935,1527,5506,3898,1433,368,223,1226,16115,2114,1460,5585,4136,1669,474,270,1334,17036,2043,1368,5481,4458,1860,517,271,1385,17379,1626,1245,5082,4179,1803,520,283,1264,16001,1196,939,4393,3646,1686,530,281,1191,13857,653,517,2569,2377,1332,479,296,866,9088,325,266,1092,1394,911,440,372,574,5374,179,153,622,688,578,291,251,327,3092,163,169,544,580,490,226,295,310,2766,38442,13902,42892,32578,14236,4442,2863,14454,163808
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SOSR299,120,13,0,0,0,0,0,50,178,297,29,13,3,0,0,0,112,453,279,43,15,5,3,3,0,104,450,161,32,28,20,3,0,3,92,345,78,23,27,17,7,7,4,78,253,69,23,27,22,11,4,7,67,229,43,14,23,27,11,5,3,48,170,47,21,36,15,10,3,0,47,177,31,9,47,32,15,9,3,41,188,24,13,35,32,8,3,3,35,169,22,11,34,32,18,0,3,17,141,6,0,18,9,10,10,0,17,62,5,3,6,8,4,0,0,4,32,0,0,4,3,0,0,3,3,16,3,0,6,6,0,4,5,9,28,1190,232,328,236,96,44,38,716,2883
SOSR301,58441,707,99,20,8,0,17,6161,65453,64521,5374,2293,537,127,11,46,6946,79853,51519,11680,7789,2749,825,231,126,6630,81552,31725,17406,17648,6350,2141,694,476,5506,81949,16770,12958,24168,10332,3439,1176,881,4208,73925,12690,11019,26843,12924,4326,1457,1220,3999,74479,11078,10127,26054,13241,4599,1519,1205,3936,71754,9452,8399,23458,13008,4677,1530,1150,3665,65336,7575,6890,20857,13100,5016,1557,1022,3386,59398,5886,5581,17987,11777,4808,1428,901,3105,51484,4502,4378,16148,11068,4636,1474,932,2854,45992,3136,2804,10635,8306,3795,1392,976,2309,33349,2150,1618,6179,5912,3553,1637,1230,2069,24345,1483,1175,3809,4017,2734,1393,1419,2035,18061,1779,1741,4458,4241,2914,1546,1618,4472,22766,282695,101854,208424,117584,47592,17042,13218,61278,849694
SOSR302,14486,120,19,4,3,0,3,1823,16459,14918,1193,428,80,10,0,12,1941,18581,11815,2908,1911,537,102,29,14,1919,19234,7050,4217,4428,1499,387,120,67,1578,19344,3866,3437,6412,2558,806,214,143,1348,18770,2949,3178,7408,3344,1094,265,167,1329,19739,2909,3120,7221,3398,1098,306,187,1373,19606,2570,2644,6537,3303,1160,292,160,1347,18006,2262,2249,6206,3543,1216,346,190,1323,17337,1817,1856,5712,3254,1143,312,149,1199,15435,1555,1631,5695,3321,1205,318,166,1164,15067,1154,1137,3991,2726,1081,344,165,938,11525,743,721,2332,1987,1029,382,240,804,8231,484,488,1450,1248,743,344,235,738,5740,588,807,1644,1314,779,387,325,1377,7214,69163,29697,61381,32112,11862,3657,2217,20202,230293
SOSR303,18253,268,37,6,7,3,4,2320,20893,16455,1813,798,188,36,10,10,2121,21423,12260,3632,2578,927,288,62,41,1890,21683,7131,4538,5414,2206,741,226,159,1717,22134,4039,3456,7060,3331,1208,382,273,1518,21268,3460,3303,8387,4269,1528,500,402,1537,23377,3482,3122,8341,4460,1570,518,411,1629,23536,3355,2832,7736,4559,1704,507,349,1548,22599,2891,2340,7390,4644,1823,530,309,1497,21436,2286,1950,6680,4404,1720,497,313,1410,19247,1851,1665,6418,4194,1646,521,294,1383,17970,1298,1100,4431,3443,1554,542,368,1144,13882,866,683,2598,2530,1523,611,468,977,10256,557,496,1511,1745,1186,556,510,937,7502,644,641,1715,1714,1149,602,607,1744,8821,78822,31831,71085,42627,17682,6071,4530,23392,276031
SOSR311,6468,158,28,4,6,0,0,787,7453,4892,943,463,137,19,7,3,653,7108,3600,1452,1328,494,132,44,22,586,7651,1885,1447,2186,995,328,115,61,459,7474,1070,964,2352,1359,527,185,121,438,7017,918,940,2529,1585,608,243,173,483,7468,921,951,2798,1649,673,239,193,557,7976,854,856,2778,1776,741,242,188,542,7979,817,747,2616,1909,799,279,150,562,7879,658,696,2447,1716,755,250,149,500,7163,682,608,2264,1705,756,243,134,532,6931,460,404,1747,1416,749,293,191,532,5782,368,290,1124,1066,759,343,289,450,4690,245,182,643,732,598,304,293,405,3407,271,271,668,657,507,282,351,677,3680,24111,10904,25956,17200,7938,3068,2311,8162,99652
SOSR312,1373,60,11,0,0,0,0,196,1639,1131,252,125,42,8,0,0,166,1721,806,377,397,155,47,11,0,145,1936,466,368,541,259,73,33,18,161,1919,227,242,528,330,136,45,42,118,1663,226,216,638,387,174,71,55,122,1885,189,214,608,389,169,61,49,119,1794,196,198,583,438,179,64,38,123,1813,148,175,538,408,176,50,38,116,1655,137,129,500,385,162,60,31,110,1517,120,100,445,331,169,59,31,113,1366,83,84,282,300,131,66,37,110,1093,56,58,171,221,136,66,65,74,849,36,38,114,119,121,64,72,70,636,49,58,131,119,102,65,87,68,677,5239,2569,5619,3888,1776,708,570,1814,22180
SOSR313,4026,119,18,10,0,0,4,569,4739,3027,711,368,101,20,7,3,412,4634,2164,969,896,358,103,31,11,405,4941,1237,975,1484,758,283,94,57,408,5289,700,634,1514,947,379,155,102,335,4768,606,643,1611,1033,470,192,131,337,5029,601,594,1717,1068,458,186,153,372,5162,603,583,1762,1146,529,182,125,401,5333,539,468,1714,1270,558,171,112,393,5221,499,439,1533,1208,522,171,106,349,4830,449,385,1590,1134,536,183,102,334,4711,338,272,1163,1001,544,181,152,345,3991,244,161,712,726,468,212,166,268,2955,168,123,409,483,390,178,211,290,2252,174,165,412,423,323,200,207,525,2436,15375,7253,16894,11662,5585,2138,1638,5746,66289
SOSR314,3942,92,14,0,0,0,0,624,4676,3084,561,263,52,12,4,3,471,4444,2457,980,847,324,104,23,11,571,5320,1283,889,1521,789,262,68,53,482,5355,688,608,1748,999,430,130,103,398,5092,596,610,1849,1165,443,158,129,464,5415,586,584,1890,1126,460,141,119,410,5319,570,510,1691,1142,470,185,114,431,5104,510,442,1591,1160,493,145,95,425,4856,442,389,1417,1097,453,147,85,410,4442,334,301,1299,1022,455,128,98,387,4024,266,233,900,815,443,161,120,311,3245,166,124,547,626,390,177,160,298,2495,130,112,299,363,299,168,176,212,1764,125,105,365,380,305,155,195,315,1953,15173,6540,16235,11070,5028,1792,1467,6200,63505
SOSR315,5816,185,25,6,0,3,4,1059,7102,4208,998,574,153,30,0,5,735,6704,2990,1321,1323,592,228,77,29,784,7352,1817,1298,2170,1207,460,179,121,667,7919,1035,928,2312,1430,636,243,207,527,7318,1009,906,2533,1619,699,297,288,600,7944,1019,977,2554,1692,739,283,259,670,8201,1014,888,2572,1738,776,318,228,655,8191,957,794,2543,1862,875,304,241,682,8244,834,755,2479,1760,887,299,194,655,7851,674,618,2425,1817,919,299,218,683,7646,447,409,1598,1392,807,290,230,512,5686,267,228,812,923,651,304,257,425,3876,174,139,439,523,380,232,257,334,2475,189,183,536,516,410,224,293,564,2912,22435,10631,24892,17235,8494,3359,2834,9547,99429
SOSR321,2261,73,7,0,0,0,0,459,2805,1418,370,214,47,16,3,4,279,2349,887,442,434,210,66,24,8,229,2305,586,421,794,418,159,70,41,213,2703,421,329,850,489,231,101,86,215,2710,419,378,1034,673,313,107,112,246,3286,473,409,1134,695,289,122,116,269,3497,474,394,1157,728,367,132,87,286,3634,429,359,1166,860,400,124,90,291,3718,407,287,1180,843,390,96,96,279,3578,265,286,1038,837,377,143,77,270,3284,184,176,672,584,323,147,76,238,2391,111,82,328,309,255,115,116,165,1487,41,53,142,188,171,84,92,96,875,53,48,116,146,129,86,104,113,800,8428,4111,10263,7025,3488,1360,1106,3647,39421
SOSR322,826,33,3,0,0,0,0,250,1117,581,188,86,30,7,0,0,153,1049,435,208,183,121,36,10,12,116,1119,252,174,282,166,74,30,27,93,1096,182,151,308,220,102,48,44,81,1141,177,150,387,230,115,62,63,116,1297,221,170,418,263,131,63,60,132,1472,225,186,504,348,157,48,56,151,1678,224,194,610,415,187,53,59,147,1879,181,134,513,415,190,44,45,144,1677,134,146,515,408,189,66,53,143,1649,77,84,297,317,182,67,63,121,1210,47,43,158,182,106,60,55,86,732,22,22,61,85,88,47,46,48,425,14,17,61,60,42,29,43,54,329,3609,1904,4393,3268,1617,646,617,1834,17874
SOSR331,10611,125,25,7,3,3,4,1778,12551,6704,877,406,84,23,3,6,1022,9128,4111,1557,1523,557,197,36,23,886,8893,2426,1818,3033,1647,558,151,80,929,10656,1662,1444,3845,2425,977,270,214,1004,11840,1733,1667,4996,3269,1389,407,286,1279,15013,2045,1675,5691,3626,1586,474,312,1433,16837,2098,1705,5684,3989,1736,560,335,1526,17636,1923,1505,5328,4251,1888,529,316,1506,17248,1465,1266,4802,3797,1759,562,307,1323,15269,1048,982,4092,3402,1725,550,330,1199,13326,634,596,2478,2346,1302,495,356,867,9071,360,316,1075,1238,901,437,335,552,5217,173,139,466,595,457,272,300,290,2692,131,153,376,403,352,210,258,261,2140,37122,15815,43835,31623,14850,4962,3440,15861,167514
SOSR379,4,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,3,0,0,5,8,0,0,0,3,14,0,0,4,0,0,0,0,0,3,3,0,3,3,4,0,0,4,12,0,0,0,3,0,0,0,0,9,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,18,18,5,3,0,9,81
SOSR399,157,0,0,0,0,0,0,33,203,412,17,15,4,3,0,0,118,576,436,23,21,7,7,0,0,138,627,198,33,32,9,11,0,3,83,374,78,31,45,22,15,3,3,65,261,70,33,35,28,6,5,5,68,256,66,39,59,33,14,9,7,72,298,87,32,104,60,20,12,7,84,393,91,56,166,112,48,12,14,100,592,53,47,207,154,64,14,10,91,639,42,35,175,129,56,16,5,82,539,20,20,60,65,38,14,9,33,254,5,6,29,23,18,3,8,29,118,4,5,3,9,3,0,0,0,34,3,3,0,7,0,0,0,10,18,1728,366,959,652,307,89,77,1006,5179
SOSR401,30905,284,56,12,4,0,4,3359,34631,33854,2298,948,183,38,3,14,3190,40535,27109,6258,3744,1086,295,77,49,2756,41372,16021,9972,9718,2980,855,304,185,2369,42406,8245,7195,13418,5021,1462,475,367,1891,38082,6285,6088,14699,6044,1850,611,465,1718,37760,6290,5876,15301,6965,2035,580,496,1901,39443,6240,5355,14938,7038,2304,679,482,1905,38944,5567,4876,14856,7374,2498,655,437,1967,38242,4536,4265,13809,6992,2285,637,356,1765,34637,3506,3461,13227,7067,2333,604,377,1810,32384,2177,2051,9406,6079,2181,669,417,1575,24555,1421,1326,5935,5157,2566,970,640,1396,19413,955,1101,3934,3881,2307,971,807,1356,15316,1479,1767,5101,4477,2642,1316,1123,2413,20318,154606,62183,139078,70364,25659,8542,6228,31377,498030
SOSR412,2049,37,9,0,0,0,0,233,2332,1624,268,153,29,7,0,3,169,2251,1062,453,440,132,49,17,6,136,2303,536,462,703,323,133,25,18,137,2329,289,289,705,437,132,66,21,105,2049,259,295,911,499,189,68,39,118,2376,298,324,1035,541,189,77,59,137,2661,301,318,957,552,199,68,45,172,2608,259,246,960,597,219,78,37,153,2548,169,185,829,515,215,41,35,121,2121,141,169,764,496,203,75,26,159,2033,115,106,547,471,223,75,45,140,1718,79,68,362,367,254,129,71,124,1462,46,44,218,238,165,110,90,112,1021,51,71,230,217,161,110,110,146,1094,7271,3338,8818,5422,2340,937,607,2173,30909
SOSR413,2591,35,5,0,0,0,0,364,3001,2105,314,157,20,5,0,0,231,2842,1436,522,450,162,62,10,13,182,2844,739,554,818,361,121,43,22,183,2838,433,389,1038,546,186,62,35,154,2854,395,421,1257,678,257,70,47,193,3324,462,430,1318,729,270,81,65,219,3568,409,360,1269,741,268,105,56,212,3424,391,410,1368,722,298,88,54,255,3589,406,369,1316,802,299,66,47,213,3520,344,335,1459,926,313,94,56,238,3766,229,233,984,792,342,118,75,208,2989,147,107,590,593,326,116,82,176,2131,94,84,317,384,288,140,121,161,1594,117,135,382,420,282,155,160,232,1875,10297,4697,12742,7883,3309,1152,842,3223,44145
SOSR414,532,5,0,0,0,0,0,65,607,383,42,29,3,0,0,0,22,486,284,117,110,24,6,0,0,39,595,154,117,204,80,19,7,6,33,622,95,85,206,126,35,12,3,14,578,105,92,236,129,48,9,6,29,660,86,79,283,150,49,15,14,44,718,107,94,247,148,60,20,7,32,708,113,80,321,171,60,20,3,46,830,111,95,369,203,64,14,10,51,905,115,77,462,239,69,17,7,63,1038,84,56,351,235,103,27,12,54,928,58,34,172,211,110,33,23,71,714,27,26,105,130,98,42,33,37,495,27,42,114,116,88,55,44,114,602,2291,1038,3215,1966,814,273,174,721,10485
SOSR415,2544,41,7,0,0,0,0,370,2961,1935,278,130,24,7,3,0,213,2595,1298,509,488,186,45,14,3,197,2742,762,591,934,428,127,40,24,164,3062,416,423,1054,663,200,65,36,160,3020,386,370,1210,715,248,88,41,194,3250,472,459,1328,775,294,75,56,210,3668,479,401,1333,814,271,101,50,236,3690,433,374,1376,910,294,89,55,276,3809,404,351,1431,893,348,78,37,223,3755,281,295,1481,1005,362,82,47,265,3833,229,182,1023,878,387,108,80,264,3138,150,147,564,649,420,163,103,220,2407,105,82,332,449,361,163,119,193,1806,165,142,475,489,385,178,184,445,2460,10055,4645,13162,8883,3749,1241,840,3624,46197
SOSR421,764,4,4,0,0,0,0,104,875,530,70,29,5,0,0,0,58,685,382,152,145,52,15,5,0,51,792,179,146,245,140,45,9,12,62,831,119,95,305,189,60,16,8,60,852,129,113,367,214,71,23,11,48,977,106,135,411,222,90,26,18,62,1067,148,125,427,285,104,24,16,67,1188,142,122,458,292,108,28,15,79,1249,114,96,469,288,115,26,22,91,1226,110,96,430,317,121,30,18,89,1219,58,54,289,282,116,40,17,63,924,35,29,133,198,113,61,37,45,645,25,15,70,135,105,44,65,59,514,44,40,123,137,119,51,54,144,716,2885,1292,3899,2757,1183,385,291,1081,13767
SOSR422,444,12,0,0,0,0,0,83,538,293,62,24,7,3,0,0,60,454,203,100,94,43,3,5,3,49,503,108,84,169,82,29,13,3,38,530,64,72,163,123,20,8,9,52,513,81,62,178,118,60,12,13,42,570,86,75,203,161,50,13,15,52,659,95,80,274,194,60,11,11,67,801,96,96,288,176,62,27,17,50,819,88,75,302,185,69,20,13,60,807,63,55,260,168,84,23,12,61,730,35,38,177,164,72,26,18,54,582,16,12,97,95,66,20,28,39,372,14,10,37,59,55,30,21,28,253,12,10,47,60,44,28,28,39,269,1701,850,2312,1639,689,254,187,778,8413
SOSR431,3530,27,6,0,0,0,3,584,4147,2243,205,102,15,4,0,4,254,2823,1343,426,407,158,37,10,7,205,2588,751,553,1014,510,155,38,23,220,3265,479,428,1275,864,285,62,47,236,3677,486,478,1702,1115,370,88,73,300,4604,630,537,1984,1367,481,114,73,374,5554,710,596,2059,1333,524,166,81,404,5881,697,506,2129,1443,599,153,92,437,6064,549,464,1942,1320,560,140,64,409,5464,351,348,1706,1157,479,135,73,324,4568,237,199,994,796,383,113,79,229,3035,98,95,426,457,297,112,86,144,1723,62,36,197,229,184,68,84,63,930,45,54,148,186,124,63,88,94,796,12203,4942,16084,10972,4480,1268,878,4286,55110
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,54,10,0,0,0,0,0,15,80,60,5,7,0,0,0,0,18,99,71,10,3,0,0,0,0,27,118,46,11,9,8,0,0,0,14,93,30,3,13,4,3,3,0,20,80,13,7,7,9,0,0,0,23,61,24,12,16,6,5,3,3,35,96,21,9,23,16,6,3,0,14,91,22,5,19,9,9,0,0,13,81,9,10,32,20,4,0,0,13,82,8,4,28,9,3,3,0,5,68,0,0,5,7,0,0,0,6,27,3,0,3,3,0,0,0,0,8,0,0,0,0,0,0,0,3,11,3,0,0,0,0,0,0,0,7,370,92,180,99,33,16,11,209,1016
SOSR501,50055,476,53,13,3,9,13,5821,56441,50920,4215,1597,312,71,15,27,5958,63114,46540,11055,6760,2097,539,128,75,6489,73681,29163,16901,16859,5466,1554,458,235,5604,76240,14269,12150,23087,9407,2642,757,504,4057,66868,10174,9641,25203,11640,3511,1075,751,3803,65802,9254,9028,25281,12033,3731,1093,797,3701,64915,8008,7470,22975,12296,4135,1135,788,3485,60288,6585,6204,20842,12460,4323,1197,677,3376,55658,5179,5302,18678,11567,4175,1059,669,3107,49730,3744,4051,16899,10573,3952,1093,613,2910,43837,2396,2447,10870,8257,3454,1040,660,2459,31584,1630,1602,6734,6679,3709,1329,944,2373,25003,1149,1111,4159,4602,3025,1330,1090,2237,18705,1257,1478,4466,4384,2944,1419,1389,4232,21571,240320,93144,204461,111781,41770,13145,9230,59603,773447
SOSR511,1950,42,3,0,0,0,0,249,2243,1325,241,117,30,8,0,3,160,1886,1096,483,397,125,39,15,0,183,2331,599,461,802,314,91,33,4,159,2459,308,344,888,443,160,45,17,151,2358,268,281,990,518,172,50,33,145,2465,249,312,996,557,213,52,39,171,2588,236,223,888,560,207,55,39,163,2363,188,200,898,591,248,72,43,172,2413,137,133,721,573,211,60,40,131,2006,129,122,705,486,220,51,26,145,1872,69,69,398,356,180,72,35,115,1299,45,50,242,272,194,76,43,111,1037,21,28,116,188,146,64,66,87,715,39,41,159,170,154,73,74,125,846,6666,3020,8321,5181,2232,720,462,2263,28863
SOSR512,3125,59,6,3,0,0,0,485,3689,2153,406,190,46,9,0,4,323,3119,1676,674,604,230,65,14,6,322,3598,1004,731,1082,560,173,34,39,321,3949,567,506,1264,690,275,90,65,252,3705,479,477,1403,825,319,98,87,304,4001,506,493,1443,892,345,107,74,283,4147,440,396,1278,895,370,110,73,308,3863,365,342,1244,894,408,136,83,336,3801,326,251,1149,851,323,93,66,253,3308,226,206,980,816,329,110,49,263,2977,145,144,691,566,301,103,62,211,2223,104,86,346,501,335,127,100,214,1823,70,56,243,327,267,140,111,169,1385,66,83,247,300,258,123,146,248,1473,11264,4915,12166,8396,3775,1289,959,4287,47056
SOSR513,1092,32,8,0,0,0,0,240,1375,1013,200,96,18,8,0,3,225,1565,1287,387,288,119,33,11,8,351,2496,873,488,600,258,101,38,16,353,2726,389,280,706,368,133,56,32,277,2247,276,221,682,343,139,45,41,209,1950,258,184,518,321,157,50,43,231,1757,205,165,505,322,151,56,38,229,1664,135,113,410,283,143,68,40,196,1386,90,99,289,221,98,31,31,127,994,44,38,181,156,88,31,18,92,652,41,23,106,111,57,26,19,65,444,13,17,49,62,53,17,37,40,286,7,9,30,40,38,20,29,31,198,16,10,18,29,35,13,24,49,194,5748,2262,4488,2666,1227,463,371,2714,19933
SOSR514,772,16,0,0,0,0,0,155,945,575,125,51,12,3,0,0,85,863,553,218,206,60,22,0,3,125,1192,416,269,356,165,51,17,5,104,1381,211,189,436,223,82,16,12,87,1265,129,175,511,255,90,22,16,112,1313,148,148,452,228,91,24,17,94,1197,101,120,331,221,90,37,25,81,1004,95,94,356,290,109,32,25,88,1095,94,86,358,233,90,34,11,76,979,51,58,351,227,93,32,16,94,924,48,46,183,195,89,30,16,71,673,27,16,100,113,57,27,15,58,417,20,10,54,65,59,28,25,72,334,8,16,50,63,53,26,26,131,366,3251,1583,3807,2336,982,322,222,1443,13950
SOSR515,1856,44,10,3,0,0,0,390,2306,1429,323,149,30,8,0,0,266,2212,1210,437,481,197,58,18,6,323,2740,756,533,817,434,153,32,20,343,3083,407,399,916,547,207,67,45,291,2882,363,331,918,539,232,83,79,271,2819,339,359,878,552,230,97,93,334,2873,352,272,835,594,260,101,68,297,2779,264,224,872,666,290,90,69,285,2760,210,207,769,580,265,109,62,259,2450,160,155,729,575,258,67,65,270,2281,94,75,447,401,235,87,69,180,1590,69,56,268,313,247,99,68,166,1278,60,33,151,191,178,89,73,150,915,59,43,162,175,136,93,97,163,923,7630,3493,8397,5797,2745,1029,808,3982,33880
