SOSR_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
SOSR302,4611,20688,17305,121438,2131,166177,36,96,67,921,16,1131,14540,408,645,1133,141,16876,1755,257,150,409,23,2587,4635,1177,790,1958,68,8622,67992,18525,14949,112868,2835,217174,4389,148,870,124,65,5598,2466,313,268,1176,59,4284,7325,1957,1546,14933,284,26057,1966,629,325,1443,49,4407,1541,215,101,279,26,2162,5789,238,156,157,39,6378,13785,4182,3161,39112,705,60942,6014,1765,985,5995,170,14934,3728,19,106,31,29,3911,695,198,94,422,8,1423,410,47,45,110,3,615,1126,346,218,784,26,2502,9859,828,551,220,149,11614,8765,2049,1538,494,105,12953,2396,318,246,767,40,3768,1737,165,148,350,16,2422,16758,4469,3502,29827,617,55172,1207,122,60,149,17,1548,3585,294,268,97,18,4261,2372,223,171,533,41,3343,641,66,42,43,6,796,621,115,35,61,9,839,1035,47,86,28,7,1201,2099,367,275,1377,41,4150,37680,4225,4192,5144,447,51680,1950,334,272,2625,37620,42803,182245,38031,31047,245377,43857,540559
SOSR303,3936,22919,19066,191452,3343,240716,34,246,82,3746,71,4178,5875,391,541,2313,97,9215,746,210,74,379,18,1419,5082,1369,983,2705,91,10230,54444,21267,16739,167876,3508,263840,5285,167,1159,242,81,6934,2158,359,288,1635,48,4491,7553,2753,2013,30898,505,43714,1105,498,228,1591,32,3459,871,203,92,280,19,1469,6209,209,137,229,44,6824,11064,5252,3973,64376,1007,85675,5288,2555,1187,12379,228,21629,1909,12,73,33,11,2030,227,111,65,348,0,748,98,31,15,44,0,189,662,331,177,903,23,2096,2732,504,391,304,41,3971,4780,1632,1259,604,59,8338,1741,361,233,1102,30,3470,766,136,138,433,15,1483,13779,5477,4208,48088,854,72414,237,58,27,79,8,403,2610,263,215,145,14,3247,1647,228,156,847,23,2898,881,77,43,92,4,1098,190,15,18,31,3,258,948,36,75,30,9,1099,1943,426,318,2087,55,4826,33173,4623,4877,11166,604,54443,1600,286,257,4329,44634,51098,142569,42639,34218,384655,52782,656870
SOSR311,1056,6929,5135,82381,1657,97155,9,76,18,1522,40,1663,1519,77,136,883,28,2646,142,33,19,99,9,299,1506,445,289,905,34,3178,13508,6379,4792,70625,1625,96925,2825,49,437,84,28,3419,424,73,52,524,26,1096,1920,869,648,13973,233,17635,172,104,31,409,11,726,218,49,13,79,7,365,1803,83,43,118,12,2058,2473,1455,1024,22685,343,27980,1190,629,215,3326,89,5450,268,8,22,8,0,300,31,25,9,69,0,137,15,9,0,14,0,41,680,280,151,1175,14,2293,832,188,156,133,12,1325,1051,485,347,240,12,2137,330,92,44,338,4,809,216,62,38,234,4,552,3415,1618,1238,18952,294,25520,65,18,6,27,0,121,921,87,52,34,12,1109,456,54,45,236,7,796,335,22,6,42,0,405,100,25,3,6,0,139,597,3,10,10,6,628,458,123,96,659,19,1351,6677,1161,941,4814,189,13787,417,126,108,2190,16026,18863,36881,12768,9454,160407,19639,239151
SOSR312,239,1702,1352,19964,372,23631,0,13,10,301,3,325,286,20,19,205,8,539,40,13,3,26,0,85,270,113,58,243,3,685,2968,1490,1115,16149,355,22076,844,11,135,24,18,1025,82,14,14,94,0,207,436,219,148,3506,62,4369,64,37,8,135,7,251,84,10,5,23,0,121,610,12,3,18,3,644,561,332,197,4860,87,6032,204,136,49,589,20,998,42,0,3,0,0,48,8,7,0,3,0,19,3,0,0,9,0,14,38,12,13,56,0,124,354,54,48,47,11,514,331,132,81,60,7,608,85,21,16,92,0,218,67,7,3,35,0,119,814,392,265,4117,85,5671,24,4,0,0,0,28,215,17,25,7,0,257,101,4,0,65,0,176,43,0,0,6,0,51,9,0,0,0,0,13,38,3,4,0,0,44,80,26,15,133,4,257,1692,249,225,872,27,3063,126,30,17,557,3653,4384,8640,2968,2241,37318,4463,55622
SOSR313,706,4840,3983,56822,985,67338,4,52,18,1282,31,1390,632,50,59,577,17,1337,108,24,9,75,3,218,1047,272,219,634,21,2181,9994,4512,3459,46014,1075,65049,1594,16,279,67,18,1989,318,60,50,347,10,787,1429,571,429,9254,156,11838,119,68,22,223,6,440,181,39,14,61,4,300,864,43,29,45,10,992,2026,1089,684,15509,264,19569,598,293,139,1663,22,2718,119,0,11,3,0,135,20,9,20,69,0,117,14,3,0,0,0,23,123,49,24,182,7,382,1021,151,124,71,15,1379,926,369,259,180,19,1749,272,67,32,278,8,656,136,28,12,76,3,257,2625,1151,787,12020,211,16798,43,8,7,15,0,75,562,59,38,25,3,691,271,40,24,177,0,512,143,10,11,16,0,171,40,0,10,8,0,55,119,6,23,3,5,155,318,108,54,458,16,951,4221,769,639,2085,117,7828,305,80,67,1630,11290,13368,24291,8709,6740,107279,13603,160616
SOSR314,840,4768,3885,54843,1230,65560,12,48,40,1216,33,1351,1119,72,80,618,18,1899,143,36,9,68,0,264,1008,297,196,577,23,2104,10302,4209,3223,40883,1072,59691,1258,20,186,52,37,1567,370,48,45,284,13,763,1398,545,431,8089,138,10600,213,90,29,312,6,654,142,44,19,67,8,282,1089,30,30,60,23,1233,2117,907,738,13711,273,17751,2028,643,263,3276,82,6290,368,0,7,5,3,386,38,9,6,44,0,102,17,11,0,8,0,28,154,64,52,262,3,539,799,123,122,120,17,1182,967,350,270,143,19,1749,311,80,46,225,8,667,126,28,25,78,6,259,2586,1065,828,10913,233,15626,37,8,3,11,0,62,638,56,63,49,3,809,321,76,16,263,7,679,125,4,8,15,0,162,53,17,3,4,0,78,228,9,15,3,8,274,340,89,60,393,10,897,5200,815,757,2438,173,9390,390,102,83,1468,12186,14231,27864,8705,6841,100390,14827,158624
SOSR315,1118,7567,5667,84924,1924,101199,8,88,35,10874,115,11118,985,89,89,863,33,2062,153,53,20,65,14,300,1637,459,312,872,38,3316,15989,6709,5130,63653,1755,93225,1684,39,327,113,47,2212,580,85,69,512,22,1274,2221,909,673,14104,294,18200,209,115,43,374,9,755,285,65,20,100,4,468,769,57,38,97,18,978,2962,1494,1041,20538,442,26470,2012,743,313,3740,110,6922,356,0,9,4,3,369,42,17,8,59,0,121,23,3,0,7,0,38,257,126,79,430,14,902,1147,189,158,138,22,1650,1410,537,402,225,20,2600,432,116,73,390,12,1025,161,38,33,161,7,399,4027,1756,1242,16729,338,24086,73,24,0,22,3,124,510,64,56,32,3,668,381,69,33,225,15,728,101,20,13,26,0,164,26,12,0,10,0,46,212,7,6,8,10,240,505,125,68,660,23,1375,5918,1157,1005,5816,240,14144,451,145,111,2613,19771,23092,36880,13573,10064,165633,24005,250156
SOSR321,400,2889,2162,33733,737,39919,8,42,19,5281,35,5386,210,19,35,293,11,569,60,17,6,23,0,102,726,183,140,301,8,1359,6425,2617,1960,25434,726,37173,423,8,121,31,9,594,181,42,32,207,4,465,925,351,248,5043,112,6683,58,33,28,164,0,282,102,24,8,30,4,162,194,13,4,47,0,258,1141,588,407,8337,176,10648,570,278,104,1297,34,2287,14,0,4,0,0,22,14,16,3,30,0,54,8,0,0,3,0,14,137,59,34,208,3,442,320,78,40,39,5,480,457,181,150,74,13,877,175,34,30,151,6,399,79,18,12,40,3,146,1596,676,506,6816,156,9749,30,3,4,4,0,38,194,20,14,6,3,234,112,29,14,106,0,257,23,4,4,11,0,44,14,0,0,0,0,14,35,3,3,0,0,43,199,45,28,243,7,531,2128,506,373,3109,82,6195,186,67,33,1081,7336,8708,13535,5261,3852,67259,8961,98873
SOSR322,178,1095,784,14599,381,17035,4,19,18,1902,18,1969,56,17,16,155,4,238,39,4,0,8,0,60,251,66,50,119,11,491,2316,1074,698,11288,315,15688,172,10,34,14,5,239,83,7,6,95,4,195,395,132,108,2421,58,3112,30,18,3,71,0,124,32,11,3,13,0,66,68,4,7,11,0,86,438,206,162,3608,78,4498,398,147,60,802,22,1431,11,0,3,0,0,8,3,0,0,9,0,19,3,0,0,3,0,5,70,27,16,100,3,207,144,17,20,12,8,198,172,57,44,27,4,312,60,16,12,57,5,154,35,6,7,25,0,75,571,308,192,2995,72,4139,7,0,3,0,0,10,76,8,3,6,0,88,36,14,3,49,0,95,4,0,0,0,0,6,3,0,0,3,0,3,6,3,0,4,0,13,64,17,5,96,3,185,863,259,212,3851,100,5280,77,28,36,525,3321,3982,5339,2186,1544,31427,4187,44685
SOSR331,1864,12192,9883,152798,3106,179837,4,71,36,1873,42,2030,1325,136,160,1142,51,2813,412,85,31,176,8,711,3353,932,646,1628,70,6631,26767,11306,9125,118976,2893,169066,1386,22,332,74,38,1859,1001,155,116,823,23,2121,4203,1649,1234,27796,566,35440,383,176,70,610,15,1249,388,115,37,127,14,678,831,72,69,115,7,1101,5006,2515,1914,39116,748,49298,3618,1527,705,7550,198,13600,201,6,6,24,0,248,87,39,12,140,0,276,35,11,4,14,0,69,803,315,199,1355,25,2706,1104,205,172,131,27,1637,2106,739,621,378,40,3888,777,177,132,623,21,1724,379,81,85,281,10,828,6425,2916,2241,33314,679,45577,111,27,14,23,0,179,1197,109,106,75,6,1491,557,113,86,499,21,1276,137,17,15,45,0,212,68,4,8,17,0,100,415,9,19,9,6,464,862,224,169,1169,31,2449,8999,1838,1652,5753,240,18492,663,249,210,4500,35702,41322,59557,22676,17832,288346,42351,430761
SOSR379,0,3,0,31,0,33,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,4,15,3,7,36,0,61,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,5,0,9,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,16,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,12,0,0,0,0,18,19,49,3,4,75,19,150
SOSR399,60,362,215,3075,64,3784,0,7,3,82,5,90,221,5,8,36,9,279,10,4,0,4,0,17,139,31,15,24,4,215,1303,281,189,2144,73,4000,54,0,11,6,0,71,97,8,4,32,3,140,196,24,21,379,13,620,13,11,4,24,3,53,7,3,3,0,0,16,79,3,0,5,0,80,273,59,47,728,22,1123,139,35,9,91,0,270,38,0,0,0,0,45,3,3,0,3,0,5,3,0,0,0,0,3,17,3,0,10,0,26,90,6,12,5,3,106,101,22,18,11,3,152,37,7,6,16,0,71,14,0,0,4,0,17,294,88,58,623,19,1085,6,0,0,0,0,7,26,3,0,0,0,33,42,3,0,12,0,57,14,0,0,0,0,12,4,0,0,0,0,3,32,0,0,0,0,32,49,4,4,41,0,106,689,54,31,125,28,930,48,3,7,88,2462,2603,3384,603,387,5483,2658,12510
SOSR401,9979,40775,29675,264220,5224,349870,40,236,104,2849,92,3324,45844,781,1217,1274,321,49435,4303,666,348,1343,49,6706,8564,2749,1739,4259,127,17442,106521,40670,31462,238259,5778,422682,10764,271,1325,246,138,12744,2388,456,329,2195,52,5421,14351,5708,3850,50857,885,75657,18892,3504,1542,9667,335,33937,2839,542,223,860,51,4514,29598,533,391,368,179,31073,17642,7345,4978,62362,1132,93466,40137,9319,3945,27913,1006,82322,3755,48,152,146,26,4127,2734,641,317,1014,44,4752,925,126,90,319,15,1469,2655,736,436,1711,69,5607,1091,362,216,218,40,1923,2464,1169,744,435,35,4853,9791,1415,911,3219,154,15486,3880,337,300,761,41,5317,22434,8592,6640,55176,1063,93906,4236,399,225,509,55,5431,2840,324,299,139,23,3627,3105,305,234,698,44,4386,3096,148,126,75,20,3471,766,95,38,65,12,974,17534,513,521,260,175,18993,4196,891,616,2929,85,8712,94022,7748,5675,11005,1150,119603,3994,467,412,4983,51530,61389,428557,81364,57931,531658,66125,1165632
SOSR412,390,2593,1992,24518,590,30083,7,18,11,302,4,343,261,15,29,106,6,412,174,24,6,82,7,290,762,227,152,440,14,1601,7240,2515,2184,20172,603,32714,506,29,80,17,10,638,109,24,18,151,9,304,823,357,289,4642,80,6184,240,65,25,221,5,567,91,27,15,34,4,158,288,18,6,10,6,324,1079,400,330,4787,89,6680,787,247,119,986,38,2182,29,0,4,0,0,42,11,12,4,34,3,62,14,0,3,5,0,19,86,30,26,75,3,225,110,43,22,37,0,203,137,76,44,35,5,297,251,65,34,182,5,533,75,16,18,26,0,131,1912,575,460,4571,106,7629,43,6,5,17,3,67,186,13,10,3,0,215,156,26,18,65,5,265,42,3,3,4,0,58,4,3,0,0,0,7,63,12,4,3,0,88,263,71,56,193,4,584,1978,270,156,569,38,3017,174,30,29,623,3751,4599,15201,4584,3584,45670,5081,74124
SOSR413,524,3276,2414,35541,785,42536,3,32,10,824,9,873,844,51,40,124,4,1060,197,62,26,127,3,411,872,245,183,498,15,1817,7908,3322,2533,30455,768,44986,755,12,85,16,9,882,191,45,35,259,6,534,1195,632,382,7965,129,10307,230,77,50,314,13,689,84,34,11,44,4,180,484,23,14,20,3,543,1093,546,384,6742,99,8867,1071,372,166,1511,44,3170,46,0,10,8,0,65,40,27,3,39,0,112,8,0,0,6,0,26,94,28,17,101,0,238,181,38,25,15,9,267,151,130,58,52,6,398,292,93,55,265,8,711,121,25,15,42,0,208,1402,700,530,6693,119,9437,51,8,7,22,0,82,236,24,35,9,3,300,118,13,15,72,3,218,80,12,9,9,8,113,53,8,4,8,3,72,187,13,9,6,4,220,298,76,42,291,7,715,2417,483,327,1024,35,4294,214,43,45,864,6411,7583,17704,6114,4446,68196,8067,104523
SOSR414,101,697,540,7854,217,9402,0,3,0,48,0,51,100,0,5,15,0,127,9,3,0,5,0,25,215,50,50,93,4,417,2158,750,554,6922,177,10561,176,3,19,3,3,200,32,3,3,52,3,97,294,126,93,2487,51,3050,20,16,0,30,0,70,23,3,3,5,0,39,35,4,3,0,0,46,283,124,75,1385,24,1896,105,59,33,219,9,420,23,0,0,3,0,26,3,3,0,11,0,14,3,0,0,0,0,3,18,11,0,24,0,56,85,6,15,8,3,119,54,13,16,4,0,89,74,3,12,40,0,134,14,0,3,13,0,30,360,170,130,1739,28,2421,8,0,0,0,0,18,23,0,3,0,0,25,25,3,0,12,0,39,3,0,0,0,0,3,3,0,0,0,0,4,38,3,0,4,0,45,83,10,5,64,0,170,755,80,60,179,15,1087,42,26,6,196,1174,1448,4352,1296,955,15758,1601,23967
SOSR415,509,3321,2596,38836,1020,46280,6,20,3,472,6,508,310,11,34,111,4,471,142,31,13,70,3,263,862,251,184,520,24,1841,8519,3292,2754,31182,837,46586,543,6,93,18,5,668,186,28,23,198,6,438,1203,567,422,9897,205,12296,578,114,58,367,33,1145,140,42,9,70,8,269,440,20,33,24,10,527,1119,483,318,6461,170,8548,883,355,160,1308,44,2740,55,0,4,3,0,61,37,12,3,42,0,95,9,0,0,6,0,15,80,27,22,124,9,262,156,34,25,25,6,242,226,78,76,45,5,430,276,69,26,267,12,652,76,15,12,29,0,135,1608,660,535,6502,139,9445,62,10,4,20,0,100,188,20,21,14,0,235,110,16,5,50,4,184,90,6,7,10,3,106,36,3,0,0,0,41,141,8,9,6,0,168,279,72,43,276,8,675,2156,430,304,893,48,3835,193,40,55,1039,6217,7537,17612,5951,4616,72842,8290,109309
SOSR421,151,926,726,12262,250,14311,0,9,0,80,9,94,110,4,5,20,0,145,38,13,4,21,0,81,294,71,58,143,3,569,2619,958,831,9789,285,14479,138,3,22,0,3,164,35,15,7,67,0,117,314,154,103,2781,60,3417,65,15,11,76,4,171,38,12,4,10,0,63,75,3,0,15,0,94,315,163,96,1973,47,2602,188,89,40,314,15,645,3,0,3,0,0,7,12,3,3,29,0,44,3,4,0,3,0,16,15,17,8,26,0,67,22,8,15,11,0,57,45,28,28,11,0,109,75,20,14,90,3,205,25,3,0,21,0,53,436,179,153,2075,42,2891,12,3,0,0,0,12,50,4,4,6,0,60,20,3,4,23,5,48,10,5,0,0,0,13,9,3,0,0,0,15,76,7,0,0,3,89,85,30,16,98,0,231,501,107,58,242,10,925,53,18,17,332,1893,2311,4859,1708,1315,22633,2452,32967
SOSR422,86,538,416,7005,165,8212,0,5,0,1554,25,1585,25,0,0,23,0,50,32,7,0,10,0,53,182,50,21,72,3,320,1408,555,463,5782,125,8331,40,3,6,5,0,57,24,0,4,33,0,63,203,88,74,1637,35,2043,25,14,4,29,0,75,35,13,0,19,0,69,43,7,0,14,0,63,188,88,59,1216,11,1569,102,50,9,189,0,350,3,0,0,0,0,3,4,0,0,7,0,10,0,0,0,0,0,3,23,5,0,9,0,39,44,3,9,6,0,69,27,15,8,9,0,52,65,14,11,30,0,120,16,3,0,3,0,30,276,128,97,1268,20,1791,21,3,0,6,0,29,20,8,0,0,0,31,13,4,0,11,0,30,4,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,7,51,9,14,52,0,134,292,95,50,161,16,611,30,5,11,144,1228,1416,2729,1013,758,14643,1559,20698
SOSR431,579,3923,3187,50127,1019,58835,3,9,12,1296,19,1343,303,23,33,136,7,500,181,34,17,108,9,348,1252,321,248,599,30,2441,9974,3633,3282,40250,933,58075,360,10,111,22,16,515,204,34,45,292,3,580,1558,659,546,13774,256,16796,864,91,55,470,27,1512,194,45,9,72,6,321,277,32,14,35,3,361,1389,559,390,8087,164,10591,1675,467,172,1742,50,4118,31,0,6,7,3,50,61,17,9,53,0,133,22,6,3,9,0,38,117,43,40,107,0,313,169,28,35,29,4,267,290,127,86,44,10,558,384,90,59,307,18,859,174,17,12,47,5,257,1976,764,633,9146,189,12712,78,11,8,11,0,114,163,22,15,5,0,208,117,16,7,80,5,227,27,3,5,7,0,45,58,9,6,11,0,83,625,3,23,4,11,670,322,81,80,388,7,879,2618,527,445,1209,71,4863,192,59,53,1196,9379,10888,21824,6900,5691,96567,11585,142568
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3
SOSR499,25,79,58,653,33,843,0,0,0,44,0,44,62,0,0,3,0,67,3,0,0,4,0,3,30,6,4,7,0,43,226,97,67,525,21,937,20,3,0,0,0,22,12,0,4,6,0,17,46,16,3,107,3,176,8,5,0,11,0,27,3,0,0,0,0,7,35,0,0,0,4,36,60,16,17,124,4,215,23,8,0,21,3,59,12,0,0,0,0,12,3,0,0,0,0,3,0,0,0,0,0,0,4,4,0,0,0,13,11,0,0,0,0,12,12,0,0,3,0,16,9,3,0,12,0,22,9,0,0,0,0,9,48,12,15,113,9,198,3,0,0,0,0,3,3,0,0,0,0,3,7,0,0,0,0,12,3,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,16,7,0,0,6,0,14,155,19,10,34,8,214,9,0,0,34,564,610,706,166,110,1252,631,2863
SOSR501,20013,81504,64204,351375,7029,524128,101,326,188,3773,78,4470,90819,1842,3005,2390,663,98722,8359,1919,974,4913,141,16304,19649,4853,3175,7580,262,35511,278096,73614,58211,274096,8272,692283,25591,337,1760,205,239,28129,8867,830,670,2229,110,12711,21665,4814,3793,22192,597,53058,6051,1877,919,4289,156,13295,2839,434,292,597,35,4203,60137,1660,1211,1192,358,64562,62849,14772,10806,82189,1826,172440,43334,13101,6233,36824,1090,100583,7228,90,244,76,42,7675,1922,351,218,342,30,2864,5941,866,531,1682,80,9106,1836,597,313,971,46,3761,17118,1441,984,428,288,20261,15460,4496,2933,1011,214,24119,11126,1494,1190,2936,152,16900,3802,293,369,590,32,5091,63984,15926,12179,67579,1608,161281,5089,378,251,325,59,6098,21221,1388,1262,357,147,24381,7161,559,477,1411,79,9682,6603,378,242,181,32,7440,1884,179,110,84,18,2272,19326,312,603,187,147,20581,10914,1696,1199,3684,152,17646,190560,14049,13320,14500,2066,234499,7960,934,758,5605,109218,124479,862518,143679,111209,627546,129620,1874578
SOSR511,447,3154,2372,20942,368,27294,3,22,6,220,0,255,578,22,31,57,10,688,82,26,10,74,0,191,811,198,145,350,14,1517,7981,3107,2467,17037,474,31064,812,4,73,7,7,911,159,35,15,122,4,334,639,184,157,1278,36,2296,88,55,17,196,8,364,34,14,4,21,0,76,608,19,19,28,10,682,1629,537,452,4416,81,7111,1068,485,220,2198,44,4013,179,3,8,3,0,196,60,0,3,4,0,69,14,4,0,22,0,48,22,10,4,25,0,66,949,100,59,27,29,1164,542,225,112,55,17,943,320,65,52,189,0,619,99,9,17,29,0,151,1766,600,560,3784,77,6787,33,3,0,9,0,45,803,34,48,8,3,899,142,17,14,74,0,248,69,4,9,6,0,89,8,3,0,5,0,23,80,10,5,0,0,92,273,65,47,209,6,607,2594,363,361,591,39,3944,199,38,47,405,4658,5347,18383,5493,4254,37359,5607,71090
SOSR512,814,4844,3805,36293,717,46467,8,47,25,1045,30,1157,748,33,75,149,16,1017,143,50,19,168,0,384,1211,329,223,682,18,2459,11847,4624,3708,28086,767,49031,1768,30,183,27,20,2028,305,37,37,179,5,561,1092,324,276,2310,57,4066,87,51,15,170,0,325,78,23,12,31,3,146,1002,36,31,65,9,1139,2168,852,595,7260,125,10992,1057,485,200,2356,55,4147,63,8,19,4,0,89,12,3,3,7,5,35,50,14,13,43,0,119,53,38,14,53,0,158,1263,125,101,73,38,1596,877,327,196,113,22,1539,380,83,47,238,9,761,129,16,18,45,3,208,2755,1026,716,6141,141,10780,31,3,8,13,3,56,851,68,56,23,9,1018,176,29,16,111,10,341,111,5,5,3,0,128,38,5,3,6,0,56,223,0,8,8,0,252,392,104,62,316,3,878,4446,621,589,1268,62,6988,311,78,52,777,8989,10195,27537,8484,6468,63415,10650,116554
