SOSR_CODE_2016,Canada_Before_1946,Canada_1946_1955,Canada_1956_1965,Canada_1966_1975,Canada_1976_1985,Canada_1986_1995,Canada_1996_2005,Canada_2006_2010,Canada_2011,Canada_2012,Canada_2013,Canada_2014,Canada_2015,Canada_2016,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1946,China_exc_SARs_Taiwan_46_55,China_exc_SARs_Taiwan_56_65,China_exc_SARs_Taiwan_66_75,China_exc_SARs_Taiwan_76_85,China_exc_SARs_Taiwan_86_95,China_exc_SARs_Taiwan_96_05,China_exc_SARs_Taiwan_06_10,China_exc_SARs_Taiwan_2011,China_exc_SARs_Taiwan_2012,China_exc_SARs_Taiwan_2013,China_exc_SARs_Taiwan_2014,China_exc_SARs_Taiwan_2015,China_exc_SARs_Taiwan_2016,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1946,Croatia_1946_1955,Croatia_1956_1965,Croatia_1966_1975,Croatia_1976_1985,Croatia_1986_1995,Croatia_1996_2005,Croatia_2006_2010,Croatia_2011,Croatia_2012,Croatia_2013,Croatia_2014,Croatia_2015,Croatia_2016,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1946,Egypt_1946_1955,Egypt_1956_1965,Egypt_1966_1975,Egypt_1976_1985,Egypt_1986_1995,Egypt_1996_2005,Egypt_2006_2010,Egypt_2011,Egypt_2012,Egypt_2013,Egypt_2014,Egypt_2015,Egypt_2016,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1946,Fiji_1946_1955,Fiji_1956_1965,Fiji_1966_1975,Fiji_1976_1985,Fiji_1986_1995,Fiji_1996_2005,Fiji_2006_2010,Fiji_2011,Fiji_2012,Fiji_2013,Fiji_2014,Fiji_2015,Fiji_2016,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1946,Germany_1946_1955,Germany_1956_1965,Germany_1966_1975,Germany_1976_1985,Germany_1986_1995,Germany_1996_2005,Germany_2006_2010,Germany_2011,Germany_2012,Germany_2013,Germany_2014,Germany_2015,Germany_2016,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1946,Greece_1946_1955,Greece_1956_1965,Greece_1966_1975,Greece_1976_1985,Greece_1986_1995,Greece_1996_2005,Greece_2006_2010,Greece_2011,Greece_2012,Greece_2013,Greece_2014,Greece_2015,Greece_2016,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1946,Hng_Kng_SAR_China_1946_1955,Hng_Kng_SAR_China_1956_1965,Hng_Kng_SAR_China_1966_1975,Hng_Kng_SAR_China_1976_1985,Hng_Kng_SAR_China_1986_1995,Hng_Kng_SAR_China_1996_2005,Hng_Kng_SAR_China_2006_2010,Hong_Kong_SAR_China_2011,Hong_Kong_SAR_China_2012,Hong_Kong_SAR_China_2013,Hong_Kong_SAR_China_2014,Hong_Kong_SAR_China_2015,Hong_Kong_SAR_China_2016,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1946,India_1946_1955,India_1956_1965,India_1966_1975,India_1976_1985,India_1986_1995,India_1996_2005,India_2006_2010,India_2011,India_2012,India_2013,India_2014,India_2015,India_2016,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1946,Indonesia_1946_1955,Indonesia_1956_1965,Indonesia_1966_1975,Indonesia_1976_1985,Indonesia_1986_1995,Indonesia_1996_2005,Indonesia_2006_2010,Indonesia_2011,Indonesia_2012,Indonesia_2013,Indonesia_2014,Indonesia_2015,Indonesia_2016,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1946,Iran_1946_1955,Iran_1956_1965,Iran_1966_1975,Iran_1976_1985,Iran_1986_1995,Iran_1996_2005,Iran_2006_2010,Iran_2011,Iran_2012,Iran_2013,Iran_2014,Iran_2015,Iran_2016,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1946,Iraq_1946_1955,Iraq_1956_1965,Iraq_1966_1975,Iraq_1976_1985,Iraq_1986_1995,Iraq_1996_2005,Iraq_2006_2010,Iraq_2011,Iraq_2012,Iraq_2013,Iraq_2014,Iraq_2015,Iraq_2016,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1946,Ireland_1946_1955,Ireland_1956_1965,Ireland_1966_1975,Ireland_1976_1985,Ireland_1986_1995,Ireland_1996_2005,Ireland_2006_2010
SOSR101,15,60,268,874,877,1124,1785,1230,295,295,377,455,474,354,265,8745,163,806,1826,1569,5864,36902,53229,44063,8277,9622,11065,14051,16135,9356,9285,222217,23,239,2441,5321,510,1334,1855,122,24,34,43,48,39,20,400,12462,20,943,1982,3506,1123,3516,2172,1758,308,420,568,361,416,228,620,17942,42,65,269,940,3303,10473,8605,3368,599,526,585,529,403,251,901,30863,156,3253,2219,1707,1288,1113,2196,1608,330,365,357,414,458,331,556,16352,92,2289,11352,7735,1086,661,515,255,168,353,251,214,180,72,1183,26417,53,119,523,1884,6658,14861,7324,2803,621,809,916,1015,1037,552,984,40158,32,289,427,3254,2979,10898,25834,35595,4592,5773,7504,9820,10579,7661,3507,128742,16,160,237,812,2527,4445,8770,4793,1021,1053,1133,1470,1461,809,754,29445,5,18,51,734,1755,3569,3681,3427,1376,1767,2560,725,916,361,534,21476,4,16,83,1077,1206,4547,11790,7807,1946,1673,3389,1929,1481,1266,784,39001,39,220,671,2026,1092,2489,2873,3253
SOSR102,4,20,71,218,188,201,360,281,68,73,44,43,50,20,42,1689,12,68,135,46,176,490,1056,1297,275,383,511,794,992,479,388,7107,0,40,467,650,71,89,279,21,3,3,4,0,5,0,68,1697,0,102,140,166,41,64,50,80,23,14,23,24,14,14,28,780,7,15,43,102,148,272,177,115,24,22,24,19,13,21,36,1035,10,1672,1167,447,245,210,285,193,38,35,33,36,19,16,190,4593,7,316,743,409,67,33,21,12,4,21,4,13,6,3,91,1746,17,6,35,75,145,181,126,96,21,16,26,55,46,34,49,914,5,75,71,328,154,263,656,1618,281,456,389,441,418,352,167,5677,8,46,47,41,86,121,257,172,39,33,42,54,77,53,35,1107,0,3,3,20,51,76,93,156,71,93,116,48,75,51,12,873,0,0,5,19,14,30,70,80,21,50,123,115,33,88,31,664,6,61,210,514,196,350,296,278
SOSR111,0,0,7,20,10,16,24,20,8,0,8,6,0,3,5,131,0,3,0,8,8,37,54,93,13,18,11,19,16,14,13,310,0,3,10,41,3,0,0,0,0,0,0,0,0,0,9,68,0,3,11,5,0,0,4,13,0,0,6,0,4,0,0,53,0,0,3,6,13,25,23,19,9,0,3,3,0,0,3,112,0,252,123,41,18,18,14,11,6,6,0,0,3,3,14,518,0,30,31,10,3,4,0,0,0,0,0,0,0,0,3,77,0,0,0,13,17,24,4,3,3,0,3,8,0,0,5,83,0,9,0,14,10,32,107,435,52,68,63,59,53,31,25,959,0,8,3,0,0,3,10,12,3,4,0,0,0,3,3,55,0,0,0,3,5,4,3,3,0,5,0,4,3,0,0,33,0,0,0,0,0,4,4,5,0,3,0,0,0,0,0,14,0,4,17,29,9,19,15,20
SOSR112,0,9,37,111,87,83,138,87,16,16,12,24,22,8,21,661,9,16,58,28,70,163,268,377,69,69,73,91,141,92,118,1641,3,9,63,98,0,10,13,0,0,0,0,0,0,0,14,215,0,38,44,37,6,28,60,48,17,24,13,3,10,7,23,355,7,9,19,30,55,123,82,48,7,24,20,20,18,7,21,499,3,477,319,186,170,119,101,63,11,10,7,15,15,4,66,1580,0,48,86,63,16,6,6,3,0,4,3,8,0,0,18,272,3,11,10,47,59,72,50,25,4,6,10,12,22,6,34,380,3,37,42,100,56,95,263,998,142,327,263,236,215,126,86,2986,4,30,23,11,24,27,69,43,13,12,8,14,29,28,21,356,0,0,0,3,22,20,44,29,18,41,48,39,30,10,20,319,0,0,3,9,3,19,36,30,6,13,31,30,18,0,19,222,6,21,61,153,63,87,94,102
SOSR113,3,8,11,57,39,30,50,31,11,16,6,8,12,3,9,289,0,12,17,13,21,84,84,122,32,20,14,19,18,26,42,525,0,3,99,93,12,16,10,0,0,0,0,0,0,0,12,249,0,25,25,15,4,6,12,10,3,5,3,3,0,6,3,129,6,13,14,20,41,74,62,68,10,15,17,15,3,7,20,390,7,346,271,115,45,38,45,19,4,6,3,7,3,3,37,955,0,28,67,43,11,3,10,0,3,0,3,0,0,0,14,179,3,3,4,23,19,34,22,13,0,4,8,7,11,0,19,157,3,25,19,45,29,61,245,577,67,123,109,100,90,60,88,1643,0,14,18,12,7,10,22,20,6,3,8,3,4,5,7,137,0,0,0,3,0,9,12,11,0,6,6,0,3,0,0,59,0,0,0,4,0,3,9,8,0,0,0,3,0,0,0,30,3,8,47,114,28,58,36,56
SOSR114,7,8,13,46,37,36,65,61,9,18,12,7,21,3,18,357,8,18,14,5,25,61,71,82,16,30,14,34,42,51,41,507,0,9,36,46,0,0,3,0,0,0,0,0,0,0,4,102,0,21,19,14,0,0,0,9,0,0,0,0,0,0,0,58,4,4,12,16,28,37,18,50,13,8,12,11,0,3,11,217,5,277,197,88,69,66,51,45,8,8,0,5,4,3,32,862,0,20,46,22,11,0,6,3,0,0,0,0,0,0,7,109,5,4,3,13,22,14,17,3,3,0,4,6,10,9,11,128,4,13,13,38,32,36,74,215,26,34,49,51,26,8,24,645,0,20,8,11,5,15,14,29,3,19,5,4,8,3,7,149,0,0,0,3,3,9,8,6,0,3,7,0,0,0,0,40,0,0,0,6,0,0,3,14,3,0,0,0,0,0,0,23,0,8,36,77,20,37,41,34
SOSR115,3,5,30,67,53,47,69,61,15,15,5,16,14,7,19,425,7,18,20,14,41,100,118,126,23,14,20,23,35,22,45,629,0,10,68,147,5,17,8,3,0,0,0,0,0,0,11,273,0,37,30,30,3,9,7,21,3,6,0,0,0,0,3,138,5,6,14,30,31,59,39,20,8,12,8,10,6,8,19,273,4,515,351,181,123,113,93,53,3,12,7,6,10,5,68,1538,0,34,94,52,3,6,3,0,0,0,0,3,0,0,5,202,7,3,11,15,32,26,17,12,3,3,3,9,14,7,15,166,4,42,34,103,47,81,130,483,64,80,99,107,66,64,69,1475,0,19,20,13,16,12,30,17,0,14,12,10,3,3,3,175,0,0,0,3,5,5,9,15,0,6,0,0,0,3,0,50,0,0,0,5,3,3,11,7,3,0,0,0,0,0,0,40,0,23,60,135,74,96,71,74
SOSR121,0,4,7,17,15,12,39,22,7,0,11,0,0,3,4,138,0,3,6,3,0,14,20,18,3,3,3,4,6,7,3,106,0,3,14,17,0,0,0,0,0,0,0,0,0,0,0,46,0,8,8,5,0,0,0,3,0,3,0,0,0,0,0,40,0,5,5,0,3,15,8,4,0,5,0,0,0,0,3,54,0,115,82,53,41,24,25,18,3,3,8,3,0,3,6,377,0,3,18,14,0,3,0,0,0,3,0,0,0,0,0,48,0,3,6,6,7,4,4,0,0,0,0,0,10,0,0,37,0,4,7,22,4,16,29,45,3,5,11,8,11,3,4,178,0,5,4,10,3,7,6,0,3,0,3,0,4,0,0,38,0,0,0,0,0,4,0,0,0,3,0,4,0,0,0,14,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,15,0,4,10,42,16,22,20,14
SOSR122,0,0,4,17,14,14,14,5,0,4,0,0,0,0,3,78,3,3,7,0,6,3,13,11,3,3,3,6,3,0,9,71,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,27,0,3,4,3,0,0,0,3,0,0,0,0,0,0,0,18,0,0,0,3,0,8,11,3,0,3,0,0,0,0,3,30,0,79,72,45,22,14,14,3,3,0,0,4,0,0,5,263,0,5,4,3,0,0,0,0,0,0,0,0,0,0,0,22,0,0,4,5,3,4,4,0,0,0,0,0,3,0,4,29,0,7,4,10,0,5,16,16,0,4,0,7,5,3,3,84,0,0,4,4,0,0,6,9,3,0,0,0,0,0,0,34,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,19,8,13,10,9
SOSR131,0,7,45,155,107,104,137,73,17,14,20,11,10,11,37,744,0,33,66,17,70,213,208,203,27,35,35,55,38,31,106,1143,0,25,134,242,25,27,16,0,0,0,0,0,0,0,19,490,0,42,39,48,11,26,13,3,0,0,0,0,0,0,7,200,3,6,30,48,40,122,63,24,6,3,0,11,3,0,28,389,4,616,456,329,267,216,214,109,16,23,20,23,23,11,97,2419,0,54,158,109,17,6,8,4,4,0,0,0,0,0,24,383,4,7,21,42,39,35,34,15,8,3,10,3,3,0,24,239,5,29,49,146,74,124,138,152,17,35,45,28,20,14,67,928,0,27,36,26,16,30,41,25,3,14,9,4,7,0,11,250,0,0,0,21,15,49,29,11,0,0,3,0,0,0,8,151,0,0,7,45,32,38,47,0,3,0,13,10,0,0,24,216,4,21,77,216,102,164,107,79
