SOSR_CODE_2016,A25_34_SOLSE_T_06_10,A25_34_SOLSE_T_11,A25_34_SOLSE_T_12,A25_34_SOLSE_T_13,A25_34_SOLSE_T_14,A25_34_SOLSE_T_15,A25_34_SOLSE_T_16,A25_34_SOLSE_T_YNS,A25_34_SOLSE_T_T,A25_34_L_PinE_NS_B00,A25_34_L_PinE_NS_00_05,A25_34_L_PinE_NS_06_10,A25_34_L_PinE_NS_11,A25_34_L_PinE_NS_12,A25_34_L_PinE_NS_13,A25_34_L_PinE_NS_14,A25_34_L_PinE_NS_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B00,A25_34_T_00_05,A25_34_T_06_10,A25_34_T_11,A25_34_T_12,A25_34_T_13,A25_34_T_14,A25_34_T_15,A25_34_T_16,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B00,A35_44_SEO_00_05,A35_44_SEO_06_10,A35_44_SEO_11,A35_44_SEO_12,A35_44_SEO_13,A35_44_SEO_14,A35_44_SEO_15,A35_44_SEO_16,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_SOLSE_VWW_B00,A35_44_SOLSE_VWW_00_05,A35_44_SOLSE_VWW_06_10,A35_44_SOLSE_VWW_11,A35_44_SOLSE_VWW_12,A35_44_SOLSE_VWW_13,A35_44_SOLSE_VWW_14,A35_44_SOLSE_VWW_15,A35_44_SOLSE_VWW_16,A35_44_SOLSE_VWW_YNS,A35_44_SOLSE_VWW_T,A35_44_SOLSE_NWNAA_B00,A35_44_SOLSE_NWNAA_00_05,A35_44_SOLSE_NWNAA_06_10,A35_44_SOLSE_NWNAA_11,A35_44_SOLSE_NWNAA_12,A35_44_SOLSE_NWNAA_13,A35_44_SOLSE_NWNAA_14,A35_44_SOLSE_NWNAA_15,A35_44_SOLSE_NWNAA_16,A35_44_SOLSE_NWNAA_YNS,A35_44_SOLSE_NWNAA_T,A35_44_SOLSE_PinE_NS_B00,A35_44_SOLSE_PinE_NS_00_05,A35_44_SOLSE_PinE_NS_06_10,A35_44_SOLSE_PinE_NS_11,A35_44_SOLSE_PinE_NS_12,A35_44_SOLSE_PinE_NS_13,A35_44_SOLSE_PinE_NS_14,A35_44_SOLSE_PinE_NS_15,A35_44_SOLSE_PinE_NS_16,A35_44_SOLSE_PinE_NS_YNS,A35_44_SOLSE_PinE_NS_T,A35_44_SOLSE_T_B00,A35_44_SOLSE_T_00_05,A35_44_SOLSE_T_06_10,A35_44_SOLSE_T_11,A35_44_SOLSE_T_12,A35_44_SOLSE_T_13,A35_44_SOLSE_T_14,A35_44_SOLSE_T_15,A35_44_SOLSE_T_16,A35_44_SOLSE_T_YNS,A35_44_SOLSE_T_T,A35_44_L_PinE_NS_B00,A35_44_L_PinE_NS_00_05,A35_44_L_PinE_NS_06_10,A35_44_L_PinE_NS_11,A35_44_L_PinE_NS_12,A35_44_L_PinE_NS_13,A35_44_L_PinE_NS_14,A35_44_L_PinE_NS_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B00,A35_44_T_00_05,A35_44_T_06_10,A35_44_T_11,A35_44_T_12,A35_44_T_13,A35_44_T_14,A35_44_T_15,A35_44_T_16,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B00,A45_54_SEO_00_05,A45_54_SEO_06_10,A45_54_SEO_11,A45_54_SEO_12,A45_54_SEO_13,A45_54_SEO_14,A45_54_SEO_15,A45_54_SEO_16,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_SOLSE_VWW_B00,A45_54_SOLSE_VWW_00_05,A45_54_SOLSE_VWW_06_10,A45_54_SOLSE_VWW_11,A45_54_SOLSE_VWW_12,A45_54_SOLSE_VWW_13,A45_54_SOLSE_VWW_14,A45_54_SOLSE_VWW_15,A45_54_SOLSE_VWW_16,A45_54_SOLSE_VWW_YNS,A45_54_SOLSE_VWW_T,A45_54_SOLSE_NWNAA_B00,A45_54_SOLSE_NWNAA_00_05,A45_54_SOLSE_NWNAA_06_10,A45_54_SOLSE_NWNAA_11,A45_54_SOLSE_NWNAA_12,A45_54_SOLSE_NWNAA_13,A45_54_SOLSE_NWNAA_14,A45_54_SOLSE_NWNAA_15,A45_54_SOLSE_NWNAA_16,A45_54_SOLSE_NWNAA_YNS,A45_54_SOLSE_NWNAA_T,A45_54_SOLSE_PinE_NS_B00,A45_54_SOLSE_PinE_NS_00_05,A45_54_SOLSE_PinE_NS_06_10,A45_54_SOLSE_PinE_NS_11,A45_54_SOLSE_PinE_NS_12,A45_54_SOLSE_PinE_NS_13,A45_54_SOLSE_PinE_NS_14,A45_54_SOLSE_PinE_NS_15,A45_54_SOLSE_PinE_NS_16,A45_54_SOLSE_PinE_NS_YNS,A45_54_SOLSE_PinE_NS_T,A45_54_SOLSE_T_B00,A45_54_SOLSE_T_00_05,A45_54_SOLSE_T_06_10,A45_54_SOLSE_T_11,A45_54_SOLSE_T_12,A45_54_SOLSE_T_13,A45_54_SOLSE_T_14,A45_54_SOLSE_T_15,A45_54_SOLSE_T_16,A45_54_SOLSE_T_YNS,A45_54_SOLSE_T_T,A45_54_L_PinE_NS_B00,A45_54_L_PinE_NS_00_05,A45_54_L_PinE_NS_06_10,A45_54_L_PinE_NS_11,A45_54_L_PinE_NS_12,A45_54_L_PinE_NS_13,A45_54_L_PinE_NS_14,A45_54_L_PinE_NS_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B00,A45_54_T_00_05,A45_54_T_06_10,A45_54_T_11,A45_54_T_12,A45_54_T_13,A45_54_T_14,A45_54_T_15,A45_54_T_16,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B00,A55_64_SEO_00_05,A55_64_SEO_06_10,A55_64_SEO_11,A55_64_SEO_12,A55_64_SEO_13,A55_64_SEO_14,A55_64_SEO_15,A55_64_SEO_16,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_SOLSE_VWW_B00,A55_64_SOLSE_VWW_00_05,A55_64_SOLSE_VWW_06_10,A55_64_SOLSE_VWW_11
SOSR101,79922,13994,17929,22277,23045,23836,13520,7469,276697,36,22,64,22,19,19,23,17,20,835,1079,61847,42610,93885,18656,23015,27688,28250,28940,16451,10549,351890,36780,17102,14456,2686,2295,1982,1710,1542,813,1802,81164,67168,48915,46067,6137,6399,6321,5750,5443,2957,3017,198166,5239,5493,7158,1336,1853,2185,1793,1750,1097,1094,28987,485,335,295,42,44,63,45,41,18,90,1456,72889,54733,53515,7509,8294,8564,7591,7227,4077,4200,228609,58,41,30,5,7,8,4,3,4,606,766,109727,71876,68001,10211,10597,10561,9308,8773,4887,6604,310546,61259,10078,5829,988,904,715,623,567,303,1863,83136,103474,20953,12237,1677,1612,1546,1237,1031,554,2679,147001,19563,6111,5931,1075,1319,1520,1296,1292,921,1749,40775,766,156,108,21,22,19,12,16,9,94,1223,123803,27214,18283,2767,2951,3081,2547,2336,1489,4522,189002,111,32,10,3,0,0,3,0,0,460,625,185179,37319,24118,3754,3861,3805,3172,2909,1799,6854,272760,59192,3033,1466,275,264,215,202,208,103,1425,66397,96947,6004,2657,451
SOSR102,3028,685,872,1018,1202,1138,658,337,10928,0,0,4,0,0,0,0,0,0,25,31,3554,1662,4367,1048,1222,1309,1503,1418,806,579,17464,5373,1814,1673,259,294,200,155,135,72,279,10248,2271,1838,2557,389,504,439,367,299,151,192,9004,86,136,217,39,49,84,93,71,70,57,905,17,10,13,0,0,0,0,3,0,0,56,2378,1990,2789,432,547,522,464,368,220,247,9966,5,0,3,0,0,0,0,0,0,16,33,7757,3799,4465,695,842,721,623,503,291,542,20245,12572,1377,980,136,144,99,93,73,36,448,15948,4768,991,782,112,120,99,82,68,43,161,7223,364,152,198,34,49,45,48,28,37,70,1032,43,8,6,0,4,3,0,0,0,4,76,5177,1147,988,149,173,148,132,99,78,236,8331,22,0,4,0,0,0,0,0,0,26,44,17770,2526,1965,284,314,245,225,172,115,709,24325,15108,534,317,45,65,45,36,42,12,455,16661,5883,246,152,26
SOSR111,450,95,112,90,97,93,43,36,1171,0,0,0,0,0,0,0,0,0,3,3,281,179,571,132,142,119,114,113,56,48,1762,442,150,119,32,20,12,12,13,12,16,836,142,152,353,57,59,34,50,27,28,17,905,6,11,33,21,7,6,8,12,5,3,117,0,0,3,0,0,0,0,0,0,3,12,151,168,392,72,65,48,57,36,32,21,1035,0,0,0,0,0,0,0,0,0,0,0,594,315,510,105,85,58,66,53,36,33,1872,907,113,86,21,13,16,13,8,0,30,1204,262,87,134,21,17,14,6,3,4,8,554,18,10,28,11,14,14,19,7,0,3,119,3,0,0,0,0,0,0,0,0,0,3,284,98,159,27,26,29,26,9,3,8,677,0,0,0,0,0,0,0,0,0,0,3,1195,209,251,49,35,44,41,15,5,39,1881,1096,43,26,11,3,7,4,7,0,26,1221,247,22,17,0
SOSR112,1601,308,479,406,497,635,350,160,4999,0,0,5,0,0,0,0,0,0,152,158,969,546,2024,428,610,499,605,758,399,372,7214,1696,555,455,69,76,82,60,46,24,94,3154,534,537,1136,187,274,257,192,186,85,65,3455,32,45,126,25,46,40,37,44,33,17,444,6,0,5,0,0,0,0,0,0,0,25,574,587,1266,215,320,305,228,224,124,90,3919,0,0,3,0,0,0,0,0,0,133,137,2272,1142,1725,286,399,386,288,266,144,311,7215,3791,418,352,54,41,62,48,17,13,153,4936,929,379,370,75,75,47,45,47,16,51,2039,83,37,74,24,31,21,22,18,13,26,350,7,8,3,0,3,0,0,0,0,0,23,1012,423,444,102,106,72,72,69,29,80,2404,3,0,0,0,0,0,0,0,0,92,95,4812,838,797,153,142,132,112,83,48,323,7445,5106,214,138,20,31,18,10,9,6,158,5719,1075,111,84,3
SOSR113,612,98,158,166,166,174,99,116,1892,0,0,0,0,0,0,0,0,0,30,25,524,322,876,159,230,214,203,209,128,201,3055,866,255,261,40,47,26,34,17,11,72,1622,298,293,529,80,99,82,69,55,18,35,1559,16,31,48,14,9,19,13,17,6,17,186,7,4,4,0,0,0,0,3,0,0,17,321,324,586,89,115,104,79,73,21,48,1767,0,0,0,0,0,0,0,0,0,33,35,1185,588,847,132,164,130,112,85,31,149,3417,2189,230,182,45,33,18,17,18,4,94,2842,566,175,211,37,54,23,18,10,12,37,1135,60,29,36,16,14,6,7,11,10,16,204,10,3,4,0,0,0,0,0,0,0,18,633,209,256,48,67,32,24,19,17,57,1354,8,0,0,0,0,0,0,0,0,18,27,2826,439,434,96,99,54,44,43,20,166,4222,3060,130,80,24,22,10,12,7,7,118,3466,685,70,33,12
SOSR114,392,95,123,150,144,139,57,58,1311,0,0,0,0,0,0,0,0,0,25,24,349,218,618,158,197,204,190,191,84,121,2334,844,348,286,45,51,38,17,26,9,66,1731,175,172,365,52,86,71,45,56,21,41,1087,7,18,22,10,3,8,5,4,3,9,87,3,0,3,0,0,3,0,0,0,0,14,187,192,390,59,96,75,47,64,24,47,1186,0,0,0,0,0,0,0,0,0,24,26,1034,535,681,103,145,116,65,91,32,141,2945,1778,216,179,25,31,27,10,15,4,110,2392,373,125,118,15,29,12,15,9,7,27,728,17,18,33,7,8,0,0,3,0,13,101,5,0,0,0,0,0,0,0,0,0,8,394,146,152,20,33,13,16,13,9,34,833,5,0,0,0,0,0,0,0,0,19,22,2174,363,331,44,63,39,26,27,11,165,3252,2597,101,66,11,14,11,0,12,3,119,2929,450,49,34,4
SOSR115,547,105,162,151,212,225,96,95,1857,3,0,0,0,0,0,0,0,0,40,43,596,288,833,185,240,215,250,290,134,200,3231,1247,426,318,49,59,39,45,27,16,112,2339,339,267,457,71,89,79,57,33,35,41,1469,9,9,57,12,15,8,7,13,7,8,143,4,3,3,0,0,0,0,0,0,7,27,357,278,516,86,102,90,71,48,40,51,1638,3,0,0,0,0,0,0,0,0,37,42,1605,709,836,136,162,124,116,68,58,201,4025,3258,316,248,43,54,20,21,24,7,163,4148,698,179,180,18,26,11,12,10,6,33,1180,39,19,27,0,12,11,3,3,7,13,129,10,3,0,0,0,0,0,0,0,0,18,749,196,212,20,33,24,16,21,13,42,1327,3,0,0,0,0,0,0,0,0,19,20,4005,510,458,69,94,44,33,38,18,225,5497,4660,192,118,14,12,13,7,13,10,167,5208,796,59,41,12
SOSR121,57,10,20,25,36,42,18,11,257,0,0,0,0,0,0,0,0,0,0,0,123,57,123,32,39,44,40,50,18,25,550,365,136,95,12,11,14,4,12,0,28,676,84,53,83,11,17,13,11,9,3,10,286,3,3,3,0,3,0,0,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,87,50,89,11,20,13,7,12,4,12,303,0,0,0,0,0,0,0,0,0,0,3,450,190,185,29,34,26,16,18,8,34,982,948,103,70,13,9,4,4,9,0,37,1186,179,47,40,5,3,6,6,3,0,9,293,13,0,4,0,0,0,0,0,0,0,23,5,0,0,0,0,0,0,0,0,0,5,190,47,43,5,4,4,6,3,0,10,319,0,0,0,0,0,0,0,0,0,3,3,1138,154,109,15,16,5,8,9,0,55,1506,1332,37,21,6,0,0,6,0,0,60,1468,189,13,10,0
SOSR122,32,6,10,6,15,22,7,10,136,0,0,0,0,0,0,0,0,0,4,5,69,30,76,23,23,17,32,26,11,28,317,219,69,48,8,13,0,6,4,3,21,384,35,35,40,10,7,5,3,0,0,3,138,0,3,5,0,0,3,4,3,0,0,18,0,0,0,0,0,0,0,0,0,0,3,42,32,43,8,3,8,6,6,3,3,156,0,0,0,0,0,0,0,0,0,3,3,259,102,91,19,16,11,10,12,3,25,547,554,77,35,6,3,6,6,0,0,21,702,115,24,15,0,0,4,0,0,0,4,171,8,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,123,28,15,0,0,7,0,0,0,4,180,0,0,0,0,0,0,0,0,0,3,4,677,97,53,10,3,11,6,0,3,31,889,892,27,6,4,7,0,0,3,0,34,969,119,3,8,0
SOSR131,386,73,85,121,138,108,60,77,1445,0,0,0,0,0,0,0,0,0,164,166,878,398,769,192,198,218,222,182,96,334,3482,2105,625,442,64,65,56,38,45,15,188,3648,713,379,349,56,61,75,40,41,16,52,1784,48,35,28,3,10,6,9,13,5,12,170,14,5,0,0,0,0,0,0,0,9,21,774,422,377,64,68,81,52,59,22,69,1977,3,0,6,0,0,0,0,0,0,101,107,2880,1048,823,122,133,135,93,102,38,356,5733,6005,577,389,71,52,35,39,20,21,320,7523,1428,256,193,28,21,22,25,26,9,63,2076,116,40,40,7,5,12,11,12,11,31,286,13,3,0,0,0,0,0,0,0,5,25,1564,302,240,33,34,35,35,34,19,96,2381,13,0,0,0,0,0,0,0,0,83,96,7587,876,631,106,77,71,72,52,34,500,10005,8462,325,155,25,19,19,17,14,5,387,9420,2008,94,50,10
