SOSR_CODE_2016,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
SOSR331,589,11309,2047,13950,523,8543,1471,10530,1283,15830,3250,20361,2277,20851,3444,26572,3703,27404,4109,35217,4297,27511,3901,35710,2629,21245,3463,27336,929,7720,1724,10373,205,1519,453,2170,16441,141917,23862,182219,647,10279,1626,12551,604,7587,940,9128,2147,15492,1911,19550,3979,20348,2525,26852,6256,25000,3220,34470,6764,22660,3096,32520,3371,16301,2724,22396,883,5669,1357,7908,121,1540,469,2140,24767,124867,17870,167514,1235,21588,3678,26495,1125,16127,2408,19656,3431,31321,5157,39910,6263,41197,5967,53426,9953,52403,7329,69689,11059,50170,7001,68226,6001,37541,6194,49736,1809,13384,3083,18283,328,3058,925,4307,41210,266790,41734,349730
SOSR379,0,0,3,3,0,3,0,3,0,4,0,4,0,9,0,7,0,11,3,10,3,7,0,7,0,13,4,13,0,5,3,7,0,0,0,0,4,46,12,65,0,4,0,5,0,5,0,4,0,4,0,6,0,4,3,3,0,7,0,7,4,13,4,19,0,9,7,16,0,5,0,7,0,0,3,0,10,52,18,81,0,7,3,11,0,3,3,11,0,10,0,11,0,8,3,14,0,17,3,24,9,19,4,30,0,21,10,33,0,12,3,16,0,0,3,4,14,99,30,144
SOSR399,10,155,42,212,31,404,122,559,49,887,349,1288,40,587,339,964,68,617,290,975,89,797,269,1147,74,847,202,1120,9,164,50,225,0,14,3,19,373,4473,1660,6509,11,160,35,203,23,427,121,576,40,741,221,1005,50,324,139,514,79,461,154,688,135,896,196,1224,86,593,116,798,8,101,41,153,0,16,6,18,440,3701,1044,5179,17,308,80,408,57,830,241,1133,91,1627,570,2293,87,914,477,1485,147,1078,440,1663,221,1686,466,2373,155,1437,321,1916,23,258,95,381,0,24,16,44,807,8179,2705,11693
SOSR401,1562,31838,2526,35928,2116,37075,2525,41723,5197,71214,5482,81894,7233,63274,4772,75281,9865,61029,4787,75689,10462,52068,4086,66615,6455,40038,3844,50334,3040,21279,3130,27452,1085,8632,1665,11384,47018,386449,32830,466302,1722,30670,2239,34631,2635,35659,2233,40535,8232,70761,4787,83779,11348,60630,3861,75838,15466,58908,4016,78384,17185,51548,4138,72874,9433,43006,4506,56946,3504,26785,4442,34727,741,16426,3149,20318,70266,394386,33379,498030,3279,62512,4758,70554,4757,72732,4764,82252,13427,141970,10276,165670,18584,123903,8632,151122,25328,119940,8804,154069,27650,103616,8226,139495,15887,83042,8349,107279,6546,48061,7577,62177,1824,25059,4822,31706,117284,780838,66205,964327
SOSR412,100,2122,231,2457,115,1976,158,2247,292,3746,319,4354,420,3524,292,4241,611,4132,358,5101,609,3587,353,4554,397,2575,327,3299,196,1480,281,1957,53,495,148,704,2803,23637,2478,28909,142,2001,192,2332,186,1918,142,2251,554,3798,275,4635,723,3446,253,4419,977,3926,363,5266,1007,3326,332,4668,540,2810,402,3753,221,1828,437,2490,34,870,184,1094,4392,23937,2579,30909,241,4123,422,4783,302,3896,306,4500,844,7544,597,8983,1149,6975,543,8666,1593,8056,716,10367,1623,6914,684,9222,931,5386,731,7052,423,3306,723,4449,90,1367,339,1795,7194,47572,5057,59823
SOSR413,135,2735,309,3175,165,2465,345,2974,384,4693,761,5837,563,4652,695,5910,823,5189,585,6597,886,5077,542,6503,726,4782,529,6041,348,2460,427,3235,95,834,189,1113,4123,32885,4380,41390,172,2521,309,3001,222,2412,205,2842,618,4674,393,5679,970,4814,396,6179,1357,5193,446,6992,1583,4981,539,7102,1051,5067,630,6752,364,2799,552,3725,76,1506,301,1875,6414,33967,3768,44145,304,5252,616,6175,388,4874,547,5815,999,9365,1160,11523,1529,9469,1086,12088,2182,10383,1031,13597,2470,10064,1076,13606,1781,9847,1163,12793,715,5262,981,6959,169,2335,489,2992,10540,66851,8152,85541
SOSR414,30,512,63,605,27,477,25,534,103,1049,76,1224,117,1017,82,1217,157,1098,82,1336,204,1238,100,1543,237,1360,148,1750,124,767,151,1042,30,270,88,387,1025,7793,820,9641,35,504,62,607,30,420,32,486,143,991,78,1212,199,973,64,1234,291,1041,90,1424,378,1261,106,1741,275,1508,182,1968,110,912,180,1206,25,442,138,602,1496,8058,939,10485,67,1015,128,1209,62,899,59,1017,244,2042,157,2443,317,1989,149,2455,448,2142,167,2754,578,2495,207,3284,516,2862,335,3720,240,1684,331,2246,47,710,233,992,2523,15845,1759,20125
SOSR415,139,2661,386,3182,137,2428,206,2771,381,4779,459,5611,574,4861,464,5904,750,5719,587,7059,1011,5778,631,7420,726,5164,739,6628,353,2740,577,3674,90,1016,291,1403,4156,35148,4346,43645,155,2502,304,2961,172,2212,208,2595,664,4730,404,5802,967,4897,404,6265,1373,5489,498,7353,1611,5372,586,7564,1071,5171,729,6968,395,3106,712,4213,75,1857,526,2460,6481,35338,4374,46197,290,5165,694,6144,303,4642,411,5360,1045,9512,862,11414,1541,9759,870,12170,2124,11208,1085,14414,2622,11154,1215,14987,1796,10336,1464,13602,747,5854,1293,7891,166,2873,816,3858,10634,70494,8715,89846
SOSR421,35,752,123,911,29,659,59,745,119,1375,123,1618,159,1411,130,1702,241,1839,162,2247,337,2051,202,2586,245,1736,211,2192,97,811,178,1079,28,279,77,383,1292,10902,1260,13459,50,719,104,875,40,605,48,685,177,1318,127,1621,282,1419,127,1828,403,1714,138,2254,558,1733,190,2476,315,1616,204,2137,116,848,193,1156,17,529,172,716,1967,10503,1300,13767,83,1469,228,1783,69,1259,101,1438,301,2691,247,3238,444,2831,263,3530,647,3556,306,4507,890,3783,392,5062,562,3351,415,4329,214,1660,366,2242,45,809,245,1100,3258,21402,2567,27229
SOSR422,32,453,83,565,36,429,35,508,83,836,86,1008,114,898,99,1118,178,1168,146,1488,210,1347,157,1712,153,1197,177,1532,73,530,96,700,23,133,37,195,920,6988,912,8818,41,444,53,538,52,351,45,454,133,818,85,1033,183,805,98,1084,285,1056,120,1461,353,1155,122,1627,181,983,154,1314,77,456,98,630,9,192,63,269,1314,6251,839,8413,71,891,134,1106,92,787,82,958,217,1653,166,2040,297,1703,197,2203,466,2220,264,2952,566,2499,279,3344,334,2180,331,2850,153,987,193,1332,35,323,103,465,2235,13243,1754,17234
