SOSR_CODE_2016,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_Nthern_Ireland_0_4,M_Nthern_Ireland_5_14,M_Nthern_Ireland_15_24,M_Nthern_Ireland_25_44,M_Nthern_Ireland_45_54,M_Nthern_Ireland_55_64,M_Nthern_Ireland_65_74,M_Nthern_Ireland_75_84,M_Nthern_Ireland_85ov,M_Nthern_Ireland_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot
SOSR222,0,3,0,9,5,7,5,4,0,33,0,0,4,0,6,9,29,5,0,59,0,0,4,0,0,0,0,0,0,6,0,0,0,8,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,13,0,0,0,0,3,5,10,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,5,4,23,42,21,3,103,3,8,4,56,34,43,39,14,3,203,0,0,0,0,4,3,10,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,11,7,25,8,3,0,0,0,52,0,0,0,0,0,0,0,0,4,7,0,0,0,3,13,20,27,9,4,76,0,0,0,6,3,0,0,0,0,12,0,0,7,4,8,5,9,0,0,37
SOSR231,0,15,9,73,69,63,76,47,15,377,0,8,5,48,104,290,566,315,96,1434,0,8,6,9,10,3,3,0,0,37,0,4,11,11,3,6,0,0,0,30,0,0,0,38,19,26,12,0,4,99,0,5,32,85,38,34,13,10,0,218,0,0,3,18,36,164,240,69,4,535,0,0,3,13,23,21,6,3,0,74,0,0,4,5,3,0,0,3,0,16,0,3,0,17,0,0,0,0,0,22,4,11,21,74,101,276,527,175,38,1221,22,116,197,662,592,603,303,85,12,2585,0,0,4,17,36,36,58,21,3,175,0,0,0,29,3,6,0,0,0,38,0,0,0,22,35,14,3,3,0,74,21,62,54,192,44,18,4,0,0,401,0,0,0,21,11,35,47,11,5,141,0,3,15,72,105,184,227,86,17,717,3,9,9,14,25,17,3,0,0,81,0,33,41,117,106,65,49,17,0,423
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,10,0,0,0,0,0,14,0,0,8,10,0,3,6,0,0,34,0,0,0,3,0,0,0,0,0,3,0,0,4,12,0,0,0,0,0,15,0,0,0,4,0,0,0,0,0,5,0,0,5,17,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,10,0,0,0,7,0,3,9,0,0,17,0,3,17,51,19,15,8,0,0,123,0,0,0,0,0,0,3,0,0,4,0,0,0,9,0,0,0,0,0,8,0,0,0,3,3,0,0,0,0,3,0,0,0,13,3,0,0,0,0,23,0,0,0,5,0,0,0,0,0,8,0,0,3,3,0,3,4,0,0,7,0,0,3,4,0,0,0,0,0,8,0,0,0,9,3,0,3,0,0,10
SOSR301,38,216,167,1710,478,306,333,151,71,3483,9,55,126,548,249,434,757,753,330,3264,46,189,340,585,178,94,55,14,5,1503,85,384,1135,3180,551,225,91,41,5,5695,5,14,19,175,110,86,79,29,3,529,77,229,908,1725,673,585,378,153,20,4752,0,7,8,28,40,100,154,76,15,430,0,8,29,105,56,70,70,15,4,364,7,69,204,582,163,116,66,29,7,1230,8,59,350,1138,57,26,7,0,0,1642,11,71,76,406,316,486,906,463,162,2881,665,4991,7071,17772,8250,6150,3163,965,253,49281,4,33,36,291,217,174,232,103,17,1102,52,207,309,1159,183,86,34,13,0,2036,24,220,454,1110,810,525,201,119,24,3489,89,716,1116,2955,1198,566,190,59,17,6907,0,16,28,397,161,296,174,89,79,1243,20,216,255,1067,1073,1070,919,583,177,5373,45,194,459,824,242,203,103,38,3,2114,74,811,1724,3659,2041,1134,606,198,60,10303
SOSR302,3,67,44,269,97,76,84,64,31,732,0,14,37,152,82,148,268,186,84,974,21,156,196,530,215,125,110,27,12,1388,23,134,274,660,223,102,39,24,4,1482,0,0,3,30,46,35,20,13,4,163,6,43,98,217,146,124,59,26,0,715,0,0,0,10,11,49,94,55,13,225,0,3,11,55,35,22,25,13,7,167,0,0,3,14,3,10,6,5,0,43,0,7,82,205,8,0,0,0,0,306,0,13,24,71,104,118,301,180,73,888,180,1716,2584,7272,3576,2880,2027,803,193,21225,0,3,15,72,44,40,66,40,9,289,3,18,37,136,35,11,7,5,0,249,0,16,36,146,118,73,24,13,3,438,23,105,181,487,195,95,50,23,0,1152,0,10,5,89,44,87,80,53,25,393,6,69,78,256,278,276,342,191,57,1554,4,30,67,118,49,61,33,10,3,376,22,256,496,1055,614,445,246,108,17,3266
SOSR303,13,74,30,231,113,87,104,47,23,721,4,25,36,162,90,113,208,194,75,912,12,103,76,253,100,28,25,4,0,603,30,58,102,542,53,16,3,3,0,802,0,0,0,10,13,13,14,3,0,50,15,22,55,178,119,85,37,17,0,531,0,0,3,5,18,37,53,27,6,149,0,11,0,24,20,21,17,10,4,97,0,4,11,69,11,4,7,9,0,127,3,83,99,256,9,5,0,0,0,457,3,21,36,127,120,177,288,193,58,1026,87,665,926,2981,1932,1949,1268,525,143,10485,0,12,11,45,42,54,70,41,9,303,9,41,34,123,18,11,4,0,0,234,20,213,305,509,328,173,46,26,0,1616,34,224,269,642,235,100,23,10,5,1528,0,5,5,81,17,45,33,15,13,216,8,45,69,237,266,300,357,193,57,1525,3,30,31,77,63,35,11,9,3,254,18,210,393,767,469,297,154,86,14,2406
SOSR311,3,19,8,55,13,22,24,18,6,170,0,6,10,38,10,25,66,79,25,265,0,3,13,16,3,0,3,0,0,38,0,14,24,91,3,0,0,0,0,133,0,0,0,0,0,3,0,0,0,3,0,7,4,67,22,16,6,0,0,130,0,0,0,3,4,29,48,31,11,128,0,0,0,12,5,3,10,3,0,35,0,3,14,73,8,3,7,3,0,118,0,7,10,96,8,6,0,0,0,123,0,0,4,22,31,53,137,79,32,363,26,191,225,712,485,513,401,155,25,2738,0,0,0,8,12,16,17,17,3,68,5,15,9,47,8,4,0,0,0,91,0,14,21,48,40,25,4,4,3,157,22,198,158,441,136,36,6,0,0,994,0,0,0,12,4,6,11,7,7,44,0,11,10,46,55,90,125,69,30,429,0,7,3,19,14,5,3,0,0,45,3,90,163,218,199,81,37,21,0,814
SOSR312,0,4,3,11,5,5,0,4,0,34,0,0,0,4,4,3,12,9,3,41,0,0,0,0,0,0,0,0,0,5,0,0,0,11,0,0,0,0,0,19,0,0,0,4,0,0,0,0,0,5,0,3,0,16,15,3,0,0,0,33,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,4,7,11,17,13,3,53,10,63,89,264,164,143,68,19,3,826,0,0,0,0,0,0,3,3,0,7,0,0,0,10,0,0,0,0,0,15,0,3,4,17,10,6,0,0,0,42,9,92,49,134,53,14,3,0,0,356,0,0,0,0,0,7,3,0,3,14,0,0,7,18,12,15,24,11,3,94,0,3,0,3,3,3,3,0,0,19,0,27,33,57,40,10,0,0,3,175
SOSR313,3,11,8,51,25,19,26,17,3,149,0,0,0,9,0,14,31,27,8,90,0,4,6,10,5,0,0,0,0,24,0,0,16,37,4,0,0,0,0,64,0,0,0,0,0,0,3,0,0,8,0,6,3,20,17,3,3,3,0,57,0,0,0,0,0,6,19,3,3,35,0,3,3,4,3,0,0,0,0,20,0,0,0,7,0,0,0,0,0,8,0,0,0,21,0,0,0,0,0,22,0,3,0,9,13,36,85,52,17,227,22,184,252,687,443,387,273,103,25,2376,0,0,0,8,9,8,13,12,0,58,0,7,0,30,3,0,0,0,0,36,4,17,12,57,32,15,4,4,0,153,6,101,86,215,80,18,6,0,0,514,0,0,0,9,3,3,5,7,3,36,0,4,5,18,47,45,91,55,14,285,0,3,3,13,3,0,3,3,0,29,0,52,72,175,116,67,33,18,3,539
SOSR314,0,8,5,54,24,17,16,9,3,145,0,0,18,34,7,38,89,146,80,412,0,4,21,47,4,0,0,0,0,75,0,7,50,160,3,0,3,0,0,221,0,0,0,3,0,0,0,0,0,11,0,7,15,31,22,14,0,0,0,86,0,0,0,0,3,7,10,6,0,33,0,0,0,3,3,0,3,0,0,14,0,3,14,57,8,0,0,0,0,87,0,3,4,28,0,0,0,0,0,35,0,3,5,28,23,41,71,42,14,234,15,163,175,696,471,433,266,81,10,2308,0,4,0,11,7,7,12,10,0,55,3,0,0,14,7,3,3,0,0,29,0,14,14,63,57,33,13,3,0,196,10,93,63,186,63,9,10,0,3,438,0,0,0,10,3,13,7,3,0,44,0,15,14,50,52,66,63,28,7,294,0,4,4,9,9,3,3,0,0,33,3,73,86,181,117,68,30,10,0,572
SOSR315,3,8,10,63,26,28,35,21,6,199,0,0,14,41,5,44,94,112,67,375,0,8,16,26,3,6,7,3,0,67,4,3,38,133,3,3,3,0,0,185,0,0,0,4,3,0,0,0,0,3,0,3,5,31,22,16,6,5,0,98,0,0,3,0,3,9,41,15,4,67,0,0,0,3,3,4,6,3,0,20,0,0,4,11,3,5,4,6,3,30,0,0,4,33,3,0,0,0,0,41,0,3,4,28,35,79,147,80,24,400,15,164,258,1034,628,659,557,159,23,3501,0,0,0,9,10,12,22,14,0,73,0,3,3,11,0,0,0,0,0,23,3,15,15,98,90,35,21,3,0,281,16,124,73,282,59,12,6,4,0,572,0,0,0,8,9,13,9,7,3,40,0,11,19,56,65,115,144,62,17,489,0,0,0,7,10,11,3,3,0,38,0,39,60,150,99,61,46,21,3,486
SOSR321,0,3,0,14,6,10,14,8,0,64,4,0,3,7,3,11,41,25,14,111,3,9,3,4,0,0,3,0,0,24,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,9,6,7,0,0,0,27,0,0,0,0,3,5,15,8,3,33,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,10,0,0,5,17,16,39,86,34,4,193,4,52,85,278,273,286,241,61,9,1280,0,0,0,0,5,13,8,7,0,30,0,0,0,11,0,0,3,0,0,15,0,3,4,35,31,25,5,3,0,110,6,13,17,35,14,0,3,0,0,86,0,0,0,5,3,5,9,4,3,34,0,0,4,14,28,48,45,31,6,175,0,0,0,3,10,5,3,0,0,16,0,10,12,48,44,25,25,8,0,171
SOSR322,0,0,3,6,6,3,9,4,0,32,0,0,0,5,3,9,15,32,10,83,0,0,3,7,0,0,0,0,0,12,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,10,3,0,19,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,17,47,13,0,80,0,27,26,94,75,128,123,21,3,497,0,0,0,0,0,7,3,3,0,8,0,0,0,0,0,0,0,0,0,3,4,5,9,24,17,22,3,4,0,87,3,7,7,13,6,4,0,0,0,34,0,0,0,3,0,0,0,0,0,8,0,0,3,7,7,20,27,4,0,61,0,0,0,0,0,3,0,0,0,3,0,0,6,13,17,13,8,3,0,70
SOSR331,3,13,16,95,55,42,67,18,9,312,0,0,12,45,34,84,204,158,67,606,3,0,33,34,5,7,3,3,0,95,0,17,32,63,7,3,0,0,0,126,0,0,0,3,6,3,5,0,0,23,0,0,14,43,29,40,11,7,0,156,0,0,0,6,17,45,79,29,3,185,0,0,0,4,8,8,15,0,0,30,0,0,0,4,0,3,0,0,0,14,0,0,0,14,3,0,0,0,0,22,0,14,15,66,96,189,321,123,28,843,12,167,263,1135,1196,1249,771,204,33,5025,0,4,0,22,18,22,43,18,0,131,3,0,0,15,0,3,0,0,0,25,3,18,23,113,108,97,24,8,0,392,11,57,45,176,50,17,13,4,0,369,0,0,0,22,11,21,24,9,3,91,3,16,10,59,115,138,204,67,10,617,0,3,17,17,20,11,10,3,0,76,11,73,132,292,251,140,106,30,3,1049
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR399,0,0,6,12,0,0,0,0,0,15,0,0,19,19,3,0,0,0,0,43,0,0,4,5,0,0,0,0,0,11,0,0,3,18,3,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,0,0,0,0,17,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,4,3,0,0,0,0,0,6,0,0,4,9,4,5,23,3,0,46,0,5,15,80,46,74,67,10,0,300,0,0,0,4,0,0,3,0,0,9,0,0,0,6,0,0,0,0,0,9,0,0,0,7,7,3,0,0,0,23,3,0,4,6,0,0,0,0,0,15,0,0,0,8,0,0,0,0,0,6,0,0,3,13,3,11,13,4,0,46,0,0,0,0,0,0,0,0,0,7,0,0,3,17,10,0,3,0,0,33
SOSR401,12,89,56,404,184,208,205,142,63,1362,10,34,82,360,543,1347,2309,2472,956,8114,21,49,102,152,49,22,20,6,0,424,21,222,354,708,211,53,14,7,0,1587,15,21,49,181,124,160,111,62,23,742,53,222,757,1195,366,271,306,90,23,3282,0,0,0,17,41,133,245,117,37,591,0,4,4,36,9,7,12,5,5,90,3,77,134,337,75,31,10,9,0,678,32,211,319,799,32,17,5,4,0,1419,3,28,42,143,157,415,763,357,127,2037,38,266,382,1497,850,798,489,155,36,4511,0,16,20,91,131,153,195,99,29,743,86,337,296,912,140,41,5,13,0,1828,3,15,17,129,107,43,13,8,7,343,55,431,627,1609,576,259,79,36,9,3684,0,22,39,458,243,538,349,163,154,1967,14,109,178,546,780,1031,900,564,198,4311,24,114,208,380,116,108,90,23,8,1070,21,232,435,769,467,246,161,57,14,2401
SOSR412,0,0,0,10,7,14,8,11,5,54,0,0,0,3,9,25,53,41,21,158,0,3,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,9,0,0,0,5,0,0,0,0,0,4,0,5,3,8,7,3,0,0,0,33,0,0,0,0,0,8,5,5,0,18,0,0,0,0,0,0,0,0,0,6,0,6,20,52,14,8,3,3,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,43,74,24,12,174,4,21,18,79,75,57,18,8,4,284,0,0,0,3,9,25,15,13,0,57,0,0,3,12,0,0,0,0,0,14,0,0,3,4,7,0,0,0,0,15,0,41,27,73,31,11,0,0,0,185,0,3,4,7,7,10,5,5,7,46,0,0,3,28,94,109,89,70,20,415,0,0,0,4,0,0,0,0,0,5,0,32,34,50,38,12,5,3,0,169
SOSR413,0,4,3,4,9,12,12,10,0,59,0,3,0,5,13,30,76,75,24,218,0,4,0,3,0,0,4,0,0,16,0,0,3,9,0,0,0,0,0,16,0,0,0,8,0,3,3,0,0,13,0,9,6,27,15,4,3,3,0,71,0,0,0,0,0,8,12,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,0,0,0,12,0,0,0,3,3,0,0,0,0,7,0,3,0,9,19,41,103,43,16,235,5,24,42,121,81,75,44,11,3,416,0,0,4,5,4,14,14,14,0,54,0,4,0,12,5,0,0,0,0,27,0,0,0,5,4,3,0,0,0,22,7,50,59,125,49,9,0,0,0,291,0,0,0,8,7,3,4,3,3,32,0,9,5,22,36,45,73,28,16,226,0,0,3,6,4,0,7,0,0,19,0,16,30,57,43,28,15,5,3,200
SOSR414,0,0,0,3,4,0,9,7,0,24,0,0,0,0,0,3,12,4,0,25,0,0,0,0,0,0,0,0,0,3,0,0,7,5,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,31,17,5,69,0,10,7,33,22,24,14,10,3,131,0,0,0,0,0,3,3,3,0,13,0,5,0,17,4,0,0,0,0,37,0,0,0,4,0,0,0,0,0,9,3,16,8,45,0,0,0,0,0,79,0,0,0,7,0,5,3,0,3,16,0,0,0,0,10,9,25,18,10,67,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,3,0,3,0,20
SOSR415,0,3,4,18,11,11,13,11,3,68,0,0,4,19,7,27,54,53,29,196,0,0,0,0,3,3,0,0,0,9,0,0,13,17,0,0,0,0,0,27,0,0,0,3,3,0,0,0,0,10,0,0,5,21,13,5,0,0,0,46,0,0,0,0,0,4,3,8,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,0,0,0,3,0,0,0,0,0,4,0,4,3,15,16,49,97,43,7,234,0,19,29,115,96,87,60,17,3,427,0,3,0,3,8,13,16,9,3,52,4,3,0,13,3,0,0,0,0,28,0,3,0,7,9,5,0,0,0,25,3,50,26,85,25,3,0,0,0,184,0,0,0,5,3,9,3,7,4,31,0,10,4,35,51,72,65,47,13,299,0,0,0,6,0,0,6,0,0,12,0,10,16,46,33,22,13,4,0,155
SOSR421,0,4,0,12,9,3,0,3,0,28,0,0,5,3,0,7,8,7,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,16,22,20,0,64,0,0,7,31,27,21,27,3,0,121,0,0,0,0,0,7,9,4,0,17,0,0,0,3,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,10,3,8,0,27,0,0,0,0,0,41,0,0,0,5,4,3,0,0,4,11,0,0,0,3,6,28,25,4,6,74,0,4,0,3,0,0,0,0,0,4,0,11,10,15,10,5,3,4,0,60
SOSR422,0,0,0,5,0,4,0,3,0,12,0,0,0,3,4,8,8,5,0,23,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,36,16,3,62,0,3,4,26,17,19,14,4,0,95,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,3,8,16,14,6,0,49,0,0,0,0,0,4,0,0,0,4,0,0,3,6,7,7,4,3,0,27
SOSR431,0,3,0,24,13,18,13,12,0,87,0,0,3,9,18,89,123,107,25,376,0,0,0,6,0,0,0,0,0,11,0,6,11,3,0,0,0,0,0,15,0,0,0,4,5,7,4,4,0,21,0,5,9,15,11,10,0,0,0,51,0,0,0,0,0,13,7,3,3,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,5,0,0,3,18,25,98,164,41,12,364,0,24,42,150,142,144,80,21,3,609,0,0,0,3,8,12,11,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,4,0,0,0,34,4,22,18,45,5,4,4,0,0,99,0,0,0,17,6,6,12,3,0,46,0,18,6,29,61,81,94,43,4,344,0,6,0,3,6,3,4,0,0,17,3,15,17,36,32,28,12,3,0,150
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,0,0,3,0,0,0,0,0,0,5,0,0,6,3,0,0,0,0,0,15,0,0,0,4,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,7,0,0,10,0,0,7,15,3,13,8,3,0,38,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SOSR501,67,594,367,4569,869,717,692,336,89,8293,24,125,195,1304,728,1269,2334,2040,821,8846,46,163,129,538,144,81,58,20,5,1182,52,201,406,1890,281,130,42,14,4,3014,3,27,38,184,106,90,80,27,3,553,134,718,1965,4697,1655,1669,1321,564,107,12832,0,4,7,35,40,100,129,75,6,396,15,119,241,932,312,261,190,78,19,2165,4,115,368,1241,735,652,428,244,75,3861,15,60,257,931,57,17,3,0,0,1345,15,116,92,457,354,492,1117,581,218,3442,357,2726,3310,11717,5623,4571,1939,489,109,30831,10,51,97,554,309,258,322,161,51,1815,90,326,528,1812,204,121,55,13,3,3149,6,86,80,266,165,66,6,4,3,684,231,1771,1799,4481,1764,424,126,26,8,10630,4,53,67,677,202,580,309,156,120,2164,54,675,795,2584,2175,2111,1639,917,232,11187,79,566,936,2135,933,959,574,234,54,6465,105,1588,2869,5684,3340,1897,959,332,85,16852
