SOSR_CODE_2016,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_Nthern_Ireland_0_4,M_Nthern_Ireland_5_14,M_Nthern_Ireland_15_24,M_Nthern_Ireland_25_44,M_Nthern_Ireland_45_54,M_Nthern_Ireland_55_64,M_Nthern_Ireland_65_74,M_Nthern_Ireland_75_84,M_Nthern_Ireland_85ov,M_Nthern_Ireland_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot
SOSR179,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,6,11,3,0,3,0,0,31,0,0,5,17,3,5,3,0,0,35,0,0,0,0,0,0,0,0,0,6,0,0,4,7,0,0,0,0,0,18,0,0,0,13,8,0,3,0,0,32,0,0,0,7,3,3,0,0,0,17,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,4,0,0,0,0,0,6,0,0,5,10,0,0,0,0,0,13,0,0,3,6,3,7,14,0,0,27,3,3,24,54,38,33,21,4,0,181,0,0,4,3,0,0,0,0,0,11,4,0,4,16,0,0,0,0,0,23,0,0,0,3,3,0,0,0,0,4,0,0,6,13,5,5,0,0,0,33,0,0,0,3,0,0,4,0,0,6,0,0,4,3,0,4,3,0,0,22,0,0,0,0,0,0,0,0,0,3,0,0,5,16,3,5,5,0,0,40
SOSR201,55,313,187,3180,852,694,644,428,186,6536,36,211,448,2575,2345,5017,8216,7907,3222,29981,65,316,424,968,327,165,124,26,6,2418,75,490,1219,3465,691,278,104,42,6,6368,47,159,366,2728,1958,1499,1090,392,99,8336,306,1204,4324,8482,2538,2712,1657,557,123,21893,6,23,53,284,533,1718,2687,1514,299,7114,4,146,401,2014,851,996,652,320,102,5485,30,378,957,2411,647,281,150,103,28,4973,25,166,1103,3392,151,75,32,4,0,4949,27,148,114,688,494,977,1709,1042,429,5626,686,3980,5102,15223,5571,3851,1793,632,178,37015,4,48,55,512,346,345,416,247,75,2057,326,1049,2320,7511,809,341,166,31,11,12560,9,25,64,370,232,89,38,9,3,843,205,1344,2429,7680,3092,1917,778,170,54,17652,11,37,92,1265,606,1390,1112,496,524,5532,25,228,306,1882,1659,1813,1830,1042,378,9168,175,830,1479,2365,810,669,352,131,22,6842,65,634,1335,4133,2215,1490,971,368,120,11341
SOSR203,0,18,11,55,24,23,20,15,12,173,0,3,10,30,47,103,182,157,84,618,0,3,5,16,4,0,0,0,0,25,3,9,15,34,0,7,0,0,0,69,0,0,3,16,6,10,3,5,0,38,3,9,37,79,23,30,9,7,0,199,0,0,0,0,0,16,37,12,0,64,0,3,4,12,4,3,0,0,0,29,3,6,38,74,20,12,11,0,0,174,0,0,7,41,0,0,0,0,0,50,0,5,6,7,16,86,179,93,46,428,7,42,86,270,126,121,57,25,3,748,0,5,3,13,14,36,30,24,11,133,10,35,48,125,13,5,7,0,0,241,0,3,0,12,8,3,0,0,0,25,3,33,64,116,42,19,13,3,0,287,0,0,3,21,15,35,23,21,16,141,0,7,6,46,74,95,106,61,20,412,0,11,12,20,21,16,9,0,0,91,0,16,32,77,37,28,14,11,0,216
SOSR211,0,12,9,49,24,21,51,30,7,198,0,3,6,13,34,82,110,67,30,343,0,9,4,15,7,3,0,4,0,35,0,16,7,37,3,5,0,0,0,72,0,0,6,17,13,13,12,0,0,68,5,24,27,91,37,32,15,6,0,237,3,13,11,25,45,110,133,48,0,393,0,7,0,26,6,4,8,0,0,52,0,22,51,151,44,27,6,8,0,304,3,19,25,44,0,3,0,0,0,100,4,0,4,18,20,80,182,120,24,449,49,182,215,497,240,174,109,37,8,1509,0,0,0,8,20,20,30,16,5,93,3,20,10,103,18,6,0,0,0,157,0,4,4,18,13,0,0,0,0,41,16,98,105,274,90,26,11,3,0,627,0,0,0,20,9,24,17,8,12,94,3,3,12,57,73,98,128,79,21,476,0,4,0,27,11,13,12,3,0,69,0,18,53,108,49,37,27,8,0,303
SOSR212,0,15,4,57,26,29,22,13,11,180,0,4,14,28,51,109,197,191,81,681,0,3,5,20,4,0,0,0,0,44,0,8,48,71,3,0,0,0,0,133,0,0,0,11,8,3,0,0,0,25,7,13,48,146,22,21,5,3,0,274,0,0,0,4,10,37,57,12,3,132,0,0,0,10,3,0,3,0,0,21,0,0,0,10,3,0,0,0,0,15,0,0,3,30,3,3,0,0,0,33,0,0,3,13,16,44,105,60,22,272,18,104,137,286,181,134,82,25,6,969,0,0,0,14,10,13,30,9,0,77,0,43,23,89,18,11,0,0,0,188,0,0,0,6,11,3,0,0,0,30,9,44,54,137,29,24,10,0,0,307,0,0,0,11,4,16,15,7,7,59,0,8,10,44,43,82,91,56,12,347,0,4,11,9,7,8,3,0,0,40,3,31,30,65,58,24,14,8,0,234
SOSR213,3,16,6,56,34,48,30,32,9,230,0,3,5,25,41,107,232,197,91,697,0,4,5,12,4,4,0,0,0,28,0,6,7,20,0,0,0,0,0,33,0,0,0,9,0,0,5,0,0,15,0,5,10,78,22,22,6,6,0,146,0,0,0,7,13,58,105,58,11,251,0,3,4,15,12,6,6,0,0,53,0,0,4,13,0,0,3,0,0,26,0,0,6,30,4,0,0,0,0,40,0,4,4,37,31,110,277,181,58,691,7,70,104,367,216,162,128,50,10,1115,0,0,0,7,19,28,42,22,4,125,3,4,11,60,8,3,0,0,0,84,0,0,3,14,13,11,3,0,0,43,8,69,83,133,70,27,8,4,0,399,0,3,0,29,5,29,16,7,18,104,0,11,9,76,77,143,182,103,37,634,3,6,9,18,15,7,6,0,0,72,8,36,27,112,62,50,33,4,3,336
SOSR214,0,6,0,33,19,17,21,20,6,127,0,0,0,13,31,63,150,113,45,415,0,0,3,3,0,0,0,0,0,11,0,0,9,12,0,0,0,0,0,30,0,0,0,13,12,3,0,0,0,33,0,8,16,38,19,12,0,3,0,95,0,0,0,8,6,43,83,27,6,174,0,0,3,7,0,3,6,0,0,18,0,0,3,13,3,0,3,3,0,26,0,3,0,21,0,0,0,0,0,23,0,3,0,18,20,56,161,68,31,359,3,47,47,220,144,125,112,34,16,754,0,0,0,6,11,10,15,14,3,65,8,0,0,22,5,0,0,0,0,39,0,3,9,3,9,4,3,0,0,30,7,41,26,65,16,7,0,0,0,158,0,0,3,5,7,7,11,6,8,45,0,12,3,29,30,74,96,59,13,327,0,0,3,8,9,3,0,0,0,30,0,3,17,38,35,20,20,14,0,147
SOSR215,0,9,4,56,32,32,44,28,19,226,0,3,7,24,35,100,194,145,62,558,0,3,0,4,3,5,3,0,0,19,0,0,5,11,3,0,0,0,0,20,0,0,0,6,4,5,0,0,0,16,4,7,14,51,22,10,8,0,0,123,0,0,3,3,4,48,55,12,4,134,0,4,0,6,6,6,12,0,0,37,0,0,11,29,8,5,4,0,4,56,0,0,4,30,0,0,0,0,0,36,0,3,5,21,34,99,243,152,44,601,14,71,100,302,226,201,151,64,11,1138,0,3,0,15,12,17,37,16,4,107,0,7,4,12,4,3,0,0,3,34,0,0,3,9,7,3,0,0,0,28,16,43,31,104,18,8,3,0,0,223,0,4,3,12,3,24,19,9,10,77,3,3,12,43,50,108,171,69,29,485,0,10,3,9,8,3,3,0,0,40,3,4,20,60,46,30,33,5,3,207
SOSR221,0,0,0,12,5,4,5,12,0,49,0,0,0,6,6,25,49,21,7,110,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,4,3,3,0,0,16,0,0,0,3,3,15,31,8,0,61,0,0,0,3,4,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,52,93,36,9,210,3,9,25,78,69,76,67,16,6,348,0,3,0,4,4,8,21,7,0,47,0,0,3,3,0,0,0,0,0,8,0,0,0,0,3,3,0,0,0,3,0,14,3,13,5,3,0,0,0,37,0,0,0,3,0,7,10,0,0,21,0,0,0,15,22,43,51,22,8,158,0,0,0,0,3,0,0,0,0,8,0,3,3,10,3,8,12,3,0,43
