SOSR_CODE_2016,F_AccomFoodS_Cert,F_AccomFoodS_ID_NS,F_AccomFoodS_ToT,F_TransPostWhse_PD,F_TransPostWhse_GD_GC,F_TransPostWhse_BD,F_TransPostWhse_AdD_D,F_TransPostWhse_Cert,F_TransPostWhse_ID_NS,F_TransPostWhse_ToT,F_InfoMedTelecom_PD,F_InfoMedTelecom_GD_GC,F_InfoMedTelecom_BD,F_InfoMedTelecom_AdD_D,F_InfoMedTelecom_Cert,F_InfoMedTelecom_ID_NS,F_InfoMedTelecom_ToT,F_FinInsurS_PD,F_FinInsurS_GD_GC,F_FinInsurS_BD,F_FinInsurS_AdD_D,F_FinInsurS_Cert,F_FinInsurS_ID_NS,F_FinInsurS_ToT,F_RentHirREserv_PD,F_RentHirREserv_GD_GC,F_RentHirREserv_BD,F_RentHirREserv_AdD_D,F_RentHirREserv_Cert,F_RentHirREserv_ID_NS,F_RentHirREserv_ToT,F_ProScieTechServ_PD,F_ProScieTechServ_GD_GC,F_ProScieTechServ_BD,F_ProScieTechServ_AdD_D,F_ProScieTechServ_Cert,F_ProScieTechServ_ID_NS,F_ProScieTechServ_ToT,F_AdminSupServ_PD,F_AdminSupServ_GD_GC,F_AdminSupServ_BD,F_AdminSupServ_AdD_D,F_AdminSupServ_Cert,F_AdminSupServ_ID_NS,F_AdminSupServ_ToT,F_PubAdmiSafety_PD,F_PubAdmiSafety_GD_GC,F_PubAdmiSafety_BD,F_PubAdmiSafety_AdD_D,F_PubAdmiSafety_Cert,F_PubAdmiSafety_ID_NS,F_PubAdmiSafety_ToT,F_EducTrain_PD,F_EducTrain_GD_GC,F_EducTrain_BD,F_EducTrain_AdD_D,F_EducTrain_Cert,F_EducTrain_ID_NS,F_EducTrain_ToT,F_HealthCareSocA_PD,F_HealthCareSocA_GD_GC,F_HealthCareSocA_BD,F_HealthCareSocA_AdD_D,F_HealthCareSocA_Cert,F_HealthCareSocA_ID_NS,F_HealthCareSocA_ToT,F_ArtRecServ_PD,F_ArtRecServ_GD_GC,F_ArtRecServ_BD,F_ArtRecServ_AdD_D,F_ArtRecServ_Cert,F_ArtRecServ_ID_NS,F_ArtRecServ_ToT,F_OthServ_PD,F_OthServ_GD_GC,F_OthServ_BD,F_OthServ_AdD_D,F_OthServ_Cert,F_OthServ_ID_NS,F_OthServ_ToT,F_ID_NS_PD,F_ID_NS_GD_GC,F_ID_NS_BD,F_ID_NS_AdD_D,F_ID_NS_Cert,F_ID_NS_ID_NS,F_ID_NS_ToT,F_ToT_PD,F_ToT_GD_GC,F_ToT_BD,F_ToT_AdD_D,F_ToT_Cert,F_ToT_ID_NS,F_ToT_ToT,P_AgriForestFish_PD,P_AgriForestFish_GD_GC,P_AgriForestFish_BD,P_AgriForestFish_AdD_D,P_AgriForestFish_Cert,P_AgriForestFish_ID_NS,P_AgriForestFish_ToT,P_Min_PD,P_Min_GD_GC,P_Min_BD,P_Min_AdD_D,P_Min_Cert,P_Min_ID_NS,P_Min_ToT,P_Mnfg_PD,P_Mnfg_GD_GC,P_Mnfg_BD,P_Mnfg_AdD_D,P_Mnfg_Cert,P_Mnfg_ID_NS,P_Mnfg_ToT,P_EGW_WS_PD,P_EGW_WS_GD_GC,P_EGW_WS_BD,P_EGW_WS_AdD_D,P_EGW_WS_Cert,P_EGW_WS_ID_NS,P_EGW_WS_ToT,P_Cnstn_PD,P_Cnstn_GD_GC,P_Cnstn_BD,P_Cnstn_AdD_D,P_Cnstn_Cert,P_Cnstn_ID_NS,P_Cnstn_ToT,P_WTrade_PD,P_WTrade_GD_GC,P_WTrade_BD,P_WTrade_AdD_D,P_WTrade_Cert,P_WTrade_ID_NS,P_WTrade_ToT,P_RTrade_PD,P_RTrade_GD_GC,P_RTrade_BD,P_RTrade_AdD_D,P_RTrade_Cert,P_RTrade_ID_NS,P_RTrade_ToT,P_AccomFoodS_PD,P_AccomFoodS_GD_GC,P_AccomFoodS_BD,P_AccomFoodS_AdD_D,P_AccomFoodS_Cert,P_AccomFoodS_ID_NS,P_AccomFoodS_ToT,P_TransPostWhse_PD,P_TransPostWhse_GD_GC,P_TransPostWhse_BD,P_TransPostWhse_AdD_D,P_TransPostWhse_Cert,P_TransPostWhse_ID_NS,P_TransPostWhse_ToT,P_InfoMedTelecom_PD,P_InfoMedTelecom_GD_GC,P_InfoMedTelecom_BD,P_InfoMedTelecom_AdD_D,P_InfoMedTelecom_Cert,P_InfoMedTelecom_ID_NS,P_InfoMedTelecom_ToT,P_FinInsurS_PD,P_FinInsurS_GD_GC,P_FinInsurS_BD,P_FinInsurS_AdD_D,P_FinInsurS_Cert,P_FinInsurS_ID_NS,P_FinInsurS_ToT,P_RentHirREserv_PD,P_RentHirREserv_GD_GC,P_RentHirREserv_BD,P_RentHirREserv_AdD_D,P_RentHirREserv_Cert,P_RentHirREserv_ID_NS,P_RentHirREserv_ToT,P_ProScieTechServ_PD,P_ProScieTechServ_GD_GC,P_ProScieTechServ_BD,P_ProScieTechServ_AdD_D,P_ProScieTechServ_Cert,P_ProScieTechServ_ID_NS,P_ProScieTechServ_ToT,P_AdminSupServ_PD,P_AdminSupServ_GD_GC,P_AdminSupServ_BD,P_AdminSupServ_AdD_D,P_AdminSupServ_Cert,P_AdminSupServ_ID_NS,P_AdminSupServ_ToT,P_PubAdmiSafety_PD,P_PubAdmiSafety_GD_GC,P_PubAdmiSafety_BD,P_PubAdmiSafety_AdD_D,P_PubAdmiSafety_Cert,P_PubAdmiSafety_ID_NS,P_PubAdmiSafety_ToT,P_EducTrain_PD
SOSR101,7678,1718,30622,1742,364,5017,3444,4113,833,15512,2972,886,10583,2629,1675,468,19207,8849,2055,22758,8292,6291,1565,49812,1680,356,4579,3173,3618,688,14093,14766,3475,38611,10645,7715,2224,77426,2318,560,9135,5689,5500,1299,24500,7366,2555,16006,7185,6188,1196,40491,23739,8009,44052,11981,9414,2172,99372,19948,7196,60583,27095,26379,5391,146588,1433,405,4317,1946,2110,404,10615,1732,561,5837,5607,9483,976,24195,3124,561,8860,4728,4459,3663,25396,105240,29710,284084,123564,120847,28117,691567,376,81,1108,583,1118,195,3465,560,88,994,309,678,85,2715,8048,1229,22234,12181,27428,2984,74106,1954,299,3420,1715,3699,291,11375,5314,912,19847,13811,64393,4156,108430,8043,1138,19238,8707,12145,1877,51141,10401,1605,35145,19185,27427,4695,98462,5391,778,22497,16553,18285,3436,66925,6259,1141,16549,11976,21269,3203,60397,8145,1823,23465,6963,5744,1319,47458,23052,4863,53241,16330,11147,3104,111735,3854,781,10138,6506,8060,1330,30663,39392,7355,93214,21790,15534,4789,182073,4770,992,16997,9603,12306,2340,47017,14869,4680,30650,16623,18899,2440,88161,38154
SOSR102,3568,470,7073,67,49,301,401,775,110,1702,90,41,477,288,362,43,1302,215,124,1274,1476,2072,230,5389,57,41,343,604,1181,163,2398,713,422,3187,1652,2050,329,8358,136,71,835,1069,2049,274,4437,1074,712,3639,2747,2924,301,11398,3741,2171,10787,3350,3635,460,24150,3186,2024,14487,9159,13440,1623,43930,86,54,458,339,617,74,1630,146,79,719,1245,3659,208,6055,149,71,651,564,1082,671,3187,10552,6204,42320,28504,46338,6059,139980,33,9,182,148,522,53,955,235,71,728,748,3345,104,5225,692,181,2563,2439,9715,534,16132,232,70,597,728,2153,88,3869,301,123,2049,2578,22798,991,28845,259,79,1009,1005,2728,189,5276,677,175,3305,3257,10590,1072,19077,337,99,2260,2460,7048,751,12956,267,137,1094,1563,5634,531,9216,247,93,1184,840,1346,126,3841,568,266,2692,2653,3156,334,9668,150,70,717,1092,2385,274,4691,2202,869,8241,3613,4148,603,19669,253,115,1367,1637,4429,469,8263,2366,1301,6956,6017,7807,638,25082,6251
SOSR111,606,47,984,11,3,38,55,129,13,252,9,4,41,31,49,4,133,12,10,75,135,222,13,471,4,3,26,77,146,15,272,53,42,322,194,296,35,937,6,11,83,128,294,34,553,87,72,432,339,435,44,1411,357,312,1315,420,484,48,2935,289,250,1669,1115,1851,195,5377,6,5,32,27,80,15,166,14,10,58,176,493,26,785,11,5,58,62,147,73,357,941,774,4738,3537,6799,746,17529,12,10,49,40,142,15,273,41,21,167,202,1332,38,1803,80,23,355,390,1884,92,2820,18,4,62,102,295,12,488,17,20,191,305,2655,94,3278,12,11,77,99,471,19,693,58,17,357,437,1628,126,2625,30,8,199,321,1041,87,1681,22,12,121,201,797,68,1220,14,12,80,65,154,13,338,35,27,167,247,306,16,794,10,11,60,120,290,17,506,141,91,752,356,549,63,1953,21,11,127,194,613,56,1023,190,131,749,696,1072,73,2915,528
SOSR112,2109,295,3876,16,14,98,156,405,53,729,29,25,204,104,184,20,576,48,31,244,346,589,64,1319,18,21,137,228,533,91,1025,236,206,1224,580,981,116,3345,40,32,299,402,956,136,1865,379,306,1478,1099,1447,128,4829,1663,1166,5176,1703,1898,255,11860,1347,983,6666,4259,6473,746,20474,61,36,186,147,298,29,756,56,33,244,495,1601,86,2515,43,24,219,249,484,251,1271,4242,3061,18425,12338,22712,2866,63641,112,33,410,287,868,125,1835,56,20,209,193,1352,52,1879,195,57,909,813,4114,314,6406,84,34,264,345,982,48,1759,90,50,657,751,8668,320,10532,50,16,286,303,1364,121,2150,219,104,1439,1431,5953,562,9706,194,54,1039,1257,4063,444,7052,68,35,338,513,2371,242,3572,62,45,389,230,542,58,1331,131,87,619,720,847,90,2497,40,35,306,402,994,136,1907,587,407,2759,1085,1671,220,6725,78,52,518,627,1956,216,3455,811,571,2789,2525,3998,309,11006,2811
SOSR113,1341,208,2207,4,11,56,81,200,33,383,4,10,52,47,91,14,216,11,16,115,190,353,31,715,3,3,61,114,372,42,596,74,67,425,282,485,60,1396,17,10,131,204,572,96,1036,101,112,558,501,762,69,2105,504,521,2249,784,1035,110,5204,443,373,2503,2157,3918,398,9788,11,3,64,80,157,23,344,17,28,102,287,959,52,1436,22,17,111,122,307,182,762,1392,1254,7461,6196,13520,1732,31550,26,7,172,150,539,80,977,89,40,405,348,2735,109,3734,95,40,424,455,2644,220,3882,35,14,110,225,834,34,1263,34,15,258,364,4935,197,5805,17,8,94,137,789,53,1099,82,43,504,737,3331,386,5082,61,26,432,603,2401,323,3864,21,10,146,249,1279,164,1879,12,24,104,93,269,14,518,38,30,218,307,453,50,1099,9,8,116,169,669,68,1048,190,131,1015,518,850,102,2814,23,21,195,314,1252,160,1972,283,218,1041,1188,2122,157,5001,784
SOSR114,1174,180,2085,9,3,48,90,214,20,380,20,14,58,36,69,9,199,15,11,105,173,308,27,639,9,11,70,125,297,37,543,112,64,537,310,495,74,1582,20,20,146,191,454,79,908,121,95,529,450,578,70,1843,448,428,2392,742,940,126,5080,407,337,2205,1804,3111,379,8246,13,16,95,57,122,17,310,19,21,110,247,828,43,1262,29,18,152,127,284,175,788,1363,1136,7547,5551,11297,1629,28524,42,33,286,219,952,125,1652,54,20,162,118,758,39,1145,80,44,442,384,2578,271,3791,50,8,133,129,607,38,964,33,25,262,362,4644,234,5559,17,11,117,158,761,69,1139,83,35,541,583,2695,358,4289,58,36,487,600,2145,306,3638,16,15,137,259,1316,133,1871,30,17,112,69,224,25,472,35,19,235,294,406,36,1035,11,13,142,204,522,61,956,251,129,1128,555,839,125,3031,30,26,204,283,945,134,1629,244,191,1044,1098,1858,173,4602,691
SOSR115,1517,247,2692,11,9,72,132,333,53,613,13,24,120,77,109,16,353,23,12,125,243,401,46,847,9,10,85,170,418,59,744,149,125,736,461,669,100,2241,34,21,172,285,689,132,1335,235,184,988,848,1013,116,3379,936,822,3468,1297,1445,214,8171,599,545,3286,2866,4512,543,12348,31,23,164,118,209,30,579,25,20,149,359,1172,59,1785,42,17,208,206,390,228,1090,2278,1964,11038,8923,16443,2400,43044,65,31,480,363,1597,303,2842,46,23,187,191,1691,82,2225,70,37,468,557,3521,264,4911,30,11,105,194,924,51,1317,59,25,441,630,7761,346,9261,36,22,200,221,1073,80,1620,113,61,762,881,3778,467,6061,52,53,516,829,2782,398,4637,29,32,211,348,1970,251,2843,29,27,215,150,349,42,818,50,33,262,373,542,57,1316,25,18,152,278,705,87,1264,365,221,1514,845,1149,172,4274,53,40,273,452,1471,217,2509,538,343,1915,1955,3136,272,8148,1394
SOSR121,415,60,744,3,0,40,36,107,19,203,5,5,37,23,20,3,94,14,9,33,66,109,15,251,7,3,24,58,107,13,206,41,26,208,160,224,21,671,15,12,51,90,189,31,389,55,44,268,198,270,16,860,243,233,980,364,457,60,2341,188,160,980,817,1225,140,3520,9,0,29,29,49,3,120,11,4,37,92,311,28,478,14,3,56,75,125,76,346,640,558,3160,2579,4616,651,12203,10,9,103,118,434,82,755,3,3,53,72,407,26,567,24,16,148,155,1005,80,1432,10,11,36,53,274,15,396,18,20,134,210,2229,104,2709,12,11,57,70,277,20,443,29,22,189,282,1098,121,1740,10,17,163,227,785,91,1285,3,9,83,101,613,60,866,8,7,56,47,90,13,226,42,12,79,116,165,22,432,8,4,40,84,204,21,360,104,60,497,269,391,41,1359,17,17,80,132,401,41,692,115,83,499,512,731,57,1993,367
SOSR122,247,47,468,7,3,12,27,65,8,122,6,0,17,8,15,0,50,5,0,21,30,48,6,105,8,0,13,22,45,11,96,25,18,105,83,111,12,352,0,4,30,48,99,32,210,45,35,135,115,149,17,498,128,123,466,215,249,30,1207,95,70,484,402,687,82,1813,6,4,31,25,38,5,117,6,4,20,46,161,7,238,16,7,17,33,54,42,162,366,287,1588,1369,2517,397,6522,3,0,53,54,356,45,513,0,3,9,27,196,11,247,9,4,75,78,529,37,731,6,6,24,37,162,6,242,7,7,92,121,1165,68,1455,7,0,20,39,146,17,225,14,9,138,142,543,76,921,14,6,108,140,500,79,848,10,8,46,65,354,29,507,13,6,32,26,49,3,123,21,0,51,47,73,8,197,8,3,21,44,87,13,174,71,36,232,130,193,30,699,4,6,50,64,219,42,391,87,60,255,314,469,44,1235,210
SOSR131,1642,305,3231,16,22,187,276,599,112,1210,44,29,227,129,171,24,616,73,36,370,402,578,87,1546,31,19,242,305,584,105,1276,413,261,1941,1015,1364,251,5244,54,57,410,536,976,191,2228,475,294,1753,1299,1432,157,5406,1551,1323,6030,2333,2311,396,13953,1186,936,5670,4140,5289,838,18060,71,34,293,182,358,55,989,54,44,288,586,1676,155,2799,91,56,506,490,790,448,2383,4663,3628,22720,16538,25468,4831,77846,694,477,4709,4422,11726,2122,24144,98,32,359,430,2719,143,3786,191,80,1099,1058,5457,446,8333,69,25,243,417,1316,73,2132,138,74,1044,1448,13410,738,16850,106,44,612,548,1967,195,3464,160,101,1324,1344,4888,658,8474,128,69,800,959,2934,470,5355,70,46,432,671,3354,366,4938,85,42,401,270,507,54,1363,201,75,800,700,818,130,2724,64,30,430,556,1213,182,2475,1031,467,4068,1671,2293,417,9941,101,79,583,761,2114,300,3936,948,546,3132,2647,3976,350,11600,2228
