SOSR_CODE_2016,MSEO_SEO,MSEO_SOLSE_VWorW,MSEO_SOLSE_NWorNAA,MSEO_SOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_SOLSE_VWorW,MOL_Afrikaans_SOLSE_NWorNAA,MOL_Afrikaans_SOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_SOLSE_VWorW,MOL_Arabic_SOLSE_NWorNAA,MOL_Arabic_SOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_SOLSE_VWorW,MOL_AIndLng_SOLSE_NWorNAA,MOL_AIndLng_SOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_SOLSE_VWorW,MOL_CL_Canton_SOLSE_NWorNAA,MOL_CL_Canton_SOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_SOLSE_VWorW,MOL_CL_Mandarin_SOLSE_NWorNAA,MOL_CL_Mandarin_SOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_SOLSE_VWorW,MOL_CL_Oth_SOLSE_NWorNAA,MOL_CL_Oth_SOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_SOLSE_VWorW,MOL_CL_Tot_SOLSE_NWorNAA,MOL_CL_Tot_SOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_SOLSE_VWorW,MOL_Croatian_SOLSE_NWorNAA,MOL_Croatian_SOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_Dutch_SEO,MOL_Dutch_SOLSE_VWorW,MOL_Dutch_SOLSE_NWorNAA,MOL_Dutch_SOLSE_Tot,MOL_Dutch_NS,MOL_Dutch_Tot,MOL_French_SEO,MOL_French_SOLSE_VWorW,MOL_French_SOLSE_NWorNAA,MOL_French_SOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_SOLSE_VWorW,MOL_German_SOLSE_NWorNAA,MOL_German_SOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_SOLSE_VWorW,MOL_Greek_SOLSE_NWorNAA,MOL_Greek_SOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_SOLSE_VWorW,MOL_IAL_Bengali_SOLSE_NWorNAA,MOL_IAL_Bengali_SOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_SOLSE_VWorW,MOL_IAL_Hindi_SOLSE_NWorNAA,MOL_IAL_Hindi_SOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_SOLSE_VWorW,MOL_IAL_Punjabi_SOLSE_NWorNAA,MOL_IAL_Punjabi_SOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_SOLSE_VWorW,MOL_IAL_Sinhal_SOLSE_NWorNAA,MOL_IAL_Sinhal_SOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_SOLSE_VWorW,MOL_IAL_Urdu_SOLSE_NWorNAA,MOL_IAL_Urdu_SOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_SOLSE_VWorW,MOL_IAL_Oth_SOLSE_NWorNAA,MOL_IAL_Oth_SOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_SOLSE_VWorW,MOL_IAL_Tot_SOLSE_NWorNAA,MOL_IAL_Tot_SOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_SOLSE_VWorW,MOL_Italian_SOLSE_NWorNAA,MOL_Italian_SOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_SOLSE_VWorW,MOL_Japan_SOLSE_NWorNAA,MOL_Japan_SOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Korean_SEO,MOL_Korean_SOLSE_VWorW,MOL_Korean_SOLSE_NWorNAA,MOL_Korean_SOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_SOLSE_VWorW,MOL_Macedon_SOLSE_NWorNAA,MOL_Macedon_SOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Maltese_SEO,MOL_Maltese_SOLSE_VWorW,MOL_Maltese_SOLSE_NWorNAA,MOL_Maltese_SOLSE_Tot,MOL_Maltese_NS,MOL_Maltese_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_SOLSE_VWorW,MOL_Persian_ED_SOLSE_NWorNAA,MOL_Persian_ED_SOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_SOLSE_VWorW,MOL_Polish_SOLSE_NWorNAA,MOL_Polish_SOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Russian_SEO,MOL_Russian_SOLSE_VWorW,MOL_Russian_SOLSE_NWorNAA,MOL_Russian_SOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_SOLSE_VWorW,MOL_Samoan_SOLSE_NWorNAA,MOL_Samoan_SOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_SOLSE_VWorW,MOL_Serbian_SOLSE_NWorNAA,MOL_Serbian_SOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_SOLSE_VWorW,MOL_SAL_Filipin_SOLSE_NWorNAA,MOL_SAL_Filipin_SOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_SOLSE_VWorW,MOL_SAL_Indon_SOLSE_NWorNAA,MOL_SAL_Indon_SOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_SOLSE_VWorW,MOL_SAL_Tagalog_SOLSE_NWorNAA,MOL_SAL_Tagalog_SOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_SOLSE_VWorW
SOSR179,119,..,..,..,..,119,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,5,13,0,13,..,0,0,0,0,0,..,6,10,16,0,16,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,3,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
SOSR199,4175,..,..,..,..,4175,..,4,0,4,0,4,..,92,17,108,0,112,..,5,0,11,0,11,..,25,11,31,0,31,..,101,51,158,0,158,..,3,5,6,0,11,..,129,68,197,0,197,..,6,0,6,0,6,..,10,0,10,0,10,..,42,7,44,0,44,..,31,0,32,0,32,..,18,0,18,0,18,..,16,0,16,0,16,..,30,0,29,0,29,..,13,3,12,0,12,..,3,0,3,0,3,..,22,3,24,0,24,..,21,0,21,0,21,..,99,9,106,0,106,..,32,5,35,0,35,..,3,0,3,0,3,..,9,3,15,0,15,..,3,0,3,0,3,..,0,0,0,0,0,..,10,3,13,0,13,..,3,0,3,0,3,..,6,5,12,0,12,..,18,0,18,0,18,..,9,0,9,0,9,..,9,0,9,0,9,..,13,0,20,0,20,..,12,0,12,0,12,..,3
SOSR201,1250438,..,..,..,..,1250438,..,2105,30,2136,15,2154,..,32522,5060,37586,396,37978,..,110,3,113,3,113,..,27443,7970,35407,216,35629,..,62120,20401,82518,455,82973,..,6459,2279,8737,43,8787,..,96026,30649,126667,719,127384,..,6843,953,7798,97,7894,..,2476,69,2541,34,2578,..,7755,300,8053,74,8131,..,6830,187,7015,84,7098,..,42690,7806,50500,442,50940,..,5106,249,5359,44,5402,..,24363,886,25246,181,25431,..,26275,2321,28595,304,28900,..,17325,749,18078,132,18210,..,12056,777,12834,127,12955,..,15195,979,16171,118,16289,..,100315,5966,106282,908,107190,..,39694,5449,45144,619,45759,..,3628,587,4220,35,4254,..,5011,1861,6874,60,6932,..,11358,1891,13249,153,13408,..,6061,508,6567,72,6644,..,6608,1613,8221,86,8310,..,5163,591,5752,52,5798,..,6154,1203,7357,51,7408,..,4480,464,4946,79,5028,..,6104,1226,7329,73,7400,..,6183,166,6346,51,6400,..,6750,473,7229,45,7278,..,8193,214,8408,64,8476,..,2792
SOSR203,61063,..,..,..,..,61063,..,64,0,64,0,64,..,290,58,346,8,354,..,12,0,12,0,12,..,148,36,186,0,188,..,602,147,751,3,752,..,54,22,78,0,78,..,812,209,1015,3,1024,..,752,132,885,13,894,..,141,3,145,3,142,..,119,3,122,0,123,..,251,3,255,3,260,..,273,30,302,5,310,..,58,3,59,0,59,..,273,4,282,3,278,..,346,23,370,3,375,..,119,6,120,0,120,..,132,10,143,0,143,..,169,7,175,3,180,..,1096,56,1150,10,1158,..,734,94,831,21,848,..,75,3,81,0,81,..,43,20,64,0,64,..,367,68,436,8,444,..,33,5,38,0,38,..,170,29,205,0,207,..,130,21,154,0,150,..,91,16,104,0,100,..,13,0,13,0,13,..,285,51,339,4,345,..,111,0,108,0,108,..,73,0,76,0,76,..,130,0,131,0,131,..,59
SOSR211,113119,..,..,..,..,113119,..,92,3,93,0,93,..,372,39,413,7,422,..,28,0,31,0,27,..,149,44,190,0,194,..,565,195,766,9,771,..,68,15,81,0,80,..,787,252,1033,5,1039,..,183,33,215,0,215,..,114,3,112,0,115,..,141,3,150,0,150,..,216,3,221,0,225,..,263,35,299,4,298,..,141,7,147,0,147,..,440,23,466,0,465,..,592,65,660,8,672,..,219,12,229,4,237,..,186,16,199,3,205,..,264,59,322,3,322,..,1838,180,2017,20,2040,..,406,23,435,12,444,..,72,11,79,0,86,..,69,19,87,0,87,..,107,21,123,0,123,..,351,26,372,4,381,..,60,17,81,0,81,..,91,13,112,0,110,..,73,10,79,0,79,..,275,26,304,4,303,..,174,40,208,7,220,..,228,7,236,4,239,..,68,4,74,3,77,..,284,13,294,0,294,..,64
SOSR212,67461,..,..,..,..,67461,..,104,0,103,0,104,..,594,164,755,10,768,..,21,0,19,4,24,..,109,63,171,0,171,..,307,235,540,4,544,..,15,16,29,0,29,..,430,311,740,4,745,..,83,9,98,0,97,..,60,0,58,0,60,..,84,4,89,0,89,..,127,0,127,3,128,..,299,43,339,3,347,..,62,0,62,0,62,..,157,4,158,0,159,..,462,80,541,9,554,..,162,7,169,0,169,..,95,10,97,3,99,..,149,11,154,0,154,..,1082,106,1191,13,1207,..,864,101,965,11,981,..,62,22,83,0,83,..,41,73,112,0,112,..,86,8,93,3,98,..,69,0,76,0,75,..,53,21,77,0,78,..,65,3,71,0,71,..,21,0,20,0,20,..,129,13,149,3,150,..,37,3,37,0,37,..,92,4,94,0,94,..,30,3,37,0,37,..,138,6,138,0,140,..,65
SOSR213,106441,..,..,..,..,106441,..,95,0,101,0,101,..,169,24,187,4,195,..,14,0,14,4,16,..,86,26,113,0,113,..,248,101,352,7,356,..,20,10,33,0,33,..,358,139,498,11,503,..,139,11,154,0,154,..,221,0,224,0,226,..,130,7,137,0,137,..,289,6,295,3,305,..,252,22,275,9,280,..,33,0,36,0,36,..,142,9,154,3,157,..,256,24,282,7,287,..,97,9,112,0,108,..,50,0,54,0,54,..,107,9,119,0,123,..,692,57,749,9,758,..,774,101,871,20,894,..,58,12,69,0,69,..,18,11,25,0,25,..,38,8,48,0,48,..,131,12,142,3,144,..,35,5,36,0,36,..,90,6,100,0,96,..,30,3,35,0,35,..,28,0,32,0,32,..,67,9,80,3,81,..,129,5,139,0,139,..,59,13,70,0,74,..,177,4,181,0,181,..,45
SOSR214,58337,..,..,..,..,58337,..,47,0,48,0,48,..,120,25,148,0,148,..,8,0,8,0,8,..,59,23,75,0,75,..,171,150,318,7,325,..,65,21,86,0,86,..,291,191,479,7,484,..,49,0,57,0,58,..,83,0,83,0,84,..,58,3,58,4,62,..,160,3,166,3,170,..,147,23,172,5,175,..,12,0,12,0,12,..,73,3,74,0,79,..,158,21,175,0,178,..,41,5,42,0,45,..,35,6,42,0,42,..,43,0,50,0,50,..,366,33,401,3,405,..,457,49,509,19,525,..,30,9,36,0,36,..,20,6,23,0,23,..,26,3,34,0,34,..,82,4,94,0,92,..,9,3,9,0,9,..,31,8,35,0,37,..,16,0,16,0,16,..,11,0,11,0,9,..,21,0,21,0,19,..,63,0,65,0,65,..,15,0,23,0,23,..,67,5,69,0,69,..,19
SOSR215,93213,..,..,..,..,93213,..,53,0,53,3,52,..,84,9,91,0,97,..,22,0,21,0,19,..,59,36,93,3,98,..,162,86,245,6,252,..,17,6,23,0,23,..,245,126,366,8,378,..,78,11,90,0,90,..,159,0,164,0,162,..,116,4,125,8,130,..,248,5,253,0,259,..,177,21,196,0,197,..,33,0,34,0,34,..,85,0,87,0,87,..,126,11,137,0,140,..,46,0,49,0,49,..,20,3,26,0,28,..,70,4,69,0,69,..,382,18,396,0,403,..,662,76,735,20,757,..,43,6,47,0,47,..,16,7,25,0,25,..,49,3,52,0,50,..,77,6,81,0,86,..,22,0,23,0,23,..,64,3,74,0,70,..,23,3,21,0,21,..,13,3,19,0,19,..,32,7,42,0,42,..,80,0,78,0,78,..,19,0,21,0,21,..,78,8,87,3,90,..,38
SOSR221,26922,..,..,..,..,26922,..,14,0,14,0,14,..,24,3,28,0,28,..,5,0,5,0,5,..,11,0,14,0,14,..,23,8,28,0,28,..,0,0,0,0,0,..,39,8,44,0,46,..,29,3,38,0,38,..,42,4,44,0,40,..,37,0,37,0,37,..,67,0,72,0,75,..,57,9,67,0,65,..,4,0,4,0,4,..,12,0,12,0,12,..,15,3,22,0,22,..,3,0,3,0,3,..,4,0,4,0,4,..,10,0,10,0,10,..,46,3,44,0,44,..,128,5,137,5,143,..,6,4,12,0,12,..,0,0,0,0,0,..,10,3,13,0,13,..,40,3,42,3,43,..,7,0,7,0,7,..,12,0,8,0,8,..,9,0,5,0,10,..,3,0,3,0,3,..,16,3,18,0,18,..,13,0,16,0,16,..,10,0,10,0,10,..,8,0,8,0,8,..,3
SOSR222,16972,..,..,..,..,16972,..,7,0,7,0,7,..,6,0,6,0,6,..,0,0,0,0,0,..,3,0,6,0,6,..,33,11,42,0,42,..,3,0,3,0,3,..,36,18,54,0,54,..,12,3,16,0,16,..,28,0,28,0,29,..,22,0,19,0,19,..,39,0,42,0,40,..,29,9,34,0,34,..,0,0,0,0,0,..,3,0,3,0,3,..,16,0,15,0,15,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,6,0,6,..,30,3,27,0,27,..,79,5,82,0,82,..,7,0,12,0,12,..,12,3,11,0,11,..,7,0,7,0,7,..,14,0,14,0,14,..,0,0,0,0,0,..,8,0,6,0,9,..,3,0,3,0,3,..,0,0,0,0,0,..,3,3,4,0,10,..,22,0,20,0,20,..,0,0,0,0,0,..,15,0,15,0,15,..,3
SOSR231,184983,..,..,..,..,184983,..,137,0,134,0,140,..,183,22,207,7,215,..,14,0,21,0,21,..,75,23,100,0,100,..,296,124,420,6,427,..,10,3,15,0,15,..,386,153,536,6,546,..,255,22,275,0,278,..,360,15,374,3,378,..,199,14,206,0,206,..,518,8,527,3,537,..,535,61,596,5,599,..,27,0,32,0,32,..,187,6,195,0,199,..,321,53,375,8,378,..,105,8,112,3,117,..,29,0,35,0,32,..,53,3,55,0,55,..,738,64,799,11,813,..,1826,127,1951,36,1990,..,82,10,96,3,95,..,11,5,19,0,19,..,220,26,243,4,246,..,387,11,403,8,402,..,25,0,25,0,25,..,129,9,140,0,140,..,81,13,85,0,85,..,61,7,64,0,66,..,125,17,140,0,142,..,149,10,154,0,155,..,76,0,74,0,74,..,127,10,140,4,139,..,36
SOSR279,18,..,..,..,..,18,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
SOSR299,2372,..,..,..,..,2372,..,0,0,0,0,0,..,30,28,52,0,52,..,0,0,4,0,4,..,18,8,29,0,29,..,52,36,83,3,91,..,0,0,0,0,0,..,72,42,113,3,113,..,0,0,0,0,0,..,11,0,11,0,11,..,20,0,20,0,20,..,14,4,17,0,17,..,20,0,18,0,18,..,3,0,3,0,3,..,24,0,24,0,24,..,12,0,12,0,12,..,9,0,9,0,9,..,6,3,12,0,12,..,12,0,16,0,16,..,60,6,67,0,67,..,39,4,44,0,42,..,4,3,9,0,9,..,7,7,18,0,18,..,3,0,3,0,3,..,0,0,0,0,0,..,5,5,12,0,12,..,4,0,4,0,4,..,8,3,12,0,12,..,11,0,11,0,11,..,6,0,8,0,8,..,7,0,7,0,7,..,3,0,7,0,7,..,8,0,8,0,8,..,5
SOSR301,779244,..,..,..,..,779244,..,2820,48,2865,13,2880,..,4199,856,5054,48,5106,..,284,19,307,10,317,..,7240,1797,9033,47,9083,..,18262,5375,23632,109,23743,..,1063,423,1485,6,1494,..,26565,7589,34155,170,34324,..,932,112,1047,7,1057,..,1360,46,1408,13,1416,..,2729,119,2848,26,2869,..,3071,91,3165,27,3188,..,3268,338,3608,20,3625,..,1225,89,1308,7,1315,..,6874,235,7113,63,7171,..,6577,578,7155,60,7218,..,2099,86,2187,14,2199,..,1952,161,2117,17,2135,..,4809,288,5095,25,5120,..,23534,1435,24977,189,25163,..,4199,370,4573,71,4643,..,2236,384,2617,25,2640,..,4206,2048,6262,32,6290,..,343,40,383,3,390,..,178,12,188,4,191,..,2320,398,2715,16,2730,..,1317,109,1431,8,1440,..,1285,156,1446,11,1458,..,5874,651,6526,121,6650,..,1381,221,1600,5,1606,..,2072,65,2133,11,2142,..,1390,103,1495,11,1505,..,3198,103,3300,22,3321,..,872
SOSR302,211824,..,..,..,..,211824,..,708,12,722,0,725,..,873,81,955,6,963,..,29,3,34,0,37,..,1053,310,1360,12,1378,..,3073,961,4040,22,4057,..,198,65,265,3,265,..,4325,1340,5668,32,5702,..,430,56,487,4,486,..,407,4,412,3,414,..,895,53,942,13,959,..,977,37,1008,10,1021,..,643,51,696,3,703,..,191,11,196,0,196,..,697,24,717,6,719,..,765,73,834,11,843,..,156,5,154,0,161,..,230,4,231,0,231,..,622,28,649,5,649,..,2643,132,2781,26,2801,..,1124,78,1202,25,1222,..,1918,446,2368,8,2375,..,1186,460,1648,16,1659,..,137,17,152,0,155,..,110,5,115,0,114,..,403,45,447,0,451,..,343,22,366,5,370,..,461,58,520,4,522,..,302,9,309,3,315,..,455,74,530,5,537,..,337,10,348,4,347,..,273,15,282,4,291,..,434,10,446,4,445,..,125
SOSR303,269971,..,..,..,..,269971,..,791,9,806,6,811,..,702,96,802,7,806,..,681,65,745,34,776,..,472,129,608,5,617,..,1095,327,1425,17,1442,..,79,22,98,0,98,..,1644,484,2127,24,2154,..,111,12,123,0,123,..,496,7,506,3,511,..,718,48,767,9,778,..,1300,41,1338,8,1350,..,376,27,398,3,401,..,149,6,158,0,158,..,540,25,562,4,565,..,873,68,941,13,958,..,271,10,285,0,283,..,152,13,161,3,167,..,868,242,1115,9,1123,..,2863,372,3227,23,3255,..,1178,92,1274,18,1291,..,1011,205,1212,9,1221,..,569,284,852,3,861,..,23,0,27,0,27,..,57,0,57,0,58,..,164,23,184,0,186,..,195,13,206,4,214,..,159,17,170,0,174,..,113,13,127,0,131,..,75,13,86,0,87,..,456,11,467,9,476,..,234,20,251,5,254,..,697,29,726,3,729,..,142
SOSR311,101431,..,..,..,..,101431,..,383,3,389,3,393,..,61,3,59,0,63,..,72,3,76,0,74,..,98,40,140,3,142,..,249,124,367,0,367,..,26,3,29,0,29,..,372,165,536,3,537,..,31,0,29,0,29,..,135,3,137,3,141,..,135,8,142,0,142,..,263,13,275,6,277,..,43,7,52,0,53,..,96,3,107,0,107,..,184,11,200,0,201,..,179,9,195,6,202,..,112,0,114,0,114,..,78,4,87,0,87,..,231,23,251,5,255,..,884,61,943,15,957,..,237,35,274,7,285,..,66,23,86,0,84,..,79,46,127,0,122,..,3,0,3,0,3,..,71,6,79,0,80,..,32,3,35,0,35,..,36,3,40,0,40,..,48,3,54,0,54,..,51,5,59,0,59,..,19,0,19,0,23,..,350,19,363,3,369,..,45,4,48,0,48,..,483,20,504,12,513,..,53
SOSR312,24108,..,..,..,..,24108,..,80,4,83,0,83,..,44,3,46,3,46,..,13,0,13,0,13,..,13,5,19,0,19,..,50,16,60,0,65,..,6,0,4,0,4,..,70,26,89,0,91,..,8,3,9,0,9,..,23,0,23,0,23,..,27,0,27,0,27,..,55,0,55,0,58,..,20,4,24,0,24,..,31,3,41,0,41,..,71,0,71,0,73,..,55,6,60,0,60,..,12,3,15,0,15,..,25,4,29,0,29,..,28,3,28,0,28,..,226,21,242,0,243,..,36,0,40,0,40,..,11,0,9,0,9,..,15,4,19,0,19,..,3,0,3,0,3,..,3,0,3,0,3,..,19,0,21,0,19,..,7,0,10,0,10,..,14,0,12,0,12,..,14,0,14,0,12,..,14,0,12,0,12,..,114,7,127,0,127,..,21,0,21,0,21,..,170,6,184,0,184,..,12
SOSR313,68736,..,..,..,..,68736,..,284,10,292,0,292,..,39,4,46,0,42,..,42,9,46,5,53,..,48,23,63,0,66,..,94,32,126,4,130,..,3,4,12,0,12,..,137,60,201,3,204,..,19,3,22,0,22,..,58,3,62,0,62,..,96,3,98,0,98,..,194,9,204,0,201,..,48,8,60,0,57,..,15,3,21,0,21,..,107,3,115,0,116,..,85,7,93,0,93,..,46,4,52,0,51,..,27,3,36,0,33,..,79,3,83,0,83,..,361,26,390,3,388,..,99,7,111,5,115,..,46,8,48,3,52,..,31,21,52,0,52,..,3,0,3,0,3,..,4,0,10,0,10,..,11,0,16,0,16,..,28,7,38,0,38,..,28,0,28,0,28,..,38,0,39,0,39,..,17,0,15,0,15,..,206,7,213,0,210,..,21,0,21,0,21,..,210,6,215,3,216,..,27
SOSR314,66709,..,..,..,..,66709,..,278,3,280,4,282,..,81,38,120,0,120,..,96,9,101,4,106,..,58,30,90,5,93,..,180,204,386,4,388,..,13,12,20,0,20,..,257,242,493,12,502,..,32,3,35,0,35,..,103,0,101,0,105,..,109,24,131,0,131,..,187,8,195,0,191,..,61,7,65,0,66,..,30,14,44,0,44,..,83,6,91,0,91,..,279,42,321,10,326,..,33,3,41,0,41,..,24,0,24,0,27,..,81,5,85,0,85,..,531,73,612,8,620,..,444,93,543,3,549,..,93,36,128,4,127,..,92,120,213,0,217,..,0,0,0,0,0,..,13,0,13,0,13,..,26,4,26,0,26,..,32,7,37,0,39,..,27,4,25,0,25,..,28,0,33,0,33,..,16,0,12,0,12,..,153,8,157,0,161,..,40,5,41,0,45,..,204,3,206,4,209,..,22
SOSR315,106658,..,..,..,..,106658,..,196,8,203,0,204,..,39,6,43,4,46,..,1392,170,1561,88,1650,..,51,20,68,0,71,..,162,99,266,3,269,..,5,8,7,0,7,..,216,125,341,4,350,..,31,7,37,0,38,..,130,0,130,3,134,..,161,14,175,3,173,..,308,12,320,4,328,..,44,9,47,0,46,..,28,8,32,0,32,..,81,3,87,0,87,..,147,24,167,0,174,..,33,3,38,0,38,..,27,0,22,0,22,..,80,0,80,3,81,..,394,36,428,3,430,..,422,73,491,13,500,..,91,16,109,0,109,..,86,94,179,3,181,..,0,0,0,0,0,..,16,0,18,0,21,..,14,0,14,0,14,..,32,3,32,0,32,..,30,12,41,0,41,..,48,3,56,0,56,..,21,0,20,0,20,..,181,9,192,4,192,..,44,3,45,0,44,..,248,16,258,3,264,..,44
SOSR321,42461,..,..,..,..,42461,..,62,3,64,0,64,..,17,0,17,0,17,..,1238,131,1370,50,1423,..,13,3,14,0,15,..,29,17,44,0,43,..,3,0,3,0,3,..,42,19,63,3,65,..,8,0,14,0,14,..,73,3,76,0,77,..,46,3,49,0,54,..,143,9,150,3,150,..,21,0,22,0,22,..,4,0,4,0,4,..,15,0,17,0,17,..,28,4,35,7,40,..,3,0,3,0,3,..,11,0,11,0,11,..,15,0,15,0,15,..,79,5,92,7,93,..,120,12,136,6,135,..,42,3,48,0,48,..,7,0,5,4,7,..,0,0,0,0,0,..,12,0,18,0,18,..,3,0,3,0,3,..,19,0,19,0,19,..,14,0,14,0,14,..,6,0,6,0,6,..,7,0,7,0,7,..,26,0,26,0,26,..,9,3,13,0,13,..,42,0,45,0,45,..,4
SOSR322,18368,..,..,..,..,18368,..,31,0,31,0,31,..,4,0,4,0,4,..,1379,237,1616,72,1686,..,0,0,3,0,3,..,13,6,18,0,18,..,0,0,0,0,0,..,15,9,20,0,20,..,8,0,8,0,11,..,25,0,26,0,28,..,13,0,15,0,15,..,58,0,59,0,59,..,6,0,6,0,6,..,0,0,0,0,0,..,8,0,8,0,8,..,22,0,21,0,21,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,27,0,28,0,28,..,78,9,89,0,89,..,17,3,23,0,19,..,0,3,5,0,5,..,0,0,0,0,0,..,6,0,6,0,6,..,4,0,4,0,4,..,8,0,8,0,8,..,9,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,19,0,19,0,19,..,8,0,8,0,8,..,16,0,16,0,16,..,4
