UCL_CODE_2016,MOL_SAL_Oth_SOLSE_NWorNAA,MOL_SAL_Oth_SOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_SOLSE_VWorW,MOL_SAL_Tot_SOLSE_NWorNAA,MOL_SAL_Tot_SOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_SOLSE_VWorW,MOL_Spanish_SOLSE_NWorNAA,MOL_Spanish_SOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_SOLSE_VWorW,MOL_Tamil_SOLSE_NWorNAA,MOL_Tamil_SOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_SOLSE_VWorW,MOL_Thai_SOLSE_NWorNAA,MOL_Thai_SOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_SOLSE_VWorW,MOL_Turkish_SOLSE_NWorNAA,MOL_Turkish_SOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_SOLSE_VWorW,MOL_Vietnamese_SOLSE_NWorNAA,MOL_Vietnamese_SOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_SOLSE_VWorW,MOL_Oth_SOLSE_NWorNAA,MOL_Oth_SOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_SOLSE_VWorW,MOL_Tot_SOLSE_NWorNAA,MOL_Tot_SOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LSatH_NS_SEO,M_LSatH_NS_SOLSE_VWorW,M_LSatH_NS_SOLSE_NWorNAA,M_LSatH_NS_SOLSE_Tot,M_LSatH_NS_NS,M_LSatH_NS_Tot,M_Tot_SEO,M_Tot_SOLSE_VWorW,M_Tot_SOLSE_NWorNAA,M_Tot_SOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_SOLSE_VWorW,FSEO_SOLSE_NWorNAA,FSEO_SOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_SOLSE_VWorW,FOL_Afrikaans_SOLSE_NWorNAA,FOL_Afrikaans_SOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_SOLSE_VWorW,FOL_Arabic_SOLSE_NWorNAA,FOL_Arabic_SOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_SOLSE_VWorW,FOL_AIndLng_SOLSE_NWorNAA,FOL_AIndLng_SOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Cantones_SEO,FOL_CL_Cantones_SOLSE_VWorW,FOL_CL_Cantones_SOLSE_NWorNAA,FOL_CL_Cantones_SOLSE_Tot,FOL_CL_Cantones_NS,FOL_CL_Cantones_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_SOLSE_VWorW,FOL_CL_Mandarin_SOLSE_NWorNAA,FOL_CL_Mandarin_SOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_SOLSE_VWorW,FOL_CL_Oth_SOLSE_NWorNAA,FOL_CL_Oth_SOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_SOLSE_VWorW,FOL_CL_Tot_SOLSE_NWorNAA,FOL_CL_Tot_SOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_SOLSE_VWorW,FOL_Croatian_SOLSE_NWorNAA,FOL_Croatian_SOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_Dutch_SEO,FOL_Dutch_SOLSE_VWorW,FOL_Dutch_SOLSE_NWorNAA,FOL_Dutch_SOLSE_Tot,FOL_Dutch_NS,FOL_Dutch_Tot,FOL_French_SEO,FOL_French_SOLSE_VWorW,FOL_French_SOLSE_NWorNAA,FOL_French_SOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_SOLSE_VWorW,FOL_German_SOLSE_NWorNAA,FOL_German_SOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_SOLSE_VWorW,FOL_Greek_SOLSE_NWorNAA,FOL_Greek_SOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_SOLSE_VWorW,FOL_IAL_Bengali_SOLSE_NWorNAA,FOL_IAL_Bengali_SOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_SOLSE_VWorW,FOL_IAL_Hindi_SOLSE_NWorNAA,FOL_IAL_Hindi_SOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_SOLSE_VWorW,FOL_IAL_Punjabi_SOLSE_NWorNAA,FOL_IAL_Punjabi_SOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhalese_SEO,FOL_IAL_Sinhalese_SOLSE_VWorW,FOL_IAL_Sinhale_SOLSE_NWorNAA,FOL_IAL_Sinhalese_SOLSE_Tot,FOL_IAL_Sinhalese_NS,FOL_IAL_Sinhalese_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_SOLSE_VWorW,FOL_IAL_Urdu_SOLSE_NWorNAA,FOL_IAL_Urdu_SOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_SOLSE_VWorW,FOL_IAL_Oth_SOLSE_NWorNAA,FOL_IAL_Oth_SOLSE_Tot,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_SOLSE_VWorW,FOL_IAL_Tot_SOLSE_NWorNAA,FOL_IAL_Tot_SOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_SOLSE_VWorW,FOL_Italian_SOLSE_NWorNAA,FOL_Italian_SOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japanese_SEO,FOL_Japanese_SOLSE_VWorW,FOL_Japanese_SOLSE_NWorNAA,FOL_Japanese_SOLSE_Tot,FOL_Japanese_NS,FOL_Japanese_Tot,FOL_Korean_SEO,FOL_Korean_SOLSE_VWorW,FOL_Korean_SOLSE_NWorNAA,FOL_Korean_SOLSE_Tot
UCL213018,0,0,0,0,..,12,0,12,0,12,..,7,0,8,0,8,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,4,3,8,0,8,..,54,13,66,0,69,..,286,40,327,6,337,..,29,4,30,363,392,6012,316,42,358,370,6742,6718,..,..,..,..,6718,..,8,0,8,0,8,..,6,0,3,0,3,..,0,0,0,0,0,..,10,3,8,0,8,..,37,24,57,0,57,..,3,0,3,0,3,..,43,21,70,0,70,..,8,0,5,0,5,..,15,0,19,0,19,..,10,0,10,0,10,..,16,0,16,0,21,..,15,0,11,0,11,..,4,0,4,0,4,..,3,0,3,0,3,..,15,0,19,0,19,..,7,0,7,0,7,..,3,0,3,0,3,..,3,0,6,0,6,..,36,4,38,0,38,..,34,0,36,0,36,..,8,0,6,0,6,..,4,0,4
UCL214001,0,0,0,0,..,16,0,16,0,16,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,7,0,7,0,7,..,19,6,22,0,23,..,123,33,151,4,156,..,11,7,11,160,171,3073,127,33,167,165,3398,3153,..,..,..,..,3153,..,3,0,3,0,3,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,13,21,32,0,30,..,0,0,0,0,0,..,13,22,32,0,33,..,3,0,3,0,3,..,6,0,6,0,6,..,3,0,3,0,3,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,9,0,9,0,9,..,15,0,15,0,15,..,0,0,0,0,0,..,12,0,12,0,10,..,0,0,0,0,0,..,32,0,34,0,32,..,8,0,7,0,7,..,0,0,0,0,0,..,0,0,0
UCL214002,0,0,0,0,..,6,0,7,0,7,..,4,0,4,0,4,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,26,4,33,0,33,..,133,13,155,0,151,..,8,0,8,321,327,3892,150,13,163,318,4376,4371,..,..,..,..,4371,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,8,0,5,0,5,..,9,0,6,0,6,..,3,0,4,0,4,..,18,5,19,0,19,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,7,..,17,0,16,3,22,..,0,0,0,0,4,..,0,0,0,0,0,..,8,0,8,0,8,..,8,0,6,0,6,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,22,3,23,0,23,..,9,0,13,0,11,..,0,0,0,0,0,..,0,0,0
UCL214003,0,0,0,0,..,7,0,7,0,7,..,12,0,11,0,11,..,0,0,0,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,23,3,29,4,33,..,145,36,184,4,186,..,9,0,11,1043,1054,3743,155,34,191,1051,4979,4308,..,..,..,..,4308,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,3,5,5,0,5,..,8,23,31,0,31,..,0,0,0,0,0,..,13,23,39,0,39,..,3,0,3,0,3,..,13,0,13,0,13,..,12,0,13,0,13,..,23,0,23,0,23,..,5,0,5,0,5,..,0,0,0,0,0,..,5,0,5,0,5,..,3,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,12,0,12,..,13,0,13,0,13,..,4,0,4,0,4,..,0,0,0
UCL214004,3,3,0,3,..,12,4,19,0,19,..,0,0,0,0,0,..,3,3,5,0,5,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,13,4,16,0,16,..,252,61,322,5,326,..,9,3,11,196,207,2123,266,64,332,202,2652,2217,..,..,..,..,2217,..,0,0,0,0,0,..,49,11,60,0,60,..,0,0,0,0,0,..,0,0,0,0,0,..,9,5,22,0,22,..,0,3,3,0,3,..,12,14,22,0,22,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,33,9,37,0,39,..,3,0,3,0,3,..,4,4,8,0,8,..,3,0,3,0,3,..,42,12,54,0,50,..,81,21,98,0,99,..,4,0,4,0,4,..,0,0,0
UCL214005,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,3,4,0,4,..,14,3,12,0,12,..,0,0,0,24,26,469,11,3,13,24,509,482,..,..,..,..,482,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0
UCL214006,0,0,0,0,..,0,0,0,0,0,..,13,0,13,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,27,8,30,0,32,..,185,26,211,0,210,..,7,0,7,234,243,4332,194,26,216,241,4786,4503,..,..,..,..,4503,..,10,0,10,0,10,..,3,0,3,0,5,..,0,0,0,0,0,..,3,3,6,0,6,..,9,10,24,0,24,..,0,0,0,0,0,..,15,15,28,0,28,..,6,0,10,0,10,..,4,0,4,0,4,..,11,0,11,0,11,..,9,0,9,0,9,..,12,0,12,0,13,..,0,0,0,0,0,..,3,0,3,0,3,..,4,3,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,12,3,11,0,11,..,30,0,26,0,26,..,7,0,7,0,7,..,0,0,0
UCL214007,0,3,0,3,..,9,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,3,4,0,4,..,35,12,41,0,41,..,130,19,145,0,143,..,14,0,14,232,242,3799,141,19,156,230,4187,4291,..,..,..,..,4291,..,8,0,8,0,8,..,5,0,5,0,5,..,3,0,3,0,3,..,4,4,6,0,6,..,16,0,16,0,16,..,0,0,0,0,0,..,19,6,21,0,21,..,0,0,3,0,3,..,10,0,10,0,10,..,3,0,3,0,3,..,3,0,3,0,3,..,3,0,3,0,3,..,3,0,3,0,3,..,4,0,4,0,4,..,3,3,6,0,6,..,0,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,12,0,15,0,15,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0
UCL214008,0,0,0,0,..,4,0,4,0,4,..,5,0,5,0,5,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,21,7,24,0,24,..,148,6,157,3,159,..,6,4,9,231,242,3692,154,12,166,234,4085,3995,..,..,..,..,3995,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,9,6,16,0,16,..,0,0,0,0,0,..,9,3,17,0,17,..,0,0,0,0,0,..,12,0,12,0,12,..,5,0,5,0,4,..,30,0,30,0,30,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,11,0,10,6,11,..,9,0,14,0,14,..,0,0,0
UCL214009,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,11,5,12,0,12,..,87,15,96,0,102,..,9,0,9,159,167,2142,96,15,110,160,2410,2362,..,..,..,..,2362,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,0,0,0,..,0,0,0,0,0,..,0,0,4,0,4,..,0,0,0,0,0,..,12,0,12,0,12,..,4,0,4,0,4,..,14,0,14,0,12,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,0,0,3,0,3,..,6,0,11,0,11,..,18,3,18,0,18,..,0,0,0,0,0,..,0,0,0
UCL214010,0,0,0,0,..,9,0,9,0,9,..,14,0,14,0,14,..,0,0,0,0,0,..,6,4,10,0,10,..,0,3,6,0,6,..,3,0,3,0,3,..,14,9,21,0,21,..,173,41,215,0,213,..,13,0,13,210,218,2974,180,41,224,214,3410,3059,..,..,..,..,3059,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,25,8,34,0,34,..,7,4,19,0,19,..,34,16,50,0,50,..,0,0,0,0,0,..,3,0,3,0,3,..,11,0,11,0,11,..,12,0,10,0,10,..,6,0,6,0,10,..,0,0,0,0,0,..,8,4,14,0,14,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,17,4,23,0,23,..,28,3,32,0,32,..,9,0,8,0,8,..,3,0,3
UCL214011,0,0,0,0,..,18,0,18,0,18,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,25,3,23,0,26,..,112,13,125,4,131,..,0,0,0,200,205,2492,115,13,128,204,2821,2675,..,..,..,..,2675,..,0,0,0,0,0,..,0,0,0,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,4,0,4,..,3,0,6,0,6,..,0,0,0,0,0,..,4,0,4,0,4,..,3,3,3,0,3,..,0,0,0,0,0,..,6,0,7,0,7,..,0,0,0,0,0,..,6,0,6,0,6,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,14,0,14,0,14,..,33,12,45,0,45,..,0,0,0,0,0,..,8,0,8
UCL214012,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,14,4,16,4,25,..,99,18,113,6,121,..,4,0,4,305,312,2516,102,18,120,312,2948,2634,..,..,..,..,2634,..,0,0,0,0,0,..,0,0,4,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,11,11,22,0,22,..,0,0,0,0,0,..,17,11,27,0,27,..,0,0,0,0,0,..,8,0,8,0,8,..,3,0,3,0,3,..,10,0,10,0,10,..,13,0,13,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,29,3,30,0,30,..,0,0,0,0,0,..,0,0,0
UCL214013,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,24,8,36,0,36,..,83,22,105,0,105,..,10,0,11,152,162,2138,90,23,113,152,2405,2399,..,..,..,..,2399,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,3,10,0,10,..,0,0,0,0,0,..,9,3,10,0,10,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,7,0,7,0,7,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,5,0,5,..,21,0,20,0,20,..,0,0,0,0,0,..,0,0,0
UCL214014,0,0,0,0,..,11,0,12,0,12,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,9,3,13,0,13,..,82,12,97,3,100,..,13,0,13,227,244,3237,94,12,107,229,3574,3540,..,..,..,..,3540,..,3,0,3,0,3,..,0,0,0,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,7,3,10,0,10,..,3,0,3,0,3,..,7,3,13,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,5,0,9,0,9,..,0,0,0,0,0,..,5,0,5,0,5,..,3,0,6,0,6,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,3,0,3,..,10,4,12,0,12,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0
UCL214015,0,0,0,0,..,3,0,3,0,3,..,4,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,16,4,15,0,15,..,195,30,223,10,234,..,12,0,12,253,260,2863,203,30,232,260,3355,3027,..,..,..,..,3027,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,7,0,7,..,0,0,0,0,0,..,8,0,4,0,4,..,18,4,20,0,20,..,7,0,7,0,8,..,9,0,9,0,9,..,15,0,15,0,15,..,33,14,50,0,50,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,36,4,39,0,39,..,3,0,3,0,3,..,0,0,0
UCL214016,0,0,0,0,..,29,3,26,0,26,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,8,3,13,0,13,..,160,55,217,0,217,..,5,3,7,309,319,2339,170,54,225,309,2875,2459,..,..,..,..,2459,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,9,11,22,0,22,..,0,0,0,0,0,..,13,13,26,0,23,..,0,0,0,0,0,..,0,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,5,0,5,0,5,..,8,0,8,0,8,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,22,0,18,0,18,..,27,0,26,0,26,..,8,0,8,0,8,..,0,0,0
UCL214017,0,0,0,0,..,12,0,12,0,12,..,0,0,0,0,0,..,11,0,11,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,19,6,21,0,21,..,89,22,106,0,106,..,4,3,5,195,197,2357,86,21,115,196,2662,2503,..,..,..,..,2503,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,11,12,20,0,20,..,3,0,3,0,3,..,16,13,26,0,26,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,3,0,6,0,6,..,0,0,0,0,0,..,4,0,4,0,4,..,11,4,11,0,11,..,0,0,0,0,0,..,3,0,3,0,3,..,6,0,3
UCL214018,0,7,0,12,..,15,0,17,0,15,..,14,0,14,0,14,..,7,0,10,0,10,..,0,0,0,0,0,..,9,3,12,0,12,..,0,0,0,0,0,..,37,11,47,3,49,..,343,37,379,4,382,..,3,0,3,288,293,3529,345,37,385,298,4211,3596,..,..,..,..,3596,..,4,0,4,0,4,..,20,8,26,0,26,..,0,0,0,0,0,..,13,0,11,0,11,..,13,4,14,0,14,..,0,0,0,0,0,..,25,5,25,0,25,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,3,0,3,..,8,0,12,0,12,..,17,0,17,0,17,..,0,0,0,0,0,..,5,0,5,0,5,..,17,6,19,0,19,..,6,0,6,0,6,..,9,0,9,0,9,..,0,0,4,0,4,..,42,8,47,0,47,..,53,4,60,0,60,..,3,0,3,0,3,..,3,0,3
UCL214019,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,6,3,4,0,4,..,0,0,0,0,0,..,7,4,9,0,9,..,48,8,59,3,58,..,165,30,193,6,204,..,10,0,10,291,302,3244,177,30,207,297,3750,3617,..,..,..,..,3617,..,3,0,3,0,3,..,6,0,6,0,6,..,0,0,0,0,0,..,3,3,10,0,10,..,16,3,16,0,16,..,0,0,0,0,0,..,19,5,27,0,27,..,0,0,0,0,0,..,11,0,11,0,11,..,3,0,3,0,3,..,6,0,8,0,8,..,5,0,3,0,7,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,10,0,9,0,9,..,34,10,49,3,50,..,0,0,0,0,0,..,0,0,0
UCL214020,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,20,0,20,0,20,..,97,14,110,3,110,..,0,0,0,346,347,3379,100,14,113,343,3837,3544,..,..,..,..,3544,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,5,0,5,..,3,0,6,0,6,..,3,0,3,0,3,..,6,3,10,0,10,..,3,0,3,0,3,..,3,0,3,0,3,..,3,0,3,0,3,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,3,0,3,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,6,0,6,..,13,3,16,0,16,..,5,0,9,0,9,..,0,0,0,0,0,..,0,0,0
UCL215001,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,4,0,3,0,3,..,17,0,18,0,18,..,0,0,0,35,35,502,17,0,18,35,551,490,..,..,..,..,490,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,3,0,3,..,0,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,3,..,0,0,3,0,3,..,3,0,4,0,4,..,0,0,0,0,0,..,0,0,0
UCL215002,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,4,8,0,8,..,20,7,23,0,23,..,3,0,3,85,90,1067,25,7,32,85,1179,1122,..,..,..,..,1122,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
UCL215003,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,30,0,28,0,30,..,0,0,0,78,82,1160,28,0,30,81,1269,1176,..,..,..,..,1176,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,3,0,3,..,3,0,3,0,3,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0
UCL215004,0,0,0,0,..,4,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,3,0,3,..,47,7,51,3,54,..,4,0,4,66,71,542,46,7,57,72,664,554,..,..,..,..,554,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,3,3,0,3,..,6,0,5,0,5,..,0,0,3,0,3,..,5,6,11,0,11,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,16,0,15,0,15,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,4,0,3,0,3,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,3,0,3,..,0,0,0
