UCL_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
UCL315074,15,29,19,11,14,0,0,89,3,0,0,0,0,0,0,7,3,0,3,0,4,0,0,12,31,44,28,15,24,3,0,149,3,5,0,3,3,0,0,16,3,6,6,0,0,0,0,22,3,16,13,3,5,0,0,32,35,60,37,22,30,6,0,186,54,39,16,9,3,0,0,117,0,0,0,0,0,0,0,3,88,95,56,29,35,3,0,306
UCL315075,3,14,7,0,0,0,0,28,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,26,17,6,5,0,0,60,3,0,0,0,0,0,0,9,5,10,3,3,0,0,0,18,8,7,3,6,0,0,0,23,20,35,18,5,5,0,0,83,96,60,39,18,7,0,0,225,0,0,0,0,0,0,0,0,113,94,61,20,12,0,0,310
UCL315076,3,31,15,14,13,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,40,28,26,20,6,4,133,0,3,0,5,0,0,0,9,0,0,0,0,0,0,0,4,3,7,3,7,0,0,0,16,11,48,31,25,25,6,4,147,6,14,12,3,7,0,0,47,0,3,3,0,0,0,0,3,22,62,39,34,29,7,4,197
UCL315077,5,17,9,7,7,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,27,17,4,12,4,0,69,0,3,5,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,12,7,26,21,10,11,4,0,86,20,20,10,13,6,0,0,66,0,0,0,0,0,0,0,3,26,50,30,22,16,6,0,152
UCL315078,4,17,11,5,3,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,19,6,8,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,19,6,8,0,0,56,11,12,5,8,3,0,0,46,0,0,0,0,0,0,0,0,12,34,22,10,12,3,0,100
UCL315079,4,27,9,6,4,0,0,55,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,9,49,19,15,13,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,49,20,15,13,0,0,102,16,10,8,0,3,0,0,34,0,0,0,0,0,0,0,0,28,55,24,15,15,0,0,132
UCL315080,10,18,12,10,12,0,0,51,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,13,31,22,17,31,0,0,112,0,0,0,4,3,0,0,7,0,9,5,0,0,0,0,12,0,9,3,4,3,0,0,19,15,41,23,20,32,0,0,131,13,32,14,5,10,0,0,70,0,0,0,0,0,0,0,0,28,76,36,29,42,0,0,207
UCL315081,0,0,4,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,0,0,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,4,3,3,3,3,0,0,16,5,7,3,0,3,0,0,22,0,0,0,0,0,0,0,4,15,9,9,3,11,0,0,42
UCL315082,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,12
UCL315083,0,4,4,0,0,0,0,18,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,6,0,4,0,0,24,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,3,12,6,0,7,0,0,30,6,14,3,7,3,0,0,33,0,0,0,0,0,0,0,0,10,22,15,5,8,0,0,61
