UCL_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
UCL115129,498,1102,34,53,37,57,66,114,80,126,0,0,0,0,0,0,84,125,3,9,5,10,3,0,0,0,14,20,0,0,662,1360,166,..,827,1360
UCL115130,938,1913,38,76,24,59,71,129,28,46,17,23,0,0,0,0,43,68,0,0,0,0,0,0,12,21,12,21,5,6,1060,2140,247,..,1303,2140
UCL115131,1492,3496,38,62,0,0,38,62,112,143,0,0,0,0,0,0,112,143,9,9,0,0,0,0,12,24,22,34,3,3,1663,3732,235,..,1893,3732
UCL115132,1108,2361,47,62,0,0,47,62,30,39,0,0,0,0,0,0,30,39,3,8,3,4,0,0,8,16,13,25,4,5,1211,2497,187,..,1400,2497
UCL115133,520,1571,17,37,0,0,17,37,8,13,0,0,0,0,0,0,8,13,0,0,0,0,0,0,0,0,0,0,0,3,535,1620,32,..,568,1620
UCL115134,885,2597,94,156,14,21,110,173,3,8,0,0,0,0,0,0,3,8,0,0,0,0,0,0,8,13,10,18,5,5,1008,2796,50,..,1057,2796
UCL115135,850,1845,23,27,0,0,23,27,36,61,3,4,0,0,0,0,39,59,10,20,25,34,0,4,20,39,55,91,0,0,970,2022,202,..,1174,2022
UCL115136,321,734,9,21,3,4,15,23,14,22,0,0,0,0,0,0,14,22,12,21,33,55,0,0,0,0,48,75,0,0,397,853,217,..,609,853
UCL115137,523,1225,12,21,0,0,15,19,11,24,0,0,0,0,0,0,11,24,4,11,3,3,0,0,0,0,6,11,5,14,561,1290,109,..,673,1290
UCL115138,968,2003,15,19,9,18,28,40,34,46,0,0,0,0,0,0,37,42,0,0,0,0,0,0,0,0,0,0,4,7,1029,2084,654,..,1691,2084
