UCL_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
UCL122065,127,310,7,8,0,0,7,8,4,5,0,0,0,0,0,0,4,5,3,6,0,0,0,0,0,0,3,6,3,7,143,341,41,..,189,341
UCL122066,139,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,24,148,420,13,..,164,420
UCL122067,140,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,28,0,0,145,405,9,..,153,405
UCL122068,127,267,0,3,0,0,0,3,8,9,0,0,0,0,0,0,8,9,0,3,3,6,0,0,0,0,4,12,0,0,134,284,135,..,270,284
UCL122069,116,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,334,5,..,128,334
UCL122070,169,399,6,10,0,3,5,7,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,175,412,26,..,198,412
UCL122071,49,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,56,109,21,..,80,109
UCL122072,104,244,0,0,0,0,0,0,6,16,0,0,0,0,0,0,6,16,0,0,16,31,0,0,0,7,19,40,0,0,132,295,35,..,171,295
UCL122073,106,345,22,22,0,0,22,22,12,19,0,0,0,0,0,0,12,19,0,0,0,0,0,0,0,0,0,0,0,0,137,386,6,..,143,386
UCL122074,90,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,90,187,78,..,171,187
UCL122075,113,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,8,10,3,4,120,236,173,..,291,236
UCL122076,123,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,352,0,..,121,352
UCL122077,28,63,82,158,0,0,82,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,41,121,258,25,..,142,258
UCL122078,86,257,0,0,0,0,0,0,6,10,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,92,263,7,..,96,263
UCL122079,74,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,3,0,0,72,185,8,..,85,185
UCL122080,178,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,4,6,0,0,179,370,166,..,341,370
UCL122081,73,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,219,19,..,88,219
UCL122082,129,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,132,344,14,..,143,344
UCL122083,131,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,131,240,10,..,140,240
UCL122084,99,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,272,9,..,106,272
UCL122085,150,400,3,3,0,0,3,3,4,6,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,155,414,12,..,168,414
UCL122086,132,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,284,49,..,187,284
UCL122087,142,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,146,432,14,..,152,432
UCL122088,101,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,100,229,15,..,115,229
UCL122089,132,306,12,28,4,4,16,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,345,108,..,252,345
UCL122090,185,420,0,0,0,0,0,0,13,12,0,0,0,0,0,0,13,12,0,0,0,0,0,0,3,4,3,4,0,0,191,442,17,..,216,442
UCL122091,63,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,34,26,46,0,0,0,0,48,78,0,0,116,205,31,..,148,205
UCL122092,95,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,266,0,..,99,266
UCL122093,68,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,69,204,4,..,74,204
UCL122094,109,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,3,0,5,0,0,113,243,26,..,132,243
UCL122095,145,329,12,17,0,0,12,17,5,12,0,0,0,0,0,0,5,12,0,0,0,0,0,0,3,0,3,0,0,0,166,371,29,..,187,371
UCL122096,81,178,0,0,0,0,0,0,7,7,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,87,185,73,..,159,185
UCL122097,88,236,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,240,8,..,102,240
UCL122098,139,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,137,343,14,..,147,343
UCL122099,154,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,151,387,41,..,195,387
UCL122100,112,242,0,0,0,0,0,0,6,7,0,0,0,0,0,0,6,7,0,0,0,0,0,3,0,3,4,4,3,10,128,262,45,..,173,262
UCL122101,122,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,331,5,..,128,331
UCL122102,151,349,11,17,0,0,11,17,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,4,8,8,0,0,166,368,76,..,248,368
UCL122103,112,255,0,0,3,11,3,11,11,21,0,0,0,0,0,0,11,21,6,5,20,24,0,0,0,0,21,34,0,0,147,316,58,..,207,316
UCL122104,80,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,79,221,6,..,86,221
UCL122105,90,188,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,93,192,40,..,137,192
UCL122106,77,176,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,3,3,28,7,11,85,217,7,..,95,217
UCL122107,150,303,5,5,3,7,8,11,13,31,0,0,0,0,0,0,13,31,15,16,0,8,0,6,0,0,17,26,0,3,191,373,35,..,224,373
UCL122108,99,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,214,23,..,119,214
UCL122109,173,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,180,359,121,..,301,359
UCL122110,120,303,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,7,6,136,316,27,..,161,316
UCL122111,115,257,0,0,0,0,0,0,3,4,0,0,0,0,0,0,3,4,3,4,0,0,0,0,3,5,6,10,0,4,131,272,23,..,157,272
UCL122112,93,205,0,0,0,0,0,0,4,3,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,3,6,102,213,28,..,132,213
UCL122113,117,389,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,397,10,..,127,397
UCL122114,102,288,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,102,297,11,..,110,297
UCL122115,63,138,41,98,0,6,46,103,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,5,3,3,16,110,263,6,..,118,263
UCL122116,118,302,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,4,3,4,0,0,122,310,14,..,140,310
UCL122117,95,166,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,98,177,162,..,262,177
UCL122118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,6,11,0,..,6,11
UCL122119,132,349,3,4,0,0,3,4,3,4,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,3,138,361,7,..,144,361
UCL122120,97,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,319,3,..,105,319
UCL122121,114,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,114,251,54,..,169,251
UCL122122,72,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,202,13,..,89,202
UCL122123,123,267,0,0,0,0,0,0,7,10,0,0,0,0,0,0,7,10,4,11,0,0,0,0,0,0,4,11,0,0,137,280,101,..,239,280
UCL122124,103,244,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,105,247,7,..,111,247
UCL122125,113,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,3,115,329,9,..,126,329
UCL122126,127,392,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,131,398,3,..,133,398
UCL122127,102,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,298,7,..,112,298
UCL122128,113,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,0,0,0,0,11,15,0,0,118,281,218,..,336,281
UCL122129,146,403,0,0,0,0,0,0,5,11,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,154,419,11,..,158,419
UCL122130,98,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,264,14,..,112,264
UCL122131,143,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,424,16,..,154,424
UCL122132,84,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,86,186,24,..,109,186
UCL122133,74,221,3,16,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,237,3,..,82,237
UCL122134,89,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,6,0,0,92,174,161,..,253,174
UCL122135,109,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,294,3,..,112,294
UCL122136,109,252,0,3,3,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,118,265,43,..,160,265
UCL122137,72,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,4,9,0,3,78,179,20,..,100,179
UCL122138,105,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,107,266,11,..,115,266
UCL122139,79,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,189,6,..,85,189
UCL122140,0,3,0,0,0,0,0,0,31,66,0,0,0,0,0,0,31,66,0,0,0,0,0,0,0,0,0,0,81,164,115,234,0,..,115,234
UCL122141,146,400,0,0,0,0,0,0,3,9,0,0,0,0,0,0,3,9,0,5,0,0,0,0,0,0,4,9,0,3,151,417,39,..,192,417
UCL122142,36,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17,81,112,0,0,0,0,94,127,0,4,130,231,3,..,139,231
UCL122143,133,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,138,349,15,..,145,349
UCL122144,54,109,0,0,0,0,0,0,4,10,0,0,0,0,0,0,4,10,0,6,0,0,0,0,3,12,3,14,0,0,63,133,17,..,80,133
UCL122145,46,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,196,3,..,53,196
UCL122146,142,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,285,14,..,149,285
UCL122147,157,330,0,0,0,0,0,0,10,6,0,0,0,0,0,0,10,6,3,7,0,0,0,0,0,0,3,7,0,4,167,350,36,..,200,350
UCL122148,104,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,103,234,13,..,115,234
UCL122149,86,190,0,0,0,0,0,0,3,6,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,87,189,27,..,119,189
UCL122150,130,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,131,324,11,..,136,324
UCL122151,87,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,3,90,240,3,..,90,240
UCL122152,68,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,8,0,0,73,157,7,..,83,157
UCL122153,147,360,14,16,4,11,16,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,7,6,0,0,171,396,20,..,193,396
UCL122154,115,241,0,0,0,0,0,0,3,8,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,3,125,255,20,..,141,255
UCL122155,100,221,0,0,0,0,0,0,3,6,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,102,225,43,..,152,225
UCL122156,78,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,6,0,0,83,166,17,..,100,166
UCL122157,91,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,0,3,98,192,16,..,111,192
UCL122158,154,448,0,0,0,0,0,0,7,11,0,0,0,0,0,0,7,11,0,0,0,0,0,0,0,0,0,0,0,0,163,467,8,..,167,467
UCL122159,131,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,312,13,..,150,312
UCL122160,171,418,3,15,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,172,439,34,..,206,439
UCL122161,137,350,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,362,14,..,151,362
UCL122162,123,255,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,260,14,..,138,260
UCL122163,123,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,32,139,289,41,..,179,289
UCL122164,140,296,8,6,3,7,14,13,3,0,0,0,0,0,0,4,4,9,12,15,29,38,0,0,3,10,41,56,3,5,192,382,186,..,380,382
UCL122165,124,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,3,6,0,0,9,12,0,0,132,316,47,..,173,316
UCL122166,153,362,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,370,17,..,177,370
UCL122167,117,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,426,3,..,119,426
UCL122168,110,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,257,17,..,130,257
UCL131777,176355,476282,975,2158,108,278,1079,2433,487,931,33,49,17,19,69,141,605,1143,1022,1773,1035,1852,708,1506,511,1396,3279,6526,2096,5125,183411,491504,34834,..,218240,491504
UCL179997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
UCL199994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
UCL201001,978483,2876730,155370,335212,103957,268391,259326,603602,87360,166868,49142,85930,93048,173768,329,655,229883,427219,549,804,1389,1907,114,180,3689,8525,5735,11422,4412,9670,1477840,3928640,156535,..,1634376,3928640
UCL203001,49368,125750,6320,10271,1361,2729,7684,12993,1891,2974,107,157,186,307,4,7,2189,3451,46,72,131,174,0,4,216,621,399,872,170,350,59805,143416,6381,..,66188,143416
UCL211001,11197,29067,1374,2187,101,207,1478,2396,329,504,0,0,0,0,0,0,329,504,15,30,8,13,0,0,17,44,44,80,24,55,13075,32107,1268,..,14346,32107
UCL211002,29115,72784,4853,8823,508,1128,5361,9956,1113,1655,70,108,0,0,0,3,1187,1767,3,5,3,10,0,6,49,112,59,129,154,275,35872,84904,4247,..,40120,84904
UCL211003,30907,77620,2804,4363,388,756,3196,5122,460,758,56,87,17,18,0,0,529,859,59,74,31,46,3,8,47,98,138,223,124,241,34897,84067,3985,..,38878,84067
UCL211004,15639,45239,2045,4626,294,796,2342,5423,61,144,0,0,4,11,0,3,70,161,0,3,4,6,0,0,10,45,19,57,38,98,18101,50973,1346,..,19452,50973
UCL212001,9891,25458,1613,2658,58,111,1678,2770,977,1526,0,0,0,0,0,0,979,1521,28,50,24,45,3,11,9,28,66,130,53,98,12667,29977,1478,..,14141,29977
UCL212002,14275,37628,1904,3332,97,196,1993,3531,112,188,21,30,0,0,0,0,142,213,49,58,20,28,0,10,23,80,96,174,29,68,16531,41613,1718,..,18249,41613
UCL212003,10598,30161,411,632,95,193,504,827,814,1366,0,0,0,0,0,0,814,1366,3,6,0,0,0,0,3,6,5,13,18,36,11937,32408,802,..,12740,32408
UCL212004,8295,20723,485,744,46,110,528,851,677,971,0,0,0,0,0,0,677,971,3,5,55,80,0,0,7,10,61,93,46,60,9605,22696,1231,..,10838,22696
UCL212005,9474,24115,1216,1861,314,572,1530,2430,558,796,75,96,0,0,0,3,643,896,7,26,7,20,0,0,3,4,23,51,54,98,11713,27589,1510,..,13224,27589
UCL213001,5324,14693,637,1206,72,144,713,1348,71,79,0,0,0,0,0,0,71,79,10,9,22,25,0,0,4,12,29,45,17,31,6161,16199,481,..,6644,16199
UCL213002,4469,10411,286,415,28,56,312,474,101,169,0,0,0,0,0,0,101,169,0,0,15,25,0,0,9,19,21,44,65,93,4969,11189,643,..,5617,11189
UCL213003,3996,9855,492,679,11,18,501,698,23,27,0,0,0,0,0,0,23,27,21,23,0,0,0,4,13,35,34,64,9,22,4569,10664,585,..,5147,10664
UCL213004,3793,9951,214,345,0,0,214,345,201,286,0,0,0,0,0,0,201,286,23,26,47,72,0,6,0,3,77,114,8,19,4294,10713,378,..,4670,10713
UCL213005,4477,11098,162,243,29,62,196,304,46,68,0,0,0,0,0,0,52,69,0,0,0,0,0,0,5,9,5,9,22,50,4746,11530,586,..,5337,11530
UCL213006,4147,10280,665,995,18,30,679,1019,42,68,0,0,0,0,0,0,42,68,3,7,13,16,0,0,4,8,20,28,15,41,4900,11439,697,..,5599,11439
UCL213007,5389,12913,433,600,11,27,446,625,392,564,0,0,0,0,0,0,392,564,5,6,0,0,0,0,7,8,9,19,27,40,6265,14164,809,..,7070,14164
UCL213008,4079,11373,481,1019,19,42,500,1063,26,32,0,0,0,0,0,0,26,32,0,3,0,0,0,0,0,0,0,3,4,7,4610,12484,349,..,4953,12484
UCL213009,3949,10619,298,442,5,20,306,456,4,5,0,0,0,0,0,0,4,5,0,0,3,6,0,0,0,0,3,6,3,6,4268,11095,389,..,4656,11095
UCL213010,5181,12144,797,1110,7,11,806,1116,262,341,0,0,0,0,0,0,262,341,21,19,0,3,3,3,0,3,26,30,13,23,6290,13655,976,..,7267,13655
UCL213011,4702,10814,304,394,46,73,346,472,452,636,0,0,0,0,0,0,454,641,0,0,0,0,0,0,9,11,10,12,14,32,5524,11966,840,..,6364,11966
UCL213012,5889,15317,335,549,237,466,569,1015,54,98,3,6,0,0,0,0,51,105,3,11,13,10,0,0,6,24,25,48,29,53,6558,16540,2809,..,9363,16540
UCL213013,3493,8127,167,227,19,34,192,262,213,288,6,6,8,5,0,7,225,305,8,15,0,0,0,0,16,28,28,40,19,37,3942,8776,748,..,4695,8776
UCL213014,4411,10777,386,534,83,119,466,654,283,418,31,68,0,0,0,0,312,489,20,37,14,25,0,3,4,10,43,69,10,20,5243,12008,777,..,6023,12008
UCL213015,3229,8087,248,393,11,8,259,404,356,580,0,0,0,3,3,0,362,586,20,23,3,8,0,0,6,15,26,45,52,116,3924,9245,426,..,4349,9245
UCL213016,5129,14243,244,412,299,685,539,1102,17,29,27,42,7,11,0,0,46,83,0,3,0,4,0,0,0,0,6,10,15,20,5740,15458,2387,..,8129,15458
UCL213017,6278,15120,1008,1428,49,75,1054,1502,59,87,0,0,4,3,0,0,64,92,6,14,3,3,0,0,10,28,28,40,20,35,7442,16789,878,..,8316,16789
UCL213018,4506,11626,291,416,36,48,325,460,510,777,0,0,0,0,0,0,510,777,14,21,16,24,0,0,6,8,37,54,16,41,5397,12961,592,..,5989,12961
UCL214001,2569,5904,118,150,0,0,118,150,100,164,3,5,0,0,0,0,108,171,12,22,5,10,0,0,16,30,38,56,13,13,2841,6302,419,..,3260,6302
UCL214002,3471,7585,65,95,0,4,61,103,299,406,38,48,41,54,0,0,372,516,4,0,13,13,0,8,3,7,23,31,24,46,3948,8280,482,..,4425,8280
UCL214003,3519,7808,237,336,3,4,244,339,28,33,0,0,0,0,0,0,28,33,3,3,4,3,0,0,3,11,11,15,35,64,3832,8267,560,..,4396,8267
UCL214004,1841,4360,107,182,0,3,112,186,120,160,0,0,0,0,0,0,120,160,5,9,3,3,0,0,0,11,9,19,4,18,2088,4742,289,..,2378,4742
UCL214005,342,875,0,0,0,0,0,0,46,81,0,0,0,0,0,0,46,81,0,0,0,0,0,0,0,0,0,0,3,3,392,965,39,..,437,965
UCL214006,2833,8375,354,601,9,19,362,619,3,5,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,3,0,3,9,23,3202,9022,296,..,3501,9022
UCL214007,3373,7562,132,173,6,13,140,181,96,130,0,0,0,0,0,0,96,130,3,7,4,3,0,4,14,31,20,44,17,26,3648,7941,626,..,4274,7941
UCL214008,2832,7113,284,476,20,40,308,517,10,16,0,3,0,0,0,0,13,20,6,8,39,59,0,0,3,3,47,72,10,15,3212,7739,300,..,3509,7739
UCL214009,1809,4062,127,187,38,76,166,269,32,43,0,0,0,0,0,0,32,43,0,0,0,0,0,0,0,0,0,0,6,22,2020,4394,1889,..,3908,4394
UCL214010,2028,5642,206,322,19,46,225,366,44,63,0,0,0,0,0,0,44,63,7,6,19,35,0,0,3,0,31,40,9,29,2342,6140,183,..,2523,6140
UCL214011,1959,4671,50,81,0,0,46,84,289,427,0,0,0,0,5,9,291,434,16,17,0,0,0,0,3,7,17,20,9,11,2321,5225,251,..,2571,5225
UCL214012,2106,4666,98,147,14,19,114,163,66,106,0,0,0,0,0,0,66,106,45,61,25,37,0,0,7,12,78,106,33,68,2400,5116,844,..,3245,5116
UCL214013,1751,4214,78,120,4,12,84,125,151,222,0,0,0,0,0,0,151,222,3,3,0,0,0,0,3,3,5,9,4,0,1991,4571,226,..,2215,4571
UCL214014,2821,6249,293,414,0,0,292,417,40,48,0,0,0,0,0,0,45,49,22,32,9,17,0,0,16,24,48,69,13,23,3215,6804,395,..,3602,6804
UCL214015,2628,5499,114,169,59,120,178,290,110,178,0,0,0,0,0,0,110,178,3,3,0,0,0,0,4,3,7,10,17,34,2940,6010,2900,..,5842,6010
UCL214016,2024,4738,27,39,3,3,34,42,215,297,0,0,0,0,0,0,215,297,9,15,6,8,0,0,4,4,23,24,8,18,2290,5118,268,..,2556,5118
UCL214017,2053,4588,49,70,0,0,49,70,150,202,0,0,0,0,0,0,147,201,3,3,0,5,0,0,4,5,9,17,16,39,2289,4918,276,..,2558,4918
UCL214018,2491,7523,132,256,10,14,138,276,40,78,0,0,0,0,0,0,40,78,0,0,0,0,0,0,0,0,0,0,5,15,2672,7888,173,..,2848,7888
UCL214019,2986,6703,144,182,0,3,142,178,30,34,0,0,0,0,0,0,30,34,9,13,79,108,0,0,3,11,91,128,11,21,3262,7074,424,..,3690,7074
UCL214020,2557,6066,78,115,19,50,100,162,184,282,0,0,0,0,3,3,191,284,3,9,0,0,0,0,3,17,4,24,61,100,2914,6639,663,..,3577,6639
UCL215001,417,939,0,3,0,0,0,3,4,6,0,0,0,0,0,0,4,6,0,0,0,0,0,0,4,3,4,3,0,0,431,949,1154,..,1588,949
UCL215002,837,1908,99,127,0,0,98,128,17,27,0,0,0,0,0,0,17,27,23,24,14,18,3,4,7,8,45,59,0,0,1000,2116,172,..,1171,2116
UCL215003,908,2051,15,25,9,16,27,41,37,50,0,0,0,0,0,0,37,50,3,9,9,10,0,0,0,3,11,21,3,13,984,2175,1826,..,2811,2175
UCL215004,433,917,33,41,17,28,50,73,30,45,0,0,0,0,0,0,27,46,0,0,12,25,0,0,7,8,16,34,3,10,526,1083,826,..,1354,1083
UCL215005,781,1946,17,30,0,0,17,30,49,72,0,0,0,0,0,0,49,72,7,8,0,0,0,0,3,10,11,11,0,0,863,2069,82,..,947,2069
UCL215006,833,2051,4,8,3,10,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,842,2076,474,..,1316,2076
UCL215007,1538,4641,3,4,0,0,3,4,3,5,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,3,3,1552,4661,99,..,1649,4661
