UCL_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
UCL112003,559,453,1010,23,31,50,0,0,0,0,3,7,31,25,49,3670,3534,7206,193,285,474,126,3,128,69,3,72,30,10,36,55,30,84,257,255,508,5000,4622,9621,37,48,89,0,0,0,0,0,3,94,64,158,16,28,50,25,12,41,183,158,336,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,3,7,8,38,24,66,221,188,411,19,24,44,0,0,0,0,0,0,19,24,43,494,580,1076,622,931,1549,44,49,99,6403,6393,12795
UCL112004,86,57,144,17,21,36,0,0,0,0,0,3,4,9,17,2920,2642,5563,198,236,436,103,3,108,26,7,30,29,6,33,36,20,54,157,143,297,3579,3153,6728,3,0,3,0,0,0,0,0,0,55,26,80,5,6,10,3,0,3,67,36,104,0,0,0,0,0,0,0,0,3,0,7,7,0,0,0,0,10,9,33,22,51,101,60,163,10,9,12,0,0,0,0,0,0,10,6,20,344,479,830,339,544,887,47,53,102,4424,4297,8726
UCL112005,3,0,3,29,3,27,3,0,3,0,0,0,5,9,11,2894,2542,5432,254,211,461,65,3,69,25,3,26,17,4,19,19,13,26,70,88,160,3375,2864,6243,0,0,0,0,0,0,0,0,0,7,3,10,0,0,3,0,0,0,6,10,15,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,3,3,3,42,14,59,55,22,82,4,3,4,0,0,0,0,0,0,8,3,9,76,125,198,405,637,1038,45,50,98,3964,3695,7661
UCL112006,0,4,5,46,53,98,3,0,8,0,0,0,8,19,24,6894,6731,13617,502,690,1193,176,9,187,129,18,148,162,45,202,62,59,122,296,306,603,8285,7917,16207,0,7,3,0,0,0,0,0,0,3,5,4,3,0,3,0,0,0,9,6,14,0,0,0,0,0,0,3,3,3,11,8,12,3,0,4,12,13,24,77,38,116,99,51,150,0,0,3,0,0,0,7,0,7,10,0,9,362,532,893,734,1180,1906,111,88,194,9597,9762,19363
UCL112007,3,0,4,28,28,64,3,0,4,0,0,0,21,26,46,5976,5616,11591,463,626,1094,149,0,152,98,13,107,70,22,90,37,28,67,255,235,487,7096,6598,13701,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,3,0,3,0,3,3,0,0,3,3,3,12,60,37,98,67,41,108,5,0,3,0,0,0,4,0,4,13,3,10,154,238,392,478,876,1352,76,78,152,7878,7836,15716
UCL112008,8,9,15,37,13,50,0,0,0,0,0,0,18,19,36,3585,3140,6720,338,327,664,111,3,113,43,0,43,19,8,26,23,14,39,173,151,323,4358,3688,8040,0,0,3,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,5,5,42,15,58,42,30,71,0,0,0,0,0,0,4,0,4,4,0,4,91,160,252,401,594,1001,61,45,110,4960,4513,9471
UCL112009,0,3,3,31,25,59,0,4,3,0,0,0,6,19,25,4008,3906,7912,287,432,722,114,5,112,74,7,87,64,21,89,45,20,62,224,213,439,4860,4657,9515,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,6,3,6,3,0,4,7,8,14,52,27,74,59,33,92,0,0,0,0,0,0,3,0,3,5,0,8,132,218,354,348,688,1038,58,34,91,5461,5638,11100
UCL112010,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,390,362,748,22,23,45,12,0,12,6,0,6,0,0,0,3,0,3,3,7,10,435,395,832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,13,26,41,51,62,113,7,5,17,511,493,1007
UCL112011,16,17,35,15,17,40,0,0,0,0,0,0,10,12,19,4150,3756,7901,318,334,654,94,0,97,92,4,91,90,14,109,47,19,63,169,163,336,5008,4337,9346,0,3,5,0,0,0,0,0,0,8,3,13,0,3,5,0,0,0,12,10,22,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,4,3,9,45,25,68,58,39,100,3,3,4,0,0,0,3,0,3,13,3,12,107,212,322,473,773,1249,85,57,143,5743,5430,11176
UCL112012,6,8,14,38,35,69,5,0,5,0,0,0,16,37,54,6027,5652,11678,501,544,1050,128,4,131,60,5,65,71,11,84,41,18,58,285,251,542,7185,6572,13754,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,9,56,31,88,60,37,102,0,3,3,3,0,3,3,0,10,6,9,13,198,329,522,620,994,1614,79,69,148,8145,8004,16153
UCL112013,6,3,8,30,42,78,3,0,4,0,3,3,16,17,36,6220,6110,12333,422,577,999,128,4,137,141,16,156,104,23,124,70,35,109,251,294,548,7393,7136,14523,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,4,8,0,0,0,0,0,0,3,3,5,0,5,4,0,0,0,4,7,13,69,39,110,74,48,123,5,0,5,0,0,4,3,3,5,7,4,12,361,460,820,676,1043,1722,68,70,140,8578,8762,17335
UCL112014,8,3,7,30,27,55,4,0,5,0,0,0,19,16,29,5408,4888,10297,480,499,977,173,5,179,99,6,108,59,8,66,46,24,73,225,241,464,6553,5726,12276,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,7,3,11,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,7,3,11,63,30,89,72,37,109,0,0,0,0,0,3,0,0,0,7,0,5,136,272,406,463,803,1268,73,75,143,7302,6909,14212
UCL112015,3,3,11,44,39,88,3,0,6,4,0,5,35,36,68,8769,7832,16597,688,749,1439,149,3,157,99,13,117,118,30,141,65,27,92,358,456,810,10332,9194,19525,0,0,0,0,0,0,0,0,0,8,3,7,0,0,0,0,0,0,8,3,11,0,0,0,0,0,0,3,3,4,0,3,3,0,0,4,3,10,9,74,38,113,85,48,131,4,0,0,0,3,3,5,3,8,5,5,7,215,392,605,692,1313,2006,105,99,202,11435,11042,22481
UCL113001,3,3,7,25,18,42,0,0,0,0,0,0,6,3,9,2122,2062,4187,123,187,307,64,0,63,27,3,37,108,33,142,20,6,28,94,139,232,2594,2463,5054,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,5,3,3,0,0,0,0,0,0,3,0,3,0,0,5,0,0,0,3,0,6,23,10,40,35,14,52,0,0,0,0,0,0,3,0,3,3,0,3,141,166,303,235,378,615,50,40,88,3052,3063,6114
UCL113002,4,0,4,4,13,20,0,0,0,0,0,0,4,3,3,1252,1163,2417,106,125,227,46,0,50,16,3,14,23,10,27,16,8,23,67,73,144,1540,1392,2932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,3,3,15,8,21,18,13,28,0,0,0,0,0,0,0,0,0,0,0,0,66,87,160,168,268,436,19,24,42,1812,1788,3601
UCL113003,3,0,3,27,11,31,0,3,5,0,0,0,3,0,9,2449,2355,4800,177,232,408,35,0,36,48,0,48,28,5,36,15,11,25,163,157,320,2958,2772,5726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,8,0,8,9,17,26,21,17,34,0,0,3,0,0,0,0,0,0,3,0,4,60,92,153,384,453,837,54,40,93,3476,3375,6846
UCL113004,3,0,3,3,3,7,0,0,0,0,0,0,0,0,0,887,813,1702,62,42,104,21,0,23,3,0,3,13,3,19,4,0,3,35,17,56,1036,884,1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,12,5,4,10,0,0,0,0,0,0,0,0,0,0,0,0,41,54,98,109,159,270,13,19,36,1211,1129,2334
UCL113005,5,0,5,14,12,32,0,0,0,0,0,0,3,3,10,1975,1970,3946,160,210,375,63,0,65,20,3,22,50,17,64,24,7,35,117,159,275,2434,2383,4823,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,34,11,41,33,17,46,0,0,0,0,0,0,0,3,3,0,3,4,105,154,261,294,469,763,55,50,113,2929,3080,6009
UCL113006,3,3,5,5,13,17,0,0,0,0,0,0,4,9,13,1988,1898,3880,165,179,346,72,3,69,28,3,32,84,31,115,18,5,25,150,147,300,2518,2288,4806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,20,8,30,22,11,37,0,0,0,0,0,3,0,0,0,0,0,3,58,129,183,249,393,639,35,24,58,2882,2843,5725
UCL113007,3,3,8,3,7,15,0,0,0,0,0,0,10,13,20,3454,2785,6238,361,416,780,60,0,60,31,3,32,36,3,38,24,10,34,115,91,207,4109,3335,7440,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,3,7,0,0,0,0,0,0,4,3,7,39,16,52,42,19,64,0,0,0,0,0,0,0,0,0,0,0,0,61,111,165,214,390,599,56,67,119,4475,3912,8386
UCL113008,0,0,0,3,9,15,0,0,0,0,0,0,0,5,5,1040,965,1998,105,112,219,51,3,53,17,3,16,5,4,9,6,8,13,51,53,101,1280,1151,2433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,15,8,7,15,0,0,0,0,0,0,0,0,0,0,0,0,32,62,96,114,198,308,36,32,64,1469,1445,2914
UCL113009,59,33,91,9,9,23,0,0,0,0,0,0,0,0,0,2240,1881,4116,107,126,232,46,0,46,20,3,19,9,5,12,16,10,27,79,86,166,2587,2156,4746,5,7,12,0,0,0,0,0,0,16,3,20,5,3,7,3,0,6,29,14,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,13,36,52,33,79,6,3,10,0,0,0,0,0,0,6,3,10,143,207,356,280,417,695,25,24,47,3090,2846,5938
UCL113010,3,10,11,15,20,34,3,0,3,0,0,0,0,3,3,2583,2193,4773,199,165,360,83,0,85,26,6,33,6,0,5,18,6,24,42,45,91,2973,2450,5421,6,0,11,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,11,3,12,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,3,3,8,40,12,50,60,15,70,3,3,5,0,0,0,0,0,0,3,3,6,40,87,127,306,464,771,38,37,72,3416,3053,6475
UCL113011,22,16,40,3,7,12,0,0,0,0,0,0,3,12,15,1517,1321,2839,92,116,214,32,0,34,6,3,7,14,4,21,10,5,16,143,97,236,1852,1586,3437,3,0,5,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,10,3,13,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,16,9,22,21,11,39,3,3,7,0,0,0,0,0,0,3,3,7,40,71,109,188,300,489,25,28,56,2134,1995,4130
UCL113012,66,64,133,10,9,23,0,0,0,0,0,0,3,0,3,2593,2362,4950,156,151,306,120,3,124,33,3,40,13,3,19,33,11,43,57,48,102,3091,2650,5744,24,18,39,0,0,0,0,0,0,24,19,43,5,3,10,4,0,4,56,37,92,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,5,37,17,56,95,55,152,15,18,39,0,0,0,0,0,0,16,18,41,130,200,329,301,489,789,38,35,74,3679,3452,7126
UCL113013,0,0,0,0,3,6,0,0,0,0,0,0,0,6,6,1776,1413,3193,202,156,355,52,7,55,18,4,16,20,3,20,13,3,17,82,126,208,2160,1724,3882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,16,43,26,15,43,0,0,0,0,0,0,3,0,3,3,0,3,46,99,142,217,304,518,40,26,68,2495,2167,4661
UCL113014,3,0,7,3,0,8,4,0,4,0,0,0,0,0,0,1799,1360,3162,112,109,217,30,3,34,33,3,37,13,4,13,15,3,15,49,62,110,2060,1538,3602,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,4,0,3,9,8,22,16,10,27,0,0,0,0,0,0,0,0,0,0,0,0,26,80,104,230,244,472,27,17,41,2362,1889,4250
UCL113015,3,4,11,20,28,48,0,0,0,0,0,0,0,0,3,1920,1720,3644,125,158,282,35,0,35,18,0,22,18,0,21,17,9,27,97,109,212,2255,2042,4298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,4,24,26,43,28,26,51,0,0,0,0,0,0,0,0,0,0,3,6,149,197,345,266,374,637,27,26,52,2721,2662,5387
UCL113016,5,0,3,21,27,54,0,0,3,0,0,0,0,4,3,2066,1721,3788,152,129,277,45,0,50,36,3,38,13,3,12,15,6,24,46,50,99,2403,1943,4350,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,4,3,10,24,17,38,31,23,54,3,0,3,0,3,3,0,3,4,3,8,12,43,68,108,200,311,507,18,11,32,2700,2364,5059
UCL113017,3,0,3,10,4,16,0,0,0,0,0,0,4,4,12,2587,1913,4498,177,143,317,62,4,64,29,3,34,18,3,17,10,10,25,53,74,124,2950,2160,5108,0,0,0,0,0,0,0,0,0,8,3,9,0,0,0,0,0,0,8,3,9,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,50,13,55,54,18,69,0,0,0,0,0,0,4,0,4,4,0,3,22,79,98,339,355,688,14,21,35,3379,2624,6003
UCL113018,3,3,8,4,4,14,0,0,0,0,0,0,3,0,4,1222,1076,2296,86,86,170,50,0,50,19,0,21,9,4,8,19,3,25,33,31,61,1442,1208,2651,0,0,0,0,0,0,0,0,0,3,4,4,0,0,0,0,0,0,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,12,3,12,10,12,23,0,0,0,0,0,0,0,0,0,0,0,0,42,83,123,130,241,370,24,23,45,1650,1572,3218
UCL113019,0,0,3,14,13,29,0,0,0,0,0,0,10,7,14,2083,1939,4022,180,223,399,66,0,66,30,4,36,40,3,40,25,13,36,85,110,198,2529,2307,4838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,5,11,8,24,21,11,33,0,0,0,0,0,3,0,0,0,0,3,3,78,106,183,248,378,627,36,40,81,2911,2852,5765
UCL113020,0,3,8,13,3,13,0,0,0,0,0,0,3,5,7,1584,1465,3044,102,132,231,61,0,61,24,0,25,26,0,25,10,8,21,68,78,146,1890,1688,3581,0,0,3,0,0,0,0,0,0,4,0,4,0,3,4,0,0,0,3,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,25,20,7,35,0,0,0,0,0,0,0,0,0,0,0,0,112,167,280,227,318,544,41,34,76,2297,2226,4516
UCL114001,0,0,0,5,8,12,0,0,0,0,0,0,0,0,0,674,685,1356,43,49,89,9,0,9,12,0,12,9,3,13,9,5,13,24,38,62,779,791,1574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,5,7,3,5,0,0,0,0,0,0,0,0,0,0,0,0,35,53,92,81,126,208,4,14,19,911,990,1896
UCL114002,0,0,0,16,14,28,0,0,0,0,0,0,0,0,0,778,681,1455,52,52,109,21,0,21,12,0,12,4,0,5,10,3,10,26,38,61,916,793,1707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,20,14,6,23,0,0,0,0,0,0,0,0,0,0,0,0,23,70,90,91,143,234,9,8,16,1047,1014,2064
