UCL_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
UCL112003,3118,6145,43,257,304,1407,73,341,1589,6139,2009,8142,133,528,272,886,557,1742,965,3158,2973,11302,14,57,83,292,62,202,512,1361,671,1921,45,149,157,337,471,973,675,1459,1341,3380,79,166,7521,20996
UCL112004,2903,5722,35,219,215,953,55,249,1107,4371,1416,5792,103,387,198,618,419,1307,719,2317,2132,8112,13,52,67,243,34,117,235,627,348,1043,34,101,78,169,330,697,439,965,786,2008,56,117,5877,15964
UCL112005,1960,3914,48,276,175,778,78,342,1063,4223,1358,5620,103,413,104,343,437,1400,646,2156,2007,7780,17,72,74,288,76,272,670,1931,841,2565,39,118,84,180,416,894,534,1199,1373,3763,95,191,5434,15647
UCL112006,5243,10391,66,365,440,2068,135,619,2439,9673,3084,12725,197,792,332,1066,838,2566,1367,4426,4451,17146,28,144,221,805,109,379,1091,2984,1449,4320,85,280,229,491,898,1896,1209,2666,2658,6981,140,288,12488,34815
UCL112007,3252,6433,63,322,316,1498,83,375,2048,8071,2507,10259,137,547,220,660,569,1769,927,2977,3439,13238,22,113,129,465,77,310,907,2642,1140,3530,58,192,146,310,523,1113,726,1612,1865,5149,165,341,8718,25164
UCL112008,2189,4359,37,224,198,920,87,395,1183,4631,1507,6168,97,398,123,406,446,1425,674,2229,2174,8397,12,72,74,252,50,205,471,1296,612,1822,31,85,110,226,405,839,543,1149,1151,2971,91,190,5611,15910
UCL112009,2491,4949,29,167,232,1131,66,298,1288,5149,1621,6742,96,385,163,521,465,1452,720,2364,2339,9115,25,110,118,433,56,188,747,2021,942,2756,71,232,183,399,535,1115,789,1749,1730,4498,126,259,6686,18826
UCL112010,224,438,3,34,21,100,7,34,166,656,201,820,15,52,13,45,38,119,70,214,268,1034,0,3,5,23,3,7,37,104,41,138,3,7,4,11,26,55,31,70,74,209,5,12,573,1698
UCL112011,3090,6123,57,309,250,1186,95,432,1643,6464,2039,8391,89,383,174,558,515,1622,777,2566,2823,10954,24,113,116,423,86,314,777,2182,1000,3034,54,164,132,286,551,1196,732,1642,1732,4680,124,258,7775,22013
UCL112012,3498,6930,69,396,342,1582,110,503,2374,9438,2895,11915,148,597,258,807,571,1785,973,3188,3869,15101,28,126,142,518,75,280,838,2310,1080,3234,55,159,151,333,560,1180,764,1673,1840,4908,114,244,9322,27187
UCL112013,5847,11608,56,307,476,2179,100,439,2250,8903,2881,11822,132,538,335,1085,653,1995,1130,3615,4007,15436,14,71,151,527,53,189,894,2358,1116,3146,56,182,225,491,695,1464,976,2132,2092,5277,131,273,12082,32593
UCL112014,3308,6568,48,278,302,1422,95,456,1703,6714,2147,8865,105,418,177,537,550,1658,825,2614,2978,11477,25,118,116,462,77,316,976,2794,1201,3699,64,193,133,282,601,1310,798,1783,2001,5484,158,326,8437,23857
