UCL_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
UCL122004,34,62,0,0,3,8,0,0,9,32,7,36,0,0,0,5,10,27,8,30,20,67,0,0,0,0,0,0,4,8,4,8,0,4,0,0,0,4,0,8,9,18,0,3,60,150
UCL122005,47,88,0,0,0,13,0,0,10,36,10,44,0,0,0,5,12,29,9,35,26,85,0,0,0,11,0,3,7,20,10,32,3,8,0,3,4,7,8,19,18,51,3,3,91,224
UCL122006,33,73,0,3,0,6,0,0,14,59,19,79,3,8,0,0,0,0,3,10,19,83,0,0,0,0,0,0,3,7,3,7,0,0,0,0,3,4,3,4,5,11,0,3,59,170
UCL122007,56,103,0,3,0,8,0,5,9,39,18,60,0,6,0,7,9,29,16,41,30,99,0,0,3,15,0,0,14,49,17,63,0,3,3,6,9,12,9,21,28,80,0,4,110,289
UCL122008,35,63,0,0,0,3,0,3,20,90,22,101,0,0,0,3,3,5,3,9,24,111,0,3,0,11,0,0,9,23,14,40,0,0,0,0,3,6,4,12,21,50,3,4,82,228
UCL122009,41,74,0,3,0,5,3,7,21,78,25,93,0,4,0,3,3,18,8,27,29,119,0,4,0,0,0,0,9,31,12,36,0,3,0,0,3,8,3,16,14,53,8,7,94,262
UCL122010,24,47,0,4,5,40,0,11,21,76,31,132,3,6,3,9,13,36,15,59,47,184,0,0,0,0,0,4,8,23,10,27,0,0,0,0,8,14,7,19,14,42,7,9,91,293
UCL122011,44,87,3,9,8,24,0,0,23,95,34,125,8,23,7,10,14,33,19,68,52,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,0,0,98,292
UCL122012,38,73,0,0,3,17,0,0,11,55,19,76,3,9,5,12,10,24,14,40,29,117,0,0,0,3,0,0,13,26,9,31,0,0,0,3,9,12,7,13,20,46,3,3,83,244
UCL122013,25,51,0,0,3,15,0,3,8,32,9,54,0,3,0,0,3,7,3,12,11,62,0,0,0,3,0,0,8,32,14,32,0,3,0,0,3,13,4,20,22,47,0,0,60,163
UCL122014,38,72,0,4,0,10,0,0,24,87,22,97,0,3,5,13,3,14,8,38,31,131,0,0,3,7,0,9,3,17,13,30,0,4,0,4,5,12,11,21,22,47,0,3,91,257
UCL122015,40,81,0,0,3,13,3,11,21,77,26,108,0,3,0,4,4,9,3,17,27,123,0,0,0,4,0,0,3,6,5,12,0,0,3,9,6,14,9,19,13,28,3,5,86,239
UCL122016,47,86,0,0,0,5,0,0,12,36,12,47,0,4,3,6,0,7,3,11,12,60,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,3,4,3,6,0,3,61,157
UCL122017,26,54,0,0,0,14,0,0,15,66,18,85,8,23,0,3,8,20,9,44,29,130,0,0,0,0,0,4,0,12,3,13,0,0,0,4,4,10,6,11,10,24,0,0,65,205
UCL122018,42,82,0,0,0,3,0,4,20,91,24,101,3,12,0,6,4,20,13,33,34,133,0,0,0,7,0,0,7,23,9,36,0,0,0,3,6,13,8,20,17,48,0,0,93,268
UCL122019,50,101,0,4,3,28,3,9,9,32,21,69,0,9,0,8,3,9,4,22,24,94,0,3,3,13,0,0,5,21,12,40,0,0,5,10,7,17,14,31,23,66,4,4,100,266
UCL122020,23,48,0,6,0,4,3,12,9,50,13,76,0,0,0,3,8,27,11,32,28,107,0,0,0,0,3,11,9,20,11,29,0,0,0,7,9,14,9,24,19,52,6,4,71,216
UCL122021,41,74,0,0,0,8,0,3,5,17,5,27,0,3,0,3,3,6,4,15,9,40,0,5,0,3,0,0,9,27,11,38,0,3,0,3,3,11,10,22,21,58,0,0,65,171
UCL122022,26,58,0,0,5,23,0,0,12,29,15,56,0,4,3,4,4,5,5,16,23,75,0,0,0,8,0,0,0,0,0,8,0,0,3,7,7,10,10,18,7,25,0,0,57,158
UCL122023,63,128,3,19,3,9,4,16,20,90,30,135,3,9,5,16,15,51,24,79,56,214,0,0,0,7,0,0,3,3,4,11,0,0,0,0,3,3,3,3,8,14,0,3,120,356
UCL122024,67,132,0,5,3,26,3,9,21,80,29,120,0,3,7,23,11,28,19,53,44,165,0,0,0,3,0,0,3,4,3,10,0,0,0,0,10,16,7,19,13,28,0,3,124,330
UCL122025,66,130,0,0,3,11,0,0,32,129,35,142,0,0,0,3,9,23,11,29,45,168,0,5,3,10,0,0,4,13,11,25,0,0,3,6,6,11,8,13,14,38,0,0,129,337
UCL122026,40,75,0,0,3,11,4,22,13,49,21,76,0,3,0,9,3,22,12,35,32,110,0,0,0,3,0,0,10,21,8,20,0,3,3,6,5,9,10,14,18,37,3,6,84,231
UCL122027,52,99,0,0,3,13,0,17,29,100,33,130,3,19,3,14,9,32,16,55,46,182,0,0,0,0,0,0,11,32,11,32,0,3,0,5,7,14,13,25,22,61,0,3,122,343
UCL122028,26,56,0,0,0,14,4,16,16,56,21,86,0,0,0,3,9,18,5,20,26,107,0,5,0,5,0,3,4,13,8,24,0,0,0,0,3,6,4,7,10,37,0,0,64,200
UCL122029,42,86,0,0,4,6,0,0,3,6,3,21,0,0,3,9,6,12,7,15,9,36,0,0,0,3,0,0,0,4,3,6,0,0,0,3,3,9,3,9,10,15,0,0,61,141
UCL122030,55,107,0,8,3,12,0,7,19,70,20,88,0,3,0,7,6,29,12,40,30,127,0,0,3,10,4,10,8,22,13,44,0,0,0,3,6,13,9,18,25,57,3,9,110,296
UCL122031,34,56,0,0,0,7,0,3,13,55,17,63,0,0,0,0,3,17,3,17,21,78,0,0,0,3,0,0,0,13,3,14,0,0,0,3,0,0,0,3,6,19,0,0,55,151
UCL122032,37,77,0,0,3,18,0,0,13,60,18,80,3,14,0,3,3,13,11,30,31,114,0,0,0,3,4,5,10,29,15,40,0,0,0,0,4,9,4,9,21,55,3,3,89,247
UCL122033,20,37,0,10,8,21,0,0,31,140,39,175,7,21,0,8,5,25,18,57,54,226,0,0,4,10,0,0,3,12,5,17,0,0,0,0,0,4,0,4,4,23,0,0,84,293
UCL122034,47,86,0,0,6,18,3,10,35,143,43,165,0,0,0,5,4,16,4,23,50,190,0,0,3,7,0,6,12,26,11,34,0,0,0,0,9,14,9,14,20,48,0,0,112,326
UCL122035,28,58,0,0,0,0,0,5,4,25,6,27,0,3,0,4,3,7,3,14,10,45,0,0,3,7,0,0,0,9,3,11,0,0,0,0,3,11,3,11,13,24,0,0,55,127
UCL122036,27,54,0,0,3,16,0,0,22,78,27,94,0,0,3,6,8,13,10,21,33,116,0,0,0,3,0,0,4,16,5,18,0,0,0,4,3,8,6,6,7,29,0,9,67,200
UCL122037,31,59,3,10,3,17,0,0,13,44,15,68,0,0,4,11,6,11,10,27,21,97,0,0,0,0,0,0,3,7,3,7,0,0,0,0,0,6,0,6,3,13,0,3,61,174
UCL122038,45,93,0,6,3,10,0,0,19,70,19,84,0,0,0,0,3,10,3,10,22,96,0,0,3,8,0,0,6,23,13,29,3,8,0,3,8,16,10,28,20,57,4,9,100,252
UCL122039,29,56,0,3,7,24,3,7,15,72,23,107,0,0,4,5,5,13,11,23,34,133,0,0,0,13,0,0,16,57,18,64,0,3,0,0,9,28,15,31,29,96,3,5,99,290
UCL122040,37,74,0,0,3,12,0,0,21,81,17,89,0,3,7,19,4,9,14,39,34,122,0,0,0,0,0,0,7,22,9,25,0,0,0,3,3,10,4,18,18,41,0,0,85,241
UCL122041,32,69,3,15,0,13,0,6,23,76,27,110,0,3,0,4,10,35,16,44,41,152,0,0,0,9,0,3,8,14,11,26,0,3,0,0,5,9,8,16,15,43,0,3,90,265
UCL122042,47,85,0,7,4,32,0,0,19,57,26,98,0,8,0,4,12,26,15,39,38,136,0,0,0,3,0,0,11,28,12,37,0,3,3,3,11,21,11,23,25,59,0,5,107,285
UCL122043,24,51,6,20,3,13,9,33,15,63,30,129,0,16,3,14,10,26,16,58,45,183,0,0,0,0,0,0,3,10,3,10,0,0,0,0,3,12,3,12,8,15,0,3,78,255
UCL122044,35,64,0,0,3,15,3,10,20,87,31,108,0,3,3,12,6,26,13,38,43,149,0,0,0,0,0,13,4,8,10,20,0,0,0,0,3,11,3,11,10,25,0,3,82,239
UCL122045,27,45,0,0,3,11,0,0,9,21,7,33,0,5,0,0,3,13,7,16,13,49,0,3,0,4,0,4,0,6,7,21,0,0,0,0,3,4,3,4,11,25,3,3,50,126
UCL122046,29,57,0,0,0,14,0,3,13,57,17,78,0,3,0,5,8,33,9,39,32,116,0,0,0,0,0,3,6,19,5,21,0,0,0,0,4,9,4,9,10,28,0,3,72,202
UCL122047,69,145,0,8,3,13,0,0,8,26,10,50,5,9,3,3,12,32,17,53,27,98,0,8,0,6,0,0,9,14,10,27,0,0,3,3,17,24,19,27,28,56,0,0,127,295
UCL122048,38,74,3,13,0,8,0,0,22,78,20,94,3,7,0,8,0,8,6,19,27,107,0,0,0,0,0,0,9,17,9,17,0,0,0,0,7,8,7,8,10,22,0,0,80,205
UCL122049,48,84,0,0,0,6,0,3,7,31,13,44,0,0,3,3,4,10,8,20,17,59,0,0,0,0,0,0,3,10,3,10,0,0,0,4,6,21,13,25,12,37,3,7,80,191
UCL122050,29,53,0,0,3,12,0,0,13,41,13,51,3,10,0,6,5,20,13,38,25,85,0,5,0,0,0,0,4,8,6,16,0,0,3,6,3,4,5,12,14,25,0,3,64,163
UCL122051,32,60,0,3,3,11,0,7,14,48,21,73,0,0,0,0,0,9,0,9,24,81,0,0,3,8,0,3,6,23,11,35,0,0,0,0,10,12,10,12,19,49,0,3,73,198
UCL122052,40,74,0,7,3,24,0,0,30,101,34,134,3,13,3,8,4,13,12,36,43,167,0,9,5,11,0,3,10,29,17,45,0,4,3,6,7,14,7,23,28,73,0,3,109,315
UCL122053,37,77,0,0,3,7,0,0,11,43,13,54,0,0,0,4,4,8,3,10,15,67,0,0,0,3,0,0,4,11,7,10,0,0,0,3,0,0,3,4,4,11,0,3,61,160
UCL122054,58,116,0,0,0,0,0,0,8,42,8,42,0,3,5,11,4,15,12,32,24,74,0,0,0,0,0,0,6,15,6,15,0,0,3,4,3,8,10,19,15,33,0,0,91,223
UCL122055,71,140,0,0,0,3,0,4,21,84,21,91,0,0,7,13,3,22,12,37,30,127,0,3,0,0,0,0,7,17,6,19,0,0,5,5,3,8,9,13,13,37,0,0,121,307
UCL122056,39,78,0,0,4,39,0,11,16,71,26,122,0,0,3,11,6,10,7,21,34,145,0,0,0,0,0,0,0,6,0,6,0,0,0,3,6,18,10,21,6,26,0,0,85,250
UCL122057,30,66,0,7,0,8,6,9,11,51,17,73,0,3,6,11,7,16,11,35,26,108,0,0,0,0,0,4,7,13,6,19,3,8,0,0,3,11,10,16,10,34,0,3,77,209
UCL122058,70,134,0,0,7,15,6,7,22,75,29,104,0,0,0,7,0,5,4,20,28,119,0,0,0,0,0,0,13,36,13,36,0,4,0,0,3,11,6,14,24,48,0,3,122,303
UCL122059,48,91,0,0,3,16,0,3,34,139,32,154,0,4,9,13,11,27,13,47,50,201,3,6,0,0,0,3,6,21,14,32,0,3,0,9,12,22,17,30,28,64,3,3,124,362
UCL122060,45,98,0,0,5,27,4,14,20,77,26,119,0,3,3,14,7,30,11,45,39,163,0,0,0,0,3,5,10,21,8,26,0,0,0,0,11,15,8,22,18,42,6,12,107,308
UCL122061,45,85,0,7,3,31,0,3,24,84,28,125,0,3,9,26,14,29,22,64,48,188,0,0,3,7,0,0,15,48,16,59,0,3,0,3,9,12,7,21,27,79,0,5,123,361
UCL122062,13,26,0,0,3,9,0,4,4,30,10,48,0,0,0,0,5,8,5,8,13,56,0,0,7,11,0,11,8,20,15,40,0,0,0,3,4,14,9,17,18,61,0,3,46,143
UCL122063,35,69,3,8,4,13,0,0,15,56,22,80,0,0,0,3,6,20,5,25,30,104,0,0,0,6,0,0,11,29,12,39,0,0,0,0,3,3,3,5,13,44,0,4,80,220
UCL122064,26,49,0,0,0,5,0,10,19,82,24,98,0,0,0,11,5,26,10,30,35,129,3,15,5,9,0,0,10,23,15,42,0,3,3,6,3,16,7,17,18,67,0,0,77,246
UCL122065,34,65,0,0,3,12,0,0,12,45,13,53,3,5,4,6,4,15,5,27,23,79,0,0,3,8,0,5,15,60,22,74,0,0,0,5,13,34,19,38,38,109,3,13,97,263
UCL122066,44,82,0,6,7,47,0,0,48,185,55,232,0,7,4,16,12,29,15,48,69,282,0,0,0,0,0,0,4,21,4,21,0,3,3,7,0,0,8,13,11,33,0,0,126,398
UCL122067,58,117,0,0,3,15,3,5,23,104,30,123,4,9,7,25,14,39,21,76,52,200,0,0,0,4,0,0,3,11,3,9,0,0,0,0,3,6,7,6,6,22,3,7,124,345
UCL122068,50,105,0,0,3,9,0,0,12,35,15,50,0,7,4,8,9,17,11,32,21,77,0,0,0,0,3,11,4,8,3,22,0,0,0,0,5,11,9,12,9,36,0,3,85,220
UCL122069,38,81,0,3,5,31,3,15,22,99,38,152,0,4,6,19,9,33,20,55,54,207,0,0,0,0,0,0,3,7,3,7,0,0,3,5,3,8,9,16,8,22,0,0,102,308
UCL122070,46,97,0,0,7,29,0,9,21,72,25,111,0,11,7,22,16,42,24,74,50,179,0,7,0,5,0,10,11,23,14,42,0,0,0,3,6,5,8,10,19,47,0,0,116,325
UCL122071,13,22,0,0,0,7,0,0,7,32,11,36,0,0,3,3,0,0,3,3,9,38,0,0,0,0,0,0,3,3,3,3,0,0,0,0,4,7,4,7,4,17,0,3,27,79
UCL122072,54,98,0,4,7,23,0,0,22,83,25,112,0,0,3,12,0,3,5,14,33,124,0,0,0,6,0,3,3,3,3,12,0,0,3,7,7,7,3,12,11,23,0,0,90,248
UCL122073,37,68,3,11,3,30,0,0,25,109,32,141,3,23,10,29,11,40,29,89,60,233,0,0,0,4,0,5,0,5,4,12,0,3,0,0,5,17,10,24,12,32,0,3,111,341
UCL122074,33,62,0,0,3,13,0,0,7,29,9,39,0,0,0,5,4,10,3,10,10,51,0,0,0,4,0,0,5,16,10,20,0,0,0,0,0,0,0,0,10,20,0,0,51,140
UCL122075,48,95,0,8,0,0,0,0,9,21,9,27,0,0,3,12,0,9,6,16,11,45,0,0,0,0,0,0,4,10,3,12,0,0,0,0,3,8,3,8,7,22,0,3,69,170
UCL122076,35,59,0,12,10,45,5,20,18,79,34,147,0,0,0,6,10,36,14,42,43,189,0,0,0,0,0,7,7,29,10,30,3,3,0,3,8,19,9,27,16,54,0,3,94,314
UCL122077,36,82,0,0,0,10,0,3,6,27,9,38,0,3,0,3,5,14,3,19,13,58,0,0,0,4,0,0,6,22,7,25,0,0,0,0,6,17,6,17,14,41,0,0,69,185
UCL122078,30,61,3,10,0,7,5,30,22,80,31,126,0,7,3,10,3,13,10,25,39,154,0,0,0,0,0,4,5,11,4,19,0,0,0,0,3,11,3,11,12,25,0,0,77,244
UCL122079,25,54,0,0,3,14,0,0,13,53,16,64,0,0,6,15,6,8,5,24,21,82,0,0,0,0,0,0,3,6,3,6,0,3,0,0,3,12,3,12,8,20,0,0,54,156
UCL122080,86,169,0,0,0,3,0,3,11,44,15,54,0,8,0,5,11,33,11,39,26,94,0,0,0,0,0,3,3,16,8,15,0,0,0,0,8,14,8,11,10,28,0,0,122,290
UCL122081,17,34,0,0,5,24,0,0,20,88,25,110,3,15,4,8,0,0,4,25,33,139,0,0,0,4,0,0,4,9,4,9,0,0,0,3,0,3,3,7,4,15,0,0,58,189
UCL122082,45,90,3,18,6,24,0,9,13,56,22,102,0,4,3,3,3,10,7,19,32,125,0,0,3,25,0,0,9,22,16,44,3,4,0,4,3,3,7,14,18,63,3,7,95,282
UCL122083,54,101,0,0,3,11,0,0,3,18,5,30,0,0,0,0,5,15,5,15,10,45,0,0,0,0,0,0,7,8,7,8,0,0,3,5,3,6,6,9,10,24,0,7,73,173
UCL122084,35,77,0,0,0,10,3,6,16,70,24,87,0,0,5,11,9,24,11,41,33,131,0,6,3,5,0,9,0,3,5,22,0,0,0,0,6,12,6,12,12,34,0,0,87,239
UCL122085,53,104,0,4,4,21,3,14,23,85,31,126,7,18,8,16,16,34,22,73,53,207,0,0,4,9,0,0,5,18,11,29,0,0,3,3,9,20,13,24,19,52,0,0,126,358
UCL122086,50,93,0,0,3,10,0,0,23,79,25,85,0,0,3,11,6,16,11,31,35,115,0,0,0,0,0,0,3,3,3,3,0,0,0,0,4,8,4,8,7,10,0,3,87,219
UCL122087,44,90,0,0,3,23,0,0,35,152,42,178,6,27,9,29,17,49,30,100,71,282,0,0,0,3,0,3,3,8,7,14,0,0,3,4,3,9,7,13,10,25,0,0,125,396
UCL122088,39,70,0,13,0,4,3,7,8,40,15,63,3,3,0,7,3,8,8,20,21,87,0,0,0,5,0,0,7,21,7,25,0,0,0,0,3,8,3,8,13,37,0,3,76,195
UCL122089,59,120,0,0,3,22,0,5,14,63,22,86,0,0,3,10,7,22,13,31,29,117,0,0,3,11,0,0,9,25,13,34,0,3,0,0,11,17,9,20,22,52,0,0,110,294
UCL122090,51,104,0,20,3,20,0,10,28,111,34,159,3,6,8,17,8,20,11,43,49,203,0,3,0,3,0,6,8,19,8,31,0,0,0,0,4,13,7,13,20,43,4,5,121,353
UCL122091,45,83,0,0,3,8,0,0,3,15,5,19,0,0,0,0,3,9,3,9,8,30,0,0,0,0,0,0,0,6,3,14,0,0,0,0,5,8,5,8,9,18,0,0,62,136
UCL122092,39,73,0,13,5,30,3,10,13,47,26,99,0,12,7,14,9,33,17,57,41,159,0,0,0,3,0,0,0,3,3,8,0,0,0,0,3,6,3,6,3,13,0,0,84,245
UCL122093,23,47,0,0,0,12,3,10,15,48,18,67,0,0,0,3,7,19,6,25,26,93,0,0,0,0,0,0,5,11,5,11,0,0,0,0,10,21,10,21,14,32,0,3,67,179
UCL122094,35,71,0,0,5,12,0,0,13,47,14,62,0,0,0,0,3,11,3,11,18,73,0,0,0,3,3,11,11,23,10,38,0,6,0,0,0,0,0,3,16,39,3,6,66,186
UCL122095,39,79,0,0,0,8,0,8,15,72,20,90,0,0,0,0,3,9,3,9,25,94,0,0,5,17,4,11,9,24,16,49,3,4,4,5,15,34,18,41,33,92,0,3,94,268
UCL122096,38,78,0,3,0,0,0,0,5,31,11,38,0,3,0,6,0,7,4,13,15,51,0,0,0,0,0,0,9,15,9,15,0,0,3,5,0,0,0,8,10,20,0,6,63,149
UCL122097,23,51,0,17,0,3,0,3,11,58,21,83,0,3,0,0,5,6,3,10,25,91,0,0,0,4,3,7,6,17,4,26,0,0,0,3,5,11,9,15,16,45,0,0,68,192
UCL122098,52,95,0,0,3,11,3,3,29,109,29,127,0,0,0,3,8,21,5,28,38,152,0,0,0,0,0,0,10,24,10,24,0,0,0,0,5,19,5,19,14,45,0,0,107,290
UCL122099,65,133,0,4,0,6,0,6,18,76,22,87,0,13,7,17,10,40,19,68,38,151,0,0,0,0,0,0,5,16,5,16,0,0,0,0,9,19,9,19,12,33,0,0,116,322
UCL122100,40,81,0,0,0,5,0,3,14,46,15,57,0,0,0,0,8,17,8,17,23,69,0,0,0,3,0,0,13,33,14,33,0,0,0,3,0,0,0,3,13,34,0,3,75,189
UCL122101,39,83,4,16,3,19,0,10,17,71,24,117,3,14,3,10,14,41,19,63,43,176,0,0,0,6,0,0,9,19,7,24,0,0,0,0,3,7,3,7,12,32,0,4,97,290
UCL122102,36,71,0,10,4,20,0,0,18,81,20,105,0,0,3,13,0,5,8,15,30,123,4,20,0,0,0,6,16,39,14,63,0,0,0,0,6,6,6,6,21,69,3,6,89,268
UCL122103,55,111,0,8,7,39,0,0,12,43,24,84,0,0,6,16,3,3,6,23,26,107,0,0,0,0,0,0,9,12,6,18,0,0,0,3,10,21,11,21,15,41,0,0,104,253
UCL122104,16,38,0,0,0,5,0,0,16,76,21,85,0,3,3,8,9,28,10,39,26,125,0,0,0,7,0,0,5,8,3,15,0,0,0,4,3,3,3,3,11,19,0,0,59,182
UCL122105,42,83,0,0,0,4,0,3,5,31,13,39,0,6,3,9,0,0,3,9,16,48,0,0,0,3,0,0,5,11,9,10,0,0,0,0,4,9,6,11,10,21,0,0,62,153
UCL122106,19,38,0,0,3,11,0,0,12,54,17,59,0,3,0,13,8,13,8,24,27,90,0,3,3,11,0,0,4,12,7,23,0,0,0,3,4,13,6,11,13,33,0,0,55,160
UCL122107,13,20,0,0,0,0,0,0,16,56,16,56,0,0,0,0,0,4,0,4,13,59,0,0,3,10,0,4,16,43,22,62,0,7,3,6,10,24,14,33,34,95,3,8,61,186
UCL122108,31,59,0,8,0,13,0,0,11,42,13,64,0,0,3,14,3,6,4,16,16,77,0,0,0,10,0,0,3,14,5,19,0,5,0,0,3,7,4,7,9,30,0,0,60,168
UCL122109,78,154,0,0,0,7,0,3,20,62,19,76,0,4,3,7,9,19,12,32,31,112,0,0,0,0,0,0,3,12,3,12,0,0,0,0,7,16,7,16,11,23,0,3,118,289
UCL122110,36,62,0,0,4,13,0,0,21,90,29,107,3,8,4,16,7,17,12,44,39,150,0,0,0,0,0,0,6,14,6,21,0,0,4,9,3,10,10,16,14,37,3,4,90,257
UCL122111,35,80,0,0,3,13,0,0,14,58,17,66,0,3,0,0,5,15,10,24,26,88,0,0,0,0,0,0,4,18,4,18,0,0,0,0,3,9,3,9,8,30,0,4,76,200
UCL122112,30,62,0,0,0,10,0,4,9,44,15,59,0,4,4,3,3,12,5,21,21,86,0,0,0,0,0,0,3,15,3,15,0,0,0,0,5,4,5,4,7,14,0,0,63,161
UCL122113,34,70,0,6,6,31,3,22,19,76,30,131,11,51,6,28,24,58,44,141,74,274,0,0,0,3,0,0,9,17,7,16,0,0,0,3,7,7,5,10,14,32,0,0,124,376
UCL122114,30,53,0,0,5,17,0,0,28,122,38,141,0,8,4,20,4,22,13,49,48,185,0,0,0,0,0,0,8,15,8,15,0,4,0,3,0,0,3,9,9,19,0,0,89,259
UCL122115,32,72,0,7,0,0,0,0,16,67,12,68,0,0,3,4,5,21,7,29,26,98,0,0,0,3,0,0,11,20,12,23,0,0,0,0,4,12,4,12,15,39,3,7,77,207
UCL122116,33,63,0,0,3,18,0,4,15,65,24,89,3,18,3,13,15,38,20,73,46,160,0,0,3,6,0,0,3,17,9,22,0,3,0,0,5,14,6,20,18,43,0,0,92,265
UCL122117,41,76,0,0,0,9,0,0,3,10,3,22,0,0,0,3,0,0,0,3,3,23,0,0,3,4,0,3,0,3,4,8,0,0,0,0,0,4,0,4,8,19,0,3,51,116
UCL122118,5,7,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11
UCL122119,39,73,3,12,3,20,0,0,34,129,41,159,0,3,3,8,12,32,18,50,57,207,0,0,0,0,0,4,4,11,8,13,0,5,0,4,6,7,9,18,15,28,0,3,110,312
UCL122120,43,75,0,0,5,23,3,10,29,98,33,134,3,23,6,18,14,42,21,84,58,220,0,0,0,0,0,0,7,11,7,11,0,0,0,0,3,3,3,3,6,17,0,0,104,305
UCL122121,52,100,0,9,3,11,0,3,8,31,12,59,0,0,0,5,6,22,7,32,23,86,0,4,0,0,0,0,3,8,8,16,0,0,3,7,0,3,4,10,9,24,0,3,84,208
UCL122122,34,68,0,9,0,5,0,0,12,49,18,67,0,4,3,14,5,12,9,33,30,99,0,0,0,0,0,0,3,5,3,5,0,0,0,0,5,4,3,7,5,15,0,0,68,183
UCL122123,47,84,0,0,0,9,0,8,7,27,6,41,0,5,0,5,0,6,4,7,15,47,0,5,0,11,0,14,5,18,12,46,3,7,0,0,7,17,8,27,24,71,0,0,83,213
UCL122124,40,81,0,12,3,12,0,5,8,40,14,63,0,0,3,11,4,9,10,21,20,84,0,0,0,6,3,7,3,9,3,22,0,5,0,0,9,14,10,22,15,39,3,7,76,212
UCL122125,48,90,0,4,11,38,0,9,14,50,23,97,8,31,9,26,7,42,26,90,46,194,0,0,0,5,0,0,3,3,3,13,0,0,0,0,3,12,3,11,9,20,0,0,101,308
UCL122126,47,86,3,10,9,51,3,12,27,100,39,167,0,13,3,6,21,63,22,79,65,249,0,0,0,3,0,0,4,11,3,16,0,3,3,0,4,4,4,11,13,34,0,0,117,370
UCL122127,32,57,0,0,3,17,0,5,28,102,30,122,3,9,3,6,4,17,13,33,38,155,0,0,0,0,0,5,10,25,11,25,0,3,0,3,3,13,9,16,17,40,0,3,89,259
UCL122128,47,90,0,0,3,18,0,3,13,56,21,84,3,15,3,9,3,13,10,33,32,119,0,6,0,0,0,0,0,9,3,9,0,0,0,0,3,3,3,4,11,16,0,3,81,227
UCL122129,52,103,0,4,8,27,0,4,29,108,36,143,3,12,5,15,10,42,16,64,51,206,0,0,4,9,3,7,12,28,18,48,0,3,0,5,3,11,10,19,24,64,0,0,130,379
UCL122130,37,65,0,0,3,8,0,5,24,92,23,106,0,0,0,0,3,13,3,13,27,120,0,0,0,3,0,0,7,26,7,28,0,0,0,3,0,0,0,3,12,32,0,3,79,225
UCL122131,42,90,0,0,8,25,0,9,39,149,48,183,3,19,9,23,18,49,24,93,73,268,0,0,0,0,0,3,4,7,3,14,0,0,5,10,3,11,6,16,9,31,0,0,128,385
UCL122132,29,61,0,0,0,0,0,0,8,44,8,44,0,0,0,3,3,12,8,19,18,61,0,0,0,5,0,0,3,13,7,13,0,3,0,4,3,8,6,9,11,30,0,3,52,147
UCL122133,27,59,0,11,0,9,0,0,17,83,24,100,3,9,6,21,6,11,13,40,37,146,0,0,0,0,0,0,7,11,7,11,0,0,0,4,0,0,4,10,5,19,0,0,71,226
UCL122134,31,63,0,0,0,8,0,0,10,40,11,47,0,0,0,0,3,4,3,4,15,52,0,0,0,0,0,0,3,4,3,4,0,0,0,0,0,3,0,4,4,7,0,0,53,127
UCL122135,47,92,0,7,3,4,0,8,18,61,18,77,8,24,9,22,9,31,21,72,45,152,0,0,0,0,0,3,0,0,0,3,0,3,4,4,3,4,10,19,9,22,0,0,97,267
UCL122136,24,46,0,3,4,30,0,0,16,66,19,97,3,10,0,3,8,19,8,36,32,129,0,3,0,0,0,0,7,14,8,19,0,0,0,0,3,9,5,14,14,34,0,0,67,211
