UCL_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
UCL112003,46,99,147,41,39,80,42,216,255,51,342,397,205,827,1030,243,430,672,547,357,904,508,368,878,710,299,1010,631,263,897,502,192,693,526,145,671,944,182,1121,638,26,662,358,6,367,243,64,308,406,6,412,676,89,769,93,207,300,7414,4168,11578
UCL112004,48,53,101,40,26,62,39,103,137,30,224,251,134,454,581,126,278,404,449,197,648,384,235,616,520,198,716,474,116,594,343,103,446,344,93,436,678,110,789,406,17,417,287,10,297,206,72,274,542,10,558,634,27,664,84,144,229,5762,2462,8225
UCL112005,45,50,95,21,26,50,49,133,183,74,267,340,207,576,782,253,192,439,661,174,829,420,202,621,508,185,691,468,106,569,351,58,404,358,54,410,540,76,618,323,16,335,192,3,194,108,20,130,214,0,214,435,31,466,104,152,257,5313,2313,7631
UCL112006,91,102,196,54,64,114,76,365,444,93,655,747,443,1267,1707,437,689,1123,1298,573,1872,1021,564,1583,1241,480,1723,1261,280,1536,824,197,1016,769,141,912,1332,143,1472,792,49,839,430,22,449,294,71,365,455,20,474,1119,119,1236,194,351,545,12216,6151,18365
UCL112007,47,72,116,28,50,77,60,185,242,73,327,404,235,637,876,270,316,586,654,336,994,562,370,926,761,344,1104,746,227,977,597,181,780,623,132,758,1076,186,1266,691,31,724,435,14,453,243,63,309,401,15,417,873,79,947,160,239,404,8530,3826,12359
UCL112008,32,45,79,34,53,87,45,161,201,52,316,366,176,625,800,165,300,466,479,228,706,406,250,653,498,222,719,530,130,658,356,134,490,358,101,458,695,91,785,430,21,456,265,3,271,145,37,179,240,7,240,513,30,540,108,159,271,5518,2901,8421
UCL112009,42,61,107,29,40,70,47,251,298,63,406,466,244,893,1138,316,460,777,669,378,1046,518,372,892,736,326,1061,704,179,880,507,109,611,473,96,570,742,95,837,379,12,396,182,13,187,135,40,178,170,4,173,525,92,614,88,180,267,6560,4012,10572
UCL112010,3,3,5,3,3,4,0,7,13,8,20,28,19,34,49,11,19,34,39,15,61,34,21,63,48,16,62,53,12,64,36,12,48,41,6,44,70,5,79,38,0,38,38,0,38,12,3,15,28,0,28,67,0,67,6,13,16,561,189,755
UCL112011,51,67,113,39,58,101,84,247,328,102,411,518,277,819,1099,313,377,696,898,303,1202,630,317,950,773,266,1039,754,181,938,506,121,631,490,82,573,799,76,876,478,7,488,214,3,219,113,36,154,195,8,204,730,48,781,152,244,400,7615,3684,11298
UCL112012,62,102,162,53,72,126,62,267,334,64,475,533,278,821,1100,332,370,704,730,354,1081,548,380,929,782,407,1193,777,243,1021,581,209,793,635,159,796,1176,191,1367,799,27,827,475,24,502,287,82,370,545,19,567,835,74,904,149,241,389,9171,4514,13690
UCL112013,83,123,203,41,63,101,61,307,369,80,644,727,367,1381,1745,421,721,1142,1406,534,1933,996,534,1531,1256,417,1673,1159,268,1428,725,197,924,731,144,873,1290,197,1486,833,31,865,462,14,482,284,92,368,557,16,573,937,98,1036,214,401,615,11895,6175,18070
UCL112014,43,78,122,27,49,72,64,237,299,70,394,462,276,862,1143,338,436,768,773,371,1147,660,432,1090,830,379,1207,771,218,986,575,161,735,559,128,683,990,170,1166,551,30,578,305,16,316,179,59,234,339,25,362,787,84,867,165,262,430,8296,4391,12685
UCL112015,72,101,173,52,75,135,94,347,440,92,495,593,350,935,1288,381,532,915,885,517,1404,794,580,1373,1020,570,1590,1061,399,1456,842,240,1079,890,227,1111,1612,261,1878,1062,50,1110,653,30,687,364,90,450,640,22,658,1137,105,1248,227,313,541,12237,5876,18116
UCL113001,19,48,67,14,26,45,25,124,153,38,307,348,159,656,816,160,372,525,541,275,815,386,234,622,512,208,714,430,115,549,248,82,332,274,63,332,439,86,520,248,5,253,130,3,134,74,42,109,135,4,143,322,50,375,89,215,305,4235,2923,7156
UCL113002,29,32,62,21,20,45,32,92,129,24,171,195,132,405,533,131,212,338,433,160,593,276,153,426,369,112,484,348,69,418,147,35,183,152,14,169,231,31,259,118,9,124,56,0,64,21,16,46,58,0,58,219,25,242,79,128,208,2884,1692,4573
UCL113003,22,43,60,19,27,47,45,185,228,54,325,377,205,650,856,197,244,440,502,198,696,359,169,524,400,172,581,330,117,442,235,106,333,269,94,360,421,95,517,300,7,304,182,4,188,102,37,134,178,0,182,474,32,509,150,207,357,4428,2716,7142
UCL113004,17,10,22,8,3,9,8,32,42,10,49,54,50,142,197,38,67,108,172,53,225,103,57,159,156,49,207,138,22,160,93,23,114,88,12,102,177,23,202,132,8,136,66,0,67,23,7,25,57,0,61,132,11,147,24,54,81,1493,636,2125
UCL113005,56,57,110,42,45,83,39,189,224,39,331,372,301,880,1180,195,389,580,956,286,1239,534,287,816,636,195,834,487,86,574,274,56,328,274,46,318,370,53,425,217,6,226,99,0,99,83,44,126,129,3,139,450,39,491,151,252,403,5333,3245,8577
