UCL_CODE_2016,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
UCL101001,10386,51685,222811,221641,181959,111100,21374,1562,215,822730,26132,41531,45870,29632,27845,28675,16905,3115,354,220052,1481,2061,4748,4219,3652,3813,1425,221,41,21666,1280,3123,6780,4891,4193,2541,736,187,55,23782,39273,98400,280212,260388,217649,146126,40436,5080,663,1088223,2471,6211,10939,8460,7670,5684,549,51,15,42049,7463,6889,4374,2006,1970,2748,855,104,10,26420,9940,13105,15311,10462,9641,8431,1403,160,19,68473,49209,111505,295519,270848,227285,154552,41842,5239,685,1156692,76466,36355,34895,25335,31019,54934,101768,67476,26244,454489,5974,9917,25238,18766,15396,12355,9315,5955,3281,106198,131656,157780,355650,314947,273705,221844,152924,78665,30209,1717381,5186,43407,161576,121853,115046,65639,9138,448,81,522375,34710,47379,71706,86564,74433,52410,16714,1722,172,385807,1778,2616,13120,8646,4090,3970,1276,139,20,35652,1143,2454,4564,3176,2887,1797,582,172,79,16843,42814,95857,250963,220241,196454,123807,27714,2476,349,960684,1560,3921,8114,5513,5119,2892,130,29,17,27299,7717,6308,6919,6489,5186,3540,433,52,22,36652,9277,10232,15036,11998,10300,6432,563,78,38,63951
UCL102001,164,621,1945,1941,2074,1100,169,8,3,8013,344,249,317,183,178,208,113,13,0,1618,17,21,54,39,73,51,12,3,0,280,13,18,57,40,26,27,4,7,0,193,548,915,2372,2210,2357,1379,294,23,3,10100,31,44,75,73,60,45,5,0,0,333,67,16,23,17,15,17,4,0,0,158,95,65,94,87,77,57,15,0,0,494,641,984,2470,2292,2431,1438,312,25,3,10594,483,108,157,168,248,480,786,477,162,3071,50,58,189,164,160,101,76,47,15,865,1177,1151,2814,2628,2837,2019,1172,559,179,14528,94,529,1300,1258,1547,711,79,7,0,5522,454,354,642,685,639,408,89,13,0,3273,17,28,155,100,66,56,10,0,0,434,12,9,31,29,37,16,0,3,0,143,575,925,2126,2067,2286,1201,173,21,0,9375,21,35,55,28,32,13,0,0,0,191,72,23,56,32,19,26,4,0,0,227,92,54,113,67,54,35,4,0,0,416
UCL102002,1146,3825,10731,12234,12405,8149,1234,75,7,49819,2318,2024,1960,1780,2105,2420,1333,190,21,14147,139,152,311,332,393,449,106,11,8,1902,91,189,268,281,241,162,67,17,3,1325,3688,6190,13270,14631,15146,11185,2747,289,42,67187,411,616,695,541,630,499,39,5,0,3429,593,254,165,107,133,229,69,13,0,1556,1006,869,855,650,765,725,108,11,0,4993,4698,7058,14128,15277,15902,11911,2854,303,45,72176,4344,1200,1412,1677,2596,5527,12111,8041,3169,40072,418,447,854,909,1009,1032,1018,823,522,7025,9455,8701,16400,17866,19507,18468,15983,9164,3731,119275,625,2602,5695,5839,7409,4752,497,26,0,27454,3482,2811,4907,6754,6996,5480,1362,91,11,31894,157,209,876,565,449,490,107,9,0,2863,93,117,169,196,212,158,48,19,5,1017,4356,5742,11654,13361,15060,10885,2012,144,23,63229,320,373,396,344,426,249,10,3,3,2130,641,268,393,493,381,283,39,7,0,2506,962,644,789,838,806,531,49,13,3,4634
UCL102003,176,547,1501,1912,2000,1421,237,15,0,7816,474,399,433,426,482,612,296,53,4,3175,24,24,57,63,54,80,30,7,0,337,21,33,61,34,34,38,14,5,0,242,696,1002,2050,2439,2565,2146,579,76,9,11570,54,92,102,116,135,128,5,0,0,640,117,37,25,20,33,47,19,0,0,295,172,126,127,136,170,174,26,3,0,941,871,1128,2177,2578,2735,2320,605,79,9,12510,672,189,261,299,507,1272,3042,2270,941,9454,76,84,185,203,232,271,299,242,162,1758,1619,1404,2616,3080,3475,3863,3951,2591,1110,23713,58,328,857,973,1333,954,103,3,0,4612,667,509,889,1348,1363,1253,308,20,3,6352,26,27,141,74,78,95,23,3,0,460,25,16,33,40,37,39,6,10,4,215,779,885,1912,2430,2806,2348,438,29,10,11636,30,64,64,51,81,57,0,0,0,347,118,52,71,76,70,79,12,0,0,481,150,119,131,128,151,135,10,0,0,829
UCL102004,1060,4199,13500,13513,13070,8370,1054,82,13,54860,2609,3017,2728,1911,2046,2420,1173,192,21,16114,157,238,438,326,385,458,114,17,0,2134,83,175,307,229,236,122,47,22,5,1218,3914,7621,16966,15987,15735,11370,2389,315,31,74328,445,788,843,724,727,586,28,0,3,4145,811,515,288,142,159,246,56,9,3,2234,1256,1302,1137,864,891,831,89,12,7,6383,5164,8930,18104,16855,16626,12202,2472,323,41,80716,4410,2189,2080,1954,2810,6342,11824,6941,2522,41074,309,457,1000,850,1037,984,918,706,510,6775,9891,11574,21181,19666,20473,19531,15215,7966,3070,128566,569,3027,8129,6649,7822,4839,434,20,0,31481,3686,4118,6134,7954,7270,5274,1173,101,10,35720,176,302,1175,630,438,452,99,15,0,3282,110,166,209,167,166,124,47,20,3,1014,4533,7615,15645,15401,15694,10690,1750,157,18,71495,283,371,451,373,336,169,12,4,0,1995,820,469,463,386,331,241,21,3,0,2728,1105,834,912,762,660,409,27,3,0,4725
UCL102005,1068,3461,9986,11024,10583,6373,778,67,5,43341,1898,2395,2093,1584,1677,1807,775,106,9,12340,116,162,345,295,379,373,68,11,5,1771,89,174,251,207,195,117,55,14,3,1116,3177,6189,12676,13107,12836,8679,1678,199,26,58565,333,569,625,472,474,375,21,0,0,2876,663,487,249,124,122,156,38,8,3,1851,994,1064,878,598,598,531,63,5,3,4731,4176,7252,13554,13701,13435,9204,1746,203,24,63298,4166,2190,1981,1737,2475,5150,9320,6042,2106,35172,313,479,897,752,840,808,746,601,280,5719,8662,9929,16429,16190,16746,15161,11807,6855,2418,104185,443,2516,5591,5132,6048,3424,295,15,0,23461,2800,3219,4693,6156,5652,3884,748,56,6,27222,138,196,827,534,324,367,73,11,3,2469,73,125,157,107,130,101,34,15,11,752,3454,6058,11267,11927,12154,7778,1152,98,24,53903,207,315,355,285,299,138,3,0,0,1600,710,438,399,391,282,166,25,3,0,2419,917,747,755,677,582,308,30,4,0,4015
UCL111001,224,740,1990,1853,1781,1326,210,8,0,8130,388,293,336,268,282,376,214,33,8,2189,22,15,60,43,45,71,27,0,0,282,16,30,51,32,37,21,13,7,0,207,659,1085,2426,2190,2143,1797,466,47,6,10817,70,126,133,105,117,71,8,0,0,623,82,46,26,19,21,46,8,0,0,250,147,166,156,123,139,116,16,0,0,871,804,1251,2586,2315,2285,1916,479,47,6,11693,614,217,252,298,430,731,1529,1002,392,5465,95,144,234,198,212,193,158,121,68,1422,1505,1614,3064,2808,2927,2846,2172,1168,475,18578,104,461,1030,921,1138,775,86,3,0,4515,603,576,963,1077,1007,890,223,19,0,5358,29,35,159,86,76,84,22,3,0,493,24,26,23,24,32,22,7,3,0,161,766,1100,2171,2109,2261,1765,336,26,0,10525,45,72,83,60,76,28,4,0,0,358,103,73,64,72,43,43,8,0,0,403,145,142,147,130,114,72,12,0,0,765
UCL111002,327,1130,3571,3500,3143,1960,234,11,0,13880,648,494,553,459,407,498,235,31,0,3326,22,30,100,85,97,120,23,4,3,484,16,33,67,69,58,37,12,3,7,303,1014,1685,4289,4119,3704,2610,509,47,10,17985,136,195,216,190,170,128,7,0,0,1046,160,70,44,28,31,52,8,0,0,405,297,269,263,220,197,185,16,0,0,1446,1317,1949,4553,4343,3909,2786,521,46,10,19432,1088,300,386,454,578,1235,2500,1350,384,8271,105,101,261,267,257,236,162,126,53,1580,2509,2349,5205,5062,4744,4255,3184,1525,445,29286,152,822,1882,1610,1896,982,103,7,0,7459,907,781,1622,1814,1614,1069,222,19,0,8048,40,70,276,141,104,115,23,0,0,760,28,38,48,54,43,16,9,3,3,241,1122,1710,3832,3617,3656,2186,350,29,5,16504,82,122,140,106,122,56,4,0,0,634,185,99,164,138,107,57,3,0,0,754,271,224,306,249,223,113,9,0,0,1393
UCL112001,66,242,662,575,599,456,79,7,0,2685,160,239,201,120,156,141,76,14,0,1106,19,28,16,8,21,25,12,3,0,135,17,14,12,11,12,8,3,3,0,82,262,526,891,712,784,630,169,29,0,4009,26,53,56,40,43,22,0,0,0,242,68,62,33,17,8,9,4,0,0,201,92,115,91,53,52,38,9,3,0,445,356,637,984,765,836,667,176,28,4,4449,496,413,219,177,176,251,544,390,122,2798,65,106,100,55,86,80,65,43,25,629,920,1157,1306,1000,1095,1002,781,464,154,7886,42,170,418,360,477,348,37,3,0,1851,247,314,358,319,328,285,71,3,0,1925,36,40,47,35,14,37,4,0,0,219,10,18,10,12,5,6,3,0,0,69,339,539,834,726,825,674,119,7,3,4060,13,29,36,25,21,12,0,0,0,138,70,76,42,19,16,20,0,0,0,238,84,99,75,46,41,29,0,0,0,377
UCL112002,129,485,1436,1299,1241,888,130,13,3,5636,248,280,252,138,150,197,127,28,0,1425,17,39,25,30,33,55,11,3,0,215,13,17,44,21,21,19,3,0,0,144,415,816,1758,1490,1452,1157,276,52,8,7421,38,89,66,60,64,32,3,0,3,359,77,65,18,12,14,12,7,0,0,204,122,147,84,78,79,48,12,0,0,562,533,967,1843,1569,1529,1211,280,52,6,7983,653,332,430,317,277,539,963,568,201,4275,85,129,131,98,109,111,103,63,42,867,1266,1428,2396,1989,1911,1855,1346,682,253,13132,54,320,738,722,887,583,71,0,0,3382,392,449,632,680,578,490,125,14,3,3362,32,45,120,43,38,61,14,0,0,357,16,20,23,23,15,19,3,0,0,124,502,840,1513,1469,1514,1144,214,12,4,7220,25,38,43,34,34,18,0,0,0,187,64,50,46,43,34,22,3,0,0,261,89,90,92,77,67,34,7,0,0,447
