UCL_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
UCL112015,8,76,80,103,170,191,97,138,6,873,27,74,50,41,126,137,44,85,153,742,764,2395,2050,2563,5007,4102,2179,3074,346,22481
UCL113001,4,32,19,32,47,47,16,29,4,237,7,30,31,21,35,17,8,15,60,234,213,798,745,990,1254,853,422,718,130,6114
UCL113002,4,29,10,21,23,22,13,30,3,164,7,27,13,22,22,25,5,15,33,163,160,576,456,553,699,460,213,409,67,3601
UCL113003,14,41,31,41,62,51,27,29,3,294,11,24,10,16,33,25,20,29,74,242,320,763,589,814,1425,1084,561,1129,164,6846
UCL113004,3,17,13,12,10,23,3,8,0,77,0,9,10,6,15,6,8,10,27,95,103,267,242,244,426,393,214,382,51,2334
UCL113005,10,46,28,33,36,52,21,41,3,259,7,25,16,14,29,28,7,14,74,218,283,912,745,911,1021,865,413,706,148,6009
UCL113006,10,33,16,35,59,47,20,43,0,258,15,31,17,14,40,20,15,19,44,208,214,760,609,811,1256,821,468,709,96,5725
UCL113007,4,30,24,41,72,67,43,48,0,334,19,31,36,32,78,69,24,24,68,373,250,806,772,887,2000,1578,839,1090,165,8386
UCL113008,9,14,20,11,26,16,7,19,3,128,4,12,8,13,28,9,5,5,43,130,111,380,358,486,652,322,206,298,102,2914
UCL113009,4,30,15,14,41,37,18,31,0,191,5,27,23,17,18,32,18,27,31,192,247,793,705,670,991,1019,583,832,90,5938
UCL113010,12,41,32,32,99,62,30,40,6,353,7,29,13,27,71,61,15,21,63,312,249,764,729,756,1366,1149,595,738,122,6475
UCL113011,3,27,26,22,34,34,16,23,0,183,6,21,11,14,36,35,3,15,31,176,178,522,441,496,875,737,336,468,77,4130
UCL113012,7,51,40,36,59,88,34,37,3,352,10,34,29,34,48,56,15,31,67,324,265,851,828,859,1421,1311,570,876,144,7126
UCL113013,3,24,18,25,36,43,22,80,3,249,9,13,9,11,15,15,10,15,24,112,174,483,466,558,767,684,495,948,75,4661
UCL113014,10,15,18,18,40,26,28,25,3,183,0,22,7,11,25,13,15,14,33,138,159,423,401,443,798,578,602,764,82,4250
UCL113015,7,21,29,18,27,32,18,26,0,178,6,30,21,21,31,36,8,25,42,219,238,794,652,703,922,889,469,628,96,5387
UCL113016,5,33,15,19,50,47,30,42,0,251,3,25,10,29,55,35,11,22,32,220,178,601,507,666,1101,888,461,565,89,5059
UCL113017,7,30,24,25,41,59,33,52,4,277,4,14,8,17,24,30,15,34,45,195,199,683,561,634,965,835,773,1230,118,6003
UCL113018,0,24,9,21,20,16,18,19,0,136,14,16,18,12,23,19,4,11,43,158,130,435,386,478,654,472,262,326,78,3218
UCL113019,3,24,32,21,54,56,21,32,7,262,10,29,9,30,43,21,20,15,61,233,261,788,634,877,1179,848,425,622,129,5765
UCL113020,3,22,14,23,41,28,11,16,3,166,7,33,14,14,15,20,14,11,47,171,188,770,587,660,737,651,288,535,110,4516
UCL114001,5,6,5,10,11,12,0,18,0,70,0,7,0,5,11,20,0,8,21,69,67,251,225,281,393,283,120,238,37,1896
UCL114002,3,11,13,15,16,17,7,9,5,93,0,9,4,10,6,12,9,9,12,72,78,295,243,266,358,344,175,264,46,2064
UCL114003,4,23,18,21,24,14,8,17,3,129,21,40,29,40,28,39,7,32,42,278,151,651,618,712,594,606,257,496,99,4189
UCL114004,0,12,13,20,8,19,3,6,0,83,11,9,4,4,3,8,0,4,26,77,83,238,266,314,319,295,130,226,55,1933
UCL114005,3,10,8,14,23,25,14,18,4,124,5,7,6,18,15,22,7,20,36,140,106,352,366,555,661,488,222,325,92,3166
UCL114006,3,10,4,4,19,24,9,17,0,96,3,11,8,3,10,11,4,11,32,82,99,324,269,361,569,401,214,406,52,2700
UCL114007,3,20,8,7,11,10,10,6,0,79,6,7,0,4,19,5,0,5,10,63,80,200,202,262,430,341,144,249,45,1944
UCL114008,7,7,10,13,11,14,12,18,0,90,5,9,8,4,10,19,3,11,23,100,125,236,227,266,327,430,189,283,47,2143
UCL114009,3,19,15,15,33,29,14,22,0,137,9,3,6,8,24,14,3,13,21,104,115,345,332,376,595,463,235,414,60,2934
UCL114010,3,13,8,16,18,23,21,18,3,116,4,15,9,17,15,22,10,5,16,112,111,338,271,369,583,492,227,349,48,2782
UCL114011,4,14,13,16,20,19,11,21,5,112,0,13,3,10,22,12,12,11,42,132,111,280,231,351,525,467,251,408,77,2691
UCL114012,0,20,6,8,19,19,8,12,5,95,3,16,14,13,15,8,5,9,17,97,74,245,187,236,367,249,117,217,40,1726
UCL114013,9,19,10,11,33,38,16,27,0,158,3,8,10,4,25,20,8,25,27,132,135,353,270,354,594,473,338,707,65,3282
UCL114014,6,20,13,15,21,35,16,21,0,148,0,12,12,15,9,24,5,21,21,118,100,333,369,380,579,700,327,431,49,3265
UCL114015,3,17,12,7,37,28,11,21,4,146,9,16,9,12,28,26,6,6,44,151,138,410,336,498,834,513,271,374,105,3483
UCL114016,4,13,11,9,17,17,17,16,0,102,3,9,7,8,11,33,11,11,40,128,98,297,204,298,575,647,307,415,69,2910
UCL114017,0,16,6,7,22,9,5,4,4,76,3,18,6,14,12,16,0,16,33,126,95,442,400,455,481,489,214,421,63,3059
UCL114018,7,17,9,19,34,32,22,33,3,179,10,14,6,3,16,22,9,11,30,132,190,447,434,476,839,795,436,512,88,4201
UCL114019,10,12,7,10,20,21,8,8,0,100,0,13,8,5,9,6,0,14,16,78,151,396,312,403,544,409,211,375,49,2861
UCL114020,10,10,16,17,36,33,14,39,0,163,3,10,7,3,28,20,9,21,36,143,106,227,207,298,630,531,281,539,79,2895
UCL114021,3,24,12,22,32,24,11,29,0,156,0,16,11,12,24,25,19,19,36,154,104,449,339,421,645,572,332,508,67,3424
UCL114022,3,25,13,20,25,37,10,32,3,159,11,12,7,11,21,25,12,9,49,160,145,465,385,495,640,504,252,400,89,3372
UCL114023,3,9,4,0,14,9,11,4,0,63,3,7,0,10,11,4,0,8,23,64,77,250,214,260,293,197,108,202,39,1647
UCL114024,3,17,5,9,21,43,16,18,0,135,8,15,12,15,18,21,6,8,21,131,105,264,221,272,525,454,222,385,50,2493
UCL114025,3,25,19,10,22,41,16,29,0,175,7,11,5,8,19,25,10,15,38,144,173,425,335,444,754,546,506,608,89,3880
UCL114026,0,19,10,13,14,11,7,11,0,92,4,9,6,13,9,16,5,10,23,98,82,363,315,382,401,412,209,381,53,2604
UCL114027,0,17,13,10,10,20,6,13,0,84,3,11,4,7,10,18,4,8,24,79,60,292,240,223,307,301,147,273,33,1881
UCL114028,3,10,8,4,11,12,4,8,0,63,7,7,3,6,8,3,0,8,15,55,88,210,177,204,273,245,110,190,48,1547
UCL114029,3,8,13,13,17,31,15,11,0,106,0,13,9,11,24,19,3,10,22,103,67,262,254,295,451,495,189,301,47,2346
UCL114030,5,12,3,4,13,15,8,16,3,75,3,11,6,6,15,16,9,16,30,113,86,273,251,279,420,318,264,449,60,2401
UCL114031,3,14,13,16,30,24,20,12,0,131,0,9,3,6,18,12,9,11,22,93,101,265,226,340,491,352,195,302,42,2324
UCL114032,3,14,12,15,15,21,4,13,0,90,4,14,7,8,10,9,3,3,21,79,93,288,239,278,306,249,134,256,48,1888
UCL114033,3,3,3,3,6,4,0,3,0,25,0,7,0,0,0,6,0,3,12,28,49,98,79,96,133,152,68,79,20,778
UCL114034,3,17,9,12,15,27,13,20,0,114,7,6,4,3,16,9,6,17,20,92,116,256,224,273,495,405,228,342,51,2390
UCL114035,11,17,8,4,31,24,15,20,0,115,4,17,13,14,17,15,3,16,31,127,95,317,264,339,523,400,229,351,63,2590
UCL115001,0,4,3,3,11,10,0,4,0,40,0,3,0,0,10,12,0,5,3,33,29,86,78,105,157,114,89,126,19,801
UCL115002,0,6,0,4,4,10,4,0,0,27,0,0,3,0,3,7,3,0,0,26,23,67,56,71,139,145,80,115,7,709
UCL115003,0,5,3,3,0,0,3,3,0,19,0,0,0,3,0,3,0,0,3,13,17,79,65,106,99,72,37,67,11,557
UCL115004,0,0,0,4,4,4,4,3,0,14,3,3,4,0,3,0,0,5,10,28,14,49,48,66,90,84,29,79,16,475
UCL115005,0,0,4,6,0,4,0,6,0,30,3,7,7,5,8,12,4,4,6,45,34,125,97,123,101,150,55,95,16,784
UCL115006,3,3,7,9,15,16,10,17,0,79,3,5,3,7,14,13,3,12,11,75,66,152,147,155,297,283,156,235,29,1522
UCL115007,0,0,0,0,3,0,4,4,0,13,3,4,0,3,6,4,0,0,8,24,17,48,52,60,55,56,33,73,7,404
UCL115008,0,3,5,4,8,3,0,6,0,27,7,4,5,0,5,4,0,0,10,34,48,77,63,95,106,113,62,118,17,701
UCL115009,3,3,0,0,0,0,3,0,0,13,0,0,4,0,0,3,0,0,3,11,15,35,38,39,37,53,18,46,7,291
UCL115010,0,0,0,0,10,0,0,0,0,14,0,0,0,0,5,3,3,3,4,17,23,59,69,86,117,82,62,59,13,568
UCL115011,0,4,0,0,3,4,0,0,0,12,3,0,0,3,9,3,3,0,10,32,27,40,32,63,89,57,27,53,24,402
UCL115012,0,5,5,0,7,13,6,11,3,46,0,0,3,3,3,5,0,8,14,44,74,219,180,218,312,281,141,146,34,1599
UCL115013,0,5,7,7,3,3,3,3,0,31,3,4,5,3,5,7,3,3,3,42,40,181,169,209,189,145,73,120,18,1144
UCL115014,0,4,0,9,3,3,3,3,0,20,0,5,0,0,0,4,3,3,6,26,17,87,66,64,78,61,34,63,22,483
UCL115015,0,6,4,0,0,6,3,0,0,29,0,3,0,0,3,0,3,0,3,20,30,112,98,85,86,118,80,94,15,716
UCL115016,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,5,15,38,26,54,62,42,20,45,3,298
UCL115017,3,15,11,13,4,11,3,6,0,66,3,17,4,8,4,16,0,9,5,67,64,288,239,238,290,262,128,251,23,1783
UCL115018,0,8,9,6,18,12,15,6,0,67,3,3,0,4,13,11,4,8,15,56,41,145,112,126,212,177,134,204,29,1179
UCL115019,0,3,0,3,3,0,4,0,0,21,0,0,0,0,6,0,3,0,4,19,16,62,51,62,85,63,70,106,13,517
UCL115020,0,10,0,8,6,3,6,10,0,41,3,6,3,0,0,4,3,3,7,31,46,147,145,160,194,194,98,148,24,1157
UCL115021,0,3,0,3,4,0,3,0,0,14,0,7,0,0,3,0,0,0,4,16,16,47,53,57,80,75,36,89,13,468
UCL115022,0,6,0,3,6,4,0,10,0,29,4,3,4,3,5,4,0,0,9,30,23,45,50,79,178,144,68,106,12,697
UCL115023,0,3,4,5,4,7,3,0,0,26,3,0,0,6,6,9,0,0,0,31,23,90,76,77,136,150,89,107,7,756
UCL115024,0,3,0,0,0,0,0,0,0,15,0,7,3,3,3,0,0,0,7,28,22,63,52,71,65,93,49,100,9,521
UCL115025,3,3,4,5,13,17,12,17,0,80,0,3,10,5,4,4,3,9,3,37,54,111,128,121,220,213,148,238,11,1250
UCL115026,0,5,3,7,3,4,0,3,0,21,0,0,0,3,3,4,3,3,8,31,37,121,97,115,177,146,65,91,21,864
UCL115027,0,7,3,3,3,3,0,3,0,23,3,8,4,0,4,0,0,3,3,26,25,110,89,102,91,84,28,74,8,615
UCL115028,0,0,0,0,0,0,4,4,0,13,0,3,0,0,3,0,0,0,3,18,18,57,42,53,61,54,30,48,10,376
UCL115029,0,7,9,3,6,3,4,3,0,29,3,7,4,3,0,4,0,7,4,36,34,157,124,132,134,143,82,126,17,945
UCL115030,0,7,0,4,7,6,0,0,0,27,0,3,7,3,6,7,5,3,8,41,36,126,108,102,133,188,85,136,16,929
UCL115031,4,3,0,14,8,20,10,13,0,80,0,4,3,8,11,12,5,6,19,67,91,164,100,177,354,365,202,306,32,1794
UCL115032,0,0,3,3,4,3,10,7,0,37,0,3,3,4,4,14,3,4,8,50,36,68,74,99,198,144,91,133,26,863
UCL115033,0,5,3,3,9,16,8,18,0,61,0,7,3,3,4,3,3,5,7,43,56,139,111,175,308,231,141,210,23,1391
UCL115034,9,4,3,8,3,11,0,5,0,43,0,4,3,0,5,6,3,3,19,46,40,160,105,150,177,187,81,158,24,1084
UCL115035,0,0,3,0,3,0,0,3,0,16,0,0,0,0,3,3,3,0,0,13,25,114,64,73,98,84,50,98,11,605
UCL115036,0,3,3,0,0,7,3,0,0,14,3,3,0,3,0,3,0,0,5,25,15,74,53,82,85,83,45,69,16,522
UCL115037,3,3,4,6,7,10,5,18,0,54,3,3,3,7,11,3,3,6,17,51,86,113,121,151,222,204,207,488,41,1634
UCL115038,0,3,3,0,6,7,4,4,0,28,0,5,3,8,0,5,3,0,6,23,19,88,76,70,111,126,57,95,12,652
UCL115039,0,3,3,0,4,16,4,7,0,42,3,3,0,5,8,8,7,6,34,74,47,110,85,128,129,213,89,186,50,1042
UCL115040,0,0,0,0,9,3,3,4,0,19,0,4,0,0,0,4,0,3,7,22,25,66,49,76,137,138,53,87,7,638
UCL115041,3,8,0,3,4,10,3,9,0,30,8,7,3,0,3,11,3,3,9,45,35,88,71,118,176,109,73,112,19,814
UCL115042,3,0,0,3,10,10,0,0,0,29,0,0,0,0,8,3,3,5,17,40,41,71,62,102,175,133,67,89,31,774
UCL115043,0,5,0,5,3,3,0,8,0,24,0,0,0,0,3,3,3,3,7,22,26,71,67,84,106,91,57,109,8,621
UCL115044,0,6,3,5,4,7,3,3,0,38,0,0,0,0,7,3,0,3,4,20,43,76,93,121,163,128,73,108,20,818
UCL115045,0,3,3,7,11,9,0,5,0,38,3,8,0,3,9,10,3,10,11,59,55,149,140,148,214,211,69,148,28,1155
UCL115046,0,3,4,0,3,5,0,0,0,16,3,0,0,0,0,0,3,3,8,17,19,59,37,55,51,69,35,67,11,408
UCL115047,0,8,3,6,4,3,3,0,0,23,3,0,0,0,3,3,0,0,3,14,18,85,79,101,92,74,41,60,8,555
UCL115048,0,3,0,7,3,6,0,0,0,22,0,4,0,0,3,0,3,0,8,24,23,61,56,67,85,79,55,91,17,541
UCL115049,0,0,0,3,4,3,3,3,0,16,0,3,3,3,0,3,0,0,0,19,22,49,42,60,52,38,28,37,8,339
UCL115050,0,3,0,3,3,6,0,6,0,29,0,3,0,3,3,7,0,0,3,20,21,59,51,50,109,114,51,76,15,539
UCL115051,0,12,0,4,13,5,0,5,0,40,0,3,0,3,3,3,0,3,8,30,46,101,88,84,160,110,56,93,16,748
UCL115052,0,6,6,3,7,5,6,16,0,57,4,5,3,3,11,6,9,7,17,59,43,166,106,168,178,148,85,168,22,1084
UCL115053,0,10,6,3,19,15,3,12,6,70,3,9,3,0,4,11,3,5,12,50,85,299,174,126,363,296,154,193,47,1741
UCL115054,0,13,5,0,6,7,3,0,0,36,3,7,0,3,4,3,0,3,12,38,37,157,111,164,195,134,96,113,26,1029
UCL115055,0,4,5,3,0,0,4,4,0,19,0,0,4,0,4,3,0,0,12,24,21,58,61,59,88,71,37,50,15,462
UCL115056,3,3,3,0,11,4,8,15,0,39,4,3,0,0,4,9,0,0,8,31,40,82,67,89,119,122,55,106,16,692
UCL115057,0,0,0,4,9,13,4,3,0,40,3,6,0,0,11,12,3,3,10,48,39,94,73,87,296,268,162,145,23,1197
UCL115058,0,3,0,0,0,3,0,3,0,13,0,0,0,0,0,0,0,3,9,19,10,34,52,37,92,51,25,45,15,351
UCL115059,0,3,0,4,3,10,0,7,0,36,0,4,5,0,9,9,6,4,7,46,11,68,65,69,123,161,70,122,19,711
UCL115060,0,3,0,3,4,3,3,6,0,35,0,4,9,3,0,3,0,3,3,23,23,76,59,72,87,112,54,111,7,602
UCL115061,0,3,4,0,9,8,4,7,3,49,6,13,0,0,0,4,0,9,5,48,101,277,237,233,280,321,163,304,26,1928
UCL115062,4,3,3,0,10,13,3,11,0,44,4,3,0,3,4,4,0,10,14,38,37,104,95,119,175,120,72,144,33,902
UCL115063,0,8,0,9,9,20,19,23,0,86,4,4,5,4,5,10,3,13,20,68,49,128,119,128,238,285,137,222,42,1356
UCL115064,0,4,7,3,5,3,6,4,0,29,0,3,0,0,3,3,0,3,5,25,34,105,76,107,152,96,59,110,23,763
UCL115065,0,6,0,3,8,3,0,3,0,25,0,3,0,0,7,4,0,3,3,22,63,57,47,60,219,185,106,128,15,876
UCL115066,0,0,0,3,4,3,0,0,0,17,3,3,0,0,0,10,0,0,3,22,31,53,41,50,81,78,37,55,13,432
UCL115067,0,3,3,3,7,6,3,5,0,33,0,6,4,3,7,3,3,0,5,37,18,86,63,63,114,120,77,93,22,666
UCL115068,3,3,7,9,11,11,15,13,0,80,5,0,0,4,9,8,3,8,16,54,57,120,117,138,208,173,118,212,28,1167
UCL115069,0,3,9,0,3,4,4,13,0,36,0,3,0,0,4,0,0,0,0,10,38,82,77,76,107,101,76,136,9,709
UCL115070,0,5,0,0,4,5,4,4,0,29,6,3,0,3,4,0,3,0,4,19,28,82,79,89,117,70,39,85,8,588
UCL115071,0,3,4,4,3,4,4,6,0,23,0,0,3,4,3,3,3,0,17,36,17,94,84,111,145,111,69,103,26,760
UCL115072,0,4,0,0,6,8,4,4,0,30,0,8,6,8,3,3,0,0,3,36,26,91,96,84,188,112,65,96,16,765
UCL115073,0,6,4,3,4,3,5,5,0,28,0,3,3,0,3,6,3,0,3,30,30,71,77,74,147,128,47,112,10,692
UCL115074,0,0,0,5,4,3,0,4,0,23,0,0,3,4,0,4,0,3,11,30,20,106,94,121,110,107,50,97,26,729
UCL115075,4,0,4,0,3,7,4,9,0,32,0,5,7,5,8,8,4,3,19,65,38,115,92,118,158,144,73,189,34,963
UCL115076,0,9,6,8,13,7,6,8,0,57,7,7,4,4,11,6,4,8,9,65,41,119,90,126,219,199,99,158,21,1061
UCL115077,0,0,3,0,6,3,0,3,0,15,0,3,3,3,0,7,6,0,7,29,20,51,49,75,75,63,47,112,15,502
UCL115078,0,0,0,3,3,7,3,0,0,18,3,4,4,0,0,0,0,3,4,24,26,66,50,51,69,74,35,72,12,458
UCL115079,3,7,0,0,10,5,3,8,0,42,0,0,4,0,7,11,3,3,6,38,42,124,87,103,186,161,79,123,19,918
UCL115080,0,3,0,0,0,0,0,0,0,4,0,7,3,3,0,0,0,3,5,22,12,67,64,59,52,41,24,48,9,377
UCL115081,0,0,3,5,7,9,3,8,0,44,0,0,6,3,3,6,8,3,13,43,28,94,94,132,199,155,152,244,23,1122
UCL115082,3,0,8,3,5,7,6,3,0,30,0,0,0,6,4,3,0,3,0,21,27,65,50,69,101,101,56,67,3,556
UCL115083,0,0,0,3,3,4,0,3,0,12,0,4,0,0,0,3,0,0,0,10,21,57,52,56,106,90,46,65,8,495
UCL115084,0,5,0,3,12,10,8,4,0,48,4,3,4,3,19,11,3,4,5,56,61,166,136,181,379,290,135,167,29,1536
UCL115085,0,3,0,0,3,3,0,3,0,15,6,3,3,0,3,3,0,0,0,19,19,42,36,40,56,33,24,35,3,293
UCL115086,0,0,0,0,4,0,0,4,0,17,0,0,0,3,4,4,0,3,4,20,19,47,36,61,74,61,23,52,8,375
UCL115087,0,5,3,3,11,5,3,4,0,37,0,3,0,0,4,5,0,0,9,19,27,71,62,85,164,124,59,72,22,683
UCL115088,0,3,0,0,0,4,3,4,0,20,0,3,3,3,0,0,0,4,0,18,12,52,63,63,75,121,48,98,3,535
UCL115089,0,4,3,4,7,10,3,10,0,31,3,7,6,5,3,9,5,5,16,40,35,104,93,113,163,139,65,92,16,819
UCL115090,0,0,0,0,0,3,0,3,0,12,0,6,4,3,0,0,3,6,3,30,15,51,43,53,37,89,49,82,19,436
UCL115091,3,9,7,9,3,11,0,5,0,53,0,3,3,5,6,8,5,13,10,46,35,184,130,163,206,185,90,145,15,1152
UCL115092,0,4,4,3,4,6,0,11,0,34,3,5,9,4,7,9,7,0,9,42,34,122,108,113,153,124,87,128,10,884
UCL115093,0,0,3,0,0,0,0,0,0,13,0,0,3,0,0,0,0,3,8,14,14,52,44,61,73,56,24,64,15,396
UCL115094,0,8,3,4,10,7,3,10,0,41,3,3,0,4,4,4,3,0,12,38,43,103,109,130,183,116,68,109,19,870
UCL115095,0,6,4,4,4,8,0,10,0,30,6,0,3,0,0,0,0,0,10,23,33,106,104,145,124,99,43,94,17,768
UCL115096,0,11,4,9,3,13,3,3,0,48,0,5,3,3,4,3,0,3,7,32,36,121,100,119,141,124,74,104,13,826
UCL115097,0,3,4,3,6,7,3,9,0,30,0,9,3,0,7,4,0,3,5,38,15,78,58,90,131,91,51,82,15,601
UCL115098,3,0,0,0,0,9,0,3,0,22,0,3,0,3,0,0,3,3,3,15,18,76,47,50,63,70,33,73,8,441
UCL115099,0,5,3,0,3,3,4,0,0,28,0,0,0,0,5,5,3,3,3,33,22,74,55,66,140,126,70,80,9,644
UCL115100,0,8,3,9,5,3,3,3,0,27,0,3,0,6,0,8,0,0,19,39,34,124,98,136,161,105,54,89,39,843
UCL115101,4,7,3,3,12,12,7,3,0,51,3,8,8,8,6,5,3,3,19,59,62,218,174,236,187,159,72,110,31,1248
UCL115102,0,3,0,0,6,9,0,3,0,27,0,7,0,3,3,9,5,8,3,32,40,86,72,94,179,210,110,147,10,945
UCL115103,0,10,3,3,3,8,0,5,0,46,0,3,5,0,3,0,0,0,8,20,45,188,137,157,149,130,63,140,23,1028
UCL115104,3,7,8,4,9,11,5,10,0,49,5,9,4,8,8,7,3,3,13,64,70,145,131,149,238,267,133,182,35,1358
UCL115105,4,3,9,9,14,19,4,4,6,64,3,3,3,4,8,13,7,3,15,58,33,123,117,151,265,222,123,188,35,1255
UCL115106,0,0,0,3,3,4,4,3,0,24,0,3,7,4,5,6,0,3,9,31,18,81,75,97,131,133,94,173,17,818
UCL115107,0,5,3,0,5,8,7,0,0,31,5,4,4,0,16,9,16,10,17,76,40,115,91,91,206,142,95,159,27,966
UCL115108,5,15,8,7,9,12,3,5,0,77,7,17,10,11,7,11,6,8,28,94,64,297,266,309,297,251,110,181,54,1826
UCL115109,0,3,10,7,9,7,3,4,0,40,3,3,6,0,7,3,0,3,5,35,72,166,167,196,250,209,97,132,14,1307
UCL115110,0,0,4,0,4,4,3,0,0,15,0,4,0,3,0,3,0,0,3,22,11,68,45,64,96,52,26,29,11,400
UCL115111,0,4,8,3,5,0,0,3,0,27,0,3,0,3,0,0,0,0,3,15,25,112,83,87,93,76,44,89,10,622
UCL115112,0,3,10,5,6,8,3,5,3,46,5,9,3,3,17,14,4,14,11,79,80,171,178,179,328,325,163,265,31,1722
UCL115113,0,4,11,12,7,16,5,23,0,70,3,3,4,4,9,13,4,10,5,61,39,90,132,150,217,274,126,287,19,1328
UCL115114,0,4,0,0,5,0,5,4,0,18,0,0,3,3,3,8,0,3,3,22,21,69,75,76,132,101,51,64,21,612
UCL115115,0,12,0,0,18,3,0,10,0,45,0,11,0,7,5,10,3,8,11,48,35,99,98,124,219,163,85,145,20,986
UCL115116,3,9,12,12,13,16,6,18,0,86,3,5,4,9,17,16,12,16,13,89,55,180,162,199,370,352,207,275,24,1827
UCL115117,0,5,3,0,7,5,9,4,0,33,0,3,0,4,3,3,3,3,0,22,14,67,72,65,118,95,73,74,3,585
UCL115118,0,12,3,13,11,12,3,6,0,64,3,10,4,5,12,14,5,9,12,68,44,215,179,251,330,251,132,175,25,1596
UCL115119,0,13,10,6,14,18,8,6,0,83,7,8,6,3,13,10,3,9,10,79,74,253,198,259,450,330,248,350,40,2199
