UCL_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
UCL112003,3,7,50,5,4,46,112,3,12,4,0,0,0,15,7,27,28,9,0,0,75,49,91,48,32,6,0,232,51,20,39,9,5,0,117,134,30,83,10,7,6,266,357,22,131,9,7,3,536,674,19,133,8,3,3,847,201,4,23,0,0,0,230,54,0,14,0,0,0,66,7,0,4,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,7,24,21,21,9,3,7,80,1565,254,577,94,41,59,2596
UCL112004,3,3,26,0,6,29,65,0,0,0,0,0,0,6,10,7,15,3,6,0,37,11,61,23,13,4,0,114,32,23,31,15,0,0,108,65,20,31,6,3,0,123,152,31,45,8,0,3,238,322,14,52,3,3,0,398,235,0,43,0,0,0,282,132,0,22,0,0,0,159,43,0,11,0,0,0,50,29,0,0,0,0,0,29,4,0,5,0,0,0,9,15,0,4,0,0,0,19,15,18,14,0,8,0,57,1071,191,312,55,36,39,1694
UCL112005,3,19,31,6,4,21,82,3,11,3,10,3,0,31,18,159,14,9,0,3,204,70,90,45,3,4,0,216,77,30,38,5,8,3,161,383,44,63,5,14,0,509,717,21,106,0,14,3,864,404,0,40,0,6,0,451,12,0,5,0,0,0,23,3,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,23,15,9,8,3,77,1722,401,379,41,50,34,2620
UCL112006,6,37,52,12,14,40,156,3,24,0,4,0,0,40,12,409,47,31,22,8,532,93,198,69,50,31,7,444,166,90,112,13,23,3,409,552,83,144,20,29,3,832,973,101,283,14,23,11,1407,1370,32,282,6,23,11,1718,445,3,71,5,11,0,531,70,0,9,0,3,0,84,16,0,3,0,0,0,18,3,0,3,0,0,0,11,0,0,0,0,3,0,3,6,0,0,0,0,0,6,67,52,36,25,18,4,198,3791,1037,1107,179,204,76,6393
UCL112007,12,41,28,12,18,21,134,3,26,3,10,3,3,46,69,236,41,19,4,3,376,282,136,72,23,11,8,529,206,53,98,10,12,0,380,519,77,150,3,6,3,757,867,58,218,3,17,3,1166,626,15,96,0,9,3,750,81,0,14,0,3,0,94,12,0,3,0,0,0,16,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,10,33,36,37,7,11,4,133,2723,676,768,79,86,47,4395
UCL112008,6,42,26,3,5,15,98,3,34,3,6,0,0,48,32,193,28,20,17,3,294,156,105,66,39,16,11,383,110,36,70,0,5,0,224,304,49,81,3,7,3,453,574,26,120,3,22,4,741,327,8,55,0,7,3,396,41,0,7,0,0,0,49,3,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29,24,17,10,11,0,87,1575,513,470,92,89,44,2781
UCL112009,3,14,27,3,7,29,79,6,27,0,7,3,0,46,49,179,39,33,13,3,312,184,95,76,61,42,7,468,162,41,89,28,11,0,339,446,30,155,13,13,0,671,697,27,287,4,17,3,1034,385,5,124,0,11,3,534,44,0,16,0,3,0,65,4,0,3,0,0,0,9,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,16,32,26,10,11,3,100,2002,455,857,166,133,50,3666
UCL112010,0,0,0,0,7,0,10,0,0,0,0,0,0,3,10,3,4,0,0,0,19,28,3,19,0,0,3,49,12,4,5,0,0,0,18,8,0,8,0,0,0,19,12,0,4,0,0,0,22,14,0,6,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,85,11,51,3,8,4,168
UCL112011,4,37,36,0,6,26,108,3,41,3,6,3,0,60,15,305,31,13,13,0,383,184,226,59,54,19,5,549,118,86,52,28,18,4,311,271,131,101,25,150,4,678,738,76,180,23,51,8,1087,559,10,86,9,12,3,684,46,3,4,0,0,0,60,5,0,3,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,4,0,0,0,7,28,58,27,12,7,3,139,1979,993,591,173,291,60,4081
UCL112012,5,38,45,3,5,29,128,3,37,4,11,3,0,57,40,265,33,21,0,7,371,237,187,60,17,6,5,515,267,78,81,11,3,3,449,630,68,119,8,8,7,842,965,53,161,5,11,4,1203,787,14,104,3,9,0,922,87,3,16,0,3,0,108,17,3,0,0,0,0,21,4,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,3,35,49,23,11,12,4,140,3086,804,658,96,71,54,4764
UCL112013,7,32,39,3,17,49,140,0,26,4,8,4,3,53,5,302,25,21,36,5,406,56,140,59,37,18,0,319,118,67,68,11,15,3,282,409,56,142,13,17,9,645,827,68,214,16,22,9,1155,1363,18,225,9,22,5,1641,491,0,49,4,0,0,554,142,0,21,0,0,0,164,25,0,6,0,0,0,31,6,0,5,0,0,0,12,5,0,0,0,0,0,9,3,0,3,0,3,0,9,41,37,31,22,10,13,143,3509,752,903,136,167,88,5555
UCL112014,8,37,54,3,13,45,153,4,40,4,3,3,0,57,54,226,43,12,12,7,344,309,189,62,34,9,16,609,259,55,97,7,10,4,431,622,95,149,17,13,4,902,1125,39,246,4,27,8,1451,625,12,97,0,18,0,746,70,0,18,0,4,0,90,7,0,6,0,0,0,13,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,49,52,30,4,7,7,151,3127,740,802,82,116,85,4952
UCL112015,13,65,45,12,9,31,179,7,61,3,19,0,3,92,51,394,59,27,8,11,552,545,220,112,29,17,12,941,293,81,107,4,10,5,501,684,98,203,11,108,3,1108,1423,35,302,4,58,7,1829,761,10,129,3,14,0,913,134,3,24,0,4,0,174,17,0,7,0,6,0,31,6,0,8,0,0,0,11,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,9,60,48,35,15,18,6,174,3998,1007,1036,120,257,88,6510
UCL113001,0,16,6,0,6,25,57,0,14,3,9,3,0,25,6,236,27,22,14,3,319,8,76,13,13,31,0,149,27,46,32,3,23,0,132,111,40,60,3,34,3,250,403,29,115,3,7,3,563,508,18,120,8,4,3,656,229,3,41,0,3,3,278,60,0,12,0,0,0,72,7,0,3,0,0,0,6,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,18,32,18,7,3,0,77,1381,511,458,70,126,38,2587
UCL113002,0,3,15,0,6,12,31,0,4,3,4,0,0,17,8,66,14,10,3,4,107,37,60,39,18,7,0,165,70,18,46,3,7,3,147,215,18,65,3,9,4,314,261,36,89,10,5,0,399,185,3,51,0,4,0,243,15,0,9,0,0,0,20,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,11,6,3,4,0,38,810,232,342,54,43,26,1505
UCL113003,3,10,53,12,46,39,157,3,14,17,4,33,3,72,44,25,81,13,29,5,199,192,35,169,14,27,4,439,118,8,112,0,21,4,262,133,11,87,0,19,3,252,107,11,53,0,9,0,171,33,0,16,0,4,0,53,0,0,3,0,0,0,6,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,18,3,30,4,9,0,59,648,111,615,44,193,62,1682
UCL113004,0,0,6,9,5,3,30,0,0,0,0,0,0,3,4,0,4,4,4,0,19,27,0,11,0,0,0,40,28,0,12,0,0,0,48,81,0,22,0,3,0,113,111,0,24,0,3,0,138,69,0,13,0,0,0,87,15,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,3,0,3,4,0,11,349,8,95,16,25,6,498
UCL113005,3,10,25,6,7,29,83,0,8,4,6,0,0,25,27,93,29,16,10,3,168,129,59,50,69,21,5,325,142,16,49,18,7,3,234,290,21,74,8,7,0,406,414,11,91,4,7,3,528,403,0,83,0,0,3,489,81,0,13,0,0,0,91,5,0,0,0,0,0,8,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,25,17,12,5,3,3,67,1525,244,438,125,67,43,2438
UCL113006,0,14,26,5,4,20,61,0,22,3,12,3,0,42,28,130,32,25,14,5,229,107,50,95,16,13,3,290,117,36,79,3,8,0,248,309,25,148,3,11,5,498,395,22,132,18,19,6,592,139,3,27,4,4,0,183,12,0,6,3,0,0,20,0,0,5,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,8,19,13,7,3,6,50,1110,317,564,91,88,53,2223
UCL113007,0,11,35,4,10,12,84,4,21,3,3,0,0,32,53,85,30,7,12,0,189,276,96,57,22,31,10,488,148,27,56,3,14,0,243,327,31,73,0,18,4,458,324,3,67,0,14,0,412,209,0,26,0,3,0,244,14,3,3,0,0,0,25,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,16,8,3,3,6,62,1384,298,363,44,123,37,2244
UCL113008,0,15,12,3,5,9,43,0,13,5,4,0,0,20,17,77,22,12,4,3,133,78,81,51,37,6,0,250,87,34,36,5,13,0,180,183,54,59,11,6,3,311,178,18,56,3,10,4,271,56,0,9,0,3,0,65,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,9,7,13,5,6,3,5,36,605,299,246,79,51,26,1318
UCL113009,0,0,23,0,6,14,42,0,7,0,0,0,0,8,3,7,5,0,0,0,18,3,13,11,3,0,0,27,4,11,9,0,0,0,24,34,12,18,0,0,0,61,81,14,45,0,3,0,146,225,3,69,0,5,3,312,170,0,32,0,4,0,204,59,0,7,0,0,0,72,18,0,4,0,0,0,24,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,8,3,0,0,24,615,59,239,7,27,19,971
UCL113010,3,8,24,0,0,17,56,0,4,3,0,0,0,11,10,87,17,0,3,0,119,73,52,33,4,8,0,173,49,35,35,4,0,0,116,203,13,63,3,9,4,284,492,8,95,0,12,0,618,286,0,31,0,0,3,324,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,15,0,4,3,57,1134,224,325,16,39,25,1764
UCL113011,4,26,22,0,7,17,73,0,11,3,0,0,0,13,12,141,22,5,7,3,184,87,63,55,9,6,3,225,93,29,43,3,7,0,174,231,33,67,3,8,3,341,247,19,33,0,3,0,314,74,3,5,0,0,0,84,17,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,25,9,7,0,3,54,782,346,265,23,33,28,1478
UCL113012,0,0,24,0,0,13,38,0,3,0,9,3,0,18,7,19,16,13,9,0,70,19,6,26,20,10,3,90,28,4,32,23,12,0,97,81,3,50,4,6,3,147,237,7,89,3,18,3,361,479,0,110,0,3,0,595,134,0,12,0,0,0,150,8,0,9,0,0,0,19,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,14,4,0,3,39,1025,45,392,72,69,23,1616
UCL113013,4,0,23,0,0,14,42,0,3,0,0,0,0,9,9,17,8,3,0,0,41,33,64,23,10,3,3,139,47,30,30,3,6,0,117,110,32,49,3,4,0,190,328,34,58,0,10,3,427,321,15,37,3,3,0,377,49,0,4,0,0,0,61,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,11,0,7,5,42,922,202,251,26,36,23,1455
UCL113014,6,9,14,0,3,15,45,0,24,3,0,0,0,28,48,26,16,5,0,0,94,178,98,31,8,5,4,324,108,28,27,3,3,3,174,279,56,52,12,6,3,410,297,15,40,0,4,0,352,70,4,16,0,0,0,92,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,14,13,3,0,0,50,1030,269,198,37,27,23,1583
UCL113015,3,0,21,0,3,14,40,0,0,0,3,0,0,4,4,54,9,14,4,0,84,20,19,10,7,5,0,63,34,4,22,0,7,0,61,131,5,37,3,61,0,240,272,7,72,0,30,0,377,407,0,57,0,7,0,475,132,0,21,0,3,0,162,34,0,7,0,0,0,46,12,0,7,0,0,0,21,0,0,0,0,0,0,0,3,0,0,0,0,0,7,3,0,0,0,0,0,3,12,3,8,3,5,3,32,1079,96,267,26,127,25,1613
UCL113016,4,25,12,0,4,5,51,0,25,3,0,0,0,22,7,184,4,0,8,3,211,12,113,13,8,7,0,147,40,56,24,3,8,0,128,146,95,42,3,75,4,362,428,32,63,3,4,0,540,283,3,37,0,4,0,330,18,0,3,0,0,0,17,5,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,8,0,3,8,47,953,550,222,17,110,16,1869
UCL113017,0,19,10,0,3,12,46,3,23,0,0,0,0,25,7,110,6,3,3,0,130,79,74,18,3,15,3,198,76,25,8,0,7,0,117,192,18,18,0,54,0,276,347,28,52,0,15,0,446,291,0,24,0,6,0,323,43,0,9,0,3,0,54,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,18,9,0,9,4,55,1056,312,166,12,115,15,1680
UCL113018,0,0,9,0,0,10,25,0,0,3,3,0,0,9,6,0,7,0,3,0,18,15,5,16,7,10,0,57,23,4,22,0,6,0,50,143,9,60,3,37,0,246,296,8,54,0,7,0,367,121,0,12,0,3,0,143,13,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,11,0,5,3,31,632,26,193,17,65,20,953
