UCL_CODE_2016,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
UCL101001,140,25,29,85,11,194,3,133,79,2585,37,3323,43,24,7,40,3,81,3,132,34,673,13,1064,25,38,11,61,4,151,9,549,69,1150,20,2077,10,27,3,31,0,139,8,584,58,683,16,1551,40,173,9,67,4,503,26,1223,155,2781,42,5030,59,269,30,235,30,1593,44,2259,258,2772,50,7595,193,690,42,541,45,3331,61,2742,337,4250,92,12334,409,1106,73,1420,112,6866,110,3430,524,4308,99,18457,1095,1790,126,4019,314,10745,265,3524,619,5621,123,28242,2632,1952,197,7276,557,10708,290,2779,554,4777,124,31849,3388,1504,184,8363,659,10865,299,2111,490,3842,107,31816,5309,1366,213,9646,898,10003,283,1746,427,3397,84,33377,17435,2516,493,21436,2593,18920,647,2866,717,5296,154,73069,18224,1856,482,21359,2602,7190,555,1634,337,2986,101,57322,16778,1165,392,15358,2301,4077,395,1115,218,1932,64,43809,13273,757,276,7763,1753,11192,197,905,351,1172,55,37683,42867,2138,825,34942,4607,13763,676,1961
UCL102001,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,3,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,0,12,0,19,0,0,0,0,0,11,0,3,0,12,0,27,0,3,0,5,0,16,0,6,0,17,0,49,3,8,3,5,0,45,0,12,3,10,0,100,3,11,0,28,3,62,0,18,7,26,0,159,23,12,0,59,4,60,4,15,8,16,0,194,25,7,3,74,4,65,0,9,9,13,0,199,51,12,0,93,13,52,3,12,5,9,3,255,168,13,6,181,33,125,5,14,4,20,0,570,204,14,11,200,54,49,12,12,4,16,0,576,211,14,3,181,38,35,3,11,0,10,0,503,211,4,3,82,20,40,3,0,4,0,0,373,486,11,6,230,39,69,9,10
UCL102002,13,0,0,3,0,4,0,3,4,55,0,80,4,3,5,8,0,7,0,7,0,20,0,54,0,3,0,4,0,9,0,17,3,35,0,67,0,0,0,3,0,8,0,15,3,23,0,51,3,3,0,12,4,13,0,28,3,103,0,172,0,14,0,19,0,42,0,70,7,99,6,257,17,36,0,34,7,108,14,111,17,206,3,555,29,80,6,121,17,320,19,190,19,262,6,1070,60,145,7,385,34,630,30,250,57,383,14,1998,166,166,16,808,75,759,28,229,53,303,8,2598,222,149,18,978,76,815,28,152,36,252,6,2738,417,116,22,1081,106,705,30,113,44,176,7,2820,1119,215,51,2362,233,1094,76,165,57,224,11,5602,1166,127,38,1900,221,430,64,73,18,127,6,4173,980,83,32,1075,124,176,27,42,16,59,7,2621,683,36,15,445,95,327,5,35,17,24,0,1686,1155,69,23,1064,129,324,16,43
UCL102003,3,0,0,0,0,4,0,0,0,10,0,13,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,4,0,3,0,15,0,0,0,0,0,0,0,3,0,0,0,7,0,4,0,0,0,0,0,6,0,20,0,34,0,3,0,7,0,4,0,6,0,15,0,38,3,8,0,4,0,19,0,40,3,35,3,122,4,23,0,22,3,62,3,45,10,57,3,223,12,34,0,94,7,115,3,51,12,79,3,417,37,40,7,139,9,116,3,37,5,58,6,467,52,40,5,196,16,112,6,29,4,43,0,496,62,18,3,164,18,97,4,25,3,38,0,434,176,49,5,366,36,121,17,25,9,38,3,840,175,21,4,281,22,59,7,18,0,15,0,603,137,17,4,153,16,26,6,3,0,9,0,384,86,13,0,47,11,47,3,4,0,3,0,222,160,13,3,159,12,33,9,7
UCL102004,8,0,0,12,0,3,0,3,0,53,0,78,0,0,0,5,0,0,0,3,0,31,0,48,0,0,0,7,0,3,0,13,3,49,0,76,0,0,0,3,0,3,0,11,0,21,0,39,3,5,0,7,0,15,4,29,4,113,0,179,4,10,0,11,0,25,4,69,11,117,5,250,19,27,0,32,5,89,6,128,8,238,8,564,21,68,7,104,15,261,10,184,30,289,4,1003,49,134,5,309,32,544,17,219,35,426,5,1777,148,162,17,709,74,597,38,192,54,367,9,2348,199,141,15,934,80,625,25,133,26,228,3,2426,308,136,22,1088,83,621,38,112,29,212,13,2651,1098,227,48,2311,258,1091,77,184,57,266,4,5630,1235,157,37,2341,257,427,53,108,22,128,3,4766,1055,92,30,1493,192,214,41,41,16,90,3,3270,790,51,11,628,105,345,19,29,20,32,6,2029,1503,118,32,1737,187,468,39,74
UCL102005,11,0,4,5,0,3,0,3,6,70,3,105,3,0,0,3,0,3,0,11,3,19,0,42,8,4,0,0,0,12,0,11,0,44,0,80,0,0,0,0,0,4,0,9,0,26,0,41,4,3,0,7,0,18,0,48,4,163,3,249,5,13,3,19,0,35,6,68,7,137,0,297,15,35,3,32,0,94,7,142,14,248,3,596,12,56,0,92,10,249,4,183,28,316,3,956,44,109,3,285,22,513,8,194,43,415,9,1654,120,142,13,591,49,576,28,171,37,367,6,2089,184,94,12,754,75,633,30,112,27,254,4,2170,296,110,20,920,70,583,37,100,25,203,3,2363,921,187,20,1984,198,1018,51,153,46,266,12,4861,988,109,41,1841,185,419,52,97,24,130,3,3888,821,62,30,1070,134,214,36,55,11,85,0,2523,674,28,19,454,95,311,15,34,25,30,0,1688,1302,79,32,1254,145,345,35,44
UCL111001,0,0,0,0,0,0,0,0,0,9,0,10,0,0,0,0,0,0,0,0,0,3,0,7,0,3,0,0,0,3,0,3,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,0,19,0,32,0,0,0,3,0,15,0,20,0,33,0,74,0,5,0,6,0,24,0,21,3,40,0,107,5,14,0,19,4,60,0,38,3,49,0,194,19,21,0,78,3,114,4,35,0,40,3,315,42,19,0,172,16,99,6,30,5,47,0,434,45,10,0,184,11,96,9,17,4,23,0,397,62,16,0,165,18,70,8,20,3,13,0,383,186,36,12,351,36,93,18,22,4,14,3,771,190,20,3,240,33,48,9,8,3,12,0,561,127,14,3,170,18,16,6,4,0,3,0,360,92,3,3,50,10,24,3,4,0,0,0,187,114,6,9,111,12,32,3,0
UCL111002,3,0,0,0,0,3,0,3,0,16,0,24,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,5,0,9,0,17,0,0,0,3,0,0,0,4,0,4,0,18,0,0,0,0,0,3,0,14,0,31,0,49,0,9,0,8,0,5,3,28,0,30,0,83,3,8,0,14,0,17,3,40,5,75,0,163,3,13,0,22,0,91,4,49,9,83,0,282,14,24,3,91,14,197,9,62,13,104,3,523,46,49,3,238,28,251,4,47,10,90,0,769,78,35,5,293,23,224,6,30,11,44,3,756,92,39,6,299,23,218,3,31,10,34,3,756,337,46,7,607,76,337,16,40,17,55,6,1554,355,22,8,585,61,116,18,17,5,25,0,1204,272,16,6,283,47,49,3,8,4,14,0,707,229,8,0,113,19,87,3,6,5,8,0,470,369,16,12,304,42,91,3,10
UCL112001,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,15,0,20,0,0,0,0,0,3,0,3,0,17,0,31,0,0,0,0,0,11,0,9,0,27,0,50,3,8,0,10,0,22,0,13,0,17,0,77,6,8,0,25,0,46,0,20,3,18,0,127,18,12,0,42,4,34,3,4,0,20,0,139,22,8,0,65,4,30,3,13,0,6,0,153,17,9,3,53,6,28,4,6,0,3,0,120,66,10,0,95,12,39,5,9,0,9,0,242,54,7,0,57,6,13,5,3,0,3,0,147,39,3,3,49,8,4,0,4,0,3,0,109,46,0,0,19,0,13,0,0,0,0,0,77,63,8,0,32,3,13,0,0
UCL112002,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,3,8,0,23,0,0,0,0,0,4,0,4,0,19,0,30,5,6,0,3,0,11,0,12,7,27,0,60,3,4,0,19,0,35,0,26,4,29,0,120,14,11,0,49,0,60,0,22,3,43,3,200,35,16,0,101,10,75,0,10,9,21,0,276,47,9,3,88,14,65,3,6,0,12,0,255,50,8,3,100,14,61,8,3,4,13,0,254,137,24,4,235,32,92,5,11,3,8,0,549,160,14,4,189,28,38,3,9,4,3,0,449,147,6,0,122,16,7,3,3,0,3,0,318,85,3,0,42,12,22,3,3,0,0,0,173,127,3,0,73,12,24,0,0
