UCL_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
UCL115154,10,8,6,3,0,0,31,0,0,3,6,6,3,0,0,20,17,28,31,28,28,8,0,0,143,16,29,30,39,23,15,4,0,155,47,72,74,74,65,24,8,3,372,7,6,6,4,0,3,0,0,26,3,4,3,9,9,4,0,0,39,58,77,83,89,79,35,8,3,433,0,4,3,3,0,0,0,0,13,14,17,13,30,29,9,3,12,127,104,158,179,205,172,78,13,16,919
UCL115155,10,6,3,3,0,0,26,0,0,8,0,6,3,0,0,19,4,32,45,22,12,9,0,0,118,13,28,18,45,13,12,0,0,121,30,57,63,44,26,16,8,0,248,3,0,0,4,0,0,0,0,14,0,3,7,6,8,0,0,0,22,33,60,73,55,37,22,8,0,286,0,0,0,0,3,0,0,0,9,10,3,9,3,14,0,0,0,42,54,143,161,128,78,40,11,3,617
UCL115156,10,6,11,6,0,0,36,0,4,6,10,10,11,0,0,42,5,33,33,43,52,31,9,8,211,12,37,35,46,49,32,20,0,224,63,147,115,140,141,70,34,7,720,16,21,4,14,16,3,0,0,67,11,15,8,17,16,15,13,5,99,86,186,129,168,176,80,45,14,884,0,0,0,3,5,3,0,0,16,46,27,39,57,60,78,79,36,425,149,288,241,330,365,241,160,58,1839
UCL115157,10,13,16,11,0,0,52,0,0,3,11,15,6,3,0,42,4,37,62,42,38,19,11,3,214,8,24,31,53,42,21,9,0,188,24,60,63,78,66,43,14,4,349,3,0,7,3,0,7,0,0,22,5,4,8,15,16,6,7,0,57,33,70,67,94,77,55,20,4,424,0,0,0,0,3,3,3,0,15,9,9,13,13,20,12,17,5,100,53,146,192,232,211,122,60,14,1028
UCL115158,8,11,12,6,3,3,53,0,3,4,15,12,10,6,3,57,16,93,83,59,89,39,23,7,399,16,68,51,62,70,44,26,7,337,49,116,88,104,125,79,43,22,625,13,14,9,10,9,5,0,0,58,8,6,9,17,23,20,9,3,92,65,128,108,129,160,102,51,28,774,6,8,0,8,6,12,0,3,37,53,90,45,53,93,95,101,33,554,148,408,296,335,437,305,206,75,2209
UCL115159,3,0,5,0,0,0,14,0,0,3,3,6,0,0,0,11,3,24,17,14,11,3,0,3,71,5,11,28,28,18,7,3,3,107,26,59,62,70,54,30,14,0,315,5,0,0,0,3,0,0,0,14,3,3,3,8,8,3,3,0,30,32,61,71,75,62,36,16,0,364,0,0,0,0,3,0,0,0,3,10,15,8,18,14,21,10,4,98,52,121,125,136,119,68,30,10,663
UCL115160,0,0,0,3,3,0,10,0,0,3,3,0,0,0,0,6,3,14,9,12,16,8,3,0,65,0,7,20,9,10,10,4,0,74,24,29,39,47,44,30,14,0,231,0,3,0,0,3,4,0,0,10,0,0,3,4,3,3,0,0,14,24,32,49,52,45,37,17,0,254,0,0,0,0,0,0,4,0,9,9,0,3,9,18,26,15,7,85,43,64,86,87,91,89,40,9,506
UCL115161,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,10,18,8,7,0,0,0,47,0,9,9,7,6,0,3,0,43,16,44,46,34,22,10,4,0,174,4,3,3,0,0,0,0,0,11,0,0,0,10,8,0,0,0,17,25,49,46,41,32,15,3,0,203,0,0,0,0,0,0,0,0,0,11,5,16,15,12,19,12,9,95,34,73,86,78,63,37,19,9,395
UCL121001,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,4,9,5,9,4,0,0,34,3,7,6,4,10,4,5,0,41,13,32,30,24,31,18,6,0,149,0,7,3,0,3,0,3,0,16,0,3,4,0,0,0,0,0,15,12,39,38,32,31,23,9,0,183,0,0,0,0,0,0,0,0,0,9,6,5,12,17,13,17,4,83,20,50,60,55,67,51,27,7,339
UCL121002,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,11,5,7,0,3,0,0,27,0,7,3,3,4,0,0,0,21,5,19,11,15,14,13,11,3,88,0,4,3,0,0,0,0,0,9,0,0,3,0,0,0,0,0,8,4,22,20,19,14,13,11,6,109,0,0,0,0,0,0,0,0,0,3,8,3,4,9,14,10,10,67,12,45,27,34,37,36,25,9,224
UCL121003,3,3,8,6,4,0,25,0,0,3,5,8,4,0,0,20,0,10,8,13,23,17,8,0,76,0,7,0,13,12,16,5,0,56,4,12,16,16,44,34,11,0,138,0,0,3,0,3,0,0,0,6,3,0,3,3,4,4,0,0,18,10,16,21,22,53,37,12,0,165,0,0,0,3,0,0,0,0,3,0,7,3,5,10,9,5,0,42,11,42,37,63,107,94,28,0,389
UCL121004,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,6,0,3,9,10,6,3,0,0,41,0,0,5,6,6,9,0,0,34,10,12,17,26,24,18,0,3,108,0,3,0,3,4,0,0,0,11,0,0,0,3,3,0,0,0,10,14,13,23,30,30,19,0,3,131,0,0,0,0,0,0,0,0,0,9,3,3,4,12,7,3,0,43,23,24,47,56,59,43,6,4,260
UCL121005,0,7,3,0,0,0,14,0,0,0,0,4,0,0,0,5,0,3,6,13,10,5,0,0,35,3,5,8,8,17,3,0,0,44,11,28,22,16,29,14,3,0,128,0,4,0,3,0,0,0,0,3,0,0,0,7,4,6,0,0,18,11,30,27,25,32,18,3,0,149,0,0,0,0,0,0,0,0,4,5,4,3,4,5,14,0,0,36,24,41,50,63,70,41,3,5,294
UCL121006,0,0,3,5,0,0,9,0,0,0,0,4,0,0,0,3,0,7,5,9,13,3,0,0,43,0,3,8,12,9,10,6,0,47,10,19,16,31,41,17,9,3,149,3,4,0,0,0,0,0,0,7,0,3,0,3,3,6,0,0,16,13,27,18,29,43,26,13,5,179,0,3,0,0,0,0,3,0,8,3,3,4,3,8,9,6,4,39,20,43,35,63,80,55,28,10,333
UCL121007,6,7,4,3,0,0,21,0,0,0,5,4,3,0,0,13,0,10,9,9,17,3,0,0,55,0,12,11,15,13,7,3,0,62,9,33,44,39,35,24,9,0,199,3,3,3,6,3,3,0,0,18,0,4,3,4,6,0,0,3,22,17,40,51,52,49,26,9,3,240,0,0,0,0,0,0,0,0,3,11,13,6,3,8,8,9,3,75,29,74,83,95,96,52,22,11,464
UCL121008,0,0,0,0,0,0,3,0,3,0,0,4,0,0,0,5,0,13,5,4,11,4,3,0,42,0,9,3,4,8,12,3,0,44,15,15,33,38,23,18,13,0,149,0,0,0,3,4,0,0,0,9,0,0,0,3,3,0,3,0,13,18,17,32,43,27,25,11,3,180,0,0,0,0,0,5,0,0,5,10,3,14,18,17,38,17,26,153,34,41,60,71,69,74,37,36,429
UCL121009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,0,0,15,0,4,4,7,3,5,0,0,17,4,4,7,13,13,4,0,0,47,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,4,7,7,13,11,4,0,0,52,0,0,0,0,0,0,0,0,4,33,14,16,15,13,4,3,0,93,42,35,26,31,32,17,6,0,184
UCL121010,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,6,12,3,0,0,4,0,28,0,3,7,9,3,3,0,0,26,19,19,37,36,8,10,4,0,134,5,4,3,0,0,0,0,0,11,0,0,3,0,0,0,0,0,6,21,24,39,36,10,12,9,0,154,0,0,0,0,0,0,0,0,3,26,9,17,17,17,14,15,5,120,54,40,71,58,33,35,28,7,332
UCL121011,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,4,0,3,10,3,7,3,0,0,29,0,7,6,7,7,5,0,0,43,12,20,28,27,17,9,5,0,127,3,3,3,0,0,0,0,0,11,0,3,3,8,3,0,0,0,16,12,23,37,38,24,10,5,0,157,0,0,0,0,0,0,0,0,0,19,13,11,11,10,12,18,0,92,34,50,58,70,53,39,26,4,330
UCL121012,3,8,5,3,0,0,21,0,0,0,4,3,0,0,0,11,6,14,17,16,27,8,0,0,85,0,10,8,23,20,3,0,0,73,12,18,19,45,39,10,6,0,150,5,5,0,0,3,0,0,0,14,7,4,0,11,9,0,0,0,26,24,21,22,53,53,17,9,0,189,0,0,0,3,0,0,0,0,9,13,4,3,7,12,7,3,0,55,37,47,58,116,125,37,12,3,437
UCL121013,6,0,0,0,0,0,5,0,4,0,0,0,0,0,0,4,4,16,7,4,6,0,0,0,41,0,3,8,12,6,0,0,0,34,15,15,9,17,10,0,0,0,63,6,7,4,0,0,0,0,0,17,0,0,0,0,3,0,0,0,8,19,22,11,17,10,3,0,3,87,0,0,0,0,0,0,0,0,0,38,32,15,23,22,7,3,3,144,71,84,46,61,41,15,3,4,320
UCL121014,8,11,9,5,0,0,42,0,0,0,3,3,3,0,0,10,3,12,19,23,18,12,6,0,101,0,3,14,18,15,6,3,3,61,17,13,15,30,24,15,3,4,113,0,0,0,0,0,5,3,0,7,0,0,0,0,11,8,0,0,17,18,13,20,30,36,16,8,4,132,0,0,0,0,0,0,0,0,0,7,8,5,9,15,9,3,3,58,30,40,67,95,93,56,22,10,411
UCL121015,0,0,3,3,0,0,12,0,0,6,3,4,0,0,0,6,0,5,7,6,11,3,0,0,35,0,3,3,14,14,3,0,0,36,12,14,11,23,26,8,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,12,17,10,23,24,6,0,0,96,0,0,0,0,0,0,0,0,0,6,3,0,13,11,5,3,3,49,16,27,34,62,65,22,8,3,229
UCL121016,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,7,3,7,4,7,5,3,0,0,34,0,12,18,8,12,3,3,0,61,13,36,32,36,15,13,6,0,159,3,0,0,0,3,0,0,0,10,0,3,3,0,3,0,0,0,9,16,37,36,36,26,13,6,0,173,0,0,0,0,0,0,0,0,0,16,10,9,13,15,18,7,8,87,39,73,67,68,58,45,17,5,369
UCL121017,3,12,7,8,0,0,31,0,0,3,7,4,3,0,0,18,0,12,24,21,18,11,3,0,92,0,6,11,13,15,15,3,0,61,11,13,16,19,27,11,8,0,94,0,0,0,0,0,0,0,0,3,0,0,4,3,5,8,0,0,22,7,13,16,20,34,14,8,0,113,0,0,0,0,0,0,0,0,3,10,3,3,5,5,0,0,0,33,19,40,55,90,78,54,16,0,356
UCL121018,8,11,6,3,0,0,23,0,0,0,3,3,0,0,0,11,0,10,22,23,14,3,0,0,76,3,0,6,16,16,3,0,0,46,3,10,7,22,18,6,0,0,62,0,0,0,0,0,0,0,0,4,0,0,0,4,3,0,0,0,10,4,10,9,26,20,5,3,0,77,0,0,0,0,0,0,0,0,4,3,4,5,7,0,0,5,0,24,13,22,45,86,58,21,12,0,260
UCL121019,0,4,3,0,0,0,9,0,0,0,0,0,0,0,0,6,3,15,15,14,4,0,0,0,46,0,7,3,4,4,4,4,3,30,13,20,16,12,16,12,4,0,93,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,9,13,21,19,14,18,7,6,0,106,0,0,0,0,0,0,0,0,0,5,3,3,11,7,4,13,0,55,21,46,43,54,39,26,18,3,260
UCL121020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,11,3,9,0,3,47,0,6,0,6,6,10,0,0,36,12,18,25,22,26,21,3,0,124,3,0,0,3,0,0,0,0,9,0,0,0,3,0,3,3,0,15,22,19,24,27,28,22,9,0,141,0,0,0,0,5,0,0,0,5,13,10,7,18,19,23,17,3,112,35,42,45,66,65,60,29,8,350
UCL121021,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,5,5,3,0,20,0,0,0,3,6,3,3,0,21,0,5,14,20,30,28,10,0,108,0,0,0,0,0,0,0,0,6,0,0,0,0,6,12,0,0,22,0,4,21,25,38,39,8,3,135,0,0,0,0,0,0,0,0,4,5,3,11,12,25,18,9,0,85,4,10,29,39,80,71,25,4,265
UCL121022,3,0,0,0,0,0,4,0,0,0,3,7,0,0,0,11,0,4,6,8,4,7,0,0,37,3,8,22,11,13,10,3,0,65,11,14,31,41,33,21,7,3,163,5,0,0,5,0,3,3,0,16,3,6,3,4,5,8,0,3,29,24,19,38,44,42,25,14,6,206,0,0,0,0,0,0,0,0,0,21,20,9,19,25,21,18,4,136,45,48,74,87,89,66,32,11,461
UCL121023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,12,0,3,5,3,9,3,0,0,27,10,20,26,19,12,9,0,3,110,0,0,3,0,0,0,0,0,4,0,0,3,0,8,0,0,0,9,11,23,34,24,21,9,0,4,123,0,0,0,0,0,0,0,0,0,4,3,10,6,5,8,6,3,41,23,34,54,31,43,26,4,6,209
UCL121024,6,8,5,3,0,0,30,0,0,6,4,0,0,0,0,10,0,16,16,23,8,0,3,0,75,0,8,16,11,5,3,3,0,46,7,22,23,27,18,13,0,0,108,0,0,0,0,4,0,0,0,7,5,0,0,0,0,8,4,0,15,13,22,22,25,20,21,3,0,123,0,0,0,0,0,3,4,0,10,4,0,0,10,9,3,3,3,32,21,48,67,85,51,36,15,3,327
UCL121025,3,3,10,0,0,0,21,0,3,0,0,7,3,0,0,17,3,15,14,13,28,16,3,3,96,0,14,13,19,36,12,0,0,92,3,21,22,27,54,20,11,0,162,3,0,0,3,3,4,0,0,11,4,0,0,0,3,4,0,0,22,9,21,26,32,58,25,11,0,190,0,0,3,0,0,0,0,0,8,6,4,7,7,26,16,9,6,83,28,61,64,73,172,76,22,16,501
UCL121026,0,3,3,3,0,0,8,0,0,0,4,0,0,0,0,5,0,5,17,11,9,10,3,0,51,3,3,8,9,12,0,3,0,34,6,19,28,29,28,0,3,0,119,0,0,0,0,3,0,0,0,9,0,0,0,0,3,0,0,0,7,6,22,25,29,32,4,3,0,127,0,0,0,0,0,0,0,0,0,3,0,4,3,3,3,0,0,19,16,32,56,59,61,17,5,7,247
UCL121027,8,4,3,7,0,0,23,0,3,0,10,9,0,0,0,18,0,16,45,26,20,7,6,0,121,3,4,20,26,14,4,5,0,73,11,23,44,33,28,15,4,0,157,0,3,0,3,0,0,0,0,6,0,0,3,7,9,4,0,0,22,9,26,45,43,30,18,3,0,188,0,0,0,3,0,0,0,0,9,7,11,11,11,9,3,0,0,44,17,61,123,120,87,41,18,0,476
UCL121028,0,3,0,4,0,0,17,0,0,0,0,4,0,0,0,6,3,5,10,12,17,10,0,0,58,0,4,3,10,10,7,3,0,41,9,12,12,26,36,31,7,0,133,0,0,0,0,0,3,0,0,9,0,0,7,0,6,5,0,0,22,10,15,22,24,46,34,7,0,166,0,0,0,0,0,0,0,0,4,4,3,5,5,8,21,6,3,59,16,35,40,60,87,80,19,4,345
UCL121029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,4,0,0,0,10,3,3,6,4,3,0,0,0,24,20,27,15,14,15,4,4,0,93,3,3,0,0,0,0,0,0,11,0,0,0,5,0,0,0,0,8,18,30,17,16,16,9,4,0,111,0,0,0,0,0,0,0,0,0,10,4,7,6,8,10,4,0,51,36,46,31,28,38,17,10,0,200
UCL121030,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,5,0,3,3,3,3,0,0,0,17,0,0,3,3,5,3,3,0,12,8,5,4,12,17,4,3,0,62,0,0,0,7,0,0,0,0,3,0,0,0,4,4,0,0,0,6,6,8,4,23,23,6,3,0,74,0,0,0,0,0,0,0,0,0,14,27,14,15,11,7,3,4,85,24,42,24,41,37,20,9,4,202
UCL121031,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,3,3,7,9,9,4,3,0,0,39,0,4,14,6,3,3,3,0,36,19,26,28,25,13,6,6,0,129,3,4,3,0,3,0,0,0,10,0,0,7,3,3,0,0,0,13,25,29,32,28,18,9,9,0,155,0,0,0,0,0,0,0,0,0,19,7,14,16,14,22,11,0,103,46,55,63,54,41,39,28,0,336
UCL121032,0,5,5,7,0,0,15,0,0,3,0,8,4,0,0,17,0,8,12,16,28,12,0,0,77,3,8,11,13,42,9,3,0,96,12,15,26,42,47,33,6,3,178,3,0,4,0,3,0,0,0,9,0,0,3,8,9,3,0,0,26,16,21,34,48,60,34,8,3,218,0,0,0,0,3,0,3,0,7,9,3,5,6,19,13,8,3,66,29,38,69,85,156,93,17,7,497
UCL121033,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,6,0,4,3,7,5,7,4,0,32,0,4,0,3,7,7,3,3,29,7,10,9,18,17,12,10,3,94,3,0,0,5,0,3,0,0,12,3,0,3,3,3,4,0,0,13,17,8,17,23,26,21,9,3,124,0,0,0,0,0,0,0,0,0,15,3,8,10,7,17,24,9,96,31,26,24,48,52,53,41,18,292
UCL121034,3,5,6,4,0,0,25,0,0,3,0,0,3,0,0,11,7,13,33,20,23,4,3,0,99,0,15,10,16,15,3,0,0,54,10,22,18,27,9,11,3,0,106,0,0,3,0,3,0,0,0,6,0,0,0,0,3,0,0,0,5,11,18,23,31,14,12,3,0,121,0,0,0,0,0,0,0,0,3,3,3,6,3,14,3,0,0,36,24,48,79,82,76,32,11,5,354
UCL121035,3,3,3,0,0,0,4,0,3,3,3,3,0,0,0,12,0,0,6,7,9,4,0,0,28,3,14,8,20,13,0,0,0,61,19,33,30,39,37,10,3,0,181,0,3,0,3,0,0,0,0,7,0,3,5,7,0,4,0,0,24,23,43,34,50,37,13,3,0,216,0,0,0,4,0,0,0,0,4,14,15,11,7,16,3,4,0,70,35,74,73,95,77,28,9,3,390
UCL121036,3,3,0,0,0,0,11,0,0,4,0,4,4,0,0,12,0,4,25,29,28,8,0,0,95,3,0,12,19,13,17,3,0,73,5,18,28,44,35,31,11,0,179,0,0,0,5,3,0,0,0,14,5,0,7,0,7,3,0,0,24,10,19,32,55,46,34,11,0,212,0,0,0,0,0,0,0,0,3,3,4,11,9,11,7,4,0,52,24,30,85,115,103,71,20,0,455
UCL121037,3,8,4,3,0,0,22,0,0,3,3,9,9,0,0,19,0,7,19,10,13,4,3,0,59,5,7,11,11,10,8,3,0,49,16,22,32,29,30,29,5,0,166,0,0,0,0,3,0,0,0,8,0,0,0,3,3,10,0,0,9,18,22,30,32,39,36,5,5,188,0,0,0,0,0,0,0,0,3,7,3,5,11,4,15,3,0,59,24,45,74,81,79,76,19,6,397
UCL121038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,3,3,0,20,0,7,0,3,4,3,4,0,21,7,14,19,19,15,10,9,0,93,3,0,0,0,0,3,0,0,5,4,0,4,3,3,0,0,0,14,11,16,23,21,22,15,9,0,113,0,0,0,0,0,0,0,0,0,4,3,6,7,7,12,14,3,54,17,30,29,35,41,31,25,0,216
UCL121039,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,4,8,0,4,0,0,0,21,0,3,3,0,0,0,0,0,11,9,14,6,8,12,10,0,0,60,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,14,11,7,9,10,10,0,0,65,0,0,0,0,3,0,0,0,3,11,11,17,5,22,8,8,0,94,26,34,45,17,44,17,6,3,193
UCL121040,3,9,3,4,0,0,18,0,0,0,3,3,0,0,0,9,0,18,15,17,26,14,0,0,87,3,4,9,11,16,4,3,0,49,0,12,13,20,16,8,3,0,73,0,0,0,0,0,0,0,0,4,0,3,0,4,0,3,0,0,13,3,11,15,24,15,13,3,0,86,0,0,0,0,0,0,0,0,6,8,5,18,21,17,11,0,0,85,20,42,62,86,69,50,8,0,345
UCL121041,0,7,3,3,0,0,11,0,0,0,0,0,3,0,0,5,0,7,21,25,9,0,0,0,62,0,3,7,13,6,5,0,0,39,5,13,20,24,22,10,0,0,87,0,0,0,0,3,0,0,0,6,0,0,3,4,3,0,0,0,11,5,14,21,28,28,11,0,0,105,0,0,0,0,0,0,0,0,0,7,4,6,8,4,4,0,0,37,12,28,62,80,51,32,0,0,259
UCL121042,0,0,0,0,0,0,4,0,0,3,3,0,0,0,0,5,0,15,10,4,0,3,3,0,34,0,4,5,3,0,3,3,0,25,8,14,14,16,20,9,10,0,83,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,5,13,14,17,23,13,10,0,97,0,0,0,0,0,0,0,0,4,5,4,3,12,12,17,14,0,65,18,33,30,41,39,34,27,3,232
UCL121043,0,4,5,6,0,0,32,0,4,3,0,6,4,0,0,19,7,16,16,20,15,16,8,4,108,0,3,9,10,14,14,8,0,63,10,4,11,20,11,13,12,0,69,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,6,8,4,11,23,14,16,9,0,81,0,0,3,0,0,0,0,0,3,12,7,7,8,9,18,15,4,80,34,49,43,63,66,75,41,12,381
UCL121044,0,5,4,3,0,0,21,0,0,0,0,3,0,0,0,10,3,20,24,12,15,4,3,0,75,0,11,12,9,8,3,0,0,51,3,13,31,36,14,9,4,0,106,0,0,4,3,0,0,0,0,8,0,0,0,3,6,0,0,0,11,3,17,33,35,15,16,4,0,129,0,0,0,0,0,0,0,0,3,11,0,4,9,14,9,7,0,52,19,58,79,78,64,30,12,3,341
UCL121045,4,0,0,3,0,0,12,0,0,4,0,3,3,0,0,10,0,4,10,7,7,4,3,0,46,0,0,7,6,14,7,7,0,40,13,10,19,28,24,14,7,3,113,0,0,0,0,0,0,0,0,7,0,0,0,5,0,3,0,0,13,9,13,20,33,27,16,7,3,128,0,0,0,0,0,0,0,0,4,3,7,0,0,11,8,4,0,37,17,27,45,48,60,52,20,6,273
UCL121046,5,3,0,3,0,0,13,0,3,5,3,5,3,0,0,14,0,10,11,8,6,4,4,0,47,0,6,7,3,6,3,3,0,35,5,18,18,27,12,4,0,0,91,3,0,0,4,0,3,0,0,12,0,0,3,0,0,0,0,0,8,9,18,23,35,14,7,0,0,109,0,3,0,0,0,0,0,0,3,10,3,10,3,7,6,4,0,45,21,45,58,49,39,35,9,3,260
UCL121047,3,0,10,6,0,0,24,0,0,0,0,8,12,0,0,22,0,6,23,18,25,26,12,8,114,3,7,9,13,24,32,19,3,105,4,8,23,29,29,42,25,6,163,0,3,0,0,0,3,0,0,10,0,0,3,3,8,11,3,0,37,7,12,24,32,43,63,30,6,208,0,0,0,0,0,3,3,0,8,3,0,4,5,14,33,14,8,75,20,29,62,68,106,171,74,23,548
UCL121048,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,10,0,7,12,3,4,0,0,0,36,3,10,4,5,3,0,0,0,33,15,29,26,17,14,10,0,0,112,4,0,0,0,0,0,0,0,13,0,0,0,3,0,0,0,0,5,17,32,24,26,22,10,0,0,129,0,0,0,0,0,0,0,0,4,4,12,3,8,9,0,3,0,38,33,61,53,41,37,13,4,0,246
UCL121049,0,4,6,0,0,0,11,0,0,3,0,3,0,0,0,7,0,6,3,3,6,9,3,0,36,0,3,0,3,10,22,4,0,38,3,7,6,13,21,34,22,7,114,0,0,0,0,3,0,0,0,5,0,0,3,0,7,4,10,0,20,7,8,13,15,28,37,27,7,142,0,0,0,0,0,0,0,0,3,7,0,3,5,13,22,24,11,82,9,23,22,32,71,88,62,17,318
UCL121050,3,0,8,14,3,0,23,0,3,0,4,10,3,0,0,24,3,11,10,10,30,30,12,4,109,0,6,6,22,9,22,10,3,86,7,23,26,42,53,43,27,16,241,4,3,7,4,0,3,0,0,13,0,6,3,10,6,11,4,3,33,15,28,31,52,62,60,34,15,290,0,0,0,0,4,0,6,0,8,14,7,9,11,12,30,24,15,127,34,41,64,102,133,155,88,42,663
UCL121051,3,3,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,3,12,4,7,10,4,0,33,3,6,5,11,16,8,5,0,52,9,30,9,20,16,21,7,0,128,3,0,0,0,3,0,0,0,10,0,0,4,0,0,7,0,0,20,13,31,17,22,23,27,13,3,152,0,0,0,0,3,0,0,0,3,7,0,6,5,16,17,11,11,81,26,41,46,48,63,66,29,15,339
UCL121052,4,0,4,3,0,0,18,0,5,0,3,11,6,0,0,21,0,23,13,4,24,8,3,0,78,0,6,12,13,23,10,10,0,73,14,13,18,16,39,27,8,0,135,0,0,0,3,0,0,0,0,10,0,0,0,4,3,3,0,0,16,15,12,17,24,46,36,11,0,158,0,0,0,0,0,0,0,0,8,10,8,7,8,17,18,12,10,91,30,52,55,47,128,80,28,20,440
UCL121053,3,14,12,4,0,0,37,0,3,3,6,4,7,0,0,27,12,13,29,23,30,9,12,0,131,4,12,10,17,21,20,8,0,101,19,21,20,37,46,19,5,0,170,0,0,0,3,3,3,0,0,9,3,0,0,5,4,7,11,0,29,17,22,20,47,51,29,13,0,210,0,0,0,0,0,5,0,0,12,8,7,9,16,15,15,6,3,75,39,67,74,126,133,82,51,8,576
UCL121054,0,3,0,0,0,0,6,0,3,0,0,0,0,0,0,7,3,16,11,0,4,4,0,0,37,0,13,7,3,6,5,3,0,37,10,13,26,17,20,11,4,3,112,0,0,0,0,0,3,0,0,7,0,6,0,5,4,0,0,0,15,13,20,23,26,27,14,4,3,132,0,0,0,0,0,0,0,0,3,12,14,15,21,15,24,18,6,107,21,65,61,53,54,52,19,10,329
