UCL_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
UCL112003,276,383,439,302,90,19,1666,0,45,121,168,262,145,26,3,777,126,484,879,883,887,622,219,43,4134,148,283,433,581,670,458,187,47,2809,350,645,684,819,720,463,180,63,3926,48,49,44,42,36,43,9,3,274,28,43,77,102,158,162,58,29,650,423,726,797,968,918,670,245,88,4846,16,15,28,24,60,62,34,12,250,214,170,242,276,435,460,308,150,2250,949,1874,2778,3290,3668,2713,1102,365,16737
UCL112004,174,181,213,213,101,14,963,6,22,58,85,113,102,37,4,430,60,317,479,507,498,542,280,71,2753,59,151,284,354,390,443,249,83,2001,193,387,433,518,452,413,278,68,2748,22,24,30,37,38,27,12,3,203,16,26,49,82,115,155,90,25,567,241,433,511,634,609,600,385,98,3510,3,10,9,21,39,51,32,21,183,189,114,155,255,251,362,313,133,1773,557,1112,1671,2036,2108,2305,1389,425,11610
UCL112005,23,25,24,16,4,0,127,0,27,16,17,30,12,4,0,109,51,189,183,105,140,91,41,7,807,50,179,218,209,168,110,45,8,996,391,834,751,709,589,360,139,30,3795,94,100,52,42,28,16,3,0,343,33,48,45,68,67,60,19,5,353,521,985,850,819,680,426,164,43,4490,9,7,11,13,24,14,8,4,97,372,542,407,321,276,296,238,152,2604,1001,1962,1709,1512,1347,973,504,220,9236
UCL112006,176,184,171,119,38,16,831,5,74,111,121,170,83,30,3,593,189,921,1002,733,795,459,169,52,4316,136,487,631,762,747,526,220,52,3562,711,1343,1260,1461,1328,897,436,158,7583,187,126,104,101,121,64,15,0,725,63,96,139,177,225,195,95,32,1024,969,1566,1504,1738,1670,1157,543,188,9331,17,28,30,56,52,66,40,12,302,478,441,388,553,660,655,690,611,4469,1797,3641,3833,4145,4264,3060,1723,935,23401
UCL112007,181,116,87,27,8,4,647,10,93,104,81,107,31,3,0,427,183,1010,696,443,379,182,69,32,2988,118,433,398,390,358,169,81,23,1965,702,1378,1031,975,730,382,183,54,5432,105,91,61,82,49,23,5,0,434,56,71,79,113,136,84,41,14,573,860,1541,1170,1169,915,489,229,66,6441,7,33,18,33,41,32,26,10,196,418,454,354,370,374,379,359,185,2903,1598,3778,2911,2599,2262,1312,774,314,15558
UCL112008,72,64,87,40,6,3,348,8,37,41,39,89,26,4,4,244,62,339,268,233,239,152,63,18,1376,87,284,285,293,295,174,84,22,1527,380,799,658,675,506,332,157,54,3560,72,57,40,56,34,18,0,3,274,42,44,73,87,78,64,21,12,429,488,901,762,817,617,420,185,71,4262,4,14,4,17,32,25,19,10,125,315,418,379,326,281,356,320,257,2654,965,2067,1822,1787,1635,1185,680,386,10542
UCL112009,117,93,136,76,13,5,539,9,39,83,84,103,63,13,7,392,124,582,630,497,502,223,92,31,2677,84,227,303,356,360,207,71,28,1638,495,920,766,796,680,410,180,68,4318,127,94,59,74,53,18,6,0,433,42,70,61,103,127,92,39,19,555,668,1081,885,982,859,525,223,88,5305,3,15,17,19,39,35,26,11,176,387,321,242,319,413,337,277,223,2530,1286,2354,2287,2345,2407,1460,721,390,13266
UCL112010,7,9,0,4,0,0,29,0,0,7,6,6,0,3,0,28,8,38,48,23,21,16,3,3,154,4,31,40,36,43,16,8,0,168,33,100,70,68,50,31,7,0,364,5,9,3,6,7,0,0,0,25,6,4,4,7,4,0,5,0,27,43,110,78,79,64,33,11,0,422,0,0,0,0,0,5,0,0,10,31,23,13,29,25,30,17,3,169,90,211,192,177,154,98,40,9,976
UCL112011,98,66,73,46,9,0,385,9,64,68,55,68,53,14,3,327,91,455,391,252,297,185,83,21,1775,98,328,406,431,392,251,125,29,2064,567,1216,849,908,763,553,282,86,5221,121,101,70,54,45,28,5,0,425,51,60,85,110,136,113,34,19,607,736,1381,1010,1068,945,695,322,102,6256,9,23,24,20,38,40,16,12,182,484,579,483,431,447,506,438,315,3681,1429,2900,2483,2328,2254,1784,1005,478,14668
UCL112012,248,163,148,63,17,8,878,11,105,105,100,108,60,23,8,518,209,1049,837,551,467,264,117,41,3546,99,430,501,482,441,285,128,37,2412,670,1399,1116,970,715,412,205,55,5558,118,81,72,79,46,35,18,3,446,59,90,118,118,131,116,45,13,696,843,1570,1308,1170,896,560,268,76,6698,17,31,35,25,38,43,22,13,233,428,388,377,436,375,434,405,184,3024,1626,3803,3418,2933,2474,1712,977,367,17304
