UCL_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
UCL112004,99,314,107,96,24,837,145,57,356,171,209,47,980,10,7,30,18,20,0,84,11,3,30,39,176,4,267,14,6,46,42,95,25,237,627,265,1690,1075,2183,262,6102
UCL112005,30,143,48,95,6,344,30,20,159,175,355,44,782,4,0,3,13,28,5,52,3,0,12,28,215,7,262,0,0,7,15,98,26,146,95,82,601,654,2917,226,4578
UCL112006,125,712,236,258,31,1512,235,117,1035,554,882,104,2931,5,6,22,33,87,6,163,9,3,61,83,408,31,596,12,0,57,53,234,61,411,606,410,3127,2260,5889,514,12801
UCL112007,124,600,148,224,25,1251,155,100,687,430,642,60,2072,3,9,34,16,103,3,164,15,4,41,64,422,16,550,3,0,17,22,164,50,263,564,370,2455,1530,4878,432,10224
UCL112008,54,237,104,108,15,591,86,36,298,281,467,45,1214,0,3,13,11,27,0,60,4,5,20,35,221,11,292,5,3,18,29,97,26,175,277,173,1027,1061,2978,274,5793
UCL112009,103,530,121,171,20,1081,118,83,599,317,621,57,1796,3,8,21,12,32,0,75,10,3,42,38,266,12,364,4,3,34,26,123,42,227,369,271,1911,1015,3439,276,7273
UCL112010,10,35,13,12,0,79,4,5,23,26,30,0,96,0,0,0,0,3,0,7,0,0,0,7,20,0,30,0,0,0,3,9,3,22,16,25,124,126,330,27,648
UCL112011,82,211,87,153,19,618,89,60,433,326,648,68,1628,4,3,14,15,37,8,73,8,4,24,43,268,15,361,5,3,14,19,127,59,235,287,240,1261,1323,3942,385,7426
UCL112012,109,626,172,227,17,1328,229,128,900,495,706,100,2553,4,0,26,14,35,9,90,7,6,34,49,359,10,472,5,0,38,24,140,44,262,720,398,2820,1676,4807,471,10881
UCL112013,148,680,213,243,23,1496,244,101,926,581,809,98,2747,4,3,16,27,71,3,126,11,3,48,83,354,21,520,13,3,40,39,136,46,273,685,401,2890,2173,5253,490,11893
UCL112014,109,460,157,167,31,1028,129,99,637,406,607,64,1941,3,0,13,12,52,3,85,10,5,30,46,356,18,461,3,0,21,30,201,68,321,385,288,1952,1391,4331,525,8875
UCL112015,189,920,262,377,44,2147,249,149,1173,561,903,94,3134,6,0,24,21,57,3,115,11,3,53,70,499,12,655,9,3,55,46,225,53,387,915,530,3771,2128,6868,569,14780
UCL113001,45,265,65,86,13,547,56,34,247,164,326,34,864,3,0,5,8,22,0,43,3,0,25,29,116,3,178,0,0,20,17,81,22,139,206,131,974,621,1877,208,4022
