UCL_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
UCL122082,0,0,3,3,0,3,0,0,0,8,13,0,19,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,3,14,44,4,58
UCL122083,0,4,3,0,0,15,4,0,3,3,7,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,12,15,29,5,74
UCL122084,6,8,0,0,0,17,0,0,15,8,7,0,32,0,0,0,0,0,0,6,0,0,0,0,4,0,4,0,0,0,0,3,0,3,4,9,45,21,30,0,116
UCL122085,3,6,7,3,0,20,0,0,4,3,4,4,19,0,0,0,0,0,0,0,0,0,0,0,13,0,9,0,0,0,0,0,0,4,8,3,16,16,77,12,141
UCL122086,0,5,0,0,0,10,0,0,0,0,0,0,6,0,0,0,0,3,0,4,0,0,5,0,0,0,6,0,0,0,0,3,0,9,9,0,37,19,89,6,158
UCL122087,0,0,3,7,0,16,0,0,3,3,3,0,19,0,0,0,0,0,0,3,0,0,0,0,15,0,12,0,0,0,0,11,0,10,8,0,16,29,87,10,151
UCL122088,0,0,3,0,0,7,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,14,39,4,60
UCL122089,0,6,0,0,0,9,0,0,3,3,7,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,4,15,15,48,4,86
UCL122090,0,3,0,0,0,4,0,0,0,3,7,0,13,0,0,0,0,0,0,0,0,0,0,4,3,0,6,0,0,0,0,0,0,0,3,0,7,11,64,11,96
UCL122091,0,0,0,0,0,3,0,0,3,0,7,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,18,3,29
UCL122092,0,8,3,3,0,15,0,0,7,3,7,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,3,3,17,19,54,5,105
UCL122093,0,0,0,3,0,6,0,0,3,0,3,0,9,0,0,0,0,3,0,3,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,0,10,8,28,0,47
UCL122094,0,0,0,0,0,7,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,6,5,22,0,38
UCL122095,0,8,4,4,0,23,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,3,0,12,14,24,3,48
UCL122096,0,0,0,3,0,10,0,0,3,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,9,20,3,45
UCL122097,0,0,0,3,0,7,0,0,0,0,6,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,7,5,36,3,60
UCL122098,0,0,0,0,0,3,0,0,3,5,8,0,16,0,0,0,0,4,0,4,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,3,7,14,52,3,80
UCL122099,0,12,3,3,0,19,0,0,4,6,4,0,23,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,3,0,8,14,3,38,32,68,5,163
UCL122100,0,3,0,0,0,3,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,9,13,37,5,71
UCL122101,0,7,3,0,0,15,0,3,6,4,3,0,15,0,0,0,0,0,0,0,0,0,0,0,7,0,12,0,0,0,0,3,3,3,9,3,22,24,46,3,105
UCL122102,3,8,3,0,0,14,0,0,5,9,8,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,5,15,17,37,5,84
UCL122103,0,3,0,3,0,12,0,0,6,8,3,0,18,0,0,0,0,4,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,6,19,22,46,4,97
UCL122104,3,4,0,0,0,7,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,3,0,13,12,40,5,73
UCL122105,0,3,0,0,0,6,0,0,0,3,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,16,40,0,62
UCL122106,0,4,3,4,0,6,0,0,0,8,0,0,7,0,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,0,0,3,0,3,7,0,8,11,44,4,70
UCL122107,0,0,0,0,0,5,0,3,7,6,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,14,18,3,65
UCL122108,0,3,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,4,7,19,0,36
UCL122109,0,3,0,3,0,8,0,0,4,6,6,0,18,0,0,0,0,0,0,0,0,0,0,6,3,0,9,0,0,0,0,0,0,0,3,0,22,25,40,3,95
UCL122110,0,6,0,3,0,8,3,0,8,3,8,0,22,0,0,0,0,0,0,4,0,0,0,0,3,0,3,0,0,0,0,3,0,9,5,5,19,17,65,7,119
UCL122111,3,3,6,4,0,14,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,11,8,24,5,50
UCL122112,0,0,3,0,0,5,0,0,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,8,10,23,5,45
UCL122113,5,8,0,4,0,16,0,0,8,4,3,3,20,0,0,0,0,0,0,3,0,0,0,0,12,0,17,0,0,0,0,3,0,4,5,3,38,24,78,8,150
UCL122114,3,5,3,5,0,25,3,0,7,3,3,0,22,0,0,0,0,0,0,3,0,0,0,0,4,0,5,0,0,0,0,0,0,3,29,11,36,23,40,0,136
UCL122115,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,3,0,4,0,0,6,7,40,10,66
UCL122116,0,0,0,7,0,10,0,0,3,4,0,0,11,0,0,0,0,3,0,3,0,0,0,0,8,0,9,0,0,0,0,0,0,4,3,7,15,19,67,3,107
UCL122117,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,4,3,3,14,5,14,0,40
UCL122118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,23,0,39
UCL122119,0,6,3,0,3,22,0,3,9,0,12,0,26,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,3,3,8,8,4,27,21,76,9,146
UCL122120,0,7,0,3,0,20,3,0,5,8,3,0,15,0,0,0,0,0,0,3,0,0,0,0,4,0,5,0,0,0,0,4,0,8,12,4,27,22,56,7,125
UCL122121,0,3,0,3,0,7,0,0,3,4,10,0,17,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,3,0,13,13,46,3,72
UCL122122,0,3,0,0,0,9,0,0,4,3,6,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,3,3,0,8,11,39,4,67
UCL122123,0,4,0,0,0,5,0,0,4,3,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,18,9,29,0,66
UCL122124,0,3,0,4,0,11,3,0,7,0,4,0,15,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,3,0,3,3,3,18,12,32,8,77
UCL122125,4,6,3,3,0,26,7,0,3,7,10,5,23,0,0,0,0,0,0,0,0,0,0,3,9,0,10,0,0,0,0,7,5,7,12,3,24,15,67,7,125
UCL122126,0,4,3,4,0,15,0,0,4,4,15,0,19,0,0,0,0,0,0,0,0,0,0,0,9,0,11,0,0,0,3,3,0,7,0,0,24,31,86,7,152
UCL122127,0,3,0,0,0,4,0,0,4,4,3,0,11,0,0,0,0,0,0,0,0,0,0,3,7,0,6,0,0,0,0,0,0,0,0,0,18,12,56,4,94
UCL122128,4,7,3,0,0,21,0,0,7,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,4,3,8,26,20,39,5,99
UCL122129,0,4,3,7,0,15,0,0,10,3,10,0,23,0,0,0,0,0,0,3,0,0,0,0,4,0,9,0,0,0,0,5,0,3,3,3,23,17,66,8,120
UCL122130,0,0,0,0,0,5,0,0,3,5,6,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,13,14,38,3,74
UCL122131,5,4,3,3,0,24,0,0,4,3,5,0,14,4,0,0,0,3,0,8,0,0,0,0,3,0,5,0,0,0,0,0,0,0,16,12,44,28,63,4,165
UCL122132,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,5,4,16,3,26
UCL122133,0,3,0,3,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,4,20,6,28,14,24,4,101
UCL122134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,25,3,36
UCL122135,3,5,3,3,0,19,0,3,3,3,5,0,13,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,3,0,3,6,4,21,27,51,3,120
UCL122136,0,8,0,0,0,9,0,0,0,0,10,0,15,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,14,7,35,8,70
UCL122137,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,29,0,41
UCL122138,0,4,0,3,0,9,0,0,6,4,3,0,15,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,4,0,3,5,3,15,11,49,5,89
UCL122139,0,4,0,0,0,7,0,0,0,3,5,0,11,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,3,0,0,6,0,0,8,15,34,0,63
UCL122140,0,6,0,0,0,11,0,0,4,0,0,0,3,0,0,9,7,15,0,30,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,43,28,62,3,138
UCL122141,0,0,0,3,0,3,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,0,0,0,9,26,4,41
UCL122142,0,0,0,0,0,0,0,0,3,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,0,4,5,0,4,3,30,3,45
UCL122143,7,10,0,0,0,15,3,0,8,4,6,0,20,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,4,0,3,5,5,37,26,68,5,147
UCL122144,0,6,0,0,0,6,0,0,3,0,0,0,7,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,21,3,36
UCL122145,0,3,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,11
UCL122146,0,6,0,3,0,9,0,0,0,9,3,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,10,11,32,5,64
UCL122147,0,10,3,3,0,15,0,0,6,3,3,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,3,0,17,6,40,0,72
UCL122148,0,3,0,0,0,3,0,0,0,0,7,0,15,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,0,3,8,34,6,51
UCL122149,0,5,0,3,0,13,0,0,4,4,10,3,14,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,11,14,25,8,58
UCL122150,0,8,5,9,0,21,0,0,5,3,7,0,24,0,0,0,0,3,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,20,25,67,3,122
UCL122151,0,0,3,0,0,4,0,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,13,32,3,54
UCL122152,0,0,0,0,0,3,0,0,5,0,0,0,9,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,5,14,0,40
UCL122153,0,0,3,5,0,9,0,0,0,0,12,0,14,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,3,0,6,0,3,7,12,61,4,91
UCL122154,0,3,0,0,0,5,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,7,31,4,45
UCL122155,0,0,0,0,0,3,0,0,3,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,8,30,3,52
UCL122156,0,0,0,3,0,3,0,0,3,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,4,0,0,5,5,10,0,23
UCL122157,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,3,0,0,0,0,4,0,4,0,0,0,0,3,0,3,0,0,5,7,34,3,48
UCL122158,0,13,3,7,0,24,0,0,11,7,8,0,32,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,3,0,4,16,3,48,27,83,3,181
UCL122159,0,0,0,0,0,0,0,0,0,0,3,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,33,7,46
UCL122160,0,8,0,3,0,14,0,0,8,8,11,0,23,0,0,0,0,0,0,3,0,0,0,0,3,0,8,0,0,0,0,3,0,5,10,10,27,14,82,12,149
UCL122161,0,3,4,0,0,4,0,4,3,4,12,3,23,0,0,0,0,0,0,3,0,0,0,0,6,0,6,0,0,0,0,4,3,4,8,7,4,9,66,11,98
UCL122162,0,6,0,3,0,18,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,9,8,29,10,58
UCL122163,0,0,0,0,0,3,0,0,0,6,3,0,15,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,10,20,5,41
UCL122164,3,5,3,0,0,13,0,0,3,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,21,6,34,5,79
UCL122165,4,8,0,0,0,13,0,0,6,4,8,0,16,0,0,0,0,3,0,5,0,0,0,3,0,0,4,0,0,0,0,0,0,3,11,9,24,18,65,0,121
UCL122166,0,13,6,3,0,22,6,4,11,8,8,0,36,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,3,0,10,7,6,42,26,70,7,156
UCL122167,3,10,0,0,0,21,3,3,9,4,3,0,20,0,0,0,0,3,0,7,0,0,0,0,10,0,10,0,0,0,0,4,0,10,15,6,24,35,80,5,174
UCL122168,0,6,0,4,0,11,0,0,0,3,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,7,26,3,45
UCL131777,1683,7770,2825,3112,511,18121,1740,1109,7128,4833,6340,984,22146,120,54,516,344,915,113,2055,122,67,484,778,5323,255,7029,216,100,895,860,3142,1077,6284,8509,5202,36835,27535,77498,9580,165153
UCL179997,0,3,0,0,0,9,0,0,0,3,8,0,15,0,0,0,0,0,0,3,0,0,0,0,4,0,3,0,0,3,0,5,0,7,3,0,16,7,42,3,74
UCL199994,16,57,27,19,5,154,20,10,95,37,53,13,230,10,0,26,14,23,0,77,3,0,14,14,45,4,80,8,3,34,14,52,40,143,205,68,678,299,770,146,2162
UCL201001,20137,61109,16884,13177,2711,150716,28612,14996,81554,36201,36433,6737,204535,2671,1309,10774,4935,5951,829,26467,3451,1361,9810,9493,26388,1792,52295,5727,1365,16645,9105,17026,7928,57795,182590,71639,503144,230689,352426,50740,1391235
UCL203001,767,2658,853,781,103,6262,832,718,3483,1625,2286,291,9244,40,29,212,128,248,35,688,59,39,239,339,1168,46,1892,59,26,279,227,653,268,1507,3455,2377,13612,8119,17612,1827,46999
UCL211001,154,401,170,193,19,1074,143,137,583,446,668,60,2035,6,0,14,14,35,7,72,8,3,27,76,333,18,461,3,4,31,37,170,71,307,450,435,1980,1934,5090,423,10318
UCL211002,571,1641,448,515,52,3885,560,519,2136,1024,1305,163,5705,33,15,156,80,170,20,482,19,16,95,158,663,35,992,31,13,123,90,327,122,713,1971,1614,7454,4319,10533,971,26854
UCL211003,500,1439,403,421,73,3219,548,496,1965,1067,1583,188,5839,22,13,85,63,155,16,351,41,23,98,176,779,41,1157,21,11,102,82,382,140,746,1485,1466,6814,4084,11480,1082,26408
UCL211004,119,461,184,239,28,1113,88,83,460,527,665,68,1895,9,0,36,42,94,14,200,19,4,38,86,454,21,626,14,3,64,99,290,125,590,544,331,2239,2424,6589,681,12800
UCL212001,136,493,174,165,23,1057,124,94,540,355,476,57,1651,6,0,15,20,50,0,85,0,3,26,41,259,21,355,8,0,16,34,156,73,289,311,323,1879,1404,3737,484,8134
UCL212002,266,546,194,206,27,1375,227,176,816,590,716,94,2618,0,0,11,27,47,0,88,11,12,43,93,403,24,576,13,5,37,51,204,101,407,608,605,2514,2077,4972,586,11363
UCL212003,169,523,174,209,25,1223,101,118,455,334,445,61,1512,6,3,44,36,71,9,168,10,3,32,91,370,11,512,17,7,40,61,167,40,331,468,467,2333,2072,5000,425,10770
UCL212004,108,335,89,94,17,735,140,98,523,278,356,57,1454,0,4,14,14,31,4,62,6,4,19,42,242,10,321,4,3,28,8,107,46,194,353,306,1623,1220,3507,321,7336
UCL212005,130,542,127,180,19,1141,133,169,697,368,508,77,1965,9,5,15,28,56,10,125,7,7,28,53,254,18,371,9,7,30,24,120,49,230,402,443,2239,1409,3780,403,8679
UCL213001,80,254,91,111,12,630,37,40,208,154,212,27,684,0,0,17,20,30,3,76,3,3,16,30,142,10,211,3,0,21,21,98,22,163,247,189,997,879,2330,204,4852
UCL213002,43,137,52,69,10,333,40,45,162,148,216,26,636,0,0,8,13,12,0,36,0,0,10,30,125,8,171,0,0,13,10,50,24,94,103,112,571,515,1560,191,3047
UCL213003,36,137,45,51,5,288,26,20,122,119,228,42,555,0,0,4,9,21,0,38,4,0,7,16,93,0,122,0,0,8,8,63,28,105,74,79,481,492,1638,201,2967
UCL213004,59,162,72,66,6,412,18,30,135,107,184,23,491,0,0,6,7,11,3,35,7,4,15,23,125,4,178,4,4,5,14,71,17,119,105,137,539,511,1672,140,3101
UCL213005,61,153,69,48,11,380,29,48,188,162,260,19,700,0,3,12,15,13,3,51,0,3,11,36,119,4,169,4,0,20,14,68,16,127,119,150,698,655,1685,144,3460
UCL213006,58,191,55,49,8,386,37,47,206,147,202,33,669,0,3,12,5,28,4,52,3,0,10,32,126,4,174,6,5,21,16,65,30,139,103,144,746,532,1680,183,3383
UCL213007,81,224,59,73,10,478,75,76,307,214,289,37,993,0,0,15,12,33,3,69,3,3,18,37,175,3,240,5,3,9,20,48,33,124,194,197,936,767,2100,199,4389
UCL213008,49,178,69,71,13,434,25,42,177,153,226,27,657,3,0,26,13,21,0,62,8,3,21,24,106,3,167,3,0,16,28,58,18,137,169,147,903,824,1970,163,4172
UCL213009,25,152,85,69,6,381,32,51,211,163,263,28,742,3,0,9,13,24,0,50,4,0,9,25,134,8,187,3,0,5,19,68,13,111,137,112,725,738,1837,123,3674
UCL213010,39,108,78,80,5,326,16,26,135,139,274,30,620,0,0,5,10,22,5,41,0,3,6,25,122,5,166,0,0,8,20,76,29,133,62,90,431,530,1972,210,3296
UCL213011,33,73,40,58,12,223,24,21,115,97,185,27,473,0,0,5,3,10,0,24,0,3,4,13,86,7,109,0,0,6,4,71,28,105,56,84,400,413,1419,166,2538
UCL213012,153,432,117,74,22,951,149,136,436,186,222,51,1163,10,7,25,20,43,3,106,15,4,34,42,107,4,198,13,9,39,31,70,18,174,512,461,1917,1066,2010,192,6157
UCL213013,32,127,41,45,3,259,18,34,121,98,195,24,491,0,0,3,7,11,0,22,0,0,11,14,78,9,110,0,0,4,6,54,19,89,64,87,419,358,1346,140,2418
UCL213014,80,185,65,61,4,435,77,64,251,126,195,40,754,0,0,3,11,10,0,25,0,3,11,27,106,7,151,0,0,11,17,73,18,114,190,189,870,654,1621,170,3695
UCL213015,55,181,38,68,3,360,27,32,159,103,145,13,482,0,0,6,8,26,0,38,0,0,9,15,118,6,142,0,0,8,13,56,13,92,63,101,600,432,1306,142,2651
UCL213016,122,453,104,62,25,921,104,101,435,184,119,34,968,9,5,21,23,25,3,94,4,8,29,50,104,3,200,10,6,53,34,61,31,197,506,359,2112,1060,1794,200,6038
UCL213017,78,256,70,92,13,563,82,98,384,252,321,46,1186,0,4,15,15,30,4,60,9,3,18,35,158,4,229,3,0,13,30,86,28,160,218,241,1092,886,2337,215,4990
UCL213018,108,280,75,101,17,669,56,46,210,143,176,21,656,3,0,5,13,16,7,48,4,5,24,31,115,9,193,0,3,16,14,61,13,107,255,238,972,694,1752,156,4059
UCL214001,31,68,14,18,3,145,15,18,81,63,134,14,331,0,0,4,7,6,0,23,4,0,3,13,59,0,84,0,0,4,4,29,17,53,44,67,298,266,853,130,1657
UCL214002,48,107,30,48,9,266,24,23,108,107,153,30,445,0,0,5,3,18,0,30,0,0,7,15,70,3,96,0,3,6,9,45,15,83,86,87,377,386,1088,153,2174
UCL214003,67,138,40,26,11,389,67,69,168,107,104,15,521,6,5,31,16,5,5,67,8,3,22,11,53,0,100,11,12,17,16,41,13,105,304,224,752,404,790,122,2591
UCL214004,11,48,15,14,0,96,13,7,43,44,52,8,162,0,0,0,0,3,0,9,0,0,6,11,40,3,54,0,0,4,6,28,9,51,32,24,192,184,580,76,1087
UCL214005,3,7,3,6,0,15,0,0,15,4,13,4,36,0,0,0,0,0,0,0,0,0,0,3,16,0,17,0,0,0,3,8,4,13,0,8,38,37,151,21,259
UCL214006,65,214,55,50,9,447,43,54,170,75,82,10,439,3,4,17,4,16,3,43,3,0,17,18,72,0,114,3,4,21,15,39,12,97,225,208,949,581,1225,90,3276
UCL214007,41,136,37,64,11,313,28,38,181,114,153,17,538,0,0,8,8,15,3,33,3,3,12,15,92,5,130,0,0,5,5,34,11,61,107,116,514,365,1207,115,2427
UCL214008,44,87,47,34,7,239,20,23,99,98,108,14,358,11,5,19,13,21,0,76,3,3,13,24,89,4,133,3,7,23,10,54,27,121,92,100,540,453,1100,127,2421
UCL214009,36,99,19,26,4,216,29,21,71,48,50,10,232,0,0,7,10,9,0,26,0,0,4,10,32,0,50,5,0,6,13,28,16,65,91,85,351,234,501,60,1320
UCL214010,47,86,23,37,3,229,10,12,80,66,84,12,259,3,0,4,11,21,0,40,4,0,3,10,54,7,84,3,0,9,16,47,13,91,81,82,335,340,935,97,1864
UCL214011,27,83,20,22,3,167,13,16,65,70,108,16,288,0,0,3,5,0,0,8,0,0,4,3,71,3,85,0,0,5,3,21,6,39,38,50,266,227,739,78,1399
UCL214012,17,46,23,20,0,117,7,20,57,46,85,12,220,0,0,0,0,7,0,16,0,0,6,7,43,0,56,0,0,6,5,27,8,45,39,44,178,192,676,60,1186
UCL214013,24,76,18,22,6,151,19,22,60,67,63,13,245,0,0,3,4,7,0,18,0,0,3,3,42,0,51,0,0,3,12,23,9,45,47,63,230,200,637,64,1241
UCL214014,18,65,9,34,10,147,9,4,62,61,135,19,289,0,0,4,3,15,0,25,0,0,3,4,55,3,66,0,0,6,4,32,22,65,39,37,220,197,809,106,1412
UCL214015,19,58,26,22,5,165,16,15,75,50,84,10,257,0,0,4,3,13,0,23,0,3,6,6,35,3,49,3,0,9,13,21,10,56,76,61,305,261,623,89,1417
UCL214016,17,52,23,17,0,119,9,5,44,60,68,8,195,0,0,0,3,12,3,16,0,0,3,14,49,7,70,0,0,0,3,25,9,36,28,35,208,250,654,86,1260
UCL214017,10,55,21,18,3,113,7,15,72,67,102,24,296,0,0,8,8,13,0,21,4,0,0,4,30,3,39,0,0,0,0,25,11,37,37,37,212,209,650,100,1236
UCL214018,28,79,49,42,5,228,16,31,74,91,113,19,342,0,0,4,3,21,3,27,3,0,6,8,115,9,146,0,0,4,12,63,27,107,80,94,373,427,1268,139,2379
UCL214019,27,39,24,32,3,135,14,19,79,62,125,26,321,0,0,4,5,18,0,27,0,0,11,12,64,4,90,0,0,6,10,34,10,64,41,61,234,233,896,122,1584
UCL214020,20,85,29,29,6,183,17,15,100,61,79,18,295,0,0,3,3,20,4,25,0,0,9,8,66,3,85,0,0,5,4,38,7,55,41,56,328,265,939,116,1752
UCL215001,6,32,6,5,0,61,9,3,25,13,6,0,56,0,0,5,5,3,0,15,3,0,0,0,3,0,8,0,3,4,0,4,0,12,29,21,132,73,104,20,372
UCL215002,16,40,11,19,0,99,5,4,29,24,27,5,94,3,0,3,4,0,0,13,0,0,0,0,15,0,15,0,0,0,3,16,3,20,21,27,122,102,290,26,594
UCL215003,25,60,11,13,0,131,16,9,61,21,11,7,130,4,3,12,8,17,0,38,0,0,6,4,16,3,33,0,3,12,3,9,8,35,74,55,305,144,251,31,867
UCL215004,12,21,0,0,0,37,8,3,11,11,11,0,46,3,0,0,0,3,0,7,0,0,0,0,7,0,8,0,0,0,3,4,0,12,17,18,85,75,175,28,404
UCL215005,6,27,16,11,0,73,6,17,31,11,34,3,103,0,0,0,3,0,0,9,0,3,3,3,17,0,23,0,0,3,3,20,0,32,26,41,126,97,272,28,587
UCL215006,21,66,14,8,0,127,12,9,34,36,24,5,127,0,0,9,3,5,0,12,0,0,3,0,9,0,19,0,0,3,3,11,3,22,54,54,222,155,264,32,783
UCL215007,26,82,37,24,0,189,9,20,78,49,102,12,267,0,0,5,8,0,0,16,0,0,3,14,55,0,81,0,0,4,3,35,11,58,45,63,289,292,835,62,1593
UCL215008,10,39,5,14,0,76,14,14,38,21,30,3,123,0,0,0,3,0,0,3,0,0,0,3,25,0,29,0,0,5,3,16,3,28,35,37,141,126,296,19,654
UCL215009,0,6,0,3,0,8,0,4,3,5,15,3,28,0,0,0,0,3,0,7,0,0,0,0,9,0,12,0,0,0,0,4,0,8,3,8,25,23,102,11,163
UCL215010,18,42,9,10,0,94,7,3,40,10,16,0,81,0,0,3,3,6,0,14,0,0,3,4,24,0,31,0,3,7,12,25,3,40,43,39,198,129,338,29,768
UCL215011,0,4,6,0,0,12,3,3,8,12,10,3,34,0,0,0,0,3,0,3,0,0,0,0,7,3,6,0,0,0,0,5,0,3,6,4,28,40,93,17,185
