UCL_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
UCL115009,55,10,6,0,0,0,0,68
UCL115010,121,9,7,0,0,0,0,144
UCL115011,60,5,5,0,0,0,0,73
UCL115012,297,29,34,5,0,0,4,370
UCL115013,254,22,14,5,0,0,0,298
UCL115014,88,5,10,0,0,0,4,108
UCL115015,162,12,4,5,0,0,0,182
UCL115016,49,4,3,0,0,0,0,60
UCL115017,303,37,9,4,0,0,3,357
UCL115018,241,36,16,4,0,0,3,300
UCL115019,102,4,8,3,0,0,0,117
UCL115020,271,23,9,3,0,0,4,314
UCL115021,91,12,6,0,0,0,3,114
UCL115022,116,8,6,5,0,0,7,144
UCL115023,170,16,27,6,0,0,0,220
UCL115024,93,13,6,3,0,0,0,117
UCL115025,289,27,17,3,0,0,0,331
UCL115026,178,9,7,4,0,0,0,199
UCL115027,104,10,5,0,0,0,0,109
UCL115028,80,6,3,3,0,0,0,93
UCL115029,171,9,4,3,0,0,0,197
UCL115030,205,11,6,0,0,0,0,229
UCL115031,447,41,24,3,0,0,4,516
UCL115032,208,21,17,3,0,0,3,253
UCL115033,316,27,16,3,0,0,0,362
UCL115034,243,25,18,3,0,0,3,292
UCL115035,162,15,8,0,0,0,0,185
UCL115036,89,12,8,0,0,0,0,111
UCL115037,301,26,38,4,0,0,3,371
UCL115038,159,10,4,3,0,0,0,180
UCL115039,224,11,14,4,0,0,7,249
UCL115040,136,9,10,0,0,0,3,157
UCL115041,159,13,7,0,0,0,0,189
UCL115042,122,13,7,4,0,0,4,153
UCL115043,165,12,13,0,0,0,0,194
UCL115044,161,18,6,3,0,0,0,192
UCL115045,223,26,17,4,0,0,9,282
UCL115046,84,3,5,0,0,0,0,100
UCL115047,112,10,13,4,0,0,0,134
UCL115048,103,3,9,3,0,0,0,126
UCL115049,74,5,5,0,0,0,0,82
UCL115050,140,7,6,0,0,0,4,158
UCL115051,166,7,12,0,0,0,3,188
UCL115052,193,23,15,3,0,0,3,239
UCL115053,341,16,16,0,0,0,0,376
UCL115054,176,27,12,0,0,0,0,215
UCL115055,89,11,8,0,0,0,0,105
UCL115056,105,6,10,3,0,0,0,130
UCL115057,210,21,12,0,0,0,0,242
UCL115058,72,9,3,3,0,0,0,96
UCL115059,177,11,7,0,0,0,6,192
UCL115060,159,11,9,0,0,0,0,178
UCL115061,474,27,19,9,0,0,6,537
UCL115062,147,16,15,13,0,0,6,194
UCL115063,326,40,16,0,0,0,3,384
UCL115064,147,11,8,0,0,0,4,179
UCL115065,249,13,9,0,0,0,0,276
UCL115066,79,8,7,0,0,0,0,89
UCL115067,132,7,13,0,0,0,0,148
UCL115068,281,39,24,7,0,0,5,352
UCL115069,152,8,10,3,0,0,0,174
UCL115070,165,9,10,0,0,0,5,182
UCL115071,142,12,4,0,0,0,0,167
UCL115072,156,18,9,4,0,0,0,185
UCL115073,135,13,12,3,0,0,3,159
UCL115074,150,15,3,3,0,0,7,179
UCL115075,165,11,6,0,0,0,5,194
UCL115076,228,28,22,4,0,0,3,286
UCL115077,87,3,3,0,0,0,0,97
UCL115078,72,12,11,0,0,0,3,98
UCL115079,184,18,16,0,3,0,0,217
UCL115080,70,4,4,0,0,0,0,78
UCL115081,119,5,3,0,0,0,0,130
UCL115082,132,8,11,3,0,0,0,159
UCL115083,122,4,4,0,0,0,3,134
UCL115084,288,24,25,7,0,0,10,354
UCL115085,76,5,9,0,0,0,3,88
UCL115086,80,7,3,0,0,0,0,89
UCL115087,139,16,10,3,0,0,3,174
UCL115088,116,4,10,0,0,0,0,133
UCL115089,152,20,12,6,0,0,3,195
UCL115090,88,3,9,6,0,0,0,100
UCL115091,265,24,14,3,0,0,3,320
UCL115092,171,24,14,0,0,0,4,216
UCL115093,68,3,0,3,0,0,0,73
UCL115094,180,8,16,3,0,0,0,212
UCL115095,138,20,11,3,0,0,0,176
UCL115096,146,15,3,0,0,0,0,173
UCL115097,122,15,13,3,0,0,0,153
UCL115098,92,9,0,0,0,0,0,105
UCL115099,146,20,18,0,0,0,4,189
UCL115100,158,17,18,0,0,0,4,204
UCL115101,277,20,12,3,0,0,0,318
UCL115102,242,19,14,3,0,0,0,280
UCL115103,167,23,6,3,0,0,4,200
UCL115104,258,14,23,4,0,0,4,304
UCL115105,252,20,19,0,0,0,11,306
UCL115106,151,13,21,0,0,0,0,185
UCL115107,185,16,15,4,0,0,0,221
UCL115108,336,34,19,0,0,0,3,394
UCL115109,270,23,28,0,0,0,4,326
UCL115110,100,12,8,0,0,0,0,115
UCL115111,105,12,4,3,0,0,0,128
UCL115112,391,24,20,7,0,0,0,443
UCL115113,367,36,18,0,0,0,3,425
UCL115114,136,11,10,4,0,0,0,166
UCL115115,181,18,14,0,0,0,0,215
UCL115116,358,59,41,10,0,0,3,471
UCL115117,135,10,9,0,0,0,3,158
UCL115118,354,29,17,4,0,0,0,411
UCL115119,450,32,23,9,0,0,3,518
UCL115120,214,22,7,4,0,0,3,249
UCL115121,595,51,37,8,6,0,7,695
UCL115122,123,6,4,0,0,0,0,142
UCL115123,95,15,4,3,0,0,0,123
UCL115124,187,18,13,0,0,0,3,220
UCL115125,204,9,8,0,0,0,0,217
UCL115126,161,17,14,3,0,0,3,198
UCL115127,455,51,45,13,0,0,7,563
UCL115128,321,30,24,7,0,0,4,395
UCL115129,123,7,3,0,0,0,0,135
UCL115130,115,10,7,3,0,0,0,134
UCL115131,322,26,18,3,0,0,6,372
UCL115132,145,7,8,0,3,0,5,176
UCL115133,222,19,11,7,0,0,0,249
UCL115134,318,22,33,9,0,0,3,388
UCL115135,140,11,7,4,0,0,3,165
UCL115136,66,9,3,0,0,0,0,77
UCL115137,109,14,5,3,0,0,0,139
UCL115138,101,16,9,0,0,0,0,137
UCL115139,186,14,15,3,0,0,3,222
UCL115140,134,20,11,0,0,0,0,169
UCL115141,114,9,3,0,0,0,0,123
UCL115142,218,11,5,0,0,0,0,240
UCL115143,99,4,4,3,0,0,0,115
UCL115144,73,4,4,0,6,0,3,98
UCL115145,118,5,8,0,0,0,0,133
UCL115146,163,22,20,5,0,0,3,214
UCL115147,68,12,6,0,0,0,0,93
UCL115148,83,13,8,3,0,0,0,104
UCL115149,130,4,13,0,0,0,0,147
UCL115150,279,25,20,7,3,0,9,342
UCL115151,50,10,0,3,0,0,0,68
UCL115152,87,6,10,4,0,0,4,106
UCL115153,196,5,14,0,0,0,4,224
UCL115154,247,23,11,5,0,0,0,290
UCL115155,213,19,13,0,0,0,0,243
UCL115156,339,30,25,7,0,0,5,402
UCL115157,215,19,5,7,0,0,3,256
UCL115158,386,32,17,11,0,0,3,455
UCL115159,162,17,15,8,0,0,0,209
UCL115160,103,15,7,0,0,0,0,129
UCL115161,101,6,8,0,0,0,0,115
UCL121001,81,6,4,0,0,0,0,94
UCL121002,43,4,0,0,0,0,0,51
UCL121003,50,0,8,3,0,0,0,63
UCL121004,58,7,3,3,0,0,0,71
UCL121005,65,5,4,0,0,0,0,76
UCL121006,48,4,0,0,0,0,0,56
UCL121007,89,5,9,0,0,0,0,108
UCL121008,52,4,0,0,0,0,0,65
UCL121009,19,7,4,3,0,0,4,37
UCL121010,52,3,3,0,0,0,0,63
UCL121011,44,8,8,3,0,0,0,61
UCL121012,119,6,3,0,0,0,4,134
UCL121013,31,0,3,3,0,0,7,40
UCL121014,65,8,6,3,0,0,0,79
UCL121015,52,0,4,0,0,0,0,60
UCL121016,97,4,11,5,0,0,0,110
UCL121017,80,7,9,0,0,0,0,90
UCL121018,62,10,0,0,0,0,0,68
UCL121019,44,0,3,0,0,0,0,51
UCL121020,49,0,3,0,0,0,3,55
UCL121021,19,5,0,0,0,0,3,23
UCL121022,76,14,3,0,0,0,3,92
UCL121023,44,4,8,0,0,0,0,57
UCL121024,85,5,4,0,0,0,0,95
UCL121025,55,0,0,0,0,0,0,64
UCL121026,61,3,4,0,0,0,0,70
UCL121027,117,14,4,0,0,0,0,142
UCL121028,35,5,0,0,0,0,0,41
UCL121029,51,5,3,0,0,0,0,58
UCL121030,25,0,0,3,0,0,0,33
UCL121031,64,8,14,3,0,0,3,92
UCL121032,70,7,3,3,0,0,0,79
UCL121033,44,3,7,0,0,0,0,55
UCL121034,71,7,0,0,0,0,0,74
UCL121035,78,16,9,3,0,0,0,103
UCL121036,108,7,3,0,0,0,0,117
UCL121037,58,4,0,0,0,0,0,61
UCL121038,34,3,3,0,0,0,0,37
UCL121039,37,6,3,0,0,0,0,45
UCL121040,49,0,0,0,0,0,0,55
UCL121041,79,4,3,0,0,0,0,80
UCL121042,40,3,3,0,0,0,4,54
UCL121043,42,7,0,0,0,0,0,47
UCL121044,100,3,3,0,0,0,0,110
UCL121045,42,3,0,0,0,0,0,44
UCL121046,53,8,0,0,0,0,0,64
UCL121047,55,10,3,0,0,0,0,66
UCL121048,71,9,3,0,0,0,0,82
UCL121049,24,0,0,0,0,0,0,28
UCL121050,64,10,4,0,0,0,0,75
UCL121051,54,3,11,6,0,0,4,80
UCL121052,38,8,0,0,0,0,0,46
UCL121053,103,12,6,0,0,0,0,120
UCL121054,60,3,5,0,0,0,0,72
UCL121055,113,5,3,3,0,0,0,122
UCL121056,74,4,3,0,0,0,0,87
UCL121057,82,7,3,0,0,0,0,100
UCL121058,97,11,0,3,0,0,0,108
UCL121059,191,10,11,0,0,0,0,213
UCL121060,45,0,3,0,0,0,3,59
UCL121061,103,17,6,0,0,0,0,123
UCL121062,118,8,10,0,0,0,0,137
UCL121063,49,8,0,4,0,0,0,60
UCL121064,54,6,4,0,0,0,0,65
UCL121065,62,4,3,0,0,0,0,67
UCL121066,125,9,5,0,0,0,3,138
UCL121067,88,4,3,0,0,0,0,97
UCL121068,53,3,5,0,0,0,0,63
UCL121069,48,3,7,0,0,0,0,60
UCL121070,43,8,8,0,0,0,3,56
UCL121071,41,7,6,0,0,0,0,54
UCL121072,60,3,0,0,0,0,0,60
UCL121073,62,6,7,0,0,0,0,79
UCL121074,82,7,5,3,0,0,0,94
UCL121075,68,8,10,0,0,0,0,83
UCL121076,92,8,8,0,0,0,0,103
UCL121077,66,3,0,0,0,0,3,73
UCL121078,99,3,0,0,0,0,0,100
UCL121079,70,6,6,0,0,0,0,77
UCL121080,69,10,0,3,0,0,0,84
UCL121081,71,11,3,0,0,0,0,84
UCL121082,106,5,3,0,0,0,0,114
UCL121083,118,4,9,0,0,0,0,132
UCL121084,58,7,3,0,0,0,3,68
UCL121085,46,7,7,3,0,0,0,64
UCL121086,53,4,7,0,0,0,0,66
UCL121087,96,5,5,0,0,0,0,111
UCL121088,75,5,5,0,0,0,0,92
UCL121089,103,11,4,0,0,0,3,125
UCL121090,81,5,0,4,0,0,0,90
UCL121091,143,9,7,3,0,0,3,165
UCL121092,93,11,10,3,0,0,3,118
UCL121093,37,7,3,0,0,0,0,53
UCL121094,67,3,3,0,0,0,0,74
UCL121095,39,0,3,0,0,0,0,45
UCL121096,60,7,6,0,0,0,0,76
UCL121097,86,9,3,0,0,0,0,93
UCL121098,50,4,3,0,0,0,0,52
UCL121099,90,8,4,0,0,0,0,102
UCL121100,115,11,7,0,0,0,3,134
UCL121101,70,0,6,0,0,0,0,76
UCL121102,76,9,4,0,0,0,0,89
UCL121103,67,4,6,4,0,0,3,77
UCL121104,28,3,6,0,0,0,0,43
UCL121105,51,7,3,0,0,0,0,62
UCL121106,81,9,4,0,0,0,0,91
UCL121107,61,12,6,0,0,0,3,78
UCL121108,56,3,3,0,0,0,0,65
UCL121109,79,3,6,0,0,0,0,92
UCL121110,38,3,3,0,0,0,0,44
UCL121111,90,4,3,0,0,0,0,101
UCL121112,54,7,0,0,0,0,0,57
UCL121113,68,10,4,0,0,0,0,80
UCL121114,26,8,3,0,0,0,0,31
UCL121115,140,5,8,4,0,0,0,159
UCL121116,51,6,5,3,0,0,0,63
UCL121117,99,3,7,5,0,0,0,110
UCL121118,37,3,3,0,0,0,0,42
UCL121119,69,3,3,3,0,0,0,82
UCL121120,43,6,3,0,0,0,0,56
UCL121121,40,6,11,0,0,0,0,59
UCL121122,69,4,3,0,0,0,0,81
UCL121123,47,5,3,0,0,0,0,59
UCL121124,34,9,3,0,0,0,0,49
UCL121125,79,6,3,0,0,0,0,91
UCL121126,119,13,13,0,0,0,0,153
UCL122001,31,0,4,0,0,0,0,38
UCL122002,13,0,0,0,0,0,0,16
UCL122003,39,0,7,0,0,0,0,45
UCL122004,20,0,0,0,0,0,0,20
UCL122005,19,3,0,0,0,0,0,26
UCL122006,16,0,0,0,0,0,0,19
UCL122007,20,3,3,0,0,0,0,30
UCL122008,19,3,3,0,0,0,0,24
UCL122009,24,0,4,0,0,0,0,29
UCL122010,40,4,3,0,0,0,0,47
UCL122011,41,4,0,0,0,0,0,52
UCL122012,24,3,4,0,0,0,0,29
UCL122013,6,3,3,0,0,0,0,11
UCL122014,28,0,3,0,0,0,0,31
UCL122015,26,0,4,0,0,0,0,27
UCL122016,12,0,0,0,0,0,0,12
UCL122017,25,0,3,0,0,0,0,29
UCL122018,30,0,0,0,0,0,0,34
UCL122019,22,0,3,0,0,0,0,24
UCL122020,19,3,4,0,0,0,0,28
UCL122021,4,3,0,0,0,0,0,9
UCL122022,20,0,0,0,0,0,0,23
UCL122023,49,0,3,0,0,0,0,56
UCL122024,43,3,0,0,0,0,0,44
UCL122025,40,0,3,0,0,0,0,45
UCL122026,21,3,3,0,0,0,0,32
UCL122027,46,0,0,0,0,0,0,46
UCL122028,22,6,3,0,0,0,0,26
UCL122029,10,0,0,0,0,0,0,9
UCL122030,24,6,0,0,0,0,0,30
UCL122031,15,3,0,0,0,0,0,21
UCL122032,23,0,3,0,0,0,0,31
UCL122033,54,3,0,0,0,0,0,54
UCL122034,38,6,0,0,0,0,0,50
UCL122035,10,3,0,0,0,0,0,10
UCL122036,27,3,0,0,0,0,3,33
UCL122037,21,0,0,0,0,0,0,21
UCL122038,17,0,3,0,0,0,0,22
UCL122039,23,0,0,5,0,0,0,34
UCL122040,25,4,0,0,0,0,0,34
UCL122041,36,8,0,0,0,0,0,41
UCL122042,26,4,0,0,0,0,0,38
UCL122043,33,9,4,3,0,0,0,45
UCL122044,38,3,0,0,0,0,0,43
UCL122045,10,0,0,0,0,0,0,13
UCL122046,25,4,0,0,0,0,0,32
UCL122047,27,0,0,0,0,0,0,27
UCL122048,29,4,0,0,0,0,0,27
UCL122049,12,3,0,0,0,0,0,17
UCL122050,17,3,0,0,0,0,0,25
UCL122051,12,4,0,0,0,0,0,24
UCL122052,42,0,0,0,0,0,0,43
UCL122053,14,0,0,0,0,0,0,15
UCL122054,20,3,3,0,0,0,0,24
UCL122055,27,5,3,0,0,0,0,30
UCL122056,32,3,0,3,0,0,0,34
UCL122057,27,3,0,0,0,0,0,26
UCL122058,19,6,7,0,0,0,0,28
UCL122059,45,4,3,0,0,0,0,50
UCL122060,28,7,3,0,0,0,3,39
UCL122061,38,8,4,0,0,0,0,48
UCL122062,12,0,3,3,0,0,0,13
UCL122063,29,0,0,0,0,0,0,30
UCL122064,27,7,4,0,0,0,0,35
UCL122065,16,0,0,0,0,0,0,23
UCL122066,63,4,0,0,0,0,0,69
UCL122067,47,5,0,0,0,0,0,52
UCL122068,21,0,0,0,0,0,0,21
UCL122069,46,3,3,3,0,0,0,54
UCL122070,37,9,0,0,0,0,0,50
UCL122071,9,0,0,0,0,0,0,9
UCL122072,25,3,0,0,0,0,0,33
UCL122073,59,0,0,0,0,0,0,60
UCL122074,13,0,3,0,0,0,0,10
UCL122075,8,0,0,0,0,0,0,11
UCL122076,36,3,4,0,0,0,0,43
UCL122077,13,0,0,0,0,0,0,13
UCL122078,29,0,3,0,0,0,0,39
UCL122079,14,5,0,0,0,0,0,21
UCL122080,17,3,0,0,0,0,3,26
UCL122081,33,0,0,0,0,0,0,33
UCL122082,20,3,4,0,0,0,0,32
UCL122083,12,0,0,0,0,0,0,10
UCL122084,29,0,3,0,0,0,0,33
UCL122085,49,3,3,0,0,0,0,53
UCL122086,30,3,0,0,0,0,0,35
UCL122087,64,4,4,0,0,0,0,71
UCL122088,17,0,0,0,0,0,0,21
UCL122089,26,0,0,0,0,0,0,29
UCL122090,40,3,6,0,0,0,3,49
UCL122091,5,0,0,0,0,0,0,8
UCL122092,34,0,3,0,0,0,0,41
UCL122093,19,3,0,0,0,0,0,26
UCL122094,14,0,0,0,0,0,0,18
UCL122095,15,0,0,0,0,0,6,25
UCL122096,13,0,0,0,0,0,0,15
UCL122097,18,0,4,0,0,0,0,25
UCL122098,35,4,3,0,0,0,0,38
UCL122099,37,3,0,0,0,0,0,38
UCL122100,17,0,0,0,0,0,0,23
UCL122101,36,3,4,0,0,0,0,43
UCL122102,24,3,0,0,0,0,0,30
UCL122103,21,0,6,0,0,0,0,26
UCL122104,29,0,3,0,0,0,0,26
UCL122105,10,3,0,0,0,0,0,16
UCL122106,21,0,0,0,0,0,0,27
UCL122107,12,3,3,0,0,0,0,13
UCL122108,13,3,0,0,0,0,0,16
UCL122109,27,0,3,0,0,0,0,31
UCL122110,35,3,0,0,0,0,0,39
UCL122111,21,0,0,0,0,0,0,26
UCL122112,18,4,0,0,0,0,0,21
UCL122113,68,3,0,0,0,0,0,74
UCL122114,48,0,0,0,0,0,0,48
UCL122115,20,0,3,0,0,0,0,26
UCL122116,42,3,0,0,0,0,0,46
UCL122117,3,3,0,0,0,0,0,3
UCL122118,0,0,0,0,0,0,0,0
UCL122119,45,4,0,0,0,0,0,57
UCL122120,55,5,3,0,0,0,0,58
UCL122121,22,0,0,0,0,0,0,23
UCL122122,21,8,0,0,0,0,0,30
UCL122123,15,0,0,0,0,0,0,15
UCL122124,21,0,0,0,0,0,0,20
UCL122125,37,7,0,0,0,0,0,46
UCL122126,47,5,3,0,0,0,4,65
UCL122127,34,6,3,0,0,0,0,38
UCL122128,28,3,0,0,0,0,0,32
UCL122129,43,8,3,0,0,0,0,51
UCL122130,26,0,0,0,0,0,0,27
UCL122131,69,3,0,0,0,0,0,73
UCL122132,17,0,0,0,0,0,0,18
UCL122133,28,3,0,0,0,0,0,37
UCL122134,11,0,3,0,0,0,0,15
UCL122135,39,3,0,0,0,0,0,45
UCL122136,24,0,4,0,0,0,0,32
UCL122137,11,4,0,0,0,0,0,17
UCL122138,31,0,5,0,0,0,0,32
UCL122139,15,6,0,0,0,0,0,25
UCL122140,15,3,0,0,0,0,0,19
UCL122141,22,0,4,0,0,0,0,33
UCL122142,8,6,0,0,0,0,0,13
UCL122143,42,3,0,0,0,0,0,43
UCL122144,8,0,0,0,0,0,0,8
UCL122145,5,0,0,0,0,0,0,11
UCL122146,17,4,0,0,0,0,0,23
UCL122147,29,3,0,0,0,0,0,30
UCL122148,17,0,0,0,0,0,0,23
UCL122149,13,0,0,3,0,0,0,16
UCL122150,33,3,0,0,0,0,0,45
UCL122151,14,3,0,0,0,0,0,18
UCL122152,7,0,0,0,0,0,0,11
UCL122153,23,5,6,0,0,0,0,28
UCL122154,13,3,3,0,0,0,0,23
UCL122155,18,0,0,0,0,0,0,19
UCL122156,8,0,0,0,0,0,0,8
UCL122157,18,0,0,0,0,0,0,18
UCL122158,69,4,3,0,0,0,0,78
UCL122159,24,4,0,3,0,0,0,31
UCL122160,47,4,5,0,0,0,0,51
UCL122161,41,0,0,0,0,0,0,41
UCL122162,15,0,0,0,0,0,0,20
UCL122163,13,3,0,0,0,0,0,19
UCL122164,20,0,3,0,0,0,0,28
UCL122165,35,4,0,0,0,0,0,35
UCL122166,39,4,0,0,0,0,0,46
UCL122167,70,9,5,0,0,0,0,81
UCL122168,14,0,0,0,0,0,0,20
UCL131777,56338,3807,2444,796,95,60,564,64109
UCL179997,0,0,0,0,0,0,0,0
UCL199994,0,0,0,0,0,0,0,0
UCL201001,478541,26591,13013,5470,493,234,1349,525687
UCL203001,14748,1081,593,97,18,10,74,16625
UCL211001,3087,306,240,21,0,0,12,3675
UCL211002,8110,688,450,69,13,0,42,9367
UCL211003,8062,699,460,55,17,5,54,9345
UCL211004,5398,486,346,91,18,11,38,6378
UCL212001,2574,262,153,39,10,5,24,3058
UCL212002,4152,306,211,56,8,3,27,4768
UCL212003,4047,328,195,29,8,4,19,4619
UCL212004,2255,234,119,19,5,0,18,2643
UCL212005,2684,187,130,17,3,0,18,3046
UCL213001,1782,172,131,18,4,0,13,2122
UCL213002,941,89,56,8,5,3,11,1110
UCL213003,977,87,48,14,0,0,3,1132
UCL213004,1065,107,71,6,0,0,9,1258
UCL213005,1169,111,61,5,0,0,9,1359
UCL213006,1028,106,56,9,0,0,5,1208
UCL213007,1303,110,109,8,3,0,16,1545
UCL213008,1534,157,88,11,4,0,12,1804
UCL213009,1275,140,72,5,0,0,6,1505
UCL213010,1046,112,85,12,0,0,6,1264
UCL213011,841,85,69,13,4,3,15,1032
UCL213012,2057,143,63,11,0,0,10,2281
UCL213013,770,80,57,3,0,0,6,917
UCL213014,1156,104,70,6,0,0,4,1344
UCL213015,872,67,39,16,0,0,3,999
UCL213016,2095,111,71,3,0,0,5,2292
UCL213017,1504,123,88,20,3,0,17,1755
UCL213018,1268,91,75,9,3,0,13,1456
UCL214001,487,45,44,6,0,0,7,600
UCL214002,595,65,36,3,0,0,0,701
UCL214003,728,57,30,8,0,0,3,828
UCL214004,399,22,30,0,0,0,3,458
UCL214005,90,11,9,0,0,0,3,111
UCL214006,1305,59,47,3,0,0,3,1423
UCL214007,726,44,36,8,0,0,7,827
UCL214008,777,82,55,9,0,0,0,922
UCL214009,372,17,19,7,0,0,0,412
UCL214010,704,76,26,4,0,0,8,821
UCL214011,494,41,25,0,0,0,0,565
UCL214012,398,41,14,0,0,0,10,470
UCL214013,427,36,21,0,0,0,3,498
UCL214014,463,47,32,3,3,0,7,556
UCL214015,398,41,10,6,3,0,3,472
UCL214016,386,34,19,3,0,0,8,456
UCL214017,389,35,23,3,0,0,5,453
UCL214018,1000,94,63,16,0,0,9,1183
UCL214019,558,52,48,5,0,0,3,668
UCL214020,565,48,35,3,0,0,0,656
UCL215001,89,4,0,0,0,0,0,92
UCL215002,193,24,15,0,0,0,0,222
UCL215003,226,15,4,0,0,0,0,249
UCL215004,90,3,6,0,0,0,0,102
UCL215005,219,14,12,5,0,0,0,249
UCL215006,245,15,9,0,0,0,0,270
UCL215007,658,44,28,0,0,0,4,737
UCL215008,234,20,13,3,0,0,0,268
UCL215009,62,0,0,0,0,0,3,68
UCL215010,326,14,14,0,0,0,0,355
UCL215011,69,3,3,3,0,0,0,76
UCL215012,227,27,4,0,0,0,0,260
UCL215013,260,16,17,3,0,0,0,294
UCL215014,132,20,9,3,0,0,4,167
UCL215015,172,14,11,0,0,0,0,193
UCL215016,351,37,26,4,0,0,4,420
UCL215017,211,18,10,0,0,0,6,247
UCL215018,216,18,13,3,0,0,0,251
UCL215019,177,9,7,0,0,0,0,195
UCL215020,71,0,8,0,0,0,3,84
UCL215021,106,12,7,3,0,0,3,134
UCL215022,331,29,23,5,0,0,9,395
UCL215023,134,12,14,0,0,0,0,161
UCL215024,123,10,5,0,0,0,3,137
UCL215025,72,7,3,3,0,0,0,83
UCL215026,292,20,21,5,0,0,0,332
UCL215027,198,13,20,5,0,0,0,244
UCL215028,241,11,8,0,0,0,0,263
UCL215029,223,23,10,3,0,0,0,257
