UCL_CODE_2016,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot
UCL112004,0,0,0,8,0,0,0,0,0,11,0,3,0,0,0,0,17,5,0,34,0,0,0,8,0,0,0,0,0,16,0,7,7,38,27,41,46,22,13,200,21,81,71,114,107,114,137,104,43,791,459,1260,1145,1890,1469,1635,1909,1209,507,11479,0,0,0,0,0,0,0,0,0,0,894,2241,1836,2769,1969,2113,2275,1445,554,16103,0,0,0,5,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,7,0,5,0,12,11,16,3,7,0,59,0,0,0,4,5,3,0,0,0,14,0,3,4,15,19,6,4,3,0,57,0,0,0,0,6,3,4,0,0,13,0,0,0,3,0,0,6,4,3,14,3,27,42,105,181,225,390,254,93,1322,0,0,0,9,4,8,6,3,0,26,0,0,0,4,9,3,5,3,0,31,0,3,3,6,9,19,50,27,8,125
UCL112005,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,12,9,3,10,4,3,46,47,74,81,208,111,105,96,56,41,816,754,1399,1355,2624,1302,1338,1057,707,385,10920,0,0,0,6,0,0,0,0,0,6,1409,2616,2587,4818,2151,2165,1623,1019,449,18845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,14,0,0,0,3,3,0,0,0,0,6,0,0,3,11,8,0,3,3,0,35,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,7,32,62,74,98,54,20,349,0,0,3,5,3,3,0,0,0,19,0,0,0,3,0,0,0,0,0,7,0,0,0,0,3,5,17,6,4,46
UCL112006,0,0,0,18,0,7,0,0,0,25,0,0,0,3,9,0,8,0,0,24,0,0,5,3,0,3,7,0,0,19,13,72,55,164,76,53,42,20,14,511,89,161,192,365,256,256,234,196,197,1957,1324,2975,2674,5576,3325,3457,2931,1938,1031,25238,0,16,42,24,15,3,3,0,0,108,2408,5226,4598,8208,4711,5086,4092,2443,1049,37812,0,0,0,4,3,0,0,0,0,11,0,0,0,0,0,0,0,3,0,4,0,3,3,3,0,0,0,0,0,6,0,0,3,36,12,26,14,4,3,99,0,0,0,4,0,0,3,0,0,11,0,6,16,34,21,17,11,3,3,100,0,0,0,0,0,0,4,10,0,12,0,11,0,13,0,8,5,0,0,38,10,50,49,206,246,314,419,284,116,1691,0,0,3,16,25,18,4,3,0,71,0,3,4,12,4,10,9,0,0,36,0,3,4,28,25,28,74,46,19,224
UCL112007,0,0,0,21,3,0,0,0,0,27,0,0,0,0,0,0,0,0,0,6,0,3,7,24,0,0,4,0,0,42,0,8,5,27,5,12,5,7,3,79,62,100,150,362,187,177,158,114,60,1377,1302,2235,2265,4828,2151,2102,1486,1087,501,17954,0,0,0,0,0,0,0,0,0,3,2426,4207,3918,7172,3434,3241,2243,1545,642,28834,3,6,3,45,5,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,4,15,0,0,3,0,0,18,0,0,0,0,0,0,0,0,0,0,3,8,10,91,22,11,6,0,4,160,0,0,0,0,0,0,0,3,0,5,3,4,0,17,3,0,0,0,0,26,0,12,15,54,56,58,78,32,18,330,0,0,5,24,5,9,3,0,0,44,0,0,3,6,0,0,3,0,0,18,0,0,3,6,5,4,12,3,4,49
UCL112008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,3,0,4,0,0,0,12,0,10,15,38,4,11,9,8,5,99,39,60,83,197,99,105,102,101,55,839,692,1261,1228,2728,1433,1435,1185,788,445,11200,0,0,3,0,3,0,0,0,0,6,1312,2430,2393,4577,2399,2281,1800,1045,505,18744,0,0,0,15,0,0,0,0,0,14,0,0,0,4,0,0,0,0,0,4,0,0,0,6,5,0,0,0,0,15,0,0,0,5,3,3,5,0,0,20,0,0,0,4,3,0,4,3,0,12,0,0,3,30,13,9,0,3,0,62,0,0,0,4,0,3,3,0,0,12,0,0,0,3,0,0,3,3,0,12,3,7,8,50,74,89,109,59,29,426,0,0,3,12,7,7,0,0,0,30,0,3,3,3,3,0,0,0,0,13,0,0,0,7,3,7,12,8,11,51
UCL112009,0,0,0,10,6,3,0,0,0,24,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,4,0,0,0,6,0,3,20,46,15,20,12,10,0,131,48,85,170,262,152,166,108,99,80,1172,754,1660,1847,3373,1876,1916,1401,960,640,14424,0,0,0,0,0,0,0,0,0,0,1420,3151,3139,5346,2884,2927,2062,1275,719,22924,0,0,0,6,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,3,11,9,5,3,3,0,39,0,0,0,0,0,3,0,0,0,3,5,0,12,26,10,6,3,0,0,54,0,0,0,0,0,0,3,0,0,4,0,0,0,3,0,3,3,0,0,12,0,11,14,83,105,119,124,66,33,555,0,0,3,3,3,0,4,0,0,15,0,0,0,6,6,4,6,0,0,20,0,0,4,16,22,23,30,8,4,100
UCL112010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,3,4,22,11,16,12,0,0,80,82,152,116,294,143,131,99,43,14,1066,0,0,0,0,0,0,0,0,0,0,160,303,206,482,257,205,165,66,15,1853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,3,5,3,0,35,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
UCL112011,0,0,0,9,0,0,0,0,0,10,0,0,0,0,4,0,8,9,0,30,0,3,0,10,0,0,0,0,0,13,3,6,13,34,21,30,29,18,7,159,62,128,137,290,164,177,174,121,56,1305,1017,1971,1829,3665,1791,2018,1767,1039,503,15602,0,0,3,4,0,0,0,0,0,4,1932,3531,3304,6103,2708,2880,2315,1272,573,24606,0,4,0,13,0,0,0,0,0,18,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,3,10,5,3,8,3,0,37,0,0,0,0,3,9,6,0,3,25,0,7,11,56,26,9,12,3,4,117,0,0,0,0,3,3,9,5,0,24,0,0,0,4,0,3,3,3,0,20,3,29,38,76,193,222,309,199,97,1162,0,0,3,7,9,5,3,0,3,27,0,0,0,0,3,0,3,3,0,16,0,0,0,13,10,30,45,30,6,129
UCL112012,0,0,3,16,0,0,0,0,0,19,0,0,0,4,3,0,0,3,0,11,0,0,20,24,11,4,0,0,0,61,0,17,17,63,23,21,13,17,18,185,63,110,148,342,193,162,158,136,65,1391,1357,2433,2323,5118,2349,2117,1768,1169,588,19218,0,0,0,5,0,0,0,0,0,8,2698,4594,4006,7933,3623,3323,2523,1557,661,30905,0,0,3,11,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,3,5,26,4,0,0,0,0,43,0,0,0,0,0,0,0,0,0,6,0,4,4,56,23,23,21,6,0,143,0,0,0,0,6,4,4,10,6,26,0,8,3,3,0,0,3,0,0,18,3,28,26,79,106,122,120,84,43,599,0,3,0,17,12,3,0,0,0,40,0,0,0,10,0,0,3,3,0,17,0,0,0,14,3,8,47,16,9,94
UCL112013,0,0,3,19,0,4,0,0,0,32,0,0,0,3,3,4,4,9,3,29,0,0,3,9,3,5,3,0,0,23,4,7,13,64,37,36,46,33,18,256,47,76,119,247,183,198,318,236,109,1534,1113,2505,2210,4669,2991,3189,3415,2284,1240,23629,0,0,0,0,0,0,0,0,0,0,2115,4811,3931,7245,4407,4666,4560,2794,1407,35930,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,3,3,32,14,22,3,6,0,92,0,0,0,3,6,0,3,0,0,15,0,10,14,46,19,15,9,4,7,114,0,0,0,0,3,7,4,7,0,21,0,4,3,7,10,7,17,3,3,53,5,58,42,206,283,304,543,450,187,2080,0,0,0,10,6,9,6,4,0,41,0,3,0,18,4,5,5,0,0,46,0,4,3,14,11,25,67,62,16,203
UCL112014,0,3,8,17,3,3,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,9,0,8,5,29,11,6,3,10,4,79,78,128,156,342,157,213,151,186,96,1498,1159,2200,2116,4322,2127,2117,1700,1265,668,17675,0,0,0,0,0,0,0,0,0,3,2141,4072,3630,6686,3338,3348,2627,1690,766,28309,0,0,0,32,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,8,3,3,0,0,26,0,0,0,0,0,0,0,0,0,3,0,3,10,44,18,10,4,0,0,94,0,0,0,0,4,0,0,0,0,4,0,0,0,3,0,0,0,0,0,11,0,10,13,41,55,80,83,70,22,377,4,6,0,20,8,0,3,0,0,46,0,4,0,0,0,0,0,0,0,9,0,0,0,8,0,3,11,9,8,44
