UCL_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
UCL115018,10,0,18,10,3,9,5,7,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,6,0,3,4,6,6,5,0,0,29,64,109,138,101,74,44,73,61,12,676
UCL115019,4,0,7,4,3,0,0,3,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,6,0,9,3,0,22,50,54,41,35,29,7,41,22,6,290
UCL115020,9,6,17,8,5,8,0,3,0,62,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,4,0,0,3,3,0,3,3,3,21,95,246,145,107,79,53,24,49,11,811
UCL115021,0,0,8,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,3,4,0,20,42,45,60,44,29,14,15,27,4,276
UCL115022,4,0,9,3,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,6,0,3,0,5,0,0,0,3,4,16,46,116,47,105,40,21,19,21,3,418
UCL115023,3,0,12,3,0,3,4,3,0,34,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,9,0,0,3,0,0,0,3,3,0,10,53,130,119,73,69,33,22,35,5,530
UCL115024,3,0,7,0,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,9,0,0,3,0,0,0,3,3,0,13,56,101,57,40,35,15,16,23,12,352
UCL115025,11,0,28,10,9,3,6,3,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,3,0,0,9,3,0,19,79,122,210,76,93,38,111,52,11,800
UCL115026,0,0,16,6,6,9,0,3,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,3,0,13,83,200,120,82,63,36,14,32,6,629
UCL115027,6,0,17,4,3,3,4,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,3,8,0,3,0,3,0,20,57,112,82,73,42,30,10,36,9,449
UCL115028,0,0,13,5,0,0,0,3,0,20,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,3,0,3,0,4,0,15,14,29,40,35,28,13,23,16,4,202
UCL115029,5,0,15,5,6,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,9,0,3,4,5,3,0,0,3,0,20,93,182,122,88,97,35,24,31,8,682
UCL115030,3,0,11,3,3,0,0,3,0,24,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,15,0,4,3,3,0,0,3,0,3,15,99,247,117,76,67,26,14,41,9,699
UCL115031,5,3,19,4,12,4,0,0,0,59,0,0,0,0,0,0,0,0,0,0,5,3,8,0,4,0,0,0,0,19,3,5,6,8,8,3,3,0,3,41,276,331,217,110,209,50,32,32,19,1279
UCL115032,0,0,11,3,6,8,5,3,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,10,3,3,4,0,27,53,75,127,67,67,34,48,45,4,515
UCL115033,5,0,16,11,8,8,3,3,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,7,0,0,0,3,3,3,16,83,275,169,125,117,43,43,54,8,917
UCL115034,3,0,12,8,3,3,0,11,0,36,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,10,0,3,5,3,3,3,0,5,3,25,87,177,141,125,73,54,24,64,8,757
UCL115035,0,0,6,6,0,7,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,7,0,3,0,0,0,15,64,157,48,54,61,24,10,14,3,440
UCL115036,3,0,0,3,0,3,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,10,40,70,52,53,30,17,18,26,9,312
UCL115037,3,0,15,4,5,3,11,0,0,45,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,0,0,0,0,13,3,4,9,4,4,0,12,8,6,52,100,205,258,112,89,31,123,58,16,978
UCL115038,8,0,5,0,4,0,0,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,3,14,42,79,91,64,57,27,19,31,10,426
UCL115039,3,0,10,9,3,3,0,3,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,10,0,3,3,3,9,7,50,81,128,105,98,47,45,42,39,16,591
UCL115040,0,0,5,6,0,0,3,3,0,21,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,3,3,0,3,3,0,5,3,24,52,100,76,72,41,25,24,39,5,432
UCL115041,3,3,12,8,3,3,0,3,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,9,7,3,0,0,10,3,28,48,130,77,84,54,30,25,40,6,504
UCL115042,7,0,5,3,5,0,0,7,0,28,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,4,4,0,3,3,3,5,7,3,35,49,101,68,74,54,27,23,38,8,443
UCL115043,0,0,16,3,0,0,0,6,0,25,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,4,0,0,0,3,8,0,13,43,91,87,59,43,23,18,43,7,420
UCL115044,0,0,13,3,0,0,0,3,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,4,3,0,3,3,3,26,56,96,119,78,49,30,25,33,8,494
