UCL_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
UCL114006,12,0,39,10,11,6,4,16,0,103,0,0,0,0,0,0,0,0,0,0,4,3,3,11,3,0,0,0,0,24,14,3,9,12,10,11,5,15,11,77,223,411,289,232,203,117,76,126,29,1698
UCL114007,5,0,34,14,10,4,3,15,0,84,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,8,0,17,6,0,5,0,8,9,3,6,3,44,117,256,214,184,144,75,68,126,12,1201
UCL114008,14,0,36,24,11,7,0,28,0,116,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,3,5,0,13,8,5,14,6,0,3,15,15,0,70,155,238,254,170,111,73,74,181,17,1286
UCL114009,5,3,42,24,6,10,6,16,0,119,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,3,0,13,9,11,14,12,5,10,7,17,10,96,177,383,312,272,169,134,70,160,30,1707
UCL114010,3,0,36,20,11,14,4,20,0,111,0,0,0,0,0,0,0,4,0,8,0,3,3,3,5,0,0,4,0,16,7,3,13,13,9,14,13,23,7,101,189,391,294,253,184,98,98,188,29,1706
UCL114011,7,0,31,20,6,6,4,11,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,12,13,10,7,7,12,8,79,191,391,308,197,180,112,88,122,31,1627
UCL114012,11,0,27,18,0,11,3,14,0,76,0,0,0,0,0,0,0,0,0,4,3,3,3,0,0,0,0,0,0,12,3,8,6,7,4,4,6,11,6,51,112,219,165,164,129,70,52,98,21,1038
UCL114013,6,3,32,19,4,10,22,9,0,115,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,3,0,18,15,5,22,10,3,16,20,17,9,114,239,420,370,237,198,119,235,115,34,1970
UCL114014,11,3,34,16,19,11,5,6,3,107,0,0,0,0,0,0,0,0,0,3,4,6,3,0,7,4,6,0,0,23,0,6,14,7,10,3,4,6,4,57,281,623,459,269,313,133,114,106,32,2328
UCL114015,18,0,50,23,7,8,4,18,0,126,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,4,4,3,0,22,13,6,24,18,9,6,14,41,21,161,203,459,393,322,177,138,86,263,38,2073
UCL114016,13,0,39,21,11,7,5,24,0,117,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,3,6,0,19,14,8,12,13,6,9,12,19,5,100,214,385,350,166,202,74,97,204,37,1730
UCL114017,16,0,49,33,13,16,3,9,0,135,0,0,0,0,0,0,0,0,0,0,0,6,4,6,4,0,0,0,0,21,0,3,9,6,9,3,0,3,14,49,308,859,312,267,222,135,39,97,35,2268
