UCL_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
UCL615018,285,240,521,30,35,64,16,15,34,6,11,19,13,13,30,3,0,0,5,3,9,105,89,197,3,6,8,0,0,3,0,0,0,154,138,299,4,3,3,4,3,3,191,182,373,54,49,107,527,469,1003
UCL615019,537,471,1007,80,97,178,28,12,42,13,10,28,23,33,59,6,6,18,17,15,32,44,63,109,3,6,8,0,0,0,0,0,0,144,148,293,9,8,17,4,8,15,241,263,505,78,68,150,849,806,1657
UCL615020,539,597,1134,140,171,306,5,8,12,10,7,22,15,31,44,0,3,7,10,14,21,43,42,86,0,0,0,0,0,0,0,0,0,90,107,192,3,3,10,3,3,9,237,279,512,75,84,155,846,955,1799
UCL615021,287,305,596,87,87,178,8,9,15,6,15,25,16,27,37,4,0,7,6,8,11,46,57,100,0,0,0,0,0,0,0,0,0,88,113,203,4,0,8,6,4,9,189,213,398,41,58,94,514,573,1086
UCL615022,853,875,1727,255,276,526,12,24,36,11,11,24,21,18,44,3,0,3,8,14,22,192,199,393,3,0,4,0,0,0,0,0,0,260,271,527,23,19,43,4,3,9,539,568,1107,120,125,247,1518,1571,3085
UCL615023,392,425,815,70,70,137,6,11,19,6,4,14,15,27,45,3,3,3,8,4,12,136,160,294,0,3,3,3,3,3,0,0,0,180,211,392,13,11,20,0,3,3,261,291,550,45,49,93,706,759,1459
UCL615024,526,627,1151,123,157,281,15,13,23,11,12,23,8,19,28,0,4,3,5,7,8,273,314,587,3,3,3,0,0,0,0,0,0,312,368,681,3,7,10,3,11,15,442,541,982,90,127,212,1058,1287,2349
UCL615025,338,393,733,104,122,229,20,21,38,12,17,29,16,26,46,3,3,9,14,13,30,76,76,147,0,0,0,0,0,0,0,0,0,137,161,299,13,19,32,3,7,5,260,306,566,48,49,100,642,750,1392
UCL615026,370,378,743,75,85,155,14,10,33,10,12,27,18,20,41,3,10,10,3,8,13,101,106,206,0,0,0,4,3,8,0,0,0,155,179,336,8,5,13,3,5,9,239,269,512,67,71,139,681,720,1397
UCL621001,178,173,353,39,39,75,4,9,12,10,10,15,13,8,20,4,0,3,7,4,18,46,49,97,0,0,0,0,0,0,0,0,0,90,79,166,14,9,20,0,0,0,138,130,267,42,47,88,362,347,706
UCL621002,249,255,502,40,55,89,12,16,28,5,4,5,13,14,21,3,0,3,0,0,0,31,49,79,0,0,3,0,0,0,0,0,0,56,82,138,0,3,3,3,0,0,100,135,236,24,31,58,370,422,795
UCL621003,180,188,368,18,19,32,0,0,3,4,7,6,3,3,5,0,0,0,0,3,4,33,44,76,0,0,3,0,0,0,0,0,0,44,52,97,6,10,17,0,0,0,62,83,142,9,9,20,256,273,531
UCL621004,141,119,262,30,30,59,0,3,3,0,3,4,4,3,13,0,3,3,0,0,0,38,50,91,0,0,3,0,0,0,0,0,0,52,65,112,0,3,4,0,0,0,83,97,175,13,10,22,242,223,467
UCL621005,205,195,396,30,34,61,0,3,3,0,3,3,3,4,13,0,0,0,0,3,0,40,45,90,0,0,3,0,0,0,0,0,0,54,57,111,0,0,3,0,0,0,80,90,172,39,25,63,318,308,626
UCL621006,180,174,355,49,53,101,6,5,11,17,17,31,14,10,20,0,0,0,8,6,14,13,17,34,0,0,0,0,0,0,0,0,0,58,53,108,10,8,17,0,0,0,115,116,225,20,28,52,312,317,627
UCL621007,217,238,457,63,59,117,6,15,23,14,8,18,14,12,30,0,0,3,16,16,36,40,44,83,0,0,0,0,0,0,0,0,0,102,98,196,7,3,13,0,3,4,173,165,334,36,53,89,422,456,880
UCL621008,143,142,286,16,16,36,5,9,7,3,0,3,5,3,6,0,0,3,3,0,5,55,54,109,0,0,0,0,0,0,0,0,0,69,69,137,3,6,6,0,3,4,88,91,182,10,16,21,239,250,489
UCL621009,205,231,431,21,16,31,7,6,11,4,3,8,12,6,18,0,0,0,3,3,5,56,49,108,0,0,0,0,0,0,0,0,0,80,71,155,9,9,21,0,0,0,109,92,198,23,18,42,332,346,678
UCL621010,160,175,332,34,32,70,3,5,7,3,7,11,6,6,14,0,5,3,6,10,11,30,26,54,0,0,0,0,0,0,0,0,0,46,56,105,3,3,8,3,0,4,90,98,183,35,31,70,285,296,587
UCL621011,156,157,308,22,25,43,7,11,20,4,3,12,0,9,6,0,0,0,6,9,18,29,42,65,0,0,3,0,0,0,0,0,0,51,70,118,0,3,3,5,3,6,74,105,177,35,32,64,261,289,554
UCL621012,236,264,500,30,41,67,13,12,24,11,6,17,16,16,27,3,4,9,10,10,18,110,109,222,0,0,0,0,0,3,0,0,0,162,150,311,9,7,15,0,0,3,198,195,391,20,15,36,448,480,928
UCL621013,215,211,425,30,27,50,7,5,8,4,3,5,4,8,9,0,0,0,3,0,3,41,43,79,0,0,0,0,0,0,0,0,0,55,55,111,9,13,17,0,0,0,88,93,182,20,14,35,321,317,643
UCL621014,149,161,309,20,26,46,0,3,3,12,6,18,3,3,10,0,0,0,5,8,12,49,51,101,0,0,3,0,0,0,0,0,0,72,68,142,3,0,4,0,0,3,96,99,194,32,26,62,274,288,570
UCL621015,155,165,321,37,50,86,0,3,7,0,6,8,0,4,8,0,0,3,0,0,0,18,15,35,3,0,3,0,0,0,0,0,0,25,31,62,0,0,0,0,0,0,66,80,147,26,31,59,245,278,520
UCL621016,160,162,317,26,21,42,7,4,16,0,0,0,4,10,15,0,0,0,0,4,5,51,52,106,0,0,0,0,0,0,0,0,0,67,69,140,0,0,0,0,0,3,100,87,183,14,15,23,270,264,529
UCL621017,260,254,511,34,26,57,0,0,7,9,10,13,7,6,14,7,4,10,3,0,7,36,43,81,0,0,0,0,0,0,0,0,0,61,66,127,5,3,3,7,0,10,98,102,198,45,38,84,403,395,798
UCL621018,186,200,388,67,74,137,3,5,8,7,5,16,12,13,24,0,3,3,3,9,14,66,65,128,0,0,0,0,0,0,0,0,0,93,112,203,0,0,5,3,3,9,164,182,345,25,35,56,374,417,794
