UCL_CODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
UCL101001,4938,5677,4268,898,1459,339,17581,901,862,874,125,298,42,3098,1534,1645,1629,285,664,66,5826,1327,1475,1426,271,555,57,5115,2018,2257,2164,481,929,87,7944,2812,3606,2955,678,1403,160,11608,3876,6013,4249,1012,1658,178,16988,4311,7384,4613,1337,1895,218,19754,4459,8721,4211,1277,1677,217,20554,5381,11149,4860,1547,1989,260,25182,4365,9553,3307,1144,1306,199,19867,10147,22818,9042,2425,2840,485,47754,4295,10152,2856,922,908,138,19274,4608,10706,2998,777,749,149,19984,8854,20671,6207,1649,1582,302,39265,15786,38933,11071,2407,2246,494,70940,6850,18753,5329,963,940,222,33062,6387,19139,4974,955,822,209,32473,3889,8242,4436,938,1424,303,19229,96747,207739,81473,20083,25328,4119,435488
UCL102001,45,27,25,3,7,3,103,12,7,5,3,5,0,38,23,17,20,4,6,0,70,17,13,12,5,3,0,57,24,20,16,10,14,0,82,32,38,30,9,20,3,134,59,53,45,11,21,0,187,66,83,38,11,26,0,227,81,87,40,18,16,0,245,81,137,48,32,24,5,325,70,139,34,16,24,5,291,134,211,80,37,18,8,489,59,130,32,13,9,3,248,41,89,18,10,3,0,164,110,211,66,16,10,3,419,130,288,107,16,21,0,565,38,89,47,10,10,0,187,29,58,14,3,4,0,104,33,60,27,10,11,3,144,1084,1765,706,226,266,34,4081
UCL102002,425,180,179,39,105,20,948,128,64,54,16,36,5,314,240,97,167,28,78,12,625,205,95,104,33,73,10,513,327,229,241,65,144,10,1014,385,365,350,133,178,22,1432,527,599,406,169,218,16,1929,659,939,467,241,275,19,2604,691,1192,503,225,241,22,2860,842,1631,600,267,282,17,3633,640,1398,406,165,142,19,2768,989,2158,766,237,211,25,4381,448,1045,241,85,53,8,1880,260,710,182,41,32,11,1238,628,1514,437,94,102,17,2791,643,1410,462,92,99,9,2720,206,375,144,32,17,5,781,149,210,104,19,18,3,505,348,457,250,89,117,13,1275,8750,14657,6068,2088,2410,244,34225
UCL102003,91,39,30,10,14,4,184,29,10,7,0,0,0,51,65,24,20,13,8,3,137,34,20,11,11,13,0,86,84,45,21,13,21,4,195,96,53,61,16,32,3,264,102,76,48,23,43,3,288,136,130,57,48,42,4,414,125,146,61,25,29,3,387,123,197,75,41,44,6,476,104,180,65,28,22,3,405,167,308,94,44,29,6,646,59,137,28,21,4,0,251,43,110,26,3,11,0,187,124,248,78,22,15,4,486,100,248,76,16,11,0,457,39,65,25,3,3,0,143,20,47,20,0,7,0,92,83,68,51,25,19,6,244,1641,2130,847,352,372,45,5391
UCL102004,428,300,229,72,87,15,1131,129,56,68,15,38,4,311,264,147,158,39,79,8,704,220,148,136,35,62,3,606,342,255,261,62,159,9,1085,447,439,377,116,181,13,1571,529,634,428,180,211,15,1986,689,1026,506,193,248,23,2685,633,1160,438,226,210,21,2692,893,1655,531,284,216,31,3604,667,1394,347,192,135,16,2747,1153,2400,686,226,162,27,4659,500,1071,192,78,42,9,1893,298,750,143,25,30,3,1253,741,1686,411,105,74,5,3024,638,1695,467,80,73,16,2960,232,543,140,15,21,3,950,152,346,108,17,6,0,629,300,514,251,84,98,18,1255,9260,16218,5867,2040,2130,241,35753
UCL102005,295,209,189,36,51,14,795,75,58,58,14,20,4,230,195,93,140,37,64,6,544,108,100,97,26,47,3,382,241,204,201,60,88,8,803,298,297,262,67,119,12,1053,325,469,346,101,129,11,1375,419,674,377,163,169,12,1812,406,818,348,143,154,14,1873,539,1147,430,195,155,18,2481,421,987,284,126,103,9,1933,734,1772,550,185,159,33,3427,337,900,187,69,55,5,1547,209,548,119,32,18,3,934,569,1497,348,95,95,15,2611,644,1622,415,96,89,9,2869,189,456,155,16,31,3,847,116,263,98,16,15,0,509,211,388,209,59,74,8,952,6333,12496,4796,1540,1626,198,26991
UCL111001,55,30,32,6,4,0,129,24,6,5,3,4,0,46,47,25,18,8,7,0,105,30,27,19,7,8,0,89,81,53,36,28,18,0,215,119,129,64,25,31,7,371,126,199,63,37,26,5,460,181,282,87,53,40,3,650,149,266,67,30,24,0,538,152,275,82,23,14,4,553,81,184,38,19,9,0,331,118,223,69,9,11,0,433,30,81,15,4,6,0,137,16,27,14,3,0,0,61,51,85,25,7,5,0,175,38,82,34,3,3,0,159,13,22,8,0,0,0,42,5,14,6,0,0,0,30,54,76,22,12,7,0,176,1375,2101,698,275,229,25,4705
UCL111002,102,50,48,10,16,3,226,34,14,17,0,5,0,81,58,24,44,8,18,4,157,42,30,29,5,19,0,124,83,68,65,33,32,4,279,109,122,114,42,51,8,443,134,194,121,53,50,14,565,219,356,154,83,61,7,890,213,409,130,53,60,3,861,291,506,124,82,62,8,1069,172,425,112,50,27,3,787,297,616,187,51,45,6,1192,117,282,54,17,13,0,486,73,152,32,12,7,0,278,155,417,110,23,10,4,710,149,307,82,10,14,0,561,35,70,32,3,3,0,157,16,46,17,0,0,0,74,94,123,59,18,17,5,324,2385,4192,1532,543,522,81,9254
UCL112001,23,9,11,0,3,0,46,8,3,3,4,0,0,22,9,13,4,3,4,0,29,7,3,4,3,3,0,26,28,16,16,7,5,0,79,42,28,15,13,7,0,97,42,61,22,16,6,0,149,61,71,17,20,17,0,182,53,80,18,10,10,5,182,35,99,26,9,7,0,174,17,49,10,7,3,0,86,47,47,13,3,6,3,115,7,25,3,3,0,0,38,3,5,0,0,0,0,12,12,26,13,0,3,0,58,12,33,4,5,0,0,50,8,6,0,0,0,0,13,0,14,0,0,0,0,17,13,9,5,7,5,0,43,434,593,184,108,85,12,1420
UCL112002,38,18,15,3,3,0,85,9,0,9,0,3,0,17,28,11,13,4,9,3,65,8,12,8,3,3,0,39,36,18,26,10,4,0,108,43,53,34,19,22,0,172,68,90,36,26,25,3,248,85,120,49,29,31,0,319,85,170,37,26,18,3,331,97,200,46,38,17,0,404,73,158,30,8,11,3,291,100,191,52,24,19,0,379,32,95,23,7,0,0,149,22,56,7,0,3,0,88,52,141,41,11,4,0,251,40,104,25,6,7,0,174,10,24,3,0,3,0,53,3,13,0,0,0,0,22,26,46,15,9,7,0,105,874,1522,477,225,190,21,3305
