UCL_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
UCL113002,0,3,0,25,0,0,0,5,0,0,0,0,0,18,65,84,0,0,0,0,0,3,0,3,0,29,12,49,134,69,5,121,8,88,8,121,23,847,96,1518
UCL113003,0,3,0,54,8,0,0,0,0,4,0,0,0,24,95,132,0,0,3,0,0,0,0,0,0,41,19,76,328,58,16,209,24,178,18,126,36,779,143,1909
UCL113004,0,3,0,15,4,0,0,0,0,0,0,3,4,8,30,50,0,0,0,0,0,3,0,0,0,14,4,21,120,22,8,80,3,54,5,52,10,369,42,768
UCL113005,0,10,0,63,8,0,0,4,0,8,0,3,0,43,108,169,0,0,0,0,0,0,0,3,0,76,23,101,214,117,25,223,19,133,20,197,33,1891,151,3010
UCL113006,0,6,0,36,4,0,0,3,3,0,0,3,0,28,57,93,0,0,0,0,0,0,0,0,0,19,15,35,203,67,13,204,16,137,5,135,13,742,79,1620
UCL113007,0,6,0,55,3,3,0,0,0,0,0,0,0,22,70,102,5,3,3,0,0,0,0,0,0,19,20,52,394,71,14,233,21,144,15,97,16,585,111,1691
UCL113008,0,0,0,10,0,0,0,3,0,3,0,0,0,14,24,45,0,0,0,0,0,0,0,0,0,9,16,32,76,37,9,93,8,63,11,73,12,433,47,862
UCL113009,0,14,0,76,3,0,0,3,0,0,0,7,0,10,84,109,0,0,0,0,0,0,0,0,0,17,3,28,222,71,8,164,25,123,11,153,15,864,102,1759
UCL113010,0,0,0,23,3,0,0,4,0,4,0,5,0,13,56,78,0,0,0,0,0,0,0,3,0,24,12,42,277,38,13,178,13,148,12,105,11,663,72,1542
UCL113011,0,0,0,26,0,0,0,0,0,3,0,3,0,21,40,71,0,0,4,0,0,0,0,0,0,24,8,30,156,37,9,111,10,113,9,78,15,571,61,1165
UCL113012,0,11,0,53,0,0,0,0,0,3,0,0,0,26,100,134,0,0,5,4,0,0,0,3,0,26,7,46,284,78,11,237,15,171,8,158,21,1190,125,2308
UCL113013,0,6,0,67,3,0,0,4,0,4,0,0,0,4,46,59,0,0,0,0,0,0,0,0,0,10,7,22,228,49,4,175,15,84,5,64,8,322,61,1017
UCL113014,0,0,0,49,3,0,0,0,3,0,0,0,0,10,56,78,0,0,0,0,0,4,0,0,0,13,3,18,213,26,5,133,10,98,6,64,15,337,66,971
UCL113015,4,23,0,78,4,0,0,0,3,0,0,5,0,20,97,128,0,0,0,3,0,0,0,3,0,28,17,52,189,98,6,186,19,104,14,127,22,1036,118,1926
UCL113016,0,6,0,11,0,0,0,0,0,0,0,3,0,9,53,63,0,0,0,0,0,0,0,0,0,10,10,18,193,46,6,155,13,132,10,86,10,449,70,1165
UCL113017,0,3,0,87,0,0,0,3,0,3,0,7,0,12,81,104,3,0,0,0,0,3,0,0,0,5,5,26,245,28,7,173,11,157,8,75,19,348,87,1171
UCL113018,0,0,0,12,0,0,0,0,0,4,0,0,0,20,56,92,0,0,0,0,0,0,0,0,3,22,11,43,100,43,4,97,3,79,3,99,17,825,78,1361
UCL113019,0,5,0,25,3,0,0,0,0,3,0,3,0,26,87,128,0,0,0,0,0,0,0,0,0,31,23,60,198,82,15,207,21,140,18,146,24,993,118,1952
UCL113020,0,12,0,30,0,0,0,3,0,0,0,0,0,27,86,121,3,0,0,3,0,0,0,3,0,37,15,66,131,86,14,156,7,82,13,142,24,1166,120,1949
UCL114001,0,3,0,14,0,0,0,0,0,0,0,3,0,10,32,43,0,0,0,0,0,0,0,0,0,10,3,13,52,17,0,65,3,50,0,52,4,338,33,620
