UCL_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
UCL315021,181,0,0,4,0,192,107,0,0,0,0,106,53,0,0,0,0,56,13,3,0,0,0,19,21,3,0,0,0,25,0,0,0,0,0,0,26,4,0,0,0,29,3,0,0,0,0,7,121,11,0,0,3,131,0,0,0,0,0,0,11,3,0,0,0,14,422,12,0,4,3,447
UCL315022,129,0,3,19,0,147,109,0,0,5,3,120,65,3,20,0,0,92,19,0,19,0,0,43,61,0,6,0,3,81,11,0,12,0,0,24,40,4,14,3,0,63,9,3,0,0,0,14,213,9,77,8,8,313,3,0,0,0,0,3,13,0,5,3,0,20,474,8,81,30,16,610
UCL315023,518,0,5,15,0,531,281,0,0,6,0,283,167,0,3,4,0,178,0,0,0,0,0,0,60,0,0,0,0,63,0,0,0,0,0,0,5,0,0,0,0,5,7,0,0,0,0,7,231,0,3,6,0,243,4,0,0,0,0,4,34,0,0,0,0,41,1069,0,4,26,0,1105
UCL315024,405,9,21,0,0,438,309,6,18,0,3,337,113,8,26,0,0,148,31,3,11,0,0,47,60,3,9,0,0,75,3,0,0,0,0,3,3,0,0,9,0,18,9,0,0,0,0,7,220,14,57,11,0,293,8,0,0,0,0,11,26,0,0,0,0,29,969,34,90,9,5,1106
UCL315025,299,3,0,3,0,308,171,0,0,0,0,171,84,3,3,0,0,88,6,0,0,0,0,6,57,0,3,0,0,67,3,8,0,0,0,12,4,0,0,3,0,12,3,0,0,0,0,3,160,12,9,3,0,189,0,4,0,0,0,10,17,3,0,0,0,27,653,23,10,13,3,695
UCL315026,92,0,0,0,0,92,179,0,0,0,0,181,37,0,0,0,0,37,0,0,0,0,0,0,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,56,0,0,0,0,0,0,8,0,0,0,0,8,332,0,0,0,0,334
UCL315027,193,0,3,9,0,199,339,0,0,0,0,344,40,0,0,0,0,42,0,0,0,0,0,0,27,0,3,0,0,29,0,0,0,0,0,0,4,0,0,0,0,3,3,0,0,0,0,3,74,0,5,0,0,81,0,0,0,0,0,5,10,0,0,0,0,10,617,0,7,8,3,638
UCL315028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,5,35,0,0,234,0,0,0,0,0,0,4,0,0,0,0,4,0,3,0,0,0,4,0,0,0,0,0,0,195,6,35,0,0,241,3,0,0,0,0,3,4,18,0,0,0,27,205,22,39,4,0,268
UCL315029,110,0,0,0,0,110,83,0,0,0,0,83,174,0,15,0,0,191,11,0,10,0,0,15,45,0,0,0,0,52,3,0,0,0,0,3,188,10,14,0,0,210,3,0,0,0,0,9,421,8,37,0,0,473,0,0,0,0,0,0,17,0,3,0,0,18,635,8,43,0,0,683
UCL315030,505,16,3,17,0,546,423,3,11,0,0,437,401,11,31,0,0,440,8,9,0,0,0,15,99,7,9,0,0,117,5,12,3,0,0,18,9,4,3,3,0,16,4,0,3,0,0,9,525,44,52,3,0,623,13,11,0,0,0,24,33,6,0,0,10,52,1501,82,59,22,11,1674
UCL315031,175,3,0,0,0,174,383,0,0,0,0,379,239,0,0,0,0,244,0,0,0,0,0,0,45,0,0,0,0,45,0,0,0,0,0,0,3,0,0,0,0,3,6,0,0,0,0,6,297,0,0,0,0,296,0,0,0,0,0,0,14,0,0,0,0,14,868,3,0,0,0,872
UCL315032,206,0,0,11,0,215,153,0,0,3,0,160,87,5,8,0,0,98,16,6,9,0,0,32,63,0,3,0,0,64,3,0,0,0,0,3,26,0,0,13,0,38,7,0,0,0,0,4,190,15,18,13,0,239,4,0,0,0,0,4,18,0,0,0,0,20,569,15,20,25,3,641
UCL315033,414,0,0,0,0,413,561,0,0,0,0,567,129,0,3,0,0,129,3,0,0,0,0,3,64,0,0,0,0,67,0,0,0,0,0,0,9,0,0,0,0,9,3,0,0,0,0,3,209,0,3,0,0,211,0,0,0,0,0,0,30,0,0,0,0,25,1216,0,3,0,0,1221
UCL315034,144,0,0,0,0,146,207,0,0,0,0,207,45,0,0,0,0,47,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,67,0,0,0,0,0,0,8,0,0,0,0,8,421,0,0,0,0,423
UCL315035,155,0,0,0,0,159,401,0,0,0,0,401,32,0,0,0,0,33,0,0,0,0,0,0,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,48,0,0,0,0,0,0,16,0,0,0,0,16,617,0,0,3,0,624
UCL315036,4,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,185,4,0,0,0,196,0,0,0,0,0,0,8,0,0,0,0,8,23,11,4,0,0,38,4,3,0,0,0,6,215,19,4,5,0,245,0,0,0,0,0,3,3,0,0,0,0,3,224,22,4,6,0,261
UCL315037,6,0,0,0,0,10,4,0,3,0,3,11,0,3,8,0,3,11,0,0,0,0,0,0,3,0,6,0,3,11,0,0,0,0,0,0,5,0,43,0,10,63,0,0,0,0,0,0,10,3,60,0,19,92,0,0,0,0,0,0,7,0,30,0,0,42,21,3,100,6,21,149
UCL315038,130,0,0,0,5,135,163,3,0,0,3,169,82,0,3,0,0,86,0,0,0,0,0,0,37,0,0,0,0,37,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,4,126,0,3,0,0,127,0,0,0,0,0,0,10,0,0,0,0,9,435,5,8,0,8,450
UCL315039,456,0,3,15,0,474,287,0,0,0,0,292,126,8,30,0,0,162,14,3,0,0,0,21,67,0,3,0,0,76,3,0,0,0,0,3,12,0,0,0,0,12,17,0,3,0,0,15,243,14,36,3,0,297,4,0,0,0,0,7,27,0,0,5,0,36,1019,14,41,27,3,1105
UCL315040,191,3,0,3,0,195,98,0,0,0,0,102,53,3,0,3,0,59,3,10,0,0,0,10,29,0,0,0,0,29,0,13,0,0,0,11,10,0,0,0,0,10,7,0,0,0,0,7,100,23,0,3,0,129,3,0,0,0,0,4,24,3,0,0,0,26,407,33,0,9,0,445
UCL315041,752,0,11,18,6,783,337,0,7,0,0,346,165,7,83,0,0,248,49,0,16,0,0,71,115,4,18,0,0,141,10,0,7,0,0,22,23,3,5,0,0,30,18,0,0,0,0,23,385,13,136,0,3,537,8,0,0,0,0,5,53,0,10,0,3,69,1539,21,165,17,12,1745
UCL315042,190,0,0,13,0,206,291,0,0,0,0,297,84,0,3,0,0,84,0,0,0,0,0,0,40,0,0,0,0,40,0,0,0,0,0,0,7,0,0,0,0,3,3,0,0,0,0,3,128,0,3,0,0,135,0,0,0,0,0,0,15,0,0,0,0,11,629,0,6,13,0,651
UCL315043,247,0,0,0,0,246,732,0,0,0,0,732,138,25,0,0,0,161,0,0,0,0,0,0,60,3,0,0,0,58,0,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,3,205,24,0,0,0,232,11,0,0,0,0,14,23,0,0,0,4,23,1219,27,0,0,7,1248
UCL315044,378,0,0,3,0,385,883,0,0,4,0,890,166,0,0,0,0,166,0,0,0,0,0,0,69,0,0,0,0,69,0,0,0,0,0,0,3,0,0,0,0,3,6,0,0,0,0,6,235,0,0,0,0,235,5,0,0,0,0,5,36,0,0,0,0,41,1549,0,0,6,0,1555
UCL315045,209,0,0,0,0,211,173,0,0,0,0,178,125,23,0,0,0,150,0,0,0,0,0,0,65,4,0,0,0,68,0,0,0,0,0,0,13,0,0,10,0,20,3,0,0,0,0,3,210,27,3,12,0,249,3,0,0,0,0,3,35,5,0,0,0,38,632,31,4,10,3,678
UCL315046,159,0,0,0,0,159,295,0,0,3,0,298,44,0,0,0,0,44,7,0,0,0,0,7,45,0,0,0,0,45,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,98,0,0,0,0,98,0,0,0,0,0,0,12,0,0,0,0,12,563,0,0,3,0,571
UCL315047,172,27,4,6,0,207,221,21,6,0,0,249,55,48,24,0,0,128,0,0,0,0,0,0,25,3,4,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,81,55,28,0,0,167,3,0,0,0,0,3,19,0,3,0,0,23,495,107,42,6,3,648
UCL315048,277,0,3,5,0,286,318,0,0,0,0,319,68,3,11,0,0,83,23,0,0,0,0,20,61,0,6,0,0,67,17,0,0,0,0,17,10,0,0,16,0,28,6,0,0,0,0,6,189,3,22,15,0,224,3,0,0,0,0,3,29,0,0,0,3,31,809,3,25,23,10,863
UCL315049,329,21,0,3,3,361,239,3,0,0,0,244,336,20,19,0,0,380,15,7,13,0,0,33,75,6,0,0,0,86,6,8,0,0,0,12,6,0,0,0,0,8,11,0,0,0,0,11,455,37,36,3,0,533,3,7,0,0,0,9,48,4,12,40,0,99,1080,82,46,43,10,1259
UCL315050,401,4,3,36,0,449,551,3,3,3,0,555,132,25,3,0,0,156,7,6,12,0,0,22,92,5,0,3,0,97,3,0,0,0,0,3,9,0,0,7,0,14,8,4,0,0,0,11,241,38,13,10,0,306,4,0,0,0,0,4,23,3,3,3,0,35,1225,51,24,52,3,1353
UCL315051,226,31,0,3,0,263,399,0,0,0,0,398,72,0,0,0,0,73,0,0,0,0,0,0,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,97,0,0,0,0,97,9,0,0,0,0,9,25,0,0,0,0,26,750,35,0,3,5,789
UCL315052,269,0,0,10,0,276,245,0,0,0,0,249,130,9,18,0,0,160,47,14,11,0,0,67,101,5,8,0,3,115,14,7,3,0,0,20,67,7,10,4,3,90,12,0,0,4,0,16,361,41,52,3,9,464,5,0,5,0,0,5,29,0,4,3,0,32,914,41,55,14,8,1034
UCL315053,304,4,0,10,0,317,336,4,0,3,0,337,435,4,7,0,0,448,8,0,0,0,0,8,90,3,3,0,0,92,4,0,8,0,0,14,37,0,0,0,0,37,8,0,0,0,0,8,582,8,18,0,0,607,4,0,0,0,0,4,38,0,3,0,0,36,1262,9,24,17,0,1310
UCL315054,517,0,0,3,10,524,280,0,0,0,0,283,265,0,0,0,3,269,0,0,0,0,0,0,103,3,0,0,3,110,0,0,0,0,0,0,5,0,0,0,0,5,8,0,0,0,0,8,379,3,0,0,5,390,12,0,0,0,0,12,42,0,0,0,0,48,1230,3,0,4,13,1254
UCL315055,252,0,0,3,0,257,166,0,0,0,0,165,44,9,0,0,0,54,11,18,0,0,0,33,47,16,0,0,0,63,3,5,0,0,0,9,15,0,0,0,0,19,7,3,0,0,0,12,130,53,0,0,0,184,3,0,0,0,0,7,14,3,0,0,0,14,563,55,0,5,3,633
UCL315056,588,27,3,0,0,618,258,12,3,0,3,273,138,29,0,0,0,163,8,5,0,0,0,16,65,3,5,3,0,81,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,221,43,6,3,3,272,9,0,0,0,0,11,16,3,0,0,0,20,1093,77,16,3,8,1192
UCL315057,139,0,0,0,0,138,390,0,0,0,0,390,111,0,3,0,0,114,3,0,10,0,0,9,48,0,0,0,0,48,0,0,0,0,0,0,6,0,0,0,0,6,4,0,0,0,0,3,168,0,8,0,0,182,0,0,0,0,0,0,9,0,0,0,0,11,713,0,12,0,0,727
UCL315058,50,0,3,0,0,56,188,9,3,0,0,193,139,19,6,0,0,159,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,20,7,0,0,179,0,0,0,0,0,0,3,0,0,0,0,3,397,22,11,0,0,433
UCL315059,154,0,0,0,0,152,467,0,0,0,0,467,56,0,0,0,0,56,0,0,0,0,0,0,23,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,81,0,0,0,0,81,3,0,0,0,0,3,4,0,0,0,0,4,710,0,0,0,0,710
UCL315060,6,0,0,0,0,6,3,0,0,0,0,8,57,17,0,0,3,83,4,4,5,0,0,8,15,0,0,0,0,12,5,0,0,0,0,5,329,21,0,0,3,351,3,0,0,0,0,5,411,39,3,0,11,466,0,0,0,0,3,3,3,0,0,0,0,7,428,39,7,3,9,494
UCL315061,115,0,6,3,0,125,62,0,0,0,0,65,71,45,16,0,3,127,14,14,0,0,0,30,30,0,0,0,0,37,4,3,0,0,0,6,17,3,3,6,0,27,3,0,0,0,0,3,143,60,22,6,6,237,5,0,0,0,0,5,10,3,0,3,0,19,335,65,23,15,7,442
UCL315062,181,0,0,0,0,185,145,0,0,3,0,143,83,0,9,0,0,94,0,0,4,0,0,6,42,0,5,0,0,45,0,0,0,0,0,0,13,0,0,9,0,22,3,0,0,0,0,3,143,0,19,9,0,166,4,0,0,0,0,4,11,0,0,0,0,14,480,0,23,8,0,519
UCL315063,174,0,0,3,0,172,84,0,0,0,0,83,42,0,0,0,0,43,12,0,0,0,0,14,56,0,0,0,0,59,3,0,0,0,0,3,18,0,0,0,0,21,3,0,0,0,0,3,139,0,0,0,0,143,4,0,0,0,0,4,16,0,0,0,0,16,415,0,0,3,0,425
UCL315064,278,8,0,0,0,280,519,0,0,4,0,518,90,0,0,0,0,91,0,0,0,0,0,0,67,0,0,0,0,71,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,3,168,0,0,0,0,172,5,19,0,0,0,26,17,0,0,0,0,23,984,28,0,6,3,1020
UCL315065,249,6,0,11,6,275,169,3,0,0,4,171,189,18,5,0,0,208,0,0,0,0,0,0,39,3,3,0,0,43,0,0,0,0,0,0,3,0,0,0,0,8,6,0,0,0,0,6,235,17,10,3,0,270,0,0,0,0,0,3,24,0,0,0,0,23,678,29,8,17,12,743
UCL315066,167,0,3,22,0,195,133,0,4,0,0,137,72,0,48,0,5,121,30,18,15,0,0,60,54,3,5,3,0,61,0,6,3,0,0,9,14,0,3,0,0,18,10,0,3,0,0,11,174,24,77,3,6,285,3,0,0,0,0,3,12,3,9,0,0,25,491,33,90,25,6,641
UCL315067,452,3,0,10,0,460,233,3,0,3,0,240,119,0,12,0,0,131,6,0,3,0,0,10,89,0,0,0,0,95,10,0,3,0,0,17,17,0,0,0,0,14,7,0,0,0,0,7,245,3,17,3,0,270,0,0,0,0,0,4,35,0,0,0,0,43,967,5,24,19,0,1015
UCL315068,149,0,0,0,0,150,133,0,0,0,0,132,73,4,3,0,0,77,30,4,6,0,0,34,39,0,0,0,0,45,0,0,0,0,3,7,53,8,9,0,0,69,3,0,0,0,0,8,198,17,13,0,6,236,0,0,0,0,0,0,17,0,0,0,3,14,492,22,13,0,5,536
UCL315069,47,0,0,23,0,70,101,0,0,3,0,107,109,0,0,0,0,109,0,0,0,0,0,0,17,0,0,0,0,17,0,0,0,0,0,0,0,0,0,9,0,12,3,0,0,0,0,3,127,0,0,9,0,135,0,0,0,0,0,0,3,0,0,0,0,3,286,0,0,35,0,318
UCL315070,131,0,0,4,0,139,85,0,3,3,0,91,56,0,12,0,0,63,3,0,0,0,0,3,44,0,5,0,3,50,4,0,7,0,0,9,22,0,3,24,0,47,0,0,0,3,0,4,123,0,27,28,3,175,0,0,0,0,0,3,10,0,9,13,3,36,352,0,35,50,8,442
UCL315071,252,0,0,0,0,251,170,0,4,0,0,178,157,4,10,0,0,173,13,5,5,0,3,33,53,0,3,0,0,64,6,0,6,0,0,10,13,0,8,0,0,23,4,0,3,0,0,5,257,11,35,0,3,307,6,0,0,0,0,6,25,0,3,0,0,29,705,11,44,3,3,766
UCL315072,469,0,0,12,0,487,299,3,0,0,0,302,212,21,29,0,0,266,19,19,3,0,0,42,97,4,0,0,0,102,0,0,11,0,0,11,16,3,4,15,0,45,10,0,4,0,0,11,352,43,56,17,0,474,8,0,0,0,0,6,48,4,0,4,0,58,1188,53,53,38,0,1334
UCL315073,140,3,13,10,0,173,102,4,7,3,0,112,60,15,36,0,0,110,0,0,0,0,0,0,38,6,7,0,0,52,0,0,0,0,0,0,0,0,4,0,0,4,5,0,0,0,0,4,103,15,44,3,3,171,3,0,0,0,0,3,13,0,4,0,23,41,360,23,69,11,24,499
UCL315074,442,0,7,6,0,455,437,0,3,0,3,442,325,0,59,0,0,386,29,0,6,0,0,36,84,0,6,0,0,93,9,0,9,0,0,15,10,0,3,0,0,15,12,0,0,0,0,10,461,0,81,0,0,547,6,0,0,0,0,7,44,0,8,5,0,56,1393,0,99,12,3,1513
UCL315075,3,0,0,14,0,19,0,0,0,0,0,0,0,0,0,0,0,0,371,16,22,0,0,411,0,0,0,0,0,0,13,0,0,0,0,13,6,8,7,0,0,27,3,3,0,0,0,5,393,26,27,0,0,455,3,0,0,4,0,4,4,3,0,0,0,7,397,34,27,19,0,483
UCL315076,413,18,3,25,0,460,633,10,0,0,0,644,143,12,0,0,0,160,16,5,0,0,0,16,79,3,3,0,0,87,3,3,0,0,0,8,3,0,0,22,0,26,3,0,0,0,0,3,253,26,3,22,0,299,8,35,5,0,0,45,16,3,0,6,3,31,1318,93,12,47,4,1478
UCL315077,348,3,7,3,0,363,298,0,0,3,0,306,168,21,11,0,0,200,4,0,0,0,0,3,54,0,0,0,0,50,3,4,0,0,0,4,12,0,0,8,0,15,9,0,0,0,0,9,244,30,11,8,4,286,4,0,9,0,0,11,30,0,3,0,0,37,927,33,27,14,3,1000
UCL315078,218,3,0,10,0,238,253,0,0,0,0,254,59,0,0,3,0,64,0,0,0,0,0,0,58,3,4,0,3,68,0,0,0,0,0,0,3,0,0,4,0,5,4,0,0,0,0,5,124,3,8,9,3,139,3,0,0,0,0,4,6,0,0,0,0,11,605,9,8,25,6,648
UCL315079,225,63,47,32,0,366,239,78,53,3,0,376,121,183,159,0,7,469,20,9,18,0,0,46,45,31,37,0,3,118,6,0,0,0,0,5,5,7,9,9,0,30,4,9,5,3,0,18,207,241,228,11,4,693,0,0,0,3,0,6,22,8,14,4,0,49,694,398,334,50,6,1485
UCL315080,361,3,8,4,6,384,338,6,9,0,0,357,163,42,50,0,0,256,26,10,22,0,0,63,69,4,5,0,0,78,6,23,5,0,0,39,19,0,5,0,0,22,3,3,0,0,0,9,286,82,85,0,0,458,0,0,5,0,0,6,41,12,10,0,0,55,1030,106,111,10,6,1264
UCL315081,169,9,12,11,0,197,66,6,3,0,0,76,65,36,30,3,0,128,0,0,0,0,0,0,13,12,11,3,0,41,0,0,0,0,0,0,5,0,3,0,0,5,4,0,0,0,0,3,82,54,45,7,0,183,0,0,0,0,0,5,5,0,0,0,0,9,320,72,62,12,0,471
UCL315082,117,0,0,0,0,117,189,0,0,0,0,193,6,0,0,0,0,6,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,0,0,0,0,0,0,5,0,0,0,0,5,324,0,0,0,0,329
UCL315083,251,0,0,0,0,253,195,0,0,3,0,198,101,10,0,0,0,111,0,0,0,0,0,0,24,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,10,0,0,0,142,3,0,0,0,0,3,14,0,0,0,0,14,589,10,0,8,0,602
UCL315084,237,18,0,3,0,257,231,0,0,0,0,233,193,7,0,0,0,206,9,0,0,0,0,7,73,5,0,0,0,83,0,6,0,0,0,10,7,0,0,0,0,7,5,3,0,0,0,4,290,23,0,0,0,314,0,10,0,0,0,15,11,6,0,0,0,16,767,57,3,3,0,832
UCL315085,501,0,0,3,0,504,320,0,0,0,0,326,282,0,0,3,0,289,0,0,0,0,0,0,118,0,0,0,0,118,0,0,0,0,0,0,6,0,0,0,0,6,8,0,0,0,0,14,421,0,0,4,0,425,3,0,0,0,0,8,48,0,0,3,0,51,1288,0,0,11,3,1301
UCL315086,244,0,0,0,0,244,355,0,0,0,0,355,21,0,0,0,0,21,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,22,0,0,0,0,0,0,9,0,0,0,0,9,640,0,0,0,0,640
UCL315087,309,0,10,3,0,326,357,3,4,0,0,363,156,13,44,0,0,215,42,0,12,0,0,52,97,0,18,0,0,117,14,0,0,0,0,16,28,0,7,0,0,36,8,0,0,0,0,5,349,15,79,0,0,443,5,0,0,0,0,5,36,3,29,23,0,91,1050,24,122,27,3,1224
UCL315088,220,0,0,3,3,231,239,0,0,3,0,245,99,0,14,0,3,118,64,0,3,0,0,68,74,0,0,3,0,80,12,0,0,0,0,12,32,3,0,4,0,33,6,0,0,0,0,13,281,3,16,6,4,314,3,0,0,0,0,9,24,0,0,6,0,33,775,3,22,21,13,835
UCL315089,756,31,19,5,0,812,430,3,6,3,0,448,309,35,84,0,0,431,31,8,24,0,0,64,129,11,14,0,0,154,0,3,13,0,0,18,18,3,0,0,0,21,6,0,0,0,0,13,494,58,141,6,0,698,3,0,5,0,0,8,45,3,14,0,0,60,1738,91,180,14,4,2032
UCL315090,49,0,0,0,0,45,20,3,0,0,0,24,8,0,0,0,0,8,185,12,48,0,0,246,34,0,0,0,0,34,33,7,4,0,0,47,148,24,30,3,0,206,19,3,4,0,0,20,420,51,87,3,0,559,4,0,0,0,0,6,72,11,5,0,0,89,563,62,95,3,0,720
UCL315091,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,0,5,248,0,5,0,0,249,6,0,0,0,0,6,261,0,5,0,0,268,0,0,0,0,0,3,6,0,0,0,0,6,271,0,5,3,0,283
UCL315092,388,32,3,78,0,504,110,3,0,3,0,117,146,56,9,14,0,228,15,9,0,0,0,26,52,23,0,0,0,72,0,0,0,0,0,0,3,0,3,10,0,15,4,4,0,0,0,11,218,94,12,24,3,359,4,10,0,0,0,11,18,5,0,6,0,35,734,149,17,112,3,1024
UCL315093,170,6,0,3,0,186,95,3,0,0,3,103,65,10,0,0,0,77,3,0,0,0,0,5,29,0,0,0,0,29,0,3,0,0,0,3,6,3,0,0,0,8,3,0,0,0,0,4,109,20,4,0,0,130,0,6,0,0,0,6,13,0,0,0,0,13,389,33,4,3,3,430
UCL315094,298,0,0,3,0,306,180,0,3,0,0,179,228,0,4,0,0,234,0,0,0,0,0,0,41,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,272,0,9,0,0,280,4,0,0,0,0,4,20,0,0,0,0,20,764,0,11,3,3,786
UCL315095,254,0,0,0,0,252,180,3,0,0,0,184,77,7,39,0,0,126,24,4,7,0,0,43,57,4,15,3,0,75,5,0,0,0,0,6,38,0,10,9,0,53,3,0,0,0,0,10,216,20,68,13,0,311,5,0,0,0,0,8,22,3,3,0,0,29,678,23,72,16,3,789
UCL315096,294,3,0,0,0,303,484,3,0,0,0,487,147,12,22,0,0,182,9,0,3,0,0,16,66,0,3,0,0,72,0,0,0,0,0,0,4,0,0,0,0,3,3,0,0,0,0,3,224,22,28,0,4,272,0,0,0,0,0,0,22,0,8,0,0,31,1035,28,31,3,5,1096
UCL315097,135,0,0,0,3,135,203,0,0,0,0,203,14,0,0,0,0,14,0,0,0,0,0,0,22,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,37,0,0,0,0,0,0,12,0,0,0,0,12,380,0,0,0,3,384
UCL315098,70,14,3,16,0,98,271,53,5,4,0,334,139,118,15,0,0,270,13,10,0,0,0,24,31,7,0,3,0,39,0,0,0,0,0,0,167,134,22,3,3,334,3,4,0,3,0,10,365,276,34,6,0,683,3,0,0,0,0,3,14,13,0,3,0,30,722,354,38,30,0,1148
UCL315099,205,0,0,0,0,205,606,6,0,0,0,612,124,12,0,0,0,141,0,0,0,0,0,0,38,0,0,0,0,38,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,166,12,0,0,0,180,0,0,0,0,0,0,12,0,0,0,0,12,989,16,0,0,4,1011
UCL315100,67,0,44,21,0,132,202,0,0,0,3,207,28,0,0,0,0,29,0,0,0,0,0,0,16,0,0,0,0,16,0,0,0,0,0,0,3,0,3,53,0,58,0,0,0,3,0,4,42,0,3,57,0,102,0,0,0,3,0,0,4,0,3,25,0,35,322,0,46,112,3,486
UCL315101,155,0,0,0,0,156,277,0,3,0,3,286,29,3,0,0,0,35,0,0,0,0,0,0,29,0,3,0,0,32,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,64,3,3,0,0,73,0,0,0,0,0,0,17,0,0,0,0,17,510,6,8,3,3,523
UCL315102,268,3,0,6,0,282,180,4,0,0,0,186,104,21,8,0,0,137,14,0,0,0,0,22,35,0,3,0,0,42,3,14,0,0,0,13,13,0,0,0,0,13,8,3,0,0,0,6,174,34,16,3,0,233,4,0,0,0,0,4,20,3,0,0,0,19,646,45,19,15,3,723
UCL315103,144,3,3,10,0,160,97,3,11,0,5,112,61,27,41,0,0,133,0,0,0,0,0,0,27,3,5,0,0,30,0,0,0,0,0,0,8,0,0,0,0,8,3,0,0,0,0,3,95,30,44,0,0,180,0,0,0,0,0,0,5,3,6,0,3,22,347,40,62,9,13,472
