UCL_CODE_2016,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
UCL101001,39273,98400,280212,260388,217649,146126,40436,5080,663,1088223,52,175,445,501,629,425,165,33,4,2437,0,31,243,256,195,86,11,5,0,825,955,2116,8093,9601,10121,6275,1007,84,16,38273,19,145,904,1179,935,421,54,0,0,3659,323,1547,5883,6111,5089,2640,590,64,6,22257,353,1819,7797,8151,6814,3751,723,51,15,29476,11891,18458,23807,17702,16695,10536,2440,214,23,101765,14823,13311,16398,8571,7743,4584,807,78,22,66338,341,1709,6044,6506,6551,3827,558,30,4,25558,690,2289,8060,6669,4061,1790,362,37,3,23954,441,4099,20691,19778,12826,5659,945,80,32,64543,497,1979,5485,4472,3679,2030,685,123,17,18973,1092,8715,30495,23811,16818,8922,2504,214,20,92602,494,3276,10631,8781,8115,5073,1203,108,5,37679,423,2449,11850,13580,12486,7834,1344,80,9,50057,2933,8784,25786,25713,26666,20030,4381,343,34,114669,2974,14676,44300,38629,39303,29616,7139,477,32,177146,1467,2430,4142,3271,2536,1410,432,68,8,15761,1498,3572,8883,7607,6693,3978,938,90,6,33271
UCL102001,548,915,2372,2210,2357,1379,294,23,3,10100,0,3,6,3,7,0,0,0,0,22,0,0,3,0,0,0,0,0,0,9,21,5,22,44,37,30,8,0,0,167,0,3,16,11,15,14,0,0,0,53,5,18,42,41,54,28,4,0,0,185,5,13,26,18,23,15,0,0,0,100,195,158,172,145,149,101,18,4,0,951,185,95,144,59,70,32,3,0,0,588,10,11,42,33,43,17,6,0,0,158,4,9,30,19,25,8,3,0,0,108,0,20,39,40,33,20,0,0,0,151,3,16,56,34,31,18,3,0,0,162,4,62,151,143,117,64,16,3,0,558,4,28,62,61,82,77,15,0,0,322,17,115,601,748,808,305,25,4,0,2617,23,67,205,212,271,132,17,0,0,941,47,190,362,329,394,248,31,0,0,1597,16,19,27,28,22,14,3,0,0,126,27,44,78,63,54,37,5,0,0,311
UCL102002,3688,6190,13270,14631,15146,11185,2747,289,42,67187,10,22,24,44,58,49,15,7,0,228,0,6,14,22,11,9,3,0,0,64,108,145,365,555,594,375,54,10,0,2198,0,11,38,53,48,41,4,0,0,203,31,108,309,401,387,265,43,4,0,1539,31,67,198,326,285,169,41,0,0,1113,1291,1263,1440,1378,1725,1291,217,13,0,8620,1866,1021,904,733,734,484,78,12,0,5834,17,52,121,204,311,245,51,0,0,989,57,75,187,185,184,126,28,0,0,844,21,160,572,612,600,341,38,3,0,2339,39,134,272,280,275,205,54,3,0,1257,48,251,676,873,746,502,160,7,0,3268,46,180,424,565,656,443,101,9,0,2423,30,114,690,1041,1018,610,76,0,0,3584,145,411,1463,1625,1838,1452,214,15,0,7167,265,1131,2877,3291,4383,3454,607,26,3,16038,84,122,188,192,162,98,38,3,0,898,149,320,577,561,582,374,85,8,0,2656
UCL102003,696,1002,2050,2439,2565,2146,579,76,9,11570,0,3,4,4,17,12,4,0,0,45,0,0,6,4,0,3,0,0,0,14,17,13,35,42,55,51,9,3,0,223,0,0,6,8,8,13,0,0,0,44,3,16,44,99,62,70,7,0,0,304,3,5,21,24,30,35,9,0,0,122,263,187,249,238,344,250,55,0,0,1601,355,209,229,227,221,216,41,3,0,1494,9,13,43,42,67,36,12,0,0,222,13,9,12,27,10,12,3,0,0,100,0,4,41,72,73,34,7,0,0,235,6,29,58,64,74,60,8,5,0,315,8,32,109,141,145,83,22,0,0,545,5,28,66,115,151,122,29,5,0,521,3,13,91,132,164,103,16,0,0,520,16,60,226,363,384,308,41,0,0,1395,28,154,486,591,804,774,124,5,0,2977,12,21,35,38,22,26,7,0,0,151,17,40,89,99,83,68,15,0,3,413
UCL102004,3914,7621,16966,15987,15735,11370,2389,315,31,74328,3,18,23,37,49,22,15,5,0,178,3,18,120,88,79,33,4,0,0,344,123,156,390,432,446,253,44,3,0,1835,3,16,96,127,123,63,3,0,0,435,37,102,300,408,436,251,41,4,0,1582,22,81,195,208,208,148,21,4,0,890,1200,1597,1629,1348,1508,1004,194,11,3,8502,1989,1497,1025,704,692,417,90,4,0,6415,13,56,223,253,281,197,38,8,0,1067,72,87,153,113,90,58,10,0,0,584,24,222,988,762,773,394,28,3,0,3200,36,132,229,252,205,146,34,4,0,1036,64,355,1127,1073,819,485,99,12,0,4033,48,200,518,588,583,447,83,6,0,2473,19,189,966,1285,1155,597,62,3,0,4281,173,575,1986,2350,2381,1867,243,15,0,9583,300,1609,4539,4288,4871,3638,526,31,3,19809,125,151,166,162,135,90,28,4,0,864,177,345,653,569,504,327,80,6,0,2676
UCL102005,3177,6189,12676,13107,12836,8679,1678,199,26,58565,6,14,20,23,24,17,9,3,0,120,0,6,49,41,32,14,0,0,0,143,64,112,198,299,301,151,25,0,0,1147,3,10,24,52,47,29,3,0,0,177,18,74,207,257,236,120,21,0,0,918,15,66,158,185,134,71,15,0,0,644,1048,1166,1238,1211,1340,802,111,9,0,6940,1364,1166,732,533,583,377,50,4,0,4809,18,89,158,217,267,131,31,0,0,912,29,79,116,113,67,43,0,0,0,452,28,189,690,734,564,269,25,0,0,2483,30,106,219,202,181,93,24,0,0,866,77,298,601,658,490,286,60,8,0,2474,48,185,444,478,578,390,59,3,0,2181,21,176,814,1080,997,554,35,3,0,3681,161,621,1731,2014,2090,1571,225,17,0,8435,219,1139,2893,2916,3325,2370,355,17,4,13233,89,131,159,134,128,86,15,0,0,751,118,278,537,468,438,238,41,6,0,2118
UCL111001,659,1085,2426,2190,2143,1797,466,47,6,10817,3,7,9,13,13,7,7,3,0,61,0,0,0,0,3,0,0,0,0,4,39,39,67,96,114,68,10,0,0,429,0,0,4,11,10,4,0,0,0,24,3,7,38,54,58,57,8,0,0,228,0,9,14,26,32,26,7,0,0,118,240,241,289,207,254,183,37,0,0,1457,301,220,188,136,106,98,26,0,0,1078,3,16,43,37,51,39,17,0,0,202,9,25,23,25,10,13,4,0,0,113,7,27,65,65,55,29,0,0,0,248,10,22,31,35,31,21,7,0,0,152,13,34,103,93,108,63,13,0,0,432,5,19,55,86,94,63,14,3,0,339,3,27,151,223,229,142,15,3,0,803,36,97,311,330,352,296,46,3,0,1470,41,200,613,543,593,547,81,0,0,2620,8,26,18,12,21,14,3,0,0,102,20,44,112,85,75,43,19,3,0,397
UCL111002,1014,1685,4289,4119,3704,2610,509,47,10,17985,3,13,16,20,42,29,3,3,0,130,4,25,77,63,47,10,0,0,0,227,52,72,188,147,165,70,9,0,0,713,4,3,18,27,22,18,0,0,0,90,14,31,117,100,110,53,8,3,0,432,3,28,52,38,39,25,3,0,0,177,289,330,514,435,444,268,35,4,0,2328,472,295,303,204,158,88,22,0,0,1537,4,18,55,78,104,55,17,3,0,350,8,20,35,15,19,9,0,0,0,109,4,58,159,136,119,49,8,0,0,542,11,33,68,57,61,35,11,0,0,268,17,74,219,190,159,72,23,0,0,754,27,64,156,168,169,117,15,0,0,720,7,54,243,307,284,138,18,3,0,1047,34,102,380,503,498,356,38,0,0,1918,82,351,932,851,957,658,94,3,0,3920,24,31,31,31,24,23,9,0,0,170,37,86,190,135,134,68,10,0,0,653
UCL112001,262,526,891,712,784,630,169,29,0,4009,3,8,36,15,14,7,3,0,0,93,0,0,0,0,3,0,0,0,0,7,5,4,4,7,10,5,3,0,0,37,0,0,0,0,0,0,0,0,0,6,0,0,7,8,5,16,0,0,0,42,5,3,8,3,3,3,3,0,0,30,117,124,94,61,76,49,6,0,0,531,127,113,67,33,32,35,0,0,0,398,0,0,0,3,4,9,3,0,0,22,3,4,3,10,6,0,0,0,0,34,0,12,16,30,18,12,4,0,0,100,3,8,12,4,6,6,0,0,0,36,4,26,45,47,46,39,0,0,0,206,3,10,40,32,24,25,5,0,0,143,0,3,23,36,33,30,4,3,0,142,14,75,217,233,284,238,39,0,0,1101,24,107,208,168,220,169,31,0,0,928,3,9,4,0,3,5,0,0,0,20,8,27,22,18,19,13,3,0,0,116
UCL112002,415,816,1758,1490,1452,1157,276,52,8,7421,0,5,6,11,8,13,6,0,0,53,0,5,6,0,0,0,0,0,0,11,28,32,40,70,92,51,13,0,0,331,0,0,15,12,10,6,0,0,0,53,3,6,44,32,29,27,0,0,0,147,9,9,12,12,12,13,3,0,0,57,157,186,212,163,143,107,17,3,0,978,172,170,111,69,76,56,14,3,0,672,0,7,16,15,27,19,0,0,0,92,15,21,32,26,15,4,0,0,0,112,3,10,33,23,35,24,4,0,0,134,0,15,11,19,18,11,6,0,0,84,5,18,80,78,42,55,16,0,0,298,9,19,49,43,82,36,14,0,0,253,5,28,134,143,124,99,14,0,0,555,14,86,251,293,337,248,41,4,0,1277,39,167,355,325,361,319,45,3,0,1613,14,14,23,16,9,10,4,0,0,95,9,35,49,54,40,22,6,0,0,226
