UCL_CODE_2016,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
UCL114032,0,0,3,4,3,8,4,0,0,32,67,50,143,181,241,238,45,3,0,963,3,0,4,4,10,10,4,0,0,44,0,0,3,4,4,0,3,0,0,10,0,3,18,17,13,11,3,0,0,63,0,0,0,0,0,3,0,0,0,6,4,14,54,44,40,25,3,0,0,190,0,3,0,6,12,9,0,0,0,29,33,16,23,29,51,41,15,3,0,205,53,27,52,49,63,49,4,0,0,300,0,0,0,8,17,23,13,0,0,62,0,0,4,3,8,8,0,0,0,17,0,0,3,3,8,4,4,0,0,25,0,3,5,11,23,7,3,0,0,51,0,3,20,23,16,21,11,0,0,90,0,0,11,14,26,21,5,0,0,79,3,5,18,32,31,32,0,0,0,127,0,4,19,33,39,42,0,0,0,149,3,6,31,49,54,79,17,3,0,241,0,0,3,7,6,8,0,0,0,22
UCL114033,0,0,0,3,5,4,3,0,0,12,17,23,56,78,93,77,24,0,0,378,0,0,9,0,3,7,7,0,0,35,0,0,0,0,3,0,0,0,0,3,4,8,11,22,24,30,0,0,0,92,0,0,0,0,0,0,0,0,0,3,14,15,24,30,19,8,13,0,0,120,3,3,4,6,3,5,0,0,0,24,12,4,5,16,16,12,5,0,0,72,9,5,13,12,17,18,10,0,0,86,0,0,6,5,4,8,3,0,0,27,0,0,0,0,0,3,0,0,0,3,0,0,3,0,3,3,0,0,0,12,0,0,0,6,0,0,3,0,0,7,0,0,0,3,4,7,0,3,0,25,0,0,5,8,3,3,0,0,0,22,0,0,0,10,10,4,0,0,0,29,0,3,12,11,10,12,4,0,0,50,3,6,19,10,28,19,6,0,0,91,0,3,0,3,3,3,3,0,0,15
UCL114034,3,3,3,15,3,3,3,0,0,35,86,109,230,266,273,185,42,3,0,1186,3,5,6,7,9,11,3,3,0,43,0,0,0,3,0,0,0,0,0,3,3,5,6,13,10,3,3,0,0,45,0,0,15,7,17,9,0,0,0,58,15,32,68,45,43,36,6,0,0,245,3,0,5,11,0,9,0,0,0,34,32,26,36,48,29,26,12,0,0,205,57,35,42,31,20,18,9,0,0,222,3,3,16,14,31,21,3,3,0,97,0,0,5,3,7,5,3,0,0,26,0,0,7,9,5,5,3,0,0,29,0,3,7,9,10,4,0,0,0,36,3,18,25,43,36,19,5,0,0,150,3,3,8,13,23,16,0,0,0,65,3,15,78,105,108,70,9,0,0,376,11,7,43,68,42,31,15,0,0,206,10,29,62,60,78,63,16,0,0,326,0,0,5,7,7,8,4,0,0,33
UCL114035,6,5,4,4,14,7,0,0,0,43,94,133,245,255,279,202,36,0,0,1251,6,26,45,39,39,31,10,3,0,200,0,0,8,9,8,4,0,0,0,30,19,16,48,39,22,19,3,0,0,175,0,0,3,11,11,8,3,0,0,29,8,32,52,58,42,19,15,0,0,235,3,7,13,14,15,17,6,0,0,79,57,47,85,83,72,50,9,3,0,396,39,29,40,36,34,17,0,0,0,186,3,5,14,16,29,26,11,0,0,94,4,3,3,3,4,3,0,0,0,18,3,7,23,4,9,5,3,0,0,53,0,0,7,6,5,4,0,0,0,25,8,7,20,26,17,15,7,3,0,90,0,9,15,21,15,15,0,0,0,73,3,3,25,29,25,15,7,0,0,105,0,15,40,47,42,24,6,3,0,189,3,17,42,72,88,89,13,0,0,332,0,3,8,3,5,0,0,0,0,24
UCL115001,0,0,0,0,0,0,0,0,0,5,19,29,82,76,86,49,12,0,0,354,0,7,9,12,9,9,5,0,0,48,0,3,42,55,32,23,0,0,0,166,4,4,19,0,15,0,0,0,0,53,0,0,9,7,10,11,0,0,0,31,3,10,10,14,3,6,7,0,0,54,0,0,0,3,9,4,0,0,0,17,18,9,21,7,11,8,3,0,0,78,18,9,6,5,8,5,0,0,0,56,0,4,3,0,7,0,4,0,0,20,0,0,0,0,0,4,0,0,0,9,0,0,0,3,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,10,3,0,6,4,0,0,24,0,0,6,6,6,3,0,0,0,24,0,3,10,0,4,5,0,0,0,28,0,0,8,20,8,13,0,0,0,50,0,4,6,14,16,10,3,0,0,54,0,0,3,0,4,0,0,0,0,8
UCL115002,0,0,3,3,3,0,0,0,0,8,26,32,66,77,92,52,11,0,0,340,0,0,0,0,4,0,0,0,0,3,0,3,0,3,11,0,0,0,0,17,6,3,7,15,22,19,3,0,0,72,0,0,0,5,3,0,0,0,0,11,6,7,31,30,26,15,0,0,0,115,0,0,5,6,7,0,0,0,0,20,19,11,6,18,19,13,0,0,0,81,5,6,4,4,3,6,0,0,0,37,0,0,6,8,10,8,3,0,0,48,0,0,0,0,0,0,0,0,0,3,0,0,0,4,10,0,0,0,0,14,0,0,0,0,0,0,0,0,0,7,0,0,4,5,6,6,0,0,0,24,0,0,4,3,7,5,0,0,0,14,0,4,8,14,15,3,0,0,0,44,0,3,11,24,22,22,3,0,0,82,0,12,13,6,11,14,0,0,0,53,3,0,0,0,0,0,0,0,0,8
UCL115003,0,0,0,0,3,3,0,0,0,4,13,11,44,44,75,78,9,0,0,286,0,3,18,14,5,5,3,0,0,46,0,0,0,0,0,0,0,0,0,4,3,0,6,0,3,4,0,0,0,19,0,0,0,3,5,0,0,0,0,6,5,3,9,16,10,22,0,0,0,65,0,0,3,0,4,0,0,0,0,4,8,3,9,6,8,11,3,0,0,48,10,0,5,7,10,4,0,0,3,41,0,0,0,0,3,9,0,0,0,21,0,0,0,0,3,0,0,0,0,7,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,4,0,0,0,3,0,0,6,3,3,8,0,0,0,25,0,0,8,3,3,3,0,0,0,17,0,0,3,12,14,16,0,0,0,49,0,0,9,11,21,26,4,0,0,76,0,8,10,13,18,36,5,0,0,87,3,0,0,3,4,0,0,0,0,14
UCL115004,0,0,0,3,0,3,0,0,0,7,8,10,39,37,57,48,11,0,0,214,0,5,10,9,16,15,6,0,0,68,0,0,0,0,0,0,0,0,0,7,0,3,0,3,3,3,0,0,0,14,0,0,0,7,3,3,0,0,0,19,0,0,10,0,6,5,0,0,0,22,0,0,0,0,3,0,0,0,0,9,7,0,12,11,9,11,3,0,0,53,3,6,3,8,4,10,0,0,0,34,0,0,8,0,9,7,6,0,0,32,0,0,0,0,3,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,6,7,0,0,0,13,0,3,7,5,14,10,4,0,0,45,0,3,7,10,18,4,0,0,0,45,3,0,12,8,17,14,3,0,0,58,0,0,0,0,0,0,0,0,0,3
UCL115005,0,0,5,10,0,0,0,0,0,17,22,19,54,127,116,53,11,0,0,405,0,0,0,3,9,0,0,0,0,14,0,0,0,3,0,0,0,0,0,3,3,0,3,4,17,3,0,0,0,30,0,0,0,7,3,0,0,0,0,11,0,4,12,23,14,11,0,0,0,63,0,3,0,0,5,0,0,0,0,10,11,4,18,11,14,19,3,0,0,83,15,12,11,20,14,5,0,0,0,78,0,0,0,5,0,5,0,0,0,17,0,0,0,6,10,3,0,0,0,22,0,0,3,8,3,0,0,0,0,15,0,0,0,8,3,3,0,0,0,22,3,0,4,23,21,6,5,0,0,64,0,0,10,8,7,0,5,0,0,33,0,0,3,13,12,0,3,0,0,28,0,0,6,21,23,12,3,0,0,77,0,3,15,43,37,30,5,0,0,133,5,4,3,4,6,0,0,0,0,20
UCL115006,3,0,5,3,9,3,0,0,0,29,49,64,121,184,169,114,10,3,0,710,0,0,3,0,0,3,0,0,0,10,0,0,11,9,5,3,0,0,0,26,0,8,27,25,46,32,9,0,0,137,0,3,3,0,12,4,0,0,0,20,16,26,53,51,35,17,3,0,0,201,0,0,6,15,12,6,0,0,0,40,30,27,41,39,41,21,3,0,0,194,39,8,9,6,3,5,4,0,0,73,0,3,14,30,30,26,13,0,0,122,0,0,0,3,3,0,0,0,0,12,0,0,7,8,7,9,0,0,0,33,0,3,5,9,4,3,0,0,0,24,0,3,9,17,13,11,3,0,0,57,0,3,8,7,10,12,0,0,0,37,0,0,9,39,26,17,0,0,0,93,3,11,13,35,21,27,7,0,0,114,3,13,20,46,47,27,4,0,0,159,0,6,7,4,0,0,0,0,0,14
UCL115007,0,0,0,0,0,8,0,0,0,10,12,18,17,31,54,53,13,0,0,203,0,0,6,3,3,9,3,0,0,29,0,0,0,0,0,4,0,0,0,4,0,4,3,0,0,9,3,0,0,20,0,0,0,0,3,0,0,0,0,7,3,0,4,0,5,13,3,0,0,25,0,0,0,8,0,4,0,0,0,6,3,9,6,8,8,9,3,0,0,45,8,9,9,16,18,17,3,0,0,66,0,0,0,0,4,3,4,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,7,0,0,0,3,4,3,0,0,0,10,0,0,3,0,5,7,0,0,0,18,0,0,0,0,11,5,0,0,0,18,0,3,10,6,9,6,0,0,0,39,0,0,5,3,14,18,3,0,0,47,0,0,0,0,0,0,0,0,0,7
UCL115008,0,0,0,6,4,3,3,0,0,18,23,22,74,71,74,57,22,3,0,336,0,4,15,4,11,3,4,4,0,50,0,0,0,0,0,0,0,0,0,0,3,4,11,34,14,17,7,0,0,95,0,0,0,0,0,0,0,0,0,3,5,11,13,13,14,7,4,0,0,64,0,3,3,0,4,3,0,0,0,12,13,9,9,12,12,11,0,0,0,59,11,11,22,22,25,17,4,3,0,107,0,0,7,6,6,4,5,0,0,28,0,0,3,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,4,0,5,5,10,3,5,0,0,0,25,0,0,3,6,0,3,3,0,0,14,0,0,7,5,4,5,0,0,0,18,0,3,14,12,11,5,0,0,0,53,0,0,15,13,14,20,10,0,0,73,0,0,3,0,4,0,0,0,0,7
UCL115009,0,0,3,0,0,0,0,0,0,4,8,8,27,15,35,37,13,0,0,147,0,0,0,4,6,9,3,3,0,30,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,10,0,0,3,3,0,4,0,0,0,9,3,0,5,5,0,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,4,0,6,0,11,0,0,0,0,27,0,0,3,4,5,6,0,0,0,23,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,3,0,3,3,0,5,0,0,14,0,0,3,3,6,9,4,0,0,28,0,0,10,7,5,3,7,0,0,32,0,0,13,4,14,24,3,0,0,58,0,0,0,0,0,0,0,0,0,0
UCL115010,0,0,0,0,0,5,0,0,0,7,24,25,48,48,62,61,5,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,3,3,11,6,6,4,0,0,0,30,0,3,0,3,3,0,0,0,0,6,0,13,19,16,24,7,4,0,0,84,0,0,0,0,0,0,0,0,0,4,11,10,14,12,17,15,0,0,0,78,14,3,8,9,0,3,4,0,0,44,0,3,0,3,3,9,0,0,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,6,0,0,0,11,0,0,4,0,3,3,0,0,0,14,0,3,0,6,6,7,0,0,0,22,4,3,6,12,18,12,0,0,0,58,0,3,3,12,15,6,0,0,0,43,5,7,16,21,26,28,0,0,0,99,0,0,0,0,0,0,0,0,0,4
UCL115011,0,0,5,3,0,6,0,0,0,10,7,12,38,37,37,49,11,0,0,187,0,6,27,17,11,22,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,10,9,7,10,3,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,4,4,3,6,3,3,0,0,21,0,0,5,4,0,0,0,0,0,11,0,0,8,4,9,6,0,0,0,25,4,0,3,4,8,6,0,0,0,28,0,0,0,4,3,4,3,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,11,12,12,3,0,0,46,0,0,0,0,0,5,0,0,0,8,0,0,7,3,6,4,4,0,0,32,4,0,3,9,10,18,4,0,0,42,0,0,0,0,3,0,0,0,0,3
UCL115012,3,0,5,3,0,3,3,0,0,19,63,67,134,139,181,151,39,8,0,786,3,8,7,8,9,8,12,0,0,46,0,0,0,0,0,0,0,0,0,0,17,32,64,56,47,40,7,0,0,254,0,0,7,7,4,0,0,0,0,19,3,25,36,20,24,17,7,0,0,126,0,0,4,4,5,3,0,0,0,18,30,28,37,29,53,33,8,0,0,219,46,23,25,25,8,11,4,0,0,147,0,0,3,0,10,16,3,3,0,42,0,0,6,4,3,3,3,0,0,15,0,0,3,3,6,3,0,0,0,14,0,0,0,0,0,8,5,0,0,17,0,4,10,10,12,13,4,0,0,47,3,5,12,8,13,14,3,0,0,54,0,6,12,23,26,16,0,0,0,88,0,5,13,31,30,19,8,0,0,100,5,11,42,46,91,73,14,3,0,281,3,0,0,0,6,0,0,0,0,12
UCL115013,3,0,0,5,11,4,3,0,0,23,27,17,77,155,167,136,25,3,0,616,0,0,4,4,0,3,0,0,0,20,0,0,0,3,0,0,0,0,0,3,3,7,4,8,13,15,4,0,0,55,0,0,0,0,0,0,0,0,0,8,3,4,17,18,20,23,3,0,0,91,0,0,4,10,4,5,0,0,0,22,21,9,23,30,22,20,4,4,0,135,20,11,27,14,11,7,3,0,0,81,0,0,0,5,5,8,0,0,0,26,0,0,4,10,4,5,0,0,0,23,0,0,0,3,3,3,0,0,0,12,0,0,0,3,3,4,3,0,0,14,0,0,9,23,14,13,0,0,0,60,0,0,7,9,21,9,3,0,0,47,0,0,3,22,19,7,0,0,0,57,0,0,10,34,51,38,3,0,0,141,4,5,25,56,70,72,19,0,0,252,0,0,7,9,6,0,0,0,0,23
UCL115014,0,0,0,0,3,3,0,0,0,12,14,14,29,44,62,72,17,3,0,256,3,0,0,4,3,3,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,4,4,5,7,10,3,0,0,24,0,0,0,0,3,0,0,0,0,3,0,4,18,15,12,21,0,0,0,64,0,0,0,0,0,0,0,0,0,8,7,5,9,14,7,24,4,0,0,67,11,6,7,11,19,19,5,3,0,80,0,0,0,0,5,3,7,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,4,5,8,9,4,0,0,28,0,0,3,3,3,5,0,0,0,14,0,0,3,3,0,3,0,0,0,14,0,0,5,14,12,11,0,0,0,43,0,0,5,5,18,12,0,0,0,39,0,0,3,0,0,0,0,0,0,9
UCL115015,0,0,3,0,0,0,0,0,0,6,14,23,49,69,77,96,29,0,0,362,0,0,7,0,0,4,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,3,4,3,5,6,0,0,0,30,0,0,0,0,6,0,0,0,0,9,5,9,16,20,16,18,3,3,0,79,0,0,0,3,3,3,0,0,0,8,5,5,11,19,16,16,10,0,0,81,6,8,4,8,11,11,7,0,0,47,0,0,3,3,7,9,0,0,0,20,0,0,0,0,0,3,0,0,0,8,0,0,4,3,6,0,0,0,0,10,0,0,3,0,3,0,0,0,0,12,0,4,8,12,6,9,8,3,0,57,0,0,6,6,3,4,7,0,0,30,0,0,7,15,17,15,3,0,0,56,0,0,8,15,16,24,4,0,0,64,0,10,20,21,20,44,10,0,0,118,0,4,3,3,0,6,0,0,0,19
UCL115016,0,0,0,0,0,0,0,0,0,3,10,4,14,30,40,40,7,0,0,143,0,0,0,8,5,10,8,0,0,30,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,3,3,3,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,6,3,0,7,9,5,0,0,0,0,28,0,3,8,3,10,3,3,0,0,32,0,0,0,4,0,4,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,10,0,0,4,7,9,10,0,0,0,44,0,3,5,7,5,5,3,0,0,28,4,0,7,7,13,17,0,0,0,51,0,0,0,0,0,0,0,0,0,3
UCL115017,0,4,3,0,4,9,5,0,0,29,23,48,112,164,249,219,75,6,0,896,0,0,3,0,3,3,3,0,0,10,0,0,7,5,10,9,0,0,0,35,3,9,9,8,15,11,0,0,0,60,0,0,7,4,6,4,0,0,0,17,3,15,22,28,23,32,10,0,0,133,0,3,0,3,12,5,3,0,0,21,6,12,37,18,29,29,11,3,0,147,19,24,48,44,46,25,12,0,0,215,0,3,5,5,8,19,5,0,0,43,0,0,3,4,8,11,6,0,0,38,0,0,4,4,14,9,0,0,0,35,0,3,9,14,8,9,3,0,3,40,5,3,11,30,39,30,12,0,0,126,0,0,8,16,13,19,5,0,0,65,0,3,12,25,42,32,7,0,0,126,0,9,19,34,62,70,19,0,0,225,0,12,25,52,75,86,18,3,0,269,0,4,11,13,12,10,3,0,0,51
UCL115018,3,0,0,3,0,3,3,0,0,16,44,49,119,119,131,88,9,3,0,554,0,0,3,6,3,7,3,0,0,24,0,0,28,17,17,6,0,0,0,77,5,7,13,22,34,17,4,0,0,100,0,0,4,11,5,4,0,0,0,19,5,6,26,23,14,10,0,0,0,88,0,4,8,5,6,8,0,0,0,36,30,27,27,18,20,15,7,0,0,143,18,13,9,17,12,5,3,0,0,82,0,7,9,11,18,7,6,0,0,60,0,0,6,0,0,0,0,0,0,9,0,0,0,0,3,3,0,0,0,7,0,0,0,3,7,0,0,0,0,9,0,0,11,3,5,3,0,0,0,29,0,3,4,3,9,11,0,0,0,37,0,3,14,14,25,19,0,0,0,80,4,4,13,19,17,16,3,0,0,74,0,12,39,29,46,24,3,0,0,159,3,0,0,0,3,0,0,0,0,9
UCL115019,0,0,0,0,0,0,0,0,0,3,21,14,36,45,54,45,11,0,0,232,0,6,14,9,17,17,7,0,0,84,0,0,0,0,0,0,0,0,0,0,3,12,20,15,11,7,0,0,0,67,0,0,0,0,0,4,0,0,0,4,7,11,6,4,3,6,0,0,0,41,0,0,0,0,0,0,0,0,0,6,7,3,10,10,8,5,5,0,0,41,11,4,5,3,13,9,0,0,0,49,3,0,3,3,3,3,7,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,6,0,0,0,22,0,0,0,0,7,3,0,0,0,18,0,0,7,11,8,15,3,0,0,41,0,0,4,11,14,5,0,0,0,43,0,3,7,11,10,11,4,0,0,45,0,0,0,3,0,0,0,0,0,0
UCL115020,0,0,0,3,3,0,0,0,0,15,42,21,69,126,177,128,29,3,0,588,0,3,0,9,3,4,3,0,0,27,0,0,0,3,0,0,0,0,0,6,0,3,6,9,13,9,0,0,0,37,0,0,3,5,17,3,0,0,0,30,9,8,20,41,38,23,5,0,0,145,0,0,0,5,7,4,0,0,0,24,26,5,13,17,27,25,3,0,0,129,35,7,13,11,17,16,0,0,0,114,3,0,0,3,8,12,3,0,0,31,0,0,0,0,0,0,0,0,0,6,0,0,0,3,7,4,0,0,0,15,0,0,3,9,11,5,0,0,0,31,0,3,4,16,15,11,6,0,0,52,0,0,0,6,15,11,7,0,0,38,0,0,12,13,24,10,0,0,0,59,3,6,18,44,60,38,7,0,0,170,0,9,14,33,64,50,5,0,0,173,0,0,0,3,0,0,0,0,0,5
UCL115021,0,0,0,0,0,0,0,0,0,3,9,15,29,43,53,49,13,0,0,214,5,3,10,6,19,14,4,3,0,57,0,0,0,0,0,0,0,0,0,3,0,3,4,7,5,3,4,0,0,23,0,0,0,0,0,0,0,0,0,3,3,4,8,13,4,8,0,0,0,45,0,0,3,0,0,0,0,0,0,11,0,3,5,5,10,11,0,0,0,42,0,3,6,9,8,13,0,0,0,33,0,0,0,4,6,6,3,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,9,0,0,4,0,0,0,0,0,0,10,0,0,0,0,0,3,3,0,0,11,0,0,3,0,0,5,0,0,0,5,0,6,4,16,20,6,0,0,0,53,0,0,5,8,12,10,3,0,0,41,0,4,3,14,18,17,3,0,0,53,0,0,0,0,0,0,3,0,0,6
UCL115022,0,0,3,3,5,0,0,0,0,10,6,29,100,77,79,51,14,0,0,359,0,4,8,0,10,3,0,0,0,34,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,7,0,0,0,3,3,0,0,0,0,8,0,0,8,7,8,0,0,0,0,29,0,5,7,0,3,0,0,0,0,9,7,9,6,15,15,15,6,0,0,68,0,3,14,3,12,14,0,0,0,41,0,0,0,0,5,0,0,0,0,9,0,0,0,0,7,7,0,0,0,15,0,3,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,17,0,0,0,8,8,9,0,0,0,26,0,6,41,27,33,13,0,0,0,126,0,8,50,29,16,11,3,0,0,115,0,11,28,22,28,21,6,0,0,120,0,0,5,5,0,0,0,0,0,9
UCL115023,0,0,3,3,4,4,0,0,0,14,23,26,67,87,87,46,6,0,0,346,0,0,3,0,3,0,0,0,0,5,0,0,3,0,0,3,0,0,0,9,0,0,10,9,13,8,3,0,0,45,0,0,0,0,3,0,0,0,0,3,3,17,23,16,14,11,3,0,0,89,0,0,7,10,9,0,0,0,0,26,3,7,13,15,16,11,0,0,0,65,24,9,10,6,3,3,0,0,0,48,0,5,3,13,11,5,3,0,0,39,0,4,4,5,5,3,0,0,0,21,0,0,4,0,8,0,0,0,0,15,0,3,0,4,4,7,0,0,0,12,0,3,5,9,4,3,0,0,0,27,0,0,3,0,11,3,0,0,0,18,0,0,5,18,26,9,0,0,0,61,0,0,14,24,33,19,0,0,0,84,0,5,13,31,27,12,5,0,0,97,0,3,3,3,3,0,0,0,0,16
