UCL_CODE_2016,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_0_4,P_Hong_Kong_5_14,P_Hong_Kong_15_24,P_Hong_Kong_25_44,P_Hong_Kong_45_54,P_Hong_Kong_55_64,P_Hong_Kong_65_74,P_Hong_Kong_75_84,P_Hong_Kong_85ov,P_Hong_Kong_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_Nthern_Ireland_0_4,P_Nthern_Ireland_5_14,P_Nthern_Ireland_15_24,P_Nthern_Ireland_25_44,P_Nthern_Ireland_45_54,P_Nthern_Ireland_55_64,P_Nthern_Ireland_65_74,P_Nthern_Ireland_75_84,P_Nthern_Ireland_85ov,P_Nthern_Ireland_Tot,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot
UCL101001,53,367,512,1463,1967,3960,7677,8147,2269,26417,377,1296,4560,13702,6151,9045,3616,1131,281,40158,3213,7999,11251,77666,13090,8099,4507,2165,756,128742,163,811,4824,14082,3826,2892,1888,713,238,29445,120,1006,1738,10970,3038,2422,1327,618,244,21476,265,2582,5232,15166,7245,4613,2415,1150,323,39001,99,722,595,9677,2672,1642,1623,829,338,18199,61,312,804,4816,3380,5653,9318,9556,4282,38175,216,800,1186,5620,2443,991,570,206,70,12105,403,2224,6173,22744,7864,5228,2560,1236,305,48738,186,808,2099,15477,13316,11374,7517,3279,1021,55074,188,875,2868,10495,4099,4657,3266,1055,280,27785,3,18,60,355,614,2286,4045,2261,745,10388,4,71,194,1282,917,1144,844,402,176,5029,16,142,783,2377,1146,781,454,238,96,6033,151,871,6713,20987,899,513,157,30,7,30315,54,280,355,1574,920,1060,1796,1126,640,7808,962,5991,10452,29191,13983,10676,5201,1771,616,78838,7,50,115,1055,722,552,763,360,102,3730,634,2161,3306,12088,2523,1321,431,117,29,22622
UCL102001,0,0,0,10,5,23,39,30,15,121,0,0,0,12,3,6,7,0,0,27,18,64,63,531,44,19,11,7,0,758,7,5,5,38,7,5,0,0,0,66,0,0,0,22,3,3,3,0,0,29,0,0,0,5,0,4,0,0,0,12,0,3,0,24,8,13,13,3,4,70,0,0,3,10,21,61,77,102,43,321,0,4,0,10,7,3,0,0,0,31,0,4,5,19,11,0,0,0,0,42,0,0,0,13,3,0,0,0,0,16,0,3,12,30,22,14,3,0,0,82,0,0,0,0,0,10,31,17,3,59,0,3,0,3,0,0,0,0,0,12,0,0,0,8,0,5,0,0,0,19,0,5,11,99,3,0,0,0,0,116,0,3,0,8,3,16,18,3,7,61,3,27,65,197,109,101,30,9,3,549,0,0,0,9,10,4,6,0,0,22,3,0,9,67,3,4,0,0,0,96
UCL102002,0,4,3,10,15,53,92,82,13,283,0,14,21,56,45,70,22,20,3,253,22,84,61,771,125,92,110,60,27,1357,4,18,31,137,63,31,45,29,15,373,0,3,3,55,26,19,8,8,0,123,0,3,8,22,13,3,7,3,0,58,7,77,17,226,140,156,203,126,33,985,0,0,8,45,78,154,247,208,73,817,7,32,11,103,53,26,20,3,3,258,8,44,58,250,92,60,47,6,3,560,0,7,0,40,48,33,32,11,9,176,0,7,35,107,91,75,48,24,3,398,0,0,0,9,31,126,256,122,17,568,0,5,3,26,28,36,27,15,7,144,0,0,0,15,11,5,14,15,0,67,0,8,3,64,6,4,0,0,0,88,0,19,10,49,74,155,342,200,99,947,35,171,292,1428,1149,1052,672,298,110,5208,0,11,10,42,68,51,81,59,18,333,4,16,12,61,13,20,3,0,0,129
UCL102003,0,0,0,0,5,8,4,9,3,21,0,0,0,9,7,5,3,3,3,34,3,19,17,131,17,12,17,9,5,229,5,4,5,11,12,6,13,3,3,51,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,16,0,31,24,18,23,25,9,148,0,3,0,13,11,23,32,30,21,134,0,12,6,63,19,4,3,7,0,115,4,3,6,18,3,3,3,0,0,41,0,0,0,0,0,0,0,0,0,8,0,0,0,15,15,14,14,3,0,66,0,0,0,0,0,11,21,22,4,63,0,0,0,7,3,3,6,0,0,20,0,0,0,0,0,0,0,0,0,3,0,0,4,14,0,0,0,0,0,21,0,0,0,3,11,28,72,57,21,190,3,76,99,487,298,337,292,197,62,1861,0,0,0,3,15,12,28,21,9,81,0,0,0,9,3,0,0,0,0,18
UCL102004,0,0,7,18,31,71,143,167,56,500,4,20,110,96,40,77,28,8,7,378,31,152,160,993,156,96,95,52,11,1748,0,18,37,118,47,27,15,4,5,269,8,20,27,210,18,8,4,3,0,289,16,31,9,62,14,11,4,0,0,137,13,51,21,201,103,60,65,37,10,561,0,8,16,46,58,156,224,345,167,1017,0,24,39,62,15,16,17,5,3,184,4,44,112,290,74,24,8,3,4,563,0,3,3,18,13,14,11,0,0,60,3,17,119,250,109,101,77,32,0,701,0,0,0,7,7,29,60,16,9,139,0,0,13,24,12,8,9,8,0,80,0,0,18,27,5,8,3,0,0,60,0,9,24,84,8,0,0,0,0,125,0,21,3,60,44,81,256,99,69,629,34,139,288,1072,674,561,306,147,43,3271,0,3,4,37,29,26,45,25,14,186,11,36,44,189,12,0,11,0,0,312
UCL102005,0,7,6,28,63,161,209,246,94,822,0,3,60,65,32,55,13,3,0,231,26,94,269,834,122,93,79,51,12,1585,13,28,41,160,42,33,19,4,3,343,7,15,52,252,42,35,13,5,0,423,27,93,53,200,58,23,11,4,0,463,0,66,15,136,84,69,89,88,19,568,4,8,21,96,196,541,737,965,428,2989,3,16,30,68,34,20,13,6,0,188,4,21,72,162,55,24,7,4,0,350,6,13,26,185,148,138,92,24,22,665,3,20,159,109,55,55,33,14,3,454,0,3,0,17,41,153,230,141,39,630,0,0,0,8,10,16,3,4,0,39,3,14,31,97,21,13,15,5,0,208,3,0,13,58,4,0,3,0,0,81,0,10,6,38,46,153,379,230,108,980,16,154,260,874,546,425,248,92,34,2660,0,11,4,28,34,47,59,42,18,230,0,19,66,161,28,17,7,3,0,299
UCL111001,0,0,0,3,4,8,16,21,11,54,3,3,3,7,0,9,3,0,0,31,14,47,23,407,24,18,12,7,0,554,0,0,0,3,3,0,0,3,0,12,0,3,0,14,4,5,0,0,0,28,0,0,0,0,0,0,0,0,0,4,0,7,0,23,10,0,8,16,0,65,0,0,0,0,4,12,17,18,7,65,0,0,0,9,0,0,0,0,0,14,0,0,9,20,0,0,0,0,0,24,0,0,0,6,4,3,0,0,0,13,0,3,4,22,9,3,0,0,0,41,0,0,0,0,0,3,3,3,0,13,0,0,0,3,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,7,9,65,79,44,3,0,0,0,0,200,0,5,0,16,13,30,63,41,16,182,4,31,44,125,119,94,65,22,3,501,0,0,0,4,0,0,5,4,0,10,0,3,0,22,4,0,0,0,0,32
UCL111002,0,0,0,0,3,4,7,3,0,25,0,0,3,14,9,15,0,0,0,48,4,39,15,251,51,23,15,9,0,404,0,3,3,16,4,3,6,0,3,39,0,0,0,7,0,0,0,0,0,6,0,3,0,3,0,0,0,0,0,12,3,5,0,20,10,11,11,11,4,82,0,0,0,4,9,13,19,17,10,72,0,0,3,3,5,0,0,0,0,12,0,0,3,29,0,3,0,0,0,42,0,0,0,4,3,0,0,0,0,10,3,4,5,40,25,9,0,3,0,99,0,0,0,3,4,9,14,7,0,28,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,14,0,0,0,0,0,15,0,0,0,6,8,26,47,33,5,124,15,48,60,278,158,122,71,19,3,775,0,0,0,7,5,6,10,9,0,45,0,6,9,17,13,4,0,0,0,56
UCL112001,0,3,0,0,3,0,0,0,0,9,0,0,3,10,5,0,3,0,0,21,3,9,17,95,13,5,0,4,0,153,0,3,3,11,12,3,0,0,3,33,0,3,5,28,5,0,3,0,0,47,12,22,5,46,6,0,0,0,0,89,0,0,0,3,3,3,7,0,0,21,0,0,3,3,3,6,4,0,3,17,0,0,3,4,11,6,0,0,0,26,0,0,0,10,0,0,0,0,0,12,0,0,0,4,0,0,4,0,0,4,0,6,4,9,9,4,4,3,0,35,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,7,4,0,0,0,0,12,0,0,31,110,6,0,0,0,0,148,3,0,0,3,3,14,11,5,5,42,0,27,42,50,42,42,23,6,5,239,0,0,0,3,0,0,0,0,0,10,0,0,7,18,3,0,0,0,0,30
UCL112002,0,0,0,0,0,3,7,3,0,15,0,7,5,9,0,0,0,0,0,15,4,14,13,102,15,9,11,0,0,168,0,0,3,3,0,0,0,3,0,10,0,3,0,12,5,0,0,0,0,25,0,0,3,3,5,0,0,0,0,15,0,7,0,14,8,11,8,4,0,51,0,0,0,0,3,7,7,3,6,32,0,3,6,8,6,3,0,0,0,20,0,3,3,15,3,0,0,0,0,29,0,0,0,7,9,6,3,0,0,29,0,3,5,12,13,0,4,0,0,38,0,0,0,0,3,5,4,3,0,16,0,0,0,4,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,4,0,9,9,36,4,0,0,0,0,52,0,0,0,3,11,11,25,16,7,81,3,24,49,105,76,56,36,12,9,365,0,0,0,0,0,4,5,0,0,15,0,3,0,18,3,0,0,0,0,30
