UCL_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
UCL214005,3,0,0,9,4,12,14,16,0,56,0,3,11,3,5,5,3,3,0,47,0,3,3,3,19,30,9,4,3,76,0,8,8,10,9,3,0,0,0,45,0,7,6,3,18,6,3,3,0,47,0,7,5,7,7,3,3,0,0,42,3,3,5,5,4,6,3,7,0,40,7,20,15,5,17,26,15,0,0,94,0,0,0,0,0,0,0,0,3,4,16,48,53,44,78,92,49,45,8,438
UCL214006,19,20,30,26,67,147,103,246,3,667,58,110,132,149,167,194,107,161,9,1075,15,26,29,47,132,182,100,168,11,707,21,127,86,86,51,78,47,44,3,547,21,97,116,106,148,104,56,61,4,698,19,135,63,50,53,33,29,40,6,430,5,20,17,15,28,38,27,53,3,208,18,102,27,25,35,42,16,32,3,292,0,6,7,4,7,8,3,6,7,41,173,630,507,503,683,823,493,812,57,4674
UCL214007,20,18,27,39,72,95,77,116,6,481,29,41,69,103,96,142,70,107,3,663,23,39,38,49,149,159,72,64,15,603,25,92,79,107,63,45,32,18,7,474,21,45,64,71,107,83,34,21,8,455,20,132,62,56,53,47,37,29,3,434,11,10,11,15,31,37,29,57,7,215,19,132,44,74,72,50,26,21,8,442,6,0,7,4,3,3,0,9,20,50,192,512,408,519,645,658,366,445,69,3818
UCL214008,22,23,25,34,70,79,73,112,6,447,22,69,77,69,90,93,55,94,7,576,35,43,53,46,136,193,79,133,11,732,23,107,80,91,50,42,32,22,11,460,15,56,72,69,93,54,23,16,7,404,9,67,47,60,40,34,15,17,3,293,3,19,15,24,50,54,31,50,8,252,24,99,63,62,89,56,29,32,11,467,6,5,0,0,8,13,3,10,39,91,160,488,445,461,623,607,351,489,102,3725
UCL214009,6,17,18,24,27,53,38,97,3,276,27,42,52,75,76,71,34,55,4,445,20,21,28,31,41,71,26,35,3,275,15,42,37,49,24,14,12,7,3,201,11,25,29,37,36,19,10,11,0,179,13,57,24,27,20,20,14,11,3,191,4,3,4,6,10,10,10,6,3,68,6,39,22,15,19,27,12,11,3,157,5,4,3,3,5,3,0,5,9,43,98,261,211,262,263,292,165,239,40,1832
UCL214010,8,13,12,12,41,66,51,98,5,305,24,31,56,54,60,84,44,67,5,420,14,25,21,33,117,135,68,85,12,520,22,65,64,51,53,52,29,17,9,366,22,48,51,59,84,55,29,24,7,375,8,71,53,29,33,24,16,15,7,258,9,15,13,9,50,58,34,69,3,258,12,71,43,35,41,50,39,26,10,324,3,6,7,0,8,11,0,4,13,52,117,345,305,297,496,525,315,414,62,2877
UCL214011,13,13,7,17,26,40,39,63,3,217,25,24,34,46,58,72,42,57,5,357,16,15,21,28,86,93,47,44,6,359,20,41,44,53,41,33,13,13,9,264,19,39,32,43,63,36,16,13,0,260,11,51,26,45,36,8,19,16,6,224,4,3,14,19,35,17,11,24,0,139,18,63,42,59,68,51,40,25,13,373,6,6,3,3,3,5,3,3,10,38,124,257,228,308,426,360,224,266,48,2233
UCL214012,14,11,14,20,21,47,22,99,4,257,14,14,30,45,35,22,25,57,6,249,16,23,19,19,66,63,27,37,4,289,24,59,53,66,42,16,7,10,5,280,6,35,35,39,50,27,4,9,3,211,17,58,40,39,31,12,16,21,3,238,6,7,6,4,15,20,15,21,0,99,29,84,30,44,38,29,19,26,9,306,3,0,0,0,3,3,0,0,25,43,137,297,230,282,296,247,132,285,61,1961
UCL214013,6,21,15,16,33,33,37,65,3,234,16,15,37,49,53,66,36,38,3,313,14,21,23,23,63,90,50,56,6,349,17,58,38,48,39,16,11,10,4,236,8,37,40,51,55,28,10,11,0,235,16,57,28,37,31,24,16,20,9,219,4,4,14,16,18,25,25,39,4,152,13,75,25,34,34,23,36,25,5,274,7,0,3,0,0,0,0,0,6,20,98,289,223,281,315,308,228,270,37,2041
UCL214014,3,9,16,19,44,38,36,78,4,245,16,20,39,44,42,52,30,38,0,281,13,33,25,49,124,76,30,44,9,400,18,69,64,73,49,43,8,19,7,340,10,35,39,28,69,33,15,21,0,240,10,73,63,41,30,32,11,13,12,283,6,11,10,11,41,19,13,28,3,144,16,109,51,69,80,59,37,8,7,430,3,3,4,0,7,6,0,3,18,46,100,353,305,338,483,352,176,250,62,2420
