UCL_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
UCL213013,15,14,22,32,39,74,48,123,0,375,39,44,78,84,87,117,52,89,9,597,28,33,36,52,148,172,64,80,14,636,36,106,92,104,59,31,20,16,12,484,14,52,50,77,86,71,26,23,7,407,15,110,55,63,36,25,17,19,12,347,34,31,28,23,79,79,132,128,14,534,37,151,82,65,87,57,44,39,13,579,0,3,4,11,6,12,6,5,25,67,214,552,444,505,626,641,407,523,111,4023
UCL213014,23,29,38,41,81,112,95,226,0,642,59,79,111,144,159,259,127,198,9,1154,40,44,44,69,216,206,90,167,14,902,36,113,120,131,115,77,56,52,7,712,28,55,82,91,136,106,52,44,5,606,19,200,96,74,84,54,32,27,11,590,11,19,12,18,45,48,32,62,11,264,28,167,89,88,87,87,45,74,16,684,7,13,3,4,11,14,5,12,30,93,245,726,602,664,941,966,534,860,103,5646
UCL213015,13,19,12,44,81,144,85,202,9,614,30,40,64,85,149,183,94,100,12,763,21,33,24,34,173,170,79,90,13,635,36,102,68,97,91,51,22,35,12,507,26,49,56,78,151,114,35,29,3,537,18,149,62,66,80,57,36,45,11,522,9,12,18,20,48,49,16,54,7,238,17,140,82,97,98,74,30,34,10,587,6,7,3,6,10,5,0,5,26,74,176,558,396,533,878,844,396,601,102,4483
UCL213016,42,52,69,74,158,243,168,399,10,1216,103,229,278,324,330,440,194,372,6,2278,27,68,59,96,195,334,145,197,9,1129,57,215,139,150,116,110,65,71,13,944,30,163,180,141,161,130,48,63,14,936,30,241,101,87,90,103,42,76,8,776,9,14,15,17,35,34,18,34,0,189,17,173,56,56,56,62,24,59,8,514,9,17,5,17,12,24,4,14,38,141,328,1154,905,960,1155,1487,714,1295,117,8121
UCL213017,23,29,27,52,121,166,103,263,16,795,65,76,173,260,247,267,143,193,15,1440,34,51,66,80,241,318,130,147,21,1078,73,192,175,188,178,89,51,53,21,1016,31,107,129,175,224,152,62,58,6,939,45,254,125,133,117,97,64,59,19,911,17,21,37,51,130,106,54,107,11,541,39,244,106,149,169,132,45,47,21,954,4,6,8,7,15,17,3,12,37,108,332,975,849,1086,1440,1344,660,942,164,7789
UCL213018,20,31,25,40,94,136,104,241,5,695,64,119,149,164,209,208,128,192,4,1230,23,56,47,72,206,248,130,172,12,962,45,154,132,123,108,68,41,36,14,723,28,106,126,131,146,108,42,49,8,751,27,165,84,68,65,50,46,57,6,561,19,16,23,25,53,58,62,76,5,329,35,176,79,99,154,88,56,61,15,768,4,10,5,8,12,8,3,14,25,94,262,835,664,727,1044,982,612,892,94,6111
UCL214001,4,15,12,14,44,56,40,84,3,268,11,28,41,55,66,79,43,53,0,378,15,26,20,34,83,90,30,45,9,368,46,70,62,88,85,114,39,47,7,552,13,32,32,43,73,27,10,14,0,239,12,98,41,28,38,28,8,14,0,274,7,16,15,5,44,32,27,40,0,189,20,95,54,118,115,101,36,44,7,575,3,0,3,4,12,9,3,3,18,58,141,379,279,389,555,534,236,340,45,2903
UCL214002,17,16,15,18,58,90,66,94,3,376,32,40,61,87,94,102,76,60,3,544,14,38,30,55,152,145,63,71,12,570,32,80,75,106,73,44,28,21,5,457,18,38,62,56,105,54,21,27,4,386,25,80,43,76,54,32,26,20,0,350,9,8,23,13,70,48,38,53,4,274,25,119,66,58,79,67,24,22,8,473,7,3,0,4,9,3,0,3,19,58,169,421,370,470,687,584,340,371,57,3476
UCL214003,16,27,38,58,41,84,67,104,10,449,50,132,147,197,134,138,80,103,3,984,14,36,34,61,104,104,47,58,6,468,18,94,78,83,71,49,27,27,4,443,14,64,64,52,72,69,17,18,6,363,11,118,62,29,37,23,15,18,6,315,5,12,7,11,24,29,19,39,0,155,9,98,58,81,71,102,44,27,10,513,7,7,3,5,4,3,4,4,13,56,148,583,493,580,555,602,316,405,62,3737
UCL214004,7,8,6,15,32,34,26,88,4,225,11,14,17,39,36,36,34,37,3,222,9,16,22,20,67,58,33,54,0,277,7,29,28,43,27,17,15,13,0,182,9,27,29,41,38,28,15,12,3,203,13,52,27,30,28,18,15,10,3,204,11,15,5,7,34,24,40,25,6,153,30,45,38,57,83,86,67,30,9,454,5,0,3,0,3,0,0,4,15,36,102,212,180,244,354,308,239,267,49,1954
