UCL_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL112003,0,0,0,6,10,8,0,3,0,26,0,11,14,42,13,29,16,3,0,125,0,0,0,16,6,28,16,9,3,81,0,0,0,14,28,59,76,28,10,222,0,0,9,8,5,4,3,0,0,37,0,0,5,29,8,12,22,8,0,83,0,0,0,6,9,11,8,3,0,28,0,0,3,6,3,7,3,3,0,26,0,0,3,7,7,4,0,0,0,21,0,0,5,27,7,6,0,0,0,54,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,3,3,3,0,5,3,9,8,49,36,36,42,10,3,188,0,0,36,30,3,0,0,0,0,74,0,0,0,0,17,11,10,10,3,50,0,0,0,0,3,6,0,0,0,13,4,11,33,134,102,98,137,74,23,617,73,158,133,379,248,373,315,148,52,1880,1538,3422,2997,6067,4232,4812,3887,1729,632,29319
UCL112004,0,0,0,3,7,7,3,0,0,18,0,3,9,22,12,8,7,0,0,56,0,0,0,3,3,6,13,8,3,35,0,3,3,9,17,28,58,45,9,168,0,11,3,0,3,0,0,3,0,24,0,3,8,32,20,15,33,12,4,128,0,0,0,0,3,0,3,5,0,13,0,3,0,3,3,0,0,7,0,15,0,0,0,5,0,3,3,0,0,17,0,0,3,13,3,7,0,0,0,28,0,0,0,4,4,0,3,0,0,8,0,0,0,0,0,0,0,0,0,3,0,6,14,17,21,10,25,10,0,112,0,3,0,12,3,0,0,0,0,22,0,5,0,0,0,3,23,10,0,43,0,0,0,9,4,4,3,0,0,23,3,6,16,57,44,71,83,48,22,350,41,151,121,234,219,202,239,192,83,1481,959,2510,2114,3645,2725,2917,3483,2231,827,21394
UCL112005,0,0,0,3,0,0,0,0,0,4,3,4,4,21,19,12,6,0,0,72,0,0,0,0,0,0,0,0,0,3,0,0,4,3,7,20,34,23,7,101,0,0,0,0,0,0,0,0,0,0,0,0,3,10,4,3,5,3,0,25,0,0,0,0,0,0,4,0,0,4,0,0,0,3,4,0,0,0,0,8,0,0,0,3,0,0,0,0,0,3,3,4,5,20,5,3,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,13,3,7,3,0,0,30,0,0,3,3,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,8,0,4,10,35,23,18,21,9,8,121,90,159,152,407,208,187,193,86,57,1537,1511,2809,2798,5562,2577,2594,2087,1230,553,21725
UCL112006,0,0,9,18,24,12,3,0,0,68,0,21,18,70,42,44,11,5,0,213,0,0,0,9,3,3,5,4,8,37,0,3,4,18,23,35,46,44,30,207,0,3,0,8,0,3,0,0,0,18,0,23,13,64,42,21,20,17,0,196,0,0,0,0,0,7,6,9,3,22,0,0,3,7,3,0,0,0,0,19,0,3,3,12,0,0,3,0,0,22,4,23,23,33,16,7,3,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,12,3,13,3,37,17,20,36,3,3,148,0,0,0,27,7,9,0,0,0,42,0,0,0,10,12,6,8,3,5,51,0,0,5,10,3,11,11,0,0,36,23,147,129,269,135,96,95,46,26,963,158,317,366,737,484,545,449,353,291,3700,2653,6055,5492,10568,6165,6612,5615,3443,1627,48225
UCL112007,0,0,0,3,4,3,0,0,0,10,0,30,27,80,35,11,3,3,0,181,0,0,0,3,0,3,0,0,3,10,0,0,4,9,3,14,9,9,0,46,0,3,0,5,0,3,5,0,0,16,0,5,12,24,4,14,4,4,0,67,0,0,0,0,0,0,0,0,0,3,6,15,17,56,22,6,3,0,0,136,0,0,3,13,0,0,0,0,0,20,0,0,0,10,5,3,0,0,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,3,18,0,5,7,0,3,35,0,3,3,28,5,0,0,0,0,45,0,0,0,0,0,0,7,0,0,10,0,15,9,29,8,6,7,0,0,74,4,17,8,71,18,29,16,19,5,182,137,219,295,730,353,343,297,192,87,2655,2615,4631,4434,9203,4113,3874,2804,1862,793,34339
UCL112008,0,0,0,3,4,0,0,0,0,11,3,15,13,55,16,17,8,3,0,125,0,0,0,0,0,0,0,3,0,10,0,0,3,9,11,15,17,17,3,76,0,0,0,0,0,0,3,0,0,9,3,0,3,7,4,3,5,3,0,27,0,0,0,0,0,0,0,3,0,3,0,0,0,6,3,0,0,0,0,12,0,0,0,10,0,3,0,0,0,16,0,3,3,18,10,3,0,0,0,35,0,0,0,3,4,0,0,0,0,9,0,0,0,3,3,0,0,0,0,5,0,12,0,14,10,3,0,3,0,48,0,0,0,13,4,0,0,0,0,20,0,0,0,0,3,4,4,0,0,12,0,0,3,7,3,4,0,0,0,23,3,21,23,82,22,24,28,13,11,230,70,122,178,381,203,184,201,164,75,1579,1412,2647,2717,5657,2896,2760,2280,1378,667,22419
UCL112009,0,3,0,17,6,4,0,0,0,33,3,10,10,41,32,27,13,0,0,134,0,0,0,3,0,0,0,3,3,14,0,0,3,6,8,14,9,6,3,60,0,0,0,7,3,0,0,0,0,8,5,4,12,17,11,12,4,3,3,62,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,10,0,0,3,8,3,0,0,0,0,15,0,3,5,11,7,3,0,0,0,32,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,4,34,12,11,15,5,3,90,0,5,3,20,6,4,0,0,0,40,0,0,0,0,0,3,0,0,0,14,0,0,4,6,3,4,3,0,0,19,4,15,37,76,31,38,32,21,0,258,82,186,333,500,293,341,243,163,119,2262,1526,3415,3642,6466,3577,3708,2656,1635,946,27569
UCL112010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,9,16,20,16,44,20,29,23,10,0,171,175,320,231,554,296,264,207,86,20,2154
UCL112011,0,0,0,3,10,3,0,0,0,17,3,11,9,75,23,36,16,0,0,174,0,0,0,7,0,8,5,0,0,20,0,0,0,12,15,19,43,32,12,131,0,0,0,4,3,3,3,0,0,13,0,0,0,24,7,4,19,5,0,59,0,0,0,0,0,3,8,4,0,16,0,5,0,13,0,4,3,0,0,27,0,0,4,4,0,0,0,0,0,6,0,7,9,36,12,0,0,0,0,63,0,0,0,3,3,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,5,5,7,25,7,10,5,6,0,75,0,0,6,27,5,4,0,0,0,41,0,0,0,6,10,9,17,6,0,44,0,0,3,11,3,0,0,0,0,23,5,11,16,68,48,64,65,53,14,344,125,256,264,593,301,342,330,218,107,2541,2081,3930,3738,7537,3544,3828,3387,1960,851,30853
UCL112012,0,3,0,3,0,3,4,3,0,18,0,19,16,65,37,28,11,0,0,178,0,0,0,5,3,6,3,12,11,34,0,6,0,17,8,11,21,9,5,88,0,4,3,3,4,0,0,0,0,16,0,25,17,50,18,18,10,3,0,132,0,0,0,0,0,3,3,4,0,12,0,3,0,28,8,6,0,0,0,52,0,3,3,10,5,3,0,0,0,27,0,3,5,15,4,3,0,0,0,38,0,0,0,0,3,0,0,0,3,10,0,0,0,7,3,0,0,0,0,14,0,15,8,27,8,5,6,0,0,70,0,0,5,29,3,3,0,0,0,36,0,3,0,7,3,3,7,3,0,20,0,10,20,38,16,10,0,0,0,104,0,37,34,129,49,48,26,32,25,372,118,243,298,705,371,334,296,242,94,2704,2834,5090,4544,9890,4484,4117,3263,2070,892,37182
