UCL_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL222018,36,10,5,0,181
UCL222019,22,25,8,0,120
UCL222020,20,16,16,7,97
UCL222021,24,7,0,0,150
UCL222022,42,13,13,0,181
UCL222023,20,9,6,0,104
UCL222024,32,26,3,5,136
UCL222025,29,27,6,3,210
UCL222026,15,20,4,0,185
UCL222027,18,15,7,3,94
UCL222028,57,30,10,0,190
UCL222029,27,21,4,0,133
UCL222030,48,45,22,0,212
UCL222031,19,12,3,4,124
UCL222032,37,21,3,7,241
UCL222033,16,11,9,3,92
UCL222034,31,16,8,0,110
UCL222035,19,15,3,7,89
UCL222036,28,23,5,0,164
UCL222037,30,27,7,4,139
UCL222038,37,23,0,0,118
UCL222039,33,11,11,3,123
UCL222040,17,15,3,3,86
UCL222041,18,14,6,0,103
UCL222042,17,15,4,0,109
UCL222043,34,24,3,0,158
UCL222044,45,23,15,10,186
UCL222045,26,16,0,6,134
UCL222046,27,19,11,3,98
UCL222047,36,28,7,3,202
UCL222048,52,35,12,4,183
UCL222049,34,14,13,7,127
UCL222050,29,16,4,0,144
UCL222051,25,20,16,5,158
UCL222052,14,14,4,0,83
UCL222053,21,16,13,0,102
UCL222054,44,29,13,5,143
UCL222055,60,46,8,3,244
UCL222056,48,58,12,0,194
UCL222057,46,22,19,6,218
UCL222058,29,21,3,0,173
UCL222059,27,22,3,0,152
UCL222060,26,20,12,0,136
UCL222061,45,40,16,10,164
UCL222062,14,6,3,0,153
UCL222063,17,16,0,0,116
UCL222064,12,3,3,0,124
