UCL_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
UCL322028,..,32,32,28,3,30,18,0,21,6,0,6,3,0,3,4,0,4,59,36,90
UCL322029,..,31,31,11,0,11,4,0,4,7,0,7,3,0,3,0,0,0,27,31,57
UCL322030,..,29,29,37,5,43,13,0,13,14,0,14,6,0,6,4,0,4,72,37,109
UCL322031,..,12,12,18,0,22,7,0,8,5,0,5,7,0,7,15,0,15,64,13,73
UCL322032,..,29,29,63,4,62,13,3,17,18,0,18,3,0,3,3,0,3,104,31,138
UCL322033,..,36,36,61,3,62,9,0,12,9,0,9,0,0,0,0,0,0,85,38,130
UCL322034,..,24,24,12,3,12,6,0,10,11,0,11,0,0,0,0,0,0,23,24,49
UCL322035,..,11,11,5,0,5,3,0,3,0,0,0,6,0,6,12,0,12,29,11,34
UCL322036,..,59,59,53,4,58,19,0,19,13,0,13,3,0,3,4,0,4,95,64,158
UCL322037,..,48,48,56,0,56,15,0,15,8,0,12,11,0,11,4,0,4,86,54,141
UCL322038,..,69,69,88,12,99,21,0,18,13,0,13,4,0,4,3,0,3,125,86,209
UCL322039,..,35,35,24,0,24,10,0,10,3,0,3,3,0,3,5,0,5,45,34,80
UCL322040,..,59,59,50,11,57,21,0,21,15,0,15,8,0,8,0,0,0,94,70,162
UCL322041,..,34,34,42,4,48,15,0,15,11,0,11,3,0,3,3,0,3,72,39,111
UCL322042,..,8,8,36,0,36,25,0,25,23,0,23,14,0,14,3,0,3,104,8,110
UCL322043,..,17,17,14,0,22,11,0,11,10,0,10,5,0,5,12,0,12,56,17,74
UCL322044,..,29,29,33,3,36,21,0,21,20,0,20,5,0,5,3,0,3,75,32,111
UCL322045,..,20,20,29,0,35,23,0,23,13,0,13,9,0,9,4,0,4,76,23,104
UCL322046,..,30,30,42,0,44,7,0,7,7,0,7,6,0,6,0,0,0,70,33,104
UCL322047,..,46,46,63,5,66,18,3,14,12,0,12,7,0,7,3,0,3,108,49,154
UCL322048,..,78,78,46,4,53,14,6,22,15,6,17,17,4,20,0,0,0,91,108,194
UCL322049,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL322050,..,33,33,39,0,36,11,0,11,13,0,13,6,0,6,3,0,9,71,37,112
UCL322051,..,48,48,38,6,45,9,0,12,10,0,10,8,0,8,0,0,0,63,54,117
UCL322052,..,13,13,38,0,39,4,0,5,9,0,9,9,0,9,5,0,5,64,15,81
UCL322053,..,19,19,23,3,29,9,0,9,3,0,3,6,0,6,3,0,3,46,18,67
UCL322054,..,30,30,55,0,55,15,0,15,11,0,11,7,0,7,0,0,0,85,30,117
UCL322055,..,45,45,62,5,65,17,0,17,11,0,11,4,0,4,0,0,0,87,51,138
UCL322056,..,60,60,66,3,70,23,0,23,18,0,18,0,0,0,3,0,3,104,63,170
UCL322057,..,9,9,11,0,11,9,0,9,5,0,5,7,0,7,13,0,13,43,9,57
UCL322058,..,26,26,53,8,54,24,0,24,22,0,22,19,0,19,3,0,3,120,28,149
UCL322059,..,47,47,75,7,82,15,0,17,8,0,8,6,0,6,0,0,0,102,52,155
UCL322060,..,6,6,11,0,11,13,0,13,11,0,11,8,0,8,15,0,15,51,6,63
UCL322061,..,62,62,66,3,71,17,0,19,23,0,23,4,0,4,3,0,3,116,73,187
UCL322062,..,51,51,44,4,46,18,3,19,9,0,9,7,0,7,0,0,0,73,58,131
UCL322063,..,74,74,43,8,48,16,0,16,13,0,13,10,0,10,4,0,4,90,82,174
UCL322064,..,20,20,23,0,23,20,0,20,13,0,13,3,0,3,0,0,0,54,22,79
UCL322065,..,21,21,21,0,22,12,0,12,8,0,8,4,0,4,6,0,6,51,24,73
UCL322066,..,36,36,47,4,52,11,0,11,0,0,0,0,0,0,0,0,0,63,45,101
UCL322067,..,45,45,41,3,42,12,0,12,11,0,11,3,0,3,0,0,0,69,43,112
UCL322068,..,52,52,58,3,60,16,4,18,3,0,3,5,0,5,3,0,3,87,53,141
UCL322069,..,76,76,62,3,69,24,0,26,8,0,8,7,0,7,4,0,4,115,80,194
UCL322070,..,98,98,75,13,86,18,0,15,6,0,6,5,0,5,3,0,3,99,117,213
UCL322071,..,14,14,3,0,3,5,0,5,4,0,4,3,0,3,3,0,3,21,18,36
UCL322072,..,18,18,35,0,36,6,0,6,12,0,12,10,0,10,10,0,10,67,16,83
UCL322073,..,59,59,93,3,94,13,0,14,8,0,8,5,0,5,0,0,0,118,59,179
UCL322074,..,38,38,61,5,60,5,0,5,3,0,3,0,0,0,0,0,0,68,46,112
UCL322075,..,4,4,6,0,6,6,0,6,8,0,8,3,0,3,13,0,13,43,4,47
UCL322076,..,18,18,17,4,17,8,0,8,5,0,5,20,0,20,10,0,10,59,25,84
UCL322077,..,21,21,13,0,13,12,0,12,11,0,11,13,0,13,25,0,25,68,21,86
UCL322078,..,19,19,25,0,28,14,0,14,10,0,10,4,0,4,5,0,5,54,16,72
UCL322079,..,21,21,35,0,33,8,0,8,17,0,17,15,0,15,3,0,3,87,17,108
UCL322080,..,26,26,31,0,29,10,0,10,11,0,11,3,0,3,0,0,0,63,30,87
UCL322081,..,44,44,35,7,44,15,0,12,12,0,17,3,0,3,3,0,3,67,50,120
UCL322082,..,71,71,66,3,64,21,0,21,16,0,16,9,0,9,0,0,0,106,69,178
UCL322083,..,17,17,35,0,33,10,0,10,7,0,7,3,0,3,3,0,3,59,17,72
UCL322084,..,24,24,30,3,34,12,0,12,6,0,6,0,0,0,6,0,6,51,26,80
UCL322085,..,38,38,52,3,57,38,0,38,26,0,26,13,0,13,3,0,3,131,38,174
UCL322086,..,27,27,41,0,44,11,0,11,11,0,11,7,0,7,0,0,0,70,23,93
UCL322087,..,45,45,58,5,63,21,0,21,16,0,16,7,0,7,0,0,0,113,51,163
UCL322088,..,45,45,30,5,38,9,0,9,5,0,5,3,0,3,0,0,0,49,51,104
UCL322089,..,45,45,52,7,60,25,0,25,22,0,22,13,0,13,7,0,7,114,49,161
UCL322090,..,7,7,27,4,30,14,0,14,9,0,10,3,0,3,4,0,4,57,14,74
UCL322091,..,10,10,36,0,36,8,0,8,11,0,11,3,0,3,3,0,3,65,10,81
UCL322092,..,22,22,6,0,6,12,0,12,18,0,18,11,0,11,15,0,15,63,22,90
UCL322093,..,41,41,47,3,53,15,0,15,15,0,15,3,0,3,0,0,0,93,42,132
UCL322094,..,16,16,35,0,32,16,0,16,11,0,11,0,0,0,0,0,0,59,21,76
UCL322095,..,64,64,65,3,62,11,3,13,9,0,9,3,0,3,3,0,3,88,69,154
UCL322096,..,31,31,67,0,65,27,0,27,25,0,25,17,0,17,7,0,7,138,30,164
UCL322097,..,15,15,50,3,49,27,0,27,29,0,29,13,0,13,10,0,10,129,14,144
UCL322098,..,75,75,48,5,58,15,0,15,4,0,4,7,0,7,0,0,0,70,79,154
UCL322099,..,8,8,44,0,45,19,0,19,13,0,13,22,0,22,8,0,8,109,5,118
UCL322100,..,53,53,112,13,129,11,0,11,3,0,3,0,0,0,3,0,3,135,66,202
UCL322101,..,49,49,49,4,49,10,0,10,9,0,9,4,0,4,5,0,5,71,57,124
UCL322102,..,14,14,8,3,14,4,0,4,12,0,12,9,0,9,28,0,28,64,19,81
UCL322103,..,26,26,61,4,62,24,0,26,12,0,12,7,0,7,3,0,3,107,31,139
UCL322104,..,47,47,49,10,63,24,0,24,14,0,14,10,0,10,0,0,0,93,59,152
UCL322105,..,32,32,34,0,30,6,0,6,11,0,11,3,0,3,0,0,0,61,35,98
UCL322106,..,73,73,89,8,95,13,0,13,14,0,14,0,0,0,0,0,0,120,80,204
UCL322107,..,23,23,20,3,22,13,0,14,7,0,7,3,0,3,11,0,11,52,21,74
UCL322108,..,10,10,16,0,15,0,0,0,3,0,3,0,0,0,0,0,0,18,11,34
UCL322109,..,20,20,32,3,35,7,0,7,7,0,7,3,0,3,4,0,4,57,24,78
UCL322110,..,21,21,48,3,59,22,0,18,10,0,10,10,0,10,8,0,8,103,33,132
UCL322111,..,51,51,54,3,63,26,0,26,16,0,16,6,0,6,0,0,0,103,51,160
UCL322112,..,28,28,33,0,30,23,0,23,12,0,12,9,0,9,4,0,4,80,26,101
UCL322113,..,36,36,43,8,47,10,0,13,14,0,14,0,0,0,3,0,3,75,45,117
UCL322114,..,10,10,13,0,13,12,0,12,5,0,5,12,0,12,8,0,8,48,10,58
UCL322115,..,55,55,65,0,65,18,0,20,9,0,9,10,0,10,3,0,3,106,63,169
UCL322116,..,46,46,50,0,52,21,0,22,15,0,15,4,0,4,3,0,3,90,43,135
UCL322117,..,12,12,51,0,50,20,0,20,35,0,35,17,0,17,4,0,4,128,10,143
UCL322118,..,12,12,37,3,41,18,0,22,7,0,7,5,0,5,0,0,0,65,16,83
UCL322119,..,59,59,69,3,76,8,0,8,10,0,10,3,0,3,0,0,0,92,55,146
UCL322120,..,38,38,31,3,29,14,3,14,4,0,4,10,0,10,3,0,3,67,36,100
UCL322121,..,37,37,36,3,43,18,0,18,7,0,7,3,0,3,5,0,5,73,41,113
UCL322122,..,23,23,48,3,50,21,0,21,23,0,23,8,0,8,9,0,9,103,27,133
UCL322123,..,78,78,58,3,62,18,0,18,12,0,12,5,0,5,3,0,3,106,79,186
UCL322124,..,61,61,87,7,95,19,0,19,11,0,11,6,0,6,3,0,3,121,68,191
UCL322125,..,43,43,59,3,63,5,0,5,5,0,5,3,0,3,0,0,0,78,43,120
UCL322126,..,22,22,37,0,40,5,0,5,4,0,4,3,0,3,3,0,3,60,21,82
UCL322127,..,30,30,34,5,39,13,0,13,9,0,9,0,0,0,0,0,0,53,32,85
UCL322128,..,32,32,49,3,48,19,0,19,10,0,10,4,0,4,0,0,0,84,35,115
UCL322129,..,19,19,42,3,40,9,0,9,21,0,21,5,0,5,0,0,0,73,22,96
UCL322130,..,64,64,85,4,91,13,0,18,14,0,14,7,0,7,0,0,0,126,69,192
UCL322131,..,7,7,12,0,12,11,0,11,13,0,13,12,0,12,33,0,33,76,7,91
UCL322132,..,34,34,47,3,44,17,0,17,16,0,16,3,0,3,0,0,0,78,40,117
UCL322133,..,71,71,66,4,74,19,0,18,17,0,17,7,0,7,0,0,0,118,74,194
UCL322134,..,15,15,50,3,48,12,0,12,27,0,27,5,0,5,6,0,6,95,18,115
UCL322135,..,24,24,31,0,35,8,0,8,8,0,8,3,0,3,3,0,3,58,25,77
UCL322136,..,44,44,39,4,45,18,0,18,19,0,19,3,0,3,0,0,0,81,46,127
UCL322137,..,6,6,4,0,4,3,0,3,17,0,17,12,0,12,9,0,9,45,6,51
UCL322138,..,39,39,26,4,28,3,0,3,0,0,0,0,0,0,0,0,0,25,40,66
UCL322139,..,10,10,16,0,20,14,0,14,13,0,13,11,0,11,14,0,14,66,14,78
UCL322140,..,13,13,43,0,39,11,0,11,25,0,25,11,0,11,8,0,8,98,10,108
UCL322141,..,21,21,36,3,33,6,0,6,12,0,12,3,0,3,4,0,4,57,23,82
UCL322142,..,25,25,37,3,38,3,0,3,13,0,13,8,0,8,3,0,3,60,31,89
UCL322143,..,12,12,8,0,8,11,0,11,7,0,7,4,0,4,17,0,17,50,12,57
UCL331777,..,28580,28580,53193,3218,56410,20823,378,21205,21031,90,21123,10614,20,10632,6268,29,6293,111931,32318,144249
UCL379997,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL399994,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL401001,..,124747,124747,136596,12940,149534,67266,3574,70841,65219,1343,66563,23315,430,23742,10140,255,10397,302544,143295,445836
UCL412001,..,2707,2707,3281,202,3481,1531,20,1543,1477,0,1482,598,0,598,244,0,244,7126,2930,10059
UCL412002,..,3335,3335,3333,230,3564,1328,26,1357,1303,8,1314,478,4,483,237,0,237,6685,3595,10282
UCL412003,..,2962,2962,2747,195,2948,1149,20,1165,1005,0,1010,413,0,414,157,0,157,5464,3185,8654
